 INPUT STRING:	كلامك
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(luh)
          POS:	PREP+PRON_3MS
          VOC:	li+uh
        GLOSS:	to/for+it/him

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P11W21
      OFFSETS:	106-108
       TOKENS:	P11W24-P11W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	الصحة
     IS_TRANS:	AlSHp
        INDEX:	P11W22
      OFFSETS:	109-114
       TOKENS:	P11W25-P11W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SiH~ap_1]
   UNSPLITVOC:	(AlS~iH~ap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+SiH~+ap
        GLOSS:	the+health/authenticity/truth/correctness+[fem.sg.]

 INPUT STRING:	-
     IS_TRANS:	-
        INDEX:	P11W23
      OFFSETS:	115-116
       TOKENS:	P11W26-P11W26
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(-)
          POS:	PUNC
          VOC:	-
        GLOSS:	-

 INPUT STRING:	-
     IS_TRANS:	-
        INDEX:	P11W24
      OFFSETS:	116-117
       TOKENS:	P11W27-P11W27
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(-)
          POS:	PUNC
          VOC:	-
        GLOSS:	-

 INPUT STRING:	وبعدين
     IS_TRANS:	wbEdyn
        INDEX:	P12W1
      OFFSETS:	0-6
       TOKENS:	P12W1-P12W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEodayn_1]
   UNSPLITVOC:	(wibaEodayn)
          POS:	CONJ+ADV
          VOC:	wi+baEodayn
        GLOSS:	and+later/next

 INPUT STRING:	قرروا
     IS_TRANS:	qrrwA
        INDEX:	P12W2
      OFFSETS:	7-12
       TOKENS:	P12W3-P12W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qar~ar_1]
   UNSPLITVOC:	(qar~aruwA)
          POS:	PV+PVSUFF_SUBJ:3P
          VOC:	qar~ar+uwA
        GLOSS:	decide/resolve+they

 INPUT STRING:	انهم
     IS_TRANS:	Anhm
        INDEX:	P12W3
      OFFSETS:	13-17
       TOKENS:	P12W4-P12W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~uhum)
          POS:	SUB_CONJ+PRON_3P
          VOC:	<in~+hum
        GLOSS:	that+they

 INPUT STRING:	يهدموا
     IS_TRANS:	yhdmwA
        INDEX:	P12W4
      OFFSETS:	18-24
       TOKENS:	P12W6-P12W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hadam_1]
   UNSPLITVOC:	(yihodimuwA)
          POS:	IV3P+IV+IVSUFF_SUBJ:P
          VOC:	yi+hodim+uwA
        GLOSS:	they+tear down/demolish+[pl.]

 INPUT STRING:	اجمل
     IS_TRANS:	Ajml
        INDEX:	P12W5
      OFFSETS:	25-29
       TOKENS:	P12W7-P12W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ajomal_1]
   UNSPLITVOC:	(>ajomal)
          POS:	ADJ_COMP
          VOC:	>ajomal
        GLOSS:	more/most beautiful

 INPUT STRING:	مبادرة
     IS_TRANS:	mbAdrp
        INDEX:	P12W6
      OFFSETS:	30-36
       TOKENS:	P12W8-P12W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mubAdorap_1]
   UNSPLITVOC:	(mubAdorap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	mubAdor+ap
        GLOSS:	initiative/proposal+[fem.sg.]

 INPUT STRING:	اتعملت
     IS_TRANS:	AtEmlt
        INDEX:	P12W7
      OFFSETS:	37-43
       TOKENS:	P12W9-P12W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(AitoEamalit)
          POS:	PV_PASS+PVSUFF_SUBJ:3FS
          VOC:	AitoEamal+it
        GLOSS:	be made/be prepared+it/they/she

 INPUT STRING:	فيكى
     IS_TRANS:	fykY
        INDEX:	P12W8
      OFFSETS:	44-48
       TOKENS:	P12W10-P12W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiykiy)
          POS:	PREP+PRON_2FS
          VOC:	fiy+ik
        GLOSS:	in+you [fem.sg.]

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P12W9
      OFFSETS:	49-51
       TOKENS:	P12W12-P12W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O, oh

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P12W10
      OFFSETS:	52-55
       TOKENS:	P12W13-P12W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSor_1]
   UNSPLITVOC:	(maSor)
          POS:	NOUN_PROP
          VOC:	maSor
        GLOSS:	Egypt

 INPUT STRING:	منذ
     IS_TRANS:	mn*
        INDEX:	P12W11
      OFFSETS:	56-59
       TOKENS:	P12W14-P12W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mun*u_1]
   UNSPLITVOC:	(mun*u)
          POS:	PREP
          VOC:	mun*u
        GLOSS:	since/for/in/ago

 INPUT STRING:	اندلاع
     IS_TRANS:	AndlAE
        INDEX:	P12W12
      OFFSETS:	60-66
       TOKENS:	P12W15-P12W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AinodilAE_1]
   UNSPLITVOC:	(AinodilAE)
          POS:	NOUN
          VOC:	AinodilAE
        GLOSS:	breaking out

 INPUT STRING:	الثورة
     IS_TRANS:	Alvwrp
        INDEX:	P12W13
      OFFSETS:	67-73
       TOKENS:	P12W16-P12W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vawrap_1]
   UNSPLITVOC:	(Alv~awrap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+vawr+ap
        GLOSS:	the+revolution/uprising+[fem.sg.]

 INPUT STRING:	-
     IS_TRANS:	-
        INDEX:	P12W14
      OFFSETS:	74-75
       TOKENS:	P12W17-P12W17
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(-)
          POS:	PUNC
          VOC:	-
        GLOSS:	-

 INPUT STRING:	-
     IS_TRANS:	-
        INDEX:	P12W15
      OFFSETS:	75-76
       TOKENS:	P12W18-P12W18
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(-)
          POS:	PUNC
          VOC:	-
        GLOSS:	-

 INPUT STRING:	الاهداف
     IS_TRANS:	AlAhdAf
        INDEX:	P13W1
      OFFSETS:	0-7
       TOKENS:	P13W1-P13W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hadaf_1]
   UNSPLITVOC:	(Al>ahodAf)
          POS:	DET+NOUN
          VOC:	Al+>ahodAf
        GLOSS:	the+goals/objectives/intentions

 INPUT STRING:	واضحة
     IS_TRANS:	wADHp
        INDEX:	P13W2
      OFFSETS:	8-13
       TOKENS:	P13W2-P13W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wADiH_1]
   UNSPLITVOC:	(wADoHap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	wADoH+ap
        GLOSS:	clear/obvious/visible+[fem.sg.]

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P13W3
      OFFSETS:	14-16
       TOKENS:	P13W3-P13W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O, oh

 INPUT STRING:	اختى
     IS_TRANS:	AxtY
        INDEX:	P13W4
      OFFSETS:	17-21
       TOKENS:	P13W4-P13W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>uxot_1]
   UNSPLITVOC:	(>uxotiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	>uxot+iy
        GLOSS:	sister/counterpart/sisters+my

 INPUT STRING:	-
     IS_TRANS:	-
        INDEX:	P13W5
      OFFSETS:	22-23
       TOKENS:	P13W6-P13W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(-)
          POS:	PUNC
          VOC:	-
        GLOSS:	-

 INPUT STRING:	-
     IS_TRANS:	-
        INDEX:	P13W6
      OFFSETS:	23-24
       TOKENS:	P13W7-P13W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(-)
          POS:	PUNC
          VOC:	-
        GLOSS:	-

 INPUT STRING:	-
     IS_TRANS:	-
        INDEX:	P13W7
      OFFSETS:	24-25
       TOKENS:	P13W8-P13W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(-)
          POS:	PUNC
          VOC:	-
        GLOSS:	-

 INPUT STRING:	لكن
     IS_TRANS:	lkn
        INDEX:	P13W8
      OFFSETS:	25-28
       TOKENS:	P13W9-P13W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lakin_1]
   UNSPLITVOC:	(lakin)
          POS:	CONJ
          VOC:	lakin
        GLOSS:	but

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P13W9
      OFFSETS:	29-33
       TOKENS:	P13W10-P13W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which/who/whom

 INPUT STRING:	بيفكر
     IS_TRANS:	byfkr
        INDEX:	P13W10
      OFFSETS:	34-39
       TOKENS:	P13W11-P13W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fak~ar_1]
   UNSPLITVOC:	(biyifak~ar)
          POS:	PROG_PART+IV3MS+IV
          VOC:	bi+yi+fak~ar
        GLOSS:	[present-tense]+he/it+think/consider/ponder

 INPUT STRING:	قليل
     IS_TRANS:	qlyl
        INDEX:	P13W11
      OFFSETS:	40-44
       TOKENS:	P13W13-P13W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qaliyl_1]
   UNSPLITVOC:	(qaliyl)
          POS:	ADJ
          VOC:	qaliyl
        GLOSS:	little/few/small/a little/somewhat/briefly/shortly/few/insufficient

 INPUT STRING:	والله
     IS_TRANS:	wAllh
        INDEX:	P14W1
      OFFSETS:	0-5
       TOKENS:	P14W1-P14W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(waAll~ah)
          POS:	PREP+NOUN_PROP
          VOC:	wa+All~ah
        GLOSS:	with+Allah/God

 INPUT STRING:	ناس
     IS_TRANS:	nAs
        INDEX:	P14W2
      OFFSETS:	6-9
       TOKENS:	P14W3-P14W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAs_1]
   UNSPLITVOC:	(nAs)
          POS:	NOUN
          VOC:	nAs
        GLOSS:	people

 INPUT STRING:	مستفزه
     IS_TRANS:	mstfzh
        INDEX:	P14W3
      OFFSETS:	10-16
       TOKENS:	P14W4-P14W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mustafiz~_1]
   UNSPLITVOC:	(mustafiz~ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	mustafiz~+ap
        GLOSS:	provoked+[fem.sg.]

 INPUT STRING:	فعلا
     IS_TRANS:	fElA
        INDEX:	P14W4
      OFFSETS:	17-21
       TOKENS:	P14W5-P14W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiEol_1]
   UNSPLITVOC:	(fiEolAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	fiEol+AF
        GLOSS:	doing/act/action/actually/in effect/acts/actions/deeds/exploits+[acc.indef.]

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P14W5
      OFFSETS:	22-26
       TOKENS:	P14W6-P14W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which/who/whom

 INPUT STRING:	تقول
     IS_TRANS:	tqwl
        INDEX:	P14W6
      OFFSETS:	27-31
       TOKENS:	P14W7-P14W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(tiquwl)
          POS:	IV3FS+IV
          VOC:	ti+quwl
        GLOSS:	it/they/she+said/say/be said/say/(for example)

 INPUT STRING:	سبوبه
     IS_TRANS:	sbwbh
        INDEX:	P14W7
      OFFSETS:	32-37
       TOKENS:	P14W8-P14W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sab~uwbap_1]
   UNSPLITVOC:	(sab~uwbap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	sab~uwb+ap
        GLOSS:	money+[fem.sg.]

 INPUT STRING:	حلوه
     IS_TRANS:	Hlwh
        INDEX:	P14W8
      OFFSETS:	38-42
       TOKENS:	P14W9-P14W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hilow_1]
   UNSPLITVOC:	(Hilowap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	Hilow+ap
        GLOSS:	nice/good+[fem.sg.]

 INPUT STRING:	للششيخ
     IS_TRANS:	ll$$yx
        INDEX:	P14W9
      OFFSETS:	43-49
       TOKENS:	P14W10-P14W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[$iyx_1]
   UNSPLITVOC:	(lil$iyx)
          POS:	PREP+DET+NOUN
          VOC:	li+Al+$iyx
        GLOSS:	for/to+the+Sheikh/chieftain

 INPUT STRING:	واللى
     IS_TRANS:	wAllY
        INDEX:	P14W10
      OFFSETS:	50-55
       TOKENS:	P14W12-P14W12
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(wAllY)
          POS:	TYPO
          VOC:	wAllY
        GLOSS:	nogloss

 INPUT STRING:	تقول
     IS_TRANS:	tqwl
        INDEX:	P14W11
      OFFSETS:	56-60
       TOKENS:	P14W13-P14W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(tiquwl)
          POS:	IV3FS+IV
          VOC:	ti+quwl
        GLOSS:	it/they/she+said/say/be said/say/(for example)

 INPUT STRING:	حنصرف
     IS_TRANS:	HnSrf
        INDEX:	P14W12
      OFFSETS:	61-66
       TOKENS:	P14W14-P14W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Saraf_1]
   UNSPLITVOC:	(HaniSorif)
          POS:	FUT_PART+IV1P+IV
          VOC:	Ha+ni+Sorif
        GLOSS:	will+we+divert/spend

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P14W13
      OFFSETS:	67-70
       TOKENS:	P14W16-P14W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	تسليح
     IS_TRANS:	tslyH
        INDEX:	P14W14
      OFFSETS:	71-76
       TOKENS:	P14W17-P14W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tasoliyH_1]
   UNSPLITVOC:	(tasoliyH)
          POS:	NOUN
          VOC:	tasoliyH
        GLOSS:	arming/armament/armoring

 INPUT STRING:	العسكر
     IS_TRANS:	AlEskr
        INDEX:	P14W15
      OFFSETS:	77-83
       TOKENS:	P14W18-P14W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Easokar_1]
   UNSPLITVOC:	(AlEasokar)
          POS:	DET+NOUN
          VOC:	Al+Easokar
        GLOSS:	the+army/troops

 INPUT STRING:	كمان
     IS_TRANS:	kmAn
        INDEX:	P14W16
      OFFSETS:	84-88
       TOKENS:	P14W19-P14W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kamAn_1]
   UNSPLITVOC:	(kamAn)
          POS:	ADV
          VOC:	kamAn
        GLOSS:	also/too

 INPUT STRING:	حسبى
     IS_TRANS:	HsbY
        INDEX:	P15W1
      OFFSETS:	0-4
       TOKENS:	P15W1-P15W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Hasob_1]
   UNSPLITVOC:	(Hasobiy)
          POS:	NOUN.VN+POSS_PRON_1S
          VOC:	Hasob+iy
        GLOSS:	sufficient+my

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P15W2
      OFFSETS:	5-9
       TOKENS:	P15W3-P15W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	Allah/God

 INPUT STRING:	ونعم
     IS_TRANS:	wnEm
        INDEX:	P15W3
      OFFSETS:	10-14
       TOKENS:	P15W4-P15W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[niEma_1]
   UNSPLITVOC:	(waniEma)
          POS:	CONJ+VERB
          VOC:	wa+niEma
        GLOSS:	and+how good

 INPUT STRING:	الوكيل
     IS_TRANS:	Alwkyl
        INDEX:	P15W4
      OFFSETS:	15-21
       TOKENS:	P15W6-P15W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wakiyl_1]
   UNSPLITVOC:	(Alwakiyl)
          POS:	DET+NOUN
          VOC:	Al+wakiyl
        GLOSS:	the+representative/agent

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P15W5
      OFFSETS:	22-24
       TOKENS:	P15W7-P15W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P15W6
      OFFSETS:	25-27
       TOKENS:	P15W8-P15W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all, entire, every, whole

 INPUT STRING:	واحده
     IS_TRANS:	wAHdh
        INDEX:	P15W7
      OFFSETS:	28-33
       TOKENS:	P15W9-P15W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wAHodap_1]
   UNSPLITVOC:	(wAHodap)
          POS:	NOUN_NUM+NSUFF_FEM_SG
          VOC:	wAHod+ap
        GLOSS:	one+[fem.sg.]

 INPUT STRING:	غلطت
     IS_TRANS:	glTt
        INDEX:	P15W8
      OFFSETS:	34-38
       TOKENS:	P15W10-P15W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[giliT_1]
   UNSPLITVOC:	(giloTit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	giloT+it
        GLOSS:	be wrong/do incorrectly+it/they/she

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P15W9
      OFFSETS:	39-41
       TOKENS:	P15W11-P15W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	الشيخ
     IS_TRANS:	Al$yx
        INDEX:	P15W10
      OFFSETS:	42-47
       TOKENS:	P15W12-P15W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ayx_1]
   UNSPLITVOC:	(Al$~ayx)
          POS:	DET+NOUN
          VOC:	Al+$ayx
        GLOSS:	the+Sheikh

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P15W11
      OFFSETS:	48-50
       TOKENS:	P15W13-P15W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	عارفه
     IS_TRANS:	EArfh
        INDEX:	P15W12
      OFFSETS:	51-56
       TOKENS:	P15W14-P15W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EArif_1]
   UNSPLITVOC:	(EArofap)
          POS:	ADJ.VN+NSUFF_FEM_SG
          VOC:	EArof+ap
        GLOSS:	knowing/having knowledge of+[fem.sg.]

 INPUT STRING:	مستفيده
     IS_TRANS:	mstfydh
        INDEX:	P15W13
      OFFSETS:	57-64
       TOKENS:	P15W15-P15W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[musotafiyd_1]
   UNSPLITVOC:	(musotafiydap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	musotafiyd+ap
        GLOSS:	benefiting/profiting+[fem.sg.]

 INPUT STRING:	ايه
     IS_TRANS:	Ayh
        INDEX:	P15W14
      OFFSETS:	65-68
       TOKENS:	P15W16-P15W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Aiyh_1]
   UNSPLITVOC:	(Aiyh)
          POS:	INTERROG_PRON
          VOC:	Aiyh
        GLOSS:	what

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P15W15
      OFFSETS:	69-71
       TOKENS:	P15W17-P15W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	كده
     IS_TRANS:	kdh
        INDEX:	P15W16
      OFFSETS:	72-75
       TOKENS:	P15W18-P15W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidah_1]
   UNSPLITVOC:	(kidah)
          POS:	NOUN
          VOC:	kidah
        GLOSS:	this

 INPUT STRING:	فعلا
     IS_TRANS:	fElA
        INDEX:	P16W1
      OFFSETS:	0-4
       TOKENS:	P16W1-P16W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiEol_1]
   UNSPLITVOC:	(fiEolAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	fiEol+AF
        GLOSS:	doing/act/action/actually/in effect/acts/actions/deeds/exploits+[acc.indef.]

 INPUT STRING:	سابو
     IS_TRANS:	sAbw
        INDEX:	P16W2
      OFFSETS:	5-9
       TOKENS:	P16W2-P16W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sAb_1]
   UNSPLITVOC:	(sAbuwA)
          POS:	PV+PVSUFF_SUBJ:3P
          VOC:	sAb+uwA
        GLOSS:	leave+they

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P16W3
      OFFSETS:	10-12
       TOKENS:	P16W3-P16W3
