 INPUT STRING:	حملة
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all, entire, every, whole

 INPUT STRING:	إعتداء
     IS_TRANS:	<EtdA'
        INDEX:	P24W13
      OFFSETS:	62-68
       TOKENS:	P24W14-P24W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<iEotidA'_1]
   UNSPLITVOC:	(<iEotidA')
          POS:	NOUN
          VOC:	<iEotidA'
        GLOSS:	attack/aggression/assault

 INPUT STRING:	العالم
     IS_TRANS:	AlEAlm
        INDEX:	P25W1
      OFFSETS:	0-6
       TOKENS:	P25W1-P25W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAlam_1]
   UNSPLITVOC:	(AlEAlam)
          POS:	DET+NOUN
          VOC:	Al+EAlam
        GLOSS:	the+world

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P25W2
      OFFSETS:	7-9
       TOKENS:	P25W2-P25W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	NEG_PART
          VOC:	mA
        GLOSS:	not

 INPUT STRING:	بقاش
     IS_TRANS:	bqA$
        INDEX:	P25W3
      OFFSETS:	10-14
       TOKENS:	P25W3-P25W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[baqaY_2]
   UNSPLITVOC:	(baqA$)
          POS:	PV+PVSUFF_SUBJ:3MS+NEG_PART
          VOC:	baqA+(null)+$
        GLOSS:	become+he/it+not

 INPUT STRING:	ياكل
     IS_TRANS:	yAkl
        INDEX:	P25W4
      OFFSETS:	15-19
       TOKENS:	P25W5-P25W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aakal_1]
   UNSPLITVOC:	(yAkul)
          POS:	IV3MS+IV
          VOC:	y+Akul
        GLOSS:	he/it+eat/belive

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P25W5
      OFFSETS:	20-22
       TOKENS:	P25W6-P25W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	كلامهم
     IS_TRANS:	klAmhm
        INDEX:	P25W6
      OFFSETS:	23-29
       TOKENS:	P25W7-P25W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kalAm_1]
   UNSPLITVOC:	(kalAmhum)
          POS:	NOUN+POSS_PRON_3P
          VOC:	kalAm+hum
        GLOSS:	speech/statement/remark/talk/saying+their

