 INPUT STRING:	هذا

 INPUT STRING:	العالم
     IS_TRANS:	AlEAlm
        INDEX:	P74W10
      OFFSETS:	46-52
       TOKENS:	P74W11-P74W11
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAlam_1]
   UNSPLITVOC:	(AlEAlam)
          POS:	DET+NOUN
          VOC:	Al+EAlam
        GLOSS:	the+world

 INPUT STRING:	الإسلامي
     IS_TRANS:	Al<slAmy
        INDEX:	P74W11
      OFFSETS:	53-61
       TOKENS:	P74W12-P74W12
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<isolAmiy~_1]
   UNSPLITVOC:	(Al<isolAmiy~)
          POS:	DET+ADJ
          VOC:	Al+<isolAmiy~
        GLOSS:	the+Islamic/Islamist/Muslim

 INPUT STRING:	ترفض
     IS_TRANS:	trfD
        INDEX:	P74W12
      OFFSETS:	62-66
       TOKENS:	P74W13-P74W13
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[rafaD-u_1]
   UNSPLITVOC:	(tarofuDu)
          POS:	IV3FS+IV+IVSUFF_MOOD:I
          VOC:	ta+rofuD+u
        GLOSS:	it/they/she+reject/refuse+[ind.]

 INPUT STRING:	الظلم
     IS_TRANS:	AlZlm
        INDEX:	P74W13
      OFFSETS:	67-72
       TOKENS:	P74W14-P74W14
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Zulom_1]
   UNSPLITVOC:	(AlZuloma)
          POS:	DET+NOUN+CASE_DEF_ACC
          VOC:	Al+Zulom+a
        GLOSS:	the+injustice+[def.acc.]

 INPUT STRING:	بكل
     IS_TRANS:	bkl
        INDEX:	P74W14
      OFFSETS:	73-76
       TOKENS:	P74W15-P74W16
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(bikul~)
          POS:	PREP+NOUN_QUANT
          VOC:	bi+kul~
        GLOSS:	with/by+all, entire, every, whole

 INPUT STRING:	صوره
     IS_TRANS:	Swrh
        INDEX:	P74W15
      OFFSETS:	77-81
       TOKENS:	P74W17-P74W17
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Suwrap_1]
   UNSPLITVOC:	(Suwrap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	Suwr+ap
        GLOSS:	picture/image/illustration/photo+[fem.sg.]

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P74W16
      OFFSETS:	81-82
       TOKENS:	P74W18-P74W18
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	وتنادي
     IS_TRANS:	wtnAdy
        INDEX:	P74W17
      OFFSETS:	83-89
       TOKENS:	P74W19-P74W20
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[nAdaY_1]
   UNSPLITVOC:	(watunAdiy)
          POS:	CONJ+IV3FS+IV+IVSUFF_MOOD:I
          VOC:	wa+tu+nAdiy+(null)
        GLOSS:	and+it/they/she+announce/summon+[ind.]

 INPUT STRING:	ليس
     IS_TRANS:	lys
        INDEX:	P74W18
      OFFSETS:	90-93
       TOKENS:	P74W21-P74W21
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[layosa_2]
   UNSPLITVOC:	(layosa)
          POS:	NEG_PART
          VOC:	layosa
        GLOSS:	not

 INPUT STRING:	فقط
     IS_TRANS:	fqT
        INDEX:	P74W19
      OFFSETS:	94-97
       TOKENS:	P74W22-P74W22
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[faqaT_1]
   UNSPLITVOC:	(faqaT)
          POS:	ADV
          VOC:	faqaT
        GLOSS:	only

 INPUT STRING:	بوَحدة
     IS_TRANS:	bwaHdp
        INDEX:	P74W20
      OFFSETS:	98-104
       TOKENS:	P74W23-P74W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[wiHdap_1]
   UNSPLITVOC:	(biwiHdap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	bi+wiHd+ap
        GLOSS:	with/by+unity+[fem.sg.]

 INPUT STRING:	السودان
     IS_TRANS:	AlswdAn
        INDEX:	P74W21
      OFFSETS:	105-112
       TOKENS:	P74W25-P74W25
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[suwdAn_1]
   UNSPLITVOC:	(AlsuwdAn)
          POS:	DET+NOUN_PROP
          VOC:	Al+suwdAn
        GLOSS:	the+Sudan

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P74W22
      OFFSETS:	112-113
       TOKENS:	P74W26-P74W26
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	ولكن
     IS_TRANS:	wlkn
        INDEX:	P74W23
      OFFSETS:	114-118
       TOKENS:	P74W27-P74W28
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[l`kino_1]
   UNSPLITVOC:	(wal`kino)
          POS:	CONJ+CONJ
          VOC:	wa+l`kino
        GLOSS:	and+But, however, yet, still, nevertheless, on the other hand

 INPUT STRING:	بوحدة
     IS_TRANS:	bwHdp
        INDEX:	P74W24
      OFFSETS:	119-124
       TOKENS:	P74W29-P74W30
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[waHodap_4]
   UNSPLITVOC:	(biwaHodapi)
          POS:	PREP+NOUN+NSUFF_FEM_SG+CASE_DEF_GEN
          VOC:	bi+waHod+ap+i
        GLOSS:	with/by+unit+[fem.sg.]+[def.gen.]

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P74W25
      OFFSETS:	125-127
       TOKENS:	P74W31-P74W31
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all, entire, every, whole

 INPUT STRING:	أقطار
     IS_TRANS:	>qTAr
        INDEX:	P74W26
      OFFSETS:	128-133
       TOKENS:	P74W32-P74W32
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[quTor_1]
   UNSPLITVOC:	(>aqoTAr)
          POS:	NOUN
          VOC:	>aqoTAr
        GLOSS:	regions/countries

 INPUT STRING:	المسلمين
     IS_TRANS:	Almslmyn
        INDEX:	P74W27
      OFFSETS:	134-142
       TOKENS:	P74W33-P74W33
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[musolim_1]
   UNSPLITVOC:	(Almusolimiyna)
          POS:	DET+ADJ+NSUFF_MASC_PL_ACC
          VOC:	Al+musolim+iyna
        GLOSS:	the+Muslim+[masc.pl.acc.]

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P74W28
      OFFSETS:	142-143
       TOKENS:	P74W34-P74W34
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P74W29
      OFFSETS:	143-144
       TOKENS:	P74W35-P74W35
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	إن
     IS_TRANS:	<n
        INDEX:	P75W1
      OFFSETS:	0-2
       TOKENS:	P75W1-P75W1
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<in~a_1]
   UNSPLITVOC:	(<in~a)
          POS:	PSEUDO_VERB
          VOC:	<in~a
        GLOSS:	indeed

 INPUT STRING:	المسلمين
     IS_TRANS:	Almslmyn
        INDEX:	P75W2
      OFFSETS:	3-11
       TOKENS:	P75W2-P75W2
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[musolim_1]
   UNSPLITVOC:	(Almusolimiyna)
          POS:	DET+ADJ+NSUFF_MASC_PL_ACC
          VOC:	Al+musolim+iyna
        GLOSS:	the+Muslim+[masc.pl.acc.]

 INPUT STRING:	قوةٌ
     IS_TRANS:	qwpN
        INDEX:	P75W3
      OFFSETS:	12-16
       TOKENS:	P75W3-P75W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[quw~ap_1]
   UNSPLITVOC:	(quw~apN)
          POS:	NOUN+NSUFF_FEM_SG+CASE_INDEF_NOM
          VOC:	quw~+ap+N
        GLOSS:	strength/power+[fem.sg.]+[indef.nom.]

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P75W4
      OFFSETS:	17-19
       TOKENS:	P75W4-P75W4
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	NEG_PART
          VOC:	lA
        GLOSS:	no/not/non-

 INPUT STRING:	نهاية
     IS_TRANS:	nhAyp
        INDEX:	P75W5
      OFFSETS:	20-25
       TOKENS:	P75W5-P75W5
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nihAyap_1]
   UNSPLITVOC:	(nihAyap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	nihAy+ap
        GLOSS:	end/termination+[fem.sg.]

 INPUT STRING:	لعظمتها
     IS_TRANS:	lEZmthA
        INDEX:	P75W6
      OFFSETS:	26-33
       TOKENS:	P75W6-P75W8
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[EaZomap_2]
   UNSPLITVOC:	(liEaZomatihA)
          POS:	PREP+NOUN+NSUFF_FEM_SG+CASE_DEF_GEN+POSS_PRON_3FS
          VOC:	li+EaZom+at+i+hA
        GLOSS:	for/to+His/Her Highness/His/Her Majesty+[fem.sg.]+[def.gen.]+its/their/her

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P75W7
      OFFSETS:	33-34
       TOKENS:	P75W9-P75W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	وأمة
     IS_TRANS:	w>mp
        INDEX:	P76W1
      OFFSETS:	0-4
       TOKENS:	P76W1-P76W1
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(w>mp)
          POS:	NO_FUNC
          VOC:	w>mp
        GLOSS:	nogloss

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P76W2
      OFFSETS:	5-7
       TOKENS:	P76W2-P76W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	NEG_PART
          VOC:	lA
        GLOSS:	no/not

 INPUT STRING:	تموت
     IS_TRANS:	tmwt
        INDEX:	P76W3
      OFFSETS:	8-12
       TOKENS:	P76W3-P76W3
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mAt-u_1]
   UNSPLITVOC:	(tamuwtu)
          POS:	IV3FS+IV+IVSUFF_MOOD:I
          VOC:	ta+muwt+u
        GLOSS:	it/they/she+die/pass away+[ind.]

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P76W4
      OFFSETS:	12-13
       TOKENS:	P76W4-P76W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	وبحور
     IS_TRANS:	wbHwr
        INDEX:	P77W1
      OFFSETS:	0-5
       TOKENS:	P77W1-P77W3
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>aHowar_1]
   UNSPLITVOC:	(wabiHuwr)
          POS:	CONJ+PREP+NOUN
          VOC:	wa+bi+Huwr
        GLOSS:	and+with/by+white and black

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P77W2
      OFFSETS:	6-8
       TOKENS:	P77W4-P77W4
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	NEG_PART
          VOC:	lA
        GLOSS:	no/not/non-

 INPUT STRING:	ساحل
     IS_TRANS:	sAHl
        INDEX:	P77W3
      OFFSETS:	9-13
       TOKENS:	P77W5-P77W5
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sAHil_1]
   UNSPLITVOC:	(sAHil)
          POS:	NOUN
          VOC:	sAHil
        GLOSS:	coast/seashore

 INPUT STRING:	لها
     IS_TRANS:	lhA
        INDEX:	P77W4
      OFFSETS:	14-17
       TOKENS:	P77W6-P77W7
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[li-_1]
   UNSPLITVOC:	(lahA)
          POS:	PREP+PRON_3FS
          VOC:	la+hA
        GLOSS:	to/for+it/them/her (it/she has, they have)

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P77W5
      OFFSETS:	17-18
       TOKENS:	P77W8-P77W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	ولكن
     IS_TRANS:	wlkn
        INDEX:	P78W1
      OFFSETS:	0-4
       TOKENS:	P78W1-P78W2
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[l`kino_1]
   UNSPLITVOC:	(wal`kino)
          POS:	CONJ+CONJ
          VOC:	wa+l`kino
        GLOSS:	and+But, however, yet, still, nevertheless, on the other hand

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P78W2
      OFFSETS:	5-7
       TOKENS:	P78W3-P78W3
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all, entire, every, whole

 INPUT STRING:	ذلك
     IS_TRANS:	*lk
        INDEX:	P78W3
      OFFSETS:	8-11
       TOKENS:	P78W4-P78W4
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[*`lika_1]
   UNSPLITVOC:	(*`lika)
          POS:	DEM_PRON_MS
          VOC:	*`lika
        GLOSS:	that

 INPUT STRING:	مشروط
     IS_TRANS:	m$rwT
        INDEX:	P78W4
      OFFSETS:	12-17
       TOKENS:	P78W5-P78W5
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ma$oruwT_1]
   UNSPLITVOC:	(ma$oruwT)
          POS:	ADJ
          VOC:	ma$oruwT
        GLOSS:	conditional/contingent

 INPUT STRING:	بأمرين
     IS_TRANS:	b>mryn
        INDEX:	P78W5
      OFFSETS:	18-24
       TOKENS:	P78W6-P78W7
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>amor_1]
   UNSPLITVOC:	(bi>amorayoni)
          POS:	PART+NOUN+NSUFF_MASC_DU_GEN
          VOC:	bi+>amor+ayoni
        GLOSS:	[part.]+matter/issue+two [gen.]

 INPUT STRING:	:
     IS_TRANS:	:
        INDEX:	P78W6
      OFFSETS:	24-25
       TOKENS:	P78W8-P78W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(:)
          POS:	PUNC
          VOC:	:
        GLOSS:	:

 INPUT STRING:	أن
     IS_TRANS:	>n
        INDEX:	P78W7
      OFFSETS:	26-28
       TOKENS:	P78W9-P78W9
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>ano_1]
   UNSPLITVOC:	(>ano)
          POS:	SUB_CONJ
          VOC:	>ano
        GLOSS:	That, to

 INPUT STRING:	يعودوا
     IS_TRANS:	yEwdwA
        INDEX:	P78W8
      OFFSETS:	29-35
       TOKENS:	P78W10-P78W10
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[EAd-u_1]
   UNSPLITVOC:	(yaEuwduwA)
          POS:	IV3MP+IV+IVSUFF_SUBJ:MP_MOOD:SJ
          VOC:	ya+Euwd+uwA
        GLOSS:	they (people)+return/go back+[masc.pl.]

 INPUT STRING:	إلى
     IS_TRANS:	<lY
        INDEX:	P78W9
      OFFSETS:	36-39
       TOKENS:	P78W11-P78W11
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<ilaY_1]
   UNSPLITVOC:	(<ilaY)
          POS:	PREP
          VOC:	<ilaY
        GLOSS:	to/towards

 INPUT STRING:	دينهم
     IS_TRANS:	dynhm
        INDEX:	P78W10
      OFFSETS:	40-45
       TOKENS:	P78W12-P78W13
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[diyn_1]
   UNSPLITVOC:	(diynihim)
          POS:	NOUN+CASE_DEF_GEN+POSS_PRON_3MP
          VOC:	diyn+i+him
        GLOSS:	religion+[def.gen.]+their

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P78W11
      OFFSETS:	45-46
       TOKENS:	P78W14-P78W14
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	وأن
     IS_TRANS:	w>n
        INDEX:	P78W12
      OFFSETS:	47-50
       TOKENS:	P78W15-P78W16
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>ano_1]
   UNSPLITVOC:	(wa>ano)
          POS:	CONJ+SUB_CONJ
          VOC:	wa+>ano
        GLOSS:	and+That, to

 INPUT STRING:	يوحِّدوا
     IS_TRANS:	ywH~idwA
        INDEX:	P78W13
      OFFSETS:	51-59
       TOKENS:	P78W17-P78W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[waH~ad_1]
   UNSPLITVOC:	(yuwaH~iduwA)
          POS:	IV3P+IV+IVSUFF_SUBJ:P
          VOC:	yu+waH~id+uwA
        GLOSS:	they (people)+unite/unify/regularize+[masc.pl.]

 INPUT STRING:	صَفَّهم
     IS_TRANS:	Saf~ahm
        INDEX:	P78W14
      OFFSETS:	60-67
       TOKENS:	P78W18-P78W18
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(Saf~ahm)
          POS:	NO_FUNC
          VOC:	Saf~ahm
        GLOSS:	nogloss

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P78W15
      OFFSETS:	67-68
       TOKENS:	P78W19-P78W19
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P78W16
      OFFSETS:	68-69
       TOKENS:	P78W20-P78W20
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	ويومها
     IS_TRANS:	wywmhA
        INDEX:	P79W1
      OFFSETS:	0-6
       TOKENS:	P79W1-P79W3
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[yawom_1]
   UNSPLITVOC:	(wayawomahA)
          POS:	CONJ+NOUN+CASE_DEF_ACC+POSS_PRON_3FS
          VOC:	wa+yawom+a+hA
        GLOSS:	and+day+[def.acc.]+its/their/her

 INPUT STRING:	لن
     IS_TRANS:	ln
        INDEX:	P79W2
      OFFSETS:	7-9
       TOKENS:	P79W4-P79W4
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[lano_1]
   UNSPLITVOC:	(lano)
          POS:	NEG_PART
          VOC:	lano
        GLOSS:	not, never, nevermore

 INPUT STRING:	يتجرأ
     IS_TRANS:	ytjr>
        INDEX:	P79W3
      OFFSETS:	10-15
       TOKENS:	P79W5-P79W5
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[tajar~a>_1]
   UNSPLITVOC:	(yatajar~a>a)
          POS:	IV3MS+IV+IVSUFF_MOOD:S
          VOC:	ya+tajar~a>+a
        GLOSS:	he/it+dare/risk+[sub.]

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P79W4
      OFFSETS:	16-19
       TOKENS:	P79W6-P79W6
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	شعوب
     IS_TRANS:	$Ewb
        INDEX:	P79W5
      OFFSETS:	20-24
       TOKENS:	P79W7-P79W7
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$aEob_1]
   UNSPLITVOC:	($uEuwb)
          POS:	NOUN
          VOC:	$uEuwb
        GLOSS:	peoples/nations

 INPUT STRING:	المسلمين
     IS_TRANS:	Almslmyn
        INDEX:	P79W6
      OFFSETS:	25-33
       TOKENS:	P79W8-P79W8
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[musolim_1]
   UNSPLITVOC:	(Almusolimiyna)
          POS:	DET+ADJ+NSUFF_MASC_PL_GEN
          VOC:	Al+musolim+iyna
        GLOSS:	the+Muslim+[masc.pl.gen.]

 INPUT STRING:	وزعمائهم
     IS_TRANS:	wzEmA}hm
        INDEX:	P79W7
      OFFSETS:	34-42
       TOKENS:	P79W9-P79W11
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[zaEiym_1]
   UNSPLITVOC:	(wazuEamA}ihim)
          POS:	CONJ+NOUN+CASE_DEF_GEN+POSS_PRON_3MP
          VOC:	wa+zuEamA}+i+him
        GLOSS:	and+leaders/heads of state+[def.gen.]+their

 INPUT STRING:	صعلوكٌ
     IS_TRANS:	SElwkN
        INDEX:	P79W8
      OFFSETS:	43-49
       TOKENS:	P79W12-P79W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[SuEluwk_1]
   UNSPLITVOC:	(SuEluwkN)
          POS:	NOUN+CASE_INDEF_NOM
          VOC:	SuEluwk+N
        GLOSS:	vagrant/vagabond+[indef.nom.]

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P79W9
      OFFSETS:	50-52
       TOKENS:	P79W13-P79W13
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	الصهاينة
     IS_TRANS:	AlShAynp
        INDEX:	P79W10
      OFFSETS:	53-61
       TOKENS:	P79W14-P79W14
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[Sahoyuwniy~_1]
   UNSPLITVOC:	(AlSahAyinap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+SahAyin+ap
        GLOSS:	the+Zionists+[fem.sg.]

 INPUT STRING:	أو
     IS_TRANS:	>w
        INDEX:	P79W11
      OFFSETS:	62-64
       TOKENS:	P79W15-P79W15
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>awo_1]
   UNSPLITVOC:	(>awo)
          POS:	CONJ
          VOC:	>awo
        GLOSS:	Or, if not, unless, except if, except when

 INPUT STRING:	الغربيين
     IS_TRANS:	Algrbyyn
        INDEX:	P79W12
      OFFSETS:	65-73
       TOKENS:	P79W16-P79W16
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[garobiy~_1]
   UNSPLITVOC:	(Algarobiy~iyna)
