 INPUT STRING:	الرسالة
        INDEX:	P39W39
      OFFSETS:	183-186
       TOKENS:	P39W48-P39W48
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	كدة
     IS_TRANS:	kdp
        INDEX:	P39W40
      OFFSETS:	187-190
       TOKENS:	P39W49-P39W49
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidA_1]
   UNSPLITVOC:	(kidap)
          POS:	NOUN
          VOC:	kidA
        GLOSS:	this/like/something like/such/like that/that way/that

 INPUT STRING:	تعالى
     IS_TRANS:	tEAlY
        INDEX:	P39W41
      OFFSETS:	191-196
       TOKENS:	P39W50-P39W50
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taEAlay_1]
   UNSPLITVOC:	(taEAlaY)
          POS:	CV+CVSUFF_SUBJ:2MS
          VOC:	taEAlaY+(null)
        GLOSS:	be raised/be exalted/come+you

 INPUT STRING:	مثلا
     IS_TRANS:	mvlA
        INDEX:	P39W42
      OFFSETS:	197-201
       TOKENS:	P39W51-P39W51
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maval_1]
   UNSPLITVOC:	(mavalAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	maval+AF
        GLOSS:	example/proverb/for example/proverbs/examples+[acc.indef.]

 INPUT STRING:	وشوف
     IS_TRANS:	w$wf
        INDEX:	P39W43
      OFFSETS:	202-206
       TOKENS:	P39W52-P39W53
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$Af_1]
   UNSPLITVOC:	(wi$uwf)
          POS:	CONJ+CV+CVSUFF_SUBJ:2MS
          VOC:	wi+$uwf+(null)
        GLOSS:	and+look+you

 INPUT STRING:	مجال
     IS_TRANS:	mjAl
        INDEX:	P39W44
      OFFSETS:	207-211
       TOKENS:	P39W54-P39W54
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[majAl_1]
   UNSPLITVOC:	(majAl)
          POS:	NOUN
          VOC:	majAl
        GLOSS:	area/field/arena/context/opportunity/areas/fields/arenas

 INPUT STRING:	زى
     IS_TRANS:	zY
        INDEX:	P39W45
      OFFSETS:	212-214
       TOKENS:	P39W55-P39W55
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zay~_1]
   UNSPLITVOC:	(zay~)
          POS:	NOUN
          VOC:	zay~
        GLOSS:	as/like

 INPUT STRING:	الكمبيوتر
     IS_TRANS:	Alkmbywtr
        INDEX:	P39W46
      OFFSETS:	215-224
       TOKENS:	P39W56-P39W56
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kumobiyuwtar_1]
   UNSPLITVOC:	(Alkumobiyuwtar)
          POS:	DET+NOUN
          VOC:	Al+kumobiyuwtar
        GLOSS:	the+computer

 INPUT STRING:	وخد
     IS_TRANS:	wxd
        INDEX:	P39W47
      OFFSETS:	225-228
       TOKENS:	P39W57-P39W58
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aaxad_1]
   UNSPLITVOC:	(wixud)
          POS:	CONJ+CV+CVSUFF_SUBJ:2MS
          VOC:	wi+xud+(null)
        GLOSS:	and+take/begin/be taken/convey/treat/chose/receive and gain/marry+you

 INPUT STRING:	شريحه
     IS_TRANS:	$ryHh
        INDEX:	P39W48
      OFFSETS:	229-234
       TOKENS:	P39W59-P39W59
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ariyHap_1]
   UNSPLITVOC:	($ariyHap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	$ariyH+ap
        GLOSS:	slice/slide/slices/slides+[fem.sg.]

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P39W49
      OFFSETS:	235-237
       TOKENS:	P39W60-P39W60
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P39W50
      OFFSETS:	238-241
       TOKENS:	P39W61-P39W61
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSor_1]
   UNSPLITVOC:	(maSor)
          POS:	NOUN_PROP
          VOC:	maSor
        GLOSS:	Egypt

 INPUT STRING:	مثلا
     IS_TRANS:	mvlA
        INDEX:	P39W51
      OFFSETS:	242-246
       TOKENS:	P39W62-P39W62
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maval_1]
   UNSPLITVOC:	(mavalAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	maval+AF
        GLOSS:	example/proverb/for example/proverbs/examples+[acc.indef.]

 INPUT STRING:	وشوف
     IS_TRANS:	w$wf
        INDEX:	P40W1
      OFFSETS:	0-4
       TOKENS:	P40W1-P40W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$Af_1]
   UNSPLITVOC:	(wi$uwf)
          POS:	CONJ+CV+CVSUFF_SUBJ:2MS
          VOC:	wi+$uwf+(null)
        GLOSS:	and+look+you

 INPUT STRING:	هل
     IS_TRANS:	hl
        INDEX:	P40W2
      OFFSETS:	5-7
       TOKENS:	P40W3-P40W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hal_1]
   UNSPLITVOC:	(hal)
          POS:	INTERROG_PART
          VOC:	hal
        GLOSS:	do?/is?

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P40W3
      OFFSETS:	8-10
       TOKENS:	P40W4-P40W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all, entire, every, whole

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P40W4
      OFFSETS:	11-15
       TOKENS:	P40W5-P40W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who/whom/which

 INPUT STRING:	بيتعاملوا
     IS_TRANS:	bytEAmlwA
        INDEX:	P40W5
      OFFSETS:	16-25
       TOKENS:	P40W6-P40W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AitoEAmil_1]
   UNSPLITVOC:	(biyitoEAmoluwA)
          POS:	PROG_PART+IV3P+IV+IVSUFF_SUBJ:P
          VOC:	bi+yi+toEAmol+uwA
        GLOSS:	[present-tense]+they+deal with+[pl.]

 INPUT STRING:	مع
     IS_TRANS:	mE
        INDEX:	P40W6
      OFFSETS:	26-28
       TOKENS:	P40W8-P40W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maE)
          POS:	NOUN
          VOC:	maEa
        GLOSS:	something with

 INPUT STRING:	الكمبيوتر
     IS_TRANS:	Alkmbywtr
        INDEX:	P40W7
      OFFSETS:	29-38
       TOKENS:	P40W9-P40W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kumobiyuwtar_1]
   UNSPLITVOC:	(Alkumobiyuwtar)
          POS:	DET+NOUN
          VOC:	Al+kumobiyuwtar
        GLOSS:	the+computer

 INPUT STRING:	دارسينه
     IS_TRANS:	dArsynh
        INDEX:	P40W8
      OFFSETS:	39-46
       TOKENS:	P40W10-P40W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[dAris_1]
   UNSPLITVOC:	(dArosiynuh)
          POS:	ADJ+NSUFF_MASC_PL+PRON_3MS
          VOC:	dAros+iyn+uh
        GLOSS:	studying+[pl.]+him/it

 INPUT STRING:	او
     IS_TRANS:	Aw
        INDEX:	P40W9
      OFFSETS:	47-49
       TOKENS:	P40W12-P40W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aw_1]
   UNSPLITVOC:	(>aw)
          POS:	CONJ
          VOC:	>aw
        GLOSS:	or

 INPUT STRING:	واخدين
     IS_TRANS:	wAxdyn
        INDEX:	P40W10
      OFFSETS:	50-56
       TOKENS:	P40W13-P40W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wAxid_1]
   UNSPLITVOC:	(wAxodiyn)
          POS:	ADJ+NSUFF_MASC_PL
          VOC:	wAxod+iyn
        GLOSS:	taking+[masc.pl.]

 INPUT STRING:	دورات
     IS_TRANS:	dwrAt
        INDEX:	P40W11
      OFFSETS:	57-62
       TOKENS:	P40W14-P40W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dawrap_1]
   UNSPLITVOC:	(dawrAt)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	dawr+At
        GLOSS:	championship/tournament/games/tournaments/matches/cycle/turn/rotation+[fem.pl.]

 INPUT STRING:	او
     IS_TRANS:	Aw
        INDEX:	P40W12
      OFFSETS:	63-65
       TOKENS:	P40W15-P40W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aw_1]
   UNSPLITVOC:	(>aw)
          POS:	CONJ
          VOC:	>aw
        GLOSS:	Or/if not/unless/except if/except when

 INPUT STRING:	غيره
     IS_TRANS:	gyrh
        INDEX:	P40W13
      OFFSETS:	66-70
       TOKENS:	P40W16-P40W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[giyr_1]
   UNSPLITVOC:	(giyruh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	giyr+uh
        GLOSS:	apart from/without/other/execpt/except/not+his/its

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P40W14
      OFFSETS:	71-72
       TOKENS:	P40W18-P40W18
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	طبعا
     IS_TRANS:	TbEA
        INDEX:	P41W1
      OFFSETS:	0-4
       TOKENS:	P41W1-P41W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[TaboE_1]
   UNSPLITVOC:	(TaboEAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	TaboE+AF
        GLOSS:	temperament/naturally/of course/printing+[acc.indef.]

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P41W2
      OFFSETS:	5-7
       TOKENS:	P41W2-P41W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	INTERJ
          VOC:	lA
        GLOSS:	no

 INPUT STRING:	فيه
     IS_TRANS:	fyh
        INDEX:	P41W3
      OFFSETS:	8-11
       TOKENS:	P41W3-P41W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyh)
          POS:	PREP+PRON_3MS
          VOC:	fiy+uh
        GLOSS:	in+it/him

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P41W4
      OFFSETS:	12-16
       TOKENS:	P41W5-P41W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who/whom/which

 INPUT STRING:	اخد
     IS_TRANS:	Axd
        INDEX:	P41W5
      OFFSETS:	17-20
       TOKENS:	P41W6-P41W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>axa*_1]
   UNSPLITVOC:	(>axad)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	>axa*+(null)
        GLOSS:	take/begin/be taken+he/it

 INPUT STRING:	دوره
     IS_TRANS:	dwrh
        INDEX:	P41W6
      OFFSETS:	21-25
       TOKENS:	P41W7-P41W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dawrap_1]
   UNSPLITVOC:	(dawrap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	dawr+ap
        GLOSS:	championship/tournament/games/tournaments/matches/cycle/turn/rotation+[fem.sg.]

 INPUT STRING:	واللي
     IS_TRANS:	wAlly
        INDEX:	P41W7
      OFFSETS:	26-31
       TOKENS:	P41W8-P41W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Aill~iy_1]
   UNSPLITVOC:	(wiAill~iy)
          POS:	CONJ+REL_PRON
          VOC:	wi+Aill~iy
        GLOSS:	and+who/whom/which

 INPUT STRING:	اتعلمه
     IS_TRANS:	AtElmh
        INDEX:	P41W8
      OFFSETS:	32-38
       TOKENS:	P41W10-P41W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eal~im_1]
   UNSPLITVOC:	(AitoEal~imuh)
          POS:	PV_PASS+PVSUFF_SUBJ:3MS+PVSUFF_DO:3MS
          VOC:	AitoEal~im+(null)+uh
        GLOSS:	be educated/be taught+he/it+it/him

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P41W9
      OFFSETS:	39-41
       TOKENS:	P41W12-P41W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	طول
     IS_TRANS:	Twl
        INDEX:	P41W10
      OFFSETS:	42-45
       TOKENS:	P41W13-P41W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tuwl_1]
   UNSPLITVOC:	(Tuwl)
          POS:	NOUN
          VOC:	Tuwl
        GLOSS:	length/height/lengths/heights

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P41W11
      OFFSETS:	46-48
       TOKENS:	P41W14-P41W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	SUB_CONJ
          VOC:	mA
        GLOSS:	that, whether

 INPUT STRING:	بيقعد
     IS_TRANS:	byqEd
        INDEX:	P41W12
      OFFSETS:	49-54
       TOKENS:	P41W15-P41W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qaEad_1]
   UNSPLITVOC:	(biyuqoEud)
          POS:	PROG_PART+IV3MS+IV
          VOC:	bi+yu+qoEud
        GLOSS:	[present-tense]+he/it+sit down/be seated/remain

 INPUT STRING:	جنب
     IS_TRANS:	jnb
        INDEX:	P41W13
      OFFSETS:	55-58
       TOKENS:	P41W17-P41W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[janob_1]
   UNSPLITVOC:	(janob)
          POS:	NOUN
          VOC:	janob
        GLOSS:	beside

 INPUT STRING:	اصحابه
     IS_TRANS:	ASHAbh
        INDEX:	P41W14
      OFFSETS:	59-65
       TOKENS:	P41W18-P41W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SAHib_1]
   UNSPLITVOC:	(>aSoHAbuh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	>aSoHAb+uh
        GLOSS:	owner/originator/owners/originators/friend/companion/friends/companions+his/its

 INPUT STRING:	وهما
     IS_TRANS:	whmA
        INDEX:	P41W15
      OFFSETS:	66-70
       TOKENS:	P41W20-P41W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hum~a_1]
   UNSPLITVOC:	(wihum~a)
          POS:	SUB_CONJ+PRON_3P
          VOC:	wi+hum~a
        GLOSS:	while+they [masc.pl]/they

 INPUT STRING:	بيستخدموه
     IS_TRANS:	bystxdmwh
        INDEX:	P41W16
      OFFSETS:	71-80
       TOKENS:	P41W22-P41W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aisotaxodim_1]
   UNSPLITVOC:	(biyisotaxodimuwh)
          POS:	PROG_PART+IV3P+IV+IVSUFF_SUBJ:P+IVSUFF_DO:3MS
          VOC:	bi+yi+sotaxodim+uwA+uh
        GLOSS:	[present-tense]+they+employ/utilize/use+they+it/him

 INPUT STRING:	ومنهم
     IS_TRANS:	wmnhm
        INDEX:	P41W17
      OFFSETS:	81-86
       TOKENS:	P41W25-P41W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(wiminhum)
          POS:	CONJ+PREP+PRON_3P
          VOC:	wi+min+hum
        GLOSS:	and+from+them

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P41W18
      OFFSETS:	87-91
       TOKENS:	P41W28-P41W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who/whom/which

 INPUT STRING:	عرف
     IS_TRANS:	Erf
        INDEX:	P41W19
      OFFSETS:	92-95
       TOKENS:	P41W29-P41W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eirif_1]
   UNSPLITVOC:	(Eirif)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	Eirif+(null)
        GLOSS:	be known/know+he/it

 INPUT STRING:	كلمتين
     IS_TRANS:	klmtyn
        INDEX:	P41W20
      OFFSETS:	96-102
       TOKENS:	P41W30-P41W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kilomap_1]
   UNSPLITVOC:	(kilomitayn)
          POS:	NOUN+NSUFF_FEM_DU
          VOC:	kilom+itayn
        GLOSS:	talk/remark/speech/saying+two

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P41W21
      OFFSETS:	103-105
       TOKENS:	P41W31-P41W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	الكمبيوتر
     IS_TRANS:	Alkmbywtr
        INDEX:	P41W22
      OFFSETS:	106-115
       TOKENS:	P41W32-P41W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kumobiyuwtar_1]
   UNSPLITVOC:	(Alkumobiyuwtar)
          POS:	DET+NOUN
          VOC:	Al+kumobiyuwtar
        GLOSS:	the+computer

 INPUT STRING:	وراح
     IS_TRANS:	wrAH
        INDEX:	P41W23
      OFFSETS:	116-120
       TOKENS:	P41W33-P41W34
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rAH_1]
   UNSPLITVOC:	(wirAH)
          POS:	CONJ+PV+PVSUFF_SUBJ:3MS
          VOC:	wi+rAH+(null)
        GLOSS:	and+begin/go+he/it

 INPUT STRING:	اشتغل
     IS_TRANS:	A$tgl
        INDEX:	P41W24
      OFFSETS:	121-126
       TOKENS:	P41W35-P41W35
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ai$otagal_1]
   UNSPLITVOC:	(Ai$otagal)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	Ai$otagal+(null)
        GLOSS:	work+he/it

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P41W25
      OFFSETS:	127-129
       TOKENS:	P41W36-P41W36
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	سيبر
     IS_TRANS:	sybr
        INDEX:	P41W26
      OFFSETS:	130-134
       TOKENS:	P41W37-P41W37
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(sybr)
          POS:	FOREIGN
          VOC:	sybr
        GLOSS:	nogloss

 INPUT STRING:	وبقى
     IS_TRANS:	wbqY
        INDEX:	P41W27
      OFFSETS:	135-139
       TOKENS:	P41W38-P41W39
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[baqaY_2]
   UNSPLITVOC:	(wibaqaY)
          POS:	CONJ+PV+PVSUFF_SUBJ:3MS
          VOC:	wi+baqaY+(null)
        GLOSS:	and+be/became/become/last/remain+he/it

 INPUT STRING:	زي
     IS_TRANS:	zy
        INDEX:	P41W28
      OFFSETS:	140-142
       TOKENS:	P41W40-P41W40
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zay~_1]
   UNSPLITVOC:	(zay~)
          POS:	NOUN
          VOC:	zay~
        GLOSS:	like/as

 INPUT STRING:	الفل
     IS_TRANS:	Alfl
        INDEX:	P41W29
      OFFSETS:	143-147
       TOKENS:	P41W41-P41W41
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ful~_1]
   UNSPLITVOC:	(Alful~)
          POS:	DET+NOUN
          VOC:	Al+ful~
        GLOSS:	the+jasmine

 INPUT STRING:	دلوقت
     IS_TRANS:	dlwqt
        INDEX:	P41W30
      OFFSETS:	148-153
       TOKENS:	P41W42-P41W42
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dilowaqot_1]
   UNSPLITVOC:	(dilowaqot)
          POS:	ADV
          VOC:	dilowaqot
        GLOSS:	now

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P41W31
      OFFSETS:	154-156
       TOKENS:	P41W43-P41W43
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	قعدته
     IS_TRANS:	qEdth
        INDEX:	P41W32
      OFFSETS:	157-162
       TOKENS:	P41W44-P41W45
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qaEodap_1]
   UNSPLITVOC:	(qaEodituh)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_3MS
          VOC:	qaEod+ap+uh
        GLOSS:	sitting place/seat+[fem.sg.]+his/its

 INPUT STRING:	عالنت
     IS_TRANS:	EAlnt
        INDEX:	P41W33
      OFFSETS:	163-168
       TOKENS:	P41W46-P41W47
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[nit_1]
   UNSPLITVOC:	(EaAlnit)
          POS:	PREP+DET+NOUN_PROP
          VOC:	Ea+Al+nit
        GLOSS:	on/above+the+net

 INPUT STRING:	وانا
     IS_TRANS:	wAnA
        INDEX:	P41W34
      OFFSETS:	169-173
       TOKENS:	P41W48-P41W49
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>anA_1]
   UNSPLITVOC:	(wi>anA)
          POS:	CONJ+PRON_1S
          VOC:	wi+>anA
        GLOSS:	and+I

 INPUT STRING:	شخصيا
     IS_TRANS:	$xSyA
        INDEX:	P41W35
      OFFSETS:	174-179
       TOKENS:	P41W50-P41W50
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$axoSiy~_1]
   UNSPLITVOC:	($axoSiy~AF)
          POS:	ADJ+CASE_INDEF_ACC
          VOC:	$axoSiy~+AF
        GLOSS:	private/in person/personal/personally+[acc.indef.]

 INPUT STRING:	اعرف
     IS_TRANS:	AErf
        INDEX:	P41W36
      OFFSETS:	180-184
       TOKENS:	P41W51-P41W51
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eirif_1]
   UNSPLITVOC:	(AaEoraf)
          POS:	IV1S+IV
          VOC:	Aa+Eoraf
        GLOSS:	I+be known/know

 INPUT STRING:	واحد
     IS_TRANS:	wAHd
        INDEX:	P41W37
      OFFSETS:	185-189
       TOKENS:	P41W52-P41W52
