 INPUT STRING:	ألحقو
 INPUT STRING:	بيراقبوا
     IS_TRANS:	byrAqbwA
        INDEX:	P15W10
      OFFSETS:	46-54
       TOKENS:	P15W14-P15W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rAqib_1]
   UNSPLITVOC:	(biyirAqobuwA)
          POS:	PROG_PART+IV3P+IV+IVSUFF_SUBJ:P
          VOC:	bi+yi+rAqob+uwA
        GLOSS:	[present-tense]+they+supervise+we

 INPUT STRING:	ادام
     IS_TRANS:	AdAm
        INDEX:	P15W11
      OFFSETS:	55-59
       TOKENS:	P15W16-P15W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mAdAm_1]
   UNSPLITVOC:	(mAdAm)
          POS:	SUB_CONJ
          VOC:	mAdAm
        GLOSS:	as long as

 INPUT STRING:	الموضوع
     IS_TRANS:	AlmwDwE
        INDEX:	P15W12
      OFFSETS:	60-67
       TOKENS:	P15W17-P15W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mawDuwE_1]
   UNSPLITVOC:	(AlmawDuwE)
          POS:	DET+NOUN
          VOC:	Al+mawDuwE
        GLOSS:	the+subject/theme/issue

 INPUT STRING:	فيه
     IS_TRANS:	fyh
        INDEX:	P15W13
      OFFSETS:	68-71
       TOKENS:	P15W18-P15W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyh)
          POS:	PREP+PRON_3MS
          VOC:	fiy+uh
        GLOSS:	in+he/it

 INPUT STRING:	البرادعى
     IS_TRANS:	AlbrAdEY
        INDEX:	P15W14
      OFFSETS:	72-80
       TOKENS:	P15W20-P15W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[barAdiEiy~_2]
   UNSPLITVOC:	(AlbarAdiEiy~)
          POS:	DET+NOUN_PROP
          VOC:	Al+barAdiEiy~
        GLOSS:	the+Baradei

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P16W1
      OFFSETS:	0-3
       TOKENS:	P16W1-P16W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I

 INPUT STRING:	بصراحة
     IS_TRANS:	bSrAHp
        INDEX:	P16W2
      OFFSETS:	4-10
       TOKENS:	P16W2-P16W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SarAHap_1]
   UNSPLITVOC:	(biSarAHap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	bi+SarAH+ap
        GLOSS:	with/by+sincerity/candor/frankness/explicitly/openly+[fem.sg.]

 INPUT STRING:	مبطق
     IS_TRANS:	mbTq
        INDEX:	P16W3
      OFFSETS:	11-15
       TOKENS:	P16W4-P16W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[TAq_1]
   UNSPLITVOC:	(mab>aTiyq)
          POS:	NEG_PART+PROG_PART+IV1S+IV
          VOC:	ma+b+>a+Tiyq
        GLOSS:	not+will+I+stand

 INPUT STRING:	البردعى
     IS_TRANS:	AlbrdEY
        INDEX:	P16W4
      OFFSETS:	16-23
       TOKENS:	P16W7-P16W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baradoEiy_1]
   UNSPLITVOC:	(AlbaradoEiy)
          POS:	DET+NOUN_PROP
          VOC:	Al+baradoEiy
        GLOSS:	the+Baradei

 INPUT STRING:	دا
     IS_TRANS:	dA
        INDEX:	P16W5
      OFFSETS:	24-26
       TOKENS:	P16W8-P16W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	وحسه
     IS_TRANS:	wHsh
        INDEX:	P16W6
      OFFSETS:	27-31
       TOKENS:	P16W9-P16W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Has~_1]
   UNSPLITVOC:	(w>aHis~uh)
          POS:	CONJ+IV1S+IV+IVSUFF_DO:3MS
          VOC:	w+>a+His~+uh
        GLOSS:	and+I+feel+him/it

 INPUT STRING:	انو
     IS_TRANS:	Anw
        INDEX:	P16W7
      OFFSETS:	32-35
       TOKENS:	P16W12-P16W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Ain~_1]
   UNSPLITVOC:	(Ain~uw)
          POS:	SUB_CONJ+PRON_3MS
          VOC:	Ain~+uw
        GLOSS:	that+he/it

 INPUT STRING:	عايز
     IS_TRANS:	EAyz
        INDEX:	P16W8
      OFFSETS:	36-40
       TOKENS:	P16W14-P16W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAyiz_1]
   UNSPLITVOC:	(EAyiz)
          POS:	ADJ.VN
          VOC:	EAyiz
        GLOSS:	wanting

 INPUT STRING:	يخربها
     IS_TRANS:	yxrbhA
        INDEX:	P16W9
      OFFSETS:	41-47
       TOKENS:	P16W15-P16W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[xarab_1]
   UNSPLITVOC:	(yixribhA)
          POS:	IV3MS+IV+IVSUFF_DO:3FS
          VOC:	yi+xrib+hA
        GLOSS:	he/it+destroy+it/them/her

 INPUT STRING:	ويقعد
     IS_TRANS:	wyqEd
        INDEX:	P16W10
      OFFSETS:	48-53
       TOKENS:	P16W17-P16W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qaEad_1]
   UNSPLITVOC:	(wiyiqoEud)
          POS:	CONJ+IV3MS+IV
          VOC:	wi+yi+qoEud
        GLOSS:	and+he/it+sit down/be seated/remain

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P16W11
      OFFSETS:	54-57
       TOKENS:	P16W19-P16W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	وهوه
     IS_TRANS:	whwh
        INDEX:	P17W1
      OFFSETS:	1-5
       TOKENS:	P17W1-P17W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(wihuw~a)
          POS:	CONJ+PRON_3MS
          VOC:	wi+huw~a
        GLOSS:	and+he/it

 INPUT STRING:	البرادعي
     IS_TRANS:	AlbrAdEy
        INDEX:	P17W2
      OFFSETS:	6-14
       TOKENS:	P17W3-P17W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[barAdiEiy~_2]
   UNSPLITVOC:	(AlbarAdiEiy~)
          POS:	DET+NOUN_PROP
          VOC:	Al+barAdiEiy~
        GLOSS:	the+Baradei

 INPUT STRING:	عملي
     IS_TRANS:	Emly
        INDEX:	P17W3
      OFFSETS:	15-19
       TOKENS:	P17W4-P17W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eam~_1]
   UNSPLITVOC:	(Eam~_liy)
          POS:	PV+PVSUFF_SUBJ:3MS+PREP+PRON_1S
          VOC:	Eam~+(null)+li+iy
        GLOSS:	did+he/it+to/for+I

 INPUT STRING:	ايه
     IS_TRANS:	Ayh
        INDEX:	P17W4
      OFFSETS:	20-23
       TOKENS:	P17W7-P17W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>iyoh_1]
   UNSPLITVOC:	(>iyoh)
          POS:	INTERROG_PRON
          VOC:	>iyoh
        GLOSS:	what

 INPUT STRING:	عشان
     IS_TRANS:	E$An
        INDEX:	P17W5
      OFFSETS:	24-28
       TOKENS:	P17W8-P17W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$a>on_1]
   UNSPLITVOC:	(Ea$a>on)
          POS:	PREP+NOUN
          VOC:	Ea+$a>on
        GLOSS:	on/above+matter/affair/case/importance/status/situation/condition/affairs/matters

 INPUT STRING:	اعمل
     IS_TRANS:	AEml
        INDEX:	P17W6
      OFFSETS:	29-33
       TOKENS:	P17W10-P17W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(AaEomil)
          POS:	IV1S+IV
          VOC:	Aa+Eomil
        GLOSS:	I+do

 INPUT STRING:	بكلامو
     IS_TRANS:	bklAmw
        INDEX:	P17W7
      OFFSETS:	34-40
       TOKENS:	P17W11-P17W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kalAm_1]
   UNSPLITVOC:	(bikalAmuh)
          POS:	PREP+NOUN+POSS_PRON_3MS
          VOC:	bi+kalAm+uh
        GLOSS:	with/by+speech/statement/remark/talk/saying+his/its

 INPUT STRING:	ايه
     IS_TRANS:	Ayh
        INDEX:	P17W8
      OFFSETS:	41-44
       TOKENS:	P17W14-P17W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>iyoh_1]
   UNSPLITVOC:	(>iyoh)
          POS:	INTERROG_PRON
          VOC:	>iyoh
        GLOSS:	what

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P17W9
      OFFSETS:	45-49
       TOKENS:	P17W15-P17W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which

 INPUT STRING:	عملو
     IS_TRANS:	Emlw
        INDEX:	P17W10
      OFFSETS:	50-54
       TOKENS:	P17W16-P17W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(Eamaluh)
          POS:	PV+PVSUFF_SUBJ:3MS+PVSUFF_DO:3MS
          VOC:	Eamal+(null)+uh
        GLOSS:	did+he/it+it/him

 INPUT STRING:	لمصر
     IS_TRANS:	lmSr
        INDEX:	P17W11
      OFFSETS:	55-59
       TOKENS:	P17W18-P17W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSor_1]
   UNSPLITVOC:	(limaSor)
          POS:	PREP+NOUN_PROP
          VOC:	li+maSor
        GLOSS:	for/to+Egypt

 INPUT STRING:	يعني
     IS_TRANS:	yEny
        INDEX:	P17W12
      OFFSETS:	60-64
       TOKENS:	P17W20-P17W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EanaY_1]
   UNSPLITVOC:	(yaEoniy)
          POS:	IV3MS+IV
          VOC:	ya+Eoniy
        GLOSS:	he/it+mean

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P17W13
      OFFSETS:	64-65
       TOKENS:	P17W21-P17W21
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P17W14
      OFFSETS:	65-66
       TOKENS:	P17W22-P17W22
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	هل
     IS_TRANS:	hl
        INDEX:	P18W1
      OFFSETS:	0-2
       TOKENS:	P18W1-P18W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hal_1]
   UNSPLITVOC:	(hal)
          POS:	INTERROG_PART
          VOC:	hal
        GLOSS:	do?/is?

 INPUT STRING:	مطلوب
     IS_TRANS:	mTlwb
        INDEX:	P18W2
      OFFSETS:	3-8
       TOKENS:	P18W2-P18W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maToluwb_1]
   UNSPLITVOC:	(maToluwb)
          POS:	ADJ
          VOC:	maToluwb
        GLOSS:	required/necessary/demanded/wanted

 INPUT STRING:	مني
     IS_TRANS:	mny
        INDEX:	P18W3
      OFFSETS:	9-12
       TOKENS:	P18W3-P18W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min~iy)
          POS:	PREP+PRON_1S
          VOC:	min~+iy
        GLOSS:	from+I

 INPUT STRING:	اني
     IS_TRANS:	Any
        INDEX:	P18W4
      OFFSETS:	13-16
       TOKENS:	P18W5-P18W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>an~_1]
   UNSPLITVOC:	(>an~iy)
          POS:	SUB_CONJ+PRON_1S
          VOC:	>an~+iy
        GLOSS:	that+I

 INPUT STRING:	انساق
     IS_TRANS:	AnsAq
        INDEX:	P18W5
      OFFSETS:	17-22
       TOKENS:	P18W7-P18W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AinosAq_1]
   UNSPLITVOC:	(AanosAq)
          POS:	IV1S+IV
          VOC:	Aa+nosAq
        GLOSS:	I+follow

 INPUT STRING:	ورا
     IS_TRANS:	wrA
        INDEX:	P18W6
      OFFSETS:	23-26
       TOKENS:	P18W8-P18W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[warA_1]
   UNSPLITVOC:	(warA)
          POS:	NOUN
          VOC:	warA
        GLOSS:	behind

 INPUT STRING:	شخص
     IS_TRANS:	$xS
        INDEX:	P18W7
      OFFSETS:	27-30
       TOKENS:	P18W9-P18W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$axoS_1]
   UNSPLITVOC:	($axoS)
          POS:	NOUN
          VOC:	$axoS
        GLOSS:	individual/person/individuals/persons

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P18W8
      OFFSETS:	31-33
       TOKENS:	P18W10-P18W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	بيوريني
     IS_TRANS:	bywryny
        INDEX:	P18W9
      OFFSETS:	34-41
       TOKENS:	P18W11-P18W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[war~aY_1]
   UNSPLITVOC:	(biyiwar~iyniy)
          POS:	PROG_PART+IV3MS+IV+IVSUFF_DO:1S
          VOC:	bi+yi+war~iy+niy
        GLOSS:	[present-tense]+he/it+stoke/kindle/conceal/feign/be stoked/be kindled/be concealed/be feigned+me

 INPUT STRING:	هوه
     IS_TRANS:	hwh
        INDEX:	P18W10
      OFFSETS:	42-45
       TOKENS:	P18W14-P18W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[huw~ah_1]
   UNSPLITVOC:	(huw~ah)
          POS:	PRON_3MS
          VOC:	huw~ah
        GLOSS:	he/it

 INPUT STRING:	هيفدني
     IS_TRANS:	hyfdny
        INDEX:	P18W11
      OFFSETS:	46-52
       TOKENS:	P18W15-P18W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[fAd_1]
   UNSPLITVOC:	(Hayfidniy)
          POS:	FUT_PART+IV3MS+IV
          VOC:	Ha+y+fidniy
        GLOSS:	will+he/it+benefit

 INPUT STRING:	بايه
     IS_TRANS:	bAyh
        INDEX:	P18W12
      OFFSETS:	53-57
       TOKENS:	P18W17-P18W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aayoh_1]
   UNSPLITVOC:	(bi<iyh)
          POS:	PREP+INTERROG_PRON
          VOC:	bi+<iyh
        GLOSS:	with+what

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P19W1
      OFFSETS:	0-2
       TOKENS:	P19W1-P19W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	عايز
     IS_TRANS:	EAyz
        INDEX:	P19W2
      OFFSETS:	3-7
       TOKENS:	P19W2-P19W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAyiz_1]
   UNSPLITVOC:	(EAyiz)
          POS:	ADJ.VN
          VOC:	EAyiz
        GLOSS:	wanting

 INPUT STRING:	يسخن
     IS_TRANS:	ysxn
        INDEX:	P19W3
      OFFSETS:	8-12
       TOKENS:	P19W3-P19W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sax~an_1]
   UNSPLITVOC:	(yisax~an)
          POS:	IV3MS+IV
          VOC:	yi+sax~an
        GLOSS:	he/it+heat/warm

 INPUT STRING:	الناس
     IS_TRANS:	AlnAs
        INDEX:	P19W4
      OFFSETS:	13-18
       TOKENS:	P19W4-P19W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAs_1]
   UNSPLITVOC:	(Aln~As)
          POS:	DET+NOUN
          VOC:	Al+nAs
        GLOSS:	the+people

 INPUT STRING:	علي
     IS_TRANS:	Ely
        INDEX:	P19W5
      OFFSETS:	19-22
       TOKENS:	P19W5-P19W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	اشخاص
     IS_TRANS:	A$xAS
        INDEX:	P19W6
      OFFSETS:	23-28
       TOKENS:	P19W6-P19W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$axoS_1]
   UNSPLITVOC:	(>a$oxAS)
          POS:	NOUN
          VOC:	>a$oxAS
        GLOSS:	individuals/persons

 INPUT STRING:	تانيه
     IS_TRANS:	tAnyh
        INDEX:	P19W7
      OFFSETS:	29-34
       TOKENS:	P19W7-P19W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tAniy_1]
   UNSPLITVOC:	(tAnoyap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	tAnoy+ap
        GLOSS:	second+[fem.sg.]

 INPUT STRING:	عشان
     IS_TRANS:	E$An
        INDEX:	P19W8
      OFFSETS:	35-39
       TOKENS:	P19W8-P19W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$a>on_1]
   UNSPLITVOC:	(Ea$a>on)
          POS:	PREP+NOUN
          VOC:	Ea+$a>on
        GLOSS:	on/above+matter/affair/case/importance/status/situation/condition/affairs/matters

 INPUT STRING:	مصلحتو
     IS_TRANS:	mSlHtw
        INDEX:	P19W9
      OFFSETS:	40-46
       TOKENS:	P19W10-P19W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[maSolaHap_1]
   UNSPLITVOC:	(maSolaHatuh)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_3MS
          VOC:	maSolaH+at+uh
        GLOSS:	department/agency+[fem.sg.]+his/its

 INPUT STRING:	هوه
     IS_TRANS:	hwh
        INDEX:	P19W10
      OFFSETS:	47-50
       TOKENS:	P19W12-P19W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[huw~ah_1]
   UNSPLITVOC:	(huw~ah)
          POS:	PRON_3MS
          VOC:	huw~ah
        GLOSS:	he/it

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P19W11
      OFFSETS:	51-53
       TOKENS:	P19W13-P19W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bas~_1]
   UNSPLITVOC:	(bas~)
          POS:	ADV
          VOC:	bas~
        GLOSS:	only

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P20W1
      OFFSETS:	0-2
       TOKENS:	P20W1-P20W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	INTERJ
          VOC:	lA
        GLOSS:	no

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P20W2
      OFFSETS:	3-4
       TOKENS:	P20W2-P20W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wa_1]
   UNSPLITVOC:	(wa)
          POS:	CONJ
          VOC:	wa
        GLOSS:	and

 INPUT STRING:	بيدير
     IS_TRANS:	bydyr
        INDEX:	P20W3
      OFFSETS:	5-10
       TOKENS:	P20W3-P20W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>adAr_1]
   UNSPLITVOC:	(biyidiyr)
          POS:	PROG_PART+IV3MS+IV
          VOC:	bi+yi+diyr
        GLOSS:	[present-tense]+he/it+run

 INPUT STRING:	حملته
     IS_TRANS:	Hmlth
        INDEX:	P20W4
      OFFSETS:	11-16
       TOKENS:	P20W5-P20W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Hamlap_1]
   UNSPLITVOC:	(Hamlituh)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_3MS
          VOC:	Haml+it+uh
        GLOSS:	campaign+[fem.sg.]+his/its

 INPUT STRING:	عبر
     IS_TRANS:	Ebr
        INDEX:	P20W5
      OFFSETS:	17-20
       TOKENS:	P20W7-P20W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eiborap_1]
   UNSPLITVOC:	(Eibar)
          POS:	NOUN
          VOC:	Eibar
        GLOSS:	across/over/via/by means of/crossing

 INPUT STRING:	الانترنت
     IS_TRANS:	AlAntrnt
        INDEX:	P20W6
      OFFSETS:	21-29
       TOKENS:	P20W8-P20W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<inotironit_1]
   UNSPLITVOC:	(Al<inotironit)
          POS:	DET+NOUN_PROP
          VOC:	Al+<inotironit
        GLOSS:	the+Internet

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P20W7
      OFFSETS:	30-31
       TOKENS:	P20W9-P20W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wa_1]
   UNSPLITVOC:	(wa)
          POS:	CONJ
          VOC:	wa
        GLOSS:	and

 INPUT STRING:	الس
     IS_TRANS:	Als
        INDEX:	P20W8
      OFFSETS:	32-35
       TOKENS:	P20W10-P20W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Al_1]
   UNSPLITVOC:	(Al>as)
          POS:	DET+ABBREV
          VOC:	Al+>as
        GLOSS:	the+S

 INPUT STRING:	ام
     IS_TRANS:	Am
        INDEX:	P20W9
      OFFSETS:	36-38
       TOKENS:	P20W11-P20W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Am_1]
   UNSPLITVOC:	(Am)
          POS:	ABBREV
          VOC:	Am
        GLOSS:	m

 INPUT STRING:	اس
     IS_TRANS:	As
        INDEX:	P20W10
      OFFSETS:	39-41
       TOKENS:	P20W12-P20W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[As_1]
   UNSPLITVOC:	(As)
          POS:	ABBREV
          VOC:	As
        GLOSS:	S

 INPUT STRING:	ضحكتينى
     IS_TRANS:	DHktynY
        INDEX:	P21W1
      OFFSETS:	0-7
       TOKENS:	P21W1-P21W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DaH~ak_1]
   UNSPLITVOC:	(DaH~aktiyniy)
          POS:	PV+PVSUFF_SUBJ:2FS+PVSUFF_DO:1S
          VOC:	DaH~ak+tiy+niy
        GLOSS:	make someone laugh+you+me

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P21W2
      OFFSETS:	8-10
       TOKENS:	P21W3-P21W3
