 INPUT STRING:	أعلن
          VOC:	mAt+(null)
        GLOSS:	die/pass away+he/it

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P23W1
      OFFSETS:	0-2
       TOKENS:	P23W1-P23W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O, oh

 INPUT STRING:	اما
     IS_TRANS:	AmA
        INDEX:	P23W2
      OFFSETS:	3-6
       TOKENS:	P23W2-P23W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<im~A_1]
   UNSPLITVOC:	(<im~A)
          POS:	CONJ
          VOC:	<im~A
        GLOSS:	Either, whether, if

 INPUT STRING:	يتم
     IS_TRANS:	ytm
        INDEX:	P23W3
      OFFSETS:	7-10
       TOKENS:	P23W3-P23W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tam~_1]
   UNSPLITVOC:	(yatim~)
          POS:	IV3MS+IV
          VOC:	ya+tim~
        GLOSS:	he/it+conclude/take place

 INPUT STRING:	العفو
     IS_TRANS:	AlEfw
        INDEX:	P23W4
      OFFSETS:	11-16
       TOKENS:	P23W4-P23W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eafow_1]
   UNSPLITVOC:	(AlEafow)
          POS:	DET+NOUN
          VOC:	Al+Eafow
        GLOSS:	the+pardon/amnesty

 INPUT STRING:	عنه
     IS_TRANS:	Enh
        INDEX:	P23W5
      OFFSETS:	17-20
       TOKENS:	P23W5-P23W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ean~_1]
   UNSPLITVOC:	(Ean~uh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	Ean~+uh
        GLOSS:	on+his/its

 INPUT STRING:	لكبر
     IS_TRANS:	lkbr
        INDEX:	P23W6
      OFFSETS:	21-25
       TOKENS:	P23W7-P23W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kibar_1]
   UNSPLITVOC:	(likibar)
          POS:	PREP+NOUN
          VOC:	li+kibar
        GLOSS:	for/to+grandeur

 INPUT STRING:	سنه
     IS_TRANS:	snh
        INDEX:	P23W7
      OFFSETS:	26-29
       TOKENS:	P23W9-P23W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sin~_1]
   UNSPLITVOC:	(sin~uh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	sin~+uh
        GLOSS:	age+his/its

 INPUT STRING:	لان
     IS_TRANS:	lAn
        INDEX:	P24W1
      OFFSETS:	0-3
       TOKENS:	P24W1-P24W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(li<in~)
          POS:	PREP+SUB_CONJ
          VOC:	li+<in~
        GLOSS:	for+that

 INPUT STRING:	القضايا
     IS_TRANS:	AlqDAyA
        INDEX:	P24W2
      OFFSETS:	4-11
       TOKENS:	P24W3-P24W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qaDiy~ap_1]
   UNSPLITVOC:	(AlqaDAyA)
          POS:	DET+NOUN
          VOC:	Al+qaDAyA
        GLOSS:	the+problems/issues

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P24W3
      OFFSETS:	12-16
       TOKENS:	P24W4-P24W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which

 INPUT STRING:	بيتحاكم
     IS_TRANS:	bytHAkm
        INDEX:	P24W4
      OFFSETS:	17-24
       TOKENS:	P24W5-P24W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AitHAkim_1]
   UNSPLITVOC:	(biyitHAkim)
          POS:	PROG_PART+IV3MS+IV_PASS
          VOC:	bi+yi+tHAkim
        GLOSS:	[present-tense]+he/it+be judged

 INPUT STRING:	عليها
     IS_TRANS:	ElyhA
        INDEX:	P24W5
      OFFSETS:	25-30
       TOKENS:	P24W7-P24W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalayhA)
          POS:	PREP+PRON_3FS
          VOC:	EalaY+hA
        GLOSS:	on/above+she/it

 INPUT STRING:	هى
     IS_TRANS:	hY
        INDEX:	P24W6
      OFFSETS:	31-33
       TOKENS:	P24W9-P24W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hiy~a_1]
   UNSPLITVOC:	(hiy~a)
          POS:	PRON_3FS
          VOC:	hiy~a
        GLOSS:	she/it

 INPUT STRING:	اتفه
     IS_TRANS:	Atfh
        INDEX:	P24W7
      OFFSETS:	34-38
       TOKENS:	P24W10-P24W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>atofah_1]
   UNSPLITVOC:	(>atofah)
          POS:	ADJ_COMP
          VOC:	>atofah
        GLOSS:	more/most trivial

 INPUT STRING:	الحاجات
     IS_TRANS:	AlHAjAt
        INDEX:	P24W8
      OFFSETS:	39-46
       TOKENS:	P24W11-P24W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(AlHAjAt)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+HAj+At
        GLOSS:	the+thing/belongings+[fem.pl.]

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P24W9
      OFFSETS:	47-51
       TOKENS:	P24W12-P24W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which

 INPUT STRING:	عملها
     IS_TRANS:	EmlhA
        INDEX:	P24W10
      OFFSETS:	52-57
       TOKENS:	P24W13-P24W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(EamalhA)
          POS:	NOUN.VN+POSS_PRON_3FS
          VOC:	Eamal+hA
        GLOSS:	did+its/their/her

 INPUT STRING:	استغلال
     IS_TRANS:	AstglAl
        INDEX:	P24W11
      OFFSETS:	58-65
       TOKENS:	P24W15-P24W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AisotigolAl_1]
   UNSPLITVOC:	(AisotigolAl)
          POS:	NOUN
          VOC:	AisotigolAl
        GLOSS:	exploitation/utilization

 INPUT STRING:	نفوذ
     IS_TRANS:	nfw*
        INDEX:	P24W12
      OFFSETS:	66-70
       TOKENS:	P24W16-P24W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nifuw*_1]
   UNSPLITVOC:	(nifuw*)
          POS:	NOUN
          VOC:	nifuw*
        GLOSS:	influence/effect

 INPUT STRING:	وتربح
     IS_TRANS:	wtrbH
        INDEX:	P24W13
      OFFSETS:	71-76
       TOKENS:	P24W17-P24W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tarab~uH_1]
   UNSPLITVOC:	(witarab~uH)
          POS:	CONJ+NOUN
          VOC:	wi+tarab~uH
        GLOSS:	and+gaining/profiting

 INPUT STRING:	وقضايا
     IS_TRANS:	wqDAyA
        INDEX:	P25W1
      OFFSETS:	0-6
       TOKENS:	P25W1-P25W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qaDiy~ap_2]
   UNSPLITVOC:	(wiqaDAyA)
          POS:	CONJ+NOUN
          VOC:	wi+qaDAyA
        GLOSS:	and+lawsuits/legal cases

 INPUT STRING:	القتل
     IS_TRANS:	Alqtl
        INDEX:	P25W2
      OFFSETS:	7-12
       TOKENS:	P25W3-P25W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qatol_1]
   UNSPLITVOC:	(Alqatol)
          POS:	DET+NOUN
          VOC:	Al+qatol
        GLOSS:	the+murder/killing

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P25W3
      OFFSETS:	13-17
       TOKENS:	P25W4-P25W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which

 INPUT STRING:	شفناها
     IS_TRANS:	$fnAhA
        INDEX:	P25W4
      OFFSETS:	18-24
       TOKENS:	P25W5-P25W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$Af_1]
   UNSPLITVOC:	($ufnAhA)
          POS:	PV+PVSUFF_SUBJ:1P+PVSUFF_DO:3FS
          VOC:	$uf+nA+hA
        GLOSS:	look+we+it/them/her

 INPUT STRING:	كلنا
     IS_TRANS:	klnA
        INDEX:	P25W5
      OFFSETS:	25-29
       TOKENS:	P25W7-P25W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~inA)
          POS:	NOUN_QUANT+POSS_PRON_1P
          VOC:	kul~+nA
        GLOSS:	all+our

 INPUT STRING:	بعنينا
     IS_TRANS:	bEnynA
        INDEX:	P25W6
      OFFSETS:	30-36
       TOKENS:	P25W9-P25W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eayn_1]
   UNSPLITVOC:	(biEinaynA)
          POS:	PREP+NOUN+POSS_PRON_1P
          VOC:	bi+Einay+nA
        GLOSS:	with/by+eye/eyes/water spring/water source/water springs/water sources/notables/VIP's/Aain+our

 INPUT STRING:	مباشر
     IS_TRANS:	mbA$r
        INDEX:	P25W7
      OFFSETS:	37-42
       TOKENS:	P25W12-P25W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mubA$ir_1]
   UNSPLITVOC:	(mubA$ir)
          POS:	ADJ
          VOC:	mubA$ir
        GLOSS:	direct/immediate

 INPUT STRING:	لن
     IS_TRANS:	ln
        INDEX:	P25W8
      OFFSETS:	43-45
       TOKENS:	P25W13-P25W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[lano_1]
   UNSPLITVOC:	(lano)
          POS:	NEG_PART
          VOC:	lano
        GLOSS:	not, never, nevermore

 INPUT STRING:	تتم
     IS_TRANS:	ttm
        INDEX:	P25W9
      OFFSETS:	46-49
       TOKENS:	P25W14-P25W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tam~_1]
   UNSPLITVOC:	(titim~)
          POS:	IV3FS+IV
          VOC:	ti+tim~
        GLOSS:	it/they/she+conclude/take place

 INPUT STRING:	ادانته
     IS_TRANS:	AdAnth
        INDEX:	P25W10
      OFFSETS:	50-56
       TOKENS:	P25W15-P25W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AidAnap_1]
   UNSPLITVOC:	(AidAnatuh)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_3MS
          VOC:	AidAn+ap+uh
        GLOSS:	condemnation+[fem.sg.]+his/its

 INPUT STRING:	فيها
     IS_TRANS:	fyhA
        INDEX:	P25W11
      OFFSETS:	57-61
       TOKENS:	P25W17-P25W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyhA)
          POS:	PREP+PRON_3FS
          VOC:	fiy+hA
        GLOSS:	in+she/it

 INPUT STRING:	بسبب
     IS_TRANS:	bsbb
        INDEX:	P25W12
      OFFSETS:	62-66
       TOKENS:	P25W19-P25W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sabab_1]
   UNSPLITVOC:	(bisabab)
          POS:	PREP+NOUN
          VOC:	bi+sabab
        GLOSS:	with/by+reason/cause/because of/due to

 INPUT STRING:	ثغرات
     IS_TRANS:	vgrAt
        INDEX:	P25W13
      OFFSETS:	67-72
       TOKENS:	P25W21-P25W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vagorap_1]
   UNSPLITVOC:	(vagorAt)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	vagor+At
        GLOSS:	gaps+[fem.pl.]

 INPUT STRING:	زى
     IS_TRANS:	zY
        INDEX:	P25W14
      OFFSETS:	73-75
       TOKENS:	P25W22-P25W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zay~_1]
   UNSPLITVOC:	(zay~)
          POS:	NOUN
          VOC:	zay~
        GLOSS:	like

 INPUT STRING:	اذن
     IS_TRANS:	A*n
        INDEX:	P25W15
      OFFSETS:	76-79
       TOKENS:	P25W23-P25W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<i*on_1]
   UNSPLITVOC:	(<i*on)
          POS:	NOUN
          VOC:	<i*on
        GLOSS:	permission/authorization

 INPUT STRING:	النيابة
     IS_TRANS:	AlnyAbp
        INDEX:	P25W16
      OFFSETS:	80-87
       TOKENS:	P25W24-P25W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[niyAbap_1]
   UNSPLITVOC:	(Aln~iyAbap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+niyAb+ap
        GLOSS:	the+proxy/deputyship+[fem.sg.]

 INPUT STRING:	والاجراءات
     IS_TRANS:	wAlAjrA'At
        INDEX:	P25W17
      OFFSETS:	88-98
       TOKENS:	P25W25-P25W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<ijorA'_3]
   UNSPLITVOC:	(waAl<ijorA'At)
          POS:	CONJ+DET+NOUN+NSUFF_FEM_PL
          VOC:	wa+Al+<ijorA'+At
        GLOSS:	and+the+measures/steps+[fem.pl.]

 INPUT STRING:	مكانتش
     IS_TRANS:	mkAnt$
        INDEX:	P25W18
      OFFSETS:	99-105
       TOKENS:	P25W27-P25W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(mA_kAnit$)
          POS:	NEG_PART+PV+PVSUFF_SUBJ:3FS+NEG_PART
          VOC:	mA+kAn+it+$
        GLOSS:	not+be+it/they/she+not

 INPUT STRING:	منظمة
     IS_TRANS:	mnZmp
        INDEX:	P25W19
      OFFSETS:	106-111
       TOKENS:	P25W30-P25W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[munaZ~amap_1]
   UNSPLITVOC:	(munaZ~amap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	munaZ~am+ap
        GLOSS:	organized/orderly/arranged+[fem.sg.]

 INPUT STRING:	زى
     IS_TRANS:	zY
        INDEX:	P26W1
      OFFSETS:	0-2
       TOKENS:	P26W1-P26W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zay~_1]
   UNSPLITVOC:	(zay~)
          POS:	NOUN
          VOC:	zay~
        GLOSS:	like

 INPUT STRING:	مثلا
     IS_TRANS:	mvlA
        INDEX:	P26W2
      OFFSETS:	3-7
       TOKENS:	P26W2-P26W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maval_1]
   UNSPLITVOC:	(mavalAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	maval+AF
        GLOSS:	example/proverb/for example+[acc.indef.]

 INPUT STRING:	ظابط
     IS_TRANS:	ZAbT
        INDEX:	P26W3
      OFFSETS:	8-12
       TOKENS:	P26W3-P26W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ZAbiT_1]
   UNSPLITVOC:	(ZAbiT)
          POS:	NOUN
          VOC:	ZAbiT
        GLOSS:	officer

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P26W4
      OFFSETS:	13-17
       TOKENS:	P26W4-P26W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which

 INPUT STRING:	كان
     IS_TRANS:	kAn
        INDEX:	P26W5
      OFFSETS:	18-21
       TOKENS:	P26W5-P26W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAn)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	kAn+(null)
        GLOSS:	be+he/it

 INPUT STRING:	بينشن
     IS_TRANS:	byn$n
        INDEX:	P26W6
      OFFSETS:	22-27
       TOKENS:	P26W6-P26W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[na$~in_1]
   UNSPLITVOC:	(biyina$~in)
          POS:	PROG_PART+IV3MS+IV
          VOC:	bi+yi+na$~in
        GLOSS:	[present-tense]+he/it+shoot

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P26W7
      OFFSETS:	28-30
       TOKENS:	P26W8-P26W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	عيون
     IS_TRANS:	Eywn
        INDEX:	P26W8
      OFFSETS:	31-35
       TOKENS:	P26W9-P26W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eayn_1]
   UNSPLITVOC:	(Eiyuwn)
          POS:	NOUN
          VOC:	Eiyuwn
        GLOSS:	eye/eyes/water spring/water source/water springs/water sources/notables/VIP's/Aain

 INPUT STRING:	المتظاهرين
     IS_TRANS:	AlmtZAhryn
        INDEX:	P26W9
      OFFSETS:	36-46
       TOKENS:	P26W10-P26W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mutaZAhir_1]
   UNSPLITVOC:	(AlmutaZAhriyn)
          POS:	DET+NOUN+NSUFF_MASC_PL
          VOC:	Al+mutaZAhr+iyn
        GLOSS:	the+demonstrator+[masc.pl.]

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P26W10
      OFFSETS:	46-47
       TOKENS:	P26W11-P26W11
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P26W11
      OFFSETS:	47-48
       TOKENS:	P26W12-P26W12
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P26W12
      OFFSETS:	48-49
       TOKENS:	P26W13-P26W13
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	يومين
     IS_TRANS:	ywmyn
        INDEX:	P26W13
      OFFSETS:	49-54
       TOKENS:	P26W14-P26W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yawm_1]
   UNSPLITVOC:	(yuwmayn)
          POS:	NOUN+NSUFF_MASC_DU
          VOC:	yuwm+ayn
        GLOSS:	period+two

 INPUT STRING:	وهيخرج
     IS_TRANS:	whyxrj
        INDEX:	P26W14
      OFFSETS:	55-61
       TOKENS:	P26W15-P26W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xaraj_1]
   UNSPLITVOC:	(wiHayuxoruj)
          POS:	CONJ+FUT_PART+IV3MS+IV
          VOC:	wi+Ha+yu+xoruj
        GLOSS:	and+will+he/it+oust/remove

 INPUT STRING:	باءة
     IS_TRANS:	bA'p
        INDEX:	P26W15
      OFFSETS:	62-66
       TOKENS:	P26W18-P26W18
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(bA'p)
          POS:	TYPO
          VOC:	bA'p
        GLOSS:	nogloss

 INPUT STRING:	حضرتك
     IS_TRANS:	HDrtk
        INDEX:	P26W16
      OFFSETS:	67-72
       TOKENS:	P26W19-P26W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HaDorap_1]
   UNSPLITVOC:	(HaDoritak)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_2MS
          VOC:	HaDor+ap+ak
        GLOSS:	presence/eminent/honorable+[fem.sg.]+your

 INPUT STRING:	عارفة
     IS_TRANS:	EArfp
        INDEX:	P26W17
      OFFSETS:	73-78
       TOKENS:	P26W21-P26W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EArif_1]
   UNSPLITVOC:	(EArofap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	EArof+ap
        GLOSS:	knowing/having knowledge of+[fem.sg.]

 INPUT STRING:	ليه
     IS_TRANS:	lyh
        INDEX:	P26W18
      OFFSETS:	79-82
       TOKENS:	P26W22-P26W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[layoh_1]
   UNSPLITVOC:	(layoh)
          POS:	INTERROG_ADV
          VOC:	layoh
        GLOSS:	why

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P26W19
      OFFSETS:	83-84
       TOKENS:	P26W23-P26W23
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	علشان
     IS_TRANS:	El$An
        INDEX:	P27W1
      OFFSETS:	0-5
       TOKENS:	P27W1-P27W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$a>on_1]
   UNSPLITVOC:	(Eala$a>on)
          POS:	PREP+NOUN
          VOC:	EalaY+$a>on
        GLOSS:	on/above+matter/affair/case/importance/status/situation/condition/affairs/matters

 INPUT STRING:	زملائه
     IS_TRANS:	zmlA}h
        INDEX:	P27W2
      OFFSETS:	6-12
       TOKENS:	P27W3-P27W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zimiyl_1]
   UNSPLITVOC:	(zumalA}uh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	zumalA}+uh
        GLOSS:	colleagues/friends+his/its

 INPUT STRING:	شهود
     IS_TRANS:	$hwd
        INDEX:	P27W3
      OFFSETS:	14-18
       TOKENS:	P27W5-P27W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$Ahid_1]
   UNSPLITVOC:	($uhuwd)
          POS:	NOUN
          VOC:	$uhuwd
        GLOSS:	witnesses/spectators

 INPUT STRING:	الزور
     IS_TRANS:	Alzwr
        INDEX:	P27W4
      OFFSETS:	19-24
       TOKENS:	P27W6-P27W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zuwr_1]
   UNSPLITVOC:	(Alz~uwr)
          POS:	DET+NOUN
          VOC:	Al+zuwr
        GLOSS:	the+falsehood/fabrication/lie/falsely

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P27W5
      OFFSETS:	25-29
       TOKENS:	P27W7-P27W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P27W6
      OFFSETS:	30-32
       TOKENS:	P27W8-P27W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
