 INPUT STRING:	مصـــــــر
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P27W37
      OFFSETS:	164-165
       TOKENS:	P27W46-P27W46
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	وتعطى
     IS_TRANS:	wtETY
        INDEX:	P27W38
      OFFSETS:	165-170
       TOKENS:	P27W47-P27W47
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(wtETY)
          POS:	NO_FUNC
          VOC:	wtETY
        GLOSS:	nogloss

 INPUT STRING:	النتيجة
     IS_TRANS:	Alntyjp
        INDEX:	P27W39
      OFFSETS:	171-178
       TOKENS:	P27W48-P27W48
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[natiyjap_1]
   UNSPLITVOC:	(Aln~atiyjap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+natiyj+ap
        GLOSS:	the+result/consequence+[fem.sg.]

 INPUT STRING:	المطلوبة
     IS_TRANS:	AlmTlwbp
        INDEX:	P27W40
      OFFSETS:	179-187
       TOKENS:	P27W49-P27W49
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maToluwb_1]
   UNSPLITVOC:	(AlmaToluwbap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+maToluwb+ap
        GLOSS:	the+required/necessary/demanded/wanted+[fem.sg.]

 INPUT STRING:	والمرضية
     IS_TRANS:	wAlmrDyp
        INDEX:	P27W41
      OFFSETS:	188-196
       TOKENS:	P27W50-P27W51
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muroDiy_1]
   UNSPLITVOC:	(wiAlmuroDiyap)
          POS:	CONJ+DET+ADJ+NSUFF_FEM_SG
          VOC:	wi+Al+muroDiy+ap
        GLOSS:	and+the+satisfactory/pleasing/sufficient+[fem.sg.]

 INPUT STRING:	لكل
     IS_TRANS:	lkl
        INDEX:	P27W42
      OFFSETS:	197-200
       TOKENS:	P27W52-P27W53
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(likul~)
          POS:	PREP+NOUN_QUANT
          VOC:	li+kul~
        GLOSS:	for/to+all, entire, every, whole

 INPUT STRING:	ولاد
     IS_TRANS:	wlAd
        INDEX:	P27W43
      OFFSETS:	201-205
       TOKENS:	P27W54-P27W54
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[walad_1]
   UNSPLITVOC:	(wilAd)
          POS:	NOUN
          VOC:	wilAd
        GLOSS:	children/sons

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P27W44
      OFFSETS:	206-209
       TOKENS:	P27W55-P27W55
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSor_1]
   UNSPLITVOC:	(maSor)
          POS:	NOUN_PROP
          VOC:	maSor
        GLOSS:	Egypt

 INPUT STRING:	:
     IS_TRANS:	:
        INDEX:	P27W45
      OFFSETS:	209-210
       TOKENS:	P27W56-P27W56
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[:]
   UNSPLITVOC:	(:)
          POS:	PUNC
          VOC:	:
        GLOSS:	:

 INPUT STRING:	:
     IS_TRANS:	:
        INDEX:	P27W46
      OFFSETS:	210-211
       TOKENS:	P27W57-P27W57
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[:]
   UNSPLITVOC:	(:)
          POS:	PUNC
          VOC:	:
        GLOSS:	:

 INPUT STRING:	:
     IS_TRANS:	:
        INDEX:	P27W47
      OFFSETS:	211-212
       TOKENS:	P27W58-P27W58
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[:]
   UNSPLITVOC:	(:)
          POS:	PUNC
          VOC:	:
        GLOSS:	:

 INPUT STRING:	:
     IS_TRANS:	:
        INDEX:	P27W48
      OFFSETS:	212-213
       TOKENS:	P27W59-P27W59
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[:]
   UNSPLITVOC:	(:)
          POS:	PUNC
          VOC:	:
        GLOSS:	:

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P28W1
      OFFSETS:	0-3
       TOKENS:	P28W1-P28W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSor_1]
   UNSPLITVOC:	(maSor)
          POS:	NOUN_PROP
          VOC:	maSor
        GLOSS:	Egypt

 INPUT STRING:	بتقول
     IS_TRANS:	btqwl
        INDEX:	P28W2
      OFFSETS:	4-9
       TOKENS:	P28W2-P28W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(bitquwl)
          POS:	PROG_PART+IV3FS+IV
          VOC:	bi+t+quwl
        GLOSS:	[present-tense]+it/she+said/say/be said/say/(for example)

 INPUT STRING:	لاولادها
     IS_TRANS:	lAwlAdhA
        INDEX:	P28W3
      OFFSETS:	10-18
       TOKENS:	P28W4-P28W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[walad_1]
   UNSPLITVOC:	(liAwolAdhA)
          POS:	PREP+NOUN+POSS_PRON_3FS
          VOC:	li+AwolAd+hA
        GLOSS:	for/to+children/sons+its/their/her

 INPUT STRING:	انتوا
     IS_TRANS:	AntwA
        INDEX:	P28W4
      OFFSETS:	19-24
       TOKENS:	P28W7-P28W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainotuw_1]
   UNSPLITVOC:	(Ainotuw)
          POS:	PRON_2P
          VOC:	Ainotuw
        GLOSS:	you

 INPUT STRING:	عملتوا
     IS_TRANS:	EmltwA
        INDEX:	P28W5
      OFFSETS:	25-31
       TOKENS:	P28W8-P28W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(EamaltuwA)
          POS:	PV+PVSUFF_SUBJ:2P
          VOC:	Eamal+tuwA
        GLOSS:	make/do+you

 INPUT STRING:	الى
     IS_TRANS:	AlY
        INDEX:	P28W6
      OFFSETS:	32-35
       TOKENS:	P28W9-P28W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which

 INPUT STRING:	ماحدش
     IS_TRANS:	mAHd$
        INDEX:	P28W7
      OFFSETS:	36-41
       TOKENS:	P28W10-P28W10
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(mAHd$)
          POS:	NO_FUNC
          VOC:	mAHd$
        GLOSS:	nogloss

 INPUT STRING:	قبلكم
     IS_TRANS:	qblkm
        INDEX:	P28W8
      OFFSETS:	42-47
       TOKENS:	P28W11-P28W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qabol_1]
   UNSPLITVOC:	(qabolukum)
          POS:	NOUN+POSS_PRON_2P
          VOC:	qabol+kum
        GLOSS:	before/previously/formerly+your

 INPUT STRING:	قدر
     IS_TRANS:	qdr
        INDEX:	P28W9
      OFFSETS:	48-51
       TOKENS:	P28W13-P28W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qidir_1]
   UNSPLITVOC:	(qidir)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	qidir+(null)
        GLOSS:	be ale to/be capable of+he/it

 INPUT STRING:	يعمله
     IS_TRANS:	yEmlh
        INDEX:	P28W10
      OFFSETS:	52-57
       TOKENS:	P28W14-P28W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(yiEomiluh)
          POS:	IV3MS+IV+IVSUFF_DO:3MS
          VOC:	yi+Eomil+uh
        GLOSS:	he/it+do+he/it

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P28W11
      OFFSETS:	58-61
       TOKENS:	P28W16-P28W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	مر
     IS_TRANS:	mr
        INDEX:	P28W12
      OFFSETS:	62-64
       TOKENS:	P28W17-P28W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mar~_1]
   UNSPLITVOC:	(mar~)
          POS:	NOUN
          VOC:	mar~
        GLOSS:	passing

 INPUT STRING:	السنين
     IS_TRANS:	Alsnyn
        INDEX:	P28W13
      OFFSETS:	65-71
       TOKENS:	P28W18-P28W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sanap_1]
   UNSPLITVOC:	(Als~iniyn)
          POS:	DET+NOUN+NSUFF_MASC_PL
          VOC:	Al+sin+iyn
        GLOSS:	the+year/years+two

 INPUT STRING:	وبتقولهم
     IS_TRANS:	wbtqwlhm
        INDEX:	P29W1
      OFFSETS:	0-8
       TOKENS:	P29W1-P29W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(wibitoquwllhum)
          POS:	CONJ+PROG_PART+IV3FS+IV+PREP+PRON_3P
          VOC:	wi+bi+to+quwl+l+hum
        GLOSS:	and+[present.tense.]+it/she+say+to/for+they

 INPUT STRING:	خلوا
     IS_TRANS:	xlwA
        INDEX:	P29W2
      OFFSETS:	9-13
       TOKENS:	P29W6-P29W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xal~aY_1]
   UNSPLITVOC:	(xal~uwA)
          POS:	CV+CVSUFF_SUBJ:2P
          VOC:	xal~+uwA
        GLOSS:	let/make+you

 INPUT STRING:	بالكم
     IS_TRANS:	bAlkm
        INDEX:	P29W3
      OFFSETS:	14-19
       TOKENS:	P29W7-P29W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bAl_1]
   UNSPLITVOC:	(bAlkum)
          POS:	NOUN+POSS_PRON_2P
          VOC:	bAl+kum
        GLOSS:	mind/attention+your

 INPUT STRING:	منى
     IS_TRANS:	mnY
        INDEX:	P29W4
      OFFSETS:	20-23
       TOKENS:	P29W9-P29W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min~iy)
          POS:	PREP+PRON_1S
          VOC:	min~+iy
        GLOSS:	from+me

 INPUT STRING:	وحطوا
     IS_TRANS:	wHTwA
        INDEX:	P29W5
      OFFSETS:	24-29
       TOKENS:	P29W11-P29W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HaT~_1]
   UNSPLITVOC:	(wiHuT~uwA)
          POS:	CONJ+CV+CVSUFF_SUBJ:2P
          VOC:	wi+HuT~+uwA
        GLOSS:	and+put+you

 INPUT STRING:	ايديكم
     IS_TRANS:	Aydykm
        INDEX:	P29W6
      OFFSETS:	30-36
       TOKENS:	P29W13-P29W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iyd_1]
   UNSPLITVOC:	(Aiydiykum)
          POS:	NOUN+POSS_PRON_2P
          VOC:	Aiydiy+kum
        GLOSS:	hands+your

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P29W7
      OFFSETS:	37-39
       TOKENS:	P29W15-P29W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	ايدين
     IS_TRANS:	Aydyn
        INDEX:	P29W8
      OFFSETS:	40-45
       TOKENS:	P29W16-P29W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iyd_1]
   UNSPLITVOC:	(Aiydiyn)
          POS:	NOUN+NSUFF_MASC_PL
          VOC:	Aiyd+iyn
        GLOSS:	hand+[masc.pl.]

 INPUT STRING:	بعض
     IS_TRANS:	bED
        INDEX:	P29W9
      OFFSETS:	46-49
       TOKENS:	P29W17-P29W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEoD_1]
   UNSPLITVOC:	(baEoD)
          POS:	NOUN_QUANT
          VOC:	baEoD
        GLOSS:	some, a few, little, part

 INPUT STRING:	واقفوا
     IS_TRANS:	wAqfwA
        INDEX:	P29W10
      OFFSETS:	50-56
       TOKENS:	P29W18-P29W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wiqif_1]
   UNSPLITVOC:	(wiAuqafuwA)
          POS:	CONJ+CV+CVSUFF_SUBJ:2P
          VOC:	wi+Auqaf+uwA
        GLOSS:	and+stand+you[pl.]

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P29W11
      OFFSETS:	57-59
       TOKENS:	P29W20-P29W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	وش
     IS_TRANS:	w$
        INDEX:	P29W12
      OFFSETS:	60-62
       TOKENS:	P29W21-P29W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wi$~_1]
   UNSPLITVOC:	(wi$~)
          POS:	NOUN
          VOC:	wi$~
        GLOSS:	face

 INPUT STRING:	الاشاعات
     IS_TRANS:	AlA$AEAt
        INDEX:	P29W13
      OFFSETS:	63-71
       TOKENS:	P29W22-P29W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<i$AEap_2]
   UNSPLITVOC:	(Al<i$AEAt)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+<i$AE+At
        GLOSS:	the+rumors+[fem.pl.]

 INPUT STRING:	وماتمشوش
     IS_TRANS:	wmAtm$w$
        INDEX:	P29W14
      OFFSETS:	72-80
       TOKENS:	P29W23-P29W23
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(wmAtm$w$)
          POS:	NO_FUNC
          VOC:	wmAtm$w$
        GLOSS:	nogloss

 INPUT STRING:	ورا
     IS_TRANS:	wrA
        INDEX:	P29W15
      OFFSETS:	81-84
       TOKENS:	P29W24-P29W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[warA_1]
   UNSPLITVOC:	(warA)
          POS:	NOUN
          VOC:	warA
        GLOSS:	behind/past/beyond

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P29W16
      OFFSETS:	85-87
       TOKENS:	P29W25-P29W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all, entire, every, whole

 INPUT STRING:	كلمه
     IS_TRANS:	klmh
        INDEX:	P29W17
      OFFSETS:	88-92
       TOKENS:	P29W26-P29W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kilomap_1]
   UNSPLITVOC:	(kilomap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	kilom+ap
        GLOSS:	word+[fem.sg.]

 INPUT STRING:	بتتقال
     IS_TRANS:	bttqAl
        INDEX:	P29W18
      OFFSETS:	93-99
       TOKENS:	P29W27-P29W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AititqAl_1]
   UNSPLITVOC:	(bititqAl)
          POS:	PROG_PART+IV3FS+IV_PASS
          VOC:	bi+ti+tqAl
        GLOSS:	[present-tense]+it/they/she+to be said

 INPUT STRING:	وبتقولهم
     IS_TRANS:	wbtqwlhm
        INDEX:	P30W1
      OFFSETS:	0-8
       TOKENS:	P30W1-P30W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(wibitoquwllhum)
          POS:	CONJ+PROG_PART+IV3FS+IV+PREP+PRON_3P
          VOC:	wi+bi+to+quwl+l+hum
        GLOSS:	and+[present.tense.]+it/she+say+to/for+they

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P30W2
      OFFSETS:	9-11
       TOKENS:	P30W6-P30W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all, entire, every, whole

 INPUT STRING:	واحد
     IS_TRANS:	wAHd
        INDEX:	P30W3
      OFFSETS:	12-16
       TOKENS:	P30W7-P30W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wAHid_1]
   UNSPLITVOC:	(wAHid)
          POS:	NOUN_NUM
          VOC:	wAHid
        GLOSS:	one

 INPUT STRING:	يشوف
     IS_TRANS:	y$wf
        INDEX:	P30W4
      OFFSETS:	17-21
       TOKENS:	P30W8-P30W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$Af_1]
   UNSPLITVOC:	(yi$uwf)
          POS:	IV3MS+IV
          VOC:	yi+$uwf
        GLOSS:	he/it+look/see

 INPUT STRING:	يقدر
     IS_TRANS:	yqdr
        INDEX:	P30W5
      OFFSETS:	22-26
       TOKENS:	P30W9-P30W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qidir_1]
   UNSPLITVOC:	(yiqodar)
          POS:	IV3MS+IV
          VOC:	yi+qodar
        GLOSS:	he/it+be able to

 INPUT STRING:	يخدم
     IS_TRANS:	yxdm
        INDEX:	P30W6
      OFFSETS:	27-31
       TOKENS:	P30W10-P30W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xadam_1]
   UNSPLITVOC:	(yixodim)
          POS:	IV3MS+IV
          VOC:	yi+xodim
        GLOSS:	he/it+serve/assist

 INPUT STRING:	بلده
     IS_TRANS:	bldh
        INDEX:	P30W7
      OFFSETS:	32-36
       TOKENS:	P30W11-P30W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[balad_1]
   UNSPLITVOC:	(baladuh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	balad+uh
        GLOSS:	country+his/its

 INPUT STRING:	ازاى
     IS_TRANS:	AzAY
        INDEX:	P30W8
      OFFSETS:	37-41
       TOKENS:	P30W13-P30W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aiz~Ay_1]
   UNSPLITVOC:	(Aiz~Ay)
          POS:	REL_ADV
          VOC:	Aiz~Ay
        GLOSS:	how

 INPUT STRING:	الى
     IS_TRANS:	AlY
        INDEX:	P31W1
      OFFSETS:	0-3
       TOKENS:	P31W1-P31W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which

 INPUT STRING:	عمر
     IS_TRANS:	Emr
        INDEX:	P31W2
      OFFSETS:	4-7
       TOKENS:	P31W2-P31W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eumor_1]
   UNSPLITVOC:	(Eumor)
          POS:	NOUN
          VOC:	Eumor
        GLOSS:	age/life

 INPUT STRING:	هماهيكون
     IS_TRANS:	hmAhykwn
        INDEX:	P31W3
      OFFSETS:	8-16
       TOKENS:	P31W3-P31W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(hmAhykwn)
          POS:	TYPO
          VOC:	hmAhykwn
        GLOSS:	nogloss

 INPUT STRING:	اصعب
     IS_TRANS:	ASEb
        INDEX:	P31W4
      OFFSETS:	17-21
       TOKENS:	P31W4-P31W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>aSoEab_1]
   UNSPLITVOC:	(>aSoEab)
          POS:	ADJ_COMP
          VOC:	>aSoEab
        GLOSS:	more/most difficult/harder/hardest/more/most arduous

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P31W5
      OFFSETS:	22-24
       TOKENS:	P31W5-P31W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	الى
     IS_TRANS:	AlY
        INDEX:	P31W6
      OFFSETS:	25-28
       TOKENS:	P31W6-P31W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which

 INPUT STRING:	جاى
     IS_TRANS:	jAY
        INDEX:	P31W7
      OFFSETS:	29-32
       TOKENS:	P31W7-P31W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jAy~_1]
   UNSPLITVOC:	(jAy~)
          POS:	ADJ.VN
          VOC:	jAy~
        GLOSS:	coming

 INPUT STRING:	بل
     IS_TRANS:	bl
        INDEX:	P31W8
      OFFSETS:	33-35
       TOKENS:	P31W8-P31W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bal_1]
   UNSPLITVOC:	(bal)
          POS:	CONJ
          VOC:	bal
        GLOSS:	Rather, even, but, yet, however

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P31W9
      OFFSETS:	36-38
       TOKENS:	P31W9-P31W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	الى
     IS_TRANS:	AlY
        INDEX:	P31W10
      OFFSETS:	39-42
       TOKENS:	P31W10-P31W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which

 INPUT STRING:	جاى
     IS_TRANS:	jAY
        INDEX:	P31W11
      OFFSETS:	43-46
       TOKENS:	P31W11-P31W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jAy~_1]
   UNSPLITVOC:	(jAy~)
          POS:	ADJ.VN
          VOC:	jAy~
        GLOSS:	coming

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P31W12
      OFFSETS:	47-49
       TOKENS:	P31W12-P31W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	he/it

 INPUT STRING:	اصعب
     IS_TRANS:	ASEb
        INDEX:	P31W13
      OFFSETS:	50-54
       TOKENS:	P31W13-P31W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>aSoEab_1]
   UNSPLITVOC:	(>aSoEab)
          POS:	ADJ_COMP
          VOC:	>aSoEab
        GLOSS:	more/most difficult/harder/hardest/more/most arduous

 INPUT STRING:	بمراحل
     IS_TRANS:	bmrAHl
        INDEX:	P31W14
      OFFSETS:	55-61
       TOKENS:	P31W14-P31W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maroHalap_1]
   UNSPLITVOC:	(bimarAHil)
          POS:	PREP+NOUN
          VOC:	bi+marAHil
        GLOSS:	with/by+phase/stage/round

 INPUT STRING:	خلوا
     IS_TRANS:	xlwA
