 INPUT STRING:	المسيحيون
      OFFSETS:	121-122
       TOKENS:	P33W28-P33W28
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	احنا
     IS_TRANS:	AHnA
        INDEX:	P34W1
      OFFSETS:	0-4
       TOKENS:	P34W1-P34W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiHonA_1]
   UNSPLITVOC:	(AiHonA)
          POS:	PRON_1P
          VOC:	AiHonA
        GLOSS:	our

 INPUT STRING:	دوله
     IS_TRANS:	dwlh
        INDEX:	P34W2
      OFFSETS:	5-9
       TOKENS:	P34W2-P34W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dawlap_1]
   UNSPLITVOC:	(dawlap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	dawl+ap
        GLOSS:	state/country/states/countries+[fem.sg.]

 INPUT STRING:	وسطيه
     IS_TRANS:	wsTyh
        INDEX:	P34W3
      OFFSETS:	10-15
       TOKENS:	P34W3-P34W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wasaTiy_1]
   UNSPLITVOC:	(wasaTiy~ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	wasaTiy~+ap
        GLOSS:	environmental/medial+[fem.sg.]

 INPUT STRING:	والاسلام
     IS_TRANS:	wAlAslAm
        INDEX:	P34W4
      OFFSETS:	16-24
       TOKENS:	P34W4-P34W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<isolAm_1]
   UNSPLITVOC:	(wiAl<isolAm)
          POS:	CONJ+DET+NOUN_PROP
          VOC:	wi+Al+<isolAm
        GLOSS:	and+the+Islam

 INPUT STRING:	دين
     IS_TRANS:	dyn
        INDEX:	P34W5
      OFFSETS:	25-28
       TOKENS:	P34W6-P34W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diyn_1]
   UNSPLITVOC:	(diyn)
          POS:	NOUN
          VOC:	diyn
        GLOSS:	religion

 INPUT STRING:	وسطي
     IS_TRANS:	wsTy
        INDEX:	P34W6
      OFFSETS:	29-33
       TOKENS:	P34W7-P34W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[wasaTiy_1]
   UNSPLITVOC:	(wasaTiy)
          POS:	ADJ
          VOC:	wasaTiy
        GLOSS:	environmental/medial

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P34W7
      OFFSETS:	33-34
       TOKENS:	P34W8-P34W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	يرفض
     IS_TRANS:	yrfD
        INDEX:	P34W8
      OFFSETS:	35-39
       TOKENS:	P34W9-P34W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rafaD_1]
   UNSPLITVOC:	(yirofuD)
          POS:	IV3MS+IV
          VOC:	yi+rofuD
        GLOSS:	he/it+reject/refuse

 INPUT STRING:	التعصب
     IS_TRANS:	AltESb
        INDEX:	P34W9
      OFFSETS:	40-46
       TOKENS:	P34W10-P34W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taEaS~ub_1]
   UNSPLITVOC:	(Alt~aEaS~ub)
          POS:	DET+NOUN
          VOC:	Al+taEaS~ub
        GLOSS:	the+fanaticism/intolerance

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P34W10
      OFFSETS:	46-47
       TOKENS:	P34W11-P34W11
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	هوه
     IS_TRANS:	hwh
        INDEX:	P35W1
      OFFSETS:	0-3
       TOKENS:	P35W1-P35W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	he/it

 INPUT STRING:	جر
     IS_TRANS:	jr
        INDEX:	P35W2
      OFFSETS:	4-6
       TOKENS:	P35W2-P35W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jar~_1]
   UNSPLITVOC:	(jar~)
          POS:	NOUN
          VOC:	jar~
        GLOSS:	pulling

 INPUT STRING:	شكل
     IS_TRANS:	$kl
        INDEX:	P35W3
      OFFSETS:	7-10
       TOKENS:	P35W3-P35W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$akal_1]
   UNSPLITVOC:	($akal)
          POS:	NOUN
          VOC:	$akal
        GLOSS:	problem

 INPUT STRING:	وخلاص
     IS_TRANS:	wxlAS
        INDEX:	P35W4
      OFFSETS:	11-16
       TOKENS:	P35W4-P35W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xalAS_1]
   UNSPLITVOC:	(wixalAS)
          POS:	CONJ+NOUN
          VOC:	wi+xalAS
        GLOSS:	and+deliverance/salvation/settlement

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P35W5
      OFFSETS:	17-19
       TOKENS:	P35W6-P35W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	SUB_CONJ
          VOC:	mA
        GLOSS:	that, whether

 INPUT STRING:	الناس
     IS_TRANS:	AlnAs
        INDEX:	P35W6
      OFFSETS:	20-25
       TOKENS:	P35W7-P35W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAs_1]
   UNSPLITVOC:	(Aln~As)
          POS:	DET+NOUN
          VOC:	Al+nAs
        GLOSS:	the+people

 INPUT STRING:	قالت
     IS_TRANS:	qAlt
        INDEX:	P35W7
      OFFSETS:	26-30
       TOKENS:	P35W8-P35W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(qAlit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	qAl+it
        GLOSS:	say+it/they/she [verb]

 INPUT STRING:	انهم
     IS_TRANS:	Anhm
        INDEX:	P35W8
      OFFSETS:	31-35
       TOKENS:	P35W9-P35W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~uhum)
          POS:	SUB_CONJ+PRON_3P
          VOC:	<in~+hum
        GLOSS:	that+they

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P35W9
      OFFSETS:	36-38
       TOKENS:	P35W11-P35W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	هيفرضوا
     IS_TRANS:	hyfrDwA
        INDEX:	P35W10
      OFFSETS:	39-46
       TOKENS:	P35W12-P35W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[faraD_1]
   UNSPLITVOC:	(HayiforiDuwA)
          POS:	FUT_PART+IV3P+IV+IVSUFF_SUBJ:P
          VOC:	Ha+yi+foriD+uwA
        GLOSS:	will+they+impose+we

 INPUT STRING:	حاجة
     IS_TRANS:	HAjp
        INDEX:	P35W11
      OFFSETS:	47-51
       TOKENS:	P35W14-P35W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(HAjap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HAj+ap
        GLOSS:	thing/belongings+[fem.sg.]

 INPUT STRING:	وقالو
     IS_TRANS:	wqAlw
        INDEX:	P35W12
      OFFSETS:	52-57
       TOKENS:	P35W15-P35W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(wiqAluwA)
          POS:	CONJ+PV+PVSUFF_SUBJ:3P
          VOC:	wi+qAl+uwA
        GLOSS:	and+say+they [verb]

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P35W13
      OFFSETS:	58-60
       TOKENS:	P35W17-P35W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	الاقباط
     IS_TRANS:	AlAqbAT
        INDEX:	P35W14
      OFFSETS:	61-68
       TOKENS:	P35W18-P35W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qiboTiy_1]
   UNSPLITVOC:	(Al>aqobAT)
          POS:	DET+NOUN
          VOC:	Al+>aqobAT
        GLOSS:	the+Copts

 INPUT STRING:	هيرجعوا
     IS_TRANS:	hyrjEwA
        INDEX:	P35W15
      OFFSETS:	69-76
       TOKENS:	P35W19-P35W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rijiE_1]
   UNSPLITVOC:	(HayirojaEuwA)
          POS:	FUT_PART+IV3P+IV+IVSUFF_SUBJ:P
          VOC:	Ha+yi+rojaE+uwA
        GLOSS:	will+they+send back+[pl.]

 INPUT STRING:	لدينهم
     IS_TRANS:	ldynhm
        INDEX:	P35W16
      OFFSETS:	77-83
       TOKENS:	P35W21-P35W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diyn_1]
   UNSPLITVOC:	(lidiynhum)
          POS:	PREP+NOUN+POSS_PRON_3P
          VOC:	li+diyn+hum
        GLOSS:	for/to+religion+their

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P35W17
      OFFSETS:	84-86
       TOKENS:	P35W24-P35W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	الاحوال
     IS_TRANS:	AlAHwAl
        INDEX:	P35W18
      OFFSETS:	87-94
       TOKENS:	P35W25-P35W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAl_1]
   UNSPLITVOC:	(Al>aHowAl)
          POS:	DET+NOUN
          VOC:	Al+>aHowAl
        GLOSS:	the+situations/conditions/cases

 INPUT STRING:	الشخصية
     IS_TRANS:	Al$xSyp
        INDEX:	P35W19
      OFFSETS:	95-102
       TOKENS:	P35W26-P35W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$axoSiy_1]
   UNSPLITVOC:	(Al$~axoSiy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+$axoSiy~+ap
        GLOSS:	the+private/personal+[fem.sg.]

 INPUT STRING:	ندعوا
     IS_TRANS:	ndEwA
        INDEX:	P36W1
      OFFSETS:	0-5
       TOKENS:	P36W1-P36W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[daEA_1]
   UNSPLITVOC:	(nadoEuw)
          POS:	IV1P+IV
          VOC:	na+doEuw
        GLOSS:	we+pray/call/invite

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P36W2
      OFFSETS:	6-10
       TOKENS:	P36W2-P36W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	Allah/God

 INPUT STRING:	أن
     IS_TRANS:	>n
        INDEX:	P36W3
      OFFSETS:	11-13
       TOKENS:	P36W3-P36W3
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>ano_1]
   UNSPLITVOC:	(>ano)
          POS:	SUB_CONJ
          VOC:	>ano
        GLOSS:	That, to

 INPUT STRING:	يهبكم
     IS_TRANS:	yhbkm
        INDEX:	P36W4
      OFFSETS:	14-19
       TOKENS:	P36W4-P36W4
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(yhbkm)
          POS:	NO_FUNC
          VOC:	yhbkm
        GLOSS:	nogloss

 INPUT STRING:	الطمائنينة
     IS_TRANS:	AlTmA}nynp
        INDEX:	P36W5
      OFFSETS:	20-30
       TOKENS:	P36W5-P36W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(AlTmA}nynp)
          POS:	TYPO
          VOC:	AlTmA}nynp
        GLOSS:	nogloss

 INPUT STRING:	وسط
     IS_TRANS:	wsT
        INDEX:	P36W6
      OFFSETS:	31-34
       TOKENS:	P36W6-P36W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wisoT_1]
   UNSPLITVOC:	(wisoT)
          POS:	NOUN
          VOC:	wisoT
        GLOSS:	in the middle/among

 INPUT STRING:	جيرانكم
     IS_TRANS:	jyrAnkm
        INDEX:	P36W7
      OFFSETS:	35-42
       TOKENS:	P36W7-P36W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jAr_1]
   UNSPLITVOC:	(jiyrAnkum)
          POS:	NOUN+POSS_PRON_2P
          VOC:	jiyrAn+kum
        GLOSS:	neighbors+your [pl.]

 INPUT STRING:	وأصهاركم
     IS_TRANS:	w>ShArkm
        INDEX:	P36W8
      OFFSETS:	43-51
       TOKENS:	P36W9-P36W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Sihor_1]
   UNSPLITVOC:	(wi>aSohArkum)
          POS:	CONJ+NOUN+POSS_PRON_2P
          VOC:	wi+>aSohAr+kum
        GLOSS:	and+family ties+your [pl.]

 INPUT STRING:	المسلمي
     IS_TRANS:	Almslmy
        INDEX:	P36W9
      OFFSETS:	52-59
       TOKENS:	P36W12-P36W12
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(Almslmy)
          POS:	TYPO
          VOC:	Almslmy
        GLOSS:	nogloss

 INPUT STRING:	الذين
     IS_TRANS:	Al*yn
        INDEX:	P37W1
      OFFSETS:	0-5
       TOKENS:	P37W1-P37W1
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[Al~a*iy_1]
   UNSPLITVOC:	(Al~a*iyna)
          POS:	REL_PRON
          VOC:	Al~a*iyna
        GLOSS:	who/whom [pl.]

 INPUT STRING:	يبذلون
     IS_TRANS:	yb*lwn
        INDEX:	P37W2
      OFFSETS:	6-12
       TOKENS:	P37W2-P37W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[ba*al_1]
   UNSPLITVOC:	(yabo*uluwn)
          POS:	IV3P+IV+IVSUFF_SUBJ:P
          VOC:	ya+bo*ul+uwn
        GLOSS:	they (people)+strive/exert+[masc.pl.]

 INPUT STRING:	الغالى
     IS_TRANS:	AlgAlY
        INDEX:	P37W3
      OFFSETS:	13-19
       TOKENS:	P37W3-P37W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AlgAliy_1]
   UNSPLITVOC:	(AlgAliy)
          POS:	DET+ADJ
          VOC:	Al+gAliy
        GLOSS:	the+expensive/costly/dear/precious/beloved

 INPUT STRING:	والنفيس
     IS_TRANS:	wAlnfys
        INDEX:	P37W4
      OFFSETS:	20-27
       TOKENS:	P37W4-P37W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nafiys_1]
   UNSPLITVOC:	(wiAlnafiys)
          POS:	CONJ+DET+ADJ
          VOC:	wi+Al+nafiys
        GLOSS:	and+the+precious/costly

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P37W5
      OFFSETS:	28-30
       TOKENS:	P37W6-P37W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	أجل
     IS_TRANS:	>jl
        INDEX:	P37W6
      OFFSETS:	31-34
       TOKENS:	P37W7-P37W7
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>ajol_1]
   UNSPLITVOC:	(>ajol)
          POS:	NOUN
          VOC:	>ajol
        GLOSS:	for sake of/because of

 INPUT STRING:	أن
     IS_TRANS:	>n
        INDEX:	P37W7
      OFFSETS:	35-37
       TOKENS:	P37W8-P37W8
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>ano_1]
   UNSPLITVOC:	(>ano)
          POS:	SUB_CONJ
          VOC:	>ano
        GLOSS:	That, to

 INPUT STRING:	تنالوا
     IS_TRANS:	tnAlwA
        INDEX:	P37W8
      OFFSETS:	38-44
       TOKENS:	P37W9-P37W9
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(tnAlwA)
          POS:	NO_FUNC
          VOC:	tnAlwA
        GLOSS:	nogloss

 INPUT STRING:	حقوقكم
     IS_TRANS:	Hqwqkm
        INDEX:	P37W9
      OFFSETS:	45-51
       TOKENS:	P37W10-P37W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Haq~_1]
   UNSPLITVOC:	(Huquwqkum)
          POS:	NOUN+POSS_PRON_2P
          VOC:	Huquwq+kum
        GLOSS:	right, prerogative, truth+your [pl.]

 INPUT STRING:	كاملة
     IS_TRANS:	kAmlp
        INDEX:	P37W10
      OFFSETS:	52-57
       TOKENS:	P37W12-P37W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAmil_1]
   UNSPLITVOC:	(kAmolap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	kAmol+ap
        GLOSS:	complete/full/integral+[fem.sg.]

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P37W11
      OFFSETS:	58-59
       TOKENS:	P37W13-P37W13
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	nogloss

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P37W12
      OFFSETS:	60-62
       TOKENS:	P37W14-P37W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	SUB_CONJ
          VOC:	mA
        GLOSS:	that, whether

 INPUT STRING:	لم
     IS_TRANS:	lm
        INDEX:	P37W13
      OFFSETS:	63-65
       TOKENS:	P37W15-P37W15
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[lamo_1]
   UNSPLITVOC:	(lamo)
          POS:	NEG_PART
          VOC:	lamo
        GLOSS:	did not

 INPUT STRING:	يكن
     IS_TRANS:	ykn
        INDEX:	P37W14
      OFFSETS:	66-69
       TOKENS:	P37W16-P37W16
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[kAn-u_1]
   UNSPLITVOC:	(yakuno)
          POS:	IV3MS+IV+IVSUFF_MOOD:J
          VOC:	ya+kun+o
        GLOSS:	he/it+be+[jus.]

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P37W15
      OFFSETS:	70-72
       TOKENS:	P37W17-P37W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	الأمر
     IS_TRANS:	Al>mr
        INDEX:	P37W16
      OFFSETS:	73-78
       TOKENS:	P37W18-P37W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amor_1]
   UNSPLITVOC:	(Al>amor)
          POS:	DET+NOUN
          VOC:	Al+>amor
        GLOSS:	the+matter/issue/matters/issues

 INPUT STRING:	إثم
     IS_TRANS:	<vm
        INDEX:	P37W17
      OFFSETS:	79-82
       TOKENS:	P37W19-P37W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<ivom_1]
   UNSPLITVOC:	(<ivom)
          POS:	NOUN
          VOC:	<ivom
        GLOSS:	offense/misdeed

 INPUT STRING:	وربما
     IS_TRANS:	wrbmA
        INDEX:	P38W1
      OFFSETS:	0-5
       TOKENS:	P38W1-P38W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rub~amA_1]
   UNSPLITVOC:	(wirub~amA)
          POS:	CONJ+ADV
          VOC:	wi+rub~amA
        GLOSS:	and+perhaps/maybe

 INPUT STRING:	حين
     IS_TRANS:	Hyn
        INDEX:	P38W2
      OFFSETS:	6-9
       TOKENS:	P38W3-P38W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hiyn_1]
   UNSPLITVOC:	(Hiyn)
          POS:	NOUN
          VOC:	Hiyn
        GLOSS:	time/moment/opportunity

 INPUT STRING:	تستقر
     IS_TRANS:	tstqr
        INDEX:	P38W3
      OFFSETS:	10-15
       TOKENS:	P38W4-P38W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aisotaqar~_1]
   UNSPLITVOC:	(tisotaqir~)
          POS:	IV3FS+IV
          VOC:	ti+sotaqir~
        GLOSS:	she/it/they+settle down/be stabilized

 INPUT STRING:	الأمور
     IS_TRANS:	Al>mwr
        INDEX:	P38W4
      OFFSETS:	16-22
       TOKENS:	P38W5-P38W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amor_1]
   UNSPLITVOC:	(Al>umuwr)
          POS:	DET+NOUN
          VOC:	Al+>umuwr
        GLOSS:	the+matters/issues

 INPUT STRING:	لن
     IS_TRANS:	ln
        INDEX:	P38W5
      OFFSETS:	23-25
       TOKENS:	P38W6-P38W6
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[lano_1]
   UNSPLITVOC:	(lano)
          POS:	NEG_PART
          VOC:	lano
        GLOSS:	not, never, nevermore

 INPUT STRING:	يكون
     IS_TRANS:	ykwn
        INDEX:	P38W6
      OFFSETS:	26-30
       TOKENS:	P38W7-P38W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(yikuwn)
          POS:	IV3MS+IV
          VOC:	yi+kuwn
        GLOSS:	he/it+be

 INPUT STRING:	لمخاوفكم
     IS_TRANS:	lmxAwfkm
        INDEX:	P38W7
      OFFSETS:	31-39
       TOKENS:	P38W8-P38W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maxAfap_1]
   UNSPLITVOC:	(limaxAwifkum)
          POS:	PREP+NOUN+POSS_PRON_2P
          VOC:	li+maxAwif+kum
        GLOSS:	for/to+fears/apprehensions+your [pl.]

 INPUT STRING:	مبرر
     IS_TRANS:	mbrr
        INDEX:	P38W8
      OFFSETS:	40-44
       TOKENS:	P38W11-P38W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mubar~ir_1]
   UNSPLITVOC:	(mubar~ir)
          POS:	NOUN
          VOC:	mubar~ir
        GLOSS:	excuse/justification

 INPUT STRING:	إن
     IS_TRANS:	<n
        INDEX:	P38W9
      OFFSETS:	45-47
       TOKENS:	P38W12-P38W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in_1]
   UNSPLITVOC:	(<in)
          POS:	SUB_CONJ
          VOC:	<in
        GLOSS:	Although,even if, despite, in spite of the fact that, verily, truly

 INPUT STRING:	شاء
     IS_TRANS:	$A'
        INDEX:	P38W10
