 INPUT STRING:	المصريين
      COMMENT:	[]
        LEMMA:	[Tariyq_1]
   UNSPLITVOC:	(Tariyq)
          POS:	NOUN
          VOC:	Tariyq
        GLOSS:	road/way/roads/ways/means/methods

 INPUT STRING:	استخدامها
     IS_TRANS:	AstxdAmhA
        INDEX:	P49W11
      OFFSETS:	56-65
       TOKENS:	P49W14-P49W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[{isotixodAm_1]
   UNSPLITVOC:	({isotixodAmhA)
          POS:	NOUN.VN+POSS_PRON_3FS
          VOC:	{isotixodAm+hA
        GLOSS:	usage/using/utilization+its/their/her

 INPUT STRING:	مبدأ
     IS_TRANS:	mbd>
        INDEX:	P49W12
      OFFSETS:	66-70
       TOKENS:	P49W16-P49W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maboda>_1]
   UNSPLITVOC:	(maboda>)
          POS:	NOUN
          VOC:	maboda>
        GLOSS:	principle/basis

 INPUT STRING:	عدو
     IS_TRANS:	Edw
        INDEX:	P49W13
      OFFSETS:	71-74
       TOKENS:	P49W17-P49W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eadiw~_1]
   UNSPLITVOC:	(Eadiw~)
          POS:	NOUN
          VOC:	Eadiw~
        GLOSS:	enemy

 INPUT STRING:	عدوي
     IS_TRANS:	Edwy
        INDEX:	P49W14
      OFFSETS:	75-79
       TOKENS:	P49W18-P49W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eadiw~_1]
   UNSPLITVOC:	(Eadiw~iy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	Eadiw~+iy
        GLOSS:	enemy+my

 INPUT STRING:	صديقي
     IS_TRANS:	Sdyqy
        INDEX:	P49W15
      OFFSETS:	80-85
       TOKENS:	P49W20-P49W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Sadiyq_1]
   UNSPLITVOC:	(Sadiyqiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	Sadiyq+iy
        GLOSS:	Friend+my

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P49W16
      OFFSETS:	86-87
       TOKENS:	P49W22-P49W22
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P49W17
      OFFSETS:	87-88
       TOKENS:	P49W23-P49W23
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P49W18
      OFFSETS:	88-89
       TOKENS:	P49W24-P49W24
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	اسرائيل
     IS_TRANS:	AsrA}yl
        INDEX:	P50W1
      OFFSETS:	2-9
       TOKENS:	P50W1-P50W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<isorA}iyl_1]
   UNSPLITVOC:	(<isorA}iyl)
          POS:	NOUN_PROP
          VOC:	<isorA}iyl
        GLOSS:	Israel

 INPUT STRING:	عدونا
     IS_TRANS:	EdwnA
        INDEX:	P50W2
      OFFSETS:	10-15
       TOKENS:	P50W2-P50W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Eadiw~_1]
   UNSPLITVOC:	(Eadiw~inA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	Eadiw~i+nA
        GLOSS:	enemy+our

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P50W3
      OFFSETS:	16-17
       TOKENS:	P50W4-P50W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wi_1]
   UNSPLITVOC:	(wi)
          POS:	CONJ
          VOC:	wi
        GLOSS:	and

 INPUT STRING:	هى
     IS_TRANS:	hY
        INDEX:	P50W4
      OFFSETS:	18-20
       TOKENS:	P50W5-P50W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hiy~a_1]
   UNSPLITVOC:	(hiy~a)
          POS:	PRON_3FS
          VOC:	hiy~a
        GLOSS:	she/it

 INPUT STRING:	بتعادي
     IS_TRANS:	btEAdy
        INDEX:	P50W5
      OFFSETS:	21-27
       TOKENS:	P50W6-P50W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAday_1]
   UNSPLITVOC:	(bitiEAdiy)
          POS:	PROG_PART+IV3FS+IV
          VOC:	bi+ti+EAdiy
        GLOSS:	[present-tense]+it/they/she+oppose

 INPUT STRING:	اسرائيل
     IS_TRANS:	AsrA}yl
        INDEX:	P50W6
      OFFSETS:	28-35
       TOKENS:	P50W8-P50W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<isorA}iyl_1]
   UNSPLITVOC:	(<isorA}iyl)
          POS:	NOUN_PROP
          VOC:	<isorA}iyl
        GLOSS:	Israel

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P50W7
      OFFSETS:	36-37
       TOKENS:	P50W9-P50W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wi_1]
   UNSPLITVOC:	(wi)
          POS:	CONJ
          VOC:	wi
        GLOSS:	and

 INPUT STRING:	امريكا
     IS_TRANS:	AmrykA
        INDEX:	P50W8
      OFFSETS:	38-44
       TOKENS:	P50W10-P50W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amoriykA_1]
   UNSPLITVOC:	(>amoriykA)
          POS:	NOUN_PROP
          VOC:	>amoriykA
        GLOSS:	America

 INPUT STRING:	يعنى
     IS_TRANS:	yEnY
        INDEX:	P51W1
      OFFSETS:	1-5
       TOKENS:	P51W1-P51W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EanaY_1]
   UNSPLITVOC:	(yaEoniy)
          POS:	IV3MS+IV
          VOC:	ya+Eoniy
        GLOSS:	he/it+mean

 INPUT STRING:	احنا
     IS_TRANS:	AHnA
        INDEX:	P51W2
      OFFSETS:	6-10
       TOKENS:	P51W2-P51W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiHonA_1]
   UNSPLITVOC:	(AiHonA)
          POS:	PRON_1P
          VOC:	AiHonA
        GLOSS:	we

 INPUT STRING:	مصلحتنا
     IS_TRANS:	mSlHtnA
        INDEX:	P51W3
      OFFSETS:	11-18
       TOKENS:	P51W3-P51W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSolaHap_1]
   UNSPLITVOC:	(maSolaHitnA)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_1P
          VOC:	maSolaH+ap+nA
        GLOSS:	interest/advantage/favor+[fem.sg.]+our

 INPUT STRING:	واحدة
     IS_TRANS:	wAHdp
        INDEX:	P51W4
      OFFSETS:	19-24
       TOKENS:	P51W5-P51W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wAHodap_1]
   UNSPLITVOC:	(wAHodap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	wAHod+ap
        GLOSS:	one+[fem.sg.]

 INPUT STRING:	مع
     IS_TRANS:	mE
        INDEX:	P51W5
      OFFSETS:	25-27
       TOKENS:	P51W6-P51W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maE)
          POS:	NOUN
          VOC:	maE
        GLOSS:	with

 INPUT STRING:	ايران
     IS_TRANS:	AyrAn
        INDEX:	P51W6
      OFFSETS:	28-33
       TOKENS:	P51W7-P51W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<iyrAn_1]
   UNSPLITVOC:	(<iyrAn)
          POS:	NOUN_PROP
          VOC:	<iyrAn
        GLOSS:	Iran

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P51W7
      OFFSETS:	34-35
       TOKENS:	P51W8-P51W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wi_1]
   UNSPLITVOC:	(wi)
          POS:	CONJ
          VOC:	wi
        GLOSS:	and

 INPUT STRING:	العامل
     IS_TRANS:	AlEAml
        INDEX:	P51W8
      OFFSETS:	36-42
       TOKENS:	P51W9-P51W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAmil_1]
   UNSPLITVOC:	(AlEAmil)
          POS:	DET+NOUN
          VOC:	Al+EAmil
        GLOSS:	the+factor/agent/coefficient/factors/agents

 INPUT STRING:	المشترك
     IS_TRANS:	Alm$trk
        INDEX:	P51W9
      OFFSETS:	43-50
       TOKENS:	P51W10-P51W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mu$otarak_1]
   UNSPLITVOC:	(Almu$otarak)
          POS:	DET+ADJ
          VOC:	Al+mu$otarak
        GLOSS:	the+shared/common/joint/collective

 INPUT STRING:	بيننا
     IS_TRANS:	bynnA
        INDEX:	P51W10
      OFFSETS:	51-56
       TOKENS:	P51W11-P51W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bayon_1]
   UNSPLITVOC:	(bayonnA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	bayon+nA
        GLOSS:	between+our

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P51W11
      OFFSETS:	57-59
       TOKENS:	P51W13-P51W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	he/it

 INPUT STRING:	هزيمة
     IS_TRANS:	hzymp
        INDEX:	P51W12
      OFFSETS:	60-65
       TOKENS:	P51W14-P51W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[haziymap_1]
   UNSPLITVOC:	(haziymap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	haziym+ap
        GLOSS:	defeat/defeats+[fem.sg.]

 INPUT STRING:	اسرائيل
     IS_TRANS:	AsrA}yl
        INDEX:	P51W13
      OFFSETS:	66-73
       TOKENS:	P51W15-P51W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<isorA}iyl_1]
   UNSPLITVOC:	(<isorA}iyl)
          POS:	NOUN_PROP
          VOC:	<isorA}iyl
        GLOSS:	Israel

 INPUT STRING:	اخر
     IS_TRANS:	Axr
        INDEX:	P52W1
      OFFSETS:	1-4
       TOKENS:	P52W1-P52W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[|xir_1]
   UNSPLITVOC:	(|xir)
          POS:	ADJ_COMP
          VOC:	|xir
        GLOSS:	last/end

 INPUT STRING:	حاجة
     IS_TRANS:	HAjp
        INDEX:	P52W2
      OFFSETS:	5-9
       TOKENS:	P52W2-P52W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(HAjap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HAj+ap
        GLOSS:	thing/belongings+[fem.sg.]

 INPUT STRING:	ربنا
     IS_TRANS:	rbnA
        INDEX:	P52W3
      OFFSETS:	10-14
       TOKENS:	P52W3-P52W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(rab~inA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	rab~+nA
        GLOSS:	lord/master+our

 INPUT STRING:	ينصر
     IS_TRANS:	ynSr
        INDEX:	P52W4
      OFFSETS:	15-19
       TOKENS:	P52W5-P52W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[naSar_1]
   UNSPLITVOC:	(yinSr)
          POS:	IV3MS+IV
          VOC:	yi+nSr
        GLOSS:	he/it+make win

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P52W5
      OFFSETS:	20-22
       TOKENS:	P52W6-P52W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all, entire, every, whole

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P52W6
      OFFSETS:	23-27
       TOKENS:	P52W7-P52W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who

 INPUT STRING:	بيجاهدوا
     IS_TRANS:	byjAhdwA
        INDEX:	P52W7
      OFFSETS:	28-36
       TOKENS:	P52W8-P52W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[jAhid_1]
   UNSPLITVOC:	(biyujAhduwA)
          POS:	PROG_PART+IV3P+IV+IVSUFF_SUBJ:P
          VOC:	bi+yu+jAhd+uwA
        GLOSS:	[present-tense]+they+wage war+we

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P52W8
      OFFSETS:	37-39
       TOKENS:	P52W10-P52W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	سبيله
     IS_TRANS:	sbylh
        INDEX:	P52W9
      OFFSETS:	40-45
       TOKENS:	P52W11-P52W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sabiyl_1]
   UNSPLITVOC:	(sabiyluh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	sabiyl+uh
        GLOSS:	way+him

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P52W10
      OFFSETS:	46-47
       TOKENS:	P52W13-P52W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wi_1]
   UNSPLITVOC:	(wi)
          POS:	CONJ
          VOC:	wi
        GLOSS:	and

 INPUT STRING:	ينصر
     IS_TRANS:	ynSr
        INDEX:	P52W11
      OFFSETS:	48-52
       TOKENS:	P52W14-P52W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[naSar_1]
   UNSPLITVOC:	(yinSr)
          POS:	IV3MS+IV
          VOC:	yi+nSr
        GLOSS:	he/it+make win

 INPUT STRING:	اخواننا
     IS_TRANS:	AxwAnnA
        INDEX:	P52W12
      OFFSETS:	53-60
       TOKENS:	P52W15-P52W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Ax_1]
   UNSPLITVOC:	(AixwAnnA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	AixwAn+nA
        GLOSS:	brothers+our

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P52W13
      OFFSETS:	61-63
       TOKENS:	P52W17-P52W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	فلسطين
     IS_TRANS:	flsTyn
        INDEX:	P52W14
      OFFSETS:	64-70
       TOKENS:	P52W18-P52W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[falasoTiyn_1]
   UNSPLITVOC:	(falasoTiyn)
          POS:	NOUN_PROP
          VOC:	falasoTiyn
        GLOSS:	Palestine

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P53W1
      OFFSETS:	1-3
       TOKENS:	P53W1-P53W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bas~_1]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	النصر
     IS_TRANS:	AlnSr
        INDEX:	P53W2
      OFFSETS:	4-9
       TOKENS:	P53W2-P53W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[naSor_1]
   UNSPLITVOC:	(Aln~aSor)
          POS:	DET+NOUN
          VOC:	Al+naSor
        GLOSS:	the+victory/assistance

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P53W3
      OFFSETS:	10-12
       TOKENS:	P53W3-P53W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	مجرد
     IS_TRANS:	mjrd
        INDEX:	P53W4
      OFFSETS:	13-17
       TOKENS:	P53W4-P53W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mujar~ad_1]
   UNSPLITVOC:	(mujar~ad)
          POS:	NOUN
          VOC:	mujar~ad
        GLOSS:	mere

 INPUT STRING:	تصريحات
     IS_TRANS:	tSryHAt
        INDEX:	P53W5
      OFFSETS:	18-25
       TOKENS:	P53W5-P53W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taSoriyH_1]
   UNSPLITVOC:	(taSoriyHAt)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	taSoriyH+At
        GLOSS:	declarations/statements+[fem.pl.]

 INPUT STRING:	النصر
     IS_TRANS:	AlnSr
        INDEX:	P54W1
      OFFSETS:	1-6
       TOKENS:	P54W1-P54W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[naSor_1]
   UNSPLITVOC:	(Aln~aSor)
          POS:	DET+NOUN
          VOC:	Al+naSor
        GLOSS:	the+victory/assistance

 INPUT STRING:	عمره
     IS_TRANS:	Emrh
        INDEX:	P54W2
      OFFSETS:	7-11
       TOKENS:	P54W2-P54W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eumor_1]
   UNSPLITVOC:	(Eumoruh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	Eumor+uh
        GLOSS:	age/life/ages/age groups+his/its

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P54W3
      OFFSETS:	12-14
       TOKENS:	P54W4-P54W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	PART
          VOC:	mA
        GLOSS:	not

 INPUT STRING:	هاييجي
     IS_TRANS:	hAyyjy
        INDEX:	P54W4
      OFFSETS:	15-21
       TOKENS:	P54W5-P54W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jA_1]
   UNSPLITVOC:	(Hayiyojiy)
          POS:	FUT_PART+IV3MS+IV
          VOC:	Ha+yi+yojiy
        GLOSS:	will+he/it+come

 INPUT STRING:	بالعشوائية
     IS_TRANS:	bAlE$wA}yp
        INDEX:	P54W5
      OFFSETS:	22-32
       TOKENS:	P54W7-P54W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ea$owA}iy~ap_1]
   UNSPLITVOC:	(biAlEa$owA}iy~ap)
          POS:	PREP+DET+NOUN+NSUFF_FEM_SG
          VOC:	bi+Al+Ea$owA}iy~+ap
        GLOSS:	with/by+the+randomness/arbitrariness+[fem.sg.]

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P54W6
      OFFSETS:	33-37
       TOKENS:	P54W9-P54W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which

 INPUT STRING:	الدول
     IS_TRANS:	Aldwl
        INDEX:	P54W7
      OFFSETS:	38-43
       TOKENS:	P54W10-P54W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dawlap_1]
   UNSPLITVOC:	(Ald~iwal)
          POS:	DET+NOUN
          VOC:	Al+diwal
        GLOSS:	the+state/country/states/countries

 INPUT STRING:	العربية
     IS_TRANS:	AlErbyp
        INDEX:	P54W8
      OFFSETS:	44-51
       TOKENS:	P54W11-P54W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Earabiy~ap_1]
   UNSPLITVOC:	(AlEarabiy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+Earabiy~+ap
        GLOSS:	the+Arab/Arabic+[fem.sg.]

 INPUT STRING:	فيها
     IS_TRANS:	fyhA
        INDEX:	P54W9
      OFFSETS:	52-56
       TOKENS:	P54W12-P54W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyhA)
          POS:	PREP+PRON_3FS
          VOC:	fiy+hA
        GLOSS:	in+she/it

 INPUT STRING:	النصر
     IS_TRANS:	AlnSr
        INDEX:	P55W1
      OFFSETS:	2-7
       TOKENS:	P55W1-P55W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[naSor_1]
   UNSPLITVOC:	(Aln~aSor)
          POS:	DET+NOUN
          VOC:	Al+naSor
        GLOSS:	the+victory/assistance

 INPUT STRING:	هايجي
     IS_TRANS:	hAyjy
        INDEX:	P55W2
      OFFSETS:	8-13
       TOKENS:	P55W2-P55W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[gih_0]
   UNSPLITVOC:	(Hayijiy)
          POS:	FUT_PART+IV3MS+IV
          VOC:	Ha+yi+jiy
        GLOSS:	will+he/it+come

 INPUT STRING:	لو
     IS_TRANS:	lw
        INDEX:	P55W3
      OFFSETS:	14-16
       TOKENS:	P55W4-P55W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[law_1]
   UNSPLITVOC:	(law)
          POS:	SUB_CONJ
          VOC:	law
        GLOSS:	if

 INPUT STRING:	استخدمنا
     IS_TRANS:	AstxdmnA
        INDEX:	P55W4
      OFFSETS:	17-25
       TOKENS:	P55W5-P55W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aisotaxodim_1]
   UNSPLITVOC:	(AisotaxodimnA)
          POS:	PV+PVSUFF_SUBJ:3MS+PVSUFF_DO:1P
          VOC:	Aisotaxodim+(null)+nA
        GLOSS:	use+he/it+us

 INPUT STRING:	العقل
     IS_TRANS:	AlEql
        INDEX:	P55W5
      OFFSETS:	26-31
       TOKENS:	P55W7-P55W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eaqol_1]
   UNSPLITVOC:	(AlEaqol)
          POS:	DET+NOUN
          VOC:	Al+Eaqol
        GLOSS:	the+mind/intellect/brain/senses/intellects/brains/intellectually/mentally

 INPUT STRING:	شويه
     IS_TRANS:	$wyh
        INDEX:	P55W6
      OFFSETS:	32-36
       TOKENS:	P55W8-P55W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$iway~ap_1]
   UNSPLITVOC:	($iway~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	$iway~+ap
        GLOSS:	a little bit+[fem.sg.]

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P55W7
      OFFSETS:	37-38
       TOKENS:	P55W9-P55W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	اخر
     IS_TRANS:	Axr
        INDEX:	P56W1
      OFFSETS:	1-4
       TOKENS:	P56W1-P56W1
