 INPUT STRING:	حبيب
        LEMMA:	[wAsoTap_1]
   UNSPLITVOC:	(biwAsoTap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	bi+wAsoT+ap
        GLOSS:	with/by+means/device+[fem.sg.]

 INPUT STRING:	دودا
     IS_TRANS:	dwdA
        INDEX:	P11W5
      OFFSETS:	29-33
       TOKENS:	P11W6-P11W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[duwd~A_1]
   UNSPLITVOC:	(duwd~A)
          POS:	NOUN_PROP
          VOC:	duwd~A
        GLOSS:	Dudda

 INPUT STRING:	_
     IS_TRANS:	_
        INDEX:	P11W6
      OFFSETS:	33-34
       TOKENS:	P11W7-P11W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(_)
          POS:	PUNC
          VOC:	_
        GLOSS:	_

 INPUT STRING:	بصى
     IS_TRANS:	bSY
        INDEX:	P12W1
      OFFSETS:	0-3
       TOKENS:	P12W1-P12W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baS~_1]
   UNSPLITVOC:	(buS~iy)
          POS:	CV+CVSUFF_SUBJ:2FS
          VOC:	buS~+iy
        GLOSS:	look+you

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P12W2
      OFFSETS:	4-7
       TOKENS:	P12W2-P12W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P12W3
      OFFSETS:	8-10
       TOKENS:	P12W3-P12W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	بحب
     IS_TRANS:	bHb
        INDEX:	P12W4
      OFFSETS:	11-14
       TOKENS:	P12W4-P12W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hab~_1]
   UNSPLITVOC:	(bAaHib~)
          POS:	PROG_PART+IV1S+IV
          VOC:	bi+Aa+Hib~
        GLOSS:	[present-tense]+I+love

 INPUT STRING:	التعميم
     IS_TRANS:	AltEmym
        INDEX:	P12W5
      OFFSETS:	15-22
       TOKENS:	P12W6-P12W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taEomiym_1]
   UNSPLITVOC:	(Alt~aEomiym)
          POS:	DET+NOUN
          VOC:	Al+taEomiym
        GLOSS:	the+generalization/diffusion/spreading

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P12W6
      OFFSETS:	23-25
       TOKENS:	P12W7-P12W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	الكلام
     IS_TRANS:	AlklAm
        INDEX:	P12W7
      OFFSETS:	26-32
       TOKENS:	P12W8-P12W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kilomap_1]
   UNSPLITVOC:	(AlkalAm)
          POS:	DET+NOUN
          VOC:	Al+kalAm
        GLOSS:	the+talk/remark/speech/saying

 INPUT STRING:	وبعدين
     IS_TRANS:	wbEdyn
        INDEX:	P12W8
      OFFSETS:	33-39
       TOKENS:	P12W9-P12W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEodayn_1]
   UNSPLITVOC:	(wibaEodayn)
          POS:	CONJ+ADV
          VOC:	wi+baEodayn
        GLOSS:	and+then

 INPUT STRING:	انتى
     IS_TRANS:	AntY
        INDEX:	P12W9
      OFFSETS:	40-44
       TOKENS:	P12W11-P12W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainotiy_1]
   UNSPLITVOC:	(Ainotiy)
          POS:	PRON_2FS
          VOC:	Ainotiy
        GLOSS:	you

 INPUT STRING:	قولتى
     IS_TRANS:	qwltY
        INDEX:	P12W10
      OFFSETS:	45-50
       TOKENS:	P12W12-P12W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(quwltiy)
          POS:	PV+PVSUFF_SUBJ:2FS
          VOC:	quwl+tiy
        GLOSS:	said+you

 INPUT STRING:	بنفسك
     IS_TRANS:	bnfsk
        INDEX:	P12W11
      OFFSETS:	51-56
       TOKENS:	P12W13-P12W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nafos_1]
   UNSPLITVOC:	(binafosak)
          POS:	PREP+NOUN+POSS_PRON_2MS
          VOC:	bi+nafos+ak
        GLOSS:	with/by+soul+your

 INPUT STRING:	الشيخ
     IS_TRANS:	Al$yx
        INDEX:	P12W12
      OFFSETS:	57-62
       TOKENS:	P12W16-P12W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ayx_1]
   UNSPLITVOC:	(Al$~ayx)
          POS:	DET+NOUN
          VOC:	Al+$ayx
        GLOSS:	the+Sheikh

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P12W13
      OFFSETS:	63-65
       TOKENS:	P12W17-P12W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	he

 INPUT STRING:	فعلا
     IS_TRANS:	fElA
        INDEX:	P12W14
      OFFSETS:	66-70
       TOKENS:	P12W18-P12W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiEol_1]
   UNSPLITVOC:	(fiEolAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	fiEol+AF
        GLOSS:	doing/act/action/actually/in effect/acts/actions/deeds/exploits+[acc.indef.]

 INPUT STRING:	شيخ
     IS_TRANS:	$yx
        INDEX:	P12W15
      OFFSETS:	71-74
       TOKENS:	P12W19-P12W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ayx_1]
   UNSPLITVOC:	($ayx)
          POS:	NOUN
          VOC:	$ayx
        GLOSS:	Sheikh

 INPUT STRING:	ولعلمك
     IS_TRANS:	wlElmk
        INDEX:	P12W16
      OFFSETS:	75-81
       TOKENS:	P12W20-P12W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eilom_1]
   UNSPLITVOC:	(wiliEilomak)
          POS:	CONJ+PREP+NOUN+POSS_PRON_2MS
          VOC:	wi+li+Eilom+ak
        GLOSS:	and+for/to+knowledge+your

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P12W17
      OFFSETS:	82-85
       TOKENS:	P12W24-P12W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I

 INPUT STRING:	الحمد
     IS_TRANS:	AlHmd
        INDEX:	P12W18
      OFFSETS:	86-91
       TOKENS:	P12W25-P12W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hamod_1]
   UNSPLITVOC:	(AlHamod)
          POS:	DET+NOUN
          VOC:	Al+Hamod
        GLOSS:	the+commendation/praise

 INPUT STRING:	لله
     IS_TRANS:	llh
        INDEX:	P12W19
      OFFSETS:	92-95
       TOKENS:	P12W26-P12W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(lil~ah)
          POS:	PREP+NOUN_PROP
          VOC:	li+All~ah
        GLOSS:	to/for+Allah/God

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P12W20
      OFFSETS:	96-98
       TOKENS:	P12W28-P12W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	اقل
     IS_TRANS:	Aql
        INDEX:	P12W21
      OFFSETS:	99-102
       TOKENS:	P12W29-P12W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aqal~_1]
   UNSPLITVOC:	(>aqal~)
          POS:	ADJ_COMP
          VOC:	>aqal~
        GLOSS:	less

 INPUT STRING:	منك
     IS_TRANS:	mnk
        INDEX:	P12W22
      OFFSETS:	103-106
       TOKENS:	P12W30-P12W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min~ik)
          POS:	PREP+PRON_2FS
          VOC:	min~+ik
        GLOSS:	from+you

 INPUT STRING:	ايمان
     IS_TRANS:	AymAn
        INDEX:	P12W23
      OFFSETS:	107-112
       TOKENS:	P12W32-P12W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<iymAn_1]
   UNSPLITVOC:	(<iymAn)
          POS:	NOUN
          VOC:	<iymAn
        GLOSS:	belief/faith/believing

 INPUT STRING:	بالعكس
     IS_TRANS:	bAlEks
        INDEX:	P12W24
      OFFSETS:	113-119
       TOKENS:	P12W33-P12W34
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eakos_1]
   UNSPLITVOC:	(biAlEakos)
          POS:	PREP+DET+NOUN
          VOC:	bi+Al+Eakos
        GLOSS:	with/by+the+opposite/contrary

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P12W25
      OFFSETS:	120-124
       TOKENS:	P12W35-P12W35
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	Allah/God

 INPUT STRING:	اعلم
     IS_TRANS:	AElm
        INDEX:	P12W26
      OFFSETS:	125-129
       TOKENS:	P12W36-P12W36
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aEolam_1]
   UNSPLITVOC:	(>aEolam)
          POS:	ADJ_COMP
          VOC:	>aEolam
        GLOSS:	know

 INPUT STRING:	بيا
     IS_TRANS:	byA
        INDEX:	P12W27
      OFFSETS:	130-133
       TOKENS:	P12W37-P12W38
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[bi_1]
   UNSPLITVOC:	(biy~A)
          POS:	PREP+PRON_1S
          VOC:	bi+yA
        GLOSS:	with+me

 INPUT STRING:	وبيكى
     IS_TRANS:	wbykY
        INDEX:	P12W28
      OFFSETS:	134-139
       TOKENS:	P12W39-P12W41
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bi_1]
   UNSPLITVOC:	(wibiykiy)
          POS:	CONJ+PREP+PRON_2FS
          VOC:	wi+bi+ik
        GLOSS:	and+to+you

 INPUT STRING:	وعشان
     IS_TRANS:	wE$An
        INDEX:	P12W29
      OFFSETS:	140-145
       TOKENS:	P12W42-P12W44
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$a>on_1]
   UNSPLITVOC:	(wiEa$a>on)
          POS:	CONJ+PREP+NOUN
          VOC:	wi+Ea+$a>on
        GLOSS:	and+on/above+matter/affair/case/importance/status/situation/condition/affairs/matters

 INPUT STRING:	تبقى
     IS_TRANS:	tbqY
        INDEX:	P12W30
      OFFSETS:	146-150
       TOKENS:	P12W45-P12W45
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[baqaY_2]
   UNSPLITVOC:	(tiboqaY)
          POS:	IV3FS+IV
          VOC:	ti+boqaY
        GLOSS:	it/they/she+remain

 INPUT STRING:	فاهمة
     IS_TRANS:	fAhmp
        INDEX:	P12W31
      OFFSETS:	151-156
       TOKENS:	P12W46-P12W46
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fAhim_1]
   UNSPLITVOC:	(fAhomap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	fAhom+ap
        GLOSS:	understanding+[fem.sg.]

 INPUT STRING:	حاجة
     IS_TRANS:	HAjp
        INDEX:	P12W32
      OFFSETS:	157-161
       TOKENS:	P12W47-P12W47
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(HAjap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HAj+ap
        GLOSS:	thing/belongings+[fem.sg.]

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P12W33
      OFFSETS:	162-165
       TOKENS:	P12W48-P12W48
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I

 INPUT STRING:	بحبه
     IS_TRANS:	bHbh
        INDEX:	P12W34
      OFFSETS:	166-170
       TOKENS:	P12W49-P12W51
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hab~_1]
   UNSPLITVOC:	(bAaHib~uh)
          POS:	PROG_PART+IV1S+IV+IVSUFF_DO:3MS
          VOC:	bi+Aa+Hib~+uh
        GLOSS:	[present-tense]+I+love+them

 INPUT STRING:	فقط
     IS_TRANS:	fqT
        INDEX:	P12W35
      OFFSETS:	171-174
       TOKENS:	P12W52-P12W52
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[faqaT_1]
   UNSPLITVOC:	(faqaT)
          POS:	ADV
          VOC:	faqaT
        GLOSS:	only

 INPUT STRING:	لانه
     IS_TRANS:	lAnh
        INDEX:	P12W36
      OFFSETS:	175-179
       TOKENS:	P12W53-P12W55
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(li<in~uh)
          POS:	PREP+SUB_CONJ+PRON_3MS
          VOC:	li+<in~+uh
        GLOSS:	because+that+he

 INPUT STRING:	مسلم
     IS_TRANS:	mslm
        INDEX:	P12W37
      OFFSETS:	180-184
       TOKENS:	P12W56-P12W56
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[musolim_1]
   UNSPLITVOC:	(musolim)
          POS:	NOUN
          VOC:	musolim
        GLOSS:	Muslim

 INPUT STRING:	ورمز
     IS_TRANS:	wrmz
        INDEX:	P12W38
      OFFSETS:	185-189
       TOKENS:	P12W57-P12W58
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ramoz_1]
   UNSPLITVOC:	(waramoz)
          POS:	PREP+NOUN
          VOC:	wa+ramoz
        GLOSS:	with+sign/symbol/emblem

 INPUT STRING:	لكن
     IS_TRANS:	lkn
        INDEX:	P12W39
      OFFSETS:	190-193
       TOKENS:	P12W59-P12W59
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[lakan_1]
   UNSPLITVOC:	(lakan)
          POS:	PSEUDO_VERB
          VOC:	lakan
        GLOSS:	But, however, yet, still, nevertheless, on the other hand

 INPUT STRING:	بكل
     IS_TRANS:	bkl
        INDEX:	P12W40
      OFFSETS:	194-197
       TOKENS:	P12W60-P12W61
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(bikul~)
          POS:	PREP+NOUN_QUANT
          VOC:	bi+kul~
        GLOSS:	with/by+all, entire, every, whole

 INPUT STRING:	صراحة
     IS_TRANS:	SrAHp
        INDEX:	P12W41
      OFFSETS:	198-203
       TOKENS:	P12W62-P12W62
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SarAHap_1]
   UNSPLITVOC:	(SarAHap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	SarAH+ap
        GLOSS:	sincerity/candor/frankness/explicitly/openly+[fem.sg.]

 INPUT STRING:	عمرى
     IS_TRANS:	EmrY
        INDEX:	P12W42
      OFFSETS:	204-208
       TOKENS:	P12W63-P12W64
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eumor_1]
   UNSPLITVOC:	(Eumoriy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	Eumor+iy
        GLOSS:	age/life/ages/age groups+my

 INPUT STRING:	مافهمت
     IS_TRANS:	mAfhmt
        INDEX:	P12W43
      OFFSETS:	209-215
       TOKENS:	P12W65-P12W66
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fihim_1]
   UNSPLITVOC:	(mA_fihimt)
          POS:	NEG_PART+PV+PVSUFF_SUBJ:1S
          VOC:	mA+fihim+t
        GLOSS:	not+understanding+I

 INPUT STRING:	منه
     IS_TRANS:	mnh
        INDEX:	P12W44
      OFFSETS:	216-219
       TOKENS:	P12W67-P12W68
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min~uh)
          POS:	PREP+PRON_3MS
          VOC:	min~+uh
        GLOSS:	from+him

 INPUT STRING:	حاجة
     IS_TRANS:	HAjp
        INDEX:	P12W45
      OFFSETS:	220-224
       TOKENS:	P12W69-P12W69
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(HAjap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HAj+ap
        GLOSS:	thing/belongings+[fem.sg.]

 INPUT STRING:	حتى
     IS_TRANS:	HtY
        INDEX:	P12W46
      OFFSETS:	225-228
       TOKENS:	P12W70-P12W70
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Hat~aY_2]
   UNSPLITVOC:	(Hat~aY)
          POS:	CONJ
          VOC:	Hat~aY
        GLOSS:	and/and even

 INPUT STRING:	لما
     IS_TRANS:	lmA
        INDEX:	P12W47
      OFFSETS:	229-232
       TOKENS:	P12W71-P12W71
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lam~A_1]
   UNSPLITVOC:	(lam~A)
          POS:	SUB_CONJ
          VOC:	lam~A
        GLOSS:	as, when

 INPUT STRING:	كان
     IS_TRANS:	kAn
        INDEX:	P12W48
      OFFSETS:	233-236
       TOKENS:	P12W72-P12W72
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAn)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	kAn+(null)
        GLOSS:	be+he/it

 INPUT STRING:	بيجى
     IS_TRANS:	byjY
        INDEX:	P12W49
      OFFSETS:	237-241
       TOKENS:	P12W73-P12W74
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[gih_1]
   UNSPLITVOC:	(biyijiy)
          POS:	PROG_PART+IV3MS+IV
          VOC:	bi+yi+jiy
        GLOSS:	[present-tense]+he/it+come

 INPUT STRING:	يوم
     IS_TRANS:	ywm
        INDEX:	P12W50
      OFFSETS:	242-245
       TOKENS:	P12W75-P12W75
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yawm_1]
   UNSPLITVOC:	(yawm)
          POS:	NOUN
          VOC:	yawm
        GLOSS:	today/some day/ever/days/day

 INPUT STRING:	الاربعاء
     IS_TRANS:	AlArbEA'
        INDEX:	P12W51
      OFFSETS:	246-254
       TOKENS:	P12W76-P12W76
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>arobiEA'_1]
   UNSPLITVOC:	(Al>arobiEA')
          POS:	DET+NOUN
          VOC:	Al+>arobiEA'
        GLOSS:	the+Wednesday

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P12W52
      OFFSETS:	255-257
       TOKENS:	P12W77-P12W77
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	برنامج
     IS_TRANS:	brnAmj
        INDEX:	P12W53
      OFFSETS:	258-264
       TOKENS:	P12W78-P12W78
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bironAmij_1]
   UNSPLITVOC:	(bironAmij)
          POS:	NOUN
          VOC:	bironAmij
        GLOSS:	program

 INPUT STRING:	فضفضة
     IS_TRANS:	fDfDp
        INDEX:	P12W54
      OFFSETS:	265-270
       TOKENS:	P12W79-P12W79
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[faDofaDap_1]
   UNSPLITVOC:	(faDofaDap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	faDofaD+ap
        GLOSS:	fluttering/ampleness/corpulence/cersationonv+[fem.sg.]

 INPUT STRING:	الشيخ
     IS_TRANS:	Al$yx
        INDEX:	P12W55
      OFFSETS:	271-276
       TOKENS:	P12W80-P12W80
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ayx_1]
   UNSPLITVOC:	(Al$~ayx)
          POS:	DET+NOUN
          VOC:	Al+$ayx
        GLOSS:	the+Sheikh

 INPUT STRING:	الوحيد
     IS_TRANS:	AlwHyd
        INDEX:	P12W56
      OFFSETS:	277-283
       TOKENS:	P12W81-P12W81
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waHiyd_1]
   UNSPLITVOC:	(AlwaHiyd)
          POS:	DET+ADJ
          VOC:	Al+waHiyd
        GLOSS:	the+only/sole/alone/exclusive

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P12W57
      OFFSETS:	284-288
       TOKENS:	P12W82-P12W82
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which

 INPUT STRING:	ماكنتش
     IS_TRANS:	mAknt$
        INDEX:	P12W58
      OFFSETS:	289-295
       TOKENS:	P12W83-P12W85
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(mA_kunti$)
          POS:	NEG_PART+PV+PVSUFF_SUBJ:1S+NEG_PART
          VOC:	mA+kun+t+$
        GLOSS:	not+be+I+not

 INPUT STRING:	بتكلم
     IS_TRANS:	btklm
        INDEX:	P12W59
      OFFSETS:	296-301
       TOKENS:	P12W86-P12W87
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aitokal~im_1]
   UNSPLITVOC:	(bAatokal~im)
          POS:	PROG_PART+IV1S+IV
          VOC:	bi+Aa+tokal~im
        GLOSS:	[present-tense]+I+talk

 INPUT STRING:	عليه
     IS_TRANS:	Elyh
        INDEX:	P12W60
      OFFSETS:	302-306
       TOKENS:	P12W88-P12W89
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(Ealayh)
          POS:	PREP+PRON_3MS
          VOC:	EalaY+uh
        GLOSS:	on/above+him

 INPUT STRING:	وياريتك
     IS_TRANS:	wyArytk
        INDEX:	P12W61
      OFFSETS:	307-314
       TOKENS:	P12W90-P12W92
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yArayot_1]
   UNSPLITVOC:	(wiyArayotak)
          POS:	CONJ+PSEUDO_VERB+PRON_2MS
          VOC:	wi+yArayot+ak
        GLOSS:	and+if only+you

 INPUT STRING:	تقوليلى
     IS_TRANS:	tqwlylY
        INDEX:	P12W62
      OFFSETS:	315-322
       TOKENS:	P12W93-P12W95
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(tiquwliy_liy)
