 INPUT STRING:	موضوع
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[gayor_1]
   UNSPLITVOC:	(ligayoruh)
          POS:	PREP+NOUN+POSS_PRON_3MS
          VOC:	li+gayor+uh
        GLOSS:	for/to+not/other+his/its

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P19W28
      OFFSETS:	136-138
       TOKENS:	P19W38-P19W38
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bas~_1]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	احنا
     IS_TRANS:	AHnA
        INDEX:	P19W29
      OFFSETS:	139-143
       TOKENS:	P19W39-P19W39
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiHonA_1]
   UNSPLITVOC:	(AiHonA)
          POS:	PRON_1P
          VOC:	AiHonA
        GLOSS:	we

 INPUT STRING:	كده
     IS_TRANS:	kdh
        INDEX:	P19W30
      OFFSETS:	144-147
       TOKENS:	P19W40-P19W40
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidah_1]
   UNSPLITVOC:	(kidah)
          POS:	NOUN
          VOC:	kidah
        GLOSS:	that

 INPUT STRING:	منشكش
     IS_TRANS:	mn$k$
        INDEX:	P19W31
      OFFSETS:	148-153
       TOKENS:	P19W41-P19W43
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[$ak~a_1]
   UNSPLITVOC:	(mAni$uk~a$)
          POS:	NEG_PART+IV1P+IV+NEG_PART
          VOC:	mA+ni+$uk~a+$
        GLOSS:	not+we+Doubt/Suspect+not

 INPUT STRING:	غير
     IS_TRANS:	gyr
        INDEX:	P19W32
      OFFSETS:	154-157
       TOKENS:	P19W44-P19W44
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[gayor_1]
   UNSPLITVOC:	(gayor)
          POS:	NOUN
          VOC:	gayor
        GLOSS:	not/other

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P19W33
      OFFSETS:	158-160
       TOKENS:	P19W45-P19W45
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	المحترمين
     IS_TRANS:	AlmHtrmyn
        INDEX:	P19W34
      OFFSETS:	161-170
       TOKENS:	P19W46-P19W46
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muHotaram_1]
   UNSPLITVOC:	(AlmuHotaramiyn)
          POS:	DET+NOUN+NSUFF_MASC_PL
          VOC:	Al+muHotaram+iyn
        GLOSS:	the+esteemed/respected+[masc.pl.]

 INPUT STRING:	ربنا
     IS_TRANS:	rbnA
        INDEX:	P20W1
      OFFSETS:	0-4
       TOKENS:	P20W1-P20W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(rab~nA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	rab~+nA
        GLOSS:	lord/master+our

 INPUT STRING:	يهدى
     IS_TRANS:	yhdY
        INDEX:	P20W2
      OFFSETS:	5-9
       TOKENS:	P20W3-P20W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hadaY_1]
   UNSPLITVOC:	(yihodiy)
          POS:	IV3MS+IV
          VOC:	yi+hodiy
        GLOSS:	he/it+guide/direct/lead/be guided/be directed/be led

 INPUT STRING:	يارب
     IS_TRANS:	yArb
        INDEX:	P20W3
      OFFSETS:	10-14
       TOKENS:	P20W4-P20W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(yArab~)
          POS:	VOC_PART+NOUN
          VOC:	yaA+rab~
        GLOSS:	oh+lord/master

 INPUT STRING:	والناس
     IS_TRANS:	wAlnAs
        INDEX:	P20W4
      OFFSETS:	15-21
       TOKENS:	P20W6-P20W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAs_1]
   UNSPLITVOC:	(wiAlnAs)
          POS:	CONJ+DET+NOUN
          VOC:	wi+Al+nAs
        GLOSS:	and+the+people

 INPUT STRING:	تفكر
     IS_TRANS:	tfkr
        INDEX:	P20W5
      OFFSETS:	22-26
       TOKENS:	P20W8-P20W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fak~ar_1]
   UNSPLITVOC:	(tifak~ar)
          POS:	IV3FS+IV
          VOC:	ti+fak~ar
        GLOSS:	it/they/she+think/consider/ponder

 INPUT STRING:	بعقلانيه
     IS_TRANS:	bEqlAnyh
        INDEX:	P20W6
      OFFSETS:	27-35
       TOKENS:	P20W9-P20W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EaqolAniy~ap_1]
   UNSPLITVOC:	(biEaqolAniy~ap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	bi+EaqolAniy~+ap
        GLOSS:	with/by+rationalism+[fem.sg.]

 INPUT STRING:	شويه
     IS_TRANS:	$wyh
        INDEX:	P20W7
      OFFSETS:	36-40
       TOKENS:	P20W11-P20W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$iway~ap_1]
   UNSPLITVOC:	($iway~ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	$iway~+ap
        GLOSS:	some+[fem.sg.]

 INPUT STRING:	يعنى
     IS_TRANS:	yEnY
        INDEX:	P21W1
      OFFSETS:	0-4
       TOKENS:	P21W1-P21W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EanaY_1]
   UNSPLITVOC:	(yaEoniy)
          POS:	IV3MS+IV
          VOC:	ya+Eoniy
        GLOSS:	he/it+mean/signify/concern

 INPUT STRING:	نسيب
     IS_TRANS:	nsyb
        INDEX:	P21W2
      OFFSETS:	5-9
       TOKENS:	P21W2-P21W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sAb_1]
   UNSPLITVOC:	(nisiyb)
          POS:	IV1P+IV
          VOC:	ni+siyb
        GLOSS:	we+leave

 INPUT STRING:	البلد
     IS_TRANS:	Albld
        INDEX:	P21W3
      OFFSETS:	10-15
       TOKENS:	P21W3-P21W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[balad_1]
   UNSPLITVOC:	(Albalad)
          POS:	DET+NOUN
          VOC:	Al+balad
        GLOSS:	the+country/country/countries

 INPUT STRING:	تقع
     IS_TRANS:	tqE
        INDEX:	P21W4
      OFFSETS:	16-19
       TOKENS:	P21W4-P21W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waqaE_1]
   UNSPLITVOC:	(tuqaE)
          POS:	IV3FS+IV
          VOC:	tu+qaE
        GLOSS:	she/it+fall down

 INPUT STRING:	والاقتصاد
     IS_TRANS:	wAlAqtSAd
        INDEX:	P21W5
      OFFSETS:	20-29
       TOKENS:	P21W5-P21W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[{iqotiSAd_1]
   UNSPLITVOC:	(waAlAiqotiSAd)
          POS:	SUB_CONJ+DET+NOUN
          VOC:	wa+Al+{iqotiSAd
        GLOSS:	while+the+economy/saving

 INPUT STRING:	بقى
     IS_TRANS:	bqY
        INDEX:	P21W6
      OFFSETS:	30-33
       TOKENS:	P21W7-P21W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baqaY_1]
   UNSPLITVOC:	(baqaY)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	baqaY+(null)
        GLOSS:	Remain/become+he/it

 INPUT STRING:	شبه
     IS_TRANS:	$bh
        INDEX:	P21W7
      OFFSETS:	34-37
       TOKENS:	P21W8-P21W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$iboh_1]
   UNSPLITVOC:	($iboh)
          POS:	NOUN
          VOC:	$iboh
        GLOSS:	like/almost/semi-/like/similar

 INPUT STRING:	منهار
     IS_TRANS:	mnhAr
        INDEX:	P21W8
      OFFSETS:	38-43
       TOKENS:	P21W9-P21W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[minohAr_1]
   UNSPLITVOC:	(minohAr)
          POS:	ADJ
          VOC:	minohAr
        GLOSS:	suffering a breakdown/collapsing

 INPUT STRING:	ونستنى
     IS_TRANS:	wnstnY
        INDEX:	P21W9
      OFFSETS:	44-50
       TOKENS:	P21W10-P21W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aisotan~aY_1]
   UNSPLITVOC:	(winisotan~aY)
          POS:	SUB_CONJ+IV1P+IV
          VOC:	wi+ni+sotan~aY
        GLOSS:	while+we+wait

 INPUT STRING:	الفلوس
     IS_TRANS:	Alflws
        INDEX:	P21W10
      OFFSETS:	51-57
       TOKENS:	P21W12-P21W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[filuws_1]
   UNSPLITVOC:	(Alfiluws)
          POS:	DET+NOUN
          VOC:	Al+filuws
        GLOSS:	the+money

 INPUT STRING:	المهربه
     IS_TRANS:	Almhrbh
        INDEX:	P21W11
      OFFSETS:	58-65
       TOKENS:	P21W13-P21W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muhar~ab_1]
   UNSPLITVOC:	(Almuhar~abap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+muhar~ab+ap
        GLOSS:	the+smuggled/contraband+[fem.sg.]

 INPUT STRING:	لما
     IS_TRANS:	lmA
        INDEX:	P21W12
      OFFSETS:	66-69
       TOKENS:	P21W14-P21W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lam~A_1]
   UNSPLITVOC:	(lam~A)
          POS:	SUB_CONJ
          VOC:	lam~A
        GLOSS:	as, when

 INPUT STRING:	تيجى
     IS_TRANS:	tyjY
        INDEX:	P21W13
      OFFSETS:	70-74
       TOKENS:	P21W15-P21W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jA_1]
   UNSPLITVOC:	(tiyojiy)
          POS:	IV3FS+IV
          VOC:	ti+yojiy
        GLOSS:	it/they/she+come

 INPUT STRING:	وياعالم
     IS_TRANS:	wyAEAlm
        INDEX:	P21W14
      OFFSETS:	75-82
       TOKENS:	P21W16-P21W16
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(wyAEAlm)
          POS:	TYPO
          VOC:	wyAEAlm
        GLOSS:	nogloss

 INPUT STRING:	ولا
     IS_TRANS:	wlA
        INDEX:	P22W1
      OFFSETS:	0-3
       TOKENS:	P22W1-P22W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wal~A_1]
   UNSPLITVOC:	(wal~A)
          POS:	CONJ
          VOC:	wal~A
        GLOSS:	or

 INPUT STRING:	المعونه
     IS_TRANS:	AlmEwnh
        INDEX:	P22W2
      OFFSETS:	4-11
       TOKENS:	P22W2-P22W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEuwnap_1]
   UNSPLITVOC:	(AlmaEuwnap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+maEuwn+ap
        GLOSS:	the+aid/assistance/support+[fem.sg.]

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P22W3
      OFFSETS:	12-16
       TOKENS:	P22W3-P22W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who/whose/which

 INPUT STRING:	مشهتكلف
     IS_TRANS:	m$htklf
        INDEX:	P22W4
      OFFSETS:	17-24
       TOKENS:	P22W4-P22W4
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(m$htklf)
          POS:	NO_FUNC
          VOC:	m$htklf
        GLOSS:	nogloss

 INPUT STRING:	حاجه
     IS_TRANS:	HAjh
        INDEX:	P22W5
      OFFSETS:	25-29
       TOKENS:	P22W5-P22W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(HAjap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HAj+ap
        GLOSS:	thing/belongings+[fem.sg.]

 INPUT STRING:	سبحانك
     IS_TRANS:	sbHAnk
        INDEX:	P23W1
      OFFSETS:	0-6
       TOKENS:	P23W1-P23W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[suboHAn_1]
   UNSPLITVOC:	(suboHAnak)
          POS:	NOUN+POSS_PRON_2MS
          VOC:	suboHAn+ak
        GLOSS:	praise+your [masc.sg.]

 INPUT STRING:	ربى
     IS_TRANS:	rbY
        INDEX:	P23W2
      OFFSETS:	7-10
       TOKENS:	P23W3-P23W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(rab~iy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	rab~+iy
        GLOSS:	lord/master+my

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P24W1
      OFFSETS:	0-4
       TOKENS:	P24W1-P24W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	Allah/God

 INPUT STRING:	المستعان
     IS_TRANS:	AlmstEAn
        INDEX:	P24W2
      OFFSETS:	5-13
       TOKENS:	P24W2-P24W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[musotaEAn_1]
   UNSPLITVOC:	(AlmusotaEAn)
          POS:	DET+ADJ
          VOC:	Al+musotaEAn
        GLOSS:	the+asked for help

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P24W3
      OFFSETS:	14-17
       TOKENS:	P24W3-P24W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P24W4
      OFFSETS:	18-20
       TOKENS:	P24W4-P24W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	REL_PRON
          VOC:	mA
        GLOSS:	what/which

 INPUT STRING:	يصفون
     IS_TRANS:	ySfwn
        INDEX:	P24W5
      OFFSETS:	21-26
       TOKENS:	P24W5-P24W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[waSaf_1]
   UNSPLITVOC:	(yaSifuwn)
          POS:	IV3P+IV+IVSUFF_SUBJ:P
          VOC:	ya+Sif+uwn
        GLOSS:	they (people)+describe/characterize+[masc.pl.]

 INPUT STRING:	يروح
     IS_TRANS:	yrwH
        INDEX:	P25W1
      OFFSETS:	0-4
       TOKENS:	P25W1-P25W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rAH_1]
   UNSPLITVOC:	(yiruwH)
          POS:	IV3MS+IV
          VOC:	yi+ruwH
        GLOSS:	he/it+go

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P25W2
      OFFSETS:	5-7
       TOKENS:	P25W2-P25W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	he

 INPUT STRING:	يجيب
     IS_TRANS:	yjyb
        INDEX:	P25W3
      OFFSETS:	8-12
       TOKENS:	P25W3-P25W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jAb_1]
   UNSPLITVOC:	(yijiyb)
          POS:	IV3MS+IV
          VOC:	yi+jiyb
        GLOSS:	he/it+bring

 INPUT STRING:	الاموال
     IS_TRANS:	AlAmwAl
        INDEX:	P25W4
      OFFSETS:	13-20
       TOKENS:	P25W4-P25W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mAl_1]
   UNSPLITVOC:	(AlAmowAl)
          POS:	DET+NOUN
          VOC:	Al+AmowAl
        GLOSS:	the+money/capital/funds/assets/capital/funds

 INPUT STRING:	المنهوبة
     IS_TRANS:	Almnhwbp
        INDEX:	P25W5
      OFFSETS:	21-29
       TOKENS:	P25W5-P25W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[manohuwb_1]
   UNSPLITVOC:	(Almanohuwbap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+manohuwb+ap
        GLOSS:	the+plundered+[fem.sg.]

 INPUT STRING:	مادام
     IS_TRANS:	mAdAm
        INDEX:	P26W1
      OFFSETS:	0-5
       TOKENS:	P26W1-P26W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mAdAm_1]
   UNSPLITVOC:	(mAdAm)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	mAdAm+(null)
        GLOSS:	as long as+he/it [verb]

 INPUT STRING:	الموضوع
     IS_TRANS:	AlmwDwE
        INDEX:	P26W2
      OFFSETS:	6-13
       TOKENS:	P26W2-P26W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mawDuwE_1]
   UNSPLITVOC:	(AlmawDuwE)
          POS:	DET+NOUN
          VOC:	Al+mawDuwE
        GLOSS:	the+subject/theme/issue

 INPUT STRING:	سهل
     IS_TRANS:	shl
        INDEX:	P26W3
      OFFSETS:	14-17
       TOKENS:	P26W3-P26W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sahol_1]
   UNSPLITVOC:	(sahol)
          POS:	ADJ
          VOC:	sahol
        GLOSS:	easy/simple

 INPUT STRING:	اوى
     IS_TRANS:	AwY
        INDEX:	P26W4
      OFFSETS:	18-21
       TOKENS:	P26W4-P26W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[qawiy_1]
   UNSPLITVOC:	(qawiy)
          POS:	NOUN
          VOC:	qawiy
        GLOSS:	very/strongly

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P26W5
      OFFSETS:	22-24
       TOKENS:	P26W5-P26W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	اى
     IS_TRANS:	AY
        INDEX:	P26W6
      OFFSETS:	25-27
       TOKENS:	P26W6-P26W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aay~_1]
   UNSPLITVOC:	(>ay~)
          POS:	NOUN_QUANT
          VOC:	>ay~
        GLOSS:	Any

 INPUT STRING:	حد
     IS_TRANS:	Hd
        INDEX:	P26W7
      OFFSETS:	28-30
       TOKENS:	P26W7-P26W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Had~_1]
   UNSPLITVOC:	(Had~)
          POS:	NOUN
          VOC:	Had~
        GLOSS:	someone/person

 INPUT STRING:	يجيب
     IS_TRANS:	yjyb
        INDEX:	P26W8
      OFFSETS:	31-35
       TOKENS:	P26W8-P26W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jAb_1]
   UNSPLITVOC:	(yijiyb)
          POS:	IV3MS+IV
          VOC:	yi+jiyb
        GLOSS:	he/it+bring

 INPUT STRING:	الفلوس
     IS_TRANS:	Alflws
        INDEX:	P26W9
      OFFSETS:	36-42
       TOKENS:	P26W9-P26W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[filuws_1]
   UNSPLITVOC:	(Alfiluws)
          POS:	DET+NOUN
          VOC:	Al+filuws
        GLOSS:	the+money

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P26W10
      OFFSETS:	43-45
       TOKENS:	P26W10-P26W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	بره
     IS_TRANS:	brh
        INDEX:	P26W11
      OFFSETS:	46-49
       TOKENS:	P26W11-P26W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bar~ah_1]
   UNSPLITVOC:	(bar~ah)
          POS:	NOUN
          VOC:	bar~ah
        GLOSS:	outside/abroad

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P27W1
      OFFSETS:	0-4
       TOKENS:	P27W1-P27W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who/whose/which

 INPUT STRING:	عمله
     IS_TRANS:	Emlh
        INDEX:	P27W2
      OFFSETS:	5-9
       TOKENS:	P27W2-P27W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(Eamaluh)
          POS:	PV+PVSUFF_SUBJ:3MS+PVSUFF_DO:3MS
          VOC:	Eamal+(null)+uh
        GLOSS:	do/work/function/act+he/it [verb]+it/him

 INPUT STRING:	محمد
     IS_TRANS:	mHmd
        INDEX:	P27W3
      OFFSETS:	10-14
       TOKENS:	P27W4-P27W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maHam~ad_1]
   UNSPLITVOC:	(maHam~ad)
          POS:	NOUN_PROP
          VOC:	maHam~ad
        GLOSS:	Muhammad/Mahamed

 INPUT STRING:	حسان
     IS_TRANS:	HsAn
        INDEX:	P27W4
      OFFSETS:	15-19
       TOKENS:	P27W5-P27W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Has~An_1]
   UNSPLITVOC:	(Has~An)
          POS:	NOUN_PROP
          VOC:	Has~An
        GLOSS:	Hassan

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P27W5
      OFFSETS:	20-22
       TOKENS:	P27W6-P27W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P27W6
      OFFSETS:	23-27
       TOKENS:	P27W7-P27W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who/whose/which

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P27W7
      OFFSETS:	28-30
       TOKENS:	P27W8-P27W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	he

 INPUT STRING:	اضعف
     IS_TRANS:	ADEf
        INDEX:	P27W8
      OFFSETS:	31-35
       TOKENS:	P27W9-P27W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>aDoEaf_1]
   UNSPLITVOC:	(>aDoEaf)
          POS:	ADJ_COMP
          VOC:	>aDoEaf
        GLOSS:	weaker/weakest

 INPUT STRING:	الايمان
