 INPUT STRING:	دة

 INPUT STRING:	فالمصيبة
     IS_TRANS:	fAlmSybp
        INDEX:	P52W14
      OFFSETS:	66-74
       TOKENS:	P52W14-P52W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muSiybap_1]
   UNSPLITVOC:	(faAlmuSiybap)
          POS:	CONJ+DET+NOUN+NSUFF_FEM_SG
          VOC:	fa+Al+muSiyb+ap
        GLOSS:	so/and+the+accident/misfortune/accidents/misfortunes+[fem.sg.]

 INPUT STRING:	أعظم
     IS_TRANS:	>EZm
        INDEX:	P52W15
      OFFSETS:	75-79
       TOKENS:	P52W16-P52W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aEoZam_1]
   UNSPLITVOC:	(>aEoZam)
          POS:	ADJ_COMP
          VOC:	>aEoZam
        GLOSS:	greater/greatest/major

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P52W16
      OFFSETS:	79-80
       TOKENS:	P52W17-P52W17
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P52W17
      OFFSETS:	80-81
       TOKENS:	P52W18-P52W18
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	الناس
     IS_TRANS:	AlnAs
        INDEX:	P53W1
      OFFSETS:	0-5
       TOKENS:	P53W1-P53W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAs_1]
   UNSPLITVOC:	(Aln~As)
          POS:	DET+NOUN
          VOC:	Al+nAs
        GLOSS:	the+people

 INPUT STRING:	بتبتكر
     IS_TRANS:	btbtkr
        INDEX:	P53W2
      OFFSETS:	6-12
       TOKENS:	P53W2-P53W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Aibtakar_1]
   UNSPLITVOC:	(bitibtikir)
          POS:	PROG_PART+IV3FS+IV
          VOC:	bi+ti+btikir
        GLOSS:	[present-tense]+it/they/she+invent/originate

 INPUT STRING:	نصوص
     IS_TRANS:	nSwS
        INDEX:	P53W3
      OFFSETS:	13-17
       TOKENS:	P53W4-P53W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[naS~_1]
   UNSPLITVOC:	(nuSuwS)
          POS:	NOUN
          VOC:	nuSuwS
        GLOSS:	texts

 INPUT STRING:	دينية
     IS_TRANS:	dynyp
        INDEX:	P53W4
      OFFSETS:	18-23
       TOKENS:	P53W5-P53W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diyniy_1]
   UNSPLITVOC:	(diyniy~ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	diyniy~+ap
        GLOSS:	religious+[fem.sg.]

 INPUT STRING:	غير
     IS_TRANS:	gyr
        INDEX:	P53W5
      OFFSETS:	24-27
       TOKENS:	P53W6-P53W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[giyr_1]
   UNSPLITVOC:	(giyr)
          POS:	NOUN
          VOC:	giyr
        GLOSS:	apart from/without/other/execpt/except/not

 INPUT STRING:	موجودة
     IS_TRANS:	mwjwdp
        INDEX:	P53W6
      OFFSETS:	28-34
       TOKENS:	P53W7-P53W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mawjuwd_1]
   UNSPLITVOC:	(mawjuwdap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	mawjuwd+ap
        GLOSS:	present/existing/found+[fem.sg.]

 INPUT STRING:	نتيجة
     IS_TRANS:	ntyjp
        INDEX:	P53W7
      OFFSETS:	35-40
       TOKENS:	P53W8-P53W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[natiyjap_1]
   UNSPLITVOC:	(natiyjap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	natiyj+ap
        GLOSS:	result/consequence/results/consequences/as a result (of)+[fem.sg.]

 INPUT STRING:	كثرة
     IS_TRANS:	kvrp
        INDEX:	P53W8
      OFFSETS:	41-45
       TOKENS:	P53W9-P53W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kavorap_1]
   UNSPLITVOC:	(kavorap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	kavor+ap
        GLOSS:	much+[fem.sg.]

 INPUT STRING:	سمعها
     IS_TRANS:	smEhA
        INDEX:	P53W9
      OFFSETS:	46-51
       TOKENS:	P53W10-P53W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[samoE_1]
   UNSPLITVOC:	(samoEahA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	samoE+hA
        GLOSS:	hearing+its/their/her

 INPUT STRING:	لنفس
     IS_TRANS:	lnfs
        INDEX:	P53W10
      OFFSETS:	52-56
       TOKENS:	P53W12-P53W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nafos_1]
   UNSPLITVOC:	(linafos)
          POS:	PREP+NOUN
          VOC:	li+nafos
        GLOSS:	for/to+same/self/selves/soul/souls

 INPUT STRING:	التعبير
     IS_TRANS:	AltEbyr
        INDEX:	P53W11
      OFFSETS:	57-64
       TOKENS:	P53W14-P53W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taEobiyr_1]
   UNSPLITVOC:	(Alt~aEobiyr)
          POS:	DET+NOUN
          VOC:	Al+taEobiyr
        GLOSS:	the+expression/expressions/as an expression (of)

 INPUT STRING:	:
     IS_TRANS:	:
        INDEX:	P53W12
      OFFSETS:	64-65
       TOKENS:	P53W15-P53W15
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(:)
          POS:	PUNC
          VOC:	:
        GLOSS:	:

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P53W13
      OFFSETS:	67-69
       TOKENS:	P53W16-P53W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	PSEUDO_VERB
          VOC:	lA
        GLOSS:	no

 INPUT STRING:	طلاق
     IS_TRANS:	TlAq
        INDEX:	P53W14
      OFFSETS:	70-74
       TOKENS:	P53W17-P53W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[TalAq_1]
   UNSPLITVOC:	(TalAq)
          POS:	NOUN
          VOC:	TalAq
        GLOSS:	divorce

 INPUT STRING:	إلا
     IS_TRANS:	<lA
        INDEX:	P53W15
      OFFSETS:	75-78
       TOKENS:	P53W18-P53W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<il~A_1]
   UNSPLITVOC:	(<il~A)
          POS:	RESTRIC_PART
          VOC:	<il~A
        GLOSS:	except for

 INPUT STRING:	لعلة
     IS_TRANS:	lElp
        INDEX:	P53W16
      OFFSETS:	79-83
       TOKENS:	P53W19-P53W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eil~ap_1]
   UNSPLITVOC:	(liEil~ap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	li+Eil~+ap
        GLOSS:	for/to+illness/deficiency/defect/illnesses/deficiencies/defects+[fem.sg.]

 INPUT STRING:	الزنى
     IS_TRANS:	AlznY
        INDEX:	P53W17
      OFFSETS:	84-89
       TOKENS:	P53W21-P53W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[zinaY_1]
   UNSPLITVOC:	(AlzinaY)
          POS:	DET+NOUN
          VOC:	Al+zinaY
        GLOSS:	the+adultery/fornication

 INPUT STRING:	رغم
     IS_TRANS:	rgm
        INDEX:	P53W18
      OFFSETS:	91-94
       TOKENS:	P53W22-P53W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ragom_1]
   UNSPLITVOC:	(ragom)
          POS:	NOUN
          VOC:	ragom
        GLOSS:	in spite of/despite

 INPUT STRING:	إن
     IS_TRANS:	<n
        INDEX:	P53W19
      OFFSETS:	95-97
       TOKENS:	P53W23-P53W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	That/to/for

 INPUT STRING:	النص
     IS_TRANS:	AlnS
        INDEX:	P53W20
      OFFSETS:	98-102
       TOKENS:	P53W24-P53W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[naS~_1]
   UNSPLITVOC:	(Aln~aS~)
          POS:	DET+NOUN
          VOC:	Al+naS~
        GLOSS:	the+text/texts/textually/wording

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P53W21
      OFFSETS:	103-105
       TOKENS:	P53W25-P53W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	these/this

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P53W22
      OFFSETS:	106-108
       TOKENS:	P53W26-P53W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	موجود
     IS_TRANS:	mwjwd
        INDEX:	P53W23
      OFFSETS:	109-114
       TOKENS:	P53W27-P53W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mawjuwd_1]
   UNSPLITVOC:	(mawjuwd)
          POS:	ADJ
          VOC:	mawjuwd
        GLOSS:	present/existing/found

 INPUT STRING:	أساساً
     IS_TRANS:	>sAsAF
        INDEX:	P53W24
      OFFSETS:	115-121
       TOKENS:	P53W28-P53W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>asAs_1]
   UNSPLITVOC:	(>asAsAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	>asAs+AF
        GLOSS:	foundation/basis+[acc.indef.]

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P53W25
      OFFSETS:	121-122
       TOKENS:	P53W29-P53W29
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P53W26
      OFFSETS:	122-123
       TOKENS:	P53W30-P53W30
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	يعني
     IS_TRANS:	yEny
        INDEX:	P54W1
      OFFSETS:	0-4
       TOKENS:	P54W1-P54W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EanaY_1]
   UNSPLITVOC:	(yaEoniy)
          POS:	IV3MS+IV
          VOC:	ya+Eoniy
        GLOSS:	he/it+mean/signify/concern/be meant/be signified/be concerned (with)

 INPUT STRING:	التعبير
     IS_TRANS:	AltEbyr
        INDEX:	P54W2
      OFFSETS:	5-12
       TOKENS:	P54W2-P54W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taEobiyr_1]
   UNSPLITVOC:	(Alt~aEobiyr)
          POS:	DET+NOUN
          VOC:	Al+taEobiyr
        GLOSS:	the+expression/expressions/as an expression (of)

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P54W3
      OFFSETS:	13-15
       TOKENS:	P54W3-P54W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	these/this

 INPUT STRING:	إكتسب
     IS_TRANS:	<ktsb
        INDEX:	P54W4
      OFFSETS:	16-21
       TOKENS:	P54W4-P54W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aikotasab_1]
   UNSPLITVOC:	(Aikotasab)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	Aikotasab+(null)
        GLOSS:	gain/aquire+he/it

 INPUT STRING:	قدسية
     IS_TRANS:	qdsyp
        INDEX:	P54W5
      OFFSETS:	22-27
       TOKENS:	P54W5-P54W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qudosiy~ap_1]
   UNSPLITVOC:	(qudosiy~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	qudosiy~+ap
        GLOSS:	sanctity/holiness+[fem.sg.]

 INPUT STRING:	النص
     IS_TRANS:	AlnS
        INDEX:	P54W6
      OFFSETS:	28-32
       TOKENS:	P54W6-P54W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[naS~_1]
   UNSPLITVOC:	(Aln~aS~)
          POS:	DET+NOUN
          VOC:	Al+naS~
        GLOSS:	the+text/texts/textually/wording

 INPUT STRING:	الإلهي
     IS_TRANS:	Al<lhy
        INDEX:	P54W7
      OFFSETS:	33-39
       TOKENS:	P54W7-P54W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<ilahiy_1]
   UNSPLITVOC:	(Al<ilahiy)
          POS:	DET+ADJ
          VOC:	Al+<ilahiy
        GLOSS:	the+divine/godly/theological

 INPUT STRING:	كدا
     IS_TRANS:	kdA
        INDEX:	P54W8
      OFFSETS:	40-43
       TOKENS:	P54W8-P54W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidA_1]
   UNSPLITVOC:	(kidA)
          POS:	NOUN
          VOC:	kidA
        GLOSS:	this/like/something like/such/like that/that way/that

 INPUT STRING:	بالزن
     IS_TRANS:	bAlzn
        INDEX:	P54W9
      OFFSETS:	44-49
       TOKENS:	P54W9-P54W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[zan~_1]
   UNSPLITVOC:	(biAlzan~)
          POS:	PREP+DET+NOUN
          VOC:	bi+Al+zan~
        GLOSS:	with/by+the+droning/buzzing

 INPUT STRING:	ع
     IS_TRANS:	E
        INDEX:	P54W10
      OFFSETS:	50-51
       TOKENS:	P54W11-P54W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	الودان
     IS_TRANS:	AlwdAn
        INDEX:	P54W11
      OFFSETS:	52-58
       TOKENS:	P54W12-P54W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[widon_1]
   UNSPLITVOC:	(AlwidAn)
          POS:	DET+NOUN
          VOC:	Al+widAn
        GLOSS:	the+ears/ear

 INPUT STRING:	وكثرة
     IS_TRANS:	wkvrp
        INDEX:	P54W12
      OFFSETS:	59-64
       TOKENS:	P54W13-P54W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kavorap_1]
   UNSPLITVOC:	(wikavorap)
          POS:	CONJ+NOUN+NSUFF_FEM_SG
          VOC:	wi+kavor+ap
        GLOSS:	and+abundance/frequency+[fem.sg.]

 INPUT STRING:	التكرار
     IS_TRANS:	AltkrAr
        INDEX:	P54W13
      OFFSETS:	65-72
       TOKENS:	P54W15-P54W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tikorAr_1]
   UNSPLITVOC:	(Alt~ikorAr)
          POS:	DET+NOUN
          VOC:	Al+tikorAr
        GLOSS:	the+repetition

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P54W14
      OFFSETS:	72-73
       TOKENS:	P54W16-P54W16
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P54W15
      OFFSETS:	73-74
       TOKENS:	P54W17-P54W17
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	دي
     IS_TRANS:	dy
        INDEX:	P54W16
      OFFSETS:	75-77
       TOKENS:	P54W18-P54W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diy_1]
   UNSPLITVOC:	(diy)
          POS:	DEM_PRON_FS
          VOC:	diy
        GLOSS:	these/this

 INPUT STRING:	كارثة
     IS_TRANS:	kArvp
        INDEX:	P54W17
      OFFSETS:	78-83
       TOKENS:	P54W19-P54W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kArovap_1]
   UNSPLITVOC:	(kArovap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	kArov+ap
        GLOSS:	tragedies/catastrophes+[fem.sg.]

 INPUT STRING:	إن
     IS_TRANS:	<n
        INDEX:	P54W18
      OFFSETS:	84-86
       TOKENS:	P54W20-P54W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	That/to/for

 INPUT STRING:	أي
     IS_TRANS:	>y
        INDEX:	P54W19
      OFFSETS:	87-89
       TOKENS:	P54W21-P54W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aay~_1]
   UNSPLITVOC:	(>ay~)
          POS:	NOUN_QUANT
          VOC:	>ay~
        GLOSS:	any

 INPUT STRING:	حمار
     IS_TRANS:	HmAr
        INDEX:	P54W20
      OFFSETS:	90-94
       TOKENS:	P54W22-P54W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HumAr_1]
   UNSPLITVOC:	(HumAr)
          POS:	NOUN
          VOC:	HumAr
        GLOSS:	donkey/donkeys/jackass/fol/stupid/dolt/lever/vulgarity

 INPUT STRING:	يفتكر
     IS_TRANS:	yftkr
        INDEX:	P54W21
      OFFSETS:	95-100
       TOKENS:	P54W23-P54W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aifotakar_1]
   UNSPLITVOC:	(yifotikir)
          POS:	IV3MS+IV
          VOC:	yi+fotikir
        GLOSS:	he/it+reflect/ponder/believe/think

 INPUT STRING:	نفسه
     IS_TRANS:	nfsh
        INDEX:	P54W22
      OFFSETS:	101-105
       TOKENS:	P54W24-P54W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nafos_1]
   UNSPLITVOC:	(nafosuh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	nafos+uh
        GLOSS:	same/self/selves/soul/souls+his/its

 INPUT STRING:	بيطبق
     IS_TRANS:	byTbq
        INDEX:	P54W23
      OFFSETS:	106-111
       TOKENS:	P54W26-P54W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tab~aq_1]
   UNSPLITVOC:	(biyiTab~aq)
          POS:	PROG_PART+IV3MS+IV
          VOC:	bi+yi+Tab~aq
        GLOSS:	[present-tense]+he/it+apply/implement/be applied/be implemented

 INPUT STRING:	نص
     IS_TRANS:	nS
        INDEX:	P54W24
      OFFSETS:	112-114
       TOKENS:	P54W28-P54W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[naS~_1]
   UNSPLITVOC:	(naS~)
          POS:	NOUN
          VOC:	naS~
        GLOSS:	text/texts/textually/wording

 INPUT STRING:	إلهي
     IS_TRANS:	<lhy
        INDEX:	P54W25
      OFFSETS:	115-119
       TOKENS:	P54W29-P54W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<ilahiy_1]
   UNSPLITVOC:	(<ilahiy)
          POS:	ADJ
          VOC:	<ilahiy
        GLOSS:	divine/godly/theological

 INPUT STRING:	ويدافع
     IS_TRANS:	wydAfE
        INDEX:	P54W26
      OFFSETS:	120-126
       TOKENS:	P54W30-P54W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dAfiE_1]
   UNSPLITVOC:	(wiyidAfiE)
          POS:	CONJ+IV3MS+IV
          VOC:	wi+yi+dAfiE
        GLOSS:	and+he/it+defend

 INPUT STRING:	باستماتة
     IS_TRANS:	bAstmAtp
        INDEX:	P54W27
      OFFSETS:	127-135
       TOKENS:	P54W32-P54W33
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AisotimAtap_1]
   UNSPLITVOC:	(biAisotimAtap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	bi+AisotimAt+ap
        GLOSS:	with/by+desperate effort/defiance of death+[fem.sg.]

 INPUT STRING:	عن
     IS_TRANS:	En
        INDEX:	P54W28
      OFFSETS:	136-138
       TOKENS:	P54W34-P54W34
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ean_1]
   UNSPLITVOC:	(Ean)
          POS:	PREP
          VOC:	Ean
        GLOSS:	(away) from/off/about/on/over

 INPUT STRING:	حاجة
     IS_TRANS:	HAjp
        INDEX:	P54W29
      OFFSETS:	139-143
       TOKENS:	P54W35-P54W35
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(HAjap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HAj+ap
        GLOSS:	need/needs/thing/belongings+[fem.sg.]

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P54W30
      OFFSETS:	144-146
       TOKENS:	P54W36-P54W36
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	موجودة
     IS_TRANS:	mwjwdp
        INDEX:	P54W31
      OFFSETS:	147-153
       TOKENS:	P54W37-P54W37
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mawjuwd_1]
   UNSPLITVOC:	(mawjuwdap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	mawjuwd+ap
        GLOSS:	present/existing/found+[fem.sg.]

 INPUT STRING:	ومبعثها
     IS_TRANS:	wmbEvhA
        INDEX:	P54W32
      OFFSETS:	154-161
       TOKENS:	P54W38-P54W40
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mabEav_1]
   UNSPLITVOC:	(wimabEavhA)
          POS:	CONJ+NOUN+POSS_PRON_3FS
          VOC:	wi+mabEav+hA
        GLOSS:	and+cause/factor+it/them/her

 INPUT STRING:	جهلة
     IS_TRANS:	jhlp
        INDEX:	P54W33
      OFFSETS:	162-166
       TOKENS:	P54W41-P54W41
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jAhil_1]
   UNSPLITVOC:	(jahalap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	jahal+ap
        GLOSS:	ignorant/foolish+[fem.sg.]

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P54W34
      OFFSETS:	167-169
       TOKENS:	P54W42-P54W42
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	PSEUDO_VERB
          VOC:	lA
        GLOSS:	no

 INPUT STRING:	أكثر
     IS_TRANS:	>kvr
        INDEX:	P54W35
      OFFSETS:	170-174
