 INPUT STRING:	مارأيك
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyhA)
          POS:	PREP+PRON_3FS
          VOC:	fiy+hA
        GLOSS:	in+it/them/her

 INPUT STRING:	الإنتخابات
     IS_TRANS:	Al<ntxAbAt
        INDEX:	P10W14
      OFFSETS:	67-77
       TOKENS:	P10W17-P10W17
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[{inotixAb_1]
   UNSPLITVOC:	(AlAinotixAbAt)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+{inotixAb+At
        GLOSS:	the+elections/selections+[fem.pl.]

 INPUT STRING:	بدون
     IS_TRANS:	bdwn
        INDEX:	P10W15
      OFFSETS:	78-82
       TOKENS:	P10W18-P10W19
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[duwn_1]
   UNSPLITVOC:	(biduwn)
          POS:	PREP+NOUN
          VOC:	bi+duwn
        GLOSS:	with/by+without/beneath/underneath/inferior/poor

 INPUT STRING:	الرقابة
     IS_TRANS:	AlrqAbp
        INDEX:	P10W16
      OFFSETS:	83-90
       TOKENS:	P10W20-P10W20
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[raqAbap_1]
   UNSPLITVOC:	(Alr~aqAbap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+raqAb+ap
        GLOSS:	the+censorship/surveillance+[fem.sg.]

 INPUT STRING:	الدولية
     IS_TRANS:	Aldwlyp
        INDEX:	P10W17
      OFFSETS:	91-98
       TOKENS:	P10W21-P10W21
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[dawoliy~_1]
   UNSPLITVOC:	(Ald~awoliy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+dawoliy~+ap
        GLOSS:	the+state/national+[fem.sg.]

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P10W18
      OFFSETS:	98-99
       TOKENS:	P10W22-P10W22
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	ومن
     IS_TRANS:	wmn
        INDEX:	P11W1
      OFFSETS:	1-4
       TOKENS:	P11W1-P11W2
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(wamin)
          POS:	PREP+PREP
          VOC:	wa+min
        GLOSS:	with+from

 INPUT STRING:	ناحية
     IS_TRANS:	nAHyp
        INDEX:	P11W2
      OFFSETS:	5-10
       TOKENS:	P11W3-P11W3
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[nAHiyap_1]
   UNSPLITVOC:	(nAHiyap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	nAHiy+ap
        GLOSS:	side/perspective+[fem.sg.]

 INPUT STRING:	أخرى
     IS_TRANS:	>xrY
        INDEX:	P11W3
      OFFSETS:	11-15
       TOKENS:	P11W4-P11W4
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[>uxoraY_1]
   UNSPLITVOC:	(>uxoraY)
          POS:	ADJ
          VOC:	>uxoraY
        GLOSS:	other/another/additional

 INPUT STRING:	هل
     IS_TRANS:	hl
        INDEX:	P11W4
      OFFSETS:	16-18
       TOKENS:	P11W5-P11W5
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[halo_1]
   UNSPLITVOC:	(halo)
          POS:	INTERROG_PART
          VOC:	halo
        GLOSS:	do?/is?

 INPUT STRING:	يكون
     IS_TRANS:	ykwn
        INDEX:	P11W5
      OFFSETS:	19-23
       TOKENS:	P11W6-P11W6
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[kAn-u_1]
   UNSPLITVOC:	(yakuwnu)
          POS:	IV3MS+IV+IVSUFF_MOOD:I
          VOC:	ya+kuwn+u
        GLOSS:	he/it+be+[ind.]

 INPUT STRING:	البرادعى
     IS_TRANS:	AlbrAdEY
        INDEX:	P11W6
      OFFSETS:	24-32
       TOKENS:	P11W7-P11W7
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[barAdiEiy~_2]
   UNSPLITVOC:	(AlbarAdiEiy~)
          POS:	DET+NOUN_PROP
          VOC:	Al+barAdiEiy~
        GLOSS:	the+Baradei

 INPUT STRING:	بالفعل
     IS_TRANS:	bAlfEl
        INDEX:	P11W7
      OFFSETS:	33-39
       TOKENS:	P11W8-P11W9
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiEol_1]
   UNSPLITVOC:	(biAlfiEol)
          POS:	PREP+DET+NOUN
          VOC:	bi+Al+fiEol
        GLOSS:	with/by+the+(actually/in effect)

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P11W8
      OFFSETS:	40-42
       TOKENS:	P11W10-P11W10
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[huwa_1]
   UNSPLITVOC:	(huwa)
          POS:	PRON_3MS
          VOC:	huwa
        GLOSS:	it/he

 INPUT STRING:	منقذ
     IS_TRANS:	mnq*
        INDEX:	P11W9
      OFFSETS:	43-47
       TOKENS:	P11W11-P11W11
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[munoqi*_1]
   UNSPLITVOC:	(munoqi*)
          POS:	NOUN.VN
          VOC:	munoqi*
        GLOSS:	rescuer/deliverer

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P11W10
      OFFSETS:	48-51
       TOKENS:	P11W12-P11W12
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miSor_1]
   UNSPLITVOC:	(miSor)
          POS:	NOUN_PROP
          VOC:	miSor
        GLOSS:	Egypt

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P11W11
      OFFSETS:	52-54
       TOKENS:	P11W13-P11W13
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	توحش
     IS_TRANS:	twH$
        INDEX:	P11W12
      OFFSETS:	55-59
       TOKENS:	P11W14-P11W14
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tawaH~u$_1]
   UNSPLITVOC:	(tawaH~u$)
          POS:	NOUN
          VOC:	tawaH~u$
        GLOSS:	brutality/savagery

 INPUT STRING:	ذوى
     IS_TRANS:	*wY
        INDEX:	P11W13
      OFFSETS:	60-63
       TOKENS:	P11W15-P11W15
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[*A_2]
   UNSPLITVOC:	(*awiy)
          POS:	NOUN
          VOC:	*awiy
        GLOSS:	of/with

 INPUT STRING:	السلطة
     IS_TRANS:	AlslTp
        INDEX:	P11W14
      OFFSETS:	64-70
       TOKENS:	P11W16-P11W16
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[suloTap_1]
   UNSPLITVOC:	(Als~uloTap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+suloT+ap
        GLOSS:	the+power/authority/rule+[fem.sg.]

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P11W15
      OFFSETS:	70-71
       TOKENS:	P11W17-P11W17
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	هل
     IS_TRANS:	hl
        INDEX:	P11W16
      OFFSETS:	72-74
       TOKENS:	P11W18-P11W18
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[halo_1]
   UNSPLITVOC:	(halo)
          POS:	INTERROG_PART
          VOC:	halo
        GLOSS:	do?/is?

 INPUT STRING:	يخدم
     IS_TRANS:	yxdm
        INDEX:	P11W17
      OFFSETS:	75-79
       TOKENS:	P11W19-P11W19
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[xadam-iu_1]
   UNSPLITVOC:	(yaxodumu)
          POS:	IV3MS+IV+IVSUFF_MOOD:I
          VOC:	ya+xodum+u
        GLOSS:	he/it+serve/assist+[ind.]

 INPUT STRING:	الشعب
     IS_TRANS:	Al$Eb
        INDEX:	P11W18
      OFFSETS:	80-85
       TOKENS:	P11W20-P11W20
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$aEob_1]
   UNSPLITVOC:	(Al$~aEob)
          POS:	DET+NOUN
          VOC:	Al+$aEob
        GLOSS:	the+people/nation

 INPUT STRING:	كما
     IS_TRANS:	kmA
        INDEX:	P11W19
      OFFSETS:	86-89
       TOKENS:	P11W21-P11W21
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kamA_1]
   UNSPLITVOC:	(kamA)
          POS:	CONJ
          VOC:	kamA
        GLOSS:	and/as/also

 INPUT STRING:	ينبغى
     IS_TRANS:	ynbgY
        INDEX:	P11W20
      OFFSETS:	90-95
       TOKENS:	P11W22-P11W22
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[yanbagy_1]
   UNSPLITVOC:	(yanbagy)
          POS:	VERB
          VOC:	yanbagy
        GLOSS:	must

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P11W21
      OFFSETS:	96-99
       TOKENS:	P11W23-P11W23
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	ولاة
     IS_TRANS:	wlAp
        INDEX:	P11W22
      OFFSETS:	100-104
       TOKENS:	P11W24-P11W24
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[wAliy_1]
   UNSPLITVOC:	(wulAp)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	wulA+ap
        GLOSS:	rulers/governors+[fem.sg.]

 INPUT STRING:	الأمور
     IS_TRANS:	Al>mwr
        INDEX:	P11W23
      OFFSETS:	105-111
       TOKENS:	P11W25-P11W25
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amor_1]
   UNSPLITVOC:	(Al>umuwr)
          POS:	DET+NOUN
          VOC:	Al+>umuwr
        GLOSS:	the+matters/issues

 INPUT STRING:	أم
     IS_TRANS:	>m
        INDEX:	P11W24
      OFFSETS:	112-114
       TOKENS:	P11W26-P11W26
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>amo_1]
   UNSPLITVOC:	(>amo)
          POS:	CONJ
          VOC:	>amo
        GLOSS:	or

 INPUT STRING:	يستمر
     IS_TRANS:	ystmr
        INDEX:	P11W25
      OFFSETS:	115-120
       TOKENS:	P11W27-P11W27
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[{isotamar~_1]
   UNSPLITVOC:	(yasotamir~u)
          POS:	IV3MS+IV+IVSUFF_MOOD:I
          VOC:	ya+sotamir~+u
        GLOSS:	he/it+continue/last (time)+[ind.]

 INPUT STRING:	مسلسل
     IS_TRANS:	mslsl
        INDEX:	P11W26
      OFFSETS:	121-126
       TOKENS:	P11W28-P11W28
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[musalosal_1]
   UNSPLITVOC:	(musalosal)
          POS:	NOUN
          VOC:	musalosal
        GLOSS:	serial/sequence/soap opera

 INPUT STRING:	إستعباد
     IS_TRANS:	<stEbAd
        INDEX:	P11W27
      OFFSETS:	127-134
       TOKENS:	P11W29-P11W29
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[{isotiEobAd_1]
   UNSPLITVOC:	(AisotiEobAd)
          POS:	NOUN
          VOC:	{isotiEobAd
        GLOSS:	slavery/enslaving

 INPUT STRING:	الشعب
     IS_TRANS:	Al$Eb
        INDEX:	P11W28
      OFFSETS:	135-140
       TOKENS:	P11W30-P11W30
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$aEob_1]
   UNSPLITVOC:	(Al$~aEob)
          POS:	DET+NOUN
          VOC:	Al+$aEob
        GLOSS:	the+people/nation

 INPUT STRING:	لرخاءه
     IS_TRANS:	lrxA'h
        INDEX:	P11W29
      OFFSETS:	141-147
       TOKENS:	P11W31-P11W33
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[raxA'_1]
   UNSPLITVOC:	(liraxA'ihi)
          POS:	PREP+NOUN+CASE_DEF_GEN+POSS_PRON_3MS
          VOC:	li+raxA'+i+hi
        GLOSS:	for/to+comfort/luxury+[def.gen.]+its/his

 INPUT STRING:	الفردى
     IS_TRANS:	AlfrdY
        INDEX:	P11W30
      OFFSETS:	148-154
       TOKENS:	P11W34-P11W34
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[farodiy~_1]
   UNSPLITVOC:	(Alfarodiy~)
          POS:	DET+ADJ
          VOC:	Al+farodiy~
        GLOSS:	the+individual/single

 INPUT STRING:	بدلا
     IS_TRANS:	bdlA
        INDEX:	P11W31
      OFFSETS:	155-159
       TOKENS:	P11W35-P11W35
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[badal_1]
   UNSPLITVOC:	(badalAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	badal+AF
        GLOSS:	instead of/in lieu of+[acc.indef.]

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P11W32
      OFFSETS:	160-162
       TOKENS:	P11W36-P11W36
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	ذلك
     IS_TRANS:	*lk
        INDEX:	P11W33
      OFFSETS:	163-166
       TOKENS:	P11W37-P11W37
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[*`lika_1]
   UNSPLITVOC:	(*`lika)
          POS:	DEM_PRON_MS
          VOC:	*`lika
        GLOSS:	that

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P11W34
      OFFSETS:	166-167
       TOKENS:	P11W38-P11W38
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	قل
     IS_TRANS:	ql
        INDEX:	P12W1
      OFFSETS:	1-3
       TOKENS:	P12W1-P12W1
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qAl-u_1]
   UNSPLITVOC:	(qulo)
          POS:	CV+CVSUFF_SUBJ:2MS
          VOC:	qul+o
        GLOSS:	say/(for example)+you [verb]

 INPUT STRING:	رأيك
     IS_TRANS:	r>yk
        INDEX:	P12W2
      OFFSETS:	4-8
       TOKENS:	P12W2-P12W3
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[ra>oy_1]
   UNSPLITVOC:	(ra>oyaka)
          POS:	NOUN+CASE_DEF_ACC+POSS_PRON_2MS
          VOC:	ra>oy+a+ka
        GLOSS:	opinion/view/idea+[def.acc.]+your [masc.sg.]

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P12W3
      OFFSETS:	9-10
       TOKENS:	P12W4-P12W4
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wa_1]
   UNSPLITVOC:	(wa)
          POS:	CONJ
          VOC:	wa
        GLOSS:	and

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P12W4
      OFFSETS:	11-13
       TOKENS:	P12W5-P12W5
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	NEG_PART
          VOC:	lA
        GLOSS:	no/not/non-

 INPUT STRING:	تخف
     IS_TRANS:	txf
        INDEX:	P12W5
      OFFSETS:	14-17
       TOKENS:	P12W6-P12W6
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[xAf-a_1]
   UNSPLITVOC:	(taxafo)
          POS:	IV2MS+IV+IVSUFF_MOOD:J
          VOC:	ta+xaf+o
        GLOSS:	you [masc.sg.]+fear/be afraid (of)+[jus.]

 INPUT STRING:	فنحن
     IS_TRANS:	fnHn
        INDEX:	P12W6
      OFFSETS:	18-22
       TOKENS:	P12W7-P12W8
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[naHonu_1]
   UNSPLITVOC:	(fanaHonu)
          POS:	CONJ+PRON_1P
          VOC:	fa+naHonu
        GLOSS:	so/and+we

 INPUT STRING:	نتكلم
     IS_TRANS:	ntklm
        INDEX:	P12W7
      OFFSETS:	23-28
       TOKENS:	P12W9-P12W9
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[takal~am_1]
   UNSPLITVOC:	(natakal~amu)
          POS:	IV1P+IV+IVSUFF_MOOD:I
          VOC:	na+takal~am+u
        GLOSS:	we+speak/talk/discuss+[ind.]

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P12W8
      OFFSETS:	29-31
       TOKENS:	P12W10-P12W10
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	موضوع
     IS_TRANS:	mwDwE
        INDEX:	P12W9
      OFFSETS:	32-37
       TOKENS:	P12W11-P12W11
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mawoDuwE_1]
   UNSPLITVOC:	(mawoDuwE)
          POS:	NOUN
          VOC:	mawoDuwE
        GLOSS:	subject/theme/issue

 INPUT STRING:	واحد
     IS_TRANS:	wAHd
        INDEX:	P12W10
      OFFSETS:	38-42
       TOKENS:	P12W12-P12W12
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wAHid_1]
   UNSPLITVOC:	(wAHid)
          POS:	NOUN_NUM
          VOC:	wAHid
        GLOSS:	one

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P12W11
      OFFSETS:	43-44
       TOKENS:	P12W13-P12W13
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wa_1]
   UNSPLITVOC:	(wa)
          POS:	CONJ
          VOC:	wa
        GLOSS:	and

 INPUT STRING:	إن
     IS_TRANS:	<n
        INDEX:	P12W12
      OFFSETS:	45-47
       TOKENS:	P12W14-P12W14
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<ino_1]
   UNSPLITVOC:	(<ino)
          POS:	SUB_CONJ
          VOC:	<ino
        GLOSS:	Although, (even) though, even if, despite, in spite of the fact that, verily, truly

 INPUT STRING:	شاء
     IS_TRANS:	$A'
        INDEX:	P12W13
      OFFSETS:	48-51
       TOKENS:	P12W15-P12W15
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[$A'-a_1]
   UNSPLITVOC:	($A'a)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	$A'+a
        GLOSS:	want/desire/wish+he/it [verb]

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P12W14
      OFFSETS:	52-56
       TOKENS:	P12W16-P12W16
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[All~`h_1]
   UNSPLITVOC:	(All~`h)
          POS:	NOUN_PROP
          VOC:	All~`h
        GLOSS:	Allah/God

 INPUT STRING:	نكون
     IS_TRANS:	nkwn
        INDEX:	P12W15
      OFFSETS:	57-61
       TOKENS:	P12W17-P12W17
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[kAn-u_1]
   UNSPLITVOC:	(nakuwnu)
          POS:	IV1P+IV+IVSUFF_MOOD:I
          VOC:	na+kuwn+u
        GLOSS:	we+be+[ind.]

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P12W16
      OFFSETS:	62-64
       TOKENS:	P12W18-P12W18
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	زنزانة
     IS_TRANS:	znzAnp
        INDEX:	P12W17
      OFFSETS:	65-71
       TOKENS:	P12W19-P12W19
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zinozAnap_1]
   UNSPLITVOC:	(zinozAnap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	zinozAn+ap
        GLOSS:	prison cell+[fem.sg.]

 INPUT STRING:	واحدة
     IS_TRANS:	wAHdp
        INDEX:	P12W18
      OFFSETS:	72-77
       TOKENS:	P12W20-P12W20
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[wAHid_1]
   UNSPLITVOC:	(wAHidap)
          POS:	NOUN_NUM+NSUFF_FEM_SG
          VOC:	wAHid+ap
        GLOSS:	one+[fem.sg.]

 INPUT STRING:	الجروب
     IS_TRANS:	Aljrwb
        INDEX:	P13W1
      OFFSETS:	1-7
       TOKENS:	P13W1-P13W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[juruwb_1]
   UNSPLITVOC:	(Aljuruwb)
          POS:	DET+NOUN
          VOC:	Al+juruwb
        GLOSS:	the+group

 INPUT STRING:	المؤيد
     IS_TRANS:	Alm&yd
        INDEX:	P13W2
      OFFSETS:	8-14
       TOKENS:	P13W2-P13W2
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mu&ay~id_1]
   UNSPLITVOC:	(Almu&ay~id)
          POS:	DET+ADJ
          VOC:	Al+mu&ay~id
        GLOSS:	the+supporting

 INPUT STRING:	لعالمنا
     IS_TRANS:	lEAlmnA
        INDEX:	P13W3
      OFFSETS:	15-22
       TOKENS:	P13W3-P13W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAlim_1]
   UNSPLITVOC:	(liEAlimnA)
          POS:	PREP+NOUN+POSS_PRON_1P
          VOC:	li+EAlim+nA
        GLOSS:	for/to+world+our

 INPUT STRING:	الكبير
     IS_TRANS:	Alkbyr
        INDEX:	P13W4
      OFFSETS:	23-29
       TOKENS:	P13W6-P13W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kibiyr_1]
   UNSPLITVOC:	(Alkibiyr)
          POS:	DET+ADJ
          VOC:	Al+kibiyr
        GLOSS:	the+large/great/important/major/senior/senior/important

 INPUT STRING:	عالفيس
     IS_TRANS:	EAlfys
        INDEX:	P13W5
      OFFSETS:	30-36
       TOKENS:	P13W7-P13W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiys_1]
   UNSPLITVOC:	(EaAlfiys)
          POS:	PREP+DET+NOUN
          VOC:	Ea+Al+fiys
        GLOSS:	on/above+the+face

 INPUT STRING:	بوك
     IS_TRANS:	bwk
        INDEX:	P13W6
      OFFSETS:	37-40
       TOKENS:	P13W9-P13W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[buwk_1]
   UNSPLITVOC:	(buwk)
          POS:	NOUN
          VOC:	buwk
        GLOSS:	book

 INPUT STRING:	[
     IS_TRANS:	[
        INDEX:	P14W1
      OFFSETS:	1-2
       TOKENS:	P14W1-P14W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	([)
          POS:	PUNC
          VOC:	[
        GLOSS:	[

 INPUT STRING:	عزيزي
     IS_TRANS:	Ezyzy
        INDEX:	P14W2
      OFFSETS:	2-7
       TOKENS:	P14W2-P14W2
