 INPUT STRING:	تحـــذيـــر

 INPUT STRING:	الوارثين
     IS_TRANS:	AlwArvyn
        INDEX:	P19W7
      OFFSETS:	29-37
       TOKENS:	P19W9-P19W9
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(AlwArvyn)
          POS:	NO_FUNC
          VOC:	AlwArvyn
        GLOSS:	nogloss

 INPUT STRING:	يارب
     IS_TRANS:	yArb
        INDEX:	P20W1
      OFFSETS:	0-4
       TOKENS:	P20W1-P20W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(yArab~)
          POS:	VOC_PART+NOUN
          VOC:	yaA+rab~
        GLOSS:	oh+lord/master

 INPUT STRING:	ارزقني
     IS_TRANS:	Arzqny
        INDEX:	P20W2
      OFFSETS:	5-11
       TOKENS:	P20W3-P20W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[razaq_1]
   UNSPLITVOC:	(>urzu>oniy)
          POS:	CV+CVSUFF_SUBJ:2MS+CVSUFF_DO:1S
          VOC:	>urzuqo+(null)+niy
        GLOSS:	give livelihood+you+me

 INPUT STRING:	بالخلف
     IS_TRANS:	bAlxlf
        INDEX:	P20W3
      OFFSETS:	12-18
       TOKENS:	P20W5-P20W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xalof_1]
   UNSPLITVOC:	(biAlxalof)
          POS:	PREP+DET+NOUN
          VOC:	bi+Al+xalof
        GLOSS:	with/by+the+descendant

 INPUT STRING:	الصالح
     IS_TRANS:	AlSAlH
        INDEX:	P20W4
      OFFSETS:	19-25
       TOKENS:	P20W7-P20W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SAliH_1]
   UNSPLITVOC:	(AlS~AliH)
          POS:	DET+ADJ
          VOC:	Al+SAliH
        GLOSS:	the+suitable/applicable/pious/upright

 INPUT STRING:	وبالذريه
     IS_TRANS:	wbAl*ryh
        INDEX:	P20W5
      OFFSETS:	26-34
       TOKENS:	P20W8-P20W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[*ur~iy~ap_1]
   UNSPLITVOC:	(wibiAl*ur~iy~ap)
          POS:	CONJ+PREP+DET+NOUN+NSUFF_FEM_SG
          VOC:	wi+bi+Al+*ur~iy~+ap
        GLOSS:	and+with/by+the+descendants/offspring+[fem.sg.]

 INPUT STRING:	الصالحه
     IS_TRANS:	AlSAlHh
        INDEX:	P20W6
      OFFSETS:	35-42
       TOKENS:	P20W11-P20W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SAliH_1]
   UNSPLITVOC:	(AlS~AloHap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+SAloH+ap
        GLOSS:	the+suitable/applicable/pious/upright+[fem.sg.]

 INPUT STRING:	يارب
     IS_TRANS:	yArb
        INDEX:	P21W1
      OFFSETS:	0-4
       TOKENS:	P21W1-P21W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(yArab~)
          POS:	VOC_PART+NOUN
          VOC:	yaA+rab~
        GLOSS:	oh+lord/master

 INPUT STRING:	قر
     IS_TRANS:	qr
        INDEX:	P21W2
      OFFSETS:	5-7
       TOKENS:	P21W3-P21W3
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(qr)
          POS:	NO_FUNC
          VOC:	qr
        GLOSS:	nogloss

 INPUT STRING:	عيني
     IS_TRANS:	Eyny
        INDEX:	P21W3
      OFFSETS:	8-12
       TOKENS:	P21W4-P21W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Eayon_1]
   UNSPLITVOC:	(Eayoniy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	Eayon+iy
        GLOSS:	eye+my

 INPUT STRING:	وفرح
     IS_TRANS:	wfrH
        INDEX:	P21W4
      OFFSETS:	13-17
       TOKENS:	P21W6-P21W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[far~aH_1]
   UNSPLITVOC:	(wifar~aH)
          POS:	CONJ+CV+CVSUFF_SUBJ:2MS
          VOC:	wi+far~aH+(null)
        GLOSS:	and+gladden/make merry+you

 INPUT STRING:	قلبي
     IS_TRANS:	qlby
        INDEX:	P21W5
      OFFSETS:	18-22
       TOKENS:	P21W8-P21W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qalob_1]
   UNSPLITVOC:	(qalobiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	qalob+iy
        GLOSS:	heart/center/essence+my

 INPUT STRING:	وقلب
     IS_TRANS:	wqlb
        INDEX:	P21W6
      OFFSETS:	23-27
       TOKENS:	P21W10-P21W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qalob_1]
   UNSPLITVOC:	(wiqalob)
          POS:	CONJ+NOUN
          VOC:	wi+qalob
        GLOSS:	and+heart/center/essence

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P21W7
      OFFSETS:	28-30
       TOKENS:	P21W12-P21W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all, entire, every, whole

 INPUT STRING:	محروم
     IS_TRANS:	mHrwm
        INDEX:	P21W8
      OFFSETS:	31-36
       TOKENS:	P21W13-P21W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maHoruwm_1]
   UNSPLITVOC:	(maHoruwm)
          POS:	ADJ
          VOC:	maHoruwm
        GLOSS:	deprived

 INPUT STRING:	ومشتاق
     IS_TRANS:	wm$tAq
        INDEX:	P21W9
      OFFSETS:	37-43
       TOKENS:	P21W14-P21W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$otAq_1]
   UNSPLITVOC:	(wimi$otAq)
          POS:	CONJ+ADJ
          VOC:	wi+mi$otAq
        GLOSS:	and+yearning/desirous

 INPUT STRING:	ياارحم
     IS_TRANS:	yAArHm
        INDEX:	P21W10
      OFFSETS:	44-50
       TOKENS:	P21W16-P21W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>arHam_1]
   UNSPLITVOC:	(yA>arHam)
          POS:	VOC_PART+ADJ_COMP
          VOC:	yA+>arHam
        GLOSS:	oh+most compassionate

 INPUT STRING:	الراحمين
     IS_TRANS:	AlrAHmyn
        INDEX:	P21W11
      OFFSETS:	51-59
       TOKENS:	P21W18-P21W18
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(AlrAHmyn)
          POS:	NO_FUNC
          VOC:	AlrAHmyn
        GLOSS:	nogloss

 INPUT STRING:	يالله
     IS_TRANS:	yAllh
        INDEX:	P21W12
      OFFSETS:	60-65
       TOKENS:	P21W19-P21W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[All~`h_1]
   UNSPLITVOC:	(yAll~`h)
          POS:	VOC_PART+NOUN_PROP
          VOC:	yA+All~`h
        GLOSS:	oh+Allah/God

 INPUT STRING:	ياااااااااااارب
     IS_TRANS:	yAAAAAAAAAAAArb
        INDEX:	P22W1
      OFFSETS:	0-15
       TOKENS:	P22W1-P22W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(yArab~)
          POS:	VOC_PART+NOUN
          VOC:	yA+rab~
        GLOSS:	oh+lord/master

 INPUT STRING:	سترك
     IS_TRANS:	strk
        INDEX:	P22W2
      OFFSETS:	16-20
       TOKENS:	P22W3-P22W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sator_1]
   UNSPLITVOC:	(satorak)
          POS:	NOUN+POSS_PRON_2MS
          VOC:	sator+ak
        GLOSS:	protection/shield/cover+your [masc.sg.]

 INPUT STRING:	وعفوك
     IS_TRANS:	wEfwk
        INDEX:	P22W3
      OFFSETS:	21-26
       TOKENS:	P22W5-P22W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eafow_1]
   UNSPLITVOC:	(wiEafowak)
          POS:	CONJ+NOUN+POSS_PRON_2MS
          VOC:	wi+Eafow+ak
        GLOSS:	and+pardon/amnesty+your [masc.sg.]

 INPUT STRING:	ورضاك
     IS_TRANS:	wrDAk
        INDEX:	P22W4
      OFFSETS:	27-32
       TOKENS:	P22W8-P22W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[riDA_1]
   UNSPLITVOC:	(wiriDAk)
          POS:	CONJ+NOUN+POSS_PRON_2MS
          VOC:	wi+riDA+k
        GLOSS:	and+approval/pleasure+your [masc.sg.]

 INPUT STRING:	علينا
     IS_TRANS:	ElynA
        INDEX:	P22W5
      OFFSETS:	33-38
       TOKENS:	P22W11-P22W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaynA)
          POS:	PREP+PRON_1P
          VOC:	EalaY+nA
        GLOSS:	on/above+us

 INPUT STRING:	معقؤؤؤؤؤلة
     IS_TRANS:	mEq&&&&&lp
        INDEX:	P23W1
      OFFSETS:	0-10
       TOKENS:	P23W1-P23W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[maE&ul_1]
   UNSPLITVOC:	(maE&ulap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	maE&ul+ap
        GLOSS:	plausible/logical/reasonable+[fem.sg.]

 INPUT STRING:	إحنا
     IS_TRANS:	<HnA
        INDEX:	P23W2
      OFFSETS:	11-15
       TOKENS:	P23W2-P23W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiHonA_1]
   UNSPLITVOC:	(AiHonA)
          POS:	PRON_1P
          VOC:	AiHonA
        GLOSS:	we

 INPUT STRING:	وصلنا
     IS_TRANS:	wSlnA
        INDEX:	P23W3
      OFFSETS:	16-21
       TOKENS:	P23W3-P23W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waSal_1]
   UNSPLITVOC:	(waSalnA)
          POS:	PV+PVSUFF_SUBJ:1P
          VOC:	waSal+nA
        GLOSS:	arrive at/reach+we

 INPUT STRING:	لدرجة
     IS_TRANS:	ldrjp
        INDEX:	P23W4
      OFFSETS:	22-27
       TOKENS:	P23W4-P23W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[darajap_1]
   UNSPLITVOC:	(lidarajap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	li+daraj+ap
        GLOSS:	for/to+degree/class/rank/grade/level/degrees/classes/ranks/grades/levels+[fem.sg.]

 INPUT STRING:	كده
     IS_TRANS:	kdh
        INDEX:	P23W5
      OFFSETS:	28-31
       TOKENS:	P23W6-P23W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidah_1]
   UNSPLITVOC:	(kidah)
          POS:	NOUN
          VOC:	kidah
        GLOSS:	that

 INPUT STRING:	ياااااااااااااااارب
     IS_TRANS:	yAAAAAAAAAAAAAAAArb
        INDEX:	P24W1
      OFFSETS:	0-19
       TOKENS:	P24W1-P24W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(yArab~)
          POS:	VOC_PART+NOUN
          VOC:	yA+rab~
        GLOSS:	oh+lord/master

 INPUT STRING:	أستر
     IS_TRANS:	>str
        INDEX:	P24W2
      OFFSETS:	20-24
       TOKENS:	P24W3-P24W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[satar_1]
   UNSPLITVOC:	(Ausotur)
          POS:	CV+CVSUFF_SUBJ:2MS
          VOC:	Ausotur+(null)
        GLOSS:	protect+you

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P24W3
      OFFSETS:	25-28
       TOKENS:	P24W4-P24W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P24W4
      OFFSETS:	29-32
       TOKENS:	P24W5-P24W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSor_1]
   UNSPLITVOC:	(maSor)
          POS:	NOUN_PROP
          VOC:	maSor
        GLOSS:	Egypt

 INPUT STRING:	وشعبها
     IS_TRANS:	w$EbhA
        INDEX:	P24W5
      OFFSETS:	33-39
       TOKENS:	P24W6-P24W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$aEob_1]
   UNSPLITVOC:	(wi$aEobahA)
          POS:	CONJ+NOUN+POSS_PRON_3FS
          VOC:	wi+$aEob+hA
        GLOSS:	and+people/nation+its/their/her

 INPUT STRING:	وربنا
     IS_TRANS:	wrbnA
        INDEX:	P25W1
      OFFSETS:	0-5
       TOKENS:	P25W1-P25W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(wirab~inA)
          POS:	CONJ+NOUN
          VOC:	wi+rab~inA
        GLOSS:	and+lord/master

 INPUT STRING:	يخلصنا
     IS_TRANS:	yxlSnA
        INDEX:	P25W2
      OFFSETS:	6-12
       TOKENS:	P25W3-P25W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xal~aS_1]
   UNSPLITVOC:	(yixal~aSnA)
          POS:	IV3MS+IV+IVSUFF_DO:1P
          VOC:	yi+xal~aS+nA
        GLOSS:	he/it+take away+us

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P25W3
      OFFSETS:	13-15
       TOKENS:	P25W5-P25W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	الأشكال
     IS_TRANS:	Al>$kAl
        INDEX:	P25W4
      OFFSETS:	16-23
       TOKENS:	P25W6-P25W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$akol_1]
   UNSPLITVOC:	(Al>a$okAl)
          POS:	DET+NOUN
          VOC:	Al+>a$okAl
        GLOSS:	the+manner/form/configuration/manners / types/forms/configurations

 INPUT STRING:	دى
     IS_TRANS:	dY
        INDEX:	P25W5
      OFFSETS:	24-26
       TOKENS:	P25W7-P25W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diy_1]
   UNSPLITVOC:	(diy)
          POS:	DEM_PRON_FS
          VOC:	diy
        GLOSS:	this

 INPUT STRING:	قريب
     IS_TRANS:	qryb
        INDEX:	P25W6
      OFFSETS:	27-31
       TOKENS:	P25W8-P25W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[quray~ib_1]
   UNSPLITVOC:	(quray~ib)
          POS:	ADJ
          VOC:	quray~ib
        GLOSS:	near/close

 INPUT STRING:	أوووى
     IS_TRANS:	>wwwY
        INDEX:	P25W7
      OFFSETS:	32-37
       TOKENS:	P25W9-P25W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qawiy~_1]
   UNSPLITVOC:	(>awiy)
          POS:	ADJ
          VOC:	qawiy~
        GLOSS:	strong

 INPUT STRING:	ربنا
     IS_TRANS:	rbnA
        INDEX:	P26W1
      OFFSETS:	0-4
       TOKENS:	P26W1-P26W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(rab~inA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	rab~+nA
        GLOSS:	lord/master+our

 INPUT STRING:	يسترها
     IS_TRANS:	ystrhA
        INDEX:	P26W2
      OFFSETS:	5-11
       TOKENS:	P26W3-P26W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[satar_1]
   UNSPLITVOC:	(yisoturohA)
          POS:	IV3MS+IV+IVSUFF_DO:3FS
          VOC:	yi+soturo+hA
        GLOSS:	he+protect+her/it

 INPUT STRING:	علي
     IS_TRANS:	Ely
        INDEX:	P26W3
      OFFSETS:	12-15
       TOKENS:	P26W5-P26W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	الجميع
     IS_TRANS:	AljmyE
        INDEX:	P26W4
      OFFSETS:	16-22
       TOKENS:	P26W6-P26W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[jamiyE_1]
   UNSPLITVOC:	(AljamiyE)
          POS:	DET+NOUN_QUANT
          VOC:	Al+jamiyE
        GLOSS:	the+all, entire, every, whole

 INPUT STRING:	وجزاكي
     IS_TRANS:	wjzAky
        INDEX:	P27W1
      OFFSETS:	0-6
       TOKENS:	P27W1-P27W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[jazaY_1]
   UNSPLITVOC:	(wijazAkiy)
          POS:	CONJ+PV+PVSUFF_SUBJ:3MS+PVSUFF_DO:2FS
          VOC:	wi+jazA+(null)+kiy
        GLOSS:	and+reward/repay/requite+he+you

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P27W2
      OFFSETS:	7-11
       TOKENS:	P27W4-P27W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	Allah/God

 INPUT STRING:	خيرا
     IS_TRANS:	xyrA
        INDEX:	P27W3
      OFFSETS:	12-16
       TOKENS:	P27W5-P27W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[xayor_1]
   UNSPLITVOC:	(xayorAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	xayor+AF
        GLOSS:	good+[acc.indef.]

 INPUT STRING:	علي
     IS_TRANS:	Ely
        INDEX:	P27W4
      OFFSETS:	17-20
       TOKENS:	P27W6-P27W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	التنبيه
     IS_TRANS:	Altnbyh
        INDEX:	P27W5
      OFFSETS:	21-28
       TOKENS:	P27W7-P27W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tanobiyh_1]
   UNSPLITVOC:	(Alt~anobiyh)
          POS:	DET+NOUN
          VOC:	Al+tanobiyh
        GLOSS:	the+warning/alerting/alarm

 INPUT STRING:	ويسترها
     IS_TRANS:	wystrhA
        INDEX:	P28W1
      OFFSETS:	0-7
       TOKENS:	P28W1-P28W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[satar_2]
   UNSPLITVOC:	(wiyisoturhA)
          POS:	CONJ+IV3MS+IV+IVSUFF_DO:3FS
          VOC:	wi+yi+sotur+hA
        GLOSS:	and+he/it+protect/shield/cover+it/them/her

 INPUT STRING:	علي
     IS_TRANS:	Ely
        INDEX:	P28W2
      OFFSETS:	8-11
       TOKENS:	P28W4-P28W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	بلدنا
     IS_TRANS:	bldnA
        INDEX:	P28W3
      OFFSETS:	12-17
       TOKENS:	P28W5-P28W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[balad_1]
   UNSPLITVOC:	(baladnA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	balad+nA
        GLOSS:	country/country/countries+our

 INPUT STRING:	ويحفظها
     IS_TRANS:	wyHfZhA
        INDEX:	P28W4
      OFFSETS:	18-25
       TOKENS:	P28W7-P28W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[HafaZ_1]
   UNSPLITVOC:	(wiyaHofaZhA)
          POS:	CONJ+IV3MS+IV+IVSUFF_DO:3FS
          VOC:	wi+ya+HofaZ+hA
        GLOSS:	and+he+preserve/protect+her

 INPUT STRING:	والله
     IS_TRANS:	wAllh
        INDEX:	P29W1
      OFFSETS:	0-5
       TOKENS:	P29W1-P29W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(waAll~ah)
          POS:	PREP+NOUN_PROP
          VOC:	wa+All~ah
        GLOSS:	with+Allah/God

 INPUT STRING:	معاكى
     IS_TRANS:	mEAkY
        INDEX:	P29W2
      OFFSETS:	6-11
       TOKENS:	P29W3-P29W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maEAkiy)
          POS:	NOUN+POSS_PRON_2FS
          VOC:	maEa+ik
        GLOSS:	something with+you

 INPUT STRING:	حق
     IS_TRANS:	Hq
        INDEX:	P29W3
      OFFSETS:	12-14
       TOKENS:	P29W5-P29W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Haq~_1]
   UNSPLITVOC:	(Haq~)
          POS:	NOUN
          VOC:	Haq~
        GLOSS:	right, prerogative, truth

 INPUT STRING:	النصب
     IS_TRANS:	AlnSb
        INDEX:	P30W1
      OFFSETS:	0-5
       TOKENS:	P30W1-P30W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[naSob_1]
   UNSPLITVOC:	(Aln~aSob)
          POS:	DET+NOUN
          VOC:	Al+naSob
        GLOSS:	the+fraud

 INPUT STRING:	بقا
     IS_TRANS:	bqA
        INDEX:	P30W2
      OFFSETS:	6-9
       TOKENS:	P30W2-P30W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[baqaY_2]
   UNSPLITVOC:	(ba>aY)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	baqaY+(null)
        GLOSS:	become+he/it

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P30W3
      OFFSETS:	10-13
       TOKENS:	P30W3-P30W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	ودنه
     IS_TRANS:	wdnh
        INDEX:	P30W4
      OFFSETS:	14-18
       TOKENS:	P30W4-P30W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[widon_1]
   UNSPLITVOC:	(widonuh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	widon+uh
        GLOSS:	ear+his/its

 INPUT STRING:	ايشى
     IS_TRANS:	Ay$Y
        INDEX:	P31W1
      OFFSETS:	0-4
       TOKENS:	P31W1-P31W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iy$iy_1]
   UNSPLITVOC:	(<iy$iy)
          POS:	REL_PRON
          VOC:	<iy$iy
        GLOSS:	what

 INPUT STRING:	لاصقه
     IS_TRANS:	lASqh
        INDEX:	P31W2
      OFFSETS:	5-10
       TOKENS:	P31W2-P31W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[lASiqap_1]
   UNSPLITVOC:	(lASi>ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	lASiq+ap
        GLOSS:	adhesive+[fem.sg.]

