 INPUT STRING:	ياجماعة
          VOC:	min+hA
        GLOSS:	from+gloss

 INPUT STRING:	كتييييييير
     IS_TRANS:	ktyyyyyyyr
        INDEX:	P9W7
      OFFSETS:	39-49
       TOKENS:	P9W8-P9W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[kiviyr_1]
   UNSPLITVOC:	(kiviyr)
          POS:	ADJ
          VOC:	kiviyr
        GLOSS:	a lot

 INPUT STRING:	ربنا
     IS_TRANS:	rbnA
        INDEX:	P9W8
      OFFSETS:	50-54
       TOKENS:	P9W9-P9W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(rab~inA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	rab~+nA
        GLOSS:	lord/God+our

 INPUT STRING:	يرحمهم
     IS_TRANS:	yrHmhm
        INDEX:	P9W9
      OFFSETS:	55-61
       TOKENS:	P9W11-P9W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[raHam_1]
   UNSPLITVOC:	(yiroHamhum)
          POS:	IV3MS+IV+IVSUFF_DO:3P
          VOC:	yi+roHam+hum
        GLOSS:	he+have mercy+them

 INPUT STRING:	ويبعت
     IS_TRANS:	wybEt
        INDEX:	P9W10
      OFFSETS:	62-67
       TOKENS:	P9W13-P9W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEat_1]
   UNSPLITVOC:	(wiyiboEat)
          POS:	CONJ+IV3MS+IV
          VOC:	wi+yi+boEat
        GLOSS:	and+he/it+send

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P9W11
      OFFSETS:	68-72
       TOKENS:	P9W15-P9W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which

 INPUT STRING:	يحس
     IS_TRANS:	yHs
        INDEX:	P9W12
      OFFSETS:	73-76
       TOKENS:	P9W16-P9W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[>aHas~_1]
   UNSPLITVOC:	(yiHis~)
          POS:	IV3MS+IV
          VOC:	yi+His~
        GLOSS:	he/it+feel/perceive/be felt/be perceived

 INPUT STRING:	بيهم
     IS_TRANS:	byhm
        INDEX:	P9W13
      OFFSETS:	77-81
       TOKENS:	P9W17-P9W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bi_1]
   UNSPLITVOC:	(biyhum)
          POS:	PREP+PRON_3P
          VOC:	bi+hum
        GLOSS:	with+them

 INPUT STRING:	ويولي
     IS_TRANS:	wywly
        INDEX:	P9W14
      OFFSETS:	82-87
       TOKENS:	P9W19-P9W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wal~ay_1]
   UNSPLITVOC:	(wiyiwal~iy)
          POS:	CONJ+IV3MS+IV
          VOC:	wi+yi+wal~iy
        GLOSS:	and+he+put in charge

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P9W15
      OFFSETS:	88-90
       TOKENS:	P9W21-P9W21
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mano_1]
   UNSPLITVOC:	(mano)
          POS:	REL_PRON
          VOC:	mano
        GLOSS:	who/whom

 INPUT STRING:	يصلح
     IS_TRANS:	ySlH
        INDEX:	P9W16
      OFFSETS:	91-95
       TOKENS:	P9W22-P9W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>aSlaH_1]
   UNSPLITVOC:	(yaSoluH)
          POS:	IV3MS+IV
          VOC:	ya+SoluH
        GLOSS:	he+be suitable

 INPUT STRING:	واللي
     IS_TRANS:	wAlly
        INDEX:	P9W17
      OFFSETS:	96-101
       TOKENS:	P9W23-P9W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Aill~iy_1]
   UNSPLITVOC:	(wiAill~iy)
          POS:	CONJ+REL_PRON
          VOC:	wi+Aill~iy
        GLOSS:	and+which

 INPUT STRING:	يحس
     IS_TRANS:	yHs
        INDEX:	P9W18
      OFFSETS:	102-105
       TOKENS:	P9W25-P9W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[>aHas~_1]
   UNSPLITVOC:	(yiHis~)
          POS:	IV3MS+IV
          VOC:	yi+His~
        GLOSS:	he/it+feel/perceive/be felt/be perceived

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P9W19
      OFFSETS:	106-108
       TOKENS:	P9W26-P9W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<ino_1]
   UNSPLITVOC:	(<ino)
          POS:	SUB_CONJ
          VOC:	<ino
        GLOSS:	that

 INPUT STRING:	الناس
     IS_TRANS:	AlnAs
        INDEX:	P9W20
      OFFSETS:	109-114
       TOKENS:	P9W27-P9W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAs_1]
   UNSPLITVOC:	(Aln~As)
          POS:	DET+NOUN
          VOC:	Al+nAs
        GLOSS:	the+people

 INPUT STRING:	دس
     IS_TRANS:	ds
        INDEX:	P9W21
      OFFSETS:	115-117
       TOKENS:	P9W28-P9W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[diy_1]
   UNSPLITVOC:	(diy)
          POS:	DEM_PRON_FS
          VOC:	diy
        GLOSS:	this

 INPUT STRING:	رعاياه
     IS_TRANS:	rEAyAh
        INDEX:	P9W22
      OFFSETS:	118-124
       TOKENS:	P9W29-P9W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[raEiy~ap_1]
   UNSPLITVOC:	(raEAyAh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	raEAyA+h
        GLOSS:	subjects/citizens+his

 INPUT STRING:	بجد
     IS_TRANS:	bjd
        INDEX:	P9W23
      OFFSETS:	125-128
       TOKENS:	P9W31-P9W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jid~_1]
   UNSPLITVOC:	(bijid~)
          POS:	PREP+NOUN
          VOC:	bi+jid~
        GLOSS:	with/by+seriousness/earnestness

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P10W1
      OFFSETS:	0-2
       TOKENS:	P10W1-P10W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O, oh

 INPUT STRING:	جماعة
     IS_TRANS:	jmAEp
        INDEX:	P10W2
      OFFSETS:	3-8
       TOKENS:	P10W2-P10W2
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jamAEap_1]
   UNSPLITVOC:	(jamAEap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	jamAE+ap
        GLOSS:	party/group/squad+[fem.sg.]

 INPUT STRING:	عمرو
     IS_TRANS:	Emrw
        INDEX:	P10W3
      OFFSETS:	9-13
       TOKENS:	P10W3-P10W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamorw_1]
   UNSPLITVOC:	(Eamorw)
          POS:	NOUN_PROP
          VOC:	Eamorw
        GLOSS:	Amr

 INPUT STRING:	اديب
     IS_TRANS:	Adyb
        INDEX:	P10W4
      OFFSETS:	14-18
       TOKENS:	P10W4-P10W4
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[>adiyb_2]
   UNSPLITVOC:	(>adiyb)
          POS:	NOUN_PROP
          VOC:	>adiyb
        GLOSS:	Adeeb/Adib

 INPUT STRING:	بيعمل
     IS_TRANS:	byEml
        INDEX:	P10W5
      OFFSETS:	19-24
       TOKENS:	P10W5-P10W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(biyiEomil)
          POS:	PROG_PART+IV3MS+IV
          VOC:	bi+yi+Eomil
        GLOSS:	[present-tense]+he/it+do/act/work in

 INPUT STRING:	حملة
     IS_TRANS:	Hmlp
        INDEX:	P10W6
      OFFSETS:	25-29
       TOKENS:	P10W7-P10W7
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hamolap_1]
   UNSPLITVOC:	(Hamolap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	Hamol+ap
        GLOSS:	campaign/expedition/attack+[fem.sg.]

 INPUT STRING:	دلوقتى
     IS_TRANS:	dlwqtY
        INDEX:	P10W7
      OFFSETS:	30-36
       TOKENS:	P10W8-P10W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dilowaqotiy_1]
   UNSPLITVOC:	(dilowaqotiy)
          POS:	ADV
          VOC:	dilowaqotiy
        GLOSS:	now

 INPUT STRING:	لجمع
     IS_TRANS:	ljmE
        INDEX:	P10W8
      OFFSETS:	37-41
       TOKENS:	P10W9-P10W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jamoE_1]
   UNSPLITVOC:	(lijamoE)
          POS:	PREP+NOUN
          VOC:	li+jamoE
        GLOSS:	for/to+gathering/collection/joining

 INPUT STRING:	التبرعات
     IS_TRANS:	AltbrEAt
        INDEX:	P10W9
      OFFSETS:	42-50
       TOKENS:	P10W11-P10W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tabar~uE_1]
   UNSPLITVOC:	(Alt~abar~uEAt)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+tabar~uE+At
        GLOSS:	the+donations+[fem.pl.]

 INPUT STRING:	الان
     IS_TRANS:	AlAn
        INDEX:	P10W10
      OFFSETS:	51-55
       TOKENS:	P10W12-P10W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[|n_1]
   UNSPLITVOC:	(Al|n)
          POS:	DET+NOUN
          VOC:	Al+|n
        GLOSS:	the+now

 INPUT STRING:	لهذه
     IS_TRANS:	lh*h
        INDEX:	P10W11
      OFFSETS:	56-60
       TOKENS:	P10W13-P10W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[ha*ihi_1]
   UNSPLITVOC:	(liha*ihi)
          POS:	PREP+DEM_PRON_FS
          VOC:	li+ha*ihi
        GLOSS:	for/to+this

 INPUT STRING:	القرية
     IS_TRANS:	Alqryp
        INDEX:	P10W12
      OFFSETS:	61-67
       TOKENS:	P10W15-P10W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Alqary~ap]
   UNSPLITVOC:	(Alqary~ap)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+qary~+ap
        GLOSS:	++

 INPUT STRING:	الحمد
     IS_TRANS:	AlHmd
        INDEX:	P11W1
      OFFSETS:	0-5
       TOKENS:	P11W1-P11W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hamod_1]
   UNSPLITVOC:	(AlHamod)
          POS:	DET+NOUN
          VOC:	Al+Hamod
        GLOSS:	the+commendation/praise

 INPUT STRING:	لله
     IS_TRANS:	llh
        INDEX:	P11W2
      OFFSETS:	6-9
       TOKENS:	P11W2-P11W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(lil~ah)
          POS:	PREP+NOUN
          VOC:	li+All~ah
        GLOSS:	for/to+god

 INPUT STRING:	الحمد
     IS_TRANS:	AlHmd
        INDEX:	P11W3
      OFFSETS:	10-15
       TOKENS:	P11W4-P11W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hamod_1]
   UNSPLITVOC:	(AlHamod)
          POS:	DET+NOUN
          VOC:	Al+Hamod
        GLOSS:	the+commendation/praise

 INPUT STRING:	لله
     IS_TRANS:	llh
        INDEX:	P11W4
      OFFSETS:	16-19
       TOKENS:	P11W5-P11W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(lil~ah)
          POS:	PREP+NOUN
          VOC:	li+All~ah
        GLOSS:	for/to+god

 INPUT STRING:	جمعية
     IS_TRANS:	jmEyp
        INDEX:	P11W5
      OFFSETS:	20-25
       TOKENS:	P11W7-P11W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[jamoEiy~ap_1]
   UNSPLITVOC:	(jamoEiy~ap)
          POS:	NOUN_PROP+NSUFF_FEM_SG
          VOC:	jamoEiy~+ap
        GLOSS:	association/society/associations/societies+[fem.sg.]

 INPUT STRING:	الاورمان
     IS_TRANS:	AlAwrmAn
        INDEX:	P11W6
      OFFSETS:	26-34
       TOKENS:	P11W8-P11W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AuwrmAn_1]
   UNSPLITVOC:	(AlAuwrmAn)
          POS:	DET+NOUN_PROP
          VOC:	Al+AuwrmAn
        GLOSS:	the+AWRMAN

 INPUT STRING:	اتكفلت
     IS_TRANS:	Atkflt
        INDEX:	P11W7
      OFFSETS:	35-41
       TOKENS:	P11W9-P11W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<itkal~if_1]
   UNSPLITVOC:	(<itkal~ifit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	<itkal~if+it
        GLOSS:	cost+it

 INPUT STRING:	بكل
     IS_TRANS:	bkl
        INDEX:	P11W8
      OFFSETS:	42-45
       TOKENS:	P11W10-P11W11
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(bikul~)
          POS:	PREP+NOUN_QUANT
          VOC:	bi+kul~
        GLOSS:	with/by+all, entire, every, whole

 INPUT STRING:	حاجة
     IS_TRANS:	HAjp
        INDEX:	P11W9
      OFFSETS:	46-50
       TOKENS:	P11W12-P11W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(HAjap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HAj+ap
        GLOSS:	thing/belongings+[fem.sg.]

 INPUT STRING:	فيها
     IS_TRANS:	fyhA
        INDEX:	P11W10
      OFFSETS:	51-55
       TOKENS:	P11W13-P11W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyhA)
          POS:	PREP+PRON_3FS
          VOC:	fiy+hA
        GLOSS:	in+her/it

 INPUT STRING:	الاسقف
     IS_TRANS:	AlAsqf
        INDEX:	P11W11
      OFFSETS:	56-62
       TOKENS:	P11W15-P11W15
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[saqof_1]
   UNSPLITVOC:	(Al>asoquf)
          POS:	DET+NOUN
          VOC:	Al+>asoquf
        GLOSS:	the+roofs

 INPUT STRING:	وهايجيبوا
     IS_TRANS:	whAyjybwA
        INDEX:	P11W12
      OFFSETS:	63-72
       TOKENS:	P11W16-P11W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jAb_1]
   UNSPLITVOC:	(wiHayijiybuwA)
          POS:	CONJ+FUT_PART+IV3P+IV+IVSUFF_SUBJ:P
          VOC:	wi+Ha+yi+jiyb+uwA
        GLOSS:	and+will+they+bring+they[pl.]

 INPUT STRING:	مواشى
     IS_TRANS:	mwA$Y
        INDEX:	P11W13
      OFFSETS:	73-78
       TOKENS:	P11W19-P11W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA$iyap_1]
   UNSPLITVOC:	(mawA$iy)
          POS:	NOUN
          VOC:	mawA$iy
        GLOSS:	livestock/cattle

 INPUT STRING:	وهايوضبوا
     IS_TRANS:	whAywDbwA
        INDEX:	P11W14
      OFFSETS:	79-88
       TOKENS:	P11W20-P11W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waD~ab_1]
   UNSPLITVOC:	(wiHayiwaD~abuwA)
          POS:	CONJ+FUT_PART+IV3P+IV+IVSUFF_SUBJ:P
          VOC:	wi+Ha+yi+waD~ab+uwA
        GLOSS:	and+will+they+arrange/put in order+they[pl.]

 INPUT STRING:	القرية
     IS_TRANS:	Alqryp
        INDEX:	P11W15
      OFFSETS:	89-95
       TOKENS:	P11W23-P11W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qaroyap_1]
   UNSPLITVOC:	(Alqaroyap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+qaroy+ap
        GLOSS:	the+village+[fem.sg.]

 INPUT STRING:	ولسة
     IS_TRANS:	wlsp
        INDEX:	P12W1
      OFFSETS:	0-4
       TOKENS:	P12W1-P12W1
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(wlsp)
          POS:	NO_FUNC
          VOC:	wlsp
        GLOSS:	nogloss

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P12W2
      OFFSETS:	5-7
       TOKENS:	P12W2-P12W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	ناس
     IS_TRANS:	nAs
        INDEX:	P12W3
      OFFSETS:	8-11
       TOKENS:	P12W3-P12W3
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAs_1]
   UNSPLITVOC:	(nAs)
          POS:	NOUN
          VOC:	nAs
        GLOSS:	people

 INPUT STRING:	اتبرعوا
     IS_TRANS:	AtbrEwA
        INDEX:	P12W4
      OFFSETS:	12-19
       TOKENS:	P12W4-P12W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<itobar~aE_1]
   UNSPLITVOC:	(<itobar~aEuwA)
          POS:	PV+PVSUFF_SUBJ:3P
          VOC:	<itobar~aE+uwA
        GLOSS:	contribute/donate+they[pl.]

 INPUT STRING:	والله
     IS_TRANS:	wAllh
        INDEX:	P13W1
      OFFSETS:	0-5
       TOKENS:	P13W1-P13W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(waAll~ah)
          POS:	PREP+NOUN
          VOC:	wa+All~ah
        GLOSS:	with+God

 INPUT STRING:	العظيم
     IS_TRANS:	AlEZym
        INDEX:	P13W2
      OFFSETS:	6-12
       TOKENS:	P13W3-P13W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EaZiym_1]
   UNSPLITVOC:	(AlEaZiym)
          POS:	DET+ADJ
          VOC:	Al+EaZiym
        GLOSS:	the+great/powerful

 INPUT STRING:	بكيت
     IS_TRANS:	bkyt
        INDEX:	P13W3
      OFFSETS:	13-17
       TOKENS:	P13W4-P13W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[bakaY_1]
   UNSPLITVOC:	(bakiyt)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	bakiy+t
        GLOSS:	cry/weep+I [verb]

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P13W4
      OFFSETS:	18-20
       TOKENS:	P13W5-P13W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	المنظر
     IS_TRANS:	AlmnZr
        INDEX:	P13W5
      OFFSETS:	21-27
       TOKENS:	P13W6-P13W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[manoZar_1]
   UNSPLITVOC:	(AlmanoZar)
          POS:	DET+NOUN
          VOC:	Al+manoZar
        GLOSS:	the+view/scenery/appearance

 INPUT STRING:	الاماكن
     IS_TRANS:	AlAmAkn
        INDEX:	P14W1
      OFFSETS:	0-7
       TOKENS:	P14W1-P14W1
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[makAn_1]
   UNSPLITVOC:	(Al>amAkin)
          POS:	DET+NOUN
          VOC:	Al+>amAkin
        GLOSS:	the+places/locations/positions

 INPUT STRING:	مفيش
     IS_TRANS:	mfy$
        INDEX:	P14W2
      OFFSETS:	8-12
       TOKENS:	P14W2-P14W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(mafiy$)
          POS:	NEG_PART+PREP+NEG_PART
          VOC:	ma+fiy+$
        GLOSS:	not+there+not

 INPUT STRING:	للاسف
     IS_TRANS:	llAsf
        INDEX:	P14W3
      OFFSETS:	13-18
       TOKENS:	P14W5-P14W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>asaf_1]
   UNSPLITVOC:	(lil>asaf)
          POS:	PREP+DET+NOUN
          VOC:	li+Al+>asaf
        GLOSS:	for/to+the+regret/sorry

 INPUT STRING:	اكتر
     IS_TRANS:	Aktr
        INDEX:	P14W4
      OFFSETS:	19-23
       TOKENS:	P14W7-P14W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>akotar_1]
   UNSPLITVOC:	(>akotar)
          POS:	ADJ_COMP
          VOC:	>akotar
        GLOSS:	more than

 INPUT STRING:	منها
     IS_TRANS:	mnhA
        INDEX:	P14W5
      OFFSETS:	24-28
       TOKENS:	P14W8-P14W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(minhA)
          POS:	PREP+PRON_3FS
          VOC:	min+hA
        GLOSS:	from+her/it

 INPUT STRING:	ابنى
     IS_TRANS:	AbnY
        INDEX:	P14W6
      OFFSETS:	29-33
       TOKENS:	P14W10-P14W11
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[{ibon_1]
   UNSPLITVOC:	(Aiboniy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	{ibon+iy
        GLOSS:	son/junior (Jr.)+my

 INPUT STRING:	ربنا
     IS_TRANS:	rbnA
        INDEX:	P14W7
      OFFSETS:	34-38
       TOKENS:	P14W12-P14W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(rab~inA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	rab~+nA
        GLOSS:	lord/God+our

 INPUT STRING:	يحميه
     IS_TRANS:	yHmyh
        INDEX:	P14W8
      OFFSETS:	39-44
       TOKENS:	P14W14-P14W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HamaY_1]
   UNSPLITVOC:	(yiHomiyh)
          POS:	IV3MS+IV+IVSUFF_DO:3MS
          VOC:	yi+Homiy+uh
        GLOSS:	he/it+defend/protect/forbid/be defended/be protected/be forbidden+them

 INPUT STRING:	متطوع
     IS_TRANS:	mtTwE
        INDEX:	P14W9
      OFFSETS:	45-50
       TOKENS:	P14W16-P14W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mitoTaw~aE_1]
   UNSPLITVOC:	(mitoTaw~aE)
          POS:	ADJ
          VOC:	mitoTaw~aE
        GLOSS:	volunteer/unsalaried trainee

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P14W10
      OFFSETS:	51-53
       TOKENS:	P14W17-P14W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	جمعيه
     IS_TRANS:	jmEyh
        INDEX:	P14W11
      OFFSETS:	54-59
       TOKENS:	P14W18-P14W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
