 INPUT STRING:	فى
      COMMENT:	[]
        LEMMA:	[haf~_1]
   UNSPLITVOC:	(haf~ithum)
          POS:	PV+PVSUFF_SUBJ:3FS+PVSUFF_DO:3P
          VOC:	haf~+it+hum
        GLOSS:	howl/yearn+it/they/she+them

 INPUT STRING:	يلغوا
     IS_TRANS:	ylgwA
        INDEX:	P24W5
      OFFSETS:	26-31
       TOKENS:	P24W8-P24W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lagaY_1]
   UNSPLITVOC:	(yiloguwA)
          POS:	IV3P+IV+IVSUFF_SUBJ:P
          VOC:	yi+log+uwA
        GLOSS:	they+cancel+we

 INPUT STRING:	اللقاء
     IS_TRANS:	AllqA'
        INDEX:	P24W6
      OFFSETS:	32-38
       TOKENS:	P24W9-P24W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[liqA'_1]
   UNSPLITVOC:	(All~iqA')
          POS:	DET+NOUN
          VOC:	Al+liqA'
        GLOSS:	the+meeting/encounter/interview/meetings/encounters/interviews

 INPUT STRING:	مع
     IS_TRANS:	mE
        INDEX:	P24W7
      OFFSETS:	39-41
       TOKENS:	P24W10-P24W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maEa)
          POS:	NOUN
          VOC:	maEa
        GLOSS:	something with

 INPUT STRING:	عمرو
     IS_TRANS:	Emrw
        INDEX:	P24W8
      OFFSETS:	42-46
       TOKENS:	P24W11-P24W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamorw_1]
   UNSPLITVOC:	(Eamorw)
          POS:	NOUN_PROP
          VOC:	Eamorw
        GLOSS:	Amr

 INPUT STRING:	خالد
     IS_TRANS:	xAld
        INDEX:	P24W9
      OFFSETS:	47-51
       TOKENS:	P24W12-P24W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xAlid_1]
   UNSPLITVOC:	(xAlid)
          POS:	NOUN_PROP
          VOC:	xAlid
        GLOSS:	Khalid

 INPUT STRING:	وفعلا
     IS_TRANS:	wfElA
        INDEX:	P25W1
      OFFSETS:	0-5
       TOKENS:	P25W1-P25W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiEol_1]
   UNSPLITVOC:	(wifiEolAF)
          POS:	CONJ+NOUN+CASE_INDEF_ACC
          VOC:	wi+fiEol+AF
        GLOSS:	and+doing/act/action/actually/in effect/acts/actions/deeds/exploits+[acc.indef.]

 INPUT STRING:	نزل
     IS_TRANS:	nzl
        INDEX:	P25W2
      OFFSETS:	6-9
       TOKENS:	P25W3-P25W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nizil_1]
   UNSPLITVOC:	(nizil)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	nizil+(null)
        GLOSS:	descend+he/it

 INPUT STRING:	بيان
     IS_TRANS:	byAn
        INDEX:	P25W3
      OFFSETS:	10-14
       TOKENS:	P25W4-P25W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bayAn_1]
   UNSPLITVOC:	(bayAn)
          POS:	NOUN
          VOC:	bayAn
        GLOSS:	statement

 INPUT STRING:	عملنا
     IS_TRANS:	EmlnA
        INDEX:	P25W4
      OFFSETS:	15-20
       TOKENS:	P25W5-P25W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(EamalnA)
          POS:	PV+PVSUFF_SUBJ:1P
          VOC:	Eamal+nA
        GLOSS:	work/act/do+we

 INPUT STRING:	ايفينت
     IS_TRANS:	Ayfynt
        INDEX:	P25W5
      OFFSETS:	21-27
       TOKENS:	P25W6-P25W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(Ayfynt)
          POS:	FOREIGN
          VOC:	Ayfynt
        GLOSS:	nogloss

 INPUT STRING:	وانضم
     IS_TRANS:	wAnDm
        INDEX:	P25W6
      OFFSETS:	28-33
       TOKENS:	P25W7-P25W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AinoDam~_1]
   UNSPLITVOC:	(wiAinoDam~)
          POS:	CONJ+PV+PVSUFF_SUBJ:3MS
          VOC:	wi+AinoDam~+(null)
        GLOSS:	and+join+he/it

 INPUT STRING:	له
     IS_TRANS:	lh
        INDEX:	P25W7
      OFFSETS:	34-36
       TOKENS:	P25W9-P25W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(luh)
          POS:	PREP+PRON_3MS
          VOC:	li+uh
        GLOSS:	to/for+it/him (it/he has)

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P25W8
      OFFSETS:	37-39
       TOKENS:	P25W11-P25W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	دقايق
     IS_TRANS:	dqAyq
        INDEX:	P25W9
      OFFSETS:	40-45
       TOKENS:	P25W12-P25W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diqiyqap_1]
   UNSPLITVOC:	(daqAyiq)
          POS:	NOUN
          VOC:	daqAyiq
        GLOSS:	minutes

 INPUT STRING:	ساعتين
     IS_TRANS:	sAEtyn
        INDEX:	P25W10
      OFFSETS:	46-52
       TOKENS:	P25W13-P25W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sAEap_1]
   UNSPLITVOC:	(sAEtayn)
          POS:	NOUN+NSUFF_FEM_DU
          VOC:	sAE+tayn
        GLOSS:	hour/time/hours+two

 INPUT STRING:	وعلى
     IS_TRANS:	wElY
        INDEX:	P26W1
      OFFSETS:	0-4
       TOKENS:	P26W1-P26W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(wiEalaY)
          POS:	CONJ+PREP
          VOC:	wi+EalaY
        GLOSS:	and+on/above

 INPUT STRING:	بيدج
     IS_TRANS:	bydj
        INDEX:	P26W2
      OFFSETS:	5-9
       TOKENS:	P26W3-P26W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(bydj)
          POS:	FOREIGN
          VOC:	bydj
        GLOSS:	nogloss

 INPUT STRING:	عمرو
     IS_TRANS:	Emrw
        INDEX:	P26W3
      OFFSETS:	10-14
       TOKENS:	P26W4-P26W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamorw_1]
   UNSPLITVOC:	(Eamorw)
          POS:	NOUN_PROP
          VOC:	Eamorw
        GLOSS:	Amr

 INPUT STRING:	خالد
     IS_TRANS:	xAld
        INDEX:	P26W4
      OFFSETS:	15-19
       TOKENS:	P26W5-P26W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xAlid_1]
   UNSPLITVOC:	(xAlid)
          POS:	NOUN_PROP
          VOC:	xAlid
        GLOSS:	Khalid

 INPUT STRING:	الالاف
     IS_TRANS:	AlAlAf
        INDEX:	P26W5
      OFFSETS:	20-26
       TOKENS:	P26W6-P26W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alof_1]
   UNSPLITVOC:	(AlAlAf)
          POS:	DET+NOUN_NUM
          VOC:	Al+AlAf
        GLOSS:	the+thousands

 INPUT STRING:	هاجموا
     IS_TRANS:	hAjmwA
        INDEX:	P26W6
      OFFSETS:	27-33
       TOKENS:	P26W7-P26W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hAjim_1]
   UNSPLITVOC:	(hAjomuwA)
          POS:	PV+PVSUFF_SUBJ:3P
          VOC:	hAjom+uwA
        GLOSS:	attack+they

 INPUT STRING:	البرنامج
     IS_TRANS:	AlbrnAmj
        INDEX:	P26W7
      OFFSETS:	34-42
       TOKENS:	P26W8-P26W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bironAmij_1]
   UNSPLITVOC:	(AlbironAmij)
          POS:	DET+NOUN
          VOC:	Al+bironAmij
        GLOSS:	the+program

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P27W1
      OFFSETS:	0-2
       TOKENS:	P27W1-P27W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	دقائق
     IS_TRANS:	dqA}q
        INDEX:	P27W2
      OFFSETS:	3-8
       TOKENS:	P27W2-P27W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[diqiyqap_1]
   UNSPLITVOC:	(daqA}iq)
          POS:	NOUN
          VOC:	daqA}iq
        GLOSS:	minutes

 INPUT STRING:	صححو
     IS_TRANS:	SHHw
        INDEX:	P27W3
      OFFSETS:	9-13
       TOKENS:	P27W3-P27W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[SaH~aH_1]
   UNSPLITVOC:	(SaH~aHuwA)
          POS:	PV+PVSUFF_SUBJ:3P
          VOC:	SaH~aH+uwA
        GLOSS:	correct+they

 INPUT STRING:	الموضوع
     IS_TRANS:	AlmwDwE
        INDEX:	P27W4
      OFFSETS:	14-21
       TOKENS:	P27W4-P27W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mawDuwE_1]
   UNSPLITVOC:	(AlmawDuwE)
          POS:	DET+NOUN
          VOC:	Al+mawDuwE
        GLOSS:	the+subject/theme/issue

 INPUT STRING:	وده
     IS_TRANS:	wdh
        INDEX:	P27W5
      OFFSETS:	22-25
       TOKENS:	P27W5-P27W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(widah)
          POS:	CONJ+DEM_PRON_MS
          VOC:	wi+dah
        GLOSS:	and+this

 INPUT STRING:	رد
     IS_TRANS:	rd
        INDEX:	P27W6
      OFFSETS:	26-28
       TOKENS:	P27W7-P27W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rad~_1]
   UNSPLITVOC:	(rad~)
          POS:	NOUN
          VOC:	rad~
        GLOSS:	reply/response

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P27W7
      OFFSETS:	29-32
       TOKENS:	P27W8-P27W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	اى
     IS_TRANS:	AY
        INDEX:	P27W8
      OFFSETS:	33-35
       TOKENS:	P27W9-P27W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aay~_1]
   UNSPLITVOC:	(>ay~)
          POS:	NOUN_QUANT
          VOC:	>ay~
        GLOSS:	any

 INPUT STRING:	تعرض
     IS_TRANS:	tErD
        INDEX:	P27W9
      OFFSETS:	36-40
       TOKENS:	P27W10-P27W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taEar~uD_1]
   UNSPLITVOC:	(taEar~uD)
          POS:	NOUN.VN
          VOC:	taEar~uD
        GLOSS:	being exposed to/encountering

 INPUT STRING:	لدكتور
     IS_TRANS:	ldktwr
        INDEX:	P27W10
      OFFSETS:	41-47
       TOKENS:	P27W11-P27W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dukotawr_1]
   UNSPLITVOC:	(lidukotawr)
          POS:	PREP+NOUN
          VOC:	li+dukotawr
        GLOSS:	for/to+doctor/Doctor/Dr.

 INPUT STRING:	البرادعى
     IS_TRANS:	AlbrAdEY
        INDEX:	P27W11
      OFFSETS:	48-56
       TOKENS:	P27W13-P27W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[barAdiEiy_1]
   UNSPLITVOC:	(AlbarAdiEiy)
          POS:	DET+NOUN_PROP
          VOC:	Al+barAdiEiy
        GLOSS:	the+Baradei

 INPUT STRING:	وللاسف
     IS_TRANS:	wllAsf
        INDEX:	P28W1
      OFFSETS:	0-6
       TOKENS:	P28W1-P28W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>asaf_1]
   UNSPLITVOC:	(wilil>asaf)
          POS:	CONJ+PREP+DET+NOUN
          VOC:	wi+li+Al+>asaf
        GLOSS:	and+for/to+the+regret/sorry

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P28W2
      OFFSETS:	7-9
       TOKENS:	P28W4-P28W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P28W3
      OFFSETS:	10-12
       TOKENS:	P28W5-P28W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all, entire, every, whole

 INPUT STRING:	مشكلة
     IS_TRANS:	m$klp
        INDEX:	P28W4
      OFFSETS:	13-18
       TOKENS:	P28W6-P28W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mu$okilap_1]
   UNSPLITVOC:	(mu$okilap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	mu$okil+ap
        GLOSS:	problem/issue+[fem.sg.]

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P28W5
      OFFSETS:	19-21
       TOKENS:	P28W7-P28W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	الشارع
     IS_TRANS:	Al$ArE
        INDEX:	P28W6
      OFFSETS:	22-28
       TOKENS:	P28W8-P28W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$AriE_1]
   UNSPLITVOC:	(Al$~AriE)
          POS:	DET+NOUN
          VOC:	Al+$AriE
        GLOSS:	the+street/streets

 INPUT STRING:	تحصل
     IS_TRANS:	tHSl
        INDEX:	P28W7
      OFFSETS:	29-33
       TOKENS:	P28W9-P28W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HaSal_1]
   UNSPLITVOC:	(tiHoSal)
          POS:	IV3FS+IV
          VOC:	ti+HoSal
        GLOSS:	it/they/she+occur/happen/take place

 INPUT STRING:	وبلطجية
     IS_TRANS:	wblTjyp
        INDEX:	P28W8
      OFFSETS:	34-41
       TOKENS:	P28W10-P28W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baloTajiy_1]
   UNSPLITVOC:	(wibaloTajiy~ap)
          POS:	CONJ+NOUN+NSUFF_FEM_SG
          VOC:	wi+baloTajiy~+ap
        GLOSS:	and+gangster/ruffian+[fem.sg.]

 INPUT STRING:	ماجورين
     IS_TRANS:	mAjwryn
        INDEX:	P28W9
      OFFSETS:	42-49
       TOKENS:	P28W12-P28W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ma>ojuwr_1]
   UNSPLITVOC:	(ma>ojuwriyn)
          POS:	ADJ+NSUFF_MASC_PL
          VOC:	ma>ojuwr+iyn
        GLOSS:	bribed/mercenary+[pl.]

 INPUT STRING:	يستهدفو
     IS_TRANS:	ysthdfw
        INDEX:	P28W10
      OFFSETS:	50-57
       TOKENS:	P28W13-P28W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aisotahodif_1]
   UNSPLITVOC:	(yisotahodifuwA)
          POS:	IV3P+IV+IVSUFF_SUBJ:P
          VOC:	yi+sotahodif+uwA
        GLOSS:	they+target/aim at+[pl.]

 INPUT STRING:	الحملة
     IS_TRANS:	AlHmlp
        INDEX:	P28W11
      OFFSETS:	58-64
       TOKENS:	P28W14-P28W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hamolap_1]
   UNSPLITVOC:	(AlHamolap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+Hamol+ap
        GLOSS:	the+campaign/expedition/attack/campaigns/expeditions/attacks+[fem.sg.]

 INPUT STRING:	هنسيب
     IS_TRANS:	hnsyb
        INDEX:	P28W12
      OFFSETS:	65-70
       TOKENS:	P28W15-P28W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sAb_1]
   UNSPLITVOC:	(Hanisiyb)
          POS:	FUT_PART+IV1P+IV
          VOC:	Ha+ni+siyb
        GLOSS:	will+we+leave

 INPUT STRING:	المكان
     IS_TRANS:	AlmkAn
        INDEX:	P28W13
      OFFSETS:	71-77
       TOKENS:	P28W17-P28W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[makAn_1]
   UNSPLITVOC:	(AlmakAn)
          POS:	DET+NOUN
          VOC:	Al+makAn
        GLOSS:	the+place/location/position

 INPUT STRING:	بكل
     IS_TRANS:	bkl
        INDEX:	P29W1
      OFFSETS:	0-3
       TOKENS:	P29W1-P29W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(bikul~)
          POS:	PREP+NOUN_QUANT
          VOC:	bi+kul~
        GLOSS:	with/by+all/entire/every

 INPUT STRING:	مثالية
     IS_TRANS:	mvAlyp
        INDEX:	P29W2
      OFFSETS:	4-10
       TOKENS:	P29W3-P29W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mivAliy~ap_1]
   UNSPLITVOC:	(mivAliy~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	mivAliy~+ap
        GLOSS:	idealism/exemplariness+[fem.sg.]

 INPUT STRING:	اخشى
     IS_TRANS:	Ax$Y
        INDEX:	P29W3
      OFFSETS:	11-15
       TOKENS:	P29W4-P29W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xa$ay_1]
   UNSPLITVOC:	(Aaxo$aY)
          POS:	IV1S+IV
          VOC:	Aa+xo$aY
        GLOSS:	I+fear/be afraid

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P29W4
      OFFSETS:	16-18
       TOKENS:	P29W5-P29W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	That

 INPUT STRING:	نفقد
     IS_TRANS:	nfqd
        INDEX:	P29W5
      OFFSETS:	19-23
       TOKENS:	P29W6-P29W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[faqad_1]
   UNSPLITVOC:	(nifoqid)
          POS:	IV1P+IV
          VOC:	ni+foqid
        GLOSS:	we+lose

 INPUT STRING:	اعصابنا
     IS_TRANS:	AESAbnA
        INDEX:	P29W6
      OFFSETS:	24-31
       TOKENS:	P29W7-P29W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EaSab_1]
   UNSPLITVOC:	(>aEoSAbnA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	>aEoSAb+nA
        GLOSS:	nerves+our

 INPUT STRING:	ولكننا
     IS_TRANS:	wlknnA
        INDEX:	P30W1
      OFFSETS:	0-6
       TOKENS:	P30W1-P30W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[lakin~_1]
   UNSPLITVOC:	(wilakin~inA)
          POS:	CONJ+PSEUDO_VERB+PRON_1P
          VOC:	wi+lakin~+nA
        GLOSS:	and+But, however, yet, still, nevertheless, on the other hand+we

 INPUT STRING:	تعلمنا
     IS_TRANS:	tElmnA
        INDEX:	P30W2
      OFFSETS:	7-13
       TOKENS:	P30W4-P30W4
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[taEal~am_1]
   UNSPLITVOC:	(taEal~amonA)
          POS:	PV+PVSUFF_SUBJ:1P
          VOC:	taEal~am+nA
        GLOSS:	study/learn+we [verb]

 INPUT STRING:	الا
     IS_TRANS:	AlA
        INDEX:	P30W3
      OFFSETS:	14-17
       TOKENS:	P30W5-P30W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[lA_2]
   UNSPLITVOC:	(>al~A)
          POS:	SUB_CONJ+NEG_PART
          VOC:	>an+lA
        GLOSS:	that/to+no/not

 INPUT STRING:	نبادل
     IS_TRANS:	nbAdl
        INDEX:	P30W4
      OFFSETS:	18-23
       TOKENS:	P30W7-P30W7
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(nbAdl)
          POS:	NO_FUNC
          VOC:	nbAdl
        GLOSS:	nogloss

 INPUT STRING:	السيئة
     IS_TRANS:	Alsy}p
        INDEX:	P30W5
      OFFSETS:	24-30
       TOKENS:	P30W8-P30W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[say~i}ap_1]
   UNSPLITVOC:	(Als~ay~i}ap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+say~i}+ap
        GLOSS:	the+offense/misdeed/offenses/misdeeds+[fem.sg.]

 INPUT STRING:	بالسيئة
     IS_TRANS:	bAlsy}p
        INDEX:	P30W6
      OFFSETS:	31-38
       TOKENS:	P30W9-P30W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[say~i}ap_1]
   UNSPLITVOC:	(biAls~ay~i}ap)
          POS:	PREP+DET+NOUN+NSUFF_FEM_SG
          VOC:	bi+Al+say~i}+ap
        GLOSS:	with/by+the+offense/misdeed/offenses/misdeeds+[fem.sg.]

 INPUT STRING:	مع
     IS_TRANS:	mE
        INDEX:	P31W1
      OFFSETS:	0-2
       TOKENS:	P31W1-P31W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maEa)
          POS:	NOUN
          VOC:	maEa
        GLOSS:	something with

 INPUT STRING:	اننا
     IS_TRANS:	AnnA
        INDEX:	P31W2
      OFFSETS:	3-7
       TOKENS:	P31W2-P31W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~inA)
          POS:	SUB_CONJ+PRON_1P
          VOC:	<in~+nA
        GLOSS:	that+we

 INPUT STRING:	اقوياء
     IS_TRANS:	AqwyA'
        INDEX:	P31W3
      OFFSETS:	8-14
       TOKENS:	P31W4-P31W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qawiy_1]
   UNSPLITVOC:	(AqwiyA')
          POS:	ADJ
          VOC:	AqwiyA'
        GLOSS:	strong

 INPUT STRING:	جدا
     IS_TRANS:	jdA
        INDEX:	P31W4
      OFFSETS:	15-18
       TOKENS:	P31W5-P31W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jid~_1]
   UNSPLITVOC:	(jid~AF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	jid~+AF
        GLOSS:	very/much+[acc.indef.]

 INPUT STRING:	ولكننا
     IS_TRANS:	wlknnA
        INDEX:	P31W5
      OFFSETS:	19-25
       TOKENS:	P31W6-P31W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[lakin~_1]
   UNSPLITVOC:	(walakin~anA)
          POS:	PART+PSEUDO_VERB+PRON_1P
          VOC:	wa+lakin~a+nA
