 INPUT STRING:	ازيكو
      COMMENT:	[]
        LEMMA:	[maSolaHap_1]
   UNSPLITVOC:	(limaSAliH)
          POS:	PREP+NOUN
          VOC:	li+maSAliH
        GLOSS:	for/to+interest/advantage/favor

 INPUT STRING:	ومش
     IS_TRANS:	wm$
        INDEX:	P43W15
      OFFSETS:	68-71
       TOKENS:	P43W16-P43W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(wimi$)
          POS:	CONJ+NEG_PART
          VOC:	wi+mi$
        GLOSS:	and+not

 INPUT STRING:	شايفة
     IS_TRANS:	$Ayfp
        INDEX:	P43W16
      OFFSETS:	72-77
       TOKENS:	P43W18-P43W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$Af_1]
   UNSPLITVOC:	($Ayofap)
          POS:	ADJ.VN+NSUFF_FEM_SG
          VOC:	$Ayof+ap
        GLOSS:	seeing+[fem.sg.]

 INPUT STRING:	انهم
     IS_TRANS:	Anhm
        INDEX:	P43W17
      OFFSETS:	78-82
       TOKENS:	P43W19-P43W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~uhum)
          POS:	SUB_CONJ+PRON_3P
          VOC:	<in~+hum
        GLOSS:	that+he/it

 INPUT STRING:	بيضحو
     IS_TRANS:	byDHw
        INDEX:	P43W18
      OFFSETS:	83-88
       TOKENS:	P43W21-P43W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[DaH~aY_1]
   UNSPLITVOC:	(biyDaH~uw)
          POS:	PROG_PART+IV3P+IV+IVSUFF_SUBJ:P
          VOC:	bi+y+DaH~+uw
        GLOSS:	[present-tense]+they+sacrifice+they

 INPUT STRING:	بكل
     IS_TRANS:	bkl
        INDEX:	P43W19
      OFFSETS:	89-92
       TOKENS:	P43W23-P43W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(bikul~)
          POS:	PREP+NOUN_QUANT
          VOC:	bi+kul~
        GLOSS:	with/by+all

 INPUT STRING:	شئ
     IS_TRANS:	$}
        INDEX:	P43W20
      OFFSETS:	93-95
       TOKENS:	P43W25-P43W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[$iy}_1]
   UNSPLITVOC:	($iy})
          POS:	NOUN
          VOC:	$iy}
        GLOSS:	thing

 INPUT STRING:	عندهم
     IS_TRANS:	Endhm
        INDEX:	P43W21
      OFFSETS:	96-101
       TOKENS:	P43W26-P43W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eanod_1]
   UNSPLITVOC:	(Eanoduhum)
          POS:	NOUN+POSS_PRON_3P
          VOC:	Eanod+hum
        GLOSS:	with+their

 INPUT STRING:	عشانك
     IS_TRANS:	E$Ank
        INDEX:	P43W22
      OFFSETS:	102-107
       TOKENS:	P43W28-P43W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ea$An_1]
   UNSPLITVOC:	(Ea$Anik)
          POS:	PREP+NOUN+POSS_PRON_2FS
          VOC:	Ea+$An+ik
        GLOSS:	on/above+matter+your

 INPUT STRING:	وعشان
     IS_TRANS:	wE$An
        INDEX:	P43W23
      OFFSETS:	108-113
       TOKENS:	P43W31-P43W33
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$a>on_1]
   UNSPLITVOC:	(wiEa$a>on)
          POS:	CONJ+PREP+NOUN
          VOC:	wi+Ea+$a>on
        GLOSS:	and+on/above+matter/affair/case/importance/status/situation/condition/affairs/matters

 INPUT STRING:	غيرك
     IS_TRANS:	gyrk
        INDEX:	P43W24
      OFFSETS:	114-118
       TOKENS:	P43W34-P43W35
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[gayor_1]
   UNSPLITVOC:	(gayorik)
          POS:	NOUN+POSS_PRON_2FS
          VOC:	gayor+ik
        GLOSS:	not/other+your

 INPUT STRING:	وكمان
     IS_TRANS:	wkmAn
        INDEX:	P43W25
      OFFSETS:	119-124
       TOKENS:	P43W36-P43W37
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kamAn_1]
   UNSPLITVOC:	(wikamAn)
          POS:	CONJ+ADV
          VOC:	wi+kamAn
        GLOSS:	and+also

 INPUT STRING:	بيضحو
     IS_TRANS:	byDHw
        INDEX:	P43W26
      OFFSETS:	125-130
       TOKENS:	P43W38-P43W39
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[DaH~aY_1]
   UNSPLITVOC:	(biyDaH~uw)
          POS:	PROG_PART+IV3P+IV+IVSUFF_SUBJ:P
          VOC:	bi+y+DaH~+uw
        GLOSS:	[present-tense]+they+sacrifice+they

 INPUT STRING:	بحياتهم
     IS_TRANS:	bHyAthm
        INDEX:	P43W27
      OFFSETS:	131-138
       TOKENS:	P43W40-P43W42
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HayAp_1]
   UNSPLITVOC:	(biHayAthum)
          POS:	PREP+NOUN+NSUFF_FEM_SG+POSS_PRON_3P
          VOC:	bi+HayA+ap+hum
        GLOSS:	with/by+lifetime+[fem.sg.]+their

 INPUT STRING:	وماعندهمش
     IS_TRANS:	wmAEndhm$
        INDEX:	P43W28
      OFFSETS:	139-148
       TOKENS:	P43W43-P43W47
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Eand_1]
   UNSPLITVOC:	(wimAEanduhum$)
          POS:	CONJ+NEG_PART+NOUN+POSS_PRON_3P+NEG_PART
          VOC:	wi+mA+Eandu+hum+$
        GLOSS:	and+not+with+their+not

 INPUT STRING:	غالى
     IS_TRANS:	gAlY
        INDEX:	P43W29
      OFFSETS:	149-153
       TOKENS:	P43W48-P43W48
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[gAliy_1]
   UNSPLITVOC:	(gAliy)
          POS:	ADJ
          VOC:	gAliy
        GLOSS:	expensive/costly/dear/precious/beloved

 INPUT STRING:	او
     IS_TRANS:	Aw
        INDEX:	P43W30
      OFFSETS:	154-156
       TOKENS:	P43W49-P43W49
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aw_1]
   UNSPLITVOC:	(>aw)
          POS:	CONJ
          VOC:	>aw
        GLOSS:	or

 INPUT STRING:	نفيس
     IS_TRANS:	nfys
        INDEX:	P43W31
      OFFSETS:	157-161
       TOKENS:	P43W50-P43W50
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nafiys_1]
   UNSPLITVOC:	(nafiys)
          POS:	ADJ
          VOC:	nafiys
        GLOSS:	precious/costly

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P44W1
      OFFSETS:	0-2
       TOKENS:	P44W1-P44W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	سبيل
     IS_TRANS:	sbyl
        INDEX:	P44W2
      OFFSETS:	3-7
       TOKENS:	P44W2-P44W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sabiyl_1]
   UNSPLITVOC:	(sabiyl)
          POS:	NOUN
          VOC:	sabiyl
        GLOSS:	way/road

 INPUT STRING:	الوطن
     IS_TRANS:	AlwTn
        INDEX:	P44W3
      OFFSETS:	8-13
       TOKENS:	P44W3-P44W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waTan_1]
   UNSPLITVOC:	(AlwaTan)
          POS:	DET+NOUN
          VOC:	Al+waTan
        GLOSS:	the+nation/homeland

 INPUT STRING:	انهى
     IS_TRANS:	AnhY
        INDEX:	P44W4
      OFFSETS:	14-18
       TOKENS:	P44W4-P44W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>anohiy_1]
   UNSPLITVOC:	(>anohiy)
          POS:	INTERROG_PRON
          VOC:	>anohiy
        GLOSS:	which

 INPUT STRING:	الاهم
     IS_TRANS:	AlAhm
        INDEX:	P44W5
      OFFSETS:	19-24
       TOKENS:	P44W5-P44W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aham~_1]
   UNSPLITVOC:	(Al>aham~)
          POS:	DET+ADJ_COMP
          VOC:	Al+>aham~
        GLOSS:	the+more/most important

 INPUT STRING:	ف
     IS_TRANS:	f
        INDEX:	P44W6
      OFFSETS:	25-26
       TOKENS:	P44W6-P44W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	ظل
     IS_TRANS:	Zl
        INDEX:	P44W7
      OFFSETS:	27-29
       TOKENS:	P44W7-P44W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Zil~_1]
   UNSPLITVOC:	(Zil~)
          POS:	NOUN
          VOC:	Zil~
        GLOSS:	patronage/shelter/shade/auspices/shelter

 INPUT STRING:	الفسااااااااااااااد
     IS_TRANS:	AlfsAAAAAAAAAAAAAAd
        INDEX:	P44W8
      OFFSETS:	30-49
       TOKENS:	P44W8-P44W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[fasAd_1]
   UNSPLITVOC:	(AlfasAd)
          POS:	DET+NOUN
          VOC:	Al+fasAd
        GLOSS:	the+corruption

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P44W9
      OFFSETS:	50-54
       TOKENS:	P44W9-P44W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which

 INPUT STRING:	احنا
     IS_TRANS:	AHnA
        INDEX:	P44W10
      OFFSETS:	55-59
       TOKENS:	P44W10-P44W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiHonA_1]
   UNSPLITVOC:	(AiHonA)
          POS:	PRON_1P
          VOC:	AiHonA
        GLOSS:	we

 INPUT STRING:	فية
     IS_TRANS:	fyp
        INDEX:	P44W11
      OFFSETS:	60-63
       TOKENS:	P44W11-P44W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyh)
          POS:	PREP+PRON_3MS
          VOC:	fiy+uh
        GLOSS:	in+he/it

 INPUT STRING:	وف
     IS_TRANS:	wf
        INDEX:	P45W1
      OFFSETS:	0-2
       TOKENS:	P45W1-P45W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(wafiy)
          POS:	CONJ+PREP
          VOC:	wa+fiy
        GLOSS:	and+in

 INPUT STRING:	ظل
     IS_TRANS:	Zl
        INDEX:	P45W2
      OFFSETS:	3-5
       TOKENS:	P45W3-P45W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Zil~_1]
   UNSPLITVOC:	(Zil~)
          POS:	NOUN
          VOC:	Zil~
        GLOSS:	patronage/shelter/shade/auspices/shelter

 INPUT STRING:	السرقة
     IS_TRANS:	Alsrqp
        INDEX:	P45W3
      OFFSETS:	6-12
       TOKENS:	P45W4-P45W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[siroqap_1]
   UNSPLITVOC:	(Als~iroqap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+siroq+ap
        GLOSS:	the+theft/robbery+[fem.sg.]

 INPUT STRING:	والنهب
     IS_TRANS:	wAlnhb
        INDEX:	P45W4
      OFFSETS:	13-19
       TOKENS:	P45W5-P45W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nahob_1]
   UNSPLITVOC:	(wiAlnahob)
          POS:	CONJ+DET+NOUN
          VOC:	wi+Al+nahob
        GLOSS:	and+the+looting/plundering

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P45W5
      OFFSETS:	20-24
       TOKENS:	P45W7-P45W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which

 INPUT STRING:	احنا
     IS_TRANS:	AHnA
        INDEX:	P45W6
      OFFSETS:	25-29
       TOKENS:	P45W8-P45W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiHonA_1]
   UNSPLITVOC:	(AiHonA)
          POS:	PRON_1P
          VOC:	AiHonA
        GLOSS:	we

 INPUT STRING:	فيها
     IS_TRANS:	fyhA
        INDEX:	P45W7
      OFFSETS:	30-34
       TOKENS:	P45W9-P45W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyhA)
          POS:	PREP+PRON_3FS
          VOC:	fiy+hA
        GLOSS:	in+she/it

 INPUT STRING:	وف
     IS_TRANS:	wf
        INDEX:	P46W1
      OFFSETS:	0-2
       TOKENS:	P46W1-P46W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(wafiy)
          POS:	CONJ+PREP
          VOC:	wa+fiy
        GLOSS:	and+in

 INPUT STRING:	ظل
     IS_TRANS:	Zl
        INDEX:	P46W2
      OFFSETS:	3-5
       TOKENS:	P46W3-P46W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Zil~_1]
   UNSPLITVOC:	(Zil~)
          POS:	NOUN
          VOC:	Zil~
        GLOSS:	patronage/shelter/shade/auspices/shelter

 INPUT STRING:	القمع
     IS_TRANS:	AlqmE
        INDEX:	P46W3
      OFFSETS:	6-11
       TOKENS:	P46W4-P46W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qumoE_1]
   UNSPLITVOC:	(AlqumoE)
          POS:	DET+NOUN
          VOC:	Al+qumoE
        GLOSS:	the+funnel/cone

 INPUT STRING:	والقتل
     IS_TRANS:	wAlqtl
        INDEX:	P46W4
      OFFSETS:	12-18
       TOKENS:	P46W5-P46W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qatol_1]
   UNSPLITVOC:	(wiAlqatol)
          POS:	CONJ+DET+NOUN
          VOC:	wi+Al+qatol
        GLOSS:	and+the+murder/killing

 INPUT STRING:	والاهانة
     IS_TRANS:	wAlAhAnp
        INDEX:	P46W5
      OFFSETS:	19-27
       TOKENS:	P46W7-P46W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AihAnap_1]
   UNSPLITVOC:	(wiAlAihAnap)
          POS:	CONJ+DET+NOUN+NSUFF_FEM_SG
          VOC:	wi+Al+AihAn+ap
        GLOSS:	and+the+humiliation+[fem.sg.]

 INPUT STRING:	وعدم
     IS_TRANS:	wEdm
        INDEX:	P46W6
      OFFSETS:	28-32
       TOKENS:	P46W9-P46W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eadam_1]
   UNSPLITVOC:	(wiEadam)
          POS:	CONJ+NOUN
          VOC:	wi+Eadam
        GLOSS:	and+absence of/lack of/not/non-

 INPUT STRING:	وجود
     IS_TRANS:	wjwd
        INDEX:	P46W7
      OFFSETS:	33-37
       TOKENS:	P46W11-P46W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wujuwd_1]
   UNSPLITVOC:	(wujuwd)
          POS:	NOUN
          VOC:	wujuwd
        GLOSS:	presence/existence

 INPUT STRING:	كرامة
     IS_TRANS:	krAmp
        INDEX:	P46W8
      OFFSETS:	38-43
       TOKENS:	P46W12-P46W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[karAmap_1]
   UNSPLITVOC:	(karAmap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	karAm+ap
        GLOSS:	dignity/generosity+[fem.sg.]

 INPUT STRING:	للمصرى
     IS_TRANS:	llmSrY
        INDEX:	P46W9
      OFFSETS:	44-50
       TOKENS:	P46W13-P46W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[maSoriy~_1]
   UNSPLITVOC:	(liAlmaSoriy~)
          POS:	PREP+DET+NOUN
          VOC:	li+Al+maSoriy~
        GLOSS:	to/for+the+Egyptian

 INPUT STRING:	برة
     IS_TRANS:	brp
        INDEX:	P46W10
      OFFSETS:	51-54
       TOKENS:	P46W15-P46W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[bar~ap_1]
   UNSPLITVOC:	(bar~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	bar~+ap
        GLOSS:	outside+[fem.sg.]

 INPUT STRING:	وجوة
     IS_TRANS:	wjwp
        INDEX:	P46W11
      OFFSETS:	55-59
       TOKENS:	P46W16-P46W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[juw~ap_1]
   UNSPLITVOC:	(wjuw~ap)
          POS:	CONJ+NOUN+NSUFF_FEM_SG
          VOC:	w+juw~+ap
        GLOSS:	and+inside+[fem.sg.]

 INPUT STRING:	انهى
     IS_TRANS:	AnhY
        INDEX:	P47W1
      OFFSETS:	0-4
       TOKENS:	P47W1-P47W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>anohiy_1]
   UNSPLITVOC:	(>anohiy)
          POS:	INTERROG_PRON
          VOC:	>anohiy
        GLOSS:	which

 INPUT STRING:	ميدان
     IS_TRANS:	mydAn
        INDEX:	P47W2
      OFFSETS:	5-10
       TOKENS:	P47W2-P47W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miydAn_1]
   UNSPLITVOC:	(miydAn)
          POS:	NOUN
          VOC:	miydAn
        GLOSS:	square

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P47W3
      OFFSETS:	11-15
       TOKENS:	P47W3-P47W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which

 INPUT STRING:	موقف
     IS_TRANS:	mwqf
        INDEX:	P47W4
      OFFSETS:	16-20
       TOKENS:	P47W4-P47W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miwaq~af_1]
   UNSPLITVOC:	(miwaq~af)
          POS:	ADJ
          VOC:	miwaq~af
        GLOSS:	stopping

 INPUT STRING:	حال
     IS_TRANS:	HAl
        INDEX:	P47W5
      OFFSETS:	21-24
       TOKENS:	P47W5-P47W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAl_1]
   UNSPLITVOC:	(HAl)
          POS:	NOUN
          VOC:	HAl
        GLOSS:	situation/condition/case/situations/conditions/cases

 INPUT STRING:	البلد
     IS_TRANS:	Albld
        INDEX:	P47W6
      OFFSETS:	25-30
       TOKENS:	P47W6-P47W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[balad_1]
   UNSPLITVOC:	(Albalad)
          POS:	DET+NOUN
          VOC:	Al+balad
        GLOSS:	the+country/country/countries

 INPUT STRING:	كلها
     IS_TRANS:	klhA
        INDEX:	P47W7
      OFFSETS:	31-35
       TOKENS:	P47W7-P47W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~ahA)
          POS:	NOUN_QUANT+POSS_PRON_3FS
          VOC:	kul~a+hA
        GLOSS:	all+its/their/her

 INPUT STRING:	ومحافظات
     IS_TRANS:	wmHAfZAt
        INDEX:	P47W8
      OFFSETS:	36-44
       TOKENS:	P47W9-P47W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muHAfoZap_1]
   UNSPLITVOC:	(wimuHAfoZAt)
          POS:	CONJ+NOUN+NSUFF_FEM_PL
          VOC:	wi+muHAfoZ+At
        GLOSS:	and+province/governorate+[fem.pl.]

 INPUT STRING:	اخرى
     IS_TRANS:	AxrY
        INDEX:	P47W9
      OFFSETS:	45-49
       TOKENS:	P47W11-P47W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[>uxoraY_1]
   UNSPLITVOC:	(>uxoraY)
          POS:	ADJ
          VOC:	>uxoraY
        GLOSS:	other/another/additional

 INPUT STRING:	شغالة
     IS_TRANS:	$gAlp
        INDEX:	P47W10
      OFFSETS:	50-55
       TOKENS:	P47W12-P47W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ag~Alap_1]
   UNSPLITVOC:	($ag~Alap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	$ag~Al+ap
        GLOSS:	working+[fem.sg.]

 INPUT STRING:	عادى
     IS_TRANS:	EAdY
        INDEX:	P47W11
      OFFSETS:	56-60
       TOKENS:	P47W13-P47W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAdiy_1]
   UNSPLITVOC:	(EAdiy)
          POS:	ADJ
          VOC:	EAdiy
        GLOSS:	ordinary/regular/normal

 INPUT STRING:	وشوارع
     IS_TRANS:	w$wArE
        INDEX:	P47W12
      OFFSETS:	61-67
       TOKENS:	P47W14-P47W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$AriE_1]
   UNSPLITVOC:	(wi$awAriE)
          POS:	CONJ+NOUN
          VOC:	wi+$awAriE
        GLOSS:	and+street/streets

 INPUT STRING:	جنب
     IS_TRANS:	jnb
        INDEX:	P47W13
      OFFSETS:	68-71
       TOKENS:	P47W16-P47W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[janob_1]
   UNSPLITVOC:	(janob)
          POS:	NOUN
          VOC:	janob
        GLOSS:	near

 INPUT STRING:	التحرير
     IS_TRANS:	AltHryr
        INDEX:	P47W14
      OFFSETS:	72-79
       TOKENS:	P47W17-P47W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taHoriyr_1]
   UNSPLITVOC:	(Alt~aHoriyr)
          POS:	DET+NOUN_PROP
          VOC:	Al+taHoriyr
        GLOSS:	the+Tahrir

 INPUT STRING:	شغالة
     IS_TRANS:	$gAlp
        INDEX:	P47W15
      OFFSETS:	80-85
       TOKENS:	P47W18-P47W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ag~Alap_1]
   UNSPLITVOC:	($ag~Alap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	$ag~Al+ap
        GLOSS:	working+[fem.sg.]

 INPUT STRING:	عادى
     IS_TRANS:	EAdY
        INDEX:	P47W16
      OFFSETS:	86-90
       TOKENS:	P47W19-P47W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAdiy_1]
   UNSPLITVOC:	(EAdiy)
          POS:	ADJ
          VOC:	EAdiy
        GLOSS:	ordinary/regular/normal

 INPUT STRING:	برضة
     IS_TRANS:	brDp
        INDEX:	P47W17
      OFFSETS:	91-95
       TOKENS:	P47W20-P47W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baroDuh_1]
   UNSPLITVOC:	(baroDuh)
          POS:	ADV
          VOC:	baroDuh
        GLOSS:	also

 INPUT STRING:	يعنى
     IS_TRANS:	yEnY
        INDEX:	P48W1
      OFFSETS:	0-4
       TOKENS:	P48W1-P48W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
