 INPUT STRING:	صوره
          VOC:	>uxi*+(null)
        GLOSS:	be taken+it

 INPUT STRING:	بالقوه
     IS_TRANS:	bAlqwh
        INDEX:	P54W15
      OFFSETS:	77-83
       TOKENS:	P54W20-P54W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[quw~ap_1]
   UNSPLITVOC:	(biAlquw~ap)
          POS:	PREP+DET+NOUN+NSUFF_FEM_SG
          VOC:	bi+Al+quw~+ap
        GLOSS:	with/by+the+power/strength/force/violence/armed forces/power/forces+[fem.sg.]

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P54W16
      OFFSETS:	84-86
       TOKENS:	P54W22-P54W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	NEG_PART
          VOC:	lA
        GLOSS:	no/not

 INPUT STRING:	يسترد
     IS_TRANS:	ystrd
        INDEX:	P54W17
      OFFSETS:	87-92
       TOKENS:	P54W23-P54W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<istarad_1]
   UNSPLITVOC:	(yustarad)
          POS:	IV3MS+IV_PASS
          VOC:	yu+starad
        GLOSS:	he/it+be returned back

 INPUT STRING:	الا
     IS_TRANS:	AlA
        INDEX:	P54W18
      OFFSETS:	93-96
       TOKENS:	P54W24-P54W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<il~A_1]
   UNSPLITVOC:	(<il~A)
          POS:	RESTRIC_PART
          VOC:	<il~A
        GLOSS:	except for

 INPUT STRING:	بالقوه
     IS_TRANS:	bAlqwh
        INDEX:	P54W19
      OFFSETS:	97-103
       TOKENS:	P54W25-P54W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[quw~ap_1]
   UNSPLITVOC:	(biAlquw~ap)
          POS:	PREP+DET+NOUN+NSUFF_FEM_SG
          VOC:	bi+Al+quw~+ap
        GLOSS:	with/by+the+power/strength/force/violence/armed forces/power/forces+[fem.sg.]

 INPUT STRING:	واحنا
     IS_TRANS:	wAHnA
        INDEX:	P55W1
      OFFSETS:	1-6
       TOKENS:	P55W1-P55W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iHnA_1]
   UNSPLITVOC:	(wi<iHnA)
          POS:	CONJ+PRON_1P
          VOC:	wi+<iHnA
        GLOSS:	and+we

 INPUT STRING:	للاسف
     IS_TRANS:	llAsf
        INDEX:	P55W2
      OFFSETS:	7-12
       TOKENS:	P55W3-P55W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>asaf_1]
   UNSPLITVOC:	(lil>asaf)
          POS:	PREP+DET+NOUN
          VOC:	li+Al+>asaf
        GLOSS:	for/to+the+regret/sorry

 INPUT STRING:	بقينا
     IS_TRANS:	bqynA
        INDEX:	P55W3
      OFFSETS:	13-18
       TOKENS:	P55W5-P55W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[baqaY_1]
   UNSPLITVOC:	(baqiynA)
          POS:	PV+PVSUFF_SUBJ:1P
          VOC:	baqiy+nA
        GLOSS:	become+we

 INPUT STRING:	شعب
     IS_TRANS:	$Eb
        INDEX:	P55W4
      OFFSETS:	19-22
       TOKENS:	P55W6-P55W6
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$aEob_1]
   UNSPLITVOC:	($aEob)
          POS:	NOUN
          VOC:	$aEob
        GLOSS:	people/nation

 INPUT STRING:	ميخوفش
     IS_TRANS:	myxwf$
        INDEX:	P55W5
      OFFSETS:	23-29
       TOKENS:	P55W7-P55W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[xaw~af_1]
   UNSPLITVOC:	(mAyixaw~if$)
          POS:	NEG_PART+IV3MS+IV+NEG_PART
          VOC:	mA+yi+xaw~if+$
        GLOSS:	not+it/he+frighten/alarm+not

 INPUT STRING:	قطه
     IS_TRANS:	qTh
        INDEX:	P55W6
      OFFSETS:	30-33
       TOKENS:	P55W10-P55W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[quT~ap_1]
   UNSPLITVOC:	(quT~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	quT~+ap
        GLOSS:	female cat+[fem.sg.]

 INPUT STRING:	شعب
     IS_TRANS:	$Eb
        INDEX:	P56W1
      OFFSETS:	1-4
       TOKENS:	P56W1-P56W1
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$aEob_1]
   UNSPLITVOC:	($aEob)
          POS:	NOUN
          VOC:	$aEob
        GLOSS:	people/nation

 INPUT STRING:	مضروب
     IS_TRANS:	mDrwb
        INDEX:	P56W2
      OFFSETS:	5-10
       TOKENS:	P56W2-P56W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maDoruwb_1]
   UNSPLITVOC:	(maDoruwb)
          POS:	ADJ
          VOC:	maDoruwb
        GLOSS:	strike/hit

 INPUT STRING:	بالفساد
     IS_TRANS:	bAlfsAd
        INDEX:	P56W3
      OFFSETS:	11-18
       TOKENS:	P56W3-P56W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fasAd_1]
   UNSPLITVOC:	(biAlfasAd)
          POS:	PREP+DET+NOUN
          VOC:	bi+Al+fasAd
        GLOSS:	with/by+the+deterioration/decomposition

 INPUT STRING:	وانعدام
     IS_TRANS:	wAnEdAm
        INDEX:	P56W4
      OFFSETS:	19-26
       TOKENS:	P56W5-P56W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AinoEidAm_1]
   UNSPLITVOC:	(wiAinoEidAm)
          POS:	CONJ+NOUN
          VOC:	wi+AinoEidAm
        GLOSS:	and+absence of/lack of

 INPUT STRING:	الضمير
     IS_TRANS:	AlDmyr
        INDEX:	P56W5
      OFFSETS:	27-33
       TOKENS:	P56W7-P56W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Damiyr_1]
   UNSPLITVOC:	(AlD~amiyr)
          POS:	DET+NOUN
          VOC:	Al+Damiyr
        GLOSS:	the+conscience/pronoun/consciences/pronouns

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P56W6
      OFFSETS:	34-36
       TOKENS:	P56W8-P56W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P56W7
      OFFSETS:	37-39
       TOKENS:	P56W9-P56W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	entire/all

 INPUT STRING:	منطقه
     IS_TRANS:	mnTqh
        INDEX:	P56W8
      OFFSETS:	40-45
       TOKENS:	P56W10-P56W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[manoTiqap_1]
   UNSPLITVOC:	(manoTiqap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	manoTiq+ap
        GLOSS:	area/zone/territory+[fem.sg.]

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P56W9
      OFFSETS:	46-48
       TOKENS:	P56W11-P56W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	جسده
     IS_TRANS:	jsdh
        INDEX:	P56W10
      OFFSETS:	49-53
       TOKENS:	P56W12-P56W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[jasad_1]
   UNSPLITVOC:	(jasadihi)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	jasadi+hi
        GLOSS:	body+its/his

 INPUT STRING:	ولحد
     IS_TRANS:	wlHd
        INDEX:	P57W1
      OFFSETS:	1-5
       TOKENS:	P57W1-P57W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[laHod_1]
   UNSPLITVOC:	(wilaHod)
          POS:	CONJ+NOUN
          VOC:	wi+laHod
        GLOSS:	and+extent/limit/level/border/frontier/limits

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P57W2
      OFFSETS:	6-8
       TOKENS:	P57W3-P57W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	SUB_CONJ
          VOC:	mA
        GLOSS:	that, whether

 INPUT STRING:	كتبت
     IS_TRANS:	ktbt
        INDEX:	P57W3
      OFFSETS:	9-13
       TOKENS:	P57W4-P57W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[katab_1]
   UNSPLITVOC:	(katabt)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	katab+t
        GLOSS:	write+I

 INPUT STRING:	الموضوع
     IS_TRANS:	AlmwDwE
        INDEX:	P57W4
      OFFSETS:	14-21
       TOKENS:	P57W5-P57W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mawDuwE_1]
   UNSPLITVOC:	(AlmawDuwE)
          POS:	DET+NOUN
          VOC:	Al+mawDuwE
        GLOSS:	the+subject/theme/issue

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P57W5
      OFFSETS:	22-24
       TOKENS:	P57W6-P57W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P57W6
      OFFSETS:	25-27
       TOKENS:	P57W7-P57W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	عارف
     IS_TRANS:	EArf
        INDEX:	P57W7
      OFFSETS:	28-32
       TOKENS:	P57W8-P57W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EArif_1]
   UNSPLITVOC:	(EArif)
          POS:	ADJ.VN
          VOC:	EArif
        GLOSS:	knowing/having knowledge of

 INPUT STRING:	اعمل
     IS_TRANS:	AEml
        INDEX:	P57W8
      OFFSETS:	33-37
       TOKENS:	P57W9-P57W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(AaEomil)
          POS:	IV1S+IV
          VOC:	Aa+Eomil
        GLOSS:	I+do

 INPUT STRING:	ايه
     IS_TRANS:	Ayh
        INDEX:	P57W9
      OFFSETS:	38-41
       TOKENS:	P57W10-P57W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iyh_1]
   UNSPLITVOC:	(<iyh)
          POS:	INTERROG_PRON
          VOC:	<iyh
        GLOSS:	what

 INPUT STRING:	وحتى
     IS_TRANS:	wHtY
        INDEX:	P58W1
      OFFSETS:	1-5
       TOKENS:	P58W1-P58W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[HataY_1]
   UNSPLITVOC:	(wiHataY)
          POS:	CONJ+PART
          VOC:	wi+HataY
        GLOSS:	and+even

 INPUT STRING:	الخيال
     IS_TRANS:	AlxyAl
        INDEX:	P58W2
      OFFSETS:	6-12
       TOKENS:	P58W3-P58W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xayAl_1]
   UNSPLITVOC:	(AlxayAl)
          POS:	DET+NOUN
          VOC:	Al+xayAl
        GLOSS:	the+imagination/fantasy

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P58W3
      OFFSETS:	13-17
       TOKENS:	P58W4-P58W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which

 INPUT STRING:	كنت
     IS_TRANS:	knt
        INDEX:	P58W4
      OFFSETS:	18-21
       TOKENS:	P58W5-P58W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kunt)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	kun+t
        GLOSS:	be+I

 INPUT STRING:	بهرب
     IS_TRANS:	bhrb
        INDEX:	P58W5
      OFFSETS:	22-26
       TOKENS:	P58W6-P58W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[harab_1]
   UNSPLITVOC:	(baAahrab)
          POS:	PROG_PART+IV1S+IV
          VOC:	ba+Aa+hrab
        GLOSS:	[present-tense]+I+escape

 INPUT STRING:	اليه
     IS_TRANS:	Alyh
        INDEX:	P58W6
      OFFSETS:	27-31
       TOKENS:	P58W8-P58W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<ilaY_1]
   UNSPLITVOC:	(<iliyh)
          POS:	PREP+PRON_3MS
          VOC:	<iliy+h
        GLOSS:	to/towards+it/him

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P58W7
      OFFSETS:	32-34
       TOKENS:	P58W10-P58W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	الظلم
     IS_TRANS:	AlZlm
        INDEX:	P58W8
      OFFSETS:	35-40
       TOKENS:	P58W11-P58W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Zulom_1]
   UNSPLITVOC:	(AlZ~ulom)
          POS:	DET+NOUN
          VOC:	Al+Zulom
        GLOSS:	the+injustice

 INPUT STRING:	والتعب
     IS_TRANS:	wAltEb
        INDEX:	P58W9
      OFFSETS:	41-47
       TOKENS:	P58W12-P58W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taEab_1]
   UNSPLITVOC:	(wiAltaEab)
          POS:	CONJ+DET+NOUN
          VOC:	wi+Al+taEab
        GLOSS:	and+the+trouble/burden

 INPUT STRING:	حتى
     IS_TRANS:	HtY
        INDEX:	P58W10
      OFFSETS:	48-51
       TOKENS:	P58W14-P58W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hat~aY_1]
   UNSPLITVOC:	(Hat~aY)
          POS:	PART
          VOC:	Hat~aY
        GLOSS:	even

 INPUT STRING:	الخيال
     IS_TRANS:	AlxyAl
        INDEX:	P58W11
      OFFSETS:	52-58
       TOKENS:	P58W15-P58W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xayAl_1]
   UNSPLITVOC:	(AlxayAl)
          POS:	DET+NOUN
          VOC:	Al+xayAl
        GLOSS:	the+imagination/fantasy

 INPUT STRING:	اصبح
     IS_TRANS:	ASbH
        INDEX:	P58W12
      OFFSETS:	59-63
       TOKENS:	P58W16-P58W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aSobaH_1]
   UNSPLITVOC:	(>aSobaH)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	>aSobaH+(null)
        GLOSS:	become/begin/start+he/it

 INPUT STRING:	اسود
     IS_TRANS:	Aswd
        INDEX:	P58W13
      OFFSETS:	64-68
       TOKENS:	P58W17-P58W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>asowad_1]
   UNSPLITVOC:	(>asowad)
          POS:	ADJ
          VOC:	>asowad
        GLOSS:	black

 INPUT STRING:	ومظلم
     IS_TRANS:	wmZlm
        INDEX:	P58W14
      OFFSETS:	69-74
       TOKENS:	P58W18-P58W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muZolim_1]
   UNSPLITVOC:	(wimuZolim)
          POS:	CONJ+ADJ
          VOC:	wi+muZolim
        GLOSS:	and+dark/gloomy

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P59W1
      OFFSETS:	1-3
       TOKENS:	P59W1-P59W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	الوقت
     IS_TRANS:	Alwqt
        INDEX:	P59W2
      OFFSETS:	4-9
       TOKENS:	P59W2-P59W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waqot_1]
   UNSPLITVOC:	(Alwaqot)
          POS:	DET+NOUN
          VOC:	Al+waqot
        GLOSS:	the+moments/times

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P59W3
      OFFSETS:	10-12
       TOKENS:	P59W3-P59W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	مبقاش
     IS_TRANS:	mbqA$
        INDEX:	P59W4
      OFFSETS:	13-18
       TOKENS:	P59W4-P59W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baqaY_1]
   UNSPLITVOC:	(mA_baqA$)
          POS:	NEG_PART+PV+PVSUFF_SUBJ:3MS+NEG_PART
          VOC:	mA+baqA+(null)+$
        GLOSS:	not+become+he/it+not

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P59W5
      OFFSETS:	19-21
       TOKENS:	P59W7-P59W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	دماغى
     IS_TRANS:	dmAgY
        INDEX:	P59W6
      OFFSETS:	22-27
       TOKENS:	P59W8-P59W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dimAg_1]
   UNSPLITVOC:	(dimAgiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	dimAg+iy
        GLOSS:	brain+my

 INPUT STRING:	غير
     IS_TRANS:	gyr
        INDEX:	P59W7
      OFFSETS:	28-31
       TOKENS:	P59W10-P59W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[giyr_1]
   UNSPLITVOC:	(giyr)
          POS:	NOUN
          VOC:	giyr
        GLOSS:	not/other

 INPUT STRING:	كلمه
     IS_TRANS:	klmh
        INDEX:	P59W8
      OFFSETS:	32-36
       TOKENS:	P59W11-P59W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kilomap_1]
   UNSPLITVOC:	(kilomap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	kilom+ap
        GLOSS:	word/remark/speech+[fem.sg.]

 INPUT STRING:	واحده
     IS_TRANS:	wAHdh
        INDEX:	P59W9
      OFFSETS:	37-42
       TOKENS:	P59W12-P59W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wAHodap_1]
   UNSPLITVOC:	(wAHodap)
          POS:	NOUN_NUM+NSUFF_FEM_SG
          VOC:	wAHod+ap
        GLOSS:	one+[fem.sg.]

 INPUT STRING:	هى
     IS_TRANS:	hY
        INDEX:	P59W10
      OFFSETS:	43-45
       TOKENS:	P59W13-P59W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hiy~a_1]
   UNSPLITVOC:	(hiy~a)
          POS:	PRON_3FS
          VOC:	hiy~a
        GLOSS:	she

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P59W11
      OFFSETS:	46-50
       TOKENS:	P59W14-P59W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which

 INPUT STRING:	لسه
     IS_TRANS:	lsh
        INDEX:	P59W12
      OFFSETS:	51-54
       TOKENS:	P59W15-P59W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lis~ah_1]
   UNSPLITVOC:	(lis~ah)
          POS:	ADV
          VOC:	lis~ah
        GLOSS:	still

 INPUT STRING:	بيتمد
     IS_TRANS:	bytmd
        INDEX:	P59W13
      OFFSETS:	55-60
       TOKENS:	P59W16-P59W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aitomad~_1]
   UNSPLITVOC:	(biyitomad~)
          POS:	PROG_PART+IV3MS+IV
          VOC:	bi+yi+tomad~
        GLOSS:	[present-tense]+he/it+extract

 INPUT STRING:	منها
     IS_TRANS:	mnhA
        INDEX:	P59W14
      OFFSETS:	61-65
       TOKENS:	P59W18-P59W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(minhA)
          POS:	PREP+PRON_3FS
          VOC:	min+hA
        GLOSS:	from+her

 INPUT STRING:	قوتى
     IS_TRANS:	qwtY
        INDEX:	P59W15
      OFFSETS:	66-70
       TOKENS:	P59W20-P59W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[quw~ap_1]
   UNSPLITVOC:	(quw~aptiy)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_1S
          VOC:	quw~+ap+tiy
        GLOSS:	power+[fem.sg.]+my

 INPUT STRING:	كلمه
     IS_TRANS:	klmh
        INDEX:	P60W1
      OFFSETS:	2-6
       TOKENS:	P60W1-P60W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kilomap_1]
   UNSPLITVOC:	(kilomap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	kilom+ap
        GLOSS:	word/remark/speech+[fem.sg.]

 INPUT STRING:	هى
     IS_TRANS:	hY
        INDEX:	P60W2
      OFFSETS:	7-9
       TOKENS:	P60W2-P60W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hiy~a_1]
   UNSPLITVOC:	(hiy~a)
          POS:	PRON_3FS
          VOC:	hiy~a
        GLOSS:	she

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P60W3
      OFFSETS:	10-14
       TOKENS:	P60W3-P60W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which

 INPUT STRING:	مخليه
     IS_TRANS:	mxlyh
        INDEX:	P60W4
      OFFSETS:	15-20
       TOKENS:	P60W4-P60W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mixaliy_1]
   UNSPLITVOC:	(mxaliy~ap)
          POS:	ADJ.VN+NSUFF_FEM_SG
          VOC:	mxaliy~+ap
        GLOSS:	keeping/leaving+[fem.sg.]

 INPUT STRING:	لسه
     IS_TRANS:	lsh
        INDEX:	P60W5
      OFFSETS:	21-24
       TOKENS:	P60W5-P60W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lis~ah_1]
   UNSPLITVOC:	(lis~ah)
          POS:	ADV
          VOC:	lis~ah
        GLOSS:	still

 INPUT STRING:	جوايا
     IS_TRANS:	jwAyA
        INDEX:	P60W6
      OFFSETS:	25-30
       TOKENS:	P60W6-P60W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[juw~ah_1]
   UNSPLITVOC:	(juw~AyA)
