 INPUT STRING:	العلمـــــــانيه
        INDEX:	P32W11
      OFFSETS:	60-71
       TOKENS:	P32W14-P32W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[barolamAniy~ap_1]
   UNSPLITVOC:	(wiAlbarolamAniy~ap)
          POS:	CONJ+DET+NOUN+NSUFF_FEM_SG
          VOC:	wi+Al+barolamAniy~+ap
        GLOSS:	and+the+parliamentarism+[fem.sg.]

 INPUT STRING:	احنا
     IS_TRANS:	AHnA
        INDEX:	P33W1
      OFFSETS:	0-4
       TOKENS:	P33W1-P33W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiHonA_1]
   UNSPLITVOC:	(AiHonA)
          POS:	PRON_1P
          VOC:	AiHonA
        GLOSS:	we

 INPUT STRING:	مجربناش
     IS_TRANS:	mjrbnA$
        INDEX:	P33W2
      OFFSETS:	5-12
       TOKENS:	P33W2-P33W2
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(mjrbnA$)
          POS:	NO_FUNC
          VOC:	mjrbnA$
        GLOSS:	nogloss

 INPUT STRING:	غير
     IS_TRANS:	gyr
        INDEX:	P33W3
      OFFSETS:	13-16
       TOKENS:	P33W3-P33W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[giyr_1]
   UNSPLITVOC:	(giyr)
          POS:	NOUN
          VOC:	giyr
        GLOSS:	not/other

 INPUT STRING:	الملوخية
     IS_TRANS:	Almlwxyp
        INDEX:	P33W4
      OFFSETS:	17-25
       TOKENS:	P33W4-P33W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[muluwxiy~ap_1]
   UNSPLITVOC:	(Almuluwxiy~ap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+muluwxiy~+ap
        GLOSS:	the+molokhiyya (traditional Egyptian soup made of a spinach-green nettle-like plant)+[fem.sg.]

 INPUT STRING:	وكانت
     IS_TRANS:	wkAnt
        INDEX:	P34W1
      OFFSETS:	0-5
       TOKENS:	P34W1-P34W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(wikAnit)
          POS:	CONJ+PV+PVSUFF_SUBJ:3FS
          VOC:	wi+kAn+it
        GLOSS:	and+be+it/they/she

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P34W2
      OFFSETS:	6-8
       TOKENS:	P34W3-P34W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	غير
     IS_TRANS:	gyr
        INDEX:	P34W3
      OFFSETS:	9-12
       TOKENS:	P34W4-P34W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[giyr_1]
   UNSPLITVOC:	(giyr)
          POS:	NOUN
          VOC:	giyr
        GLOSS:	not/other

 INPUT STRING:	ارانب
     IS_TRANS:	ArAnb
        INDEX:	P34W4
      OFFSETS:	13-18
       TOKENS:	P34W5-P34W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>aronab_1]
   UNSPLITVOC:	(>arAnib)
          POS:	NOUN
          VOC:	>arAnib
        GLOSS:	rabbits

 INPUT STRING:	كمان
     IS_TRANS:	kmAn
        INDEX:	P34W5
      OFFSETS:	19-23
       TOKENS:	P34W6-P34W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kamAn_1]
   UNSPLITVOC:	(kamAn)
          POS:	ADV
          VOC:	kamAn
        GLOSS:	also/too

 INPUT STRING:	أظن
     IS_TRANS:	>Zn
        INDEX:	P35W1
      OFFSETS:	0-3
       TOKENS:	P35W1-P35W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Zan~_1]
   UNSPLITVOC:	(AaZun~)
          POS:	IV1S+IV
          VOC:	Aa+Zun~
        GLOSS:	I+think

 INPUT STRING:	الفرصة
     IS_TRANS:	AlfrSp
        INDEX:	P35W2
      OFFSETS:	4-10
       TOKENS:	P35W2-P35W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[furoSap_1]
   UNSPLITVOC:	(AlfuroSap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+furoS+ap
        GLOSS:	the+opportunity/chance/opportunities/chances+[fem.sg.]

 INPUT STRING:	بقت
     IS_TRANS:	bqt
        INDEX:	P35W3
      OFFSETS:	11-14
       TOKENS:	P35W3-P35W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baqaY_1]
   UNSPLITVOC:	(baqit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	baq+it
        GLOSS:	become+it/they/she

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P35W4
      OFFSETS:	15-17
       TOKENS:	P35W4-P35W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	ايديهم
     IS_TRANS:	Aydyhm
        INDEX:	P35W5
      OFFSETS:	18-24
       TOKENS:	P35W5-P35W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iyd_1]
   UNSPLITVOC:	(Aiydiyhum)
          POS:	NOUN+POSS_PRON_3P
          VOC:	Aiydiy+hum
        GLOSS:	hands+their

 INPUT STRING:	المفروض
     IS_TRANS:	AlmfrwD
        INDEX:	P36W1
      OFFSETS:	0-7
       TOKENS:	P36W1-P36W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maforuwD_1]
   UNSPLITVOC:	(AlmaforuwD)
          POS:	DET+NOUN
          VOC:	Al+maforuwD
        GLOSS:	the+obligation/duty

 INPUT STRING:	دلوقتى
     IS_TRANS:	dlwqtY
        INDEX:	P36W2
      OFFSETS:	8-14
       TOKENS:	P36W2-P36W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dilowaqotiy_1]
   UNSPLITVOC:	(dilowaqotiy)
          POS:	ADV
          VOC:	dilowaqotiy
        GLOSS:	now

 INPUT STRING:	يثبتوا
     IS_TRANS:	yvbtwA
        INDEX:	P36W3
      OFFSETS:	15-21
       TOKENS:	P36W3-P36W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vabat_1]
   UNSPLITVOC:	(yivobituwA)
          POS:	IV3P+IV+IVSUFF_SUBJ:P
          VOC:	yi+vobit+uwA
        GLOSS:	they+confirm/reinforce/be confirmed/be reinforced+we

 INPUT STRING:	قدام
     IS_TRANS:	qdAm
        INDEX:	P36W4
      OFFSETS:	22-26
       TOKENS:	P36W4-P36W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qud~Am_1]
   UNSPLITVOC:	(qud~Am)
          POS:	NOUN
          VOC:	qud~Am
        GLOSS:	front/in front of

 INPUT STRING:	العالم
     IS_TRANS:	AlEAlm
        INDEX:	P36W5
      OFFSETS:	27-33
       TOKENS:	P36W5-P36W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAlam_1]
   UNSPLITVOC:	(AlEAlam)
          POS:	DET+NOUN
          VOC:	Al+EAlam
        GLOSS:	the+world/worlds

 INPUT STRING:	كله
     IS_TRANS:	klh
        INDEX:	P36W6
      OFFSETS:	34-37
       TOKENS:	P36W6-P36W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~uh)
          POS:	NOUN_QUANT+POSS_PRON_3MS
          VOC:	kul~+uh
        GLOSS:	all/entire/every/whole+his/its

 INPUT STRING:	انهم
     IS_TRANS:	Anhm
        INDEX:	P37W1
      OFFSETS:	0-4
       TOKENS:	P37W1-P37W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~uhum)
          POS:	SUB_CONJ+PRON_3P
          VOC:	<in~+hum
        GLOSS:	Gloss:TBA+gloss

 INPUT STRING:	كانوا
     IS_TRANS:	kAnwA
        INDEX:	P37W2
      OFFSETS:	5-10
       TOKENS:	P37W3-P37W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAnuwA)
          POS:	PV+PVSUFF_SUBJ:3P
          VOC:	kAn+uwA
        GLOSS:	be+they

 INPUT STRING:	الأحق
     IS_TRANS:	Al>Hq
        INDEX:	P37W3
      OFFSETS:	11-16
       TOKENS:	P37W4-P37W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aHaq~_1]
   UNSPLITVOC:	(Al>aHaq~)
          POS:	DET+ADJ_COMP
          VOC:	Al+>aHaq~
        GLOSS:	the+worthier, worthiest/more, most right

 INPUT STRING:	بالفرصه
     IS_TRANS:	bAlfrSh
        INDEX:	P37W4
      OFFSETS:	17-24
       TOKENS:	P37W5-P37W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[furoSap_1]
   UNSPLITVOC:	(biAlfuroSap)
          POS:	PREP+DET+NOUN+NSUFF_FEM_SG
          VOC:	bi+Al+furoS+ap
        GLOSS:	with/by+the+opportunity/chance/opportunities/chances+[fem.sg.]

 INPUT STRING:	دى
     IS_TRANS:	dY
        INDEX:	P37W5
      OFFSETS:	25-27
       TOKENS:	P37W7-P37W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diy_1]
   UNSPLITVOC:	(diy)
          POS:	DEM_PRON_FS
          VOC:	diy
        GLOSS:	this [fem.sg.]

 INPUT STRING:	وميخذلوش
     IS_TRANS:	wmyx*lw$
        INDEX:	P38W1
      OFFSETS:	0-8
       TOKENS:	P38W1-P38W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[xa*al_1]
   UNSPLITVOC:	(wimAyix*iluwA$)
          POS:	CONJ+NEG_PART+IV3P+IV+IVSUFF_SUBJ:P+NEG_PART
          VOC:	wi+mA+yi+x*il+uwA+$
        GLOSS:	and+not+they+let down+they+not

 INPUT STRING:	الشعب
     IS_TRANS:	Al$Eb
        INDEX:	P38W2
      OFFSETS:	9-14
       TOKENS:	P38W5-P38W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$aEob_1]
   UNSPLITVOC:	(Al$~aEob)
          POS:	DET+NOUN
          VOC:	Al+$aEob
        GLOSS:	the+people/nation/peoples/nations

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P38W3
      OFFSETS:	15-19
       TOKENS:	P38W6-P38W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who/which

 INPUT STRING:	وثق
     IS_TRANS:	wvq
        INDEX:	P38W4
      OFFSETS:	20-23
       TOKENS:	P38W7-P38W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[wiviq_1]
   UNSPLITVOC:	(wiviq)
          POS:	PV+PVSUFF_SUBJ:3P
          VOC:	wiviq+(null)
        GLOSS:	trust+they

 INPUT STRING:	فيهم
     IS_TRANS:	fyhm
        INDEX:	P38W5
      OFFSETS:	24-28
       TOKENS:	P38W8-P38W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyhum)
          POS:	PREP+PRON_3P
          VOC:	fiy+hum
        GLOSS:	in+they

 INPUT STRING:	وكلام
     IS_TRANS:	wklAm
        INDEX:	P39W1
      OFFSETS:	0-5
       TOKENS:	P39W1-P39W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kalAm_1]
   UNSPLITVOC:	(wikalAm)
          POS:	CONJ+NOUN
          VOC:	wi+kalAm
        GLOSS:	and+speech/statement/remark/talk/saying

 INPUT STRING:	حضرتك
     IS_TRANS:	HDrtk
        INDEX:	P39W2
      OFFSETS:	6-11
       TOKENS:	P39W3-P39W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HaDorap_1]
   UNSPLITVOC:	(HaDoritak)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_2MS
          VOC:	HaDor+ap+ak
        GLOSS:	presence/eminent/honorable+[fem.sg.]+your

 INPUT STRING:	مظبوط
     IS_TRANS:	mZbwT
        INDEX:	P39W3
      OFFSETS:	12-17
       TOKENS:	P39W5-P39W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maZobuwT_1]
   UNSPLITVOC:	(maZobuwT)
          POS:	ADJ
          VOC:	maZobuwT
        GLOSS:	exact

 INPUT STRING:	جدا
     IS_TRANS:	jdA
        INDEX:	P39W4
      OFFSETS:	18-21
       TOKENS:	P39W6-P39W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jid~_1]
   UNSPLITVOC:	(jid~AF)
          POS:	ADJ+CASE_INDEF_ACC
          VOC:	jid~+AF
        GLOSS:	very much+[acc.indef.]

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P40W1
      OFFSETS:	0-2
       TOKENS:	P40W1-P40W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bas~_1]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	للأسف
     IS_TRANS:	ll>sf
        INDEX:	P40W2
      OFFSETS:	3-8
       TOKENS:	P40W2-P40W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>asaf_1]
   UNSPLITVOC:	(lil>asaf)
          POS:	PREP+DET+NOUN
          VOC:	li+Al+>asaf
        GLOSS:	for/to+the+regret/sorry

 INPUT STRING:	احنا
     IS_TRANS:	AHnA
        INDEX:	P40W3
      OFFSETS:	9-13
       TOKENS:	P40W4-P40W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiHonA_1]
   UNSPLITVOC:	(AiHonA)
          POS:	PRON_1P
          VOC:	AiHonA
        GLOSS:	we

 INPUT STRING:	شعب
     IS_TRANS:	$Eb
        INDEX:	P40W4
      OFFSETS:	14-17
       TOKENS:	P40W5-P40W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$aEob_1]
   UNSPLITVOC:	($aEob)
          POS:	NOUN
          VOC:	$aEob
        GLOSS:	people/nation/peoples/nations

 INPUT STRING:	بقاله
     IS_TRANS:	bqAlh
        INDEX:	P40W5
      OFFSETS:	18-23
       TOKENS:	P40W6-P40W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[baqaY_1]
   UNSPLITVOC:	(baqA_luh)
          POS:	PV+PVSUFF_SUBJ:3MS+PREP+PRON_3MS
          VOC:	baqA+(null)+li+uh
        GLOSS:	remain+he/it+to/for+him

 INPUT STRING:	30
     IS_TRANS:	30
        INDEX:	P40W6
      OFFSETS:	24-26
       TOKENS:	P40W9-P40W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(30)
          POS:	NOUN_NUM
          VOC:	30
        GLOSS:	30

 INPUT STRING:	سنه
     IS_TRANS:	snh
        INDEX:	P40W7
      OFFSETS:	27-30
       TOKENS:	P40W10-P40W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sanap_1]
   UNSPLITVOC:	(sanap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	san+ap
        GLOSS:	year/years+[fem.sg.]

 INPUT STRING:	بيتعمله
     IS_TRANS:	bytEmlh
        INDEX:	P40W8
      OFFSETS:	31-38
       TOKENS:	P40W11-P40W11
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(bytEmlh)
          POS:	NO_FUNC
          VOC:	bytEmlh
        GLOSS:	nogloss

 INPUT STRING:	غسيل
     IS_TRANS:	gsyl
        INDEX:	P40W9
      OFFSETS:	39-43
       TOKENS:	P40W12-P40W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[gasiyl_1]
   UNSPLITVOC:	(gasiyl)
          POS:	NOUN
          VOC:	gasiyl
        GLOSS:	clothes/wash/washing

 INPUT STRING:	مخ
     IS_TRANS:	mx
        INDEX:	P40W10
      OFFSETS:	44-46
       TOKENS:	P40W13-P40W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mux~_1]
   UNSPLITVOC:	(mux~)
          POS:	NOUN
          VOC:	mux~
        GLOSS:	brain

 INPUT STRING:	لما
     IS_TRANS:	lmA
        INDEX:	P41W1
      OFFSETS:	0-3
       TOKENS:	P41W1-P41W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lam~A_1]
   UNSPLITVOC:	(lam~A)
          POS:	SUB_CONJ
          VOC:	lam~A
        GLOSS:	as, when

 INPUT STRING:	يبقى
     IS_TRANS:	ybqY
        INDEX:	P41W2
      OFFSETS:	4-8
       TOKENS:	P41W2-P41W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baqaY_1]
   UNSPLITVOC:	(yiboqaY)
          POS:	IV3MS+IV
          VOC:	yi+boqaY
        GLOSS:	he/it+become/remain

 INPUT STRING:	اعلامنا
     IS_TRANS:	AElAmnA
        INDEX:	P41W3
      OFFSETS:	9-16
       TOKENS:	P41W3-P41W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<iEolAm_1]
   UNSPLITVOC:	(<iEolAmnA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	<iEolAm+nA
        GLOSS:	information/media+our

 INPUT STRING:	بقاله
     IS_TRANS:	bqAlh
        INDEX:	P41W4
      OFFSETS:	17-22
       TOKENS:	P41W5-P41W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[baqaY_1]
   UNSPLITVOC:	(baqA_luh)
          POS:	PV+PVSUFF_SUBJ:3MS+PREP+PRON_3MS
          VOC:	baqA+(null)+li+uh
        GLOSS:	remain+he/it+to/for+him

 INPUT STRING:	30
     IS_TRANS:	30
        INDEX:	P41W5
      OFFSETS:	23-25
       TOKENS:	P41W8-P41W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(30)
          POS:	NOUN_NUM
          VOC:	30
        GLOSS:	30

 INPUT STRING:	سنه
     IS_TRANS:	snh
        INDEX:	P41W6
      OFFSETS:	26-29
       TOKENS:	P41W9-P41W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sanap_1]
   UNSPLITVOC:	(sanap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	san+ap
        GLOSS:	year/years+[fem.sg.]

 INPUT STRING:	او
     IS_TRANS:	Aw
        INDEX:	P41W7
      OFFSETS:	30-32
       TOKENS:	P41W10-P41W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aw_1]
   UNSPLITVOC:	(Aw)
          POS:	CONJ
          VOC:	Aw
        GLOSS:	or

 INPUT STRING:	أكتر
     IS_TRANS:	>ktr
        INDEX:	P41W8
      OFFSETS:	33-37
       TOKENS:	P41W11-P41W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>akotar_1]
   UNSPLITVOC:	(>akotar)
          POS:	ADJ_COMP
          VOC:	>akotar
        GLOSS:	more/most

 INPUT STRING:	مفهوش
     IS_TRANS:	mfhw$
        INDEX:	P41W9
      OFFSETS:	38-43
       TOKENS:	P41W12-P41W12
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(mfhw$)
          POS:	NO_FUNC
          VOC:	mfhw$
        GLOSS:	nogloss

 INPUT STRING:	مذيعه
     IS_TRANS:	m*yEh
        INDEX:	P41W10
      OFFSETS:	44-49
       TOKENS:	P41W13-P41W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mu*iyE_1]
   UNSPLITVOC:	(mu*iyEap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	mu*iyE+ap
        GLOSS:	broadcaster/transmitter/announcer+[fem.sg.]

 INPUT STRING:	محجبه
     IS_TRANS:	mHjbh
        INDEX:	P41W11
      OFFSETS:	50-55
       TOKENS:	P41W14-P41W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muHaj~ab_1]
   UNSPLITVOC:	(muHaj~abap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	muHaj~ab+ap
        GLOSS:	veiled+[fem.sg.]

 INPUT STRING:	أو
     IS_TRANS:	>w
        INDEX:	P41W12
      OFFSETS:	56-58
       TOKENS:	P41W15-P41W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aw_1]
   UNSPLITVOC:	(>aw)
          POS:	CONJ
          VOC:	>aw
        GLOSS:	or

 INPUT STRING:	مذيع
     IS_TRANS:	m*yE
        INDEX:	P41W13
      OFFSETS:	59-63
       TOKENS:	P41W16-P41W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mu*iyE_1]
   UNSPLITVOC:	(mu*iyE)
          POS:	NOUN
          VOC:	mu*iyE
        GLOSS:	broadcaster/transmitter/announcer

 INPUT STRING:	ملتزم
     IS_TRANS:	mltzm
        INDEX:	P41W14
      OFFSETS:	64-69
       TOKENS:	P41W17-P41W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mulotazim_1]
   UNSPLITVOC:	(mulotazim)
          POS:	ADJ
          VOC:	mulotazim
        GLOSS:	committed/involved

 INPUT STRING:	الأفلام
     IS_TRANS:	Al>flAm
        INDEX:	P42W1
      OFFSETS:	0-7
       TOKENS:	P42W1-P42W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[fiylm_1]
   UNSPLITVOC:	(Al>afolAm)
          POS:	DET+NOUN
          VOC:	Al+>afolAm
        GLOSS:	the+film/movie/films/movies

 INPUT STRING:	وامسلسلات
     IS_TRANS:	wAmslslAt
        INDEX:	P42W2
      OFFSETS:	8-17
       TOKENS:	P42W2-P42W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(wAmslslAt)
          POS:	TYPO
          VOC:	wAmslslAt
        GLOSS:	nogloss

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P42W3
      OFFSETS:	18-22
       TOKENS:	P42W3-P42W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who/which

 INPUT STRING:	مشوهه
     IS_TRANS:	m$whh
        INDEX:	P42W4
      OFFSETS:	23-28
       TOKENS:	P42W4-P42W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mu$aw~ah_1]
   UNSPLITVOC:	(mu$aw~ahap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	mu$aw~ah+ap
        GLOSS:	distorting/deforming+[fem.sg.]

 INPUT STRING:	صورة
     IS_TRANS:	Swrp
        INDEX:	P42W5
      OFFSETS:	29-33
       TOKENS:	P42W5-P42W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Suwrap_1]
   UNSPLITVOC:	(Suwrap)
          POS:	NOUN+NSUFF_FEM_SG
