 INPUT STRING:	الاختلاف
        LEMMA:	None
   UNSPLITVOC:	(yEnY)
          POS:	NO_FUNC
          VOC:	yEnY
        GLOSS:	nogloss

 INPUT STRING:	لو
     IS_TRANS:	lw
        INDEX:	P47W2
      OFFSETS:	5-7
       TOKENS:	P47W2-P47W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[law_1]
   UNSPLITVOC:	(law)
          POS:	SUB_CONJ
          VOC:	law
        GLOSS:	if

 INPUT STRING:	مشيوا
     IS_TRANS:	m$ywA
        INDEX:	P47W3
      OFFSETS:	8-13
       TOKENS:	P47W3-P47W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$iy_1]
   UNSPLITVOC:	(mi$oyuwA)
          POS:	PV+PVSUFF_SUBJ:3P
          VOC:	mi$oy+uwA
        GLOSS:	walk+they

 INPUT STRING:	الفترة
     IS_TRANS:	Alftrp
        INDEX:	P47W4
      OFFSETS:	14-20
       TOKENS:	P47W4-P47W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fatorap_1]
   UNSPLITVOC:	(Alfatorap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+fator+ap
        GLOSS:	the+phase/time period/interval/phases/time periods/intervals+[fem.sg.]

 INPUT STRING:	دى
     IS_TRANS:	dY
        INDEX:	P47W5
      OFFSETS:	21-23
       TOKENS:	P47W5-P47W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diy_1]
   UNSPLITVOC:	(diy)
          POS:	DEM_PRON_FS
          VOC:	diy
        GLOSS:	Gloss:TBA

 INPUT STRING:	منظمات
     IS_TRANS:	mnZmAt
        INDEX:	P47W6
      OFFSETS:	24-30
       TOKENS:	P47W6-P47W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[munaZ~amap_1]
   UNSPLITVOC:	(munaZ~amAt)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	munaZ~am+At
        GLOSS:	organization+[fem.pl.]

 INPUT STRING:	المجتمع
     IS_TRANS:	AlmjtmE
        INDEX:	P47W7
      OFFSETS:	31-38
       TOKENS:	P47W7-P47W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mijotimiE_1]
   UNSPLITVOC:	(AlmijotimiE)
          POS:	DET+NOUN
          VOC:	Al+mijotimiE
        GLOSS:	the+community

 INPUT STRING:	المدنى
     IS_TRANS:	AlmdnY
        INDEX:	P47W8
      OFFSETS:	39-45
       TOKENS:	P47W8-P47W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[midan~iy_1]
   UNSPLITVOC:	(Almidan~iy)
          POS:	DET+ADJ
          VOC:	Al+midan~iy
        GLOSS:	the+civilian

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P47W9
      OFFSETS:	46-50
       TOKENS:	P47W9-P47W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	Gloss:TBA

 INPUT STRING:	امريكا
     IS_TRANS:	AmrykA
        INDEX:	P47W10
      OFFSETS:	51-57
       TOKENS:	P47W10-P47W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amoriykA_1]
   UNSPLITVOC:	(>amoriykA)
          POS:	NOUN_PROP
          VOC:	>amoriykA
        GLOSS:	America

 INPUT STRING:	محرماها
     IS_TRANS:	mHrmAhA
        INDEX:	P47W11
      OFFSETS:	58-65
       TOKENS:	P47W11-P47W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miHar~am_1]
   UNSPLITVOC:	(miHar~amAhA)
          POS:	ADJ+NSUFF_FEM_SG+PRON_3FS
          VOC:	miHar~am+ap+hA
        GLOSS:	forbiding+[fem.sg.]+it/them/her

 INPUT STRING:	عندها
     IS_TRANS:	EndhA
        INDEX:	P47W12
      OFFSETS:	66-71
       TOKENS:	P47W13-P47W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eanod_1]
   UNSPLITVOC:	(EanodahA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	Eanod+hA
        GLOSS:	with/at+its/their/her

 INPUT STRING:	نهاائيا
     IS_TRANS:	nhAA}yA
        INDEX:	P47W13
      OFFSETS:	72-79
       TOKENS:	P47W15-P47W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[nihA}iy_1]
   UNSPLITVOC:	(nihA}iyAF)
          POS:	ADJ+CASE_INDEF_ACC
          VOC:	nihA}iy+AF
        GLOSS:	finally+[acc.indef.]

 INPUT STRING:	اى
     IS_TRANS:	AY
        INDEX:	P47W14
      OFFSETS:	80-82
       TOKENS:	P47W16-P47W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aay~_1]
   UNSPLITVOC:	(>ay~)
          POS:	NOUN_QUANT
          VOC:	>ay~
        GLOSS:	any

 INPUT STRING:	منظمة
     IS_TRANS:	mnZmp
        INDEX:	P47W15
      OFFSETS:	83-88
       TOKENS:	P47W17-P47W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[munaZ~amap_1]
   UNSPLITVOC:	(munaZ~amap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	munaZ~am+ap
        GLOSS:	organization+[fem.sg.]

 INPUT STRING:	اجنبية
     IS_TRANS:	Ajnbyp
        INDEX:	P47W16
      OFFSETS:	89-95
       TOKENS:	P47W18-P47W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aajonabiy~ap_1]
   UNSPLITVOC:	(Ajonabiy~ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	Ajonabiy~+ap
        GLOSS:	foreign+[fem.sg.]

 INPUT STRING:	تبقي
     IS_TRANS:	tbqy
        INDEX:	P47W17
      OFFSETS:	96-100
       TOKENS:	P47W19-P47W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[baqaY_2]
   UNSPLITVOC:	(tiboqaY)
          POS:	IV3FS+IV
          VOC:	ti+boqaY
        GLOSS:	it/they/she+become

 INPUT STRING:	عملتلها
     IS_TRANS:	EmltlhA
        INDEX:	P47W18
      OFFSETS:	101-108
       TOKENS:	P47W20-P47W20
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(EmltlhA)
          POS:	NO_FUNC
          VOC:	EmltlhA
        GLOSS:	nogloss

 INPUT STRING:	ارهاب
     IS_TRANS:	ArhAb
        INDEX:	P47W19
      OFFSETS:	109-114
       TOKENS:	P47W21-P47W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<irohAb_1]
   UNSPLITVOC:	(<irohAb)
          POS:	NOUN
          VOC:	<irohAb
        GLOSS:	terror

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P47W20
      OFFSETS:	115-117
       TOKENS:	P47W22-P47W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O, oh

 INPUT STRING:	مامى
     IS_TRANS:	mAmY
        INDEX:	P47W21
      OFFSETS:	118-122
       TOKENS:	P47W23-P47W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mAmA_1]
   UNSPLITVOC:	(mAmiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	mAm+iy
        GLOSS:	mama+my

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P47W22
      OFFSETS:	123-124
       TOKENS:	P47W25-P47W25
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(w)
          POS:	TYPO
          VOC:	w
        GLOSS:	nogloss

 INPUT STRING:	تبطشها
     IS_TRANS:	tbT$hA
        INDEX:	P47W23
      OFFSETS:	125-131
       TOKENS:	P47W26-P47W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[baTa$_1]
   UNSPLITVOC:	(tibTi$hA)
          POS:	IV3FS+IV+IVSUFF_DO:3FS
          VOC:	ti+bTi$+hA
        GLOSS:	she/it/they+attack/strike/lunge+her/it

 INPUT STRING:	كانت
     IS_TRANS:	kAnt
        INDEX:	P47W24
      OFFSETS:	132-136
       TOKENS:	P47W28-P47W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAnit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	kAn+it
        GLOSS:	be+it/they/she

 INPUT STRING:	اشتغلت
     IS_TRANS:	A$tglt
        INDEX:	P47W25
      OFFSETS:	137-143
       TOKENS:	P47W29-P47W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ai$otagal_1]
   UNSPLITVOC:	(Ai$otagalit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	Ai$otagal+it
        GLOSS:	work+it/they/she

 INPUT STRING:	صح
     IS_TRANS:	SH
        INDEX:	P47W26
      OFFSETS:	144-146
       TOKENS:	P47W30-P47W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SaH~_1]
   UNSPLITVOC:	(SaH~)
          POS:	ADJ
          VOC:	SaH~
        GLOSS:	right/correct

 INPUT STRING:	بقه
     IS_TRANS:	bqh
        INDEX:	P47W27
      OFFSETS:	147-150
       TOKENS:	P47W31-P47W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[baqaY_1]
   UNSPLITVOC:	(baqaY)
          POS:	ADV
          VOC:	baqaY
        GLOSS:	then

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P47W28
      OFFSETS:	151-152
       TOKENS:	P47W32-P47W32
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(w)
          POS:	TYPO
          VOC:	w
        GLOSS:	nogloss

 INPUT STRING:	كملت
     IS_TRANS:	kmlt
        INDEX:	P47W29
      OFFSETS:	153-157
       TOKENS:	P47W33-P47W33
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kam~il_1]
   UNSPLITVOC:	(kam~ilit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	kam~il+it
        GLOSS:	complet+it/they/she

 INPUT STRING:	المسيرة
     IS_TRANS:	Almsyrp
        INDEX:	P47W30
      OFFSETS:	158-165
       TOKENS:	P47W34-P47W34
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[masiyrap_1]
   UNSPLITVOC:	(Almasiyrap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+masiyr+ap
        GLOSS:	the+march/parade+[fem.sg.]

 INPUT STRING:	لافساد
     IS_TRANS:	lAfsAd
        INDEX:	P47W31
      OFFSETS:	166-172
       TOKENS:	P47W35-P47W36
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<ifosAd_1]
   UNSPLITVOC:	(li<ifosAd)
          POS:	PREP+NOUN
          VOC:	li+<ifosAd
        GLOSS:	for/to+spoiling

 INPUT STRING:	البلاد
     IS_TRANS:	AlblAd
        INDEX:	P47W32
      OFFSETS:	173-179
       TOKENS:	P47W37-P47W37
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[balad_1]
   UNSPLITVOC:	(AlbilAd)
          POS:	DET+NOUN
          VOC:	Al+bilAd
        GLOSS:	the+country/country/countries

 INPUT STRING:	انتوا
     IS_TRANS:	AntwA
        INDEX:	P48W1
      OFFSETS:	0-5
       TOKENS:	P48W1-P48W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainotuw_1]
   UNSPLITVOC:	(Ainotuw)
          POS:	PRON_2P
          VOC:	Ainotuw
        GLOSS:	you

 INPUT STRING:	ليه
     IS_TRANS:	lyh
        INDEX:	P48W2
      OFFSETS:	6-9
       TOKENS:	P48W2-P48W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[layoh_1]
   UNSPLITVOC:	(layoh)
          POS:	INTERROG_PRON
          VOC:	layoh
        GLOSS:	why

 INPUT STRING:	رابطين
     IS_TRANS:	rAbTyn
        INDEX:	P48W3
      OFFSETS:	10-16
       TOKENS:	P48W3-P48W3
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(rAbTyn)
          POS:	NO_FUNC
          VOC:	rAbTyn
        GLOSS:	nogloss

 INPUT STRING:	الفساد
     IS_TRANS:	AlfsAd
        INDEX:	P48W4
      OFFSETS:	17-23
       TOKENS:	P48W4-P48W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fasAd_1]
   UNSPLITVOC:	(AlfasAd)
          POS:	DET+NOUN
          VOC:	Al+fasAd
        GLOSS:	the+corruption

 INPUT STRING:	بحوسة
     IS_TRANS:	bHwsp
        INDEX:	P48W5
      OFFSETS:	24-29
       TOKENS:	P48W5-P48W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(bHwsp)
          POS:	TYPO
          VOC:	bHwsp
        GLOSS:	nogloss

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P48W6
      OFFSETS:	30-32
       TOKENS:	P48W6-P48W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bas~_1]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	الفساد
     IS_TRANS:	AlfsAd
        INDEX:	P48W7
      OFFSETS:	33-39
       TOKENS:	P48W7-P48W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fasAd_1]
   UNSPLITVOC:	(AlfasAd)
          POS:	DET+NOUN
          VOC:	Al+fasAd
        GLOSS:	the+deterioration/decomposition

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P48W8
      OFFSETS:	40-42
       TOKENS:	P48W8-P48W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	موجود
     IS_TRANS:	mwjwd
        INDEX:	P48W9
      OFFSETS:	43-48
       TOKENS:	P48W9-P48W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mawjuwd_1]
   UNSPLITVOC:	(mawjuwd)
          POS:	ADJ
          VOC:	mawjuwd
        GLOSS:	present/existing/found

 INPUT STRING:	تخطيطه
     IS_TRANS:	txTyTh
        INDEX:	P48W10
      OFFSETS:	49-55
       TOKENS:	P48W10-P48W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taxoTiyT_1]
   UNSPLITVOC:	(taxoTiyTuh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	taxoTiyT+uh
        GLOSS:	planning/projecting/graphing/imaging+his/its

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P48W11
      OFFSETS:	56-58
       TOKENS:	P48W12-P48W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	البروتوكولات
     IS_TRANS:	AlbrwtwkwlAt
        INDEX:	P48W12
      OFFSETS:	59-71
       TOKENS:	P48W13-P48W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[bruwtuwkuwl_1]
   UNSPLITVOC:	(AlbruwtuwkuwlAt)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+bruwtuwkuwl+At
        GLOSS:	the+protocol+[fem.pl.]

 INPUT STRING:	بتاعة
     IS_TRANS:	btAEp
        INDEX:	P48W13
      OFFSETS:	72-77
       TOKENS:	P48W14-P48W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bitAE_1]
   UNSPLITVOC:	(bitAEap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	bitAE+ap
        GLOSS:	something/belonging+[fem.sg.]

 INPUT STRING:	صهيون
     IS_TRANS:	Shywn
        INDEX:	P48W14
      OFFSETS:	78-83
       TOKENS:	P48W15-P48W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Sahoyuwn_1]
   UNSPLITVOC:	(Sahoyuwn)
          POS:	NOUN_PROP
          VOC:	Sahoyuwn
        GLOSS:	Zion

 INPUT STRING:	فوقوا
     IS_TRANS:	fwqwA
        INDEX:	P49W1
      OFFSETS:	0-5
       TOKENS:	P49W1-P49W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fuwq_1]
   UNSPLITVOC:	(fuwquwA)
          POS:	CV+CVSUFF_SUBJ:2P
          VOC:	fuwq+uwA
        GLOSS:	wake up+you

 INPUT STRING:	بقه
     IS_TRANS:	bqh
        INDEX:	P49W2
      OFFSETS:	6-9
       TOKENS:	P49W2-P49W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[baqaY_1]
   UNSPLITVOC:	(baqaY)
          POS:	ADV
          VOC:	baqaY
        GLOSS:	then

 INPUT STRING:	فوقوا
     IS_TRANS:	fwqwA
        INDEX:	P49W3
      OFFSETS:	10-15
       TOKENS:	P49W3-P49W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fuwq_1]
   UNSPLITVOC:	(fuwquwA)
          POS:	CV+CVSUFF_SUBJ:2P
          VOC:	fuwq+uwA
        GLOSS:	wake up+you

 INPUT STRING:	بقه
     IS_TRANS:	bqh
        INDEX:	P49W4
      OFFSETS:	16-19
       TOKENS:	P49W4-P49W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[baqaY_1]
   UNSPLITVOC:	(baqaY)
          POS:	ADV
          VOC:	baqaY
        GLOSS:	then

 INPUT STRING:	الواحد
     IS_TRANS:	AlwAHd
        INDEX:	P49W5
      OFFSETS:	20-26
       TOKENS:	P49W5-P49W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wAHid_1]
   UNSPLITVOC:	(AlwAHid)
          POS:	DET+NOUN_NUM
          VOC:	Al+wAHid
        GLOSS:	the+person/ individual

 INPUT STRING:	زهق
     IS_TRANS:	zhq
        INDEX:	P49W6
      OFFSETS:	27-30
       TOKENS:	P49W6-P49W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zihiq_1]
   UNSPLITVOC:	(zihiq)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	zihiq+(null)
        GLOSS:	bored+he/it

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P49W7
      OFFSETS:	31-33
       TOKENS:	P49W7-P49W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	العقول
     IS_TRANS:	AlEqwl
        INDEX:	P49W8
      OFFSETS:	34-40
       TOKENS:	P49W8-P49W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eaquwl_1]
   UNSPLITVOC:	(AlEaquwl)
          POS:	DET+NOUN
          VOC:	Al+Eaquwl
        GLOSS:	the+minds

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P49W9
      OFFSETS:	41-45
       TOKENS:	P49W9-P49W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who/which/whose

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P49W10
      OFFSETS:	46-48
       TOKENS:	P49W10-P49W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	بتبص
     IS_TRANS:	btbS
        INDEX:	P49W11
      OFFSETS:	49-53
       TOKENS:	P49W11-P49W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baS~_1]
   UNSPLITVOC:	(bitibuS~)
          POS:	PROG_PART+IV3FS+IV
          VOC:	bi+ti+buS~
        GLOSS:	[present-tense]+it/they/she+glow/sparkle

 INPUT STRING:	غير
     IS_TRANS:	gyr
        INDEX:	P49W12
      OFFSETS:	54-57
       TOKENS:	P49W13-P49W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[giyr_1]
   UNSPLITVOC:	(giyr)
          POS:	NOUN
          VOC:	giyr
        GLOSS:	not/other

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P49W13
      OFFSETS:	58-60
       TOKENS:	P49W14-P49W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	حاجة
     IS_TRANS:	HAjp
        INDEX:	P49W14
      OFFSETS:	61-65
       TOKENS:	P49W15-P49W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(HAjap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HAj+ap
        GLOSS:	thing/belongings+[fem.sg.]

 INPUT STRING:	واحدة
     IS_TRANS:	wAHdp
        INDEX:	P49W15
      OFFSETS:	66-71
       TOKENS:	P49W16-P49W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wAHodap_1]
   UNSPLITVOC:	(wAHodap)
          POS:	NOUN_NUM+NSUFF_FEM_SG
          VOC:	wAHod+ap
        GLOSS:	one+[fem.sg.]

 INPUT STRING:	نفسي
     IS_TRANS:	nfsy
        INDEX:	P50W1
      OFFSETS:	0-4
       TOKENS:	P50W1-P50W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nifos_1]
   UNSPLITVOC:	(nifosiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	nifos+iy
        GLOSS:	wish+my

 INPUT STRING:	الناس
     IS_TRANS:	AlnAs
        INDEX:	P50W2
      OFFSETS:	5-10
       TOKENS:	P50W3-P50W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAs_1]
   UNSPLITVOC:	(Aln~As)
          POS:	DET+NOUN
          VOC:	Al+nAs
        GLOSS:	the+people

 INPUT STRING:	تسيب
     IS_TRANS:	tsyb
        INDEX:	P50W3
      OFFSETS:	11-15
       TOKENS:	P50W4-P50W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sAb_1]
   UNSPLITVOC:	(tisiyb)
          POS:	IV3FS+IV
          VOC:	ti+siyb
        GLOSS:	it/they/she+leave

 INPUT STRING:	لقمة
     IS_TRANS:	lqmp
        INDEX:	P50W4
      OFFSETS:	16-20
       TOKENS:	P50W5-P50W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[luqomap_1]
   UNSPLITVOC:	(luqomap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	luqom+ap
        GLOSS:	morsel/daily bread+[fem.sg.]

 INPUT STRING:	العيش
     IS_TRANS:	AlEy$
        INDEX:	P50W5
      OFFSETS:	21-26
       TOKENS:	P50W6-P50W6
