 INPUT STRING:	قالوا
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	التمثيل
     IS_TRANS:	Altmvyl
        INDEX:	P54W7
      OFFSETS:	29-36
       TOKENS:	P54W9-P54W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tamoviyl_1]
   UNSPLITVOC:	(Alt~amoviyl)
          POS:	DET+NOUN
          VOC:	Al+tamoviyl
        GLOSS:	the+representation/acting/exemplification

 INPUT STRING:	الضعيف
     IS_TRANS:	AlDEyf
        INDEX:	P54W8
      OFFSETS:	37-43
       TOKENS:	P54W10-P54W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DaEiyf_1]
   UNSPLITVOC:	(AlD~aEiyf)
          POS:	DET+ADJ
          VOC:	Al+DaEiyf
        GLOSS:	the+weak/deficient

 INPUT STRING:	حاليا
     IS_TRANS:	HAlyA
        INDEX:	P54W9
      OFFSETS:	44-49
       TOKENS:	P54W11-P54W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAliy_1]
   UNSPLITVOC:	(HAliyAF)
          POS:	ADJ+CASE_INDEF_ACC
          VOC:	HAliy+AF
        GLOSS:	present/current+[acc.indef.]

 INPUT STRING:	للمرأة
     IS_TRANS:	llmr>p
        INDEX:	P54W10
      OFFSETS:	50-56
       TOKENS:	P54W12-P54W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maro>ap_1]
   UNSPLITVOC:	(lilmaro>ap)
          POS:	PREP+DET+NOUN+NSUFF_FEM_SG
          VOC:	li+Al+maro>+ap
        GLOSS:	for/to+the+woman+[fem.sg.]

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P54W11
      OFFSETS:	57-59
       TOKENS:	P54W14-P54W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	البرلمان
     IS_TRANS:	AlbrlmAn
        INDEX:	P54W12
      OFFSETS:	60-68
       TOKENS:	P54W15-P54W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[barolamAn_1]
   UNSPLITVOC:	(AlbarolamAn)
          POS:	DET+NOUN
          VOC:	Al+barolamAn
        GLOSS:	the+parliament

 INPUT STRING:	إلا
     IS_TRANS:	<lA
        INDEX:	P54W13
      OFFSETS:	69-72
       TOKENS:	P54W16-P54W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<il~A_1]
   UNSPLITVOC:	(<il~A)
          POS:	RESTRIC_PART
          VOC:	<il~A
        GLOSS:	only

 INPUT STRING:	أن
     IS_TRANS:	>n
        INDEX:	P54W14
      OFFSETS:	73-75
       TOKENS:	P54W17-P54W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>an~a_1]
   UNSPLITVOC:	(>an~a)
          POS:	SUB_CONJ
          VOC:	>an~a
        GLOSS:	that

 INPUT STRING:	المجتمع
     IS_TRANS:	AlmjtmE
        INDEX:	P54W15
      OFFSETS:	76-83
       TOKENS:	P54W18-P54W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mijotimiE_1]
   UNSPLITVOC:	(AlmijotimiE)
          POS:	DET+NOUN
          VOC:	Al+mijotimiE
        GLOSS:	the+society

 INPUT STRING:	سيكتشف
     IS_TRANS:	sykt$f
        INDEX:	P54W16
      OFFSETS:	84-90
       TOKENS:	P54W19-P54W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<ikota$af_1]
   UNSPLITVOC:	(sayakota$if)
          POS:	FUT_PART+IV3MS+IV
          VOC:	sa+ya+kota$if
        GLOSS:	will+he/it+discover

 INPUT STRING:	لاحقا
     IS_TRANS:	lAHqA
        INDEX:	P54W17
      OFFSETS:	91-96
       TOKENS:	P54W21-P54W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lAHiq_1]
   UNSPLITVOC:	(lAHiqAF)
          POS:	ADJ+CASE_INDEF_ACC
          VOC:	lAHiq+AF
        GLOSS:	aftwards+[acc.indef.]

 INPUT STRING:	أهمية
     IS_TRANS:	>hmyp
        INDEX:	P54W18
      OFFSETS:	97-102
       TOKENS:	P54W22-P54W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aham~iy~ap_1]
   UNSPLITVOC:	(>aham~iy~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	>aham~iy~+ap
        GLOSS:	importance+[fem.sg.]

 INPUT STRING:	وجود
     IS_TRANS:	wjwd
        INDEX:	P54W19
      OFFSETS:	103-107
       TOKENS:	P54W23-P54W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wujuwd_1]
   UNSPLITVOC:	(wujuwd)
          POS:	NOUN
          VOC:	wujuwd
        GLOSS:	presence/existence

 INPUT STRING:	المرأة
     IS_TRANS:	Almr>p
        INDEX:	P54W20
      OFFSETS:	108-114
       TOKENS:	P54W24-P54W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maro>ap_1]
   UNSPLITVOC:	(Almaro>ap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+maro>+ap
        GLOSS:	the+woman+[fem.sg.]

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P54W21
      OFFSETS:	115-117
       TOKENS:	P54W25-P54W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P55W1
      OFFSETS:	1-3
       TOKENS:	P55W1-P55W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	المهم
     IS_TRANS:	Almhm
        INDEX:	P55W2
      OFFSETS:	4-9
       TOKENS:	P55W2-P55W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muhim~_1]
   UNSPLITVOC:	(Almuhim~)
          POS:	DET+NOUN
          VOC:	Al+muhim~
        GLOSS:	the+main thing/most important thing

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P55W3
      OFFSETS:	10-12
       TOKENS:	P55W3-P55W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	المرحلة
     IS_TRANS:	AlmrHlp
        INDEX:	P55W4
      OFFSETS:	13-20
       TOKENS:	P55W4-P55W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maroHalap_1]
   UNSPLITVOC:	(AlmaroHalap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+maroHal+ap
        GLOSS:	the+phase/stage/round+[fem.sg.]

 INPUT STRING:	الحالية
     IS_TRANS:	AlHAlyp
        INDEX:	P55W5
      OFFSETS:	21-28
       TOKENS:	P55W5-P55W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAliy_1]
   UNSPLITVOC:	(AlHAliy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+HAliy~+ap
        GLOSS:	the+present/current+[fem.sg.]

 INPUT STRING:	أن
     IS_TRANS:	>n
        INDEX:	P55W6
      OFFSETS:	29-31
       TOKENS:	P55W6-P55W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>ano_1]
   UNSPLITVOC:	(>ano)
          POS:	SUB_CONJ
          VOC:	>ano
        GLOSS:	That, to

 INPUT STRING:	نهتم
     IS_TRANS:	nhtm
        INDEX:	P55W7
      OFFSETS:	32-36
       TOKENS:	P55W7-P55W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aihotam~_1]
   UNSPLITVOC:	(nihotam~)
          POS:	IV1P+IV
          VOC:	ni+hotam~
        GLOSS:	we+be concerned

 INPUT STRING:	بالكيف
     IS_TRANS:	bAlkyf
        INDEX:	P55W8
      OFFSETS:	37-43
       TOKENS:	P55W8-P55W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kiyf_1]
   UNSPLITVOC:	(biAlkiyf)
          POS:	PREP+DET+NOUN
          VOC:	bi+Al+kiyf
        GLOSS:	with/by+the+kif/narcotic

 INPUT STRING:	وليس
     IS_TRANS:	wlys
        INDEX:	P55W9
      OFFSETS:	44-48
       TOKENS:	P55W10-P55W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[layosa_1]
   UNSPLITVOC:	(walayosa)
          POS:	CONJ+NEG_PART
          VOC:	wa+layosa
        GLOSS:	and+not

 INPUT STRING:	بالكم
     IS_TRANS:	bAlkm
        INDEX:	P55W10
      OFFSETS:	49-54
       TOKENS:	P55W12-P55W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kum~_1]
   UNSPLITVOC:	(biAlkum~)
          POS:	PREP+DET+NOUN
          VOC:	bi+Al+kum~
        GLOSS:	with/by+the+amount/quantity

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P55W11
      OFFSETS:	54-55
       TOKENS:	P55W14-P55W14
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P55W12
      OFFSETS:	56-57
       TOKENS:	P55W15-P55W15
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	nogloss

 INPUT STRING:	كما
     IS_TRANS:	kmA
        INDEX:	P55W13
      OFFSETS:	58-61
       TOKENS:	P55W16-P55W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kamA_1]
   UNSPLITVOC:	(kamA)
          POS:	CONJ
          VOC:	kamA
        GLOSS:	and/as/also

 INPUT STRING:	تقول
     IS_TRANS:	tqwl
        INDEX:	P55W14
      OFFSETS:	62-66
       TOKENS:	P55W17-P55W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(taquwl)
          POS:	IV2MS+IV
          VOC:	ta+quwl
        GLOSS:	you+say

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P55W15
      OFFSETS:	66-67
       TOKENS:	P55W18-P55W18
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	تصميم
     IS_TRANS:	tSmym
        INDEX:	P56W1
      OFFSETS:	0-5
       TOKENS:	P56W1-P56W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Samiym_1]
   UNSPLITVOC:	(taSamiym)
          POS:	PREP+NOUN
          VOC:	ta+Samiym
        GLOSS:	by+depth/innermost

 INPUT STRING:	وعلى
     IS_TRANS:	wElY
        INDEX:	P57W1
      OFFSETS:	0-4
       TOKENS:	P57W1-P57W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(wiEalaY)
          POS:	PART+PREP
          VOC:	wi+EalaY
        GLOSS:	[part.]+on/above

 INPUT STRING:	الرغم
     IS_TRANS:	Alrgm
        INDEX:	P57W2
      OFFSETS:	5-10
       TOKENS:	P57W3-P57W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ragom_1]
   UNSPLITVOC:	(Alr~agom)
          POS:	DET+NOUN
          VOC:	Al+ragom
        GLOSS:	the+in spite of/despite

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P57W3
      OFFSETS:	11-13
       TOKENS:	P57W4-P57W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	الشعور
     IS_TRANS:	Al$Ewr
        INDEX:	P57W4
      OFFSETS:	14-20
       TOKENS:	P57W5-P57W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$uEuwr_1]
   UNSPLITVOC:	(Al$~uEuwr)
          POS:	DET+NOUN
          VOC:	Al+$uEuwr
        GLOSS:	the+feeling/sentiment/awareness

 INPUT STRING:	بخيبة
     IS_TRANS:	bxybp
        INDEX:	P57W5
      OFFSETS:	21-26
       TOKENS:	P57W6-P57W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xaybap_1]
   UNSPLITVOC:	(bixaybap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	bi+xayb+ap
        GLOSS:	with/by+disappointment/failure+[fem.sg.]

 INPUT STRING:	الأمل
     IS_TRANS:	Al>ml
        INDEX:	P57W6
      OFFSETS:	27-32
       TOKENS:	P57W8-P57W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amal_1]
   UNSPLITVOC:	(Al>amal)
          POS:	DET+NOUN
          VOC:	Al+>amal
        GLOSS:	the+hope/wish/hopes/wishes

 INPUT STRING:	الذي
     IS_TRANS:	Al*y
        INDEX:	P57W7
      OFFSETS:	33-37
       TOKENS:	P57W9-P57W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ail~a*iy_1]
   UNSPLITVOC:	(Al~a*iy)
          POS:	REL_PRON
          VOC:	Al~a*iy
        GLOSS:	this

 INPUT STRING:	يخيم
     IS_TRANS:	yxym
        INDEX:	P57W8
      OFFSETS:	38-42
       TOKENS:	P57W10-P57W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[xay~am_1]
   UNSPLITVOC:	(yuxay~im)
          POS:	IV3MS+IV
          VOC:	yu+xay~im
        GLOSS:	he/it+dominate

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P57W9
      OFFSETS:	43-46
       TOKENS:	P57W11-P57W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	النساء
     IS_TRANS:	AlnsA'
        INDEX:	P57W10
      OFFSETS:	47-53
       TOKENS:	P57W12-P57W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nisA'_1]
   UNSPLITVOC:	(Aln~isA')
          POS:	DET+NOUN
          VOC:	Al+nisA'
        GLOSS:	the+women

 INPUT STRING:	المصريات
     IS_TRANS:	AlmSryAt
        INDEX:	P57W11
      OFFSETS:	54-62
       TOKENS:	P57W13-P57W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSoriy_1]
   UNSPLITVOC:	(AlmaSoriy~At)
          POS:	DET+ADJ+NSUFF_FEM_PL
          VOC:	Al+maSoriy~+At
        GLOSS:	the+egyptian+[fem.pl.]

 INPUT STRING:	اللاتي
     IS_TRANS:	AllAty
        INDEX:	P57W12
      OFFSETS:	63-69
       TOKENS:	P57W14-P57W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Al~tiy_1]
   UNSPLITVOC:	(All~Atiy)
          POS:	REL_PRON
          VOC:	All~Atiy
        GLOSS:	who/whom [fem.pl.]

 INPUT STRING:	شاركن
     IS_TRANS:	$Arkn
        INDEX:	P57W13
      OFFSETS:	70-75
       TOKENS:	P57W15-P57W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[$Arak_1]
   UNSPLITVOC:	($Arakona)
          POS:	PV+PVSUFF_SUBJ:3FP
          VOC:	$Arak+na
        GLOSS:	participate with/share with+they [fem.pl.] [verb]

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P57W14
      OFFSETS:	76-78
       TOKENS:	P57W16-P57W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	الثورة
     IS_TRANS:	Alvwrp
        INDEX:	P57W15
      OFFSETS:	79-85
       TOKENS:	P57W17-P57W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vawrap_1]
   UNSPLITVOC:	(Alv~awrap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+vawr+ap
        GLOSS:	the+revolution/uprising+[fem.sg.]

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P57W16
      OFFSETS:	86-87
       TOKENS:	P57W18-P57W18
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	nogloss

 INPUT STRING:	إلا
     IS_TRANS:	<lA
        INDEX:	P57W17
      OFFSETS:	88-91
       TOKENS:	P57W19-P57W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<il~A_1]
   UNSPLITVOC:	(<il~A)
          POS:	RESTRIC_PART
          VOC:	<il~A
        GLOSS:	only

 INPUT STRING:	أنهن
     IS_TRANS:	>nhn
        INDEX:	P57W18
      OFFSETS:	92-96
       TOKENS:	P57W20-P57W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>an~a_1]
   UNSPLITVOC:	(>an~ahun~a)
          POS:	SUB_CONJ+PRON_3FP
          VOC:	>an~a+hun~a
        GLOSS:	that+they [fem.pl.]

 INPUT STRING:	مصممات
     IS_TRANS:	mSmmAt
        INDEX:	P57W19
      OFFSETS:	97-103
       TOKENS:	P57W22-P57W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muSam~im_1]
   UNSPLITVOC:	(muSam~imAt)
          POS:	ADJ.VN+NSUFF_FEM_PL
          VOC:	muSam~im+At
        GLOSS:	determined/resolute+[fem.pl.]

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P57W20
      OFFSETS:	104-107
       TOKENS:	P57W23-P57W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	المطالبة
     IS_TRANS:	AlmTAlbp
        INDEX:	P57W21
      OFFSETS:	108-116
       TOKENS:	P57W24-P57W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miTAlobap_1]
   UNSPLITVOC:	(AlmiTAlobap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+miTAlob+ap
        GLOSS:	the+request+[fem.sg.]

 INPUT STRING:	بحقوقهن
     IS_TRANS:	bHqwqhn
        INDEX:	P57W22
      OFFSETS:	117-124
       TOKENS:	P57W25-P57W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Haq~_1]
   UNSPLITVOC:	(biHuquwqhin~a)
          POS:	PREP+NOUN+POSS_PRON_3FP
          VOC:	bi+Huquwq+hin~a
        GLOSS:	with/by+rights/law+their

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P57W23
      OFFSETS:	124-125
       TOKENS:	P57W28-P57W28
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P58W1
      OFFSETS:	0-2
       TOKENS:	P58W1-P58W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	ديسمبر
     IS_TRANS:	dysmbr
        INDEX:	P58W2
      OFFSETS:	3-9
       TOKENS:	P58W2-P58W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[diysimobir_1]
   UNSPLITVOC:	(diysimobir)
          POS:	NOUN_PROP
          VOC:	diysimobir
        GLOSS:	December

 INPUT STRING:	خرجت
     IS_TRANS:	xrjt
        INDEX:	P58W3
      OFFSETS:	10-14
       TOKENS:	P58W3-P58W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xaraj_1]
   UNSPLITVOC:	(xarajit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	xaraj+it
        GLOSS:	go out/exit/leave+it/they/she [verb]

 INPUT STRING:	الالاف
     IS_TRANS:	AlAlAf
        INDEX:	P58W4
      OFFSETS:	15-21
       TOKENS:	P58W4-P58W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alof_1]
   UNSPLITVOC:	(AlAlAf)
          POS:	DET+NOUN_NUM
          VOC:	Al+AlAf
        GLOSS:	the+thousands

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P58W5
      OFFSETS:	22-24
       TOKENS:	P58W5-P58W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	النساء
     IS_TRANS:	AlnsA'
        INDEX:	P58W6
      OFFSETS:	25-31
       TOKENS:	P58W6-P58W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nisA'_1]
   UNSPLITVOC:	(Aln~isA')
          POS:	DET+NOUN
          VOC:	Al+nisA'
        GLOSS:	the+women

 INPUT STRING:	تضامنا
     IS_TRANS:	tDAmnA
        INDEX:	P58W7
      OFFSETS:	32-38
       TOKENS:	P58W7-P58W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taDAm~un_1]
   UNSPLITVOC:	(taDAm~unAF)
          POS:	ADJ.VN+CASE_INDEF_ACC
          VOC:	taDAm~un+AF
        GLOSS:	together/joint+[indef.acc.]

 INPUT STRING:	مع
     IS_TRANS:	mE
        INDEX:	P58W8
      OFFSETS:	39-41
       TOKENS:	P58W8-P58W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maEa)
          POS:	NOUN
          VOC:	maEa
        GLOSS:	with

 INPUT STRING:	الفتاة
     IS_TRANS:	AlftAp
        INDEX:	P58W9
      OFFSETS:	42-48
       TOKENS:	P58W9-P58W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fatAh_1]
   UNSPLITVOC:	(AlfatAh)
          POS:	DET+NOUN
          VOC:	Al+fatAh
        GLOSS:	the+girl

 INPUT STRING:	التي
     IS_TRANS:	Alty
        INDEX:	P58W10
      OFFSETS:	49-53
       TOKENS:	P58W10-P58W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ail~atiy_1]
   UNSPLITVOC:	(Al~atiy)
          POS:	REL_PRON
          VOC:	Al~atiy
        GLOSS:	which

 INPUT STRING:	مزقت
     IS_TRANS:	mzqt
        INDEX:	P58W11
      OFFSETS:	54-58
       TOKENS:	P58W11-P58W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[muzaq_1]
