 INPUT STRING:	بالضبط
       TOKENS:	P12W21-P12W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	الثورة
     IS_TRANS:	Alvwrp
        INDEX:	P12W18
      OFFSETS:	93-99
       TOKENS:	P12W22-P12W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vawrap_1]
   UNSPLITVOC:	(Alv~awrap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+vawr+ap
        GLOSS:	the+revolution/uprising+[fem.sg.]

 INPUT STRING:	وليه
     IS_TRANS:	wlyh
        INDEX:	P12W19
      OFFSETS:	100-104
       TOKENS:	P12W23-P12W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[liyoh_1]
   UNSPLITVOC:	(waliyoh)
          POS:	CONJ+INTERROG_ADV
          VOC:	wa+liyoh
        GLOSS:	and+why

 INPUT STRING:	خايفين
     IS_TRANS:	xAyfyn
        INDEX:	P12W20
      OFFSETS:	105-111
       TOKENS:	P12W25-P12W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[xAyif_1]
   UNSPLITVOC:	(xAyfiyn)
          POS:	ADJ+NSUFF_MASC_PL
          VOC:	xAyf+iyn
        GLOSS:	fearing+[masc.pl.]

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P12W21
      OFFSETS:	112-114
       TOKENS:	P12W26-P12W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	المظاهرات
     IS_TRANS:	AlmZAhrAt
        INDEX:	P12W22
      OFFSETS:	115-124
       TOKENS:	P12W27-P12W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muZAharap_1]
   UNSPLITVOC:	(AlmuZAharAt)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+muZAhar+At
        GLOSS:	the+demonstrations/rallies+[fem.pl.]

 INPUT STRING:	الانفلات
     IS_TRANS:	AlAnflAt
        INDEX:	P13W1
      OFFSETS:	0-8
       TOKENS:	P13W1-P13W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[{inofilAt_1]
   UNSPLITVOC:	(AlAinofilAt)
          POS:	DET+NOUN
          VOC:	Al+{inofilAt
        GLOSS:	the+evasion/release

 INPUT STRING:	الامنى
     IS_TRANS:	AlAmnY
        INDEX:	P13W2
      OFFSETS:	9-15
       TOKENS:	P13W2-P13W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>amoniy~_1]
   UNSPLITVOC:	(Al>amoniy~)
          POS:	DET+ADJ
          VOC:	Al+>amoniy~
        GLOSS:	the+security/safety

 INPUT STRING:	كان
     IS_TRANS:	kAn
        INDEX:	P13W3
      OFFSETS:	16-19
       TOKENS:	P13W3-P13W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAn)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	kAn+(null)
        GLOSS:	be+he/it

 INPUT STRING:	بسبب
     IS_TRANS:	bsbb
        INDEX:	P13W4
      OFFSETS:	20-24
       TOKENS:	P13W4-P13W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sabab_1]
   UNSPLITVOC:	(bisabab)
          POS:	PREP+NOUN
          VOC:	bi+sabab
        GLOSS:	with/by+reason/cause/because of/due to

 INPUT STRING:	ضباط
     IS_TRANS:	DbAT
        INDEX:	P13W5
      OFFSETS:	25-29
       TOKENS:	P13W6-P13W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DAbiT_2]
   UNSPLITVOC:	(Dub~AT)
          POS:	NOUN
          VOC:	Dub~AT
        GLOSS:	officers

 INPUT STRING:	الشرطة
     IS_TRANS:	Al$rTp
        INDEX:	P13W6
      OFFSETS:	30-36
       TOKENS:	P13W7-P13W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$uroTap_1]
   UNSPLITVOC:	(Al$~uroTap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+$uroT+ap
        GLOSS:	the+police+[fem.sg.]

 INPUT STRING:	الخونة
     IS_TRANS:	Alxwnp
        INDEX:	P13W7
      OFFSETS:	37-43
       TOKENS:	P13W8-P13W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[xA}in_1]
   UNSPLITVOC:	(Alxawonap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+xawon+ap
        GLOSS:	the+traitors/disloyal+[fem.sg.]

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P13W8
      OFFSETS:	44-48
       TOKENS:	P13W9-P13W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who

 INPUT STRING:	فتحوا
     IS_TRANS:	ftHwA
        INDEX:	P13W9
      OFFSETS:	49-54
       TOKENS:	P13W10-P13W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fataH_1]
   UNSPLITVOC:	(fataHuwA)
          POS:	PV+PVSUFF_SUBJ:3P
          VOC:	fataH+uwA
        GLOSS:	open/conquer/be opened/be conquered+they

 INPUT STRING:	المساجين
     IS_TRANS:	AlmsAjyn
        INDEX:	P13W10
      OFFSETS:	55-63
       TOKENS:	P13W11-P13W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[masjoun_1]
   UNSPLITVOC:	(AlmasAjiyn)
          POS:	DET+ADJ+NSUFF_MASC_PL
          VOC:	Al+masAj+iyn
        GLOSS:	the+prisoners+[masc.pl.]

 INPUT STRING:	وخلوكم
     IS_TRANS:	wxlwkm
        INDEX:	P13W11
      OFFSETS:	64-70
       TOKENS:	P13W12-P13W12
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(wxlwkm)
          POS:	NO_FUNC
          VOC:	wxlwkm
        GLOSS:	nogloss

 INPUT STRING:	تنزلوا
     IS_TRANS:	tnzlwA
        INDEX:	P13W12
      OFFSETS:	71-77
       TOKENS:	P13W13-P13W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nazal_1]
   UNSPLITVOC:	(tinoziluwA)
          POS:	IV2P+IV+IVSUFF_SUBJ:P
          VOC:	ti+nozil+uwA
        GLOSS:	you+descend/stay+we

 INPUT STRING:	عشان
     IS_TRANS:	E$An
        INDEX:	P13W13
      OFFSETS:	78-82
       TOKENS:	P13W14-P13W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$a>on_1]
   UNSPLITVOC:	(Ea$a>on)
          POS:	PREP+NOUN
          VOC:	Ea+$a>on
        GLOSS:	on/above+matter/affair/case/importance/status/situation/condition/affairs/matters

 INPUT STRING:	يخوفوكم
     IS_TRANS:	yxwfwkm
        INDEX:	P13W14
      OFFSETS:	83-90
       TOKENS:	P13W16-P13W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[xaw~if_1]
   UNSPLITVOC:	(yixaw~ifuwkum)
          POS:	IV3P+IV+IVSUFF_SUBJ:P+IVSUFF_DO:2P
          VOC:	yi+xaw~if+uw+kum
        GLOSS:	they+make someone afraid+they+you

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P13W15
      OFFSETS:	91-93
       TOKENS:	P13W18-P13W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	المظاهرات
     IS_TRANS:	AlmZAhrAt
        INDEX:	P13W16
      OFFSETS:	94-103
       TOKENS:	P13W19-P13W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muZAharap_1]
   UNSPLITVOC:	(AlmuZAharAt)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+muZAhar+At
        GLOSS:	the+demonstrations/rallies+[fem.pl.]

 INPUT STRING:	وعشان
     IS_TRANS:	wE$An
        INDEX:	P14W1
      OFFSETS:	0-5
       TOKENS:	P14W1-P14W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$a>on_1]
   UNSPLITVOC:	(wiEa$a>on)
          POS:	CONJ+PREP+NOUN
          VOC:	wi+Ea+$a>on
        GLOSS:	and+on/above+matter/affair/case/importance/status/situation/condition/affairs/matters

 INPUT STRING:	مبارك
     IS_TRANS:	mbArk
        INDEX:	P14W2
      OFFSETS:	6-11
       TOKENS:	P14W4-P14W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mubArak_1]
   UNSPLITVOC:	(mubArak)
          POS:	NOUN_PROP
          VOC:	mubArak
        GLOSS:	Mubarak

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P14W3
      OFFSETS:	12-14
       TOKENS:	P14W5-P14W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	NEG_PART
          VOC:	mA
        GLOSS:	not

 INPUT STRING:	يسبش
     IS_TRANS:	ysb$
        INDEX:	P14W4
      OFFSETS:	15-19
       TOKENS:	P14W6-P14W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[sAb_1]
   UNSPLITVOC:	(ysib$)
          POS:	IV3MS+IV+NEG_PART
          VOC:	y+sib+$
        GLOSS:	he/it+leave+not

 INPUT STRING:	الحكم
     IS_TRANS:	AlHkm
        INDEX:	P14W5
      OFFSETS:	20-25
       TOKENS:	P14W8-P14W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hukom_1]
   UNSPLITVOC:	(AlHukom)
          POS:	DET+NOUN
          VOC:	Al+Hukom
        GLOSS:	the+rule/government

 INPUT STRING:	دلوقتى
     IS_TRANS:	dlwqtY
        INDEX:	P14W6
      OFFSETS:	26-32
       TOKENS:	P14W9-P14W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dilowaqotiy_1]
   UNSPLITVOC:	(dilowaqotiy)
          POS:	ADV
          VOC:	dilowaqotiy
        GLOSS:	now

 INPUT STRING:	خايفين
     IS_TRANS:	xAyfyn
        INDEX:	P14W7
      OFFSETS:	33-39
       TOKENS:	P14W10-P14W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[xAyif_1]
   UNSPLITVOC:	(xAyfiyn)
          POS:	ADJ+NSUFF_MASC_PL
          VOC:	xAyf+iyn
        GLOSS:	fearing+[masc.pl.]

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P14W8
      OFFSETS:	40-42
       TOKENS:	P14W11-P14W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	ايه
     IS_TRANS:	Ayh
        INDEX:	P14W9
      OFFSETS:	43-46
       TOKENS:	P14W12-P14W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>iyoh_1]
   UNSPLITVOC:	(>iyoh)
          POS:	INTERROG_PRON
          VOC:	>iyoh
        GLOSS:	what

 INPUT STRING:	ولا
     IS_TRANS:	wlA
        INDEX:	P14W10
      OFFSETS:	47-50
       TOKENS:	P14W13-P14W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wal~A_1]
   UNSPLITVOC:	(wal~A)
          POS:	CONJ
          VOC:	wal~A
        GLOSS:	or

 INPUT STRING:	تكونوا
     IS_TRANS:	tkwnwA
        INDEX:	P14W11
      OFFSETS:	51-57
       TOKENS:	P14W14-P14W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(tikuwnuwA)
          POS:	IV2P+IV+IVSUFF_SUBJ:P
          VOC:	ti+kuwn+uwA
        GLOSS:	you+be+we

 INPUT STRING:	خايفين
     IS_TRANS:	xAyfyn
        INDEX:	P14W12
      OFFSETS:	58-64
       TOKENS:	P14W15-P14W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[xAyif_1]
   UNSPLITVOC:	(xAyfiyn)
          POS:	ADJ.VN+NSUFF_MASC_PL
          VOC:	xAyf+iyn
        GLOSS:	fearing+[masc.pl.]

 INPUT STRING:	المجلس
     IS_TRANS:	Almjls
        INDEX:	P14W13
      OFFSETS:	65-71
       TOKENS:	P14W16-P14W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[majolis_1]
   UNSPLITVOC:	(Almajolis)
          POS:	DET+NOUN
          VOC:	Al+majolis
        GLOSS:	the+council/board/Majlis

 INPUT STRING:	العسكرى
     IS_TRANS:	AlEskrY
        INDEX:	P14W14
      OFFSETS:	72-79
       TOKENS:	P14W17-P14W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Easokariy_1]
   UNSPLITVOC:	(AlEasokariy)
          POS:	DET+ADJ
          VOC:	Al+Easokariy
        GLOSS:	the+military/army

 INPUT STRING:	يفتح
     IS_TRANS:	yftH
        INDEX:	P14W15
      OFFSETS:	80-84
       TOKENS:	P14W18-P14W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fataH_1]
   UNSPLITVOC:	(yifotaH)
          POS:	IV3MS+IV
          VOC:	yi+fotaH
        GLOSS:	he/it+open/conquer/be opened/be conquered

 INPUT STRING:	السجون
     IS_TRANS:	Alsjwn
        INDEX:	P14W16
      OFFSETS:	85-91
       TOKENS:	P14W19-P14W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sijon_1]
   UNSPLITVOC:	(Als~ujuwn)
          POS:	DET+NOUN
          VOC:	Al+sujuwn
        GLOSS:	the+prisons

 INPUT STRING:	ولا
     IS_TRANS:	wlA
        INDEX:	P14W17
      OFFSETS:	92-95
       TOKENS:	P14W20-P14W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wal~A_1]
   UNSPLITVOC:	(wal~A)
          POS:	CONJ
          VOC:	wal~A
        GLOSS:	or

 INPUT STRING:	حاجة
     IS_TRANS:	HAjp
        INDEX:	P14W18
      OFFSETS:	96-100
       TOKENS:	P14W21-P14W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(HAjap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HAj+ap
        GLOSS:	thing/belongings+[fem.sg.]

 INPUT STRING:	سياسة
     IS_TRANS:	syAsp
        INDEX:	P15W1
      OFFSETS:	0-5
       TOKENS:	P15W1-P15W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[siyAsap_1]
   UNSPLITVOC:	(siyAsap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	siyAs+ap
        GLOSS:	policy/policies+[fem.sg.]

 INPUT STRING:	التخويف
     IS_TRANS:	Altxwyf
        INDEX:	P15W2
      OFFSETS:	6-13
       TOKENS:	P15W2-P15W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taxowiyf_1]
   UNSPLITVOC:	(Alt~axowiyf)
          POS:	DET+NOUN
          VOC:	Al+taxowiyf
        GLOSS:	the+intimidation

 INPUT STRING:	والتخوينت
     IS_TRANS:	wAltxwynt
        INDEX:	P15W3
      OFFSETS:	14-23
       TOKENS:	P15W3-P15W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(wAltxwynt)
          POS:	TYPO
          VOC:	wAltxwynt
        GLOSS:	nogloss

 INPUT STRING:	بقت
     IS_TRANS:	bqt
        INDEX:	P15W4
      OFFSETS:	24-27
       TOKENS:	P15W4-P15W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baqaY_1]
   UNSPLITVOC:	(baqit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	baq+it
        GLOSS:	remain+it/they/she

 INPUT STRING:	قديمة
     IS_TRANS:	qdymp
        INDEX:	P15W5
      OFFSETS:	28-33
       TOKENS:	P15W5-P15W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qadiym_1]
   UNSPLITVOC:	(qadiymap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	qadiym+ap
        GLOSS:	old/ancient/old/ancients+[fem.sg.]

 INPUT STRING:	محدش
     IS_TRANS:	mHd$
        INDEX:	P15W6
      OFFSETS:	34-38
       TOKENS:	P15W6-P15W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Had~_1]
   UNSPLITVOC:	(mA_Had~i$)
          POS:	NEG_PART+NOUN+NEG_PART
          VOC:	mA+Had~+$
        GLOSS:	not+stop/halt/end+not

 INPUT STRING:	فيكم
     IS_TRANS:	fykm
        INDEX:	P15W7
      OFFSETS:	39-43
       TOKENS:	P15W9-P15W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiykum)
          POS:	PREP+PRON_2P
          VOC:	fiy+kum
        GLOSS:	in+you

 INPUT STRING:	اتفرج
     IS_TRANS:	Atfrj
        INDEX:	P15W8
      OFFSETS:	44-49
       TOKENS:	P15W11-P15W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aitofaraj_1]
   UNSPLITVOC:	(Aitofaraj)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	Aitofaraj+(null)
        GLOSS:	see+he/it

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P15W9
      OFFSETS:	50-53
       TOKENS:	P15W12-P15W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	البرلمان
     IS_TRANS:	AlbrlmAn
        INDEX:	P15W10
      OFFSETS:	54-62
       TOKENS:	P15W13-P15W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[barolamAn_1]
   UNSPLITVOC:	(AlbarolamAn)
          POS:	DET+NOUN
          VOC:	Al+barolamAn
        GLOSS:	the+parliament

 INPUT STRING:	وسمع
     IS_TRANS:	wsmE
        INDEX:	P15W11
      OFFSETS:	63-67
       TOKENS:	P15W14-P15W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[simiE_1]
   UNSPLITVOC:	(wisimoE)
          POS:	CONJ+PV+PVSUFF_SUBJ:3MS
          VOC:	wi+simoE+(null)
        GLOSS:	and+hear+he/it

 INPUT STRING:	الدكتور
     IS_TRANS:	Aldktwr
        INDEX:	P15W12
      OFFSETS:	68-75
       TOKENS:	P15W16-P15W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dukotawr_1]
   UNSPLITVOC:	(Ald~ukotawr)
          POS:	DET+NOUN
          VOC:	Al+dukotawr
        GLOSS:	the+doctor/Doctor/Dr.

 INPUT STRING:	اكرم
     IS_TRANS:	Akrm
        INDEX:	P15W13
      OFFSETS:	76-80
       TOKENS:	P15W17-P15W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>akoram_1]
   UNSPLITVOC:	(>akoram)
          POS:	NOUN_PROP
          VOC:	>akoram
        GLOSS:	Akram

 INPUT STRING:	الشاعر
     IS_TRANS:	Al$AEr
        INDEX:	P15W14
      OFFSETS:	81-87
       TOKENS:	P15W18-P15W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$AEir_1]
   UNSPLITVOC:	(Al$~AEir)
          POS:	DET+NOUN
          VOC:	Al+$AEir
        GLOSS:	the+poet/poets

 INPUT STRING:	فوقوا
     IS_TRANS:	fwqwA
        INDEX:	P15W15
      OFFSETS:	88-93
       TOKENS:	P15W19-P15W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fAq_1]
   UNSPLITVOC:	(fuwquwA)
          POS:	CV+CVSUFF_SUBJ:2P
          VOC:	fuwq+uwA
        GLOSS:	wake up+you [pl.]

 INPUT STRING:	بقى
     IS_TRANS:	bqY
        INDEX:	P15W16
      OFFSETS:	94-97
       TOKENS:	P15W20-P15W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baqaY_1]
   UNSPLITVOC:	(baqaY)
          POS:	ADV
          VOC:	baqaY
        GLOSS:	so

