 INPUT STRING:	الأستاذ
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	NEG_PART
          VOC:	lA
        GLOSS:	no/not

 INPUT STRING:	تستخدم
     IS_TRANS:	tstxdm
        INDEX:	P10W15
      OFFSETS:	71-77
       TOKENS:	P10W16-P10W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<isotaxodam_1]
   UNSPLITVOC:	(tusotaxodam)
          POS:	IV3FS+IV_PASS
          VOC:	tu+sotaxodam
        GLOSS:	it/they/she+be used

 INPUT STRING:	لتهريب
     IS_TRANS:	lthryb
        INDEX:	P10W16
      OFFSETS:	78-84
       TOKENS:	P10W17-P10W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tahoriyb_1]
   UNSPLITVOC:	(litahoriyb)
          POS:	PREP+NOUN
          VOC:	li+tahoriyb
        GLOSS:	for/to+smuggling/illicit trade/contrabandage

 INPUT STRING:	الأسلحة
     IS_TRANS:	Al>slHp
        INDEX:	P10W17
      OFFSETS:	85-92
       TOKENS:	P10W19-P10W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[silAH_1]
   UNSPLITVOC:	(Al>aslaHap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+>aslaH+ap
        GLOSS:	the+weapons+[fem.sg.]

 INPUT STRING:	ومصر
     IS_TRANS:	wmSr
        INDEX:	P10W18
      OFFSETS:	93-97
       TOKENS:	P10W20-P10W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSor_1]
   UNSPLITVOC:	(wimaSor)
          POS:	CONJ+NOUN_PROP
          VOC:	wi+maSor
        GLOSS:	and+egypt

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P10W19
      OFFSETS:	98-100
       TOKENS:	P10W22-P10W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	NEG_PART
          VOC:	lA
        GLOSS:	no/not

 INPUT STRING:	يعنيها
     IS_TRANS:	yEnyhA
        INDEX:	P10W20
      OFFSETS:	101-107
       TOKENS:	P10W23-P10W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[EanaY_1]
   UNSPLITVOC:	(yaEniyhA)
          POS:	IV3MS+IV+IVSUFF_DO:3FS
          VOC:	ya+Eniy+hA
        GLOSS:	he/it+afflict+it/them/her

 INPUT STRING:	الاتفاق
     IS_TRANS:	AlAtfAq
        INDEX:	P10W21
      OFFSETS:	108-115
       TOKENS:	P10W25-P10W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ait~ifAq_1]
   UNSPLITVOC:	(AlAit~ifAq)
          POS:	DET+NOUN
          VOC:	Al+Ait~ifAq
        GLOSS:	the+agreement/accord/treaty

 INPUT STRING:	الإسرائيلي
     IS_TRANS:	Al<srA}yly
        INDEX:	P10W22
      OFFSETS:	116-126
       TOKENS:	P10W26-P10W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<isorA}iyliy_1]
   UNSPLITVOC:	(Al<isorA}iyliy)
          POS:	DET+ADJ
          VOC:	Al+<isorA}iyliy
        GLOSS:	the+Israeli

 INPUT STRING:	الأمريكي
     IS_TRANS:	Al>mryky
        INDEX:	P10W23
      OFFSETS:	127-135
       TOKENS:	P10W27-P10W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>amoriykiy~_1]
   UNSPLITVOC:	(Al>amoriykiy~)
          POS:	DET+ADJ
          VOC:	Al+>amoriykiy~
        GLOSS:	the+American

 INPUT STRING:	الذي
     IS_TRANS:	Al*y
        INDEX:	P10W24
      OFFSETS:	136-140
       TOKENS:	P10W28-P10W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ail~a*iy_1]
   UNSPLITVOC:	(Al~a*iy)
          POS:	REL_PRON
          VOC:	Al~a*iy
        GLOSS:	which

 INPUT STRING:	تم
     IS_TRANS:	tm
        INDEX:	P10W25
      OFFSETS:	141-143
       TOKENS:	P10W29-P10W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tam~_1]
   UNSPLITVOC:	(tam~)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	tam~+(null)
        GLOSS:	conclude/take place+he/it

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P10W26
      OFFSETS:	144-146
       TOKENS:	P10W30-P10W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	غير
     IS_TRANS:	gyr
        INDEX:	P10W27
      OFFSETS:	147-150
       TOKENS:	P10W31-P10W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[gayor_1]
   UNSPLITVOC:	(gayor)
          POS:	NOUN
          VOC:	gayor
        GLOSS:	not/other

 INPUT STRING:	تواجدها
     IS_TRANS:	twAjdhA
        INDEX:	P10W28
      OFFSETS:	151-158
       TOKENS:	P10W32-P10W33
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tawAjud_1]
   UNSPLITVOC:	(tawAjudhA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	tawAjud+hA
        GLOSS:	presence+its/their/her

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P10W29
      OFFSETS:	158-159
       TOKENS:	P10W34-P10W34
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	إيه
     IS_TRANS:	<yh
        INDEX:	P10W30
      OFFSETS:	160-163
       TOKENS:	P10W35-P10W35
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>iyh_1]
   UNSPLITVOC:	(>iyh)
          POS:	INTERROG_PRON
          VOC:	>iyh
        GLOSS:	what

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P10W31
      OFFSETS:	164-168
       TOKENS:	P10W36-P10W36
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which

 INPUT STRING:	غير
     IS_TRANS:	gyr
        INDEX:	P10W32
      OFFSETS:	169-172
       TOKENS:	P10W37-P10W37
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[gay~ar_1]
   UNSPLITVOC:	(gay~ar)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	gay~ar+(null)
        GLOSS:	change/modify+he/it

 INPUT STRING:	الموقف
     IS_TRANS:	Almwqf
        INDEX:	P10W33
      OFFSETS:	173-179
       TOKENS:	P10W38-P10W38
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mawqif_1]
   UNSPLITVOC:	(Almawqif)
          POS:	DET+NOUN
          VOC:	Al+mawqif
        GLOSS:	the+situation

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P10W34
      OFFSETS:	180-182
       TOKENS:	P10W39-P10W39
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	أقل
     IS_TRANS:	>ql
        INDEX:	P10W35
      OFFSETS:	183-186
       TOKENS:	P10W40-P10W40
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aqal~_1]
   UNSPLITVOC:	(>aqal~)
          POS:	ADJ_COMP
          VOC:	>aqal~
        GLOSS:	least

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P10W36
      OFFSETS:	187-189
       TOKENS:	P10W41-P10W41
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	سنة
     IS_TRANS:	snp
        INDEX:	P10W37
      OFFSETS:	190-193
       TOKENS:	P10W42-P10W42
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sanap_1]
   UNSPLITVOC:	(sanap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	san+ap
        GLOSS:	year/years+[fem.sg.]

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P10W38
      OFFSETS:	193-194
       TOKENS:	P10W43-P10W43
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	فجأة
     IS_TRANS:	fj>p
        INDEX:	P10W39
      OFFSETS:	195-199
       TOKENS:	P10W44-P10W44
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fajo>ap_1]
   UNSPLITVOC:	(fajo>ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	fajo>+ap
        GLOSS:	suddenly+[fem.sg.]

 INPUT STRING:	عرفنا
     IS_TRANS:	ErfnA
        INDEX:	P10W40
      OFFSETS:	200-205
       TOKENS:	P10W45-P10W45
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Earaf_1]
   UNSPLITVOC:	(EarafnA)
          POS:	PV+PVSUFF_SUBJ:1P
          VOC:	Earaf+nA
        GLOSS:	know+we

 INPUT STRING:	إن
     IS_TRANS:	<n
        INDEX:	P10W41
      OFFSETS:	206-208
       TOKENS:	P10W46-P10W46
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in_1]
   UNSPLITVOC:	(<in)
          POS:	SUB_CONJ
          VOC:	<in
        GLOSS:	that

 INPUT STRING:	الأنفاق
     IS_TRANS:	Al>nfAq
        INDEX:	P10W42
      OFFSETS:	209-216
       TOKENS:	P10W47-P10W47
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nafaq_1]
   UNSPLITVOC:	(AlAnofAq)
          POS:	DET+NOUN
          VOC:	Al+AnofAq
        GLOSS:	the+subway/tunnels

 INPUT STRING:	دي
     IS_TRANS:	dy
        INDEX:	P10W43
      OFFSETS:	217-219
       TOKENS:	P10W48-P10W48
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diy_1]
   UNSPLITVOC:	(diy)
          POS:	DEM_PRON_FS
          VOC:	diy
        GLOSS:	this

 INPUT STRING:	خطر
     IS_TRANS:	xTr
        INDEX:	P10W44
      OFFSETS:	220-223
       TOKENS:	P10W49-P10W49
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xaTar_1]
   UNSPLITVOC:	(xaTar)
          POS:	NOUN
          VOC:	xaTar
        GLOSS:	danger/threat/menace

 INPUT STRING:	قومي
     IS_TRANS:	qwmy
        INDEX:	P10W45
      OFFSETS:	224-228
       TOKENS:	P10W50-P10W50
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qawmiy_1]
   UNSPLITVOC:	(qawmiy)
          POS:	ADJ
          VOC:	qawmiy
        GLOSS:	national/state

 INPUT STRING:	وتستخدم
     IS_TRANS:	wtstxdm
        INDEX:	P10W46
      OFFSETS:	229-236
       TOKENS:	P10W51-P10W52
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Aistaxodim_1]
   UNSPLITVOC:	(watusotaxodam)
          POS:	CONJ+IV3FS+IV_PASS
          VOC:	wa+tu+sotaxodam
        GLOSS:	and+she/it+is used

 INPUT STRING:	للتهريب
     IS_TRANS:	llthryb
        INDEX:	P10W47
      OFFSETS:	237-244
       TOKENS:	P10W53-P10W54
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tahoriyb_1]
   UNSPLITVOC:	(lilt~ahoriyb)
          POS:	PREP+DET+NOUN
          VOC:	li+Al+tahoriyb
        GLOSS:	for/to+the+smuggling/illicit trade/contrabandage

 INPUT STRING:	بواسطة
     IS_TRANS:	bwAsTp
        INDEX:	P10W48
      OFFSETS:	245-251
       TOKENS:	P10W55-P10W56
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wAsoTap_1]
   UNSPLITVOC:	(biwAsoTap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	bi+wAsoT+ap
        GLOSS:	with/by+means/device+[fem.sg.]

 INPUT STRING:	الإرهابيين
     IS_TRANS:	Al<rhAbyyn
        INDEX:	P10W49
      OFFSETS:	252-262
       TOKENS:	P10W57-P10W57
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<irohAbiy_1]
   UNSPLITVOC:	(Al<irohAbiy~iyn)
          POS:	DET+ADJ+NSUFF_MASC_PL
          VOC:	Al+<irohAbiy~+iyn
        GLOSS:	the+terrorist+[masc.pl.]

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P10W50
      OFFSETS:	262-263
       TOKENS:	P10W58-P10W58
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	وبعدين
     IS_TRANS:	wbEdyn
        INDEX:	P11W1
      OFFSETS:	0-6
       TOKENS:	P11W1-P11W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEodayn_1]
   UNSPLITVOC:	(wibaEodayn)
          POS:	CONJ+ADV
          VOC:	wi+baEodayn
        GLOSS:	and+next

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P11W2
      OFFSETS:	7-9
       TOKENS:	P11W3-P11W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O, oh

 INPUT STRING:	أخي
     IS_TRANS:	>xy
        INDEX:	P11W3
      OFFSETS:	10-13
       TOKENS:	P11W4-P11W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ax~_1]
   UNSPLITVOC:	(Axiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	Ax+iy
        GLOSS:	brother+my

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P11W4
      OFFSETS:	14-16
       TOKENS:	P11W6-P11W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	he

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P11W5
      OFFSETS:	17-20
       TOKENS:	P11W7-P11W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSor_1]
   UNSPLITVOC:	(maSor)
          POS:	NOUN_PROP
          VOC:	maSor
        GLOSS:	Egypt

 INPUT STRING:	للدرجة
     IS_TRANS:	lldrjp
        INDEX:	P11W6
      OFFSETS:	21-27
       TOKENS:	P11W8-P11W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[darajap_1]
   UNSPLITVOC:	(lild~arajap)
          POS:	PREP+DET+NOUN+NSUFF_FEM_SG
          VOC:	li+Al+daraj+ap
        GLOSS:	for/to+the+degree/class/rank/grade/level/degrees/classes/ranks/grades/levels+[fem.sg.]

 INPUT STRING:	دي
     IS_TRANS:	dy
        INDEX:	P11W7
      OFFSETS:	28-30
       TOKENS:	P11W10-P11W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diy_1]
   UNSPLITVOC:	(diy)
          POS:	DEM_PRON_FS
          VOC:	diy
        GLOSS:	this

 INPUT STRING:	بقت
     IS_TRANS:	bqt
        INDEX:	P11W8
      OFFSETS:	31-34
       TOKENS:	P11W11-P11W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baqaY_1]
   UNSPLITVOC:	(baqit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	baq+it
        GLOSS:	became+it/they/she

 INPUT STRING:	سطيحة
     IS_TRANS:	sTyHp
        INDEX:	P11W9
      OFFSETS:	35-40
       TOKENS:	P11W12-P11W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[siTiyHap_1]
   UNSPLITVOC:	(siTiyHap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	siTiyH+ap
        GLOSS:	flat+[fem.sg.]

 INPUT STRING:	ومش
     IS_TRANS:	wm$
        INDEX:	P11W10
      OFFSETS:	41-44
       TOKENS:	P11W13-P11W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(wimi$)
          POS:	CONJ+NEG_PART
          VOC:	wi+mi$
        GLOSS:	and+not

 INPUT STRING:	عارفة
     IS_TRANS:	EArfp
        INDEX:	P11W11
      OFFSETS:	45-50
       TOKENS:	P11W15-P11W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EArif_1]
   UNSPLITVOC:	(EArofap)
          POS:	ADJ.VN+NSUFF_FEM_SG
          VOC:	EArof+ap
        GLOSS:	knowing/having knowledge of+[fem.sg.]

 INPUT STRING:	تمنع
     IS_TRANS:	tmnE
        INDEX:	P11W12
      OFFSETS:	51-55
       TOKENS:	P11W16-P11W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[manaE_1]
   UNSPLITVOC:	(timonaE)
          POS:	IV3FS+IV
          VOC:	ti+monaE
        GLOSS:	it/they/she+prevent/forbid/be prevented/be forbidden

 INPUT STRING:	إسرائيل
     IS_TRANS:	<srA}yl
        INDEX:	P11W13
      OFFSETS:	56-63
       TOKENS:	P11W17-P11W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<isorA}iyl_1]
   UNSPLITVOC:	(<isorA}iyl)
          POS:	NOUN_PROP
          VOC:	<isorA}iyl
        GLOSS:	Israeli

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P11W14
      OFFSETS:	64-66
       TOKENS:	P11W18-P11W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	ضرب
     IS_TRANS:	Drb
        INDEX:	P11W15
      OFFSETS:	67-70
       TOKENS:	P11W19-P11W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Darob_1]
   UNSPLITVOC:	(Darob)
          POS:	NOUN
          VOC:	Darob
        GLOSS:	beating/hitting/striking

 INPUT STRING:	الحدود
     IS_TRANS:	AlHdwd
        INDEX:	P11W16
      OFFSETS:	71-77
       TOKENS:	P11W20-P11W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Had~_1]
   UNSPLITVOC:	(AlHuduwd)
          POS:	DET+NOUN
          VOC:	Al+Huduwd
        GLOSS:	the+extent/limit/level/border/frontier/limits

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P11W17
      OFFSETS:	77-78
       TOKENS:	P11W21-P11W21
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P11W18
      OFFSETS:	78-79
       TOKENS:	P11W22-P11W22
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	تركيا
     IS_TRANS:	trkyA
        INDEX:	P12W1
      OFFSETS:	0-5
       TOKENS:	P12W1-P12W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[turokiyA_1]
   UNSPLITVOC:	(turokiyA)
          POS:	NOUN_PROP
          VOC:	turokiyA
        GLOSS:	Turkey

 INPUT STRING:	خلت
     IS_TRANS:	xlt
        INDEX:	P12W2
      OFFSETS:	6-9
       TOKENS:	P12W2-P12W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xal~aY_1]
   UNSPLITVOC:	(xal~it)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	xal~+it
        GLOSS:	release/evacuate/allow/be released/be evacuated/be allowed+it/they/she

 INPUT STRING:	إسرائيل
     IS_TRANS:	<srA}yl
        INDEX:	P12W3
      OFFSETS:	10-17
       TOKENS:	P12W3-P12W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<isorA}iyl_1]
   UNSPLITVOC:	(<isorA}iyl)
          POS:	NOUN_PROP
          VOC:	<isorA}iyl
        GLOSS:	Israeli

 INPUT STRING:	تركع
     IS_TRANS:	trkE
        INDEX:	P12W4
      OFFSETS:	18-22
       TOKENS:	P12W4-P12W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rakaE_1]
   UNSPLITVOC:	(tirokaE)
          POS:	IV3FS+IV
          VOC:	ti+rokaE
        GLOSS:	it/they/she+go on knees

 INPUT STRING:	وتبدي
     IS_TRANS:	wtbdy
        INDEX:	P12W5
      OFFSETS:	23-28
       TOKENS:	P12W5-P12W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>abodaY_1]
   UNSPLITVOC:	(watubodiy)
          POS:	CONJ+IV3FS+IV
          VOC:	wa+tu+bodiy
        GLOSS:	and+she/it+appear

 INPUT STRING:	الندم
     IS_TRANS:	Alndm
        INDEX:	P12W6
      OFFSETS:	29-34
       TOKENS:	P12W7-P12W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nadam_1]
   UNSPLITVOC:	(Aln~adam)
          POS:	DET+NOUN
          VOC:	Al+nadam
        GLOSS:	the+remorse/regret

 INPUT STRING:	لمجرد
     IS_TRANS:	lmjrd
        INDEX:	P12W7
      OFFSETS:	35-40
       TOKENS:	P12W8-P12W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mujar~ad_1]
   UNSPLITVOC:	(limujar~ad)
          POS:	PREP+NOUN
          VOC:	li+mujar~ad
        GLOSS:	for/to+just

 INPUT STRING:	إنها
     IS_TRANS:	<nhA
        INDEX:	P12W8
      OFFSETS:	41-45
       TOKENS:	P12W10-P12W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~ahA)
          POS:	SUB_CONJ+PRON_3FS
          VOC:	<in~+hA
        GLOSS:	that+she/it

 INPUT STRING:	عاملت
     IS_TRANS:	EAmlt
        INDEX:	P12W9
      OFFSETS:	46-51
       TOKENS:	P12W12-P12W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAmil_1]
   UNSPLITVOC:	(EAmolit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	EAmol+it
        GLOSS:	treat/deal with/be treated/be dealt with+it/they/she

 INPUT STRING:	السفير
     IS_TRANS:	Alsfyr
        INDEX:	P12W10
      OFFSETS:	52-58
       TOKENS:	P12W13-P12W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[safiyr_1]
   UNSPLITVOC:	(Als~afiyr)
          POS:	DET+NOUN
          VOC:	Al+safiyr
        GLOSS:	the+ambassador

 INPUT STRING:	التركي
     IS_TRANS:	Altrky
