 INPUT STRING:	بصى
        INDEX:	P12W20
      OFFSETS:	86-90
       TOKENS:	P12W26-P12W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which

 INPUT STRING:	بيتقال
     IS_TRANS:	bytqAl
        INDEX:	P12W21
      OFFSETS:	91-97
       TOKENS:	P12W27-P12W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Aitqal_1]
   UNSPLITVOC:	(biyitqAl)
          POS:	PROG_PART+IV3MS+IV_PASS
          VOC:	bi+yi+tqAl
        GLOSS:	[present-tense]+he/it+be said

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P12W22
      OFFSETS:	98-100
       TOKENS:	P12W29-P12W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	التعليقات
     IS_TRANS:	AltElyqAt
        INDEX:	P12W23
      OFFSETS:	101-110
       TOKENS:	P12W30-P12W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taEoliyq_1]
   UNSPLITVOC:	(Alt~aEoliyqAt)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+taEoliyq+At
        GLOSS:	the+comments/remarks+[fem.pl.]

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P12W24
      OFFSETS:	111-113
       TOKENS:	P12W31-P12W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	بيخالف
     IS_TRANS:	byxAlf
        INDEX:	P12W25
      OFFSETS:	114-120
       TOKENS:	P12W32-P12W33
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xAlif_1]
   UNSPLITVOC:	(biyixAlif)
          POS:	PROG_PART+IV3MS+IV
          VOC:	bi+yi+xAlif
        GLOSS:	[present-tense]+he/it+contradict/conflict with/go against

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P12W26
      OFFSETS:	121-123
       TOKENS:	P12W34-P12W34
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all, entire, every, whole

 INPUT STRING:	اخلاق
     IS_TRANS:	AxlAq
        INDEX:	P12W27
      OFFSETS:	124-129
       TOKENS:	P12W35-P12W35
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xuloq_1]
   UNSPLITVOC:	(>axolAq)
          POS:	NOUN
          VOC:	>axolAq
        GLOSS:	morals/character/ethics

 INPUT STRING:	الاسلام
     IS_TRANS:	AlAslAm
        INDEX:	P12W28
      OFFSETS:	130-137
       TOKENS:	P12W36-P12W36
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<isolAm_1]
   UNSPLITVOC:	(Al<isolAm)
          POS:	DET+NOUN
          VOC:	Al+<isolAm
        GLOSS:	the+Islam

