 INPUT STRING:	الاقتصاد

 INPUT STRING:	المدنيين
     IS_TRANS:	Almdnyyn
        INDEX:	P22W12
      OFFSETS:	59-67
       TOKENS:	P22W17-P22W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[madaniy_1]
   UNSPLITVOC:	(Almadaniy~iyn)
          POS:	DET+ADJ+NSUFF_MASC_PL
          VOC:	Al+madaniy~+iyn
        GLOSS:	the+civilian+[masc.pl.]

 INPUT STRING:	والعسكريين
     IS_TRANS:	wAlEskryyn
        INDEX:	P22W13
      OFFSETS:	68-78
       TOKENS:	P22W18-P22W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Easokariy_1]
   UNSPLITVOC:	(wiAlEasokariy~iyn)
          POS:	CONJ+DET+ADJ+NSUFF_MASC_PL
          VOC:	wi+Al+Easokariy~+iyn
        GLOSS:	and+the+military/army+[masc.pl.]

 INPUT STRING:	وباسعار
     IS_TRANS:	wbAsEAr
        INDEX:	P22W14
      OFFSETS:	79-86
       TOKENS:	P22W20-P22W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[siEor_1]
   UNSPLITVOC:	(wibi>asoEAr)
          POS:	CONJ+PREP+NOUN
          VOC:	wi+bi+>asoEAr
        GLOSS:	and+with/by+prices/rates

 INPUT STRING:	مناسبه
     IS_TRANS:	mnAsbh
        INDEX:	P22W15
      OFFSETS:	87-93
       TOKENS:	P22W23-P22W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[munAsib_1]
   UNSPLITVOC:	(munAsobap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	munAsob+ap
        GLOSS:	suitable/appropriate+[fem.sg.]

 INPUT STRING:	جدا
     IS_TRANS:	jdA
        INDEX:	P22W16
      OFFSETS:	94-97
       TOKENS:	P22W24-P22W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jid~_1]
   UNSPLITVOC:	(jid~AF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	jid~+AF
        GLOSS:	very/much+[acc.indef.]

 INPUT STRING:	لكل
     IS_TRANS:	lkl
        INDEX:	P22W17
      OFFSETS:	98-101
       TOKENS:	P22W25-P22W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(likul~)
          POS:	PREP+NOUN_QUANT
          VOC:	li+kul~
        GLOSS:	for/to+all, entire, every, whole

 INPUT STRING:	الناس
     IS_TRANS:	AlnAs
        INDEX:	P22W18
      OFFSETS:	102-107
       TOKENS:	P22W27-P22W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAs_1]
   UNSPLITVOC:	(Aln~As)
          POS:	DET+NOUN
          VOC:	Al+nAs
        GLOSS:	the+people

 INPUT STRING:	يعني
     IS_TRANS:	yEny
        INDEX:	P23W1
      OFFSETS:	0-4
       TOKENS:	P23W1-P23W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EanaY_1]
   UNSPLITVOC:	(yaEoniy)
          POS:	IV3MS+IV
          VOC:	ya+Eoniy
        GLOSS:	he/it+mean/concern/signify

 INPUT STRING:	مشاريع
     IS_TRANS:	m$AryE
        INDEX:	P23W2
      OFFSETS:	5-11
       TOKENS:	P23W2-P23W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ma$oruwE_1]
   UNSPLITVOC:	(ma$AriyE)
          POS:	NOUN
          VOC:	ma$AriyE
        GLOSS:	projects/enterprises

 INPUT STRING:	الجيش
     IS_TRANS:	Aljy$
        INDEX:	P23W3
      OFFSETS:	12-17
       TOKENS:	P23W3-P23W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jay$_1]
   UNSPLITVOC:	(Aljay$)
          POS:	DET+NOUN
          VOC:	Al+jay$
        GLOSS:	the+army/troops

 INPUT STRING:	بتضمن
     IS_TRANS:	btDmn
        INDEX:	P23W4
      OFFSETS:	18-23
       TOKENS:	P23W4-P23W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Daman_1]
   UNSPLITVOC:	(bitiDoman)
          POS:	PROG_PART+IV3FS+IV
          VOC:	bi+ti+Doman
        GLOSS:	[present-tense]+it/they/she+guarantee/insure

 INPUT STRING:	استقلاليته
     IS_TRANS:	AstqlAlyth
        INDEX:	P23W5
      OFFSETS:	24-34
       TOKENS:	P23W6-P23W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AisotiqolAliy~ap_1]
   UNSPLITVOC:	(AisotiqolAliy~ituh)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_3MS
          VOC:	AisotiqolAliy~+ap+uh
        GLOSS:	independency/autonomy+[fem.sg.]+his/its

 INPUT STRING:	واكتفاؤه
     IS_TRANS:	wAktfA&h
        INDEX:	P23W6
      OFFSETS:	35-43
       TOKENS:	P23W8-P23W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AikotifA'_1]
   UNSPLITVOC:	(wiAikotifA&uh)
          POS:	CONJ+NOUN+POSS_PRON_3MS
          VOC:	wi+AikotifA'+uh
        GLOSS:	and+sufficiency/contentment+his/its

 INPUT STRING:	الذاتي
     IS_TRANS:	Al*Aty
        INDEX:	P23W7
      OFFSETS:	44-50
       TOKENS:	P23W11-P23W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Al*Atiy~_1]
   UNSPLITVOC:	(Al*~Atiy)
          POS:	DET+ADJ
          VOC:	Al+*Atiy
        GLOSS:	the+autonomous/self/auto-

 INPUT STRING:	ومخلياه
     IS_TRANS:	wmxlyAh
        INDEX:	P23W8
      OFFSETS:	51-58
       TOKENS:	P23W12-P23W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mixal~iy_1]
   UNSPLITVOC:	(wimixal~iy~Ah)
          POS:	CONJ+ADJ.VN+NSUFF_FEM_SG+POSS_PRON_3MS
          VOC:	wi+mixal~iy~+ap+uh
        GLOSS:	and+releasing/evacuating/allowing+[fem.sg.]+his/its

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P23W9
      OFFSETS:	59-61
       TOKENS:	P23W15-P23W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	he/it

 INPUT STRING:	المؤسسه
     IS_TRANS:	Alm&ssh
        INDEX:	P23W10
      OFFSETS:	62-69
       TOKENS:	P23W16-P23W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mu&as~asap_1]
   UNSPLITVOC:	(Almu&as~asap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+mu&as~as+ap
        GLOSS:	the+institution/organization+[fem.sg.]

 INPUT STRING:	الوحيده
     IS_TRANS:	AlwHydh
        INDEX:	P23W11
      OFFSETS:	70-77
       TOKENS:	P23W17-P23W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waHiyd_1]
   UNSPLITVOC:	(AlwaHiydap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+waHiyd+ap
        GLOSS:	the+only/sole/alone/exclusive+[fem.sg.]

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P23W12
      OFFSETS:	78-82
       TOKENS:	P23W18-P23W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who/whom/which

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P23W13
      OFFSETS:	83-85
       TOKENS:	P23W19-P23W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P23W14
      OFFSETS:	86-89
       TOKENS:	P23W20-P23W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[miSor_1]
   UNSPLITVOC:	(maSor)
          POS:	NOUN_PROP
          VOC:	maSor
        GLOSS:	Egypt

 INPUT STRING:	منظمه
     IS_TRANS:	mnZmh
        INDEX:	P23W15
      OFFSETS:	90-95
       TOKENS:	P23W21-P23W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[munaZ~amap_1]
   UNSPLITVOC:	(munaZ~amap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	munaZ~am+ap
        GLOSS:	organized/orderly/arranged+[fem.sg.]

 INPUT STRING:	وناجحه
     IS_TRANS:	wnAjHh
        INDEX:	P23W16
      OFFSETS:	96-102
       TOKENS:	P23W22-P23W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAjiH_1]
   UNSPLITVOC:	(winAjoHap)
          POS:	CONJ+ADJ+NSUFF_FEM_SG
          VOC:	wi+nAjoH+ap
        GLOSS:	and+successful/winning+[fem.sg.]

 INPUT STRING:	وبتخدم
     IS_TRANS:	wbtxdm
        INDEX:	P23W17
      OFFSETS:	103-109
       TOKENS:	P23W24-P23W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xadam_1]
   UNSPLITVOC:	(wibitixodim)
          POS:	CONJ+PROG_PART+IV3FS+IV
          VOC:	wi+bi+ti+xodim
        GLOSS:	and+[present-tense]+she/it/they+serve/assist

 INPUT STRING:	الناس
     IS_TRANS:	AlnAs
        INDEX:	P23W18
      OFFSETS:	110-115
       TOKENS:	P23W27-P23W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAs_1]
   UNSPLITVOC:	(Aln~As)
          POS:	DET+NOUN
          VOC:	Al+nAs
        GLOSS:	the+people

 INPUT STRING:	واذا
     IS_TRANS:	wA*A
        INDEX:	P24W1
      OFFSETS:	0-4
       TOKENS:	P24W1-P24W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ai*A_1]
   UNSPLITVOC:	(wi<i*A)
          POS:	CONJ+SUB_CONJ
          VOC:	wi+<i*A
        GLOSS:	and+If, whether, when, whenever

 INPUT STRING:	كان
     IS_TRANS:	kAn
        INDEX:	P24W2
      OFFSETS:	5-8
       TOKENS:	P24W3-P24W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAn)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	kAn+(null)
        GLOSS:	be+he/it [verb]

 INPUT STRING:	فيه
     IS_TRANS:	fyh
        INDEX:	P24W3
      OFFSETS:	9-12
       TOKENS:	P24W4-P24W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyh)
          POS:	PREP+PRON_3MS
          VOC:	fiy+uh
        GLOSS:	in+him/it

 INPUT STRING:	فساد
     IS_TRANS:	fsAd
        INDEX:	P24W4
      OFFSETS:	13-17
       TOKENS:	P24W6-P24W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fasAd_1]
   UNSPLITVOC:	(fasAd)
          POS:	NOUN
          VOC:	fasAd
        GLOSS:	deterioration/decomposition

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P24W5
      OFFSETS:	18-20
       TOKENS:	P24W7-P24W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	الرؤساء
     IS_TRANS:	Alr&sA'
        INDEX:	P24W6
      OFFSETS:	21-28
       TOKENS:	P24W8-P24W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ra}iys_1]
   UNSPLITVOC:	(Alr~u&asA')
          POS:	DET+NOUN
          VOC:	Al+ru&asA'
        GLOSS:	the+presidents

 INPUT STRING:	كان
     IS_TRANS:	kAn
        INDEX:	P24W7
      OFFSETS:	29-32
       TOKENS:	P24W9-P24W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAn)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	kAn+(null)
        GLOSS:	be+he/it [verb]

 INPUT STRING:	هيظهر
     IS_TRANS:	hyZhr
        INDEX:	P24W8
      OFFSETS:	33-38
       TOKENS:	P24W10-P24W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Zahar_1]
   UNSPLITVOC:	(HayiZohar)
          POS:	FUT_PART+IV3MS+IV
          VOC:	Ha+yi+Zohar
        GLOSS:	will+he/it+appear/emerge

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P24W9
      OFFSETS:	39-42
       TOKENS:	P24W12-P24W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	المرؤسين
     IS_TRANS:	Almr&syn
        INDEX:	P24W10
      OFFSETS:	43-51
       TOKENS:	P24W13-P24W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[maro&uws_1]
   UNSPLITVOC:	(Almaro'uwsiyn)
          POS:	DET+NOUN+NSUFF_MASC_PL
          VOC:	Al+maro'uws+iyn
        GLOSS:	the+subordinate/subaltern+[masc.pl.]

 INPUT STRING:	ودا
     IS_TRANS:	wdA
        INDEX:	P24W11
      OFFSETS:	52-55
       TOKENS:	P24W14-P24W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(widah)
          POS:	CONJ+DEM_PRON_MS
          VOC:	wi+dah
        GLOSS:	and+this

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P24W12
      OFFSETS:	56-60
       TOKENS:	P24W16-P24W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who/whom/which

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P24W13
      OFFSETS:	61-63
       TOKENS:	P24W17-P24W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	شايفينه
     IS_TRANS:	$Ayfynh
        INDEX:	P24W14
      OFFSETS:	64-71
       TOKENS:	P24W18-P24W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$Ayif_1]
   UNSPLITVOC:	($Ayofiynuh)
          POS:	ADJ+NSUFF_MASC_PL+PRON_3MS
          VOC:	$Ayof+iyn+uh
        GLOSS:	looking+[masc.pl.]+his/its

 INPUT STRING:	ودي
     IS_TRANS:	wdy
        INDEX:	P25W1
      OFFSETS:	0-3
       TOKENS:	P25W1-P25W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[widiy]
   UNSPLITVOC:	(widiy)
          POS:	CONJ+DEM_PRON
          VOC:	wi+diy
        GLOSS:	and+this/these

 INPUT STRING:	حاجه
     IS_TRANS:	HAjh
        INDEX:	P25W2
      OFFSETS:	4-8
       TOKENS:	P25W3-P25W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(HAjap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HAj+ap
        GLOSS:	thing+[fem.sg.]

 INPUT STRING:	مزعله
     IS_TRANS:	mzElh
        INDEX:	P25W3
      OFFSETS:	9-14
       TOKENS:	P25W4-P25W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mizaE~al_1]
   UNSPLITVOC:	(mizaE~alap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	mizaE~al+ap
        GLOSS:	annoying/make angry+[fem.sg.]

 INPUT STRING:	ناس
     IS_TRANS:	nAs
        INDEX:	P25W4
      OFFSETS:	15-18
       TOKENS:	P25W5-P25W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAs_1]
   UNSPLITVOC:	(nAs)
          POS:	NOUN
          VOC:	nAs
        GLOSS:	people

 INPUT STRING:	كتير
     IS_TRANS:	ktyr
        INDEX:	P25W5
      OFFSETS:	19-23
       TOKENS:	P25W6-P25W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kitiyr_1]
   UNSPLITVOC:	(kitiyr)
          POS:	ADJ
          VOC:	kitiyr
        GLOSS:	many/much/numerous

 INPUT STRING:	وبعدين
     IS_TRANS:	wbEdyn
        INDEX:	P26W1
      OFFSETS:	0-6
       TOKENS:	P26W1-P26W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEodayn_1]
   UNSPLITVOC:	(wibaEodayn)
          POS:	CONJ+ADV
          VOC:	wi+baEodayn
        GLOSS:	and+later/next

 INPUT STRING:	هي
     IS_TRANS:	hy
        INDEX:	P26W2
      OFFSETS:	7-9
       TOKENS:	P26W3-P26W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hiy~a_1]
   UNSPLITVOC:	(hiy~a)
          POS:	PRON_3FS
          VOC:	hiy~a
        GLOSS:	she/it/they

 INPUT STRING:	الكاتبه
     IS_TRANS:	AlkAtbh
        INDEX:	P26W3
      OFFSETS:	10-17
       TOKENS:	P26W4-P26W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAtib_1]
   UNSPLITVOC:	(AlkAtobap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+kAtob+ap
        GLOSS:	the+writer/author+[fem.sg.]

 INPUT STRING:	المحترمه
     IS_TRANS:	AlmHtrmh
        INDEX:	P26W4
      OFFSETS:	18-26
       TOKENS:	P26W5-P26W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muHotaram_1]
   UNSPLITVOC:	(AlmuHotaramap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+muHotaram+ap
        GLOSS:	the+esteemed/respected+[fem.sg.]

 INPUT STRING:	زعلانه
     IS_TRANS:	zElAnh
        INDEX:	P26W5
      OFFSETS:	27-33
       TOKENS:	P26W6-P26W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zaEolAn_1]
   UNSPLITVOC:	(zaEolAnap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	zaEolAn+ap
        GLOSS:	angry/annoyed+[fem.sg.]

 INPUT STRING:	علشان
     IS_TRANS:	El$An
        INDEX:	P26W6
      OFFSETS:	34-39
       TOKENS:	P26W7-P26W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[$a>on_1]
   UNSPLITVOC:	(Eala$An)
          POS:	PREP+NOUN
          VOC:	EalaY+$An
        GLOSS:	on/above+matter/affair/case

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P26W7
      OFFSETS:	40-42
       TOKENS:	P26W9-P26W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	NEG_PART
          VOC:	mA
        GLOSS:	not

 INPUT STRING:	اتخصخصتش
     IS_TRANS:	AtxSxSt$
        INDEX:	P26W8
      OFFSETS:	43-51
       TOKENS:	P26W10-P26W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AitoxaSoxaS_1]
   UNSPLITVOC:	(AitoxaSoxaSit$)
          POS:	PV_PASS+PVSUFF_SUBJ:3FS+NEG_PART
          VOC:	AitoxaSoxaS+it+$
        GLOSS:	become a private property+she/it/they [verb]+not

 INPUT STRING:	بالرغم
     IS_TRANS:	bAlrgm
        INDEX:	P26W9
      OFFSETS:	52-58
       TOKENS:	P26W12-P26W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ragom_1]
   UNSPLITVOC:	(biAlr~agom)
          POS:	PREP+DET+NOUN
          VOC:	bi+Al+ragom
        GLOSS:	with/by+the+in spite of/despite

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P26W10
      OFFSETS:	59-61
       TOKENS:	P26W14-P26W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P26W11
      OFFSETS:	62-64
       TOKENS:	P26W15-P26W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P26W12
      OFFSETS:	65-67
       TOKENS:	P26W16-P26W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all, entire, every, whole

 INPUT STRING:	الشعب
     IS_TRANS:	Al$Eb
        INDEX:	P26W13
      OFFSETS:	68-73
       TOKENS:	P26W17-P26W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$aEob_1]
   UNSPLITVOC:	(Al$~aEob)
          POS:	DET+NOUN
          VOC:	Al+$aEob
        GLOSS:	the+people/nation

 INPUT STRING:	حزيين
     IS_TRANS:	Hzyyn
        INDEX:	P26W14
      OFFSETS:	74-79
       TOKENS:	P26W18-P26W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Haziyn_1]
   UNSPLITVOC:	(Haziyn)
          POS:	ADJ
          VOC:	Haziyn
        GLOSS:	sad

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P26W15
      OFFSETS:	80-82
       TOKENS:	P26W19-P26W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	خصخصة
     IS_TRANS:	xSxSp
        INDEX:	P26W16
      OFFSETS:	83-88
       TOKENS:	P26W20-P26W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xaSoxaSap_1]
   UNSPLITVOC:	(xaSoxaSap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	xaSoxaS+ap
        GLOSS:	privatization+[fem.sg.]

 INPUT STRING:	الشركات
     IS_TRANS:	Al$rkAt
        INDEX:	P26W17
      OFFSETS:	89-96
       TOKENS:	P26W21-P26W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$arikap_1]
   UNSPLITVOC:	(Al$~arikAt)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+$arik+At
        GLOSS:	the+companies/corporations+[fem.pl.]

 INPUT STRING:	العاامه
     IS_TRANS:	AlEAAmh
        INDEX:	P26W18
      OFFSETS:	97-104
       TOKENS:	P26W22-P26W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AlEAm~_1]
   UNSPLITVOC:	(AlEAm~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+EAm~+ap
        GLOSS:	the+general/common/public+[fem.sg.]

 INPUT STRING:	وتوضيحا
     IS_TRANS:	wtwDyHA
        INDEX:	P27W1
      OFFSETS:	0-7
