 INPUT STRING:	وصف
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	يناير
     IS_TRANS:	ynAyr
        INDEX:	P22W4
      OFFSETS:	13-18
       TOKENS:	P22W4-P22W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[yanAyir_1]
   UNSPLITVOC:	(yanAyir)
          POS:	NOUN_PROP
          VOC:	yanAyir
        GLOSS:	January

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P22W5
      OFFSETS:	19-20
       TOKENS:	P22W5-P22W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(w)
          POS:	TYPO
          VOC:	w
        GLOSS:	nogloss

 INPUT STRING:	انت
     IS_TRANS:	Ant
        INDEX:	P22W6
      OFFSETS:	21-24
       TOKENS:	P22W6-P22W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainota_1]
   UNSPLITVOC:	(Ainota)
          POS:	PRON_2MS
          VOC:	Ainota
        GLOSS:	you [masc.sg.]

 INPUT STRING:	بتولع
     IS_TRANS:	btwlE
        INDEX:	P22W7
      OFFSETS:	25-30
       TOKENS:	P22W7-P22W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wal~aE_1]
   UNSPLITVOC:	(bitiwal~aE)
          POS:	PROG_PART+IV2MS+IV
          VOC:	bi+ti+wal~aE
        GLOSS:	[present-tense]+you [masc.sg.]+kindle/light/set fire to

 INPUT STRING:	السجارة
     IS_TRANS:	AlsjArp
        INDEX:	P22W8
      OFFSETS:	31-38
       TOKENS:	P22W9-P22W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[siyjArap_1]
   UNSPLITVOC:	(Als~ijArap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+sijAr+ap
        GLOSS:	the+cigarette+[fem.sg.]

 INPUT STRING:	لضابط
     IS_TRANS:	lDAbT
        INDEX:	P22W9
      OFFSETS:	39-44
       TOKENS:	P22W10-P22W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DAbiT_1]
   UNSPLITVOC:	(liDAbiT)
          POS:	PREP+NOUN
          VOC:	li+DAbiT
        GLOSS:	for/to+officer

 INPUT STRING:	امن
     IS_TRANS:	Amn
        INDEX:	P22W10
      OFFSETS:	45-48
       TOKENS:	P22W12-P22W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amon_1]
   UNSPLITVOC:	(>amon)
          POS:	NOUN
          VOC:	>amon
        GLOSS:	security/safety

 INPUT STRING:	الدولة
     IS_TRANS:	Aldwlp
        INDEX:	P22W11
      OFFSETS:	49-55
       TOKENS:	P22W13-P22W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dawlap_1]
   UNSPLITVOC:	(Ald~awlap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+dawl+ap
        GLOSS:	the+state/country+[fem.sg.]

 INPUT STRING:	اللهم
     IS_TRANS:	Allhm
        INDEX:	P23W1
      OFFSETS:	0-5
       TOKENS:	P23W1-P23W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[All~ahum~a_1]
   UNSPLITVOC:	(All~ahum~a)
          POS:	NOUN
          VOC:	All~ahum~a
        GLOSS:	truly/certainly/oh God!/dear God

 INPUT STRING:	اغفر
     IS_TRANS:	Agfr
        INDEX:	P23W2
      OFFSETS:	6-10
       TOKENS:	P23W2-P23W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[gafar_1]
   UNSPLITVOC:	(Aigofir)
          POS:	CV+CVSUFF_SUBJ:2MS
          VOC:	Aigofir+(null)
        GLOSS:	forgive+you [masc.sg.] [verb]

 INPUT STRING:	لنا
     IS_TRANS:	lnA
        INDEX:	P23W3
      OFFSETS:	11-14
       TOKENS:	P23W3-P23W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(linA)
          POS:	PREP+PRON_1P
          VOC:	li+nA
        GLOSS:	to/for+us (we have)

 INPUT STRING:	واهدنا
     IS_TRANS:	wAhdnA
        INDEX:	P23W4
      OFFSETS:	15-21
       TOKENS:	P23W5-P23W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[haday_1]
   UNSPLITVOC:	(wiAihodinA)
          POS:	CONJ+CV+CVSUFF_SUBJ:2MS+CVSUFF_DO:1P
          VOC:	wi+Aihod+(null)+nA
        GLOSS:	and+guide/lead+you [masc.sg.] [verb]+us

 INPUT STRING:	الى
     IS_TRANS:	AlY
        INDEX:	P23W5
      OFFSETS:	22-25
       TOKENS:	P23W8-P23W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AilaY_1]
   UNSPLITVOC:	(AilaY)
          POS:	PREP
          VOC:	AilaY
        GLOSS:	to/towards

 INPUT STRING:	ماتحب
     IS_TRANS:	mAtHb
        INDEX:	P23W6
      OFFSETS:	26-31
       TOKENS:	P23W9-P23W9
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(mAtHb)
          POS:	NO_FUNC
          VOC:	mAtHb
        GLOSS:	nogloss

 INPUT STRING:	وترضى
     IS_TRANS:	wtrDY
        INDEX:	P23W7
      OFFSETS:	32-37
       TOKENS:	P23W10-P23W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[riDiy_1]
   UNSPLITVOC:	(witaroDaY)
          POS:	CONJ+IV2MS+IV
          VOC:	wi+ta+roDaY
        GLOSS:	and+you [masc.sg.] [verb]+be pleased/agree/approve

 INPUT STRING:	واجمع
     IS_TRANS:	wAjmE
        INDEX:	P23W8
      OFFSETS:	38-43
       TOKENS:	P23W12-P23W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[jamaE_1]
   UNSPLITVOC:	(wiAijomaE)
          POS:	CONJ+CV+CVSUFF_SUBJ:2MS
          VOC:	wi+AijomaE+(null)
        GLOSS:	and+gather/assemble+you [masc.sg.] [verb]

 INPUT STRING:	شملنا
     IS_TRANS:	$mlnA
        INDEX:	P23W9
      OFFSETS:	44-49
       TOKENS:	P23W14-P23W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$amol_1]
   UNSPLITVOC:	($amolinA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	$amol+nA
        GLOSS:	members/union/inclusion+our

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P24W1
      OFFSETS:	0-2
       TOKENS:	P24W1-P24W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	كلهم
     IS_TRANS:	klhm
        INDEX:	P24W2
      OFFSETS:	3-7
       TOKENS:	P24W2-P24W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~uhum)
          POS:	NOUN_QUANT+POSS_PRON_3P
          VOC:	kul~+hum
        GLOSS:	all, entire, every, whole+their

 INPUT STRING:	فيهم
     IS_TRANS:	fyhm
        INDEX:	P24W3
      OFFSETS:	8-12
       TOKENS:	P24W4-P24W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyhum)
          POS:	PREP+PRON_3P
          VOC:	fiy+hum
        GLOSS:	in+them

 INPUT STRING:	شوية
     IS_TRANS:	$wyp
        INDEX:	P24W4
      OFFSETS:	13-17
       TOKENS:	P24W6-P24W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[$uway~ap_1]
   UNSPLITVOC:	($uway~ap)
          POS:	NOUN_QUANT+NSUFF_FEM_SG
          VOC:	$uway~+ap
        GLOSS:	a little bit+[fem.sg.]

 INPUT STRING:	حلوين
     IS_TRANS:	Hlwyn
        INDEX:	P24W5
      OFFSETS:	18-23
       TOKENS:	P24W7-P24W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hilow_1]
   UNSPLITVOC:	(Hilowiyn)
          POS:	ADJ+NSUFF_MASC_PL
          VOC:	Hilow+iyn
        GLOSS:	sweet/pleasant+[masc.sg.]

 INPUT STRING:	برده
     IS_TRANS:	brdh
        INDEX:	P24W6
      OFFSETS:	24-28
       TOKENS:	P24W8-P24W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baroDuh_1]
   UNSPLITVOC:	(baroDuh)
          POS:	ADV
          VOC:	baroDuh
        GLOSS:	also/too

