 INPUT STRING:	عذرا
     IS_TRANS:	swryA
        INDEX:	P14W9
      OFFSETS:	44-49
       TOKENS:	P14W14-P14W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[suwryA_1]
   UNSPLITVOC:	(suwryA)
          POS:	NOUN_PROP
          VOC:	suwryA
        GLOSS:	Syria

 INPUT STRING:	وفلسطين
     IS_TRANS:	wflsTyn
        INDEX:	P14W10
      OFFSETS:	50-57
       TOKENS:	P14W15-P14W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[filasoTiyn_1]
   UNSPLITVOC:	(wafilasoTiyn)
          POS:	CONJ+NOUN_PROP
          VOC:	wa+filasoTiyn
        GLOSS:	and+Palestine

 INPUT STRING:	لكن
     IS_TRANS:	lkn
        INDEX:	P15W1
      OFFSETS:	0-3
       TOKENS:	P15W1-P15W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lakin_1]
   UNSPLITVOC:	(lakin)
          POS:	CONJ
          VOC:	lakin
        GLOSS:	But, however, yet, still, nevertheless, on the other hand

 INPUT STRING:	ف
     IS_TRANS:	f
        INDEX:	P15W2
      OFFSETS:	4-5
       TOKENS:	P15W2-P15W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	حاجاةاسمها
     IS_TRANS:	HAjApAsmhA
        INDEX:	P15W3
      OFFSETS:	6-16
       TOKENS:	P15W3-P15W3
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(HAjApAsmhA)
          POS:	NO_FUNC
          VOC:	HAjApAsmhA
        GLOSS:	nogloss

 INPUT STRING:	اتفاقيات
     IS_TRANS:	AtfAqyAt
        INDEX:	P15W4
      OFFSETS:	17-25
       TOKENS:	P15W4-P15W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ait~ifAqiy~ap_1]
   UNSPLITVOC:	(Ait~ifAqiy~At)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	Ait~ifAqiy~+At
        GLOSS:	treaties/accords+[fem.pl.]

 INPUT STRING:	دولية
     IS_TRANS:	dwlyp
        INDEX:	P15W5
      OFFSETS:	26-31
       TOKENS:	P15W5-P15W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dawliy_1]
   UNSPLITVOC:	(dawliy~ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	dawliy~+ap
        GLOSS:	international/world+[fem.sg.]

 INPUT STRING:	لازم
     IS_TRANS:	lAzm
        INDEX:	P15W6
      OFFSETS:	32-36
       TOKENS:	P15W6-P15W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lAzim_1]
   UNSPLITVOC:	(lAzim)
          POS:	NOUN
          VOC:	lAzim
        GLOSS:	necessary/required/needed

 INPUT STRING:	نحترمها
     IS_TRANS:	nHtrmhA
        INDEX:	P15W7
      OFFSETS:	37-44
       TOKENS:	P15W7-P15W7
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(nHtrmhA)
          POS:	NO_FUNC
          VOC:	nHtrmhA
        GLOSS:	nogloss

 INPUT STRING:	والا
     IS_TRANS:	wAlA
        INDEX:	P15W8
      OFFSETS:	45-49
       TOKENS:	P15W8-P15W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<il~A_1]
   UNSPLITVOC:	(wa<il~A)
          POS:	CONJ+RESTRIC_PART
          VOC:	wa+<il~A
        GLOSS:	and+except for

 INPUT STRING:	هنكون
     IS_TRANS:	hnkwn
        INDEX:	P15W9
      OFFSETS:	50-55
       TOKENS:	P15W10-P15W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(Hanikuwn)
          POS:	FUT_PART+IV1P+IV
          VOC:	Ha+ni+kuwn
        GLOSS:	will+we+be

 INPUT STRING:	كدة
     IS_TRANS:	kdp
        INDEX:	P15W10
      OFFSETS:	56-59
       TOKENS:	P15W12-P15W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidah_1]
   UNSPLITVOC:	(kidah)
          POS:	NOUN
          VOC:	kidah
        GLOSS:	like

 INPUT STRING:	بنعلن
     IS_TRANS:	bnEln
        INDEX:	P15W11
      OFFSETS:	60-65
       TOKENS:	P15W13-P15W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aEolan_1]
   UNSPLITVOC:	(biniEolin)
          POS:	PROG_PART+IV1P+IV
          VOC:	bi+ni+Eolin
        GLOSS:	[present-tense]+we+announce/declare/be announced/be declared

 INPUT STRING:	الحرب
     IS_TRANS:	AlHrb
        INDEX:	P15W12
      OFFSETS:	66-71
       TOKENS:	P15W15-P15W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Harob_1]
   UNSPLITVOC:	(AlHarob)
          POS:	DET+NOUN
          VOC:	Al+Harob
        GLOSS:	the+war/warfare/wars

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P15W13
      OFFSETS:	72-75
       TOKENS:	P15W16-P15W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	ايران
     IS_TRANS:	AyrAn
        INDEX:	P15W14
      OFFSETS:	76-81
       TOKENS:	P15W17-P15W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<iyrAn_1]
   UNSPLITVOC:	(<iyrAn)
          POS:	NOUN_PROP
          VOC:	<iyrAn
        GLOSS:	Iran

 INPUT STRING:	وطبعا
     IS_TRANS:	wTbEA
        INDEX:	P15W15
      OFFSETS:	82-87
       TOKENS:	P15W18-P15W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[TaboE_1]
   UNSPLITVOC:	(wiTaboEAF)
          POS:	CONJ+NOUN+CASE_INDEF_ACC
          VOC:	wi+TaboE+AF
        GLOSS:	and+of course+[acc.indef.]

 INPUT STRING:	انتى
     IS_TRANS:	AntY
        INDEX:	P15W16
      OFFSETS:	88-92
       TOKENS:	P15W20-P15W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainotiy_1]
   UNSPLITVOC:	(Ainotiy)
          POS:	PRON_2FS
          VOC:	Ainotiy
        GLOSS:	you

 INPUT STRING:	عارفة
     IS_TRANS:	EArfp
        INDEX:	P15W17
      OFFSETS:	93-98
       TOKENS:	P15W21-P15W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EArif_1]
   UNSPLITVOC:	(EArofap)
          POS:	ADJ.VN+NSUFF_FEM_SG
          VOC:	EArof+ap
        GLOSS:	knowing/having knowledge of+[fem.sg.]

 INPUT STRING:	يعنى
     IS_TRANS:	yEnY
        INDEX:	P15W18
      OFFSETS:	99-103
       TOKENS:	P15W22-P15W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EanaY_1]
   UNSPLITVOC:	(yaEoniy)
          POS:	IV3MS+IV
          VOC:	ya+Eoniy
        GLOSS:	he/it+mean

 INPUT STRING:	ايه
     IS_TRANS:	Ayh
        INDEX:	P15W19
      OFFSETS:	104-107
       TOKENS:	P15W23-P15W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aayoh_1]
   UNSPLITVOC:	(>ayoh)
          POS:	INTERROG_PRON
          VOC:	>ayoh
        GLOSS:	what

 INPUT STRING:	نعلن
     IS_TRANS:	nEln
        INDEX:	P15W20
      OFFSETS:	108-112
       TOKENS:	P15W24-P15W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aEolan_1]
   UNSPLITVOC:	(niEolin)
          POS:	IV1P+IV
          VOC:	ni+Eolin
        GLOSS:	we+announce/declare/be announced/be declared

 INPUT STRING:	حرب
     IS_TRANS:	Hrb
        INDEX:	P15W21
      OFFSETS:	113-116
       TOKENS:	P15W25-P15W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Harob_1]
   UNSPLITVOC:	(Harob)
          POS:	NOUN
          VOC:	Harob
        GLOSS:	war/warfare/wars

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P15W22
      OFFSETS:	117-119
       TOKENS:	P15W26-P15W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	وقت
     IS_TRANS:	wqt
        INDEX:	P15W23
      OFFSETS:	120-123
       TOKENS:	P15W27-P15W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waqot_1]
   UNSPLITVOC:	(waqot)
          POS:	NOUN
          VOC:	waqot
        GLOSS:	time/moment/period of time

 INPUT STRING:	زى
     IS_TRANS:	zY
        INDEX:	P15W24
      OFFSETS:	124-126
       TOKENS:	P15W28-P15W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zay~_1]
   UNSPLITVOC:	(zay~)
          POS:	NOUN
          VOC:	zay~
        GLOSS:	like

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P15W25
      OFFSETS:	127-129
       TOKENS:	P15W29-P15W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	كفاية
     IS_TRANS:	kfAyp
        INDEX:	P16W1
      OFFSETS:	0-5
       TOKENS:	P16W1-P16W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kifAyap_1]
   UNSPLITVOC:	(kifAyap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	kifAy+ap
        GLOSS:	sufficiency/competence+[fem.sg.]

 INPUT STRING:	شعللة
     IS_TRANS:	$Ellp
        INDEX:	P16W2
      OFFSETS:	6-11
       TOKENS:	P16W2-P16W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$aEolalap_1]
   UNSPLITVOC:	($aEolalap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	$aEolal+ap
        GLOSS:	igniting+[fem.sg.]

 INPUT STRING:	التقييم
     IS_TRANS:	Altqyym
        INDEX:	P17W1
      OFFSETS:	0-7
       TOKENS:	P17W1-P17W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taqoyiym_1]
   UNSPLITVOC:	(Alt~aqoyiym)
          POS:	DET+NOUN
          VOC:	Al+taqoyiym
        GLOSS:	the+evaluation/assessment/rating

 INPUT STRING:	سئ
     IS_TRANS:	s}
        INDEX:	P17W2
      OFFSETS:	8-10
       TOKENS:	P17W2-P17W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[say~i'_1]
   UNSPLITVOC:	(say~i')
          POS:	ADJ
          VOC:	say~i'
        GLOSS:	bad

 INPUT STRING:	جدا
     IS_TRANS:	jdA
        INDEX:	P17W3
      OFFSETS:	11-14
       TOKENS:	P17W3-P17W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jid~_1]
   UNSPLITVOC:	(jid~AF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	jid~+AF
        GLOSS:	very/much+[acc.indef.]

 INPUT STRING:	احنا
     IS_TRANS:	AHnA
        INDEX:	P18W1
      OFFSETS:	0-4
       TOKENS:	P18W1-P18W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiHonA_1]
   UNSPLITVOC:	(AiHonA)
          POS:	PRON_1P
          VOC:	AiHonA
        GLOSS:	we

 INPUT STRING:	قلوبنا
     IS_TRANS:	qlwbnA
        INDEX:	P18W2
      OFFSETS:	5-11
       TOKENS:	P18W2-P18W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qalob_1]
   UNSPLITVOC:	(quluwbnA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	quluwb+nA
        GLOSS:	heart/center/essence+our

 INPUT STRING:	بتتقطع
     IS_TRANS:	bttqTE
        INDEX:	P18W3
      OFFSETS:	12-18
       TOKENS:	P18W4-P18W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AitoqaT~aE_1]
   UNSPLITVOC:	(bititoqaT~aE)
          POS:	PROG_PART+IV3FS+IV
          VOC:	bi+ti+toqaT~aE
        GLOSS:	[present-tense]+it/they/she+cut

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P18W4
      OFFSETS:	19-21
       TOKENS:	P18W6-P18W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P18W5
      OFFSETS:	22-26
       TOKENS:	P18W7-P18W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which

 INPUT STRING:	بيحصلهم
     IS_TRANS:	byHSlhm
        INDEX:	P18W6
      OFFSETS:	27-34
       TOKENS:	P18W8-P18W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HaS~al_1]
   UNSPLITVOC:	(biyiHaS~alhum)
          POS:	PROG_PART+IV3MS+IV+IVSUFF_DO:3P
          VOC:	bi+yi+HaS~al+hum
        GLOSS:	[present-tense]+he/it+occur/happen/take place+them

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P18W7
      OFFSETS:	35-37
       TOKENS:	P18W11-P18W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bas~_1]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P18W8
      OFFSETS:	38-40
       TOKENS:	P18W12-P18W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	ايه
     IS_TRANS:	Ayh
        INDEX:	P18W9
      OFFSETS:	41-44
       TOKENS:	P18W13-P18W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iyoh_1]
   UNSPLITVOC:	(<iyoh)
          POS:	INTERROG_PRON
          VOC:	<iyoh
        GLOSS:	what

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P18W10
      OFFSETS:	45-47
       TOKENS:	P18W14-P18W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P18W11
      OFFSETS:	48-50
       TOKENS:	P18W15-P18W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all

 INPUT STRING:	حاجه
     IS_TRANS:	HAjh
        INDEX:	P18W12
      OFFSETS:	51-55
       TOKENS:	P18W16-P18W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(HAjap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HAj+ap
        GLOSS:	thing/belongings+[fem.sg.]

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P18W13
      OFFSETS:	56-59
       TOKENS:	P18W17-P18W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSor_1]
   UNSPLITVOC:	(maSor)
          POS:	NOUN_PROP
          VOC:	maSor
        GLOSS:	Egypt

 INPUT STRING:	السبب
     IS_TRANS:	Alsbb
        INDEX:	P18W14
      OFFSETS:	60-65
       TOKENS:	P18W18-P18W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sabab_1]
   UNSPLITVOC:	(Als~abab)
          POS:	DET+NOUN
          VOC:	Al+sabab
        GLOSS:	the+reason/cause/because of/due to

 INPUT STRING:	فيها
     IS_TRANS:	fyhA
        INDEX:	P18W15
      OFFSETS:	66-70
       TOKENS:	P18W19-P18W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyhA)
          POS:	PREP+PRON_3FS
          VOC:	fiy+hA
        GLOSS:	in+it/her

 INPUT STRING:	لماانتى
     IS_TRANS:	lmAAntY
        INDEX:	P19W1
      OFFSETS:	0-7
       TOKENS:	P19W1-P19W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Ainotiy_1]
   UNSPLITVOC:	(lam~AAinotiy)
          POS:	CONJ+PRON_2FS
          VOC:	lam~A+Ainotiy
        GLOSS:	as when+you

 INPUT STRING:	تقولى
     IS_TRANS:	tqwlY
        INDEX:	P19W2
      OFFSETS:	8-13
       TOKENS:	P19W3-P19W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(tiquwliy)
          POS:	IV2FS+IV+IVSUFF_SUBJ:2FS
          VOC:	ti+quwl+iy
        GLOSS:	you+said/say/be said/say/(for example)+you

 INPUT STRING:	كده
     IS_TRANS:	kdh
        INDEX:	P19W3
      OFFSETS:	14-17
       TOKENS:	P19W4-P19W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidah_1]
   UNSPLITVOC:	(kidah)
          POS:	NOUN
          VOC:	kidah
        GLOSS:	like

 INPUT STRING:	غيرك
     IS_TRANS:	gyrk
        INDEX:	P19W4
      OFFSETS:	18-22
       TOKENS:	P19W5-P19W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[gayor_1]
   UNSPLITVOC:	(gayorik)
          POS:	NOUN+POSS_PRON_2FS
          VOC:	gayor+ik
        GLOSS:	not/other+you

 INPUT STRING:	يقول
     IS_TRANS:	yqwl
        INDEX:	P19W5
      OFFSETS:	23-27
       TOKENS:	P19W7-P19W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(yiquwl)
          POS:	IV3MS+IV
          VOC:	yi+quwl
        GLOSS:	he/it+said/say/be said/say/(for example)

 INPUT STRING:	ايه
     IS_TRANS:	Ayh
        INDEX:	P19W6
      OFFSETS:	28-31
       TOKENS:	P19W8-P19W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iyoh_1]
   UNSPLITVOC:	(<iyoh)
          POS:	INTERROG_PRON
          VOC:	>iyoh
        GLOSS:	what

 INPUT STRING:	يامصريه
     IS_TRANS:	yAmSryh
        INDEX:	P19W7
      OFFSETS:	32-39
       TOKENS:	P19W9-P19W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[maSoriy_1]
   UNSPLITVOC:	(yAmaSoriyap)
          POS:	VOC_PART+ADJ
          VOC:	yA+maSoriyap
        GLOSS:	oh+egyptian

 INPUT STRING:	يلى
     IS_TRANS:	ylY
        INDEX:	P19W8
      OFFSETS:	40-43
       TOKENS:	P19W11-P19W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[yal~iy_1]
   UNSPLITVOC:	(yal~iy)
          POS:	REL_PRON
          VOC:	yal~iy
        GLOSS:	which

 INPUT STRING:	بتحبى
     IS_TRANS:	btHbY
        INDEX:	P19W9
      OFFSETS:	44-49
       TOKENS:	P19W12-P19W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hab~_1]
   UNSPLITVOC:	(bitiHib~iy)
          POS:	PROG_PART+IV2FS+IV+IVSUFF_SUBJ:2FS
          VOC:	bi+ti+Hib~+iy
        GLOSS:	[present-tense]+you+love+you

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P19W10
      OFFSETS:	50-53
       TOKENS:	P19W14-P19W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSor_1]
   UNSPLITVOC:	(maSor)
          POS:	NOUN_PROP
          VOC:	maSor
        GLOSS:	Egypt

 INPUT STRING:	اكتر
     IS_TRANS:	Aktr
        INDEX:	P19W11
      OFFSETS:	54-58
       TOKENS:	P19W15-P19W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>akotar_1]
   UNSPLITVOC:	(>akotar)
          POS:	ADJ_COMP
          VOC:	>akotar
        GLOSS:	more than

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P19W12
      OFFSETS:	59-61
       TOKENS:	P19W16-P19W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	روحك
     IS_TRANS:	rwHk
        INDEX:	P19W13
      OFFSETS:	62-66
       TOKENS:	P19W17-P19W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rawH_1]
   UNSPLITVOC:	(ruwHik)
          POS:	NOUN+POSS_PRON_2FS
          VOC:	ruwH+ik
        GLOSS:	soul or spirit+your

 INPUT STRING:	كفايه
     IS_TRANS:	kfAyh
        INDEX:	P20W1
      OFFSETS:	0-5
       TOKENS:	P20W1-P20W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kifAyap_1]
   UNSPLITVOC:	(kifAyap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	kifAy+ap
        GLOSS:	sufficiency/competence+[fem.sg.]

 INPUT STRING:	شعلله
     IS_TRANS:	$Ellh
        INDEX:	P20W2
      OFFSETS:	6-11
       TOKENS:	P20W2-P20W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$aEolalap_1]
   UNSPLITVOC:	($aEolalap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	$aEolal+ap
        GLOSS:	ignition+[fem.sg.]

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P20W3
      OFFSETS:	12-14
       TOKENS:	P20W3-P20W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	اتفاقيات
     IS_TRANS:	AtfAqyAt
        INDEX:	P20W4
      OFFSETS:	15-23
       TOKENS:	P20W4-P20W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ait~ifAqiy~ap_1]
   UNSPLITVOC:	(Ait~ifAqiy~At)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	Ait~ifAqiy~+At
        GLOSS:	treaties/accords+[fem.pl.]

 INPUT STRING:	دوليه
     IS_TRANS:	dwlyh
        INDEX:	P20W5
      OFFSETS:	24-29
       TOKENS:	P20W5-P20W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dawliy_1]
   UNSPLITVOC:	(dawliy~ap)
          POS:	ADJ+NSUFF_FEM_SG
