 INPUT STRING:	اريد
       TOKENS:	P22W18-P22W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>anA_1]
   UNSPLITVOC:	(wa>anA)
          POS:	CONJ+PRON_1S
          VOC:	wa+>anA
        GLOSS:	and+I

 INPUT STRING:	هكون
     IS_TRANS:	hkwn
        INDEX:	P22W15
      OFFSETS:	68-72
       TOKENS:	P22W20-P22W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(HaAakuwn)
          POS:	FUT_PART+IV1S+IV
          VOC:	Ha+Aa+kuwn
        GLOSS:	will+I+be/was/were

 INPUT STRING:	معاك
     IS_TRANS:	mEAk
        INDEX:	P22W16
      OFFSETS:	73-77
       TOKENS:	P22W22-P22W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[maE_1]
   UNSPLITVOC:	(maEAk)
          POS:	NOUN+POSS_PRON_2MS
          VOC:	maEa+ak
        GLOSS:	something with/together+your

 INPUT STRING:	صدقني
     IS_TRANS:	Sdqny
        INDEX:	P22W17
      OFFSETS:	78-83
       TOKENS:	P22W24-P22W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Sad~aq_1]
   UNSPLITVOC:	(Sad~aqniy)
          POS:	CV+CVSUFF_SUBJ:2MS+CVSUFF_DO:1S
          VOC:	Sad~aq+(null)+niy
        GLOSS:	believe/give credence to/confirm/be believed/ratify/adopt+you+me

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P22W18
      OFFSETS:	83-84
       TOKENS:	P22W26-P22W26
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	سؤال
     IS_TRANS:	s&Al
        INDEX:	P23W1
      OFFSETS:	0-4
       TOKENS:	P23W1-P23W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[su&Al_1]
   UNSPLITVOC:	(su&Al)
          POS:	NOUN
          VOC:	su&Al
        GLOSS:	question/inquiry/questions/inquiries

 INPUT STRING:	تاني
     IS_TRANS:	tAny
        INDEX:	P23W2
      OFFSETS:	5-9
       TOKENS:	P23W2-P23W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tAniy_1]
   UNSPLITVOC:	(tAniy)
          POS:	ADJ
          VOC:	tAniy
        GLOSS:	second/next/II/secondly

 INPUT STRING:	بعيد
     IS_TRANS:	bEyd
        INDEX:	P23W3
      OFFSETS:	10-14
       TOKENS:	P23W3-P23W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[biEiyd_1]
   UNSPLITVOC:	(biEiyd)
          POS:	ADJ
          VOC:	biEiyd
        GLOSS:	remote/distant/far/far away (from)/unlikely/faraway

 INPUT STRING:	عن
     IS_TRANS:	En
        INDEX:	P23W4
      OFFSETS:	15-17
       TOKENS:	P23W4-P23W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ean_1]
   UNSPLITVOC:	(Ean)
          POS:	PREP
          VOC:	Ean
        GLOSS:	(away) from/off/about/on/over

 INPUT STRING:	السؤال
     IS_TRANS:	Als&Al
        INDEX:	P23W5
      OFFSETS:	18-24
       TOKENS:	P23W5-P23W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[su&Al_1]
   UNSPLITVOC:	(Als~u&Al)
          POS:	DET+NOUN
          VOC:	Al+su&Al
        GLOSS:	the+question/inquiry/questions/inquiries

 INPUT STRING:	الأولاني
     IS_TRANS:	Al>wlAny
        INDEX:	P23W6
      OFFSETS:	25-33
       TOKENS:	P23W6-P23W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aw~alAniy_1]
   UNSPLITVOC:	(Al>aw~alAniy)
          POS:	DET+ADJ
          VOC:	Al+>aw~alAniy
        GLOSS:	the+first

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P23W7
      OFFSETS:	34-36
       TOKENS:	P23W7-P23W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	these/this

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P24W1
      OFFSETS:	0-2
       TOKENS:	P24W1-P24W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	it/he

 INPUT STRING:	حضرتك
     IS_TRANS:	HDrtk
        INDEX:	P24W2
      OFFSETS:	3-8
       TOKENS:	P24W2-P24W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HaDorap_1]
   UNSPLITVOC:	(HaDoritak)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_2MS
          VOC:	HaDor+ap+ak
        GLOSS:	presence/eminent/honorable+[fem.sg.]+your

 INPUT STRING:	بتعرف
     IS_TRANS:	btErf
        INDEX:	P24W3
      OFFSETS:	9-14
       TOKENS:	P24W4-P24W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eirif_1]
   UNSPLITVOC:	(bitiEoraf)
          POS:	PROG_PART+IV2FS+IV
          VOC:	bi+ti+Eoraf
        GLOSS:	[present-tense]+you+be known/know

 INPUT STRING:	تقرا
     IS_TRANS:	tqrA
        INDEX:	P24W4
      OFFSETS:	15-19
       TOKENS:	P24W6-P24W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qara>_1]
   UNSPLITVOC:	(tiqora>)
          POS:	IV2MS+IV
          VOC:	ti+qora>
        GLOSS:	you+read/be read

 INPUT STRING:	وتكتب
     IS_TRANS:	wtktb
        INDEX:	P24W5
      OFFSETS:	20-25
       TOKENS:	P24W7-P24W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[katab_1]
   UNSPLITVOC:	(witikotib)
          POS:	CONJ+IV2MS+IV
          VOC:	wi+ti+kotib
        GLOSS:	and+you+write/be written/be fated/be destined

 INPUT STRING:	قبطي
     IS_TRANS:	qbTy
        INDEX:	P24W6
      OFFSETS:	26-30
       TOKENS:	P24W9-P24W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qiboTiy_1]
   UNSPLITVOC:	(qiboTiy)
          POS:	NOUN
          VOC:	qiboTiy
        GLOSS:	Copts

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P24W7
      OFFSETS:	31-32
       TOKENS:	P24W10-P24W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	وهل
     IS_TRANS:	whl
        INDEX:	P24W8
      OFFSETS:	33-36
       TOKENS:	P24W11-P24W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hal_1]
   UNSPLITVOC:	(wihal)
          POS:	CONJ+INTERROG_PART
          VOC:	wi+hal
        GLOSS:	and+do?/is?

 INPUT STRING:	لو
     IS_TRANS:	lw
        INDEX:	P24W9
      OFFSETS:	37-39
       TOKENS:	P24W13-P24W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[law_1]
   UNSPLITVOC:	(law)
          POS:	SUB_CONJ
          VOC:	law
        GLOSS:	if

 INPUT STRING:	بتعرف
     IS_TRANS:	btErf
        INDEX:	P24W10
      OFFSETS:	40-45
       TOKENS:	P24W14-P24W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eirif_1]
   UNSPLITVOC:	(bitiEoraf)
          POS:	PROG_PART+IV2FS+IV
          VOC:	bi+ti+Eoraf
        GLOSS:	[present-tense]+you+be known/know

 INPUT STRING:	القبطيه
     IS_TRANS:	AlqbTyh
        INDEX:	P24W11
      OFFSETS:	46-53
       TOKENS:	P24W16-P24W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qiboTiy_1]
   UNSPLITVOC:	(AlqiboTiy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+qiboTiy~+ap
        GLOSS:	the+Coptic+[fem.sg.]

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P24W12
      OFFSETS:	54-56
       TOKENS:	P24W17-P24W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	السهل
     IS_TRANS:	Alshl
        INDEX:	P24W13
      OFFSETS:	57-62
       TOKENS:	P24W18-P24W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[sahol_1]
   UNSPLITVOC:	(Alsahol)
          POS:	DET+NOUN
          VOC:	Al+sahol
        GLOSS:	the+easy/simple

 INPUT STRING:	أن
     IS_TRANS:	>n
        INDEX:	P24W14
      OFFSETS:	63-65
       TOKENS:	P24W19-P24W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>an_1]
   UNSPLITVOC:	(>an)
          POS:	SUB_CONJ
          VOC:	Aan
        GLOSS:	That/to/for

 INPUT STRING:	تكون
     IS_TRANS:	tkwn
        INDEX:	P24W15
      OFFSETS:	66-70
       TOKENS:	P24W20-P24W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(tikuwn)
          POS:	IV2FS+IV
          VOC:	ti+kuwn
        GLOSS:	you+be/was/were

 INPUT STRING:	هذه
     IS_TRANS:	h*h
        INDEX:	P24W16
      OFFSETS:	71-74
       TOKENS:	P24W21-P24W21
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[h`*A_1]
   UNSPLITVOC:	(h`*ihi)
          POS:	DEM_PRON_F
          VOC:	h`*ihi
        GLOSS:	this/these

 INPUT STRING:	اللغه
     IS_TRANS:	Allgh
        INDEX:	P24W17
      OFFSETS:	75-80
       TOKENS:	P24W22-P24W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lugap_1]
   UNSPLITVOC:	(All~ugap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+lug+ap
        GLOSS:	the+language/languages+[fem.sg.]

 INPUT STRING:	عصريه
     IS_TRANS:	ESryh
        INDEX:	P24W18
      OFFSETS:	81-86
       TOKENS:	P24W23-P24W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EaSoriy_1]
   UNSPLITVOC:	(EaSoriy~ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	EaSoriy~+ap
        GLOSS:	modern/contemporary+[fem.sg.]

 INPUT STRING:	ومتطوره
     IS_TRANS:	wmtTwrh
        INDEX:	P24W19
      OFFSETS:	87-94
       TOKENS:	P24W24-P24W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mutaTaw~ir_1]
   UNSPLITVOC:	(wimutaTaw~irap)
          POS:	CONJ+ADJ+NSUFF_FEM_SG
          VOC:	wi+mutaTaw~ir+ap
        GLOSS:	and+developed/advanced/sophisticated+[fem.sg.]

 INPUT STRING:	مع
     IS_TRANS:	mE
        INDEX:	P24W20
      OFFSETS:	95-97
       TOKENS:	P24W26-P24W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[maE_1]
   UNSPLITVOC:	(maEa)
          POS:	NOUN
          VOC:	maEa
        GLOSS:	something with/together

 INPUT STRING:	مقضيات
     IS_TRANS:	mqDyAt
        INDEX:	P24W21
      OFFSETS:	98-104
       TOKENS:	P24W27-P24W27
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(mqDyAt)
          POS:	TYPO
          VOC:	mqDyAt
        GLOSS:	nogloss

 INPUT STRING:	عصر
     IS_TRANS:	ESr
        INDEX:	P24W22
      OFFSETS:	105-108
       TOKENS:	P24W28-P24W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EaSor_1]
   UNSPLITVOC:	(EaSor)
          POS:	NOUN
          VOC:	EaSor
        GLOSS:	age/period/epoch/ages/periods/epochs/compression/squeezing

 INPUT STRING:	الألفيه
     IS_TRANS:	Al>lfyh
        INDEX:	P24W23
      OFFSETS:	109-116
       TOKENS:	P24W29-P24W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Al>alofiy~_1]
   UNSPLITVOC:	(Al>alofiy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+>alofiy~+ap
        GLOSS:	the+millenary/one thousandth+[fem.sg.]

 INPUT STRING:	الجديده
     IS_TRANS:	Aljdydh
        INDEX:	P24W24
      OFFSETS:	117-124
       TOKENS:	P24W30-P24W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jidiyd_1]
   UNSPLITVOC:	(Aljidiydap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+jidiyd+ap
        GLOSS:	the+new/modern/recent/again/anew/brand new/junior/inexperienced+[fem.sg.]

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P24W25
      OFFSETS:	125-129
       TOKENS:	P24W31-P24W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who/whow/whom/what/whose/which

 INPUT STRING:	بنعيش
     IS_TRANS:	bnEy$
        INDEX:	P24W26
      OFFSETS:	130-135
       TOKENS:	P24W32-P24W33
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EA$_1]
   UNSPLITVOC:	(biniEiy$)
          POS:	PROG_PART+IV1P+IV
          VOC:	bi+ni+Eiy$
        GLOSS:	[present-tense]+we+live/experience/long live!/be lived/be experienced

 INPUT STRING:	فيها
     IS_TRANS:	fyhA
        INDEX:	P24W27
      OFFSETS:	136-140
       TOKENS:	P24W34-P24W35
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyhA)
          POS:	PREP+PRON_3FS
          VOC:	fiy+hA
        GLOSS:	in+it/them/her

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P24W28
      OFFSETS:	141-142
       TOKENS:	P24W36-P24W36
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	إذا
     IS_TRANS:	<*A
        INDEX:	P25W1
      OFFSETS:	0-3
       TOKENS:	P25W1-P25W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ai*A_1]
   UNSPLITVOC:	(<i*A)
          POS:	SUB_CONJ
          VOC:	<i*A
        GLOSS:	If/whether/when/whenever

 INPUT STRING:	كانت
     IS_TRANS:	kAnt
        INDEX:	P25W2
      OFFSETS:	4-8
       TOKENS:	P25W2-P25W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAnit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	kAn+it
        GLOSS:	be/was/were+it/they/she

 INPUT STRING:	اللغه
     IS_TRANS:	Allgh
        INDEX:	P25W3
      OFFSETS:	9-14
       TOKENS:	P25W3-P25W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lugap_1]
   UNSPLITVOC:	(All~ugap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+lug+ap
        GLOSS:	the+language/languages+[fem.sg.]

 INPUT STRING:	العربيه
     IS_TRANS:	AlErbyh
        INDEX:	P25W4
      OFFSETS:	15-22
       TOKENS:	P25W4-P25W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Earabiy~ap_1]
   UNSPLITVOC:	(AlEarabiy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+Earabiy~+ap
        GLOSS:	the+Arabic/Arab+[fem.sg.]

 INPUT STRING:	بثرائها
     IS_TRANS:	bvrA}hA
        INDEX:	P25W5
      OFFSETS:	23-30
       TOKENS:	P25W5-P25W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[varA'_1]
   UNSPLITVOC:	(bivarA}hA)
          POS:	PREP+NOUN+POSS_PRON_3FS
          VOC:	bi+varA}+hA
        GLOSS:	with/by+wealth/abundance+its/their/her

 INPUT STRING:	الآن
     IS_TRANS:	Al|n
        INDEX:	P25W6
      OFFSETS:	31-35
       TOKENS:	P25W8-P25W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ail|an_1]
   UNSPLITVOC:	(Ail|an)
          POS:	NOUN
          VOC:	Ail|an
        GLOSS:	time/moment

 INPUT STRING:	غير
     IS_TRANS:	gyr
        INDEX:	P25W7
      OFFSETS:	36-39
       TOKENS:	P25W9-P25W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[giyr_1]
   UNSPLITVOC:	(giyr)
          POS:	NOUN
          VOC:	giyr
        GLOSS:	apart from/without/other/execpt/except/not

 INPUT STRING:	مواكبه
     IS_TRANS:	mwAkbh
        INDEX:	P25W8
      OFFSETS:	40-46
       TOKENS:	P25W10-P25W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[miwAkib_1]
   UNSPLITVOC:	(miwAkobap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	miwAkob+ap
        GLOSS:	escorting/accompanying/keeping pace with+[fem.sg.]

 INPUT STRING:	لده
     IS_TRANS:	ldh
        INDEX:	P25W9
      OFFSETS:	47-50
       TOKENS:	P25W11-P25W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(lidah)
          POS:	PREP+DEM_PRON_MS
          VOC:	li+dah
        GLOSS:	to/for+this

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P25W10
      OFFSETS:	51-52
       TOKENS:	P25W13-P25W13
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	nogloss

 INPUT STRING:	فالقبطيه
     IS_TRANS:	fAlqbTyh
        INDEX:	P25W11
      OFFSETS:	53-61
       TOKENS:	P25W14-P25W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AlqiboTiy~_1]
   UNSPLITVOC:	(faAlqiboTiy~ap)
          POS:	RC_PART+DET+ADJ+NSUFF_FEM_SG
          VOC:	fa+Al+qiboTiy~+ap
        GLOSS:	so/then+the+Coptic+[fem.sg.]

 INPUT STRING:	هتواكب
     IS_TRANS:	htwAkb
        INDEX:	P25W12
      OFFSETS:	62-68
       TOKENS:	P25W16-P25W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[wAkib_1]
   UNSPLITVOC:	(HatwAkib)
          POS:	FUT_PART+IV3FS+IV
          VOC:	Ha+t+wAkib
        GLOSS:	will+it/they/she+accompany/escort

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P25W13
      OFFSETS:	69-70
       TOKENS:	P25W18-P25W18
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	أنا
     IS_TRANS:	>nA
        INDEX:	P26W1
      OFFSETS:	0-3
       TOKENS:	P26W1-P26W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I

 INPUT STRING:	عارف
     IS_TRANS:	EArf
        INDEX:	P26W2
      OFFSETS:	4-8
       TOKENS:	P26W2-P26W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EArif_1]
   UNSPLITVOC:	(EArif)
          POS:	NOUN.VN
          VOC:	EArif
        GLOSS:	connoisseur/knowledgeable person

 INPUT STRING:	إنو
     IS_TRANS:	<nw
        INDEX:	P26W3
      OFFSETS:	9-12
       TOKENS:	P26W3-P26W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~uh)
          POS:	SUB_CONJ+PRON_3MS
          VOC:	<in~+uh
        GLOSS:	that+he/it

 INPUT STRING:	رغم
     IS_TRANS:	rgm
        INDEX:	P26W4
      OFFSETS:	13-16
       TOKENS:	P26W5-P26W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ragom_1]
   UNSPLITVOC:	(ragom)
          POS:	NOUN
          VOC:	ragom
        GLOSS:	in spite of/despite

 INPUT STRING:	إتاحة
     IS_TRANS:	<tAHp
        INDEX:	P26W5
      OFFSETS:	17-22
       TOKENS:	P26W6-P26W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AitAHap_1]
   UNSPLITVOC:	(AitAHap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	AitAH+ap
        GLOSS:	granting/providing+[fem.sg.]

 INPUT STRING:	الكنائس
     IS_TRANS:	AlknA}s
        INDEX:	P26W6
      OFFSETS:	23-30
       TOKENS:	P26W7-P26W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kaniysap_1]
   UNSPLITVOC:	(AlkanA}is)
          POS:	DET+NOUN
          VOC:	Al+kanA}is
        GLOSS:	the+church/temple/churches/temples

 INPUT STRING:	الآن
     IS_TRANS:	Al|n
        INDEX:	P26W7
      OFFSETS:	31-35
       TOKENS:	P26W8-P26W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ail|an_1]
   UNSPLITVOC:	(Ail|an)
          POS:	NOUN
          VOC:	Ail|an
        GLOSS:	time/moment

 INPUT STRING:	لتعليم
     IS_TRANS:	ltElym
        INDEX:	P26W8
      OFFSETS:	36-42
       TOKENS:	P26W9-P26W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taEoliym_1]
   UNSPLITVOC:	(litaEoliym)
          POS:	PREP+NOUN
          VOC:	li+taEoliym
        GLOSS:	for/to+education/teaching/instructions/precepts

 INPUT STRING:	القبطية
     IS_TRANS:	AlqbTyp
        INDEX:	P26W9
      OFFSETS:	43-50
       TOKENS:	P26W11-P26W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qiboTiy_1]
   UNSPLITVOC:	(AlqiboTiy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+qiboTiy~+ap
        GLOSS:	the+Coptic+[fem.sg.]

 INPUT STRING:	وكتابة
     IS_TRANS:	wktAbp
        INDEX:	P26W10
      OFFSETS:	51-57
       TOKENS:	P26W12-P26W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kitAbap_1]
   UNSPLITVOC:	(wikitAbap)
          POS:	CONJ+NOUN+NSUFF_FEM_SG
          VOC:	wi+kitAb+ap
        GLOSS:	and+writing/essay/piece of writing/writings/essays+[fem.sg.]

 INPUT STRING:	البعض
     IS_TRANS:	AlbED
        INDEX:	P26W11
      OFFSETS:	58-63
       TOKENS:	P26W14-P26W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
