 INPUT STRING:	يستمر
       TOKENS:	P11W15-P11W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EanaY_1]
   UNSPLITVOC:	(yaEoniy)
          POS:	IV3MS+IV
          VOC:	ya+Eoniy
        GLOSS:	he/it+mean/signify

 INPUT STRING:	محدش
     IS_TRANS:	mHd$
        INDEX:	P11W13
      OFFSETS:	63-67
       TOKENS:	P11W16-P11W16
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(mHd$)
          POS:	NO_FUNC
          VOC:	mHd$
        GLOSS:	nogloss

 INPUT STRING:	يستغرب
     IS_TRANS:	ystgrb
        INDEX:	P11W14
      OFFSETS:	68-74
       TOKENS:	P11W17-P11W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aisotagorab_1]
   UNSPLITVOC:	(yisotagorab)
          POS:	IV3MS+IV
          VOC:	yi+sotagorab
        GLOSS:	he/it+wonder at/find strange

 INPUT STRING:	لما
     IS_TRANS:	lmA
        INDEX:	P11W15
      OFFSETS:	75-78
       TOKENS:	P11W18-P11W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lam~A_1]
   UNSPLITVOC:	(lam~A)
          POS:	SUB_CONJ
          VOC:	lam~A
        GLOSS:	as, when

 INPUT STRING:	خبر
     IS_TRANS:	xbr
        INDEX:	P11W16
      OFFSETS:	79-82
       TOKENS:	P11W19-P11W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xabar_1]
   UNSPLITVOC:	(xabar)
          POS:	NOUN
          VOC:	xabar
        GLOSS:	news/report

 INPUT STRING:	يظهر
     IS_TRANS:	yZhr
        INDEX:	P11W17
      OFFSETS:	83-87
       TOKENS:	P11W20-P11W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Zahar_1]
   UNSPLITVOC:	(yiZohar)
          POS:	IV3MS+IV
          VOC:	yi+Zohar
        GLOSS:	he/it+appear/emerge

 INPUT STRING:	بكرة
     IS_TRANS:	bkrp
        INDEX:	P11W18
      OFFSETS:	88-92
       TOKENS:	P11W21-P11W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bukorap_1]
   UNSPLITVOC:	(bukorap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	bukor+ap
        GLOSS:	tomorrow+[fem.sg.]

 INPUT STRING:	ويقول
     IS_TRANS:	wyqwl
        INDEX:	P11W19
      OFFSETS:	93-98
       TOKENS:	P11W22-P11W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(wiyiquwl)
          POS:	CONJ+IV3MS+IV
          VOC:	wi+yi+quwl
        GLOSS:	and+he/it+said/say/be said/say/(for example)

 INPUT STRING:	المشير
     IS_TRANS:	Alm$yr
        INDEX:	P11W20
      OFFSETS:	99-105
       TOKENS:	P11W24-P11W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mu$iyr_1]
   UNSPLITVOC:	(Almu$iyr)
          POS:	DET+NOUN
          VOC:	Al+mu$iyr
        GLOSS:	the+field marshal/general

 INPUT STRING:	اتثبت
     IS_TRANS:	Atvbt
        INDEX:	P11W21
      OFFSETS:	106-111
       TOKENS:	P11W25-P11W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Aitovab~it_1]
   UNSPLITVOC:	(Aitovab~it)
          POS:	PV_PASS+PVSUFF_SUBJ:3MS
          VOC:	Aitovab~it+(null)
        GLOSS:	be fixed/be stopped+he/it [verb]

 INPUT STRING:	واتاخدت
     IS_TRANS:	wAtAxdt
        INDEX:	P11W22
      OFFSETS:	112-119
       TOKENS:	P11W26-P11W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Ait~Axid_1]
   UNSPLITVOC:	(wiAit~Axdit)
          POS:	CONJ+PV_PASS+PVSUFF_SUBJ:3FS
          VOC:	wi+Ait~Axd+it
        GLOSS:	and+be taken+it/they/she [verb]

 INPUT STRING:	المحفظة
     IS_TRANS:	AlmHfZp
        INDEX:	P11W23
      OFFSETS:	120-127
       TOKENS:	P11W28-P11W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maHofaZap_1]
   UNSPLITVOC:	(AlmaHofaZap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+maHofaZ+ap
        GLOSS:	the+pocketbook/portfolio+[fem.sg.]

 INPUT STRING:	واللى
     IS_TRANS:	wAllY
        INDEX:	P11W24
      OFFSETS:	128-133
       TOKENS:	P11W29-P11W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Aill~iy_1]
   UNSPLITVOC:	(wiAill~iy)
          POS:	CONJ+REL_PRON
          VOC:	wi+Aill~iy
        GLOSS:	and+who/which/whom

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P11W25
      OFFSETS:	134-136
       TOKENS:	P11W31-P11W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	جيبة
     IS_TRANS:	jybp
        INDEX:	P11W26
      OFFSETS:	137-141
       TOKENS:	P11W32-P11W33
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[jiyb_1]
   UNSPLITVOC:	(jiybuh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	jiyb+uh
        GLOSS:	pocket/purse/sine+his/its

 INPUT STRING:	افهموا
     IS_TRANS:	AfhmwA
        INDEX:	P12W1
      OFFSETS:	0-6
       TOKENS:	P12W1-P12W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fihim_1]
   UNSPLITVOC:	(AifohamuwA)
          POS:	CV+CVSUFF_SUBJ:2P
          VOC:	Aifoham+uwA
        GLOSS:	understand+you [pl.] [verb]

 INPUT STRING:	بقى
     IS_TRANS:	bqY
        INDEX:	P12W2
      OFFSETS:	7-10
       TOKENS:	P12W2-P12W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baqaY_1]
   UNSPLITVOC:	(baqaY)
          POS:	ADV
          VOC:	baqaY
        GLOSS:	so/then

 INPUT STRING:	ردعلى
     IS_TRANS:	rdElY
        INDEX:	P13W1
      OFFSETS:	0-5
       TOKENS:	P13W1-P13W1
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(rdElY)
          POS:	NO_FUNC
          VOC:	rdElY
        GLOSS:	nogloss

 INPUT STRING:	صاحب
     IS_TRANS:	SAHb
        INDEX:	P13W2
      OFFSETS:	6-10
       TOKENS:	P13W2-P13W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SAHib_1]
   UNSPLITVOC:	(SAHib)
          POS:	NOUN
          VOC:	SAHib
        GLOSS:	owner/originator

 INPUT STRING:	المشاركة
     IS_TRANS:	Alm$Arkp
        INDEX:	P13W3
      OFFSETS:	11-19
       TOKENS:	P13W3-P13W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mu$Arokap_1]
   UNSPLITVOC:	(Almu$Arokap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+mu$Arok+ap
        GLOSS:	the+participation+[fem.sg.]

 INPUT STRING:	الذى
     IS_TRANS:	Al*Y
        INDEX:	P13W4
      OFFSETS:	20-24
       TOKENS:	P13W4-P13W4
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[Al~a*iy_1]
   UNSPLITVOC:	(Al~a*iy)
          POS:	REL_PRON
          VOC:	Al~a*iy
        GLOSS:	which/who/whom [masc.sg.]

 INPUT STRING:	يتهم
     IS_TRANS:	ythm
        INDEX:	P13W5
      OFFSETS:	25-29
       TOKENS:	P13W5-P13W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ait~aham_1]
   UNSPLITVOC:	(yit~ihim)
          POS:	IV3MS+IV
          VOC:	yi+t~ihim
        GLOSS:	he/it+accuse

 INPUT STRING:	بدو
     IS_TRANS:	bdw
        INDEX:	P13W6
      OFFSETS:	30-33
       TOKENS:	P13W6-P13W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[badawiy_1]
   UNSPLITVOC:	(badow)
          POS:	NOUN
          VOC:	badow
        GLOSS:	Bedouins

 INPUT STRING:	سيناء
     IS_TRANS:	synA'
        INDEX:	P13W7
      OFFSETS:	34-39
       TOKENS:	P13W7-P13W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[siynA'_1]
   UNSPLITVOC:	(siynA')
          POS:	NOUN_PROP
          VOC:	siynA'
        GLOSS:	Sinai

 INPUT STRING:	بالخيانه
     IS_TRANS:	bAlxyAnh
        INDEX:	P13W8
      OFFSETS:	40-48
       TOKENS:	P13W8-P13W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xiyAnap_1]
   UNSPLITVOC:	(biAlxiyAnap)
          POS:	PREP+DET+NOUN+NSUFF_FEM_SG
          VOC:	bi+Al+xiyAn+ap
        GLOSS:	with/by+the+treason/betrayal+[fem.sg.]

 INPUT STRING:	\
     IS_TRANS:	\
        INDEX:	P13W9
      OFFSETS:	49-50
       TOKENS:	P13W10-P13W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(\)
          POS:	PUNC
          VOC:	\
        GLOSS:	\

 INPUT STRING:	ويشهد
     IS_TRANS:	wy$hd
        INDEX:	P13W10
      OFFSETS:	50-55
       TOKENS:	P13W11-P13W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ahad_1]
   UNSPLITVOC:	(wiyi$ohad)
          POS:	CONJ+IV3MS+IV
          VOC:	wi+yi+$ohad
        GLOSS:	and+he/it+witness/observe

 INPUT STRING:	لهم
     IS_TRANS:	lhm
        INDEX:	P13W11
      OFFSETS:	56-59
       TOKENS:	P13W13-P13W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(luhum)
          POS:	PREP+PRON_3P
          VOC:	li+hum
        GLOSS:	for/to+them

 INPUT STRING:	التاريخ
     IS_TRANS:	AltAryx
        INDEX:	P13W12
      OFFSETS:	60-67
       TOKENS:	P13W15-P13W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tAriyx_1]
   UNSPLITVOC:	(Alt~Ariyx)
          POS:	DET+NOUN
          VOC:	Al+tAriyx
        GLOSS:	the+date/history

 INPUT STRING:	انهم
     IS_TRANS:	Anhm
        INDEX:	P13W13
      OFFSETS:	68-72
       TOKENS:	P13W16-P13W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~uhum)
          POS:	SUB_CONJ+PRON_3P
          VOC:	<in~+hum
        GLOSS:	that+they

 INPUT STRING:	مسكو
     IS_TRANS:	mskw
        INDEX:	P13W14
      OFFSETS:	73-77
       TOKENS:	P13W18-P13W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[misik_1]
   UNSPLITVOC:	(misokuwA)
          POS:	PV+PVSUFF_SUBJ:3P
          VOC:	misok+uwA
        GLOSS:	hold+they [verb]

 INPUT STRING:	الامن
     IS_TRANS:	AlAmn
        INDEX:	P13W15
      OFFSETS:	78-83
       TOKENS:	P13W19-P13W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amon_1]
   UNSPLITVOC:	(Al>amon)
          POS:	DET+NOUN
          VOC:	Al+>amon
        GLOSS:	the+security/safety

 INPUT STRING:	ايام
     IS_TRANS:	AyAm
        INDEX:	P13W16
      OFFSETS:	84-88
       TOKENS:	P13W20-P13W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[yuwm_1]
   UNSPLITVOC:	(Ay~Am)
          POS:	NOUN
          VOC:	Ay~Am
        GLOSS:	today/some day/ever/days

 INPUT STRING:	الثورة
     IS_TRANS:	Alvwrp
        INDEX:	P13W17
      OFFSETS:	89-95
       TOKENS:	P13W21-P13W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vawrap_1]
   UNSPLITVOC:	(Alv~awrap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+vawr+ap
        GLOSS:	the+revolution/uprising+[fem.sg.]

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P13W18
      OFFSETS:	96-99
       TOKENS:	P13W22-P13W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	المغتربين
     IS_TRANS:	Almgtrbyn
        INDEX:	P13W19
      OFFSETS:	100-109
       TOKENS:	P13W23-P13W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mugotarib_1]
   UNSPLITVOC:	(Almugotaribiyn)
          POS:	DET+NOUN+NSUFF_MASC_PL
          VOC:	Al+mugotarib+iyn
        GLOSS:	the+expatriate/foreigner+[masc.pl.]

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P13W20
      OFFSETS:	110-112
       TOKENS:	P13W24-P13W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	اهل
     IS_TRANS:	Ahl
        INDEX:	P13W21
      OFFSETS:	113-116
       TOKENS:	P13W25-P13W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ahol_1]
   UNSPLITVOC:	(>ahol)
          POS:	NOUN
          VOC:	>ahol
        GLOSS:	family/people

 INPUT STRING:	الوطن
     IS_TRANS:	AlwTn
        INDEX:	P13W22
      OFFSETS:	117-122
       TOKENS:	P13W26-P13W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waTan_1]
   UNSPLITVOC:	(AlwaTan)
          POS:	DET+NOUN
          VOC:	Al+waTan
        GLOSS:	the+nation/homeland

 INPUT STRING:	وتشهد
     IS_TRANS:	wt$hd
        INDEX:	P13W23
      OFFSETS:	123-128
       TOKENS:	P13W27-P13W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ahad_1]
   UNSPLITVOC:	(witi$ohad)
          POS:	CONJ+IV3FS+IV
          VOC:	wi+ti+$ohad
        GLOSS:	and+it/she/they+witness/observe

 INPUT STRING:	معهم
     IS_TRANS:	mEhm
        INDEX:	P13W24
      OFFSETS:	129-133
       TOKENS:	P13W29-P13W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maEahum)
          POS:	NOUN+POSS_PRON_3P
          VOC:	maEa+hum
        GLOSS:	something with+their

 INPUT STRING:	الخابرات
     IS_TRANS:	AlxAbrAt
        INDEX:	P13W25
      OFFSETS:	134-142
       TOKENS:	P13W31-P13W31
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(AlxAbrAt)
          POS:	TYPO
          VOC:	AlxAbrAt
        GLOSS:	nogloss

 INPUT STRING:	التى
     IS_TRANS:	AltY
        INDEX:	P13W26
      OFFSETS:	143-147
       TOKENS:	P13W32-P13W32
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[Al~a*iy_1]
   UNSPLITVOC:	(Al~atiy)
          POS:	REL_PRON
          VOC:	Al~atiy
        GLOSS:	which/who/whom [fem.sg.]

 INPUT STRING:	يتشدق
     IS_TRANS:	yt$dq
        INDEX:	P13W27
      OFFSETS:	148-153
       TOKENS:	P13W33-P13W33
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[ta$ad~aq_1]
   UNSPLITVOC:	(yata$ad~aq)
          POS:	IV3MS+IV
          VOC:	ya+ta$ad~aq
        GLOSS:	he/it+boast/speak affectedly

 INPUT STRING:	بها
     IS_TRANS:	bhA
        INDEX:	P13W28
      OFFSETS:	154-157
       TOKENS:	P13W34-P13W35
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[bi_1]
   UNSPLITVOC:	(bihA)
          POS:	PREP+PRON_3FS
          VOC:	bi+hA
        GLOSS:	with/by+it/them/her

 INPUT STRING:	المستهزء
     IS_TRANS:	Almsthz'
        INDEX:	P13W29
      OFFSETS:	158-166
       TOKENS:	P13W36-P13W36
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Almustahzi'_1]
   UNSPLITVOC:	(Almustahzi')
          POS:	DET+ADJ
          VOC:	Al+mustahzi'
        GLOSS:	the+mocking

 INPUT STRING:	وانا
     IS_TRANS:	wAnA
        INDEX:	P13W30
      OFFSETS:	167-171
       TOKENS:	P13W37-P13W38
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(wiAnA)
          POS:	CONJ+PRON_1S
          VOC:	wi+AnA
        GLOSS:	and+I

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P13W31
      OFFSETS:	172-174
       TOKENS:	P13W39-P13W39
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	شمال
     IS_TRANS:	$mAl
        INDEX:	P13W32
      OFFSETS:	175-179
       TOKENS:	P13W40-P13W40
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[$amAl_2]
   UNSPLITVOC:	($amAl)
          POS:	NOUN_PROP
          VOC:	$amAl
        GLOSS:	North of

 INPUT STRING:	سيناء
     IS_TRANS:	synA'
        INDEX:	P13W33
      OFFSETS:	180-185
       TOKENS:	P13W41-P13W41
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[siynA'_1]
   UNSPLITVOC:	(siynA')
          POS:	NOUN_PROP
          VOC:	siynA'
        GLOSS:	Sinai

 INPUT STRING:	واتحداء
     IS_TRANS:	wAtHdA'
        INDEX:	P13W34
      OFFSETS:	186-193
       TOKENS:	P13W42-P13W42
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(wAtHdA')
          POS:	TYPO
          VOC:	wAtHdA'
        GLOSS:	nogloss

 INPUT STRING:	صاحب
     IS_TRANS:	SAHb
        INDEX:	P13W35
      OFFSETS:	194-198
       TOKENS:	P13W43-P13W43
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SAHib_1]
   UNSPLITVOC:	(SAHib)
          POS:	NOUN
          VOC:	SAHib
        GLOSS:	owner/originator

 INPUT STRING:	المشاركه
     IS_TRANS:	Alm$Arkh
        INDEX:	P13W36
      OFFSETS:	199-207
       TOKENS:	P13W44-P13W44
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mu$Arokap_1]
   UNSPLITVOC:	(Almu$Arokap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+mu$Arok+ap
        GLOSS:	the+participation+[fem.sg.]

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P13W37
      OFFSETS:	208-210
       TOKENS:	P13W45-P13W45
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>ano_1]
   UNSPLITVOC:	(>ano)
          POS:	SUB_CONJ
          VOC:	>ano
        GLOSS:	That, to

 INPUT STRING:	يثبت
     IS_TRANS:	yvbt
        INDEX:	P13W38
      OFFSETS:	211-215
       TOKENS:	P13W46-P13W46
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vabat_1]
   UNSPLITVOC:	(yivobit)
          POS:	IV3MS+IV
          VOC:	yi+vobit
        GLOSS:	he/it+confirm/reinforce/be confirmed/be reinforced

 INPUT STRING:	لى
     IS_TRANS:	lY
        INDEX:	P13W39
      OFFSETS:	216-218
       TOKENS:	P13W47-P13W48
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(liy~a)
          POS:	PREP+PRON_1S
          VOC:	li+iy
        GLOSS:	for/to+me

 INPUT STRING:	الخيانة
     IS_TRANS:	AlxyAnp
        INDEX:	P13W40
      OFFSETS:	219-226
       TOKENS:	P13W49-P13W49
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xiyAnap_1]
   UNSPLITVOC:	(AlxiyAnap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+xiyAn+ap
        GLOSS:	the+treason/betrayal+[fem.sg.]

 INPUT STRING:	التى
     IS_TRANS:	AltY
        INDEX:	P13W41
      OFFSETS:	227-231
       TOKENS:	P13W50-P13W50
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[Al~a*iy_1]
   UNSPLITVOC:	(Al~atiy)
          POS:	REL_PRON
          VOC:	Al~atiy
        GLOSS:	which/who/whom [fem.sg.]

 INPUT STRING:	يتشدق
     IS_TRANS:	yt$dq
        INDEX:	P13W42
      OFFSETS:	232-237
       TOKENS:	P13W51-P13W51
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[ta$ad~aq_1]
   UNSPLITVOC:	(yata$ad~aq)
          POS:	IV3MS+IV
          VOC:	ya+ta$ad~aq
        GLOSS:	he/it+boast/speak affectedly

 INPUT STRING:	بها
     IS_TRANS:	bhA
        INDEX:	P13W43
      OFFSETS:	238-241
       TOKENS:	P13W52-P13W53
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[bi_1]
   UNSPLITVOC:	(bihA)
          POS:	PREP+PRON_3FS
          VOC:	bi+hA
        GLOSS:	with/by+it/them/her

 INPUT STRING:	\
     IS_TRANS:	\
        INDEX:	P13W44
      OFFSETS:	242-243
       TOKENS:	P13W54-P13W54
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(\)
          POS:	PUNC
          VOC:	\
        GLOSS:	nogloss

 INPUT STRING:	وهذا
     IS_TRANS:	wh*A
        INDEX:	P13W45
      OFFSETS:	243-247
       TOKENS:	P13W55-P13W56
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ha*A_1]
   UNSPLITVOC:	(waha*A)
          POS:	CONJ+DEM_PRON_MS
          VOC:	wa+ha*A
        GLOSS:	and+this [masc.sg.]

 INPUT STRING:	غيظ
     IS_TRANS:	gyZ
        INDEX:	P13W46
      OFFSETS:	248-251
       TOKENS:	P13W57-P13W57
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[gayZ_1]
   UNSPLITVOC:	(gayZ)
          POS:	NOUN
          VOC:	gayZ
        GLOSS:	anger/wrath

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P13W47
      OFFSETS:	252-254
       TOKENS:	P13W58-P13W58
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	كيل
     IS_TRANS:	kyl
        INDEX:	P13W48
      OFFSETS:	255-258
       TOKENS:	P13W59-P13W59
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kayl_1]
   UNSPLITVOC:	(kayl)
