 INPUT STRING:	عجبت
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyh)
          POS:	PREP+PRON_3MS
          VOC:	fiy+uh
        GLOSS:	in+him/it

 INPUT STRING:	حاجة
     IS_TRANS:	HAjp
        INDEX:	P40W4
      OFFSETS:	13-17
       TOKENS:	P40W5-P40W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(HAjap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HAj+ap
        GLOSS:	thing+[fem.sg.]

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P40W5
      OFFSETS:	18-20
       TOKENS:	P40W6-P40W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	عايزين
     IS_TRANS:	EAyzyn
        INDEX:	P40W6
      OFFSETS:	21-27
       TOKENS:	P40W7-P40W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAyiz_1]
   UNSPLITVOC:	(EAyoziyn)
          POS:	ADJ.VN+NSUFF_MASC_PL
          VOC:	EAyoz+iyn
        GLOSS:	wanting/needing+[masc.pl.]

 INPUT STRING:	يعلنوا
     IS_TRANS:	yElnwA
        INDEX:	P40W7
      OFFSETS:	28-34
       TOKENS:	P40W8-P40W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aEolan_1]
   UNSPLITVOC:	(yiEolinuwA)
          POS:	IV3P+IV+IVSUFF_SUBJ:P
          VOC:	yi+Eolin+uwA
        GLOSS:	they+announce/declare+[pl.]

 INPUT STRING:	عنها
     IS_TRANS:	EnhA
        INDEX:	P40W8
      OFFSETS:	35-39
       TOKENS:	P40W9-P40W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ean_1]
   UNSPLITVOC:	(EanhA)
          POS:	PREP+PRON_3FS
          VOC:	Ean+hA
        GLOSS:	(away) from, off, about, on, over+it/her/them

 INPUT STRING:	الان
     IS_TRANS:	AlAn
        INDEX:	P40W9
      OFFSETS:	40-44
       TOKENS:	P40W11-P40W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[|n_1]
   UNSPLITVOC:	(Al|n)
          POS:	DET+NOUN
          VOC:	Al+|n
        GLOSS:	the+time/moment

 INPUT STRING:	علشان
     IS_TRANS:	El$An
        INDEX:	P40W10
      OFFSETS:	45-50
       TOKENS:	P40W12-P40W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$An_1]
   UNSPLITVOC:	(Eala$a>on)
          POS:	PREP+NOUN
          VOC:	EalaY+$An
        GLOSS:	on/above+matter/affair

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P40W11
      OFFSETS:	51-53
       TOKENS:	P40W14-P40W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyh)
          POS:	PREP+PRON_3MS
          VOC:	fiy+uh
        GLOSS:	in+him/it

 INPUT STRING:	ناس
     IS_TRANS:	nAs
        INDEX:	P40W12
      OFFSETS:	54-57
       TOKENS:	P40W16-P40W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAs_1]
   UNSPLITVOC:	(nAs)
          POS:	NOUN
          VOC:	nAs
        GLOSS:	people

 INPUT STRING:	بتهاجمهم
     IS_TRANS:	bthAjmhm
        INDEX:	P40W13
      OFFSETS:	58-66
       TOKENS:	P40W17-P40W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hAjim_1]
   UNSPLITVOC:	(bitihAjimhum)
          POS:	PROG_PART+IV3FS+IV+IVSUFF_DO:3P
          VOC:	bi+ti+hAjim+hum
        GLOSS:	[present-tense]+it/they/she+attack+them

 INPUT STRING:	عمال
     IS_TRANS:	EmAl
        INDEX:	P40W14
      OFFSETS:	67-71
       TOKENS:	P40W20-P40W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eam~Al_1]
   UNSPLITVOC:	(Eam~Al)
          POS:	ADJ
          VOC:	Eam~Al
        GLOSS:	working

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P40W15
      OFFSETS:	72-75
       TOKENS:	P40W21-P40W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	بطال
     IS_TRANS:	bTAl
        INDEX:	P40W16
      OFFSETS:	76-80
       TOKENS:	P40W22-P40W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baT~Al_1]
   UNSPLITVOC:	(baT~Al)
          POS:	ADJ
          VOC:	baT~Al
        GLOSS:	inactive/jobless

 INPUT STRING:	اللهم
     IS_TRANS:	Allhm
        INDEX:	P41W1
      OFFSETS:	0-5
       TOKENS:	P41W1-P41W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[All~ahum~a_1]
   UNSPLITVOC:	(All~ahum~a)
          POS:	NOUN
          VOC:	All~ahum~a
        GLOSS:	truly/certainly/oh God!/dear God

 INPUT STRING:	ولى
     IS_TRANS:	wlY
        INDEX:	P41W2
      OFFSETS:	6-9
       TOKENS:	P41W2-P41W2
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(wlY)
          POS:	NO_FUNC
          VOC:	wlY
        GLOSS:	nogloss

 INPUT STRING:	امورنا
     IS_TRANS:	AmwrnA
        INDEX:	P41W3
      OFFSETS:	10-16
       TOKENS:	P41W3-P41W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amor_1]
   UNSPLITVOC:	(>umuwrnA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	>umuwr+nA
        GLOSS:	matters/issues+our

 INPUT STRING:	خيارنا
     IS_TRANS:	xyArnA
        INDEX:	P41W4
      OFFSETS:	17-23
       TOKENS:	P41W5-P41W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[xayr_2]
   UNSPLITVOC:	(xiyArnA)
          POS:	ADJ_COMP+POSS_PRON_1P
          VOC:	xiyAr+nA
        GLOSS:	good/better/best+our

 INPUT STRING:	ولا
     IS_TRANS:	wlA
        INDEX:	P41W5
      OFFSETS:	24-27
       TOKENS:	P41W7-P41W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[lA_2]
   UNSPLITVOC:	(walA)
          POS:	CONJ+NEG_PART
          VOC:	wa+lA
        GLOSS:	and+no/not

 INPUT STRING:	تولى
     IS_TRANS:	twlY
        INDEX:	P41W6
      OFFSETS:	28-32
       TOKENS:	P41W9-P41W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wal~ay_1]
   UNSPLITVOC:	(tiwal~iy)
          POS:	IV2MS+IV
          VOC:	ti+wal~iy
        GLOSS:	you[masc.sg.]+put in charge/entrust

 INPUT STRING:	امورنا
     IS_TRANS:	AmwrnA
        INDEX:	P41W7
      OFFSETS:	33-39
       TOKENS:	P41W10-P41W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amor_1]
   UNSPLITVOC:	(>umuwrnA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	>umuwr+nA
        GLOSS:	matters/issues+our

 INPUT STRING:	شرارنا
     IS_TRANS:	$rArnA
        INDEX:	P41W8
      OFFSETS:	40-46
       TOKENS:	P41W12-P41W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[$ar_1]
   UNSPLITVOC:	($irArnA)
          POS:	ADJ_COMP+POSS_PRON_1P
          VOC:	$irAr+nA
        GLOSS:	the worst/the most evil+our

 INPUT STRING:	ياحببتي
     IS_TRANS:	yAHbbty
        INDEX:	P42W1
      OFFSETS:	0-7
       TOKENS:	P42W1-P42W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Habiyb_1]
   UNSPLITVOC:	(yA_Habiybotiy)
          POS:	VOC_PART+ADJ+NSUFF_FEM_SG+POSS_PRON_1S
          VOC:	yA+Habiyb+ap+iy
        GLOSS:	O/oh+dear/beloved/sweetheart+[fem.sg.]+my

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P42W2
      OFFSETS:	8-11
       TOKENS:	P42W4-P42W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I

 INPUT STRING:	مقدرة
     IS_TRANS:	mqdrp
        INDEX:	P42W3
      OFFSETS:	12-17
       TOKENS:	P42W5-P42W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[miqad~ar_1]
   UNSPLITVOC:	(miqad~arap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	miqad~ar+ap
        GLOSS:	appreciating+[fem.sg.]

 INPUT STRING:	غيرتك
     IS_TRANS:	gyrtk
        INDEX:	P42W4
      OFFSETS:	18-23
       TOKENS:	P42W6-P42W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[giyorap_1]
   UNSPLITVOC:	(giyortik)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_2FS
          VOC:	giyor+ap+ik
        GLOSS:	jealousy/zeal+[fem.sg.]+your [fem.sg.]

 INPUT STRING:	جدا
     IS_TRANS:	jdA
        INDEX:	P42W5
      OFFSETS:	24-27
       TOKENS:	P42W8-P42W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jid~_1]
   UNSPLITVOC:	(jid~AF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	jid~+AF
        GLOSS:	very/much+[acc.indef.]

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P42W6
      OFFSETS:	28-31
       TOKENS:	P42W9-P42W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	دينك
     IS_TRANS:	dynk
        INDEX:	P42W7
      OFFSETS:	32-36
       TOKENS:	P42W10-P42W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diyn_1]
   UNSPLITVOC:	(diynik)
          POS:	NOUN+POSS_PRON_2FS
          VOC:	diyn+ik
        GLOSS:	religion+your [fem.sg.]

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P42W8
      OFFSETS:	37-39
       TOKENS:	P42W12-P42W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bas~_1]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	ارجوك
     IS_TRANS:	Arjwk
        INDEX:	P42W9
      OFFSETS:	40-45
       TOKENS:	P42W13-P42W13
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(Arjwk)
          POS:	NO_FUNC
          VOC:	Arjwk
        GLOSS:	nogloss

 INPUT STRING:	انتقدي
     IS_TRANS:	Antqdy
        INDEX:	P42W10
      OFFSETS:	46-52
       TOKENS:	P42W14-P42W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainotaqad_1]
   UNSPLITVOC:	(Ainotiqodiy)
          POS:	CV+CVSUFF_SUBJ:2FS
          VOC:	Ainotiqid+iy
        GLOSS:	criticize+you [fem.sg.] [verb]

 INPUT STRING:	بدون
     IS_TRANS:	bdwn
        INDEX:	P42W11
      OFFSETS:	53-57
       TOKENS:	P42W15-P42W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[duwn_1]
   UNSPLITVOC:	(biduwn)
          POS:	PREP+NOUN
          VOC:	bi+duwn
        GLOSS:	with/by+without/beneath/underneath/inferior/poor

 INPUT STRING:	الدخول
     IS_TRANS:	Aldxwl
        INDEX:	P42W12
      OFFSETS:	58-64
       TOKENS:	P42W17-P42W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[duxuwl_1]
   UNSPLITVOC:	(Ald~uxuwl)
          POS:	DET+NOUN
          VOC:	Al+duxuwl
        GLOSS:	the+entrance/penetration

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P42W13
      OFFSETS:	65-67
       TOKENS:	P42W18-P42W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	النيات
     IS_TRANS:	AlnyAt
        INDEX:	P42W14
      OFFSETS:	68-74
       TOKENS:	P42W19-P42W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[niy~ap_1]
   UNSPLITVOC:	(Aln~iy~At)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+niy~+At
        GLOSS:	the+intention/purpose/desire+[fem.pl.]

 INPUT STRING:	والمزيدات
     IS_TRANS:	wAlmzydAt
        INDEX:	P42W15
      OFFSETS:	75-84
       TOKENS:	P42W20-P42W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[muzAyodap_1]
   UNSPLITVOC:	(wiAlmuzAyodAt)
          POS:	CONJ+DET+NOUN+NSUFF_FEM_PL
          VOC:	wi+Al+muzAyod+At
        GLOSS:	and+the+public tender/exaggeration+[fem.pl.]

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P42W16
      OFFSETS:	85-87
       TOKENS:	P42W22-P42W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	الدين
     IS_TRANS:	Aldyn
        INDEX:	P42W17
      OFFSETS:	88-93
       TOKENS:	P42W23-P42W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diyn_1]
   UNSPLITVOC:	(Ald~iyn)
          POS:	DET+NOUN
          VOC:	Al+diyn
        GLOSS:	the+religion

 INPUT STRING:	والاتهام
     IS_TRANS:	wAlAthAm
        INDEX:	P42W18
      OFFSETS:	94-102
       TOKENS:	P42W24-P42W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ait~ihAm_1]
   UNSPLITVOC:	(wiAlAit~ihAm)
          POS:	CONJ+DET+NOUN
          VOC:	wi+Al+Ait~ihAm
        GLOSS:	and+the+accusation/charge/indictment

 INPUT STRING:	والقذف
     IS_TRANS:	wAlq*f
        INDEX:	P42W19
      OFFSETS:	103-109
       TOKENS:	P42W26-P42W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qa*of_1]
   UNSPLITVOC:	(wiAlqa*of)
          POS:	CONJ+DET+NOUN
          VOC:	wi+Al+qa*of
        GLOSS:	and+the+throwing/slandering

 INPUT STRING:	السياسة
     IS_TRANS:	AlsyAsp
        INDEX:	P43W1
      OFFSETS:	0-7
       TOKENS:	P43W1-P43W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[siyAsap_1]
   UNSPLITVOC:	(Als~iyAsap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+siyAs+ap
        GLOSS:	the+politics+[fem.sg.]

 INPUT STRING:	مثل
     IS_TRANS:	mvl
        INDEX:	P43W2
      OFFSETS:	8-11
       TOKENS:	P43W2-P43W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mivol_1]
   UNSPLITVOC:	(mivol)
          POS:	NOUN
          VOC:	mivol
        GLOSS:	like/such as/like/such as/the likes of

 INPUT STRING:	الحرب
     IS_TRANS:	AlHrb
        INDEX:	P43W3
      OFFSETS:	12-17
       TOKENS:	P43W3-P43W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Harob_1]
   UNSPLITVOC:	(AlHarob)
          POS:	DET+NOUN
          VOC:	Al+Harob
        GLOSS:	the+war/warfare

 INPUT STRING:	خدعة
     IS_TRANS:	xdEp
        INDEX:	P43W4
      OFFSETS:	18-22
       TOKENS:	P43W4-P43W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xidoEap_1]
   UNSPLITVOC:	(xidoEap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	xidoE+ap
        GLOSS:	deception+[fem.sg.]

 INPUT STRING:	وانت
     IS_TRANS:	wAnt
        INDEX:	P43W5
      OFFSETS:	23-27
       TOKENS:	P43W5-P43W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<inotiy_1]
   UNSPLITVOC:	(wi<inoti)
          POS:	CONJ+PRON_2FS
          VOC:	wi+<inoti
        GLOSS:	and+you [fem.sg.]

 INPUT STRING:	تعلمي
     IS_TRANS:	tElmy
        INDEX:	P43W6
      OFFSETS:	28-33
       TOKENS:	P43W7-P43W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Eilim_1]
   UNSPLITVOC:	(tiEolamiy)
          POS:	IV2FS+IV+IVSUFF_SUBJ:2FS
          VOC:	ti+Eolam+iy
        GLOSS:	you [fem.sg.]+know/find out+you [fem.sg.] [verb]

 INPUT STRING:	هذا
     IS_TRANS:	h*A
        INDEX:	P43W7
      OFFSETS:	34-37
       TOKENS:	P43W8-P43W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ha*A_1]
   UNSPLITVOC:	(ha*A)
          POS:	DEM_PRON_MS
          VOC:	ha*A
        GLOSS:	this [masc.sg.]

 INPUT STRING:	جيدا
     IS_TRANS:	jydA
        INDEX:	P43W8
      OFFSETS:	38-42
       TOKENS:	P43W9-P43W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[jay~id_1]
   UNSPLITVOC:	(jay~idAF)
          POS:	ADJ+CASE_INDEF_ACC
          VOC:	jay~id+AF
        GLOSS:	well+[acc.indef.]

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P43W9
      OFFSETS:	42-43
       TOKENS:	P43W10-P43W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P43W10
      OFFSETS:	43-44
       TOKENS:	P43W11-P43W11
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	القيادات
     IS_TRANS:	AlqyAdAt
        INDEX:	P43W11
      OFFSETS:	45-53
       TOKENS:	P43W12-P43W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qiyAdap_2]
   UNSPLITVOC:	(AlqiyAdAt)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+qiyAd+At
        GLOSS:	the+leaders/commanders+[fem.pl.]

 INPUT STRING:	هيدعموه
     IS_TRANS:	hydEmwh
        INDEX:	P43W12
      OFFSETS:	54-61
       TOKENS:	P43W13-P43W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[daEam_1]
   UNSPLITVOC:	(hayidoEamuwA)
          POS:	FUT_PART+IV3P+IV+IVSUFF_SUBJ:P
          VOC:	ha+yi+doEam+uwA
        GLOSS:	will+they+support/strengthen+[pl.]

 INPUT STRING:	المرشح
     IS_TRANS:	Almr$H
        INDEX:	P43W13
      OFFSETS:	62-68
       TOKENS:	P43W15-P43W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mura$~aH_1]
   UNSPLITVOC:	(Almura$~aH)
          POS:	DET+NOUN
          VOC:	Al+mura$~aH
        GLOSS:	the+candidate/nominee

 INPUT STRING:	المطلوب
     IS_TRANS:	AlmTlwb
        INDEX:	P43W14
      OFFSETS:	69-76
       TOKENS:	P43W16-P43W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maToluwb_1]
   UNSPLITVOC:	(AlmaToluwb)
          POS:	DET+ADJ
          VOC:	Al+maToluwb
        GLOSS:	the+required/necessary/demanded/wanted

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P43W15
      OFFSETS:	77-79
       TOKENS:	P43W17-P43W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bas~_1]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P43W16
      OFFSETS:	80-82
       TOKENS:	P43W18-P43W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	هيعملوه
     IS_TRANS:	hyEmlwh
        INDEX:	P43W17
      OFFSETS:	83-90
       TOKENS:	P43W19-P43W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(hayiEomiluwA)
          POS:	FUT_PART+IV3P+IV+IVSUFF_SUBJ:P
          VOC:	ha+yi+Eomil+uwA
        GLOSS:	will+they+make/do+[pl.]

 INPUT STRING:	زي
     IS_TRANS:	zy
        INDEX:	P43W18
      OFFSETS:	91-93
       TOKENS:	P43W21-P43W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zay~_1]
   UNSPLITVOC:	(zay~)
          POS:	NOUN
          VOC:	zay~
        GLOSS:	something like

 INPUT STRING:	مجلس
     IS_TRANS:	mjls
        INDEX:	P43W19
      OFFSETS:	94-98
       TOKENS:	P43W22-P43W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[majolis_1]
   UNSPLITVOC:	(majolis)
          POS:	NOUN
          VOC:	majolis
        GLOSS:	council/board

 INPUT STRING:	الشعب
     IS_TRANS:	Al$Eb
        INDEX:	P43W20
      OFFSETS:	99-104
       TOKENS:	P43W23-P43W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$aEob_1]
   UNSPLITVOC:	(Al$~aEob)
          POS:	DET+NOUN
          VOC:	Al+$aEob
        GLOSS:	the+people/nation

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P44W1
      OFFSETS:	0-2
       TOKENS:	P44W1-P44W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	هينزل
     IS_TRANS:	hynzl
        INDEX:	P44W2
      OFFSETS:	3-8
       TOKENS:	P44W2-P44W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[naz~il_1]
   UNSPLITVOC:	(Hayinaz~il)
          POS:	FUT_PART+IV3MS+IV
          VOC:	Ha+yi+naz~il
        GLOSS:	will+he/it+lower/unload/release

 INPUT STRING:	تكليف
     IS_TRANS:	tklyf
        INDEX:	P44W3
      OFFSETS:	9-14
       TOKENS:	P44W4-P44W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[takoliyf_1]
   UNSPLITVOC:	(takoliyf)
          POS:	NOUN
          VOC:	takoliyf
        GLOSS:	charging/commissioning

