 INPUT STRING:	استفتاء
      OFFSETS:	22-24
       TOKENS:	P27W6-P27W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P27W6
      OFFSETS:	25-27
       TOKENS:	P27W7-P27W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	فتكات
     IS_TRANS:	ftkAt
        INDEX:	P27W7
      OFFSETS:	28-33
       TOKENS:	P27W8-P27W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[fatakAt_1]
   UNSPLITVOC:	(fatakAt)
          POS:	NOUN_PROP
          VOC:	fatakAt
        GLOSS:	fatakat

 INPUT STRING:	وبس
     IS_TRANS:	wbs
        INDEX:	P27W8
      OFFSETS:	34-37
       TOKENS:	P27W9-P27W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bas~_1]
   UNSPLITVOC:	(wibas~)
          POS:	PART+ADV
          VOC:	wi+bas~
        GLOSS:	[part.]+only

 INPUT STRING:	وكلنا
     IS_TRANS:	wklnA
        INDEX:	P28W1
      OFFSETS:	0-5
       TOKENS:	P28W1-P28W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(wikul~inA)
          POS:	CONJ+NOUN_QUANT+POSS_PRON_1P
          VOC:	wi+kul~+nA
        GLOSS:	and+all/every/entire/whole+our

 INPUT STRING:	خالد
     IS_TRANS:	xAld
        INDEX:	P28W2
      OFFSETS:	6-10
       TOKENS:	P28W4-P28W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xAlid_1]
   UNSPLITVOC:	(xAlid)
          POS:	NOUN_PROP
          VOC:	xAlid
        GLOSS:	Khalid

 INPUT STRING:	سعيد
     IS_TRANS:	sEyd
        INDEX:	P28W3
      OFFSETS:	11-15
       TOKENS:	P28W5-P28W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[saEiyd_1]
   UNSPLITVOC:	(saEiyd)
          POS:	NOUN_PROP
          VOC:	saEiyd
        GLOSS:	Said/Saeed

 INPUT STRING:	وكمان
     IS_TRANS:	wkmAn
        INDEX:	P29W1
      OFFSETS:	0-5
       TOKENS:	P29W1-P29W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kamAn_1]
   UNSPLITVOC:	(wikamAn)
          POS:	CONJ+ADV
          VOC:	wi+kamAn
        GLOSS:	and+also/too

 INPUT STRING:	صفحة
     IS_TRANS:	SfHp
        INDEX:	P29W2
      OFFSETS:	6-10
       TOKENS:	P29W3-P29W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SafoHap_1]
   UNSPLITVOC:	(SafoHap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	SafoH+ap
        GLOSS:	page/leaf+[fem.sg.]

 INPUT STRING:	حزب
     IS_TRANS:	Hzb
        INDEX:	P29W3
      OFFSETS:	11-14
       TOKENS:	P29W4-P29W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Hizob_2]
   UNSPLITVOC:	(Hizob)
          POS:	NOUN_PROP
          VOC:	Hizob
        GLOSS:	Hizb/Hezb

 INPUT STRING:	النور
     IS_TRANS:	Alnwr
        INDEX:	P29W4
      OFFSETS:	15-20
       TOKENS:	P29W5-P29W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nuwr_1]
   UNSPLITVOC:	(Aln~uwr)
          POS:	DET+NOUN_PROP
          VOC:	Al+nuwr
        GLOSS:	the+Nour/Noor

 INPUT STRING:	وكمان
     IS_TRANS:	wkmAn
        INDEX:	P30W1
      OFFSETS:	0-5
       TOKENS:	P30W1-P30W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kamAn_1]
   UNSPLITVOC:	(wikamAn)
          POS:	CONJ+ADV
          VOC:	wi+kamAn
        GLOSS:	and+also/too

 INPUT STRING:	اخر
     IS_TRANS:	Axr
        INDEX:	P30W2
      OFFSETS:	6-9
       TOKENS:	P30W3-P30W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[|xir_1]
   UNSPLITVOC:	(|xir)
          POS:	ADJ_COMP
          VOC:	|xir
        GLOSS:	last/end

 INPUT STRING:	حاجه
     IS_TRANS:	HAjh
        INDEX:	P30W3
      OFFSETS:	10-14
       TOKENS:	P30W4-P30W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(HAjap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HAj+ap
        GLOSS:	thing+[fem.sg.]

 INPUT STRING:	لسه
     IS_TRANS:	lsh
        INDEX:	P30W4
      OFFSETS:	15-18
       TOKENS:	P30W5-P30W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lis~ah_1]
   UNSPLITVOC:	(lis~ah)
          POS:	ADV
          VOC:	lis~ah
        GLOSS:	still

 INPUT STRING:	عرفاها
     IS_TRANS:	ErfAhA
        INDEX:	P30W5
      OFFSETS:	19-25
       TOKENS:	P30W6-P30W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[EArif_1]
   UNSPLITVOC:	(EArifhA)
          POS:	ADJ+PRON_3FS
          VOC:	EArif+hA
        GLOSS:	knowing/lhaving knowledge+her

 INPUT STRING:	اليوم
     IS_TRANS:	Alywm
        INDEX:	P30W6
      OFFSETS:	26-31
       TOKENS:	P30W8-P30W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[yuwm_2]
   UNSPLITVOC:	(Alyuwm)
          POS:	DET+NOUN_PROP
          VOC:	Al+yuwm
        GLOSS:	the+Youm

 INPUT STRING:	السابع
     IS_TRANS:	AlsAbE
        INDEX:	P30W7
      OFFSETS:	32-38
       TOKENS:	P30W9-P30W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[sAbiE_2]
   UNSPLITVOC:	(Als~AbiE)
          POS:	DET+NOUN_PROP
          VOC:	Al+sAbiE
        GLOSS:	the+Sabie

 INPUT STRING:	عمله
     IS_TRANS:	Emlh
        INDEX:	P30W8
      OFFSETS:	39-43
       TOKENS:	P30W10-P30W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(Eamaluh)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	Eamal+uh
        GLOSS:	work/act/function+he [verb]

 INPUT STRING:	استفتاء
     IS_TRANS:	AstftA'
        INDEX:	P30W9
      OFFSETS:	44-51
       TOKENS:	P30W11-P30W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AisotifotA'_1]
   UNSPLITVOC:	(AisotifotA')
          POS:	NOUN
          VOC:	AisotifotA'
        GLOSS:	referendum/poll/questionnaire

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P30W10
      OFFSETS:	52-55
       TOKENS:	P30W12-P30W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	الفيس
     IS_TRANS:	Alfys
        INDEX:	P30W11
      OFFSETS:	56-61
       TOKENS:	P30W13-P30W13
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(Alfys)
          POS:	FOREIGN
          VOC:	Alfys
        GLOSS:	nogloss

 INPUT STRING:	وبرضو
     IS_TRANS:	wbrDw
        INDEX:	P30W12
      OFFSETS:	62-67
       TOKENS:	P30W14-P30W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[baroDuw_1]
   UNSPLITVOC:	(wibaroDuw)
          POS:	CONJ+ADV
          VOC:	wi+baroDuw
        GLOSS:	and+also/too/nevertheless

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P30W13
      OFFSETS:	68-70
       TOKENS:	P30W16-P30W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O, oh

 INPUT STRING:	ستى
     IS_TRANS:	stY
        INDEX:	P30W14
      OFFSETS:	71-74
       TOKENS:	P30W17-P30W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sit~_1]
   UNSPLITVOC:	(sit~iy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	sit~+iy
        GLOSS:	lady/miss+my

 INPUT STRING:	حبيب
     IS_TRANS:	Hbyb
        INDEX:	P30W15
      OFFSETS:	75-79
       TOKENS:	P30W19-P30W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Habiyb_1]
   UNSPLITVOC:	(Habiyb)
          POS:	ADJ
          VOC:	Habiyb
        GLOSS:	dear/beloved/sweetheart

 INPUT STRING:	قلبي
     IS_TRANS:	qlby
        INDEX:	P30W16
      OFFSETS:	80-84
       TOKENS:	P30W20-P30W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qalob_1]
   UNSPLITVOC:	(qalobiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	qalob+iy
        GLOSS:	heart/center/essence+my

 INPUT STRING:	الجدع
     IS_TRANS:	AljdE
        INDEX:	P30W17
      OFFSETS:	85-90
       TOKENS:	P30W22-P30W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jadaE_1]
   UNSPLITVOC:	(AljadaE)
          POS:	DET+ADJ
          VOC:	Al+jadaE
        GLOSS:	the+strong/macho

 INPUT STRING:	الشيخ
     IS_TRANS:	Al$yx
        INDEX:	P30W18
      OFFSETS:	91-96
       TOKENS:	P30W23-P30W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ayx_1]
   UNSPLITVOC:	(Al$~ayx)
          POS:	DET+NOUN
          VOC:	Al+$ayx
        GLOSS:	the+Sheikh/chieftain

 INPUT STRING:	حازم
     IS_TRANS:	HAzm
        INDEX:	P30W19
      OFFSETS:	97-101
       TOKENS:	P30W24-P30W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAzim_1]
   UNSPLITVOC:	(HAzim)
          POS:	NOUN_PROP
          VOC:	HAzim
        GLOSS:	Hazim

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P30W20
      OFFSETS:	102-104
       TOKENS:	P30W25-P30W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	he/it

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P30W21
      OFFSETS:	105-109
       TOKENS:	P30W26-P30W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who/whom/which

 INPUT STRING:	مكتسح
     IS_TRANS:	mktsH
        INDEX:	P30W22
      OFFSETS:	110-115
       TOKENS:	P30W27-P30W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mukotasiH_1]
   UNSPLITVOC:	(mukotasiH)
          POS:	ADJ
          VOC:	mukotasiH
        GLOSS:	overwhelmed

 INPUT STRING:	ربنا
     IS_TRANS:	rbnA
        INDEX:	P31W1
      OFFSETS:	0-4
       TOKENS:	P31W1-P31W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(rab~inA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	rab~+nA
        GLOSS:	lord/master+our

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P31W2
      OFFSETS:	5-7
       TOKENS:	P31W3-P31W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bas~_1]
   UNSPLITVOC:	(bas~)
          POS:	ADV
          VOC:	bas~
        GLOSS:	only

 INPUT STRING:	يكفيه
     IS_TRANS:	ykfyh
        INDEX:	P31W3
      OFFSETS:	8-13
       TOKENS:	P31W4-P31W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[kafaY_1]
   UNSPLITVOC:	(yikfiyh)
          POS:	IV3MS+IV+IVSUFF_DO:3MS
          VOC:	yi+kfiy+h
        GLOSS:	he/it+be enough/suffice+him/it

 INPUT STRING:	عيون
     IS_TRANS:	Eywn
        INDEX:	P31W4
      OFFSETS:	14-18
       TOKENS:	P31W6-P31W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eayn_1]
   UNSPLITVOC:	(Eiyuwn)
          POS:	NOUN
          VOC:	Eiyuwn
        GLOSS:	eyes

 INPUT STRING:	الحساد
     IS_TRANS:	AlHsAd
        INDEX:	P31W5
      OFFSETS:	19-25
       TOKENS:	P31W7-P31W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[HAsid_1]
   UNSPLITVOC:	(AlHus~Ad)
          POS:	DET+ADJ
          VOC:	Al+Hus~Ad
        GLOSS:	the+envious

 INPUT STRING:	د
     IS_TRANS:	d
        INDEX:	P32W1
      OFFSETS:	0-1
       TOKENS:	P32W1-P32W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[d_1]
   UNSPLITVOC:	(d)
          POS:	ABBREV
          VOC:	d
        GLOSS:	D./4th/Dr./(minute)/(dinar)/(dirham)

 INPUT STRING:	عبد
     IS_TRANS:	Ebd
        INDEX:	P32W2
      OFFSETS:	2-5
       TOKENS:	P32W2-P32W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eabod_1]
   UNSPLITVOC:	(Eabod)
          POS:	NOUN_PROP
          VOC:	Eabod
        GLOSS:	Abd

 INPUT STRING:	المنعم
     IS_TRANS:	AlmnEm
        INDEX:	P32W3
      OFFSETS:	6-12
       TOKENS:	P32W3-P32W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[minoEim_1]
   UNSPLITVOC:	(AlminoEim)
          POS:	DET+NOUN_PROP
          VOC:	Al+minoEim
        GLOSS:	the+Mun'im

 INPUT STRING:	ابو
     IS_TRANS:	Abw
        INDEX:	P32W4
      OFFSETS:	13-16
       TOKENS:	P32W4-P32W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>abuw_1]
   UNSPLITVOC:	(>abuw)
          POS:	NOUN_PROP
          VOC:	>abuw
        GLOSS:	Abu

 INPUT STRING:	الفتوح
     IS_TRANS:	AlftwH
        INDEX:	P32W5
      OFFSETS:	17-23
       TOKENS:	P32W5-P32W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[futuwH_1]
   UNSPLITVOC:	(AlfutuwH)
          POS:	DET+NOUN_PROP
          VOC:	Al+futuwH
        GLOSS:	the+Fotouh/Futouh

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P32W6
      OFFSETS:	24-26
       TOKENS:	P32W6-P32W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	شاء
     IS_TRANS:	$A'
        INDEX:	P32W7
      OFFSETS:	27-30
       TOKENS:	P32W7-P32W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$A'_1]
   UNSPLITVOC:	($A')
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	$A'+(null)
        GLOSS:	want/desire/wish+he/it [verb]

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P32W8
      OFFSETS:	31-35
       TOKENS:	P32W8-P32W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	Allah/God

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P33W1
      OFFSETS:	0-2
       TOKENS:	P33W1-P33W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bas~_1]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	الشيخ
     IS_TRANS:	Al$yx
        INDEX:	P33W2
      OFFSETS:	3-8
       TOKENS:	P33W2-P33W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ayx_1]
   UNSPLITVOC:	(Al$~ayx)
          POS:	DET+NOUN
          VOC:	Al+$ayx
        GLOSS:	the+Sheikh/chieftain

 INPUT STRING:	حازم
     IS_TRANS:	HAzm
        INDEX:	P33W3
      OFFSETS:	9-13
       TOKENS:	P33W3-P33W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAzim_1]
   UNSPLITVOC:	(HAzim)
          POS:	NOUN_PROP
          VOC:	HAzim
        GLOSS:	Hazim

 INPUT STRING:	عنده
     IS_TRANS:	Endh
        INDEX:	P33W4
      OFFSETS:	14-18
       TOKENS:	P33W4-P33W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eanod_1]
   UNSPLITVOC:	(Eanoduh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	Eanod+uh
        GLOSS:	with/at+his/its

 INPUT STRING:	شعبيه
     IS_TRANS:	$Ebyh
        INDEX:	P33W5
      OFFSETS:	19-24
       TOKENS:	P33W6-P33W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$aEobiy~ap_1]
   UNSPLITVOC:	($aEobiy~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	$aEobiy~+ap
        GLOSS:	popularity+[fem.sg.]

 INPUT STRING:	كبيره
     IS_TRANS:	kbyrh
        INDEX:	P33W6
      OFFSETS:	25-30
       TOKENS:	P33W7-P33W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kibiyr_1]
   UNSPLITVOC:	(kibiyrap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	kibiyr+ap
        GLOSS:	large/great/important/major/senior+[fem.sg.]

 INPUT STRING:	ماشاء
     IS_TRANS:	mA$A'
        INDEX:	P34W1
      OFFSETS:	0-5
       TOKENS:	P34W1-P34W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$A'_1]
   UNSPLITVOC:	(mA_$A')
          POS:	SUB_CONJ+PV+PVSUFF_SUBJ:3MS
          VOC:	mA+$A'+(null)
        GLOSS:	that+want/desire/wish+he/it [verb]

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P34W2
      OFFSETS:	6-10
       TOKENS:	P34W3-P34W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	Allah/God

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P34W3
      OFFSETS:	11-13
       TOKENS:	P34W4-P34W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	بحسد
     IS_TRANS:	bHsd
        INDEX:	P34W4
      OFFSETS:	14-18
       TOKENS:	P34W5-P34W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Hasad_1]
   UNSPLITVOC:	(b>aHosid)
          POS:	PROG_PART+IV1S+IV
          VOC:	b+>a+Hosid
        GLOSS:	[present-tense]+I+envy

 INPUT STRING:	والله
     IS_TRANS:	wAllh
        INDEX:	P34W5
      OFFSETS:	19-24
       TOKENS:	P34W7-P34W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(waAll~ah)
          POS:	PREP+NOUN_PROP
          VOC:	wa+All~ah
        GLOSS:	by+Allah/God

 INPUT STRING:	طب
     IS_TRANS:	Tb
        INDEX:	P35W1
      OFFSETS:	0-2
       TOKENS:	P35W1-P35W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tab_1]
   UNSPLITVOC:	(Tab)
          POS:	INTERJ
          VOC:	Tab
        GLOSS:	ok

 INPUT STRING:	ممكن
     IS_TRANS:	mmkn
        INDEX:	P35W2
      OFFSETS:	3-7
       TOKENS:	P35W2-P35W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mumokin_1]
   UNSPLITVOC:	(mumokin)
          POS:	ADJ
          VOC:	mumokin
        GLOSS:	possible

 INPUT STRING:	تقوليلى
     IS_TRANS:	tqwlylY
        INDEX:	P35W3
      OFFSETS:	8-15
       TOKENS:	P35W3-P35W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(tiquwliy_liy)
          POS:	IV2FS+IV+IVSUFF_SUBJ:2FS+PREP+PRON_1S
          VOC:	ti+quwl+iy+li+iy
        GLOSS:	you [fem.sg.]+say+you [fem.sg.] [verb]+to/for+me

 INPUT STRING:	ايه
     IS_TRANS:	Ayh
        INDEX:	P35W4
      OFFSETS:	16-19
       TOKENS:	P35W6-P35W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iyh_2]
   UNSPLITVOC:	(<iyh)
          POS:	INTERROG_PRON
          VOC:	<iyh
        GLOSS:	what

 INPUT STRING:	مميزات
     IS_TRANS:	mmyzAt
        INDEX:	P35W5
      OFFSETS:	20-26
       TOKENS:	P35W7-P35W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mumay~iz_1]
   UNSPLITVOC:	(mumay~izAt)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	mumay~iz+At
        GLOSS:	distinguishing feature/characteristic/advantage+[fem.pl.]

 INPUT STRING:	ابو
     IS_TRANS:	Abw
        INDEX:	P35W6
      OFFSETS:	27-30
       TOKENS:	P35W8-P35W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>abuw_1]
   UNSPLITVOC:	(>abuw)
          POS:	NOUN_PROP
          VOC:	>abuw
        GLOSS:	Abu

 INPUT STRING:	الفتوح
     IS_TRANS:	AlftwH
        INDEX:	P35W7
      OFFSETS:	31-37
       TOKENS:	P35W9-P35W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[futuwH_1]
   UNSPLITVOC:	(AlfutuwH)
          POS:	DET+NOUN_PROP
          VOC:	Al+futuwH
        GLOSS:	the+Fotouh/Futouh

 INPUT STRING:	عن
     IS_TRANS:	En
        INDEX:	P35W8
      OFFSETS:	38-40
       TOKENS:	P35W10-P35W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ean_1]
   UNSPLITVOC:	(Ean)
          POS:	PREP
          VOC:	Ean
        GLOSS:	(away) from, off, about, on, over

 INPUT STRING:	حازم
     IS_TRANS:	HAzm
        INDEX:	P35W9
      OFFSETS:	41-45
