 INPUT STRING:	تعرض
        GLOSS:	O, oh

 INPUT STRING:	رب
     IS_TRANS:	rb
        INDEX:	P32W2
      OFFSETS:	3-5
       TOKENS:	P32W2-P32W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(rab~)
          POS:	NOUN
          VOC:	rab~
        GLOSS:	lord/master

 INPUT STRING:	تكونى
     IS_TRANS:	tkwnY
        INDEX:	P32W3
      OFFSETS:	6-11
       TOKENS:	P32W3-P32W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(tikuwniy)
          POS:	IV2FS+IV+IVSUFF_SUBJ:2FS
          VOC:	ti+kuwn+iy
        GLOSS:	you+be+you

 INPUT STRING:	بصحة
     IS_TRANS:	bSHp
        INDEX:	P32W4
      OFFSETS:	12-16
       TOKENS:	P32W4-P32W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SiH~ap_1]
   UNSPLITVOC:	(biSiH~ap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	bi+SiH~+ap
        GLOSS:	with/by+health/authenticity/truth/correctness+[fem.sg.]

 INPUT STRING:	وخير
     IS_TRANS:	wxyr
        INDEX:	P32W5
      OFFSETS:	17-21
       TOKENS:	P32W6-P32W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xayr_1]
   UNSPLITVOC:	(wixayr)
          POS:	CONJ+NOUN
          VOC:	wi+xayr
        GLOSS:	and+welfare/ prosperity/ good fortune

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P32W6
      OFFSETS:	21-22
       TOKENS:	P32W8-P32W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	هما
     IS_TRANS:	hmA
        INDEX:	P33W1
      OFFSETS:	0-3
       TOKENS:	P33W1-P33W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hum~a_1]
   UNSPLITVOC:	(hum~a)
          POS:	PRON_3P
          VOC:	hum~a
        GLOSS:	they

 INPUT STRING:	كمان
     IS_TRANS:	kmAn
        INDEX:	P33W2
      OFFSETS:	4-8
       TOKENS:	P33W2-P33W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kamAn_1]
   UNSPLITVOC:	(kamAn)
          POS:	ADV
          VOC:	kamAn
        GLOSS:	also

 INPUT STRING:	بيقولوا
     IS_TRANS:	byqwlwA
        INDEX:	P33W3
      OFFSETS:	9-16
       TOKENS:	P33W3-P33W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(biyiquwluwA)
          POS:	PROG_PART+IV3P+IV+IVSUFF_SUBJ:P
          VOC:	bi+yi+quwl+uwA
        GLOSS:	[present-tense]+they+said/say/be said/say/(for example)+we

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P33W4
      OFFSETS:	17-19
       TOKENS:	P33W5-P33W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	قتلة
     IS_TRANS:	qtlp
        INDEX:	P33W5
      OFFSETS:	20-24
       TOKENS:	P33W6-P33W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qatl_1]
   UNSPLITVOC:	(qatluh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	qatl+uh
        GLOSS:	killing+his/its

 INPUT STRING:	رسالة
     IS_TRANS:	rsAlp
        INDEX:	P33W6
      OFFSETS:	25-30
       TOKENS:	P33W8-P33W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[risAlap_1]
   UNSPLITVOC:	(risAlap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	risAl+ap
        GLOSS:	letter/communication/dissertation/letters/messages+[fem.sg.]

 INPUT STRING:	موجها
     IS_TRANS:	mwjhA
        INDEX:	P33W7
      OFFSETS:	31-36
       TOKENS:	P33W9-P33W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muwaj~ah_1]
   UNSPLITVOC:	(muwaj~ahAF)
          POS:	ADJ+CASE_INDEF_ACC
          VOC:	muwaj~ah+AF
        GLOSS:	directed+[acc.indef.]

 INPUT STRING:	للثورة
     IS_TRANS:	llvwrp
        INDEX:	P33W8
      OFFSETS:	37-43
       TOKENS:	P33W10-P33W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vawrap_1]
   UNSPLITVOC:	(lilv~awrap)
          POS:	PREP+DET+NOUN+NSUFF_FEM_SG
          VOC:	li+Al+vawr+ap
        GLOSS:	for/to+the+revolution/uprising+[fem.sg.]

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P33W9
      OFFSETS:	44-45
       TOKENS:	P33W12-P33W12
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P34W1
      OFFSETS:	0-2
       TOKENS:	P34W1-P34W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	مين
     IS_TRANS:	myn
        INDEX:	P34W2
      OFFSETS:	3-6
       TOKENS:	P34W2-P34W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miyn_1]
   UNSPLITVOC:	(miyn)
          POS:	INTERROG_PRON
          VOC:	miyn
        GLOSS:	who

 INPUT STRING:	بقا
     IS_TRANS:	bqA
        INDEX:	P34W3
      OFFSETS:	7-10
       TOKENS:	P34W3-P34W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[baqA_1]
   UNSPLITVOC:	(baqA)
          POS:	ADV
          VOC:	baqA
        GLOSS:	then

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P34W4
      OFFSETS:	11-13
       TOKENS:	P34W4-P34W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<ino_1]
   UNSPLITVOC:	(<ino)
          POS:	SUB_CONJ
          VOC:	<ino
        GLOSS:	Although, (even) though, even if, despite, in spite of the fact that, verily, truly

 INPUT STRING:	شاء
     IS_TRANS:	$A'
        INDEX:	P34W5
      OFFSETS:	14-17
       TOKENS:	P34W5-P34W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$A'_1]
   UNSPLITVOC:	($A')
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	$A'+(null)
        GLOSS:	want/desire/wish+he/it

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P34W6
      OFFSETS:	18-22
       TOKENS:	P34W6-P34W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN
          VOC:	All~ah
        GLOSS:	God

 INPUT STRING:	حسبنا
     IS_TRANS:	HsbnA
        INDEX:	P34W7
      OFFSETS:	23-28
       TOKENS:	P34W7-P34W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Hasab_1]
   UNSPLITVOC:	(HasabnA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	Hasab+nA
        GLOSS:	according to/in accordance with+our

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P34W8
      OFFSETS:	29-33
       TOKENS:	P34W9-P34W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN
          VOC:	All~ah
        GLOSS:	God

 INPUT STRING:	ونعم
     IS_TRANS:	wnEm
        INDEX:	P34W9
      OFFSETS:	34-38
       TOKENS:	P34W10-P34W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[niEma_1]
   UNSPLITVOC:	(waniEma)
          POS:	CONJ+VERB
          VOC:	wa+niEma
        GLOSS:	and+how good

 INPUT STRING:	الوكيل
     IS_TRANS:	Alwkyl
        INDEX:	P34W10
      OFFSETS:	39-45
       TOKENS:	P34W12-P34W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wakiyl_1]
   UNSPLITVOC:	(Alwakiyl)
          POS:	DET+NOUN
          VOC:	Al+wakiyl
        GLOSS:	the+attorney

 INPUT STRING:	هما
     IS_TRANS:	hmA
        INDEX:	P35W1
      OFFSETS:	0-3
       TOKENS:	P35W1-P35W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hum~a_1]
   UNSPLITVOC:	(hum~a)
          POS:	PRON_3P
          VOC:	hum~a
        GLOSS:	they

 INPUT STRING:	هيبتدوا
     IS_TRANS:	hybtdwA
        INDEX:	P35W2
      OFFSETS:	4-11
       TOKENS:	P35W2-P35W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AibotadA_1]
   UNSPLITVOC:	(HayibotiduwA)
          POS:	FUT_PART+IV3P+IV+IVSUFF_SUBJ:P
          VOC:	Ha+yi+botid+uwA
        GLOSS:	will+they+start+we

 INPUT STRING:	يختلفوا
     IS_TRANS:	yxtlfwA
        INDEX:	P35W3
      OFFSETS:	12-19
       TOKENS:	P35W4-P35W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Aixtalaf_1]
   UNSPLITVOC:	(yixtilfuwA)
          POS:	IV3P+IV+IVSUFF_SUBJ:P
          VOC:	yi+xtilf+uwA
        GLOSS:	they+disagree+they

 INPUT STRING:	ويخلصوا
     IS_TRANS:	wyxlSwA
        INDEX:	P35W4
      OFFSETS:	20-27
       TOKENS:	P35W5-P35W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xal~aS_1]
   UNSPLITVOC:	(wiyixal~aSuwA)
          POS:	CONJ+IV3P+IV+IVSUFF_SUBJ:P
          VOC:	wi+yi+xal~aS+uwA
        GLOSS:	and+they+get rid+they

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P35W5
      OFFSETS:	28-31
       TOKENS:	P35W7-P35W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	بعض
     IS_TRANS:	bED
        INDEX:	P35W6
      OFFSETS:	32-35
       TOKENS:	P35W8-P35W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEoD_1]
   UNSPLITVOC:	(baEoD)
          POS:	NOUN_QUANT
          VOC:	baEoD
        GLOSS:	some, a few, little, part

 INPUT STRING:	وفرصة
     IS_TRANS:	wfrSp
        INDEX:	P35W7
      OFFSETS:	36-41
       TOKENS:	P35W9-P35W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[furoSap_1]
   UNSPLITVOC:	(wifuroSap)
          POS:	CONJ+NOUN+NSUFF_FEM_SG
          VOC:	wi+furoS+ap
        GLOSS:	and+opportunity/chance/opportunities/chances+[fem.sg.]

 INPUT STRING:	يرمى
     IS_TRANS:	yrmY
        INDEX:	P35W8
      OFFSETS:	42-46
       TOKENS:	P35W11-P35W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ramaY_1]
   UNSPLITVOC:	(yiromiy)
          POS:	IV3MS+IV
          VOC:	yi+romiy
        GLOSS:	he/it+throw/fling/shoot/be thrown/be flung/be shot

 INPUT STRING:	البلوة
     IS_TRANS:	Alblwp
        INDEX:	P35W9
      OFFSETS:	47-53
       TOKENS:	P35W12-P35W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[balowap_1]
   UNSPLITVOC:	(Albalowap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+balow+ap
        GLOSS:	the+problem+[fem.sg.]

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P35W10
      OFFSETS:	54-57
       TOKENS:	P35W13-P35W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	ناس
     IS_TRANS:	nAs
        INDEX:	P35W11
      OFFSETS:	58-61
       TOKENS:	P35W14-P35W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAs_1]
   UNSPLITVOC:	(nAs)
          POS:	NOUN
          VOC:	nAs
        GLOSS:	people

 INPUT STRING:	تانية
     IS_TRANS:	tAnyp
        INDEX:	P35W12
      OFFSETS:	62-67
       TOKENS:	P35W15-P35W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tAniy_1]
   UNSPLITVOC:	(tAnoyap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	tAnoy+ap
        GLOSS:	other+[fem.sg.]

 INPUT STRING:	ضرب
     IS_TRANS:	Drb
        INDEX:	P36W1
      OFFSETS:	0-3
       TOKENS:	P36W1-P36W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Darab_1]
   UNSPLITVOC:	(Darab)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	Darab+(null)
        GLOSS:	strike/hit/be struck/be hit+he/it

 INPUT STRING:	عصفورييين
     IS_TRANS:	ESfwryyyn
        INDEX:	P36W2
      OFFSETS:	4-13
       TOKENS:	P36W2-P36W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[EaSfuwr_1]
   UNSPLITVOC:	(EaSfuwriyn)
          POS:	NOUN+NSUFF_MASC_DU
          VOC:	EaSfuwr+iyn
        GLOSS:	bird+[masc.du.]

 INPUT STRING:	بحجر
     IS_TRANS:	bHjr
        INDEX:	P36W3
      OFFSETS:	14-18
       TOKENS:	P36W3-P36W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Hajar_1]
   UNSPLITVOC:	(biHajar)
          POS:	PREP+NOUN
          VOC:	bi+Hajar
        GLOSS:	with/by+stone

 INPUT STRING:	واحد
     IS_TRANS:	wAHd
        INDEX:	P36W4
      OFFSETS:	19-23
       TOKENS:	P36W5-P36W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wAHid_1]
   UNSPLITVOC:	(wAHid)
          POS:	NOUN_NUM
          VOC:	wAHid
        GLOSS:	one

 INPUT STRING:	يعنى
     IS_TRANS:	yEnY
        INDEX:	P36W5
      OFFSETS:	24-28
       TOKENS:	P36W6-P36W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EanaY_1]
   UNSPLITVOC:	(yaEoniy)
          POS:	IV3MS+IV
          VOC:	ya+Eoniy
        GLOSS:	he/it+mean

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P36W6
      OFFSETS:	28-29
       TOKENS:	P36W7-P36W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	عموما
     IS_TRANS:	EmwmA
        INDEX:	P37W1
      OFFSETS:	0-5
       TOKENS:	P37W1-P37W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eumuwm_1]
   UNSPLITVOC:	(EumuwmAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	Eumuwm+AF
        GLOSS:	in general/generally+[acc.indef.]

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P37W2
      OFFSETS:	6-10
       TOKENS:	P37W2-P37W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN
          VOC:	All~ah
        GLOSS:	God

 INPUT STRING:	يرحمة
     IS_TRANS:	yrHmp
        INDEX:	P37W3
      OFFSETS:	11-16
       TOKENS:	P37W3-P37W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[raHam_1]
   UNSPLITVOC:	(yirHamuh)
          POS:	IV3MS+IV+IVSUFF_DO:3MS
          VOC:	yi+rHam+uh
        GLOSS:	he/it+bless+him/it

 INPUT STRING:	ويعدى
     IS_TRANS:	wyEdY
        INDEX:	P37W4
      OFFSETS:	17-22
       TOKENS:	P37W5-P37W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ead~aY_1]
   UNSPLITVOC:	(wiyiEad~iy)
          POS:	CONJ+IV3MS+IV
          VOC:	wi+yi+Ead~iy
        GLOSS:	and+he/it+traverse/cross/be traversed/be crossed

 INPUT STRING:	الايام
     IS_TRANS:	AlAyAm
        INDEX:	P37W5
      OFFSETS:	23-29
       TOKENS:	P37W7-P37W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yawm_1]
   UNSPLITVOC:	(AlAiy~Am)
          POS:	DET+NOUN
          VOC:	Al+Aiy~Am
        GLOSS:	the+today/some day/ever/days

 INPUT STRING:	دى
     IS_TRANS:	dY
        INDEX:	P37W6
      OFFSETS:	30-32
       TOKENS:	P37W8-P37W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diy_1]
   UNSPLITVOC:	(diy)
          POS:	DEM_PRON_FS
          VOC:	diy
        GLOSS:	this

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P37W7
      OFFSETS:	33-36
       TOKENS:	P37W9-P37W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	خير
     IS_TRANS:	xyr
        INDEX:	P37W8
      OFFSETS:	37-40
       TOKENS:	P37W10-P37W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xayr_1]
   UNSPLITVOC:	(xayr)
          POS:	NOUN
          VOC:	xayr
        GLOSS:	good

 INPUT STRING:	شيخ
     IS_TRANS:	$yx
        INDEX:	P38W1
      OFFSETS:	0-3
       TOKENS:	P38W1-P38W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ayx_1]
   UNSPLITVOC:	($ayx)
          POS:	NOUN
          VOC:	$ayx
        GLOSS:	Sheikh

 INPUT STRING:	يضرب
     IS_TRANS:	yDrb
        INDEX:	P38W2
      OFFSETS:	4-8
       TOKENS:	P38W2-P38W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Darab_1]
   UNSPLITVOC:	(yuDrab)
          POS:	IV3MS+IV_PASS
          VOC:	yu+Drab
        GLOSS:	he/it+be hit

 INPUT STRING:	بالرصاص
     IS_TRANS:	bAlrSAS
        INDEX:	P38W3
      OFFSETS:	9-16
       TOKENS:	P38W3-P38W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ruSASap_1]
   UNSPLITVOC:	(biAlr~uSAS)
          POS:	PREP+DET+NOUN
          VOC:	bi+Al+ruSAS
        GLOSS:	with/by+the+bullets

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P38W4
      OFFSETS:	17-19
       TOKENS:	P38W5-P38W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	واحد
     IS_TRANS:	wAHd
        INDEX:	P38W5
      OFFSETS:	20-24
       TOKENS:	P38W6-P38W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wAHid_1]
   UNSPLITVOC:	(wAHid)
          POS:	NOUN
          VOC:	wAHid
        GLOSS:	person/ individual

 INPUT STRING:	واقف
     IS_TRANS:	wAqf
        INDEX:	P38W6
      OFFSETS:	25-29
       TOKENS:	P38W7-P38W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wAqif_1]
   UNSPLITVOC:	(wAqif)
          POS:	ADJ
          VOC:	wAqif
        GLOSS:	standing

 INPUT STRING:	جانبة
     IS_TRANS:	jAnbp
        INDEX:	P38W7
      OFFSETS:	30-35
       TOKENS:	P38W8-P38W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[janb_1]
   UNSPLITVOC:	(jAnbh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	jAnb+uh
        GLOSS:	next to+his/its

 INPUT STRING:	وواحد
     IS_TRANS:	wwAHd
        INDEX:	P38W8
      OFFSETS:	36-41
       TOKENS:	P38W10-P38W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wAHid_1]
   UNSPLITVOC:	(wiwAHid)
          POS:	CONJ+NOUN
          VOC:	wi+wAHid
        GLOSS:	and+person/ individual

 INPUT STRING:	يدبح
     IS_TRANS:	ydbH
        INDEX:	P38W9
      OFFSETS:	42-46
       TOKENS:	P38W12-P38W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dabaH_1]
   UNSPLITVOC:	(yid~ibiH)
          POS:	IV3MS+IV_PASS
          VOC:	yi+d~ibiH
        GLOSS:	he/it+be killed

 INPUT STRING:	ميعرفوش
     IS_TRANS:	myErfw$
        INDEX:	P38W10
      OFFSETS:	47-54
       TOKENS:	P38W13-P38W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Earaf_1]
   UNSPLITVOC:	(mA_yiEorafuw$)
          POS:	NEG_PART+IV3P+IV+IVSUFF_SUBJ:P+NEG_PART
          VOC:	mA+yi+Eoraf+uwA+$
        GLOSS:	not+they+know/be known+we+not

 INPUT STRING:	برضة
     IS_TRANS:	brDp
        INDEX:	P38W11
      OFFSETS:	55-59
       TOKENS:	P38W16-P38W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baroDuh_1]
   UNSPLITVOC:	(baroDuh)
          POS:	ADV
          VOC:	baroDuh
        GLOSS:	also

 INPUT STRING:	يمسكوا
     IS_TRANS:	ymskwA
        INDEX:	P38W12
      OFFSETS:	60-66
       TOKENS:	P38W17-P38W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[misik_1]
   UNSPLITVOC:	(yimosikuwA)
          POS:	IV3P+IV+IVSUFF_SUBJ:P
          VOC:	yi+mosik+uwA
        GLOSS:	they+seize+we

 INPUT STRING:	الجانى
     IS_TRANS:	AljAnY
        INDEX:	P38W13
      OFFSETS:	67-73
       TOKENS:	P38W18-P38W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jAniy_1]
   UNSPLITVOC:	(AljAniy)
          POS:	DET+NOUN
          VOC:	Al+jAniy
        GLOSS:	the+delinquent/criminal

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P38W14
      OFFSETS:	74-75
       TOKENS:	P38W19-P38W19
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	!

 INPUT STRING:	يمكن
     IS_TRANS:	ymkn
        INDEX:	P39W1
      OFFSETS:	0-4
       TOKENS:	P39W1-P39W1
