 INPUT STRING:	تداول
      OFFSETS:	11-17
       TOKENS:	P18W4-P18W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(rdAxlp)
          POS:	TYPO
          VOC:	rdAxlp
        GLOSS:	nogloss

 INPUT STRING:	تقول
     IS_TRANS:	tqwl
        INDEX:	P18W4
      OFFSETS:	18-22
       TOKENS:	P18W5-P18W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(tiquwl)
          POS:	IV3FS+IV
          VOC:	ti+quwl
        GLOSS:	it/they/she+said/say/be said/say/(for example)

 INPUT STRING:	ارحمينا
     IS_TRANS:	ArHmynA
        INDEX:	P18W5
      OFFSETS:	23-30
       TOKENS:	P18W6-P18W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[raHam_1]
   UNSPLITVOC:	(AiroHamiynA)
          POS:	CV+CVSUFF_SUBJ:2FS+CVSUFF_DO:1P
          VOC:	AiroHam+iy+nA
        GLOSS:	mercy+you+us

 INPUT STRING:	واللى
     IS_TRANS:	wAllY
        INDEX:	P18W6
      OFFSETS:	31-36
       TOKENS:	P18W8-P18W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[All~iy_1]
   UNSPLITVOC:	(wiAll~iy)
          POS:	CONJ+REL_PRON
          VOC:	wi+All~iy
        GLOSS:	and+who/which/whose

 INPUT STRING:	داخلة
     IS_TRANS:	dAxlp
        INDEX:	P18W7
      OFFSETS:	37-42
       TOKENS:	P18W10-P18W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dAxil_1]
   UNSPLITVOC:	(dAxolap)
          POS:	ADJ.VN+NSUFF_FEM_SG
          VOC:	dAxol+ap
        GLOSS:	entering+[fem.sg.]

 INPUT STRING:	تقولنا
     IS_TRANS:	tqwlnA
        INDEX:	P18W8
      OFFSETS:	43-49
       TOKENS:	P18W11-P18W11
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(tqwlnA)
          POS:	NO_FUNC
          VOC:	tqwlnA
        GLOSS:	nogloss

 INPUT STRING:	البلد
     IS_TRANS:	Albld
        INDEX:	P18W9
      OFFSETS:	50-55
       TOKENS:	P18W12-P18W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[balad_1]
   UNSPLITVOC:	(Albalad)
          POS:	DET+NOUN
          VOC:	Al+balad
        GLOSS:	the+country/country/countries

 INPUT STRING:	والعة
     IS_TRANS:	wAlEp
        INDEX:	P18W10
      OFFSETS:	56-61
       TOKENS:	P18W13-P18W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[wAlEap_1]
   UNSPLITVOC:	(wAlEap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	wAlE+ap
        GLOSS:	fire+[fem.sg.]

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P18W11
      OFFSETS:	62-64
       TOKENS:	P18W14-P18W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	ناقصة
     IS_TRANS:	nAqSp
        INDEX:	P18W12
      OFFSETS:	65-70
       TOKENS:	P18W15-P18W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAqiS_1]
   UNSPLITVOC:	(nAqoSap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	nAqoS+ap
        GLOSS:	incomplete/defective/lacking+[fem.sg.]

 INPUT STRING:	باقولهم
     IS_TRANS:	bAqwlhm
        INDEX:	P18W13
      OFFSETS:	71-78
       TOKENS:	P18W16-P18W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(bAaquwlhum)
          POS:	PROG_PART+IV1S+IV+IVSUFF_DO:3P
          VOC:	bi+Aa+quwl+hum
        GLOSS:	[present-tense]+I+said/say/be said/say/(for example)+them

 INPUT STRING:	حجاة
     IS_TRANS:	HjAp
        INDEX:	P18W14
      OFFSETS:	79-83
       TOKENS:	P18W19-P18W19
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(HjAp)
          POS:	TYPO
          VOC:	HjAp
        GLOSS:	nogloss

 INPUT STRING:	واحدة
     IS_TRANS:	wAHdp
        INDEX:	P18W15
      OFFSETS:	84-89
       TOKENS:	P18W20-P18W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wAHodap_1]
   UNSPLITVOC:	(wAHodap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	wAHod+ap
        GLOSS:	one+[fem.sg.]

 INPUT STRING:	اتقوا
     IS_TRANS:	AtqwA
        INDEX:	P18W16
      OFFSETS:	90-95
       TOKENS:	P18W21-P18W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<it~aqay_1]
   UNSPLITVOC:	(<it~aquwA)
          POS:	CV+CVSUFF_SUBJ:2P
          VOC:	<it~aq+uwA
        GLOSS:	beware/be on guard+you

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P18W17
      OFFSETS:	96-100
       TOKENS:	P18W22-P18W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	Allah/God

 INPUT STRING:	وحطوا
     IS_TRANS:	wHTwA
        INDEX:	P18W18
      OFFSETS:	101-106
       TOKENS:	P18W23-P18W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HaT~_1]
   UNSPLITVOC:	(wiHuT~uwA)
          POS:	CONJ+CV+CVSUFF_SUBJ:2P
          VOC:	wi+HuT~+uwA
        GLOSS:	and+put+you

 INPUT STRING:	نفسكم
     IS_TRANS:	nfskm
        INDEX:	P18W19
      OFFSETS:	107-112
       TOKENS:	P18W25-P18W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nafos_1]
   UNSPLITVOC:	(nafosukum)
          POS:	NOUN+POSS_PRON_2P
          VOC:	nafos+kum
        GLOSS:	soul/souls+your

 INPUT STRING:	مكان
     IS_TRANS:	mkAn
        INDEX:	P18W20
      OFFSETS:	113-117
       TOKENS:	P18W27-P18W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[makAn_1]
   UNSPLITVOC:	(makAn)
          POS:	NOUN
          VOC:	makAn
        GLOSS:	place/location/position

 INPUT STRING:	البنت
     IS_TRANS:	Albnt
        INDEX:	P18W21
      OFFSETS:	118-123
       TOKENS:	P18W28-P18W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[binot_1]
   UNSPLITVOC:	(Albinot)
          POS:	DET+NOUN
          VOC:	Al+binot
        GLOSS:	the+daughter/girl/daughters/girls

 INPUT STRING:	دى
     IS_TRANS:	dY
        INDEX:	P18W22
      OFFSETS:	124-126
       TOKENS:	P18W29-P18W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diy_1]
   UNSPLITVOC:	(diy)
          POS:	DEM_PRON_FS
          VOC:	diy
        GLOSS:	this

 INPUT STRING:	لو
     IS_TRANS:	lw
        INDEX:	P19W1
      OFFSETS:	0-2
       TOKENS:	P19W1-P19W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[law_1]
   UNSPLITVOC:	(law)
          POS:	SUB_CONJ
          VOC:	law
        GLOSS:	if

 INPUT STRING:	راجل
     IS_TRANS:	rAjl
        INDEX:	P19W2
      OFFSETS:	3-7
       TOKENS:	P19W2-P19W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rAjil_1]
   UNSPLITVOC:	(rAjil)
          POS:	NOUN
          VOC:	rAjil
        GLOSS:	man

 INPUT STRING:	عراكى
     IS_TRANS:	ErAkY
        INDEX:	P19W3
      OFFSETS:	8-13
       TOKENS:	P19W3-P19W3
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(ErAkY)
          POS:	NO_FUNC
          VOC:	ErAkY
        GLOSS:	nogloss

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P19W4
      OFFSETS:	14-16
       TOKENS:	P19W4-P19W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	الشارع
     IS_TRANS:	Al$ArE
        INDEX:	P19W5
      OFFSETS:	17-23
       TOKENS:	P19W5-P19W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$AriE_1]
   UNSPLITVOC:	(Al$~AriE)
          POS:	DET+NOUN
          VOC:	Al+$AriE
        GLOSS:	the+street/streets

 INPUT STRING:	وجيرانك
     IS_TRANS:	wjyrAnk
        INDEX:	P19W6
      OFFSETS:	24-31
       TOKENS:	P19W6-P19W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jAr_1]
   UNSPLITVOC:	(wijiyrAnik)
          POS:	CONJ+NOUN+POSS_PRON_2FS
          VOC:	wi+jiyrAn+ik
        GLOSS:	and+neighbors+your

 INPUT STRING:	قالولك
     IS_TRANS:	qAlwlk
        INDEX:	P19W7
      OFFSETS:	32-38
       TOKENS:	P19W9-P19W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(qAluwA_lik)
          POS:	PV+PVSUFF_SUBJ:3P+PREP+PRON_2FS
          VOC:	qAl+uwA+li+ik
        GLOSS:	said/say/be said/say/(for example)+they+to/for+you

 INPUT STRING:	مانتى
     IS_TRANS:	mAntY
        INDEX:	P19W8
      OFFSETS:	39-44
       TOKENS:	P19W12-P19W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainotiy_1]
   UNSPLITVOC:	(maAinotiy)
          POS:	SUB_CONJ+PRON_2FS
          VOC:	ma+Ainotiy
        GLOSS:	that+you

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P19W9
      OFFSETS:	45-47
       TOKENS:	P19W14-P19W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	محترمة
     IS_TRANS:	mHtrmp
        INDEX:	P19W10
      OFFSETS:	48-54
       TOKENS:	P19W15-P19W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muHotaram_1]
   UNSPLITVOC:	(muHotaramap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	muHotaram+ap
        GLOSS:	esteemed/respected+[fem.sg.]

 INPUT STRING:	وانتى
     IS_TRANS:	wAntY
        INDEX:	P19W11
      OFFSETS:	55-60
       TOKENS:	P19W16-P19W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<intiy_1]
   UNSPLITVOC:	(wi<intiy)
          POS:	CONJ+PRON_2FS
          VOC:	wi+<intiy
        GLOSS:	and+you

 INPUT STRING:	ايه
     IS_TRANS:	Ayh
        INDEX:	P19W12
      OFFSETS:	61-64
       TOKENS:	P19W18-P19W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iyoh_1]
   UNSPLITVOC:	(<iyoh)
          POS:	INTERROG_PRON
          VOC:	<iyoh
        GLOSS:	what

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P19W13
      OFFSETS:	65-69
       TOKENS:	P19W19-P19W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who / which / whose

 INPUT STRING:	خلاكى
     IS_TRANS:	xlAkY
        INDEX:	P19W14
      OFFSETS:	70-75
       TOKENS:	P19W20-P19W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xal~aY_1]
   UNSPLITVOC:	(xal~Akiy)
          POS:	PV+PVSUFF_SUBJ:3MS+PVSUFF_DO:2FS
          VOC:	xal~A+(null)+ik
        GLOSS:	release/evacuate/allow/be released/be evacuated/be allowed+he/it+you

 INPUT STRING:	ماشية
     IS_TRANS:	mA$yp
        INDEX:	P19W15
      OFFSETS:	76-81
       TOKENS:	P19W22-P19W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA$iy_1]
   UNSPLITVOC:	(mA$oyap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	mA$oy+ap
        GLOSS:	going/walking/on foot+[fem.sg.]

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P19W16
      OFFSETS:	82-84
       TOKENS:	P19W23-P19W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	الشارع
     IS_TRANS:	Al$ArE
        INDEX:	P19W17
      OFFSETS:	85-91
       TOKENS:	P19W24-P19W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$AriE_1]
   UNSPLITVOC:	(Al$~AriE)
          POS:	DET+NOUN
          VOC:	Al+$AriE
        GLOSS:	the+street/streets

 INPUT STRING:	وانتى
     IS_TRANS:	wAntY
        INDEX:	P19W18
      OFFSETS:	92-97
       TOKENS:	P19W25-P19W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<intiy_1]
   UNSPLITVOC:	(wi<intiy)
          POS:	CONJ+PRON_2FS
          VOC:	wi+<intiy
        GLOSS:	and+you

 INPUT STRING:	ايه
     IS_TRANS:	Ayh
        INDEX:	P19W19
      OFFSETS:	98-101
       TOKENS:	P19W27-P19W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iyoh_1]
   UNSPLITVOC:	(<iyoh)
          POS:	INTERROG_PRON
          VOC:	<iyoh
        GLOSS:	what

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P19W20
      OFFSETS:	102-106
       TOKENS:	P19W28-P19W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who / which / whose

 INPUT STRING:	ملبسك
     IS_TRANS:	mlbsk
        INDEX:	P19W21
      OFFSETS:	107-112
       TOKENS:	P19W29-P19W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[malab~as_1]
   UNSPLITVOC:	(malab~asak)
          POS:	ADJ+PRON_2MS
          VOC:	malab~as+ak
        GLOSS:	wearing+you

 INPUT STRING:	كده
     IS_TRANS:	kdh
        INDEX:	P19W22
      OFFSETS:	113-116
       TOKENS:	P19W31-P19W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidah_1]
   UNSPLITVOC:	(kidah)
          POS:	NOUN
          VOC:	kidah
        GLOSS:	such/like

 INPUT STRING:	ساعتها
     IS_TRANS:	sAEthA
        INDEX:	P20W1
      OFFSETS:	0-6
       TOKENS:	P20W1-P20W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sAEap_1]
   UNSPLITVOC:	(sAEithA)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_3FS
          VOC:	sAE+ap+hA
        GLOSS:	hour/time/hours+[fem.sg.]+its/their/her

 INPUT STRING:	هتتمنى
     IS_TRANS:	httmnY
        INDEX:	P20W2
      OFFSETS:	7-13
       TOKENS:	P20W3-P20W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aitoman~aY_1]
   UNSPLITVOC:	(Hatitoman~aY)
          POS:	FUT_PART+IV3FS+IV
          VOC:	Ha+ti+toman~aY
        GLOSS:	will+it/they/she+wish

 INPUT STRING:	اي
     IS_TRANS:	Ay
        INDEX:	P20W3
      OFFSETS:	14-16
       TOKENS:	P20W5-P20W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aay~_1]
   UNSPLITVOC:	(>ay~)
          POS:	NOUN_QUANT
          VOC:	>ay~
        GLOSS:	any

 INPUT STRING:	حد
     IS_TRANS:	Hd
        INDEX:	P20W4
      OFFSETS:	17-19
       TOKENS:	P20W6-P20W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Had~_1]
   UNSPLITVOC:	(Had~)
          POS:	NOUN
          VOC:	Had~
        GLOSS:	any person

 INPUT STRING:	يدافع
     IS_TRANS:	ydAfE
        INDEX:	P20W5
      OFFSETS:	20-25
       TOKENS:	P20W7-P20W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dAfiE_1]
   UNSPLITVOC:	(yidAfiE)
          POS:	IV3MS+IV
          VOC:	yi+dAfiE
        GLOSS:	he/it+defend

 INPUT STRING:	عنك
     IS_TRANS:	Enk
        INDEX:	P20W6
      OFFSETS:	26-29
       TOKENS:	P20W8-P20W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ean_1]
   UNSPLITVOC:	(Ean~ik)
          POS:	PREP+PRON_2FS
          VOC:	Ean~+ik
        GLOSS:	(away) from, off, about, on, over+you

 INPUT STRING:	ولو
     IS_TRANS:	wlw
        INDEX:	P20W7
      OFFSETS:	30-33
       TOKENS:	P20W10-P20W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[law_1]
   UNSPLITVOC:	(wilaw)
          POS:	CONJ+SUB_CONJ
          VOC:	wi+law
        GLOSS:	and+if

 INPUT STRING:	بكلمة
     IS_TRANS:	bklmp
        INDEX:	P20W8
      OFFSETS:	34-39
       TOKENS:	P20W12-P20W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kilomap_1]
   UNSPLITVOC:	(bikilomap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	bi+kilom+ap
        GLOSS:	with/by+word+[fem.sg.]

 INPUT STRING:	وباى
     IS_TRANS:	wbAY
        INDEX:	P20W9
      OFFSETS:	40-44
       TOKENS:	P20W14-P20W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aay~_1]
   UNSPLITVOC:	(wibi>ay~)
          POS:	CONJ+PREP+NOUN_QUANT
          VOC:	wi+bi+>ay~
        GLOSS:	and+with/by+any

 INPUT STRING:	دفاع
     IS_TRANS:	dfAE
        INDEX:	P20W10
      OFFSETS:	45-49
       TOKENS:	P20W17-P20W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[difAE_1]
   UNSPLITVOC:	(difAE)
          POS:	NOUN
          VOC:	difAE
        GLOSS:	defense/in defense

 INPUT STRING:	وباى
     IS_TRANS:	wbAY
        INDEX:	P20W11
      OFFSETS:	50-54
       TOKENS:	P20W18-P20W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aay~_1]
   UNSPLITVOC:	(wibi>ay~)
          POS:	CONJ+PREP+NOUN_QUANT
          VOC:	wi+bi+>ay~
        GLOSS:	and+with/by+any

 INPUT STRING:	منطق
     IS_TRANS:	mnTq
        INDEX:	P20W12
      OFFSETS:	55-59
       TOKENS:	P20W21-P20W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[manoTiq_1]
   UNSPLITVOC:	(manoTiq)
          POS:	NOUN
          VOC:	manoTiq
        GLOSS:	logic

 INPUT STRING:	صح
     IS_TRANS:	SH
        INDEX:	P20W13
      OFFSETS:	60-62
       TOKENS:	P20W22-P20W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SaH~_1]
   UNSPLITVOC:	(SaH~)
          POS:	ADJ
          VOC:	SaH~
        GLOSS:	true

 INPUT STRING:	ولا
     IS_TRANS:	wlA
        INDEX:	P20W14
      OFFSETS:	63-66
       TOKENS:	P20W23-P20W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wal~A_1]
   UNSPLITVOC:	(wal~A)
          POS:	CONJ
          VOC:	wal~A
        GLOSS:	or

 INPUT STRING:	غلط
     IS_TRANS:	glT
        INDEX:	P20W15
      OFFSETS:	67-70
       TOKENS:	P20W24-P20W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[galaT_1]
   UNSPLITVOC:	(galaT)
          POS:	ADJ
          VOC:	galaT
        GLOSS:	wrong

 INPUT STRING:	ماشاء
     IS_TRANS:	mA$A'
        INDEX:	P21W1
      OFFSETS:	0-5
       TOKENS:	P21W1-P21W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$A'_1]
   UNSPLITVOC:	(mA_$A')
          POS:	SUB_CONJ+PV+PVSUFF_SUBJ:3MS
          VOC:	mA+$A'+(null)
        GLOSS:	that+want/desire/wish+he/it

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P21W2
      OFFSETS:	6-10
       TOKENS:	P21W3-P21W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	Allah/God

 INPUT STRING:	واضح
     IS_TRANS:	wADH
        INDEX:	P21W3
      OFFSETS:	11-15
       TOKENS:	P21W4-P21W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wADiH_1]
   UNSPLITVOC:	(wADiH)
          POS:	ADJ
          VOC:	wADiH
        GLOSS:	clear/obvious/visible

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P21W4
      OFFSETS:	16-18
       TOKENS:	P21W5-P21W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	نص
     IS_TRANS:	nS
        INDEX:	P21W5
      OFFSETS:	19-21
       TOKENS:	P21W6-P21W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nuS~_1]
   UNSPLITVOC:	(nuS~)
          POS:	NOUN_QUANT
          VOC:	nuS~
        GLOSS:	half

 INPUT STRING:	شعب
     IS_TRANS:	$Eb
        INDEX:	P21W6
      OFFSETS:	22-25
       TOKENS:	P21W7-P21W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$aEob_1]
   UNSPLITVOC:	($aEob)
          POS:	NOUN
          VOC:	$aEob
        GLOSS:	people/nation/peoples/nations

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P21W7
      OFFSETS:	26-29
       TOKENS:	P21W8-P21W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSor_1]
   UNSPLITVOC:	(maSor)
          POS:	NOUN_PROP
          VOC:	maSor
        GLOSS:	Egypt

 INPUT STRING:	المشاعر
     IS_TRANS:	Alm$AEr
        INDEX:	P21W8
      OFFSETS:	30-37
       TOKENS:	P21W9-P21W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ma$AEir_1]
   UNSPLITVOC:	(Alma$AEir)
          POS:	DET+NOUN
          VOC:	Al+ma$AEir
