 INPUT STRING:	اليوم
 INPUT STRING:	الميدان
     IS_TRANS:	AlmydAn
        INDEX:	P23W9
      OFFSETS:	41-48
       TOKENS:	P23W12-P23W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miydAn_1]
   UNSPLITVOC:	(AlmiydAn)
          POS:	DET+NOUN
          VOC:	Al+miydAn
        GLOSS:	the+square

 INPUT STRING:	بل
     IS_TRANS:	bl
        INDEX:	P23W10
      OFFSETS:	49-51
       TOKENS:	P23W13-P23W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bal_1]
   UNSPLITVOC:	(bal)
          POS:	CONJ
          VOC:	bal
        GLOSS:	Rather, even, but, yet, however

 INPUT STRING:	نظفوة
     IS_TRANS:	nZfwp
        INDEX:	P23W11
      OFFSETS:	52-57
       TOKENS:	P23W14-P23W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[na~aZf]
   UNSPLITVOC:	(na~aZfuwh)
          POS:	PV+PVSUFF_SUBJ:3P+PVSUFF_DO:3MS
          VOC:	na~aZf+uwA+uh
        GLOSS:	clean+they+it/him

 INPUT STRING:	وزينوه
     IS_TRANS:	wzynwh
        INDEX:	P23W12
      OFFSETS:	58-64
       TOKENS:	P23W16-P23W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zay~in_1]
   UNSPLITVOC:	(wizay~inuwh)
          POS:	CONJ+PV+PVSUFF_SUBJ:3P+PVSUFF_DO:3MS
          VOC:	wi+zay~in+uwA+uh
        GLOSS:	and+decorate+they+it/him

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P24W1
      OFFSETS:	0-2
       TOKENS:	P24W1-P24W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	خربوا
     IS_TRANS:	xrbwA
        INDEX:	P24W2
      OFFSETS:	3-8
       TOKENS:	P24W2-P24W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xarab_1]
   UNSPLITVOC:	(xarabuwA)
          POS:	PV+PVSUFF_SUBJ:3P
          VOC:	xarab+uwA
        GLOSS:	destroy+they

 INPUT STRING:	ولا
     IS_TRANS:	wlA
        INDEX:	P24W3
      OFFSETS:	9-12
       TOKENS:	P24W3-P24W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wal~A_1]
   UNSPLITVOC:	(wal~A)
          POS:	CONJ
          VOC:	wal~A
        GLOSS:	or

 INPUT STRING:	حرقوا
     IS_TRANS:	HrqwA
        INDEX:	P24W4
      OFFSETS:	13-18
       TOKENS:	P24W4-P24W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Haraq_1]
   UNSPLITVOC:	(HaraquwA)
          POS:	PV+PVSUFF_SUBJ:3P
          VOC:	Haraq+uwA
        GLOSS:	burn+they

 INPUT STRING:	وسرقوا
     IS_TRANS:	wsrqwA
        INDEX:	P24W5
      OFFSETS:	19-25
       TOKENS:	P24W5-P24W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[saraq_1]
   UNSPLITVOC:	(wisaraquwA)
          POS:	CONJ+PV+PVSUFF_SUBJ:3P
          VOC:	wi+saraq+uwA
        GLOSS:	and+steal+they

 INPUT STRING:	ولا
     IS_TRANS:	wlA
        INDEX:	P24W6
      OFFSETS:	26-29
       TOKENS:	P24W7-P24W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wal~A_1]
   UNSPLITVOC:	(wal~A)
          POS:	CONJ
          VOC:	wal~A
        GLOSS:	or

 INPUT STRING:	اتحرشو
     IS_TRANS:	AtHr$w
        INDEX:	P24W7
      OFFSETS:	30-36
       TOKENS:	P24W8-P24W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AitoHar~a$_1]
   UNSPLITVOC:	(AitoHar~a$uwA)
          POS:	PV+PVSUFF_SUBJ:3P
          VOC:	AitoHar~a$+uwA
        GLOSS:	provoke+they

 INPUT STRING:	باحد
     IS_TRANS:	bAHd
        INDEX:	P24W8
      OFFSETS:	37-41
       TOKENS:	P24W9-P24W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aHad_1]
   UNSPLITVOC:	(bi>aHad)
          POS:	PREP+NOUN
          VOC:	bi+>aHad
        GLOSS:	with/by+one

 INPUT STRING:	ولاقالوا
     IS_TRANS:	wlAqAlwA
        INDEX:	P25W1
      OFFSETS:	0-8
       TOKENS:	P25W1-P25W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(wilAqAluwA)
          POS:	CONJ+NEG_PART+PV+PVSUFF_SUBJ:3P
          VOC:	wi+lA+qAl+uwA
        GLOSS:	and+not+say+they

 INPUT STRING:	نعمل
     IS_TRANS:	nEml
        INDEX:	P25W2
      OFFSETS:	9-13
       TOKENS:	P25W4-P25W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(niEomil)
          POS:	IV1P+IV
          VOC:	ni+Eomil
        GLOSS:	we+do/make

 INPUT STRING:	عصيان
     IS_TRANS:	ESyAn
        INDEX:	P25W3
      OFFSETS:	14-19
       TOKENS:	P25W5-P25W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EiSoyAn_1]
   UNSPLITVOC:	(EiSoyAn)
          POS:	NOUN
          VOC:	EiSoyAn
        GLOSS:	mutiny/insubordination

 INPUT STRING:	ونقفل
     IS_TRANS:	wnqfl
        INDEX:	P25W4
      OFFSETS:	20-25
       TOKENS:	P25W6-P25W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qafal_1]
   UNSPLITVOC:	(winiqofil)
          POS:	CONJ+IV1P+IV
          VOC:	wi+ni+qofil
        GLOSS:	and+we+lock

 INPUT STRING:	المصالح
     IS_TRANS:	AlmSAlH
        INDEX:	P25W5
      OFFSETS:	26-33
       TOKENS:	P25W8-P25W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSolaHap_1]
   UNSPLITVOC:	(AlmaSAliH)
          POS:	DET+NOUN
          VOC:	Al+maSAliH
        GLOSS:	the+department/agency

 INPUT STRING:	والشركات
     IS_TRANS:	wAl$rkAt
        INDEX:	P25W6
      OFFSETS:	34-42
       TOKENS:	P25W9-P25W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$arikap_1]
   UNSPLITVOC:	(wiAl$arikAt)
          POS:	CONJ+DET+NOUN+NSUFF_FEM_PL
          VOC:	wi+Al+$arik+At
        GLOSS:	and+the+company/corporation/companies/corporations+[fem.pl.]

 INPUT STRING:	وكل
     IS_TRANS:	wkl
        INDEX:	P25W7
      OFFSETS:	43-46
       TOKENS:	P25W11-P25W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(wikul~)
          POS:	CONJ+NOUN_QUANT
          VOC:	wi+kul~
        GLOSS:	and+all, entire, every, whole

 INPUT STRING:	شىء
     IS_TRANS:	$Y'
        INDEX:	P25W8
      OFFSETS:	47-50
       TOKENS:	P25W13-P25W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ay'_1]
   UNSPLITVOC:	($ay')
          POS:	NOUN
          VOC:	$ay'
        GLOSS:	something/thing/things

 INPUT STRING:	فيكى
     IS_TRANS:	fykY
        INDEX:	P25W9
      OFFSETS:	51-55
       TOKENS:	P25W14-P25W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiykiy)
          POS:	PREP+PRON_2FS
          VOC:	fiy+ik
        GLOSS:	in+you [fem.sg.]

 INPUT STRING:	يامصر
     IS_TRANS:	yAmSr
        INDEX:	P25W10
      OFFSETS:	56-61
       TOKENS:	P25W16-P25W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miSor_1]
   UNSPLITVOC:	(yAmiSor)
          POS:	VOC_PART+NOUN_PROP
          VOC:	yA+miSor
        GLOSS:	oh+Egypt

 INPUT STRING:	لاااا
     IS_TRANS:	lAAAA
        INDEX:	P26W1
      OFFSETS:	0-5
       TOKENS:	P26W1-P26W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	INTERJ
          VOC:	lA
        GLOSS:	no

 INPUT STRING:	ياشيخه
     IS_TRANS:	yA$yxh
        INDEX:	P26W2
      OFFSETS:	6-12
       TOKENS:	P26W2-P26W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[$ayxap_1]
   UNSPLITVOC:	(yA$ayxap)
          POS:	VOC_PART+NOUN+NSUFF_FEM_SG
          VOC:	yaA+$ayx+ap
        GLOSS:	oh+matron/elderly woman+[fem.sg.]

 INPUT STRING:	يعنى
     IS_TRANS:	yEnY
        INDEX:	P26W3
      OFFSETS:	13-17
       TOKENS:	P26W4-P26W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EanaY_1]
   UNSPLITVOC:	(yaEoniy)
          POS:	IV3MS+IV
          VOC:	ya+Eoniy
        GLOSS:	he/it+afflict/be afflicted

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P26W4
      OFFSETS:	18-22
       TOKENS:	P26W5-P26W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which/who/whom

 INPUT STRING:	فالتحرير
     IS_TRANS:	fAltHryr
        INDEX:	P26W5
      OFFSETS:	23-31
       TOKENS:	P26W6-P26W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taHoriyr_1]
   UNSPLITVOC:	(fiAltaHoriyr)
          POS:	PREP+DET+NOUN_PROP
          VOC:	fi+Al+taHoriyr
        GLOSS:	like/such+the+Tahrir

 INPUT STRING:	بيضحوا
     IS_TRANS:	byDHwA
        INDEX:	P26W6
      OFFSETS:	32-38
       TOKENS:	P26W8-P26W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[DaH~A_1]
   UNSPLITVOC:	(biyDaH~uwA)
          POS:	PROG_PART+IV3P+IV+IVSUFF_SUBJ:P
          VOC:	bi+y+DaH~+uwA
        GLOSS:	[present-tense]+they+sacrifice+they

 INPUT STRING:	بروحهم
     IS_TRANS:	brwHhm
        INDEX:	P26W7
      OFFSETS:	39-45
       TOKENS:	P26W10-P26W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rawH_1]
   UNSPLITVOC:	(birawHhum)
          POS:	PREP+NOUN+POSS_PRON_3P
          VOC:	bi+rawH+hum
        GLOSS:	with/by+soul or spirit+their

 INPUT STRING:	عشان
     IS_TRANS:	E$An
        INDEX:	P26W8
      OFFSETS:	46-50
       TOKENS:	P26W13-P26W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$a>on_1]
   UNSPLITVOC:	(Ea$a>on)
          POS:	PREP+NOUN
          VOC:	Ea+$a>on
        GLOSS:	on/above+matter/affair/case/importance/status/situation/condition/affairs/matters

 INPUT STRING:	300
     IS_TRANS:	300
        INDEX:	P26W9
      OFFSETS:	51-54
       TOKENS:	P26W15-P26W15
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(300)
          POS:	NOUN_NUM
          VOC:	300
        GLOSS:	300

 INPUT STRING:	جنيه
     IS_TRANS:	jnyh
        INDEX:	P26W10
      OFFSETS:	55-59
       TOKENS:	P26W16-P26W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jinayh_1]
   UNSPLITVOC:	(jinayh)
          POS:	NOUN
          VOC:	jinayh
        GLOSS:	pound (currency)

 INPUT STRING:	ممكن
     IS_TRANS:	mmkn
        INDEX:	P27W1
      OFFSETS:	0-4
       TOKENS:	P27W1-P27W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mumokin_1]
   UNSPLITVOC:	(mumokin)
          POS:	ADJ
          VOC:	mumokin
        GLOSS:	possible

 INPUT STRING:	واحد
     IS_TRANS:	wAHd
        INDEX:	P27W2
      OFFSETS:	5-9
       TOKENS:	P27W2-P27W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wAHid_1]
   UNSPLITVOC:	(wAHid)
          POS:	NOUN
          VOC:	wAHid
        GLOSS:	person/ individual

 INPUT STRING:	يموت
     IS_TRANS:	ymwt
        INDEX:	P27W3
      OFFSETS:	10-14
       TOKENS:	P27W3-P27W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[maw~it_1]
   UNSPLITVOC:	(yimaw~it)
          POS:	IV3MS+IV
          VOC:	yi+maw~it
        GLOSS:	he/it+kill

 INPUT STRING:	نفسه
     IS_TRANS:	nfsh
        INDEX:	P27W4
      OFFSETS:	15-19
       TOKENS:	P27W4-P27W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nafos_1]
   UNSPLITVOC:	(nafosuh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	nafos+uh
        GLOSS:	soul/souls+his/its

 INPUT STRING:	عشان
     IS_TRANS:	E$An
        INDEX:	P27W5
      OFFSETS:	20-24
       TOKENS:	P27W6-P27W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$a>on_1]
   UNSPLITVOC:	(Ea$a>on)
          POS:	PREP+NOUN
          VOC:	Ea+$a>on
        GLOSS:	on/above+matter/affair/case/importance/status/situation/condition/affairs/matters

 INPUT STRING:	300
     IS_TRANS:	300
        INDEX:	P27W6
      OFFSETS:	25-28
       TOKENS:	P27W8-P27W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(300)
          POS:	NOUN_NUM
          VOC:	300
        GLOSS:	300

 INPUT STRING:	جنيه
     IS_TRANS:	jnyh
        INDEX:	P27W7
      OFFSETS:	29-33
       TOKENS:	P27W9-P27W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jinayh_1]
   UNSPLITVOC:	(jinayh)
          POS:	NOUN
          VOC:	jinayh
        GLOSS:	pound (currency)

 INPUT STRING:	ولا
     IS_TRANS:	wlA
        INDEX:	P27W8
      OFFSETS:	35-38
       TOKENS:	P27W10-P27W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wal~A_1]
   UNSPLITVOC:	(wal~A)
          POS:	CONJ
          VOC:	wal~A
        GLOSS:	or

 INPUT STRING:	عشان
     IS_TRANS:	E$An
        INDEX:	P27W9
      OFFSETS:	39-43
       TOKENS:	P27W11-P27W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$a>on_1]
   UNSPLITVOC:	(Ea$a>on)
          POS:	PREP+NOUN
          VOC:	Ea+$a>on
        GLOSS:	on/above+matter/affair/case/importance/status/situation/condition/affairs/matters

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P27W10
      OFFSETS:	44-46
       TOKENS:	P27W13-P27W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	قادر
     IS_TRANS:	qAdr
        INDEX:	P27W11
      OFFSETS:	47-51
       TOKENS:	P27W14-P27W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAdir_1]
   UNSPLITVOC:	(qAdir)
          POS:	ADJ.VN
          VOC:	qAdir
        GLOSS:	capable/able

 INPUT STRING:	يعيش
     IS_TRANS:	yEy$
        INDEX:	P27W12
      OFFSETS:	52-56
       TOKENS:	P27W15-P27W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EA$_1]
   UNSPLITVOC:	(yaEiy$)
          POS:	IV3MS+IV
          VOC:	ya+Eiy$
        GLOSS:	he/it+live/experience/long live!/be lived/be experienced

 INPUT STRING:	ربنا
     IS_TRANS:	rbnA
        INDEX:	P28W1
      OFFSETS:	0-4
       TOKENS:	P28W1-P28W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(rab~inA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	rab~+nA
        GLOSS:	lord/master+our

 INPUT STRING:	يكون
     IS_TRANS:	ykwn
        INDEX:	P28W2
      OFFSETS:	5-9
       TOKENS:	P28W3-P28W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(yikuwn)
          POS:	IV3MS+IV
          VOC:	yi+kuwn
        GLOSS:	he/it+be

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P28W3
      OFFSETS:	10-12
       TOKENS:	P28W4-P28W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	عون
     IS_TRANS:	Ewn
        INDEX:	P28W4
      OFFSETS:	13-16
       TOKENS:	P28W5-P28W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eawn_1]
   UNSPLITVOC:	(Eawn)
          POS:	NOUN
          VOC:	Eawn
        GLOSS:	assistance/aid/assistants/aids

 INPUT STRING:	الناس
     IS_TRANS:	AlnAs
        INDEX:	P28W5
      OFFSETS:	17-22
       TOKENS:	P28W6-P28W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAs_1]
   UNSPLITVOC:	(Aln~As)
          POS:	DET+NOUN
          VOC:	Al+nAs
        GLOSS:	the+people

 INPUT STRING:	متظلميش
     IS_TRANS:	mtZlmy$
        INDEX:	P28W6
      OFFSETS:	23-30
       TOKENS:	P28W7-P28W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Zalam_1]
   UNSPLITVOC:	(mAtiZlimiy$)
          POS:	NEG_PART+IV2MS+IV+NEG_PART
          VOC:	mA+ti+Zlimiy+$
        GLOSS:	not+you+wrong+not

 INPUT STRING:	بدال
     IS_TRANS:	bdAl
        INDEX:	P28W7
      OFFSETS:	31-35
       TOKENS:	P28W10-P28W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[badAl_1]
   UNSPLITVOC:	(badAl)
          POS:	NOUN
          VOC:	badAl
        GLOSS:	instead

 INPUT STRING:	مشوفتيش
     IS_TRANS:	m$wfty$
        INDEX:	P28W8
      OFFSETS:	36-43
       TOKENS:	P28W11-P28W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$Af_1]
   UNSPLITVOC:	(mA_$uwftiy$)
          POS:	NEG_PART+PV+PVSUFF_SUBJ:2FS+NEG_PART
          VOC:	mA+$uwf+tiy+$
        GLOSS:	not+look+you+not

 INPUT STRING:	بعينك
     IS_TRANS:	bEynk
        INDEX:	P28W9
      OFFSETS:	44-49
       TOKENS:	P28W14-P28W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eayn_1]
   UNSPLITVOC:	(biEiynik)
          POS:	PREP+NOUN+POSS_PRON_2FS
          VOC:	bi+Eiyn+ik
        GLOSS:	with/by+Ain/Ein+your

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P29W1
      OFFSETS:	0-2
       TOKENS:	P29W1-P29W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	معنى
     IS_TRANS:	mEnY
        INDEX:	P29W2
      OFFSETS:	3-7
       TOKENS:	P29W2-P29W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEonaY_1]
   UNSPLITVOC:	(maEonaY)
          POS:	NOUN
          VOC:	maEonaY
        GLOSS:	meaning/sense

 INPUT STRING:	كده
     IS_TRANS:	kdh
        INDEX:	P29W3
      OFFSETS:	8-11
       TOKENS:	P29W3-P29W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidah_1]
   UNSPLITVOC:	(kidah)
          POS:	NOUN
          VOC:	kidah
        GLOSS:	that/like that

 INPUT STRING:	انى
     IS_TRANS:	AnY
        INDEX:	P29W4
      OFFSETS:	12-15
       TOKENS:	P29W4-P29W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~iy)
          POS:	SUB_CONJ+PRON_1S
          VOC:	<in~+iy
        GLOSS:	that+I

 INPUT STRING:	مع
     IS_TRANS:	mE
        INDEX:	P29W5
      OFFSETS:	16-18
       TOKENS:	P29W6-P29W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maE)
          POS:	NOUN
          VOC:	maEa
        GLOSS:	with

 INPUT STRING:	الناس
     IS_TRANS:	AlnAs
        INDEX:	P29W6
      OFFSETS:	19-24
       TOKENS:	P29W7-P29W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAs_1]
   UNSPLITVOC:	(Aln~As)
          POS:	DET+NOUN
          VOC:	Al+nAs
        GLOSS:	the+people

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P29W7
      OFFSETS:	25-29
       TOKENS:	P29W8-P29W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which/who/whom

 INPUT STRING:	فالتحرير
     IS_TRANS:	fAltHryr
        INDEX:	P29W8
      OFFSETS:	30-38
       TOKENS:	P29W9-P29W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taHoriyr_1]
   UNSPLITVOC:	(fiAltaHoriyr)
          POS:	PREP+DET+NOUN_PROP
          VOC:	fi+Al+taHoriyr
        GLOSS:	like/such+the+Tahrir

 INPUT STRING:	والتخريب
     IS_TRANS:	wAltxryb
        INDEX:	P29W9
      OFFSETS:	39-47
       TOKENS:	P29W11-P29W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taxoriyb_1]
   UNSPLITVOC:	(wiAltaxoriyb)
          POS:	CONJ+DET+NOUN
          VOC:	wi+Al+taxoriyb
        GLOSS:	and+the+destruction/sabotage/terrorism

 INPUT STRING:	لااااااااااا
     IS_TRANS:	lAAAAAAAAAAA
        INDEX:	P29W10
      OFFSETS:	48-60
       TOKENS:	P29W13-P29W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	INTERJ
          VOC:	lA
        GLOSS:	no

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P30W1
      OFFSETS:	0-2
       TOKENS:	P30W1-P30W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bas~_1]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P30W2
