 INPUT STRING:	وصيـــــــــــــــه

 INPUT STRING:	أحلى
     IS_TRANS:	>HlY
        INDEX:	P62W4
      OFFSETS:	12-16
       TOKENS:	P62W4-P62W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aHolaY_1]
   UNSPLITVOC:	(>aHolaY)
          POS:	ADJ_COMP
          VOC:	>aHolaY
        GLOSS:	sweetest

 INPUT STRING:	مدفع
     IS_TRANS:	mdfE
        INDEX:	P62W5
      OFFSETS:	17-21
       TOKENS:	P62W5-P62W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[madofaE_1]
   UNSPLITVOC:	(madofaE)
          POS:	NOUN
          VOC:	madofaE
        GLOSS:	bullet

 INPUT STRING:	يشيل
     IS_TRANS:	y$yl
        INDEX:	P62W6
      OFFSETS:	22-26
       TOKENS:	P62W6-P62W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$Al_1]
   UNSPLITVOC:	(yi$iyl)
          POS:	IV3MS+IV
          VOC:	yi+$iyl
        GLOSS:	he/it+carry/take

 INPUT STRING:	النعش
     IS_TRANS:	AlnE$
        INDEX:	P62W7
      OFFSETS:	27-32
       TOKENS:	P62W7-P62W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[naEo$_1]
   UNSPLITVOC:	(Aln~aEo$)
          POS:	DET+NOUN
          VOC:	Al+naEo$
        GLOSS:	the+coffin/casket/bier

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P62W8
      OFFSETS:	33-35
       TOKENS:	P62W8-P62W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O, oh

 INPUT STRING:	ولاد
     IS_TRANS:	wlAd
        INDEX:	P62W9
      OFFSETS:	36-40
       TOKENS:	P62W9-P62W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[walad_1]
   UNSPLITVOC:	(wilAd)
          POS:	NOUN
          VOC:	wilAd
        GLOSS:	child/son

 INPUT STRING:	جمال
     IS_TRANS:	jmAl
        INDEX:	P63W1
      OFFSETS:	1-5
       TOKENS:	P63W1-P63W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jamAl_1]
   UNSPLITVOC:	(jamAl)
          POS:	NOUN_PROP
          VOC:	jamAl
        GLOSS:	Gamal

 INPUT STRING:	:
     IS_TRANS:	:
        INDEX:	P63W2
      OFFSETS:	5-6
       TOKENS:	P63W2-P63W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(:)
          POS:	PUNC
          VOC:	:
        GLOSS:	:

 INPUT STRING:	مدفع
     IS_TRANS:	mdfE
        INDEX:	P63W3
      OFFSETS:	7-11
       TOKENS:	P63W3-P63W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[madofaE_1]
   UNSPLITVOC:	(madofaE)
          POS:	NOUN
          VOC:	madofaE
        GLOSS:	bullet

 INPUT STRING:	رشاش
     IS_TRANS:	r$A$
        INDEX:	P63W4
      OFFSETS:	12-16
       TOKENS:	P63W4-P63W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ra$~A$_1]
   UNSPLITVOC:	(ra$~A$)
          POS:	NOUN
          VOC:	ra$~A$
        GLOSS:	water hose/sprinkler/sprinkler/shower

 INPUT STRING:	سوزان
     IS_TRANS:	swzAn
        INDEX:	P64W1
      OFFSETS:	1-6
       TOKENS:	P64W1-P64W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[suwzAn_1]
   UNSPLITVOC:	(suwzAn)
          POS:	NOUN_PROP
          VOC:	suwzAn
        GLOSS:	Suzan

 INPUT STRING:	:
     IS_TRANS:	:
        INDEX:	P64W2
      OFFSETS:	6-7
       TOKENS:	P64W2-P64W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(:)
          POS:	PUNC
          VOC:	:
        GLOSS:	:

 INPUT STRING:	الهزار
     IS_TRANS:	AlhzAr
        INDEX:	P64W3
      OFFSETS:	8-14
       TOKENS:	P64W3-P64W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hizAr_1]
   UNSPLITVOC:	(AlhizAr)
          POS:	DET+NOUN
          VOC:	Al+hizAr
        GLOSS:	the+joking/jesting

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P64W4
      OFFSETS:	15-17
       TOKENS:	P64W4-P64W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P64W5
      OFFSETS:	18-20
       TOKENS:	P64W5-P64W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	الحاجات
     IS_TRANS:	AlHAjAt
        INDEX:	P64W6
      OFFSETS:	21-28
       TOKENS:	P64W6-P64W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(AlHAjAt)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+HAj+At
        GLOSS:	the+need/needs+[fem.pl.]

 INPUT STRING:	دى
     IS_TRANS:	dY
        INDEX:	P64W7
      OFFSETS:	29-31
       TOKENS:	P64W7-P64W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diy_1]
   UNSPLITVOC:	(diy)
          POS:	DEM_PRON_FS
          VOC:	diy
        GLOSS:	this

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P64W8
      OFFSETS:	32-34
       TOKENS:	P64W8-P64W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O, oh

 INPUT STRING:	جمال
     IS_TRANS:	jmAl
        INDEX:	P64W9
      OFFSETS:	35-39
       TOKENS:	P64W9-P64W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jamAl_1]
   UNSPLITVOC:	(jamAl)
          POS:	NOUN_PROP
          VOC:	jamAl
        GLOSS:	Gamal

 INPUT STRING:	جمال
     IS_TRANS:	jmAl
        INDEX:	P65W1
      OFFSETS:	1-5
       TOKENS:	P65W1-P65W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jamAl_1]
   UNSPLITVOC:	(jamAl)
          POS:	NOUN_PROP
          VOC:	jamAl
        GLOSS:	Gamal

 INPUT STRING:	:
     IS_TRANS:	:
        INDEX:	P65W2
      OFFSETS:	5-6
       TOKENS:	P65W2-P65W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(:)
          POS:	PUNC
          VOC:	:
        GLOSS:	:

 INPUT STRING:	آسف
     IS_TRANS:	|sf
        INDEX:	P65W3
      OFFSETS:	7-10
       TOKENS:	P65W3-P65W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[|asif_1]
   UNSPLITVOC:	(|asif)
          POS:	ADJ
          VOC:	|asif
        GLOSS:	sorry

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P65W4
      OFFSETS:	11-13
       TOKENS:	P65W4-P65W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O, oh

 INPUT STRING:	ماما
     IS_TRANS:	mAmA
        INDEX:	P65W5
      OFFSETS:	14-18
       TOKENS:	P65W5-P65W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mAmA_1]
   UNSPLITVOC:	(mAmA)
          POS:	NOUN
          VOC:	mAmA
        GLOSS:	mama

 INPUT STRING:	حسنى
     IS_TRANS:	HsnY
        INDEX:	P66W1
      OFFSETS:	1-5
       TOKENS:	P66W1-P66W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Husoniy_1]
   UNSPLITVOC:	(Husoniy)
          POS:	NOUN_PROP
          VOC:	Husoniy
        GLOSS:	Hosni

 INPUT STRING:	:
     IS_TRANS:	:
        INDEX:	P66W2
      OFFSETS:	5-6
       TOKENS:	P66W2-P66W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(:)
          POS:	PUNC
          VOC:	:
        GLOSS:	:

 INPUT STRING:	عايز
     IS_TRANS:	EAyz
        INDEX:	P66W3
      OFFSETS:	7-11
       TOKENS:	P66W3-P66W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAyiz_1]
   UNSPLITVOC:	(EAyiz)
          POS:	ADJ.VN
          VOC:	EAyiz
        GLOSS:	liking

 INPUT STRING:	أدفن
     IS_TRANS:	>dfn
        INDEX:	P66W4
      OFFSETS:	12-16
       TOKENS:	P66W4-P66W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dafan_1]
   UNSPLITVOC:	(Aadofon)
          POS:	IV1S+IV
          VOC:	Aa+dofon
        GLOSS:	I+bury

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P66W5
      OFFSETS:	17-19
       TOKENS:	P66W5-P66W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	شرم
     IS_TRANS:	$rm
        INDEX:	P66W6
      OFFSETS:	20-23
       TOKENS:	P66W6-P66W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$arom_1]
   UNSPLITVOC:	($arom)
          POS:	NOUN_PROP
          VOC:	$arom
        GLOSS:	Sharm

 INPUT STRING:	الشيخ
     IS_TRANS:	Al$yx
        INDEX:	P66W7
      OFFSETS:	24-29
       TOKENS:	P66W7-P66W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ayx_1]
   UNSPLITVOC:	(Al$~ayx)
          POS:	DET+NOUN_PROP
          VOC:	Al+$ayx
        GLOSS:	the+Sheik

 INPUT STRING:	ياولاد
     IS_TRANS:	yAwlAd
        INDEX:	P66W8
      OFFSETS:	30-36
       TOKENS:	P66W8-P66W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[walad_1]
   UNSPLITVOC:	(yAwilAd)
          POS:	VOC_PART+NOUN
          VOC:	yaA+wilAd
        GLOSS:	oh+child/son

 INPUT STRING:	جنب
     IS_TRANS:	jnb
        INDEX:	P66W9
      OFFSETS:	37-40
       TOKENS:	P66W10-P66W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[janob_1]
   UNSPLITVOC:	(janob)
          POS:	NOUN
          VOC:	janob
        GLOSS:	sjde/near

 INPUT STRING:	أولمرت
     IS_TRANS:	>wlmrt
        INDEX:	P66W10
      OFFSETS:	41-47
       TOKENS:	P66W11-P66W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>uwlomirot_1]
   UNSPLITVOC:	(>uwlomirot)
          POS:	NOUN_PROP
          VOC:	>uwlomirot
        GLOSS:	Olmert

 INPUT STRING:	وشارون
     IS_TRANS:	w$Arwn
        INDEX:	P66W11
      OFFSETS:	48-54
       TOKENS:	P66W12-P66W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[$arun_1]
   UNSPLITVOC:	(wi$Arwn)
          POS:	CONJ+NOUN_PROP
          VOC:	wi+$Arwn
        GLOSS:	and+Shaaron

 INPUT STRING:	علاء
     IS_TRANS:	ElA'
        INDEX:	P67W1
      OFFSETS:	1-5
       TOKENS:	P67W1-P67W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalA'_1]
   UNSPLITVOC:	(EalA')
          POS:	NOUN_PROP
          VOC:	EalA'
        GLOSS:	Alaa

 INPUT STRING:	:
     IS_TRANS:	:
        INDEX:	P67W2
      OFFSETS:	5-6
       TOKENS:	P67W2-P67W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(:)
          POS:	PUNC
          VOC:	:
        GLOSS:	:

 INPUT STRING:	بلاش
     IS_TRANS:	blA$
        INDEX:	P67W3
      OFFSETS:	7-11
       TOKENS:	P67W3-P67W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[balA$_1]
   UNSPLITVOC:	(balA$)
          POS:	NEG_PART
          VOC:	balA$
        GLOSS:	without

 INPUT STRING:	كفر
     IS_TRANS:	kfr
        INDEX:	P67W4
      OFFSETS:	12-15
       TOKENS:	P67W4-P67W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kufor_1]
   UNSPLITVOC:	(kufor)
          POS:	NOUN
          VOC:	kufor
        GLOSS:	infidelity/atheism

 INPUT STRING:	مصيلحة
     IS_TRANS:	mSylHp
        INDEX:	P67W5
      OFFSETS:	16-22
       TOKENS:	P67W5-P67W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(mSylHp)
          POS:	TYPO
          VOC:	mSylHp
        GLOSS:	nogloss

 INPUT STRING:	يعنى
     IS_TRANS:	yEnY
        INDEX:	P67W6
      OFFSETS:	23-27
       TOKENS:	P67W6-P67W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EanaY_1]
   UNSPLITVOC:	(yaEoniy)
          POS:	IV3MS+IV
          VOC:	ya+Eoniy
        GLOSS:	he/it+mean

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P67W7
      OFFSETS:	28-29
       TOKENS:	P67W7-P67W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	حسنى
     IS_TRANS:	HsnY
        INDEX:	P68W1
      OFFSETS:	1-5
       TOKENS:	P68W1-P68W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Husoniy_1]
   UNSPLITVOC:	(Husoniy)
          POS:	NOUN_PROP
          VOC:	Husoniy
        GLOSS:	Hosni

 INPUT STRING:	:
     IS_TRANS:	:
        INDEX:	P68W2
      OFFSETS:	5-6
       TOKENS:	P68W2-P68W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(:)
          POS:	PUNC
          VOC:	:
        GLOSS:	:

 INPUT STRING:	لأ
     IS_TRANS:	l>
        INDEX:	P68W3
      OFFSETS:	7-9
       TOKENS:	P68W3-P68W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	INTERJ
          VOC:	lA
        GLOSS:	no

 INPUT STRING:	كلها
     IS_TRANS:	klhA
        INDEX:	P68W4
      OFFSETS:	10-14
       TOKENS:	P68W4-P68W5
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~ahA)
          POS:	NOUN_QUANT+CASE_DEF_ACC+POSS_PRON_3FS
          VOC:	kul~+a+hA
        GLOSS:	all, entire, every, whole+[def.acc.]+its/their/her

 INPUT STRING:	براغيت
     IS_TRANS:	brAgyt
        INDEX:	P68W5
      OFFSETS:	15-21
       TOKENS:	P68W6-P68W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[barAgoyit_1]
   UNSPLITVOC:	(barAgoyit)
          POS:	NOUN
          VOC:	barAgoyit
        GLOSS:	fleas

 INPUT STRING:	ياعلاء
     IS_TRANS:	yAElA'
        INDEX:	P68W6
      OFFSETS:	22-28
       TOKENS:	P68W7-P68W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[calAC_0]
   UNSPLITVOC:	(yAEalA')
          POS:	VOC_PART+NOUN_PROP
          VOC:	yaA+EalA'
        GLOSS:	oh+Alaa

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P68W7
      OFFSETS:	29-30
       TOKENS:	P68W9-P68W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P68W8
      OFFSETS:	30-31
       TOKENS:	P68W10-P68W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P68W9
      OFFSETS:	31-32
       TOKENS:	P68W11-P68W11
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P68W10
      OFFSETS:	32-33
       TOKENS:	P68W12-P68W12
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P68W11
      OFFSETS:	33-34
       TOKENS:	P68W13-P68W13
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P68W12
      OFFSETS:	34-35
       TOKENS:	P68W14-P68W14
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P68W13
      OFFSETS:	35-36
       TOKENS:	P68W15-P68W15
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P68W14
      OFFSETS:	36-37
       TOKENS:	P68W16-P68W16
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	وإسم
     IS_TRANS:	w<sm
        INDEX:	P68W15
      OFFSETS:	38-42
       TOKENS:	P68W17-P68W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aisom_1]
   UNSPLITVOC:	(wiAisom)
          POS:	CONJ+NOUN
          VOC:	wi+Aisom
        GLOSS:	and+name

 INPUT STRING:	شرم
     IS_TRANS:	$rm
        INDEX:	P68W16
      OFFSETS:	43-46
       TOKENS:	P68W19-P68W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$arom_1]
   UNSPLITVOC:	($arom)
          POS:	NOUN_PROP
          VOC:	$arom
        GLOSS:	Sharm

 INPUT STRING:	الشيخ
     IS_TRANS:	Al$yx
        INDEX:	P68W17
      OFFSETS:	47-52
       TOKENS:	P68W20-P68W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ayx_1]
   UNSPLITVOC:	(Al$~ayx)
          POS:	DET+NOUN_PROP
          VOC:	Al+$ayx
        GLOSS:	the+Sheik

 INPUT STRING:	كمان
     IS_TRANS:	kmAn
        INDEX:	P68W18
      OFFSETS:	53-57
       TOKENS:	P68W21-P68W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kamAn_1]
   UNSPLITVOC:	(kamAn)
          POS:	ADV
          VOC:	kamAn
        GLOSS:	also

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P68W19
      OFFSETS:	57-58
       TOKENS:	P68W22-P68W22
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P68W20
      OFFSETS:	58-59
       TOKENS:	P68W23-P68W23
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	أشيك
     IS_TRANS:	>$yk
        INDEX:	P68W21
      OFFSETS:	60-64
       TOKENS:	P68W24-P68W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>a$yak_1]
   UNSPLITVOC:	(>$yk)
          POS:	ADJ_COMP
          VOC:	>$yk
        GLOSS:	more elegant

 INPUT STRING:	بكتير
     IS_TRANS:	bktyr
        INDEX:	P68W22
      OFFSETS:	65-70
       TOKENS:	P68W25-P68W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kitiyr_1]
   UNSPLITVOC:	(bikitiyr)
          POS:	PREP+NOUN
          VOC:	bi+kitiyr
        GLOSS:	with/by+much

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P69W1
      OFFSETS:	1-5
       TOKENS:	P69W1-P69W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN
          VOC:	All~ah
        GLOSS:	God

 INPUT STRING:	يرحمك
     IS_TRANS:	yrHmk
        INDEX:	P69W2
      OFFSETS:	6-11
       TOKENS:	P69W2-P69W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[raHam_1]
   UNSPLITVOC:	(yiroHamak)
          POS:	IV3MS+IV+IVSUFF_DO:2MS
          VOC:	yi+roHam+ak
        GLOSS:	he/it+have mercy+you

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P69W3
      OFFSETS:	12-14
       TOKENS:	P69W4-P69W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O, oh

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P69W4
      OFFSETS:	15-17
       TOKENS:	P69W5-P69W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O, oh

 INPUT STRING:	احلام
     IS_TRANS:	AHlAm
        INDEX:	P69W5
      OFFSETS:	18-23
       TOKENS:	P69W6-P69W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AaHolAm_1]
   UNSPLITVOC:	(AHolAm)
