 INPUT STRING:	الســـــــــــلام
        GLOSS:	nogloss

 INPUT STRING:	ومش
     IS_TRANS:	wm$
        INDEX:	P16W3
      OFFSETS:	13-16
       TOKENS:	P16W4-P16W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(wimi$)
          POS:	CONJ+NEG_PART
          VOC:	wi+mi$
        GLOSS:	and+not

 INPUT STRING:	هنعرفه
     IS_TRANS:	hnErfh
        INDEX:	P16W4
      OFFSETS:	17-23
       TOKENS:	P16W6-P16W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[Eoraf_1]
   UNSPLITVOC:	(HaniEorafuh)
          POS:	FUT_PART+IV1P+IV+IVSUFF_DO:3MS
          VOC:	Ha+ni+Eoraf+uh
        GLOSS:	will+we+know/be known+him

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P16W5
      OFFSETS:	24-25
       TOKENS:	P16W9-P16W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P16W6
      OFFSETS:	25-26
       TOKENS:	P16W10-P16W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	nogloss

 INPUT STRING:	مين
     IS_TRANS:	myn
        INDEX:	P17W1
      OFFSETS:	0-3
       TOKENS:	P17W1-P17W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miyn_1]
   UNSPLITVOC:	(miyn)
          POS:	INTERROG_PRON
          VOC:	miyn
        GLOSS:	who

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P17W2
      OFFSETS:	4-8
       TOKENS:	P17W2-P17W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which

 INPUT STRING:	لغى
     IS_TRANS:	lgY
        INDEX:	P17W3
      OFFSETS:	9-12
       TOKENS:	P17W3-P17W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lagaY_1]
   UNSPLITVOC:	(lagaY)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	lagaY+(null)
        GLOSS:	cancel /delete+he/it

 INPUT STRING:	مهرجان
     IS_TRANS:	mhrjAn
        INDEX:	P17W4
      OFFSETS:	13-19
       TOKENS:	P17W4-P17W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mahorajAn_1]
   UNSPLITVOC:	(mahorajAn)
          POS:	NOUN
          VOC:	mahorajAn
        GLOSS:	festival/fest

 INPUT STRING:	السينما
     IS_TRANS:	AlsynmA
        INDEX:	P17W5
      OFFSETS:	20-27
       TOKENS:	P17W5-P17W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[siynimA_1]
   UNSPLITVOC:	(Als~iynimA)
          POS:	DET+NOUN
          VOC:	Al+siynimA
        GLOSS:	the+cinema

 INPUT STRING:	السنه
     IS_TRANS:	Alsnh
        INDEX:	P17W6
      OFFSETS:	28-33
       TOKENS:	P17W6-P17W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sanap_1]
   UNSPLITVOC:	(Als~anap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+san+ap
        GLOSS:	the+year/years+[fem.sg.]

 INPUT STRING:	دي
     IS_TRANS:	dy
        INDEX:	P17W7
      OFFSETS:	34-36
       TOKENS:	P17W7-P17W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diy_1]
   UNSPLITVOC:	(diy)
          POS:	DEM_PRON_FS
          VOC:	diy
        GLOSS:	this

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P17W8
      OFFSETS:	36-37
       TOKENS:	P17W8-P17W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P17W9
      OFFSETS:	37-38
       TOKENS:	P17W9-P17W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P17W10
      OFFSETS:	38-39
       TOKENS:	P17W10-P17W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	لظروف
     IS_TRANS:	lZrwf
        INDEX:	P17W11
      OFFSETS:	39-44
       TOKENS:	P17W11-P17W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Zarof_1]
   UNSPLITVOC:	(liZuruwf)
          POS:	PREP+NOUN
          VOC:	li+Zuruwf
        GLOSS:	for/to+circumstance/condition/situation/circumstances/condition/situation

 INPUT STRING:	امنيه
     IS_TRANS:	Amnyh
        INDEX:	P17W12
      OFFSETS:	45-50
       TOKENS:	P17W13-P17W13
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>amoniy~_1]
   UNSPLITVOC:	(>amoniy~ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	>amoniy~+ap
        GLOSS:	security/safety+[fem.sg.]

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P17W13
      OFFSETS:	51-52
       TOKENS:	P17W14-P17W14
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	وعطى
     IS_TRANS:	wETY
        INDEX:	P17W14
      OFFSETS:	53-57
       TOKENS:	P17W15-P17W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EaTA_1]
   UNSPLITVOC:	(wiEaTaY)
          POS:	CONJ+PV+PVSUFF_SUBJ:3MS
          VOC:	wi+EaTaY+(null)
        GLOSS:	and+gave+he/it

 INPUT STRING:	انطباع
     IS_TRANS:	AnTbAE
        INDEX:	P17W15
      OFFSETS:	58-64
       TOKENS:	P17W17-P17W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AinoTibAE_1]
   UNSPLITVOC:	(AinoTibAE)
          POS:	NOUN
          VOC:	AinoTibAE
        GLOSS:	impression

 INPUT STRING:	سيء
     IS_TRANS:	sy'
        INDEX:	P17W16
      OFFSETS:	65-68
       TOKENS:	P17W18-P17W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[say~i'_1]
   UNSPLITVOC:	(say~i')
          POS:	ADJ
          VOC:	say~i'
        GLOSS:	bad

 INPUT STRING:	للسياح
     IS_TRANS:	llsyAH
        INDEX:	P17W17
      OFFSETS:	69-75
       TOKENS:	P17W19-P17W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sA}iH_1]
   UNSPLITVOC:	(lils~uy~AH)
          POS:	PREP+DET+NOUN
          VOC:	li+Al+suy~AH
        GLOSS:	for/to+the+tourists

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P17W18
      OFFSETS:	76-77
       TOKENS:	P17W21-P17W21
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P17W19
      OFFSETS:	77-78
       TOKENS:	P17W22-P17W22
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	مين
     IS_TRANS:	myn
        INDEX:	P18W1
      OFFSETS:	0-3
       TOKENS:	P18W1-P18W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miyn_1]
   UNSPLITVOC:	(miyn)
          POS:	INTERROG_PRON
          VOC:	miyn
        GLOSS:	who

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P18W2
      OFFSETS:	4-8
       TOKENS:	P18W2-P18W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which

 INPUT STRING:	المفروض
     IS_TRANS:	AlmfrwD
        INDEX:	P18W3
      OFFSETS:	9-16
       TOKENS:	P18W3-P18W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maforuwD_1]
   UNSPLITVOC:	(AlmaforuwD)
          POS:	DET+NOUN
          VOC:	Al+maforuwD
        GLOSS:	the+obligation/duty

 INPUT STRING:	يأمن
     IS_TRANS:	y>mn
        INDEX:	P18W4
      OFFSETS:	17-21
       TOKENS:	P18W4-P18W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>am~in_1]
   UNSPLITVOC:	(yi>am~in)
          POS:	IV3MS+IV
          VOC:	yi+>am~in
        GLOSS:	he/it+be safe

 INPUT STRING:	المناطق
     IS_TRANS:	AlmnATq
        INDEX:	P18W5
      OFFSETS:	22-29
       TOKENS:	P18W5-P18W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[manoTiqap_1]
   UNSPLITVOC:	(AlmanATiq)
          POS:	DET+NOUN
          VOC:	Al+manATiq
        GLOSS:	the+areas/squares

 INPUT STRING:	السياحيه
     IS_TRANS:	AlsyAHyh
        INDEX:	P18W6
      OFFSETS:	30-38
       TOKENS:	P18W6-P18W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[siyAHiy_1]
   UNSPLITVOC:	(Als~iyAHiy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+siyAHiy~+ap
        GLOSS:	the+tourist/tourism+[fem.sg.]

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P18W7
      OFFSETS:	39-40
       TOKENS:	P18W7-P18W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	سينا
     IS_TRANS:	synA
        INDEX:	P18W8
      OFFSETS:	41-45
       TOKENS:	P18W8-P18W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[siynA_1]
   UNSPLITVOC:	(siynA)
          POS:	NOUN_PROP
          VOC:	siynA
        GLOSS:	SINAI

 INPUT STRING:	وشرم
     IS_TRANS:	w$rm
        INDEX:	P18W9
      OFFSETS:	46-50
       TOKENS:	P18W9-P18W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$arom_1]
   UNSPLITVOC:	(wi$arom)
          POS:	CONJ+NOUN_PROP
          VOC:	wi+$arom
        GLOSS:	and+Sharm

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P18W10
      OFFSETS:	51-52
       TOKENS:	P18W11-P18W11
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	مين
     IS_TRANS:	myn
        INDEX:	P19W1
      OFFSETS:	0-3
       TOKENS:	P19W1-P19W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miyn_1]
   UNSPLITVOC:	(miyn)
          POS:	INTERROG_PRON
          VOC:	miyn
        GLOSS:	who

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P19W2
      OFFSETS:	4-8
       TOKENS:	P19W2-P19W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which

 INPUT STRING:	بيوقع
     IS_TRANS:	bywqE
        INDEX:	P19W3
      OFFSETS:	9-14
       TOKENS:	P19W3-P19W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waq~aE_1]
   UNSPLITVOC:	(biyiwaq~aE)
          POS:	PROG_PART+IV3MS+IV
          VOC:	bi+yi+waq~aE
        GLOSS:	[present_ tense]+he/she+arousese dissension

 INPUT STRING:	الشعب
     IS_TRANS:	Al$Eb
        INDEX:	P19W4
      OFFSETS:	15-20
       TOKENS:	P19W5-P19W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$aEob_1]
   UNSPLITVOC:	(Al$~aEob)
          POS:	DET+NOUN
          VOC:	Al+$aEob
        GLOSS:	the+people/nation/peoples/nations

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P19W5
      OFFSETS:	21-23
       TOKENS:	P19W6-P19W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	الشعب
     IS_TRANS:	Al$Eb
        INDEX:	P19W6
      OFFSETS:	24-29
       TOKENS:	P19W7-P19W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$aEob_1]
   UNSPLITVOC:	(Al$~aEob)
          POS:	DET+NOUN
          VOC:	Al+$aEob
        GLOSS:	the+people/nation/peoples/nations

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P19W7
      OFFSETS:	30-31
       TOKENS:	P19W8-P19W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	سلفي
     IS_TRANS:	slfy
        INDEX:	P19W8
      OFFSETS:	32-36
       TOKENS:	P19W9-P19W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[salafiy_1]
   UNSPLITVOC:	(salafiy)
          POS:	ADJ
          VOC:	salafiy
        GLOSS:	SALAFY

 INPUT STRING:	وليبرالي
     IS_TRANS:	wlybrAly
        INDEX:	P19W9
      OFFSETS:	37-45
       TOKENS:	P19W10-P19W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[liybirAliy_1]
   UNSPLITVOC:	(wiliybirAliy)
          POS:	CONJ+ADJ
          VOC:	wi+liybirAliy
        GLOSS:	and+Liberal

 INPUT STRING:	واخوان
     IS_TRANS:	wAxwAn
        INDEX:	P19W10
      OFFSETS:	46-52
       TOKENS:	P19W12-P19W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<ixwAn_1]
   UNSPLITVOC:	(wi<ixwAn)
          POS:	CONJ+NOUN_PROP
          VOC:	wi+<ixwAn
        GLOSS:	and+AIKHWAN

 INPUT STRING:	وثوار
     IS_TRANS:	wvwAr
        INDEX:	P19W11
      OFFSETS:	53-58
       TOKENS:	P19W14-P19W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vA}ir_2]
   UNSPLITVOC:	(wivuw~Ar)
          POS:	CONJ+ADJ
          VOC:	wi+vuw~Ar
        GLOSS:	and+insurgents/revolutionaries

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P19W12
      OFFSETS:	59-60
       TOKENS:	P19W16-P19W16
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P19W13
      OFFSETS:	60-61
       TOKENS:	P19W17-P19W17
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	تقدروا
     IS_TRANS:	tqdrwA
        INDEX:	P20W1
      OFFSETS:	0-6
       TOKENS:	P20W1-P20W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qadar_1]
   UNSPLITVOC:	(tiqodaruwA)
          POS:	IV2P+IV+IVSUFF_SUBJ:P
          VOC:	ti+qodar+uwA
        GLOSS:	you+able/capable+you

 INPUT STRING:	تقولولي
     IS_TRANS:	tqwlwly
        INDEX:	P20W2
      OFFSETS:	7-14
       TOKENS:	P20W2-P20W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(tiquwluwA_liy)
          POS:	IV2P+IV+IVSUFF_SUBJ:P+PREP+PRON_1S
          VOC:	ti+quwl+uwA+li+iy
        GLOSS:	you+said/say/be said/say/(for example)+we+to/for+me

 INPUT STRING:	فين
     IS_TRANS:	fyn
        INDEX:	P20W3
      OFFSETS:	15-18
       TOKENS:	P20W5-P20W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fayon_1]
   UNSPLITVOC:	(fayon)
          POS:	REL_ADV
          VOC:	fayon
        GLOSS:	where

 INPUT STRING:	رموز
     IS_TRANS:	rmwz
        INDEX:	P20W4
      OFFSETS:	19-23
       TOKENS:	P20W6-P20W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ramoz_1]
   UNSPLITVOC:	(rumuwz)
          POS:	NOUN
          VOC:	rumuwz
        GLOSS:	symbolic figures

 INPUT STRING:	الثوره
     IS_TRANS:	Alvwrh
        INDEX:	P20W5
      OFFSETS:	24-30
       TOKENS:	P20W7-P20W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vawrap_1]
   UNSPLITVOC:	(Alv~awrap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+vawr+ap
        GLOSS:	the+revolution/uprising+[fem.sg.]

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P20W6
      OFFSETS:	31-32
       TOKENS:	P20W8-P20W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P20W7
      OFFSETS:	32-33
       TOKENS:	P20W9-P20W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P20W8
      OFFSETS:	34-36
       TOKENS:	P20W10-P20W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	السجون
     IS_TRANS:	Alsjwn
        INDEX:	P20W9
      OFFSETS:	37-43
       TOKENS:	P20W11-P20W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sijon_1]
   UNSPLITVOC:	(Als~ijuwn)
          POS:	DET+NOUN
          VOC:	Al+sijuwn
        GLOSS:	the+prisons

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P20W10
      OFFSETS:	44-45
       TOKENS:	P20W12-P20W12
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	طيب
     IS_TRANS:	Tyb
        INDEX:	P21W1
      OFFSETS:	0-3
       TOKENS:	P21W1-P21W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Tay~ib_1]
   UNSPLITVOC:	(Tay~ib)
          POS:	INTERJ
          VOC:	Tay~ib
        GLOSS:	ok

 INPUT STRING:	تقدروا
     IS_TRANS:	tqdrwA
        INDEX:	P21W2
      OFFSETS:	4-10
       TOKENS:	P21W2-P21W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[qAdar_1]
   UNSPLITVOC:	(tiqodaruwA)
          POS:	IV2P+IV+IVSUFF_SUBJ:P
          VOC:	ti+qodar+uwA
        GLOSS:	you+be able+you

 INPUT STRING:	تقولولي
     IS_TRANS:	tqwlwly
        INDEX:	P21W3
      OFFSETS:	11-18
       TOKENS:	P21W3-P21W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(tiquwluwA_liy)
          POS:	IV2P+IV+IVSUFF_SUBJ:P+PREP+PRON_1S
          VOC:	ti+quwl+uwA+li+iy
        GLOSS:	you+said/say/be said/say/(for example)+we+to/for+me

 INPUT STRING:	لو
     IS_TRANS:	lw
        INDEX:	P21W4
      OFFSETS:	19-21
       TOKENS:	P21W6-P21W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[law_1]
   UNSPLITVOC:	(law)
          POS:	SUB_CONJ
          VOC:	law
        GLOSS:	if

 INPUT STRING:	جمال
     IS_TRANS:	jmAl
        INDEX:	P21W5
      OFFSETS:	22-26
       TOKENS:	P21W7-P21W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jamAl_1]
   UNSPLITVOC:	(jamAl)
          POS:	NOUN_PROP
          VOC:	jamAl
        GLOSS:	Jamal/Gamal

 INPUT STRING:	وعلاء
     IS_TRANS:	wElA'
        INDEX:	P21W6
      OFFSETS:	27-32
       TOKENS:	P21W8-P21W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalA'_1]
   UNSPLITVOC:	(wiEalA')
          POS:	CONJ+NOUN_PROP
          VOC:	wi+EalA'
        GLOSS:	and+Alaa

 INPUT STRING:	اتحاكموا
     IS_TRANS:	AtHAkmwA
        INDEX:	P21W7
      OFFSETS:	33-41
       TOKENS:	P21W10-P21W10
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(AtHAkmwA)
          POS:	NO_FUNC
          VOC:	AtHAkmwA
        GLOSS:	nogloss

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P21W8
      OFFSETS:	42-44
       TOKENS:	P21W11-P21W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	اسوء
     IS_TRANS:	Asw'
        INDEX:	P21W9
      OFFSETS:	45-49
       TOKENS:	P21W12-P21W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>asuw'_1]
   UNSPLITVOC:	(>asuw')
          POS:	ADJ_COMP
          VOC:	>asuw'
        GLOSS:	most bad

 INPUT STRING:	الظروف
     IS_TRANS:	AlZrwf
        INDEX:	P21W10
      OFFSETS:	50-56
       TOKENS:	P21W13-P21W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Zarof_1]
   UNSPLITVOC:	(AlZ~uruwf)
          POS:	DET+NOUN
          VOC:	Al+Zuruwf
        GLOSS:	the+circumstance/condition/situation/circumstances/condition/situation

 INPUT STRING:	ممكن
