 INPUT STRING:	اولا

 INPUT STRING:	بتحصل
     IS_TRANS:	btHSl
        INDEX:	P53W12
      OFFSETS:	66-71
       TOKENS:	P53W17-P53W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HaSal_1]
   UNSPLITVOC:	(bitiHoSal)
          POS:	PROG_PART+IV3FS+IV
          VOC:	bi+ti+HoSal
        GLOSS:	[present-tense]+it/they/she+occur/happen/take place

 INPUT STRING:	عندك
     IS_TRANS:	Endk
        INDEX:	P54W1
      OFFSETS:	0-4
       TOKENS:	P54W1-P54W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Einod_1]
   UNSPLITVOC:	(Einodak)
          POS:	NOUN+POSS_PRON_2MS
          VOC:	Einod+ak
        GLOSS:	with / at+your

 INPUT STRING:	حق
     IS_TRANS:	Hq
        INDEX:	P54W2
      OFFSETS:	5-7
       TOKENS:	P54W3-P54W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Haq~_1]
   UNSPLITVOC:	(Haq~)
          POS:	NOUN
          VOC:	Haq~
        GLOSS:	right, prerogative, truth

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P54W3
      OFFSETS:	8-10
       TOKENS:	P54W4-P54W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P54W4
      OFFSETS:	11-13
       TOKENS:	P54W5-P54W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all/entire/every

 INPUT STRING:	كلمة
     IS_TRANS:	klmp
        INDEX:	P54W5
      OFFSETS:	14-18
       TOKENS:	P54W6-P54W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kilomap_1]
   UNSPLITVOC:	(kilomap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	kilom+ap
        GLOSS:	word+[fem.sg.]

 INPUT STRING:	كلنا
     IS_TRANS:	klnA
        INDEX:	P54W6
      OFFSETS:	19-23
       TOKENS:	P54W7-P54W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~inA)
          POS:	NOUN_QUANT+POSS_PRON_1P
          VOC:	kul~i+nA
        GLOSS:	all/entire/every+our

 INPUT STRING:	بقينا
     IS_TRANS:	bqynA
        INDEX:	P54W7
      OFFSETS:	24-29
       TOKENS:	P54W9-P54W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[baqaY_1]
   UNSPLITVOC:	(baqiynA)
          POS:	PV+PVSUFF_SUBJ:1P
          VOC:	baqiy+nA
        GLOSS:	be/become+we

 INPUT STRING:	عندنا
     IS_TRANS:	EndnA
        INDEX:	P54W8
      OFFSETS:	30-35
       TOKENS:	P54W10-P54W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Einod_1]
   UNSPLITVOC:	(EinodinA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	Einod+nA
        GLOSS:	with / at+our

 INPUT STRING:	وعى
     IS_TRANS:	wEY
        INDEX:	P54W9
      OFFSETS:	36-39
       TOKENS:	P54W12-P54W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waEoy_1]
   UNSPLITVOC:	(waEoy)
          POS:	NOUN
          VOC:	waEoy
        GLOSS:	consciousness/awareness/attention

 INPUT STRING:	سياسى
     IS_TRANS:	syAsY
        INDEX:	P54W10
      OFFSETS:	40-45
       TOKENS:	P54W13-P54W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[siyAsiy_1]
   UNSPLITVOC:	(siyAsiy)
          POS:	ADJ
          VOC:	siyAsiy
        GLOSS:	political

 INPUT STRING:	حسبى
     IS_TRANS:	HsbY
        INDEX:	P55W1
      OFFSETS:	0-4
       TOKENS:	P55W1-P55W2
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Hasob_1]
   UNSPLITVOC:	(Hasobiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	Hasob+iy
        GLOSS:	reckoning/calculation+my

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P55W2
      OFFSETS:	5-9
       TOKENS:	P55W3-P55W3
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[All~`h_1]
   UNSPLITVOC:	(All~`h)
          POS:	NOUN_PROP
          VOC:	All~`h
        GLOSS:	Allah/God

 INPUT STRING:	ونعم
     IS_TRANS:	wnEm
        INDEX:	P55W3
      OFFSETS:	10-14
       TOKENS:	P55W4-P55W5
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[niEma_1]
   UNSPLITVOC:	(waniEma)
          POS:	CONJ+VERB
          VOC:	wa+niEma
        GLOSS:	and+how good

 INPUT STRING:	الوكيل
     IS_TRANS:	Alwkyl
        INDEX:	P55W4
      OFFSETS:	15-21
       TOKENS:	P55W6-P55W6
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wakiyl_1]
   UNSPLITVOC:	(Alwakiyl)
          POS:	DET+NOUN
          VOC:	Al+wakiyl
        GLOSS:	the+representative/agent

 INPUT STRING:	هما
     IS_TRANS:	hmA
        INDEX:	P56W1
      OFFSETS:	0-3
       TOKENS:	P56W1-P56W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hum~a_1]
   UNSPLITVOC:	(hum~a)
          POS:	PRON_3P
          VOC:	hum~a
        GLOSS:	they

 INPUT STRING:	بيحسبونا
     IS_TRANS:	byHsbwnA
        INDEX:	P56W2
      OFFSETS:	4-12
       TOKENS:	P56W2-P56W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Hasab_1]
   UNSPLITVOC:	(biyiHsabuwAnA)
          POS:	PROG_PART+IV3P+IV+IVSUFF_SUBJ:P+IVSUFF_DO:1P
          VOC:	bi+yi+Hsab+uwA+nA
        GLOSS:	[present-tense]+they+consider+[pl.]+us

 INPUT STRING:	بهايم
     IS_TRANS:	bhAym
        INDEX:	P56W3
      OFFSETS:	13-18
       TOKENS:	P56W5-P56W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bihiym_1]
   UNSPLITVOC:	(bahAyim)
          POS:	NOUN
          VOC:	bahAyim
        GLOSS:	animals

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P57W1
      OFFSETS:	0-3
       TOKENS:	P57W1-P57W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	راى
     IS_TRANS:	rAY
        INDEX:	P57W2
      OFFSETS:	4-7
       TOKENS:	P57W2-P57W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ra>oy_1]
   UNSPLITVOC:	(ra>oy)
          POS:	NOUN
          VOC:	ra>oy
        GLOSS:	opinion/view/idea

 INPUT STRING:	هشام
     IS_TRANS:	h$Am
        INDEX:	P57W3
      OFFSETS:	8-12
       TOKENS:	P57W3-P57W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hi$Am_1]
   UNSPLITVOC:	(hi$Am)
          POS:	NOUN_PROP
          VOC:	hi$Am
        GLOSS:	Hichem

 INPUT STRING:	الجخ
     IS_TRANS:	Aljx
        INDEX:	P57W4
      OFFSETS:	13-17
       TOKENS:	P57W4-P57W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[jax_1]
   UNSPLITVOC:	(Aljax)
          POS:	DET+NOUN_PROP
          VOC:	Al+jax
        GLOSS:	the+Jakh

 INPUT STRING:	طب
     IS_TRANS:	Tb
        INDEX:	P58W1
      OFFSETS:	0-2
       TOKENS:	P58W1-P58W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tab_1]
   UNSPLITVOC:	(Tab)
          POS:	INTERJ
          VOC:	Tab
        GLOSS:	okay

 INPUT STRING:	كنتوا
     IS_TRANS:	kntwA
        INDEX:	P58W2
      OFFSETS:	3-8
       TOKENS:	P58W2-P58W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kuntuwA)
          POS:	PV+PVSUFF_SUBJ:2P
          VOC:	kun+tuwA
        GLOSS:	be+you

 INPUT STRING:	سبتونا
     IS_TRANS:	sbtwnA
        INDEX:	P58W3
      OFFSETS:	9-15
       TOKENS:	P58W3-P58W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sAb_1]
   UNSPLITVOC:	(sibtuwnA)
          POS:	PV+PVSUFF_SUBJ:2P+PVSUFF_DO:1P
          VOC:	sib+tuwA+nA
        GLOSS:	leave/let+you+us

 INPUT STRING:	بهايم
     IS_TRANS:	bhAym
        INDEX:	P58W4
      OFFSETS:	16-21
       TOKENS:	P58W5-P58W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bihiym_1]
   UNSPLITVOC:	(bahAyim)
          POS:	NOUN
          VOC:	bahAyim
        GLOSS:	animals

 INPUT STRING:	ربنا
     IS_TRANS:	rbnA
        INDEX:	P59W1
      OFFSETS:	0-4
       TOKENS:	P59W1-P59W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(rab~inA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	rab~+nA
        GLOSS:	lord/master+our

 INPUT STRING:	يرحم
     IS_TRANS:	yrHm
        INDEX:	P59W2
      OFFSETS:	5-9
       TOKENS:	P59W3-P59W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[raHam_1]
   UNSPLITVOC:	(yiroHam)
          POS:	IV3MS+IV
          VOC:	yi+roHam
        GLOSS:	he/it+have mercy with

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P59W3
      OFFSETS:	10-13
       TOKENS:	P59W4-P59W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSor_1]
   UNSPLITVOC:	(maSor)
          POS:	NOUN_PROP
          VOC:	maSor
        GLOSS:	Egypt

 INPUT STRING:	ويصبر
     IS_TRANS:	wySbr
        INDEX:	P59W4
      OFFSETS:	14-19
       TOKENS:	P59W5-P59W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Sab~ar_1]
   UNSPLITVOC:	(wiyiSab~ar)
          POS:	CONJ+IV3MS+IV
          VOC:	wi+yi+Sab~ar
        GLOSS:	and+he/it+preserve/comfort/stabilize/ballast

 INPUT STRING:	اهالى
     IS_TRANS:	AhAlY
        INDEX:	P59W5
      OFFSETS:	20-25
       TOKENS:	P59W7-P59W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Aahl_1]
   UNSPLITVOC:	(AhAliy)
          POS:	NOUN
          VOC:	AhAliy
        GLOSS:	families

 INPUT STRING:	لشهدا
     IS_TRANS:	l$hdA
        INDEX:	P59W6
      OFFSETS:	26-31
       TOKENS:	P59W8-P59W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[$ahiyd_1]
   UNSPLITVOC:	(Al$uhadA)
          POS:	DET+NOUN
          VOC:	Al+$uhadA
        GLOSS:	the+martyrs

 INPUT STRING:	كلنا
     IS_TRANS:	klnA
        INDEX:	P60W1
      OFFSETS:	0-4
       TOKENS:	P60W1-P60W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~inA)
          POS:	NOUN_QUANT+POSS_PRON_1P
          VOC:	kul~i+nA
        GLOSS:	all/entire/every+our

 INPUT STRING:	زيك
     IS_TRANS:	zyk
        INDEX:	P60W2
      OFFSETS:	5-8
       TOKENS:	P60W3-P60W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zay~_1]
   UNSPLITVOC:	(zay~ik)
          POS:	NOUN+POSS_PRON_2FS
          VOC:	zay~+ik
        GLOSS:	like/such as+your

 INPUT STRING:	بالظبط
     IS_TRANS:	bAlZbT
        INDEX:	P60W3
      OFFSETS:	9-15
       TOKENS:	P60W5-P60W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ZaboT_1]
   UNSPLITVOC:	(biAlZ~aboT)
          POS:	PREP+DET+NOUN
          VOC:	bi+Al+ZaboT
        GLOSS:	with/by+the+exactitude

 INPUT STRING:	احنا
     IS_TRANS:	AHnA
        INDEX:	P60W4
      OFFSETS:	16-20
       TOKENS:	P60W7-P60W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiHonA_1]
   UNSPLITVOC:	(AiHonA)
          POS:	PRON_1P
          VOC:	AiHonA
        GLOSS:	we

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P60W5
      OFFSETS:	21-23
       TOKENS:	P60W8-P60W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	عارفين
     IS_TRANS:	EArfyn
        INDEX:	P60W6
      OFFSETS:	24-30
       TOKENS:	P60W9-P60W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EArif_1]
   UNSPLITVOC:	(EArofiyn)
          POS:	ADJ.VN+NSUFF_MASC_PL
          VOC:	EArof+iyn
        GLOSS:	knowing/having knowledge of+[pl.]

 INPUT STRING:	ننام
     IS_TRANS:	nnAm
        INDEX:	P60W7
      OFFSETS:	31-35
       TOKENS:	P60W10-P60W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAm_1]
   UNSPLITVOC:	(ninAm)
          POS:	IV1P+IV
          VOC:	ni+nAm
        GLOSS:	we+sleep/lie down

 INPUT STRING:	ومتابعين
     IS_TRANS:	wmtAbEyn
        INDEX:	P60W8
      OFFSETS:	36-44
       TOKENS:	P60W11-P60W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mitAbiE_1]
   UNSPLITVOC:	(wimitAboEiyn)
          POS:	CONJ+ADJ+NSUFF_MASC_PL
          VOC:	wi+mitAboE+iyn
        GLOSS:	and+following+[pl.]

 INPUT STRING:	الاحداث
     IS_TRANS:	AlAHdAv
        INDEX:	P60W9
      OFFSETS:	45-52
       TOKENS:	P60W13-P60W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hadav_1]
   UNSPLITVOC:	(Al>aHodAv)
          POS:	DET+NOUN
          VOC:	Al+>aHodAv
        GLOSS:	the+events

 INPUT STRING:	نت
     IS_TRANS:	nt
        INDEX:	P60W10
      OFFSETS:	53-55
       TOKENS:	P60W14-P60W14
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(nt)
          POS:	FOREIGN
          VOC:	nt
        GLOSS:	nogloss

 INPUT STRING:	وقنوات
     IS_TRANS:	wqnwAt
        INDEX:	P60W11
      OFFSETS:	56-62
       TOKENS:	P60W15-P60W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qanAp_1]
   UNSPLITVOC:	(wiqanawAt)
          POS:	CONJ+NOUN+NSUFF_FEM_PL
          VOC:	wi+qanaw+At
        GLOSS:	and+channels+[fem.pl.]

 INPUT STRING:	اعلامية
     IS_TRANS:	AElAmyp
        INDEX:	P60W12
      OFFSETS:	63-70
       TOKENS:	P60W17-P60W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AiElAmiy_1]
   UNSPLITVOC:	(AiElAmiy~ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	AiElAmiy~+ap
        GLOSS:	media/information+[fem.sg.]

 INPUT STRING:	اللهم
     IS_TRANS:	Allhm
        INDEX:	P61W1
      OFFSETS:	0-5
       TOKENS:	P61W1-P61W1
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[All~`hum~a_1]
   UNSPLITVOC:	(All~`hum~a)
          POS:	NOUN
          VOC:	All~`hum~a
        GLOSS:	truly/certainly/oh God!/dear God

 INPUT STRING:	استرنا
     IS_TRANS:	AstrnA
        INDEX:	P61W2
      OFFSETS:	6-12
       TOKENS:	P61W2-P61W3
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[satar-ui_1]
   UNSPLITVOC:	(>asoturonA)
          POS:	IV1S+IV+IVSUFF_MOOD:J+IVSUFF_DO:1P
          VOC:	>a+sotur+o+nA
        GLOSS:	I+cover/hide+[jus.]+us

 INPUT STRING:	فوق
     IS_TRANS:	fwq
        INDEX:	P61W3
      OFFSETS:	13-16
       TOKENS:	P61W4-P61W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fawoq_1]
   UNSPLITVOC:	(fawoq)
          POS:	NOUN
          VOC:	fawoq
        GLOSS:	above/over/top/upper part

 INPUT STRING:	الارض
     IS_TRANS:	AlArD
        INDEX:	P61W4
      OFFSETS:	17-22
       TOKENS:	P61W5-P61W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aroD_1]
   UNSPLITVOC:	(Al>aroD)
          POS:	DET+NOUN
          VOC:	Al+>aroD
        GLOSS:	the+earth/territory/land/territories/land/earth/lands/territories

 INPUT STRING:	وتحت
     IS_TRANS:	wtHt
        INDEX:	P61W5
      OFFSETS:	23-27
       TOKENS:	P61W6-P61W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taHot_1]
   UNSPLITVOC:	(witaHot)
          POS:	CONJ+NOUN
          VOC:	wi+taHot
        GLOSS:	and+under

 INPUT STRING:	الارض
     IS_TRANS:	AlArD
        INDEX:	P61W6
      OFFSETS:	28-33
       TOKENS:	P61W8-P61W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aroD_1]
   UNSPLITVOC:	(Al>aroD)
          POS:	DET+NOUN
          VOC:	Al+>aroD
        GLOSS:	the+earth/territory/land/territories/land/earth/lands/territories

 INPUT STRING:	ويوم
     IS_TRANS:	wywm
        INDEX:	P61W7
      OFFSETS:	34-38
       TOKENS:	P61W9-P61W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yawm_1]
   UNSPLITVOC:	(wiyawm)
          POS:	CONJ+NOUN
          VOC:	wi+yawm
        GLOSS:	and+today/some day/ever/days

 INPUT STRING:	العرض
     IS_TRANS:	AlErD
        INDEX:	P61W8
      OFFSETS:	39-44
       TOKENS:	P61W11-P61W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EaroD_1]
   UNSPLITVOC:	(AlEaroD)
          POS:	DET+NOUN
          VOC:	Al+EaroD
        GLOSS:	the+presentation/display/review/show/offer/presentations/shows/reviews/displays/offers/tenders

 INPUT STRING:	عليك
     IS_TRANS:	Elyk
        INDEX:	P61W9
      OFFSETS:	45-49
       TOKENS:	P61W12-P61W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(Ealayk)
          POS:	PREP+PRON_2MS
          VOC:	EalaY+ak
        GLOSS:	on/above+you

 INPUT STRING:	هى
     IS_TRANS:	hY
        INDEX:	P62W1
      OFFSETS:	0-2
       TOKENS:	P62W1-P62W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hiy~a_1]
   UNSPLITVOC:	(hiy~a)
          POS:	PRON_3FS
          VOC:	hiy~a
        GLOSS:	it/she/they

 INPUT STRING:	دية
     IS_TRANS:	dyp
        INDEX:	P62W2
      OFFSETS:	3-6
       TOKENS:	P62W2-P62W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diy_1]
   UNSPLITVOC:	(diy)
          POS:	DEM_PRON_FS
          VOC:	diy
        GLOSS:	this/that

 INPUT STRING:	ذاكرة
     IS_TRANS:	*Akrp
        INDEX:	P62W3
      OFFSETS:	7-12
       TOKENS:	P62W3-P62W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[*Akorap_1]
   UNSPLITVOC:	(*Akorap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	*Akor+ap
        GLOSS:	memory+[fem.sg.]

 INPUT STRING:	الوطن
     IS_TRANS:	AlwTn
        INDEX:	P62W4
      OFFSETS:	13-18
       TOKENS:	P62W4-P62W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waTan_1]
   UNSPLITVOC:	(AlwaTan)
          POS:	DET+NOUN
          VOC:	Al+waTan
        GLOSS:	the+nation/homeland

 INPUT STRING:	والاوجاع
     IS_TRANS:	wAlAwjAE
        INDEX:	P62W5
      OFFSETS:	19-27
       TOKENS:	P62W5-P62W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[wajaE_1]
   UNSPLITVOC:	(wiAlAwjAE)
          POS:	CONJ+DET+NOUN
          VOC:	wi+Al+AwjAE
        GLOSS:	and+the+pains/aches

 INPUT STRING:	بتتكرر
     IS_TRANS:	bttkrr
        INDEX:	P62W6
      OFFSETS:	28-34
       TOKENS:	P62W7-P62W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aitokar~ar_1]
   UNSPLITVOC:	(bititokar~ar)
          POS:	PROG_PART+IV3FS+IV
          VOC:	bi+ti+tokar~ar
        GLOSS:	[present-tense]+it/they/she+be repeated

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P62W7
      OFFSETS:	35-37
       TOKENS:	P62W9-P62W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bas~_1]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but/yet

 INPUT STRING:	المشكلة
     IS_TRANS:	Alm$klp
        INDEX:	P62W8
      OFFSETS:	38-45
       TOKENS:	P62W10-P62W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mu$okilap_1]
   UNSPLITVOC:	(Almu$okilap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+mu$okil+ap
        GLOSS:	the+problem/issue+[fem.sg.]

 INPUT STRING:	بتخلق
     IS_TRANS:	btxlq
        INDEX:	P62W9
      OFFSETS:	46-51
       TOKENS:	P62W11-P62W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xalaq_1]
   UNSPLITVOC:	(bitixolaq)
          POS:	PROG_PART+IV3FS+IV
          VOC:	bi+ti+xolaq
        GLOSS:	[present-tense]+it/they/she+create

 INPUT STRING:	جراح
     IS_TRANS:	jrAH
        INDEX:	P62W10
      OFFSETS:	52-56
       TOKENS:	P62W13-P62W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jar~AH_1]
   UNSPLITVOC:	(jar~AH)
          POS:	NOUN
          VOC:	jar~AH
        GLOSS:	wounds

 INPUT STRING:	جديدة
     IS_TRANS:	jdydp
        INDEX:	P62W11
      OFFSETS:	57-62
       TOKENS:	P62W14-P62W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jidiyd_1]
   UNSPLITVOC:	(jidiydap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	jidiyd+ap
