 INPUT STRING:	اقصد
     IS_TRANS:	AlADrAb
        INDEX:	P35W3
      OFFSETS:	6-13
       TOKENS:	P35W3-P35W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AiDrAb_1]
   UNSPLITVOC:	(AlAiDrAb)
          POS:	DET+NOUN
          VOC:	Al+AiDrAb
        GLOSS:	the+strike/stoppage

 INPUT STRING:	كان
     IS_TRANS:	kAn
        INDEX:	P35W4
      OFFSETS:	14-17
       TOKENS:	P35W4-P35W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAn)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	kAn+(null)
        GLOSS:	be+he/it

 INPUT STRING:	علشان
     IS_TRANS:	El$An
        INDEX:	P35W5
      OFFSETS:	18-23
       TOKENS:	P35W5-P35W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$An_1]
   UNSPLITVOC:	(Eala$a>on)
          POS:	PREP+NOUN
          VOC:	EalaY+$An
        GLOSS:	on/above+matter/affair/case/importance/status/situation/condition/affairs/matters

 INPUT STRING:	مافيش
     IS_TRANS:	mAfy$
        INDEX:	P35W6
      OFFSETS:	24-29
       TOKENS:	P35W7-P35W7
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(mAfy$)
          POS:	NO_FUNC
          VOC:	mAfy$
        GLOSS:	nogloss

 INPUT STRING:	رئيس
     IS_TRANS:	r}ys
        INDEX:	P35W7
      OFFSETS:	30-34
       TOKENS:	P35W8-P35W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ra}iys_1]
   UNSPLITVOC:	(ra}iys)
          POS:	NOUN
          VOC:	ra}iys
        GLOSS:	president/head/chairman

 INPUT STRING:	عايزين
     IS_TRANS:	EAyzyn
        INDEX:	P36W1
      OFFSETS:	0-6
       TOKENS:	P36W1-P36W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAyiz_1]
   UNSPLITVOC:	(EAyoziyn)
          POS:	ADJ+NSUFF_MASC_PL
          VOC:	EAyoz+iyn
        GLOSS:	wanting/needing+[pl.]

 INPUT STRING:	رئيس
     IS_TRANS:	r}ys
        INDEX:	P36W2
      OFFSETS:	7-11
       TOKENS:	P36W2-P36W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ra}iys_1]
   UNSPLITVOC:	(ra}iys)
          POS:	NOUN
          VOC:	ra}iys
        GLOSS:	president/head/chairman

 INPUT STRING:	مدني
     IS_TRANS:	mdny
        INDEX:	P36W3
      OFFSETS:	12-16
       TOKENS:	P36W3-P36W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[madaniy_1]
   UNSPLITVOC:	(madaniy)
          POS:	ADJ
          VOC:	madaniy
        GLOSS:	civilian

 INPUT STRING:	تمشي
     IS_TRANS:	tm$y
        INDEX:	P36W4
      OFFSETS:	17-21
       TOKENS:	P36W4-P36W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$iy_1]
   UNSPLITVOC:	(timo$iy)
          POS:	IV3FS+IV
          VOC:	ti+mo$iy
        GLOSS:	it/they/she+make walk/adjust/be made to walk

 INPUT STRING:	عليه
     IS_TRANS:	Elyh
        INDEX:	P36W5
      OFFSETS:	22-26
       TOKENS:	P36W5-P36W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(Ealayh)
          POS:	PREP+PRON_3MS
          VOC:	EalaY+uh
        GLOSS:	on/above+it/him

 INPUT STRING:	القوانين
     IS_TRANS:	AlqwAnyn
        INDEX:	P36W6
      OFFSETS:	27-35
       TOKENS:	P36W7-P36W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAnuwn_1]
   UNSPLITVOC:	(AlqawAniyn)
          POS:	DET+NOUN+NSUFF_MASC_PL
          VOC:	Al+qawAn+iyn
        GLOSS:	the+law/statutes/regulations+[pl.]

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P36W7
      OFFSETS:	36-37
       TOKENS:	P36W8-P36W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(w)
          POS:	TYPO
          VOC:	w
        GLOSS:	nogloss

 INPUT STRING:	ممكن
     IS_TRANS:	mmkn
        INDEX:	P36W8
      OFFSETS:	38-42
       TOKENS:	P36W9-P36W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mumokin_1]
   UNSPLITVOC:	(mumokin)
          POS:	ADJ
          VOC:	mumokin
        GLOSS:	possible

 INPUT STRING:	محاسبته
     IS_TRANS:	mHAsbth
        INDEX:	P36W9
      OFFSETS:	43-50
       TOKENS:	P36W10-P36W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[muHAsbap_1]
   UNSPLITVOC:	(muHAsbituh)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_3MS
          VOC:	muHAsb+ap+uh
        GLOSS:	accounting/examination+[fem.sg.]+its/his

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P37W1
      OFFSETS:	0-2
       TOKENS:	P37W1-P37W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	قيادة
     IS_TRANS:	qyAdp
        INDEX:	P37W2
      OFFSETS:	3-8
       TOKENS:	P37W2-P37W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qiyAdap_1]
   UNSPLITVOC:	(qiyAdap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	qiyAd+ap
        GLOSS:	leadership/command+[fem.sg.]

 INPUT STRING:	عسكرية
     IS_TRANS:	Eskryp
        INDEX:	P37W3
      OFFSETS:	9-15
       TOKENS:	P37W3-P37W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Easokariy_1]
   UNSPLITVOC:	(Easokariy~ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	Easokariy~+ap
        GLOSS:	military/army+[fem.sg.]

 INPUT STRING:	تطبق
     IS_TRANS:	tTbq
        INDEX:	P37W4
      OFFSETS:	16-20
       TOKENS:	P37W4-P37W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tab~aq_1]
   UNSPLITVOC:	(tiTab~aq)
          POS:	IV3FS+IV
          VOC:	ti+Tab~aq
        GLOSS:	it/they/she+apply/implement/be applied/be implemented

 INPUT STRING:	هي
     IS_TRANS:	hy
        INDEX:	P37W5
      OFFSETS:	21-23
       TOKENS:	P37W5-P37W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hiy~a_1]
   UNSPLITVOC:	(hiy~a)
          POS:	PRON_3FS
          VOC:	hiy~a
        GLOSS:	it/they/she

 INPUT STRING:	علينا
     IS_TRANS:	ElynA
        INDEX:	P37W6
      OFFSETS:	24-29
       TOKENS:	P37W6-P37W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaynA)
          POS:	PREP+PRON_1P
          VOC:	EalaY+nA
        GLOSS:	on/above+us

 INPUT STRING:	قوانينها
     IS_TRANS:	qwAnynhA
        INDEX:	P37W7
      OFFSETS:	30-38
       TOKENS:	P37W8-P37W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qanuwn_1]
   UNSPLITVOC:	(qawAniynhA)
          POS:	NOUN+NSUFF_MASC_PL+POSS_PRON_3FS
          VOC:	qawAn+iyn+hA
        GLOSS:	law/statutes/regulations+[pl.]+it/them/her

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P37W8
      OFFSETS:	39-40
       TOKENS:	P37W10-P37W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(w)
          POS:	TYPO
          VOC:	w
        GLOSS:	nogloss

 INPUT STRING:	تحاكمنا
     IS_TRANS:	tHAkmnA
        INDEX:	P37W9
      OFFSETS:	41-48
       TOKENS:	P37W11-P37W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAkim_1]
   UNSPLITVOC:	(tiHAkimnA)
          POS:	IV3FS+IV+IVSUFF_DO:1P
          VOC:	ti+HAkim+nA
        GLOSS:	it/they/she+prosecute/arraign+us

 INPUT STRING:	عسكريا
     IS_TRANS:	EskryA
        INDEX:	P37W10
      OFFSETS:	49-55
       TOKENS:	P37W13-P37W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Easokariy_1]
   UNSPLITVOC:	(Easokariy~aA)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	Easokariy~+ap
        GLOSS:	military+[fem.sg.]

 INPUT STRING:	لما
     IS_TRANS:	lmA
        INDEX:	P37W11
      OFFSETS:	56-59
       TOKENS:	P37W14-P37W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lam~A_1]
   UNSPLITVOC:	(lam~A)
          POS:	SUB_CONJ
          VOC:	lam~A
        GLOSS:	as, when

 INPUT STRING:	مانعجبهاش
     IS_TRANS:	mAnEjbhA$
        INDEX:	P37W12
      OFFSETS:	60-69
       TOKENS:	P37W15-P37W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eajab_1]
   UNSPLITVOC:	(mA_niEojibhA$)
          POS:	NEG_PART+IV1P+IV+IVSUFF_DO:3FS+NEG_PART
          VOC:	mA+ni+Eojib+hA+$
        GLOSS:	not+we+like/admire+it/them/her+not

 INPUT STRING:	الاحكام
     IS_TRANS:	AlAHkAm
        INDEX:	P38W1
      OFFSETS:	1-8
       TOKENS:	P38W1-P38W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hukom_1]
   UNSPLITVOC:	(Al>aHokAm)
          POS:	DET+NOUN
          VOC:	Al+>aHokAm
        GLOSS:	the+statutes/laws

 INPUT STRING:	العسكرية
     IS_TRANS:	AlEskryp
        INDEX:	P38W2
      OFFSETS:	9-17
       TOKENS:	P38W2-P38W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Easokariy_1]
   UNSPLITVOC:	(AlEasokariy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+Easokariy~+ap
        GLOSS:	the+military+[fem.sg.]

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P38W3
      OFFSETS:	18-22
       TOKENS:	P38W3-P38W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which/who/whom

 INPUT STRING:	مافيهاش
     IS_TRANS:	mAfyhA$
        INDEX:	P38W4
      OFFSETS:	23-30
       TOKENS:	P38W4-P38W4
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(mAfyhA$)
          POS:	NO_FUNC
          VOC:	mAfyhA$
        GLOSS:	nogloss

 INPUT STRING:	نقض
     IS_TRANS:	nqD
        INDEX:	P38W5
      OFFSETS:	31-34
       TOKENS:	P38W5-P38W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[naqoD_1]
   UNSPLITVOC:	(naqoD)
          POS:	NOUN
          VOC:	naqoD
        GLOSS:	contradiction/destruction/ruins/debris

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P38W6
      OFFSETS:	35-36
       TOKENS:	P38W6-P38W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(w)
          POS:	TYPO
          VOC:	w
        GLOSS:	nogloss

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P38W7
      OFFSETS:	37-39
       TOKENS:	P38W7-P38W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	NEG_PART
          VOC:	lA
        GLOSS:	not

 INPUT STRING:	استئناف
     IS_TRANS:	Ast}nAf
        INDEX:	P38W8
      OFFSETS:	40-47
       TOKENS:	P38W8-P38W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aisoti}onAf_1]
   UNSPLITVOC:	(Aisoti}onAf)
          POS:	NOUN
          VOC:	Aisoti}onAf
        GLOSS:	resumption/appeal

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P38W9
      OFFSETS:	48-49
       TOKENS:	P38W9-P38W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(w)
          POS:	TYPO
          VOC:	w
        GLOSS:	nogloss

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P38W10
      OFFSETS:	50-54
       TOKENS:	P38W10-P38W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who/which

 INPUT STRING:	كان
     IS_TRANS:	kAn
        INDEX:	P38W11
      OFFSETS:	55-58
       TOKENS:	P38W11-P38W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAn)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	kAn+(null)
        GLOSS:	be+he/it

 INPUT STRING:	أولى
     IS_TRANS:	>wlY
        INDEX:	P38W12
      OFFSETS:	59-63
       TOKENS:	P38W12-P38W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>awlaY_1]
   UNSPLITVOC:	(>awlaY)
          POS:	ADJ_COMP
          VOC:	>awlaY
        GLOSS:	more appropriate

 INPUT STRING:	بيها
     IS_TRANS:	byhA
        INDEX:	P38W13
      OFFSETS:	64-68
       TOKENS:	P38W13-P38W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bi_1]
   UNSPLITVOC:	(biyhA)
          POS:	PREP+PRON_3FS
          VOC:	bi+hA
        GLOSS:	with/by+it/them/her

 INPUT STRING:	مبارك
     IS_TRANS:	mbArk
        INDEX:	P38W14
      OFFSETS:	69-74
       TOKENS:	P38W15-P38W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mubArak_1]
   UNSPLITVOC:	(mubArak)
          POS:	NOUN_PROP
          VOC:	mubArak
        GLOSS:	Mubarak

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P38W15
      OFFSETS:	75-76
       TOKENS:	P38W16-P38W16
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(w)
          POS:	TYPO
          VOC:	w
        GLOSS:	nogloss

 INPUT STRING:	أعوانه
     IS_TRANS:	>EwAnh
        INDEX:	P38W16
      OFFSETS:	77-83
       TOKENS:	P38W17-P38W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>aEwAn_1]
   UNSPLITVOC:	(>aEwAnuh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	>aEwAn+uh
        GLOSS:	followers+his/its

 INPUT STRING:	لسببين
     IS_TRANS:	lsbbyn
        INDEX:	P38W17
      OFFSETS:	84-90
       TOKENS:	P38W19-P38W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[sabab_1]
   UNSPLITVOC:	(lisababiyn)
          POS:	PREP+NOUN+NSUFF_MASC_DU
          VOC:	li+sabab+iyn
        GLOSS:	for/to+reason+two

 INPUT STRING:	:
     IS_TRANS:	:
        INDEX:	P38W18
      OFFSETS:	90-91
       TOKENS:	P38W21-P38W21
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(:)
          POS:	PUNC
          VOC:	:
        GLOSS:	:

 INPUT STRING:	الاول
     IS_TRANS:	AlAwl
        INDEX:	P39W1
      OFFSETS:	0-5
       TOKENS:	P39W1-P39W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>aw~al_1]
   UNSPLITVOC:	(Al>aw~al)
          POS:	DET+ADJ_NUM
          VOC:	Al+>aw~al
        GLOSS:	the+first

 INPUT STRING:	انهم
     IS_TRANS:	Anhm
        INDEX:	P39W2
      OFFSETS:	6-10
       TOKENS:	P39W2-P39W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~uhum)
          POS:	SUB_CONJ+PRON_3P
          VOC:	<in~+hum
        GLOSS:	that+they

 INPUT STRING:	عسكريين
     IS_TRANS:	Eskryyn
        INDEX:	P39W3
      OFFSETS:	11-18
       TOKENS:	P39W4-P39W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Easkariy~_1]
   UNSPLITVOC:	(Easkariy~iyn)
          POS:	ADJ+NSUFF_MASC_PL
          VOC:	Easkariy~+iyn
        GLOSS:	military/army+[pl.]

 INPUT STRING:	فعلا
     IS_TRANS:	fElA
        INDEX:	P39W4
      OFFSETS:	19-23
       TOKENS:	P39W5-P39W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiEol_1]
   UNSPLITVOC:	(fiEolAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	fiEol+AF
        GLOSS:	doing/act/action/actually/in effect/acts/actions/deeds/exploits+[acc.indef.]

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P39W5
      OFFSETS:	24-25
       TOKENS:	P39W6-P39W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(w)
          POS:	TYPO
          VOC:	w
        GLOSS:	nogloss

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P39W6
      OFFSETS:	26-28
       TOKENS:	P39W7-P39W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	مكان
     IS_TRANS:	mkAn
        INDEX:	P39W7
      OFFSETS:	29-33
       TOKENS:	P39W8-P39W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[makAn_1]
   UNSPLITVOC:	(makAn)
          POS:	NOUN
          VOC:	makAn
        GLOSS:	place/location/position

 INPUT STRING:	محاكمتهم
     IS_TRANS:	mHAkmthm
        INDEX:	P39W8
      OFFSETS:	34-42
       TOKENS:	P39W9-P39W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[muHAkmap_1]
   UNSPLITVOC:	(muHAkmithum)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_3P
          VOC:	muHAkm+ap+hum
        GLOSS:	judicial proceeding/legal prosecution+[fem.sg.]+their

 INPUT STRING:	الطبيعي
     IS_TRANS:	AlTbyEy
        INDEX:	P39W9
      OFFSETS:	43-50
       TOKENS:	P39W11-P39W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[TabiyEiy_1]
   UNSPLITVOC:	(AlT~abiyEiy)
          POS:	DET+ADJ
          VOC:	Al+TabiyEiy
        GLOSS:	the+normal/natural

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P40W1
      OFFSETS:	0-1
       TOKENS:	P40W1-P40W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(w)
          POS:	TYPO
          VOC:	w
        GLOSS:	nogloss

 INPUT STRING:	التاني
     IS_TRANS:	AltAny
        INDEX:	P40W2
      OFFSETS:	2-8
       TOKENS:	P40W2-P40W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[vAniy_1]
   UNSPLITVOC:	(AlvAniy)
          POS:	DET+ADJ_NUM
          VOC:	Al+vAniy
        GLOSS:	the+second

 INPUT STRING:	لفظاعة
     IS_TRANS:	lfZAEp
        INDEX:	P40W3
      OFFSETS:	9-15
       TOKENS:	P40W3-P40W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[faZAEap_1]
   UNSPLITVOC:	(lifaZAEap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	li+faZAE+ap
        GLOSS:	for/to+repulsiveness/atrocity+[fem.sg.]

 INPUT STRING:	جرمهم
     IS_TRANS:	jrmhm
        INDEX:	P40W4
      OFFSETS:	16-21
       TOKENS:	P40W5-P40W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[jurm_1]
   UNSPLITVOC:	(jurmuhum)
          POS:	NOUN+POSS_PRON_3P
          VOC:	jurm+hum
        GLOSS:	crime/sin+their

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P40W5
      OFFSETS:	22-26
       TOKENS:	P40W7-P40W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who/which

 INPUT STRING:	محتاج
     IS_TRANS:	mHtAj
        INDEX:	P40W6
      OFFSETS:	27-32
       TOKENS:	P40W8-P40W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miHotAj_1]
   UNSPLITVOC:	(miHotAj)
          POS:	ADJ
          VOC:	miHotAj
        GLOSS:	wanting/requiring

 INPUT STRING:	قصاص
     IS_TRANS:	qSAS
        INDEX:	P40W7
      OFFSETS:	33-37
       TOKENS:	P40W9-P40W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qiSAS_1]
   UNSPLITVOC:	(qiSAS)
          POS:	NOUN
          VOC:	qiSAS
        GLOSS:	reprisal/retaliation/punishment

 INPUT STRING:	سريع
     IS_TRANS:	sryE
        INDEX:	P40W8
      OFFSETS:	38-42
       TOKENS:	P40W10-P40W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sariyE_1]
   UNSPLITVOC:	(sariyE)
          POS:	ADJ
          VOC:	sariyE
        GLOSS:	quick/prompt/express/quickly/promptly

 INPUT STRING:	العدالة
     IS_TRANS:	AlEdAlp
        INDEX:	P41W1
      OFFSETS:	0-7
       TOKENS:	P41W1-P41W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EadAlap_1]
   UNSPLITVOC:	(AlEadAlap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+EadAl+ap
        GLOSS:	the+justice/fairness+[fem.sg.]

 INPUT STRING:	البطيئة
     IS_TRANS:	AlbTy}p
        INDEX:	P41W2
      OFFSETS:	8-15
       TOKENS:	P41W2-P41W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AlbaTiy'_1]
   UNSPLITVOC:	(AlbaTiy}ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+baTiy}+ap
        GLOSS:	the+slow/tardy+[fem.sg.]

 INPUT STRING:	ظلم
     IS_TRANS:	Zlm
        INDEX:	P41W3
      OFFSETS:	16-19
       TOKENS:	P41W3-P41W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Zulom_1]
   UNSPLITVOC:	(Zulom)
          POS:	NOUN
          VOC:	Zulom
        GLOSS:	injustice

 INPUT STRING:	بين
