 INPUT STRING:	سلاموا
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diEAyap_1]
   UNSPLITVOC:	(Ald~iEAyap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+diEAy+ap
        GLOSS:	the+propaganda/advertising+[fem.sg.]

 INPUT STRING:	الانتخابيه
     IS_TRANS:	AlAntxAbyh
        INDEX:	P33W7
      OFFSETS:	30-40
       TOKENS:	P33W7-P33W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AinotixAbiy_1]
   UNSPLITVOC:	(AlAinotixAbiy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+AinotixAbiy~+ap
        GLOSS:	the+electoral/election/selection+[fem.sg.]

 INPUT STRING:	لما
     IS_TRANS:	lmA
        INDEX:	P34W1
      OFFSETS:	0-3
       TOKENS:	P34W1-P34W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lam~A_1]
   UNSPLITVOC:	(lam~A)
          POS:	SUB_CONJ
          VOC:	lam~A
        GLOSS:	as, when

 INPUT STRING:	شاف
     IS_TRANS:	$Af
        INDEX:	P34W2
      OFFSETS:	4-7
       TOKENS:	P34W2-P34W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[$Af_1]
   UNSPLITVOC:	($Af())
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	$Af+(null)
        GLOSS:	look+he/it [verb]

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P34W3
      OFFSETS:	8-10
       TOKENS:	P34W3-P34W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	عبدالمنعم
     IS_TRANS:	EbdAlmnEm
        INDEX:	P34W4
      OFFSETS:	11-20
       TOKENS:	P34W4-P34W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[EabodAlminoEim_1]
   UNSPLITVOC:	(EabodAlminoEim)
          POS:	NOUN_PROP
          VOC:	EabodAlminoEim
        GLOSS:	Abdel Munim

 INPUT STRING:	ابو
     IS_TRANS:	Abw
        INDEX:	P34W5
      OFFSETS:	21-24
       TOKENS:	P34W5-P34W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>abuw_1]
   UNSPLITVOC:	(>abuw)
          POS:	NOUN_PROP
          VOC:	>abuw
        GLOSS:	Abu

 INPUT STRING:	الفتوح
     IS_TRANS:	AlftwH
        INDEX:	P34W6
      OFFSETS:	25-31
       TOKENS:	P34W6-P34W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[futuwH_1]
   UNSPLITVOC:	(AlfutuwH)
          POS:	DET+NOUN_PROP
          VOC:	Al+futuwH
        GLOSS:	the+Fotouh/Futouh

 INPUT STRING:	بعد
     IS_TRANS:	bEd
        INDEX:	P34W7
      OFFSETS:	32-35
       TOKENS:	P34W7-P34W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEod_1]
   UNSPLITVOC:	(baEod)
          POS:	NOUN
          VOC:	baEod
        GLOSS:	after

 INPUT STRING:	الحادثه
     IS_TRANS:	AlHAdvh
        INDEX:	P34W8
      OFFSETS:	36-43
       TOKENS:	P34W8-P34W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAdovap_1]
   UNSPLITVOC:	(AlHAdovap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+HAdov+ap
        GLOSS:	the+accident/mishap+[fem.sg.]

 INPUT STRING:	الي
     IS_TRANS:	Aly
        INDEX:	P34W9
      OFFSETS:	44-47
       TOKENS:	P34W9-P34W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which

 INPUT STRING:	اتعرض
     IS_TRANS:	AtErD
        INDEX:	P34W10
      OFFSETS:	48-53
       TOKENS:	P34W10-P34W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AitoEar~aD_1]
   UNSPLITVOC:	(AitoEar~aD)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	AitoEar~aD+(null)
        GLOSS:	be exposed to/encounter+he/it [verb]

 INPUT STRING:	ليها
     IS_TRANS:	lyhA
        INDEX:	P34W11
      OFFSETS:	54-58
       TOKENS:	P34W11-P34W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(liyhA)
          POS:	PREP+PRON_3FS
          VOC:	li+hA
        GLOSS:	for/to+her/them/it

 INPUT STRING:	زاد
     IS_TRANS:	zAd
        INDEX:	P34W12
      OFFSETS:	59-62
       TOKENS:	P34W13-P34W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zAd_1]
   UNSPLITVOC:	(zAd)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	zAd+(null)
        GLOSS:	increase/exceed/add+he/it [verb]

 INPUT STRING:	مؤيدينه
     IS_TRANS:	m&ydynh
        INDEX:	P34W13
      OFFSETS:	63-70
       TOKENS:	P34W14-P34W14
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(m&ydynh)
          POS:	NO_FUNC
          VOC:	m&ydynh
        GLOSS:	nogloss

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P34W14
      OFFSETS:	71-72
       TOKENS:	P34W15-P34W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wi_1]
   UNSPLITVOC:	(wi)
          POS:	CONJ
          VOC:	wi
        GLOSS:	and

 INPUT STRING:	الاعلام
     IS_TRANS:	AlAElAm
        INDEX:	P34W15
      OFFSETS:	73-80
       TOKENS:	P34W16-P34W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<iEolAm_1]
   UNSPLITVOC:	(Al<iEolAm)
          POS:	DET+NOUN
          VOC:	Al+<iEolAm
        GLOSS:	the+information/media

 INPUT STRING:	اهتم
     IS_TRANS:	Ahtm
        INDEX:	P34W16
      OFFSETS:	81-85
       TOKENS:	P34W17-P34W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aihotam~_1]
   UNSPLITVOC:	(Aihotam~)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	Aihotam~+(null)
        GLOSS:	be concerned/be interested+he/it [verb]

 INPUT STRING:	بالحادثه
     IS_TRANS:	bAlHAdvh
        INDEX:	P34W17
      OFFSETS:	86-94
       TOKENS:	P34W18-P34W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAdovap_1]
   UNSPLITVOC:	(biAlHAdovap)
          POS:	PREP+DET+NOUN+NSUFF_FEM_SG
          VOC:	bi+Al+HAdov+ap
        GLOSS:	with/by+the+accident/mishap+[fem.sg.]

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P34W18
      OFFSETS:	95-96
       TOKENS:	P34W20-P34W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wi_1]
   UNSPLITVOC:	(wi)
          POS:	CONJ
          VOC:	wi
        GLOSS:	and

 INPUT STRING:	بالمرشح
     IS_TRANS:	bAlmr$H
        INDEX:	P34W19
      OFFSETS:	97-104
       TOKENS:	P34W21-P34W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mura$~aH_1]
   UNSPLITVOC:	(biAlmura$~aH)
          POS:	PREP+DET+NOUN
          VOC:	bi+Al+mura$~aH
        GLOSS:	with/by+the+candidate/nominee

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P35W1
      OFFSETS:	0-1
       TOKENS:	P35W1-P35W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wi_1]
   UNSPLITVOC:	(wi)
          POS:	CONJ
          VOC:	wi
        GLOSS:	and

 INPUT STRING:	هوا
     IS_TRANS:	hwA
        INDEX:	P35W2
      OFFSETS:	2-5
       TOKENS:	P35W2-P35W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	he/it

 INPUT STRING:	زي
     IS_TRANS:	zy
        INDEX:	P35W3
      OFFSETS:	6-8
       TOKENS:	P35W3-P35W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zay~_1]
   UNSPLITVOC:	(zay~)
          POS:	NOUN
          VOC:	zay~
        GLOSS:	something like

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P35W4
      OFFSETS:	9-11
       TOKENS:	P35W4-P35W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	SUB_CONJ
          VOC:	mA
        GLOSS:	that, whether

 INPUT STRING:	انتم
     IS_TRANS:	Antm
        INDEX:	P35W5
      OFFSETS:	12-16
       TOKENS:	P35W5-P35W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainotum_1]
   UNSPLITVOC:	(Ainotum)
          POS:	PRON_2P
          VOC:	Ainotum
        GLOSS:	you [pl.]

 INPUT STRING:	عارفين
     IS_TRANS:	EArfyn
        INDEX:	P35W6
      OFFSETS:	17-23
       TOKENS:	P35W6-P35W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EArif_1]
   UNSPLITVOC:	(EArofiyn)
          POS:	ADJ.VN+NSUFF_MASC_PL
          VOC:	EArof+iyn
        GLOSS:	knowing/having knowledge of+[masc.pl.]

 INPUT STRING:	انه
     IS_TRANS:	Anh
        INDEX:	P35W7
      OFFSETS:	24-27
       TOKENS:	P35W7-P35W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~uh)
          POS:	SUB_CONJ+PRON_3MS
          VOC:	<in~+uh
        GLOSS:	that+him/it

 INPUT STRING:	شعبيته
     IS_TRANS:	$Ebyth
        INDEX:	P35W8
      OFFSETS:	28-34
       TOKENS:	P35W9-P35W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[$aEobiy~ap_1]
   UNSPLITVOC:	($aEobiy~atuh)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_3MS
          VOC:	$aEobiy~+at+uh
        GLOSS:	popularity+[fem.sg.]+his/its

 INPUT STRING:	قله
     IS_TRANS:	qlh
        INDEX:	P35W9
      OFFSETS:	35-38
       TOKENS:	P35W11-P35W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qal~_1]
   UNSPLITVOC:	(qal~it)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	qal~+it
        GLOSS:	be less/decrease/diminish+she/it/they [verb]

 INPUT STRING:	جدا
     IS_TRANS:	jdA
        INDEX:	P35W10
      OFFSETS:	39-42
       TOKENS:	P35W12-P35W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jid~_1]
   UNSPLITVOC:	(jid~AF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	jid~+AF
        GLOSS:	very/much+[acc.indef.]

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P35W11
      OFFSETS:	43-45
       TOKENS:	P35W13-P35W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	الفتره
     IS_TRANS:	Alftrh
        INDEX:	P35W12
      OFFSETS:	46-52
       TOKENS:	P35W14-P35W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fatorap_1]
   UNSPLITVOC:	(Alfatorap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+fator+ap
        GLOSS:	the+phase/time period/interval+[fem.sg.]

 INPUT STRING:	الي
     IS_TRANS:	Aly
        INDEX:	P35W13
      OFFSETS:	53-56
       TOKENS:	P35W15-P35W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which

 INPUT STRING:	فاتت
     IS_TRANS:	fAtt
        INDEX:	P35W14
      OFFSETS:	57-61
       TOKENS:	P35W16-P35W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fAt_1]
   UNSPLITVOC:	(fAtit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	fAt+it
        GLOSS:	expire/go by+it/they/she [verb]

 INPUT STRING:	فقال
     IS_TRANS:	fqAl
        INDEX:	P36W1
      OFFSETS:	0-4
       TOKENS:	P36W1-P36W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(faqAl())
          POS:	CONJ+PV+PVSUFF_SUBJ:3MS
          VOC:	fa+qAl+(null)
        GLOSS:	so/and+say+he/it [verb]

 INPUT STRING:	نعمل
     IS_TRANS:	nEml
        INDEX:	P36W2
      OFFSETS:	5-9
       TOKENS:	P36W3-P36W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(niEomil)
          POS:	IV1P+IV
          VOC:	ni+Eomil
        GLOSS:	we+work/function/act

 INPUT STRING:	حركه
     IS_TRANS:	Hrkh
        INDEX:	P36W3
      OFFSETS:	10-14
       TOKENS:	P36W4-P36W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Harakap_1]
   UNSPLITVOC:	(Harakap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	Harak+ap
        GLOSS:	movement/activity/organization+[fem.sg.]

 INPUT STRING:	تنشط
     IS_TRANS:	tn$T
        INDEX:	P36W4
      OFFSETS:	15-19
       TOKENS:	P36W5-P36W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[na$~aT_1]
   UNSPLITVOC:	(tina$~aT)
          POS:	IV3FS+IV
          VOC:	ti+na$~aT
        GLOSS:	she/it/they+stimulate/encourage

 INPUT STRING:	الدعايه
     IS_TRANS:	AldEAyh
        INDEX:	P36W5
      OFFSETS:	20-27
       TOKENS:	P36W6-P36W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diEAyap_1]
   UNSPLITVOC:	(Ald~iEAyap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+diEAy+ap
        GLOSS:	the+propaganda/advertising+[fem.sg.]

 INPUT STRING:	صراحة
     IS_TRANS:	SrAHp
        INDEX:	P37W1
      OFFSETS:	0-5
       TOKENS:	P37W1-P37W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SarAHap_1]
   UNSPLITVOC:	(SarAHap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	SarAH+ap
        GLOSS:	explicitly/openly+[fem.sg.]

 INPUT STRING:	حركة
     IS_TRANS:	Hrkp
        INDEX:	P37W2
      OFFSETS:	6-10
       TOKENS:	P37W2-P37W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Harakap_1]
   UNSPLITVOC:	(Harakap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	Harak+ap
        GLOSS:	movement/activity/organization+[fem.sg.]

 INPUT STRING:	قديمة
     IS_TRANS:	qdymp
        INDEX:	P37W3
      OFFSETS:	11-16
       TOKENS:	P37W3-P37W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qadiym_1]
   UNSPLITVOC:	(qadiymap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	qadiym+ap
        GLOSS:	old/ancient+[fem.sg.]

 INPUT STRING:	جدا
     IS_TRANS:	jdA
        INDEX:	P37W4
      OFFSETS:	17-20
       TOKENS:	P37W4-P37W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jid~_1]
   UNSPLITVOC:	(jid~AF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	jid~+AF
        GLOSS:	very/much+[acc.indef.]

 INPUT STRING:	وطبعا
     IS_TRANS:	wTbEA
        INDEX:	P38W1
      OFFSETS:	0-5
       TOKENS:	P38W1-P38W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[TaboE_1]
   UNSPLITVOC:	(wiTaboEAF)
          POS:	CONJ+NOUN+CASE_INDEF_ACC
          VOC:	wi+TaboE+AF
        GLOSS:	and+naturally/of course+[acc.indef.]

 INPUT STRING:	هيطلع
     IS_TRANS:	hyTlE
        INDEX:	P38W2
      OFFSETS:	6-11
       TOKENS:	P38W3-P38W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[TiliE_1]
   UNSPLITVOC:	(HayiTolaE)
          POS:	FUT_PART+IV3MS+IV
          VOC:	Ha+yi+TolaE
        GLOSS:	will+he/it+appear/rise

 INPUT STRING:	يقول
     IS_TRANS:	yqwl
        INDEX:	P38W3
      OFFSETS:	12-16
       TOKENS:	P38W5-P38W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(yiquwl)
          POS:	IV3MS+IV
          VOC:	yi+quwl
        GLOSS:	he/it+say

 INPUT STRING:	نشجب
     IS_TRANS:	n$jb
        INDEX:	P38W4
      OFFSETS:	17-21
       TOKENS:	P38W6-P38W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ajab_1]
   UNSPLITVOC:	(ni$ojub)
          POS:	IV1P+IV
          VOC:	ni+$ojub
        GLOSS:	we+afflict/condemn/censure

 INPUT STRING:	وندين
     IS_TRANS:	wndyn
        INDEX:	P38W5
      OFFSETS:	22-27
       TOKENS:	P38W7-P38W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>adAn_1]
   UNSPLITVOC:	(winidiyn)
          POS:	CONJ+IV1P+IV
          VOC:	wi+ni+diyn
        GLOSS:	and+we+condemn/censure

 INPUT STRING:	ونندد
     IS_TRANS:	wnndd
        INDEX:	P38W6
      OFFSETS:	28-33
       TOKENS:	P38W9-P38W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nad~id_1]
   UNSPLITVOC:	(wininad~id)
          POS:	CONJ+IV1P+IV
          VOC:	wi+ni+nad~id
        GLOSS:	and+we+criticize/denounce

 INPUT STRING:	بصوا
     IS_TRANS:	bSwA
        INDEX:	P39W1
      OFFSETS:	0-4
       TOKENS:	P39W1-P39W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baS~_1]
   UNSPLITVOC:	(buS~uwA)
          POS:	CV+CVSUFF_SUBJ:2P
          VOC:	buS~+uwA
        GLOSS:	look+you [pl.] [verb]

 INPUT STRING:	والله
     IS_TRANS:	wAllh
        INDEX:	P39W2
      OFFSETS:	5-10
       TOKENS:	P39W2-P39W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(waAll~ah)
          POS:	PREP+NOUN_PROP
          VOC:	wa+All~ah
        GLOSS:	with+Allah/God

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P39W3
      OFFSETS:	11-14
       TOKENS:	P39W4-P39W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I

 INPUT STRING:	نقلت
     IS_TRANS:	nqlt
        INDEX:	P39W4
      OFFSETS:	15-19
       TOKENS:	P39W5-P39W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[naqal_1]
   UNSPLITVOC:	(naqalt)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	naqal+t
        GLOSS:	transfer/transport/transmit/translate+I [verb]

 INPUT STRING:	الكلام
     IS_TRANS:	AlklAm
        INDEX:	P39W5
      OFFSETS:	20-26
       TOKENS:	P39W6-P39W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kalAm_1]
   UNSPLITVOC:	(AlkalAm)
          POS:	DET+NOUN
          VOC:	Al+kalAm
        GLOSS:	the+speech/statement/remark/talk/saying

 INPUT STRING:	زى
     IS_TRANS:	zY
        INDEX:	P39W6
      OFFSETS:	27-29
       TOKENS:	P39W7-P39W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zay~_1]
   UNSPLITVOC:	(zay~)
          POS:	NOUN
          VOC:	zay~
        GLOSS:	something like

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P39W7
      OFFSETS:	30-32
       TOKENS:	P39W8-P39W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	SUB_CONJ
          VOC:	mA
        GLOSS:	that, whether

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P39W8
      OFFSETS:	33-35
       TOKENS:	P39W9-P39W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	he/it

 INPUT STRING:	بالظبط
     IS_TRANS:	bAlZbT
        INDEX:	P39W9
      OFFSETS:	36-42
       TOKENS:	P39W10-P39W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ZaboT_1]
   UNSPLITVOC:	(biAlZ~aboT)
          POS:	PREP+DET+NOUN
          VOC:	bi+Al+ZaboT
        GLOSS:	with/by+the+adjusting/regulating/precision

 INPUT STRING:	ومتدخلتش
     IS_TRANS:	wmtdxlt$
        INDEX:	P40W1
      OFFSETS:	0-8
       TOKENS:	P40W1-P40W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Aitdax~al_1]
   UNSPLITVOC:	(wimAtdax~alt$)
          POS:	CONJ+NEG_PART+PV+PVSUFF_SUBJ:1S+NEG_PART
          VOC:	wi+mA+tdax~al+t+$
        GLOSS:	and+not+intervene/interfere/meddle+I [verb]+not

 INPUT STRING:	خالص
     IS_TRANS:	xAlS
        INDEX:	P40W2
      OFFSETS:	9-13
       TOKENS:	P40W5-P40W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xAliS_1]
   UNSPLITVOC:	(xAliS)
          POS:	ADJ
          VOC:	xAliS
        GLOSS:	pure/clear

 INPUT STRING:	برأيى
     IS_TRANS:	br>yY
        INDEX:	P40W3
      OFFSETS:	14-19
       TOKENS:	P40W6-P40W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ra>oy_1]
   UNSPLITVOC:	(bira>oyiy)
          POS:	PREP+NOUN+POSS_PRON_1S
          VOC:	bi+ra>oy+iy
        GLOSS:	with/by+opinion/view/idea+my

 INPUT STRING:	وكنت
     IS_TRANS:	wknt
        INDEX:	P41W1
      OFFSETS:	0-4
       TOKENS:	P41W1-P41W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(wikunt)
          POS:	CONJ+PV+PVSUFF_SUBJ:1S
          VOC:	wi+kun+t
        GLOSS:	and+be+I

 INPUT STRING:	حاطه
     IS_TRANS:	HATh
        INDEX:	P41W2
      OFFSETS:	5-9
