 INPUT STRING:	ستار
     IS_TRANS:	wmslsl
        INDEX:	P36W7
      OFFSETS:	31-37
       TOKENS:	P36W8-P36W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[musalosal_1]
   UNSPLITVOC:	(wimusalosal)
          POS:	CONJ+NOUN
          VOC:	wi+musalosal
        GLOSS:	and+serial/sequence/soap opera

 INPUT STRING:	تاريخي
     IS_TRANS:	tAryxy
        INDEX:	P36W8
      OFFSETS:	38-44
       TOKENS:	P36W10-P36W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tAriyxiy_1]
   UNSPLITVOC:	(tAriyxiy)
          POS:	ADJ
          VOC:	tAriyxiy
        GLOSS:	historical

 INPUT STRING:	مصري
     IS_TRANS:	mSry
        INDEX:	P36W9
      OFFSETS:	45-49
       TOKENS:	P36W11-P36W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSoriy_1]
   UNSPLITVOC:	(maSoriy)
          POS:	ADJ
          VOC:	maSoriy
        GLOSS:	Egyptian

 INPUT STRING:	وبكده
     IS_TRANS:	wbkdh
        INDEX:	P36W10
      OFFSETS:	50-55
       TOKENS:	P36W12-P36W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidah_1]
   UNSPLITVOC:	(wibikidah)
          POS:	CONJ+PREP+NOUN
          VOC:	wi+bi+kidah
        GLOSS:	and+with/by+that

 INPUT STRING:	يبقى
     IS_TRANS:	ybqY
        INDEX:	P36W11
      OFFSETS:	56-60
       TOKENS:	P36W15-P36W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baqaY_1]
   UNSPLITVOC:	(yiboqaY)
          POS:	IV3MS+IV
          VOC:	yi+boqaY
        GLOSS:	he/it+remain/be

 INPUT STRING:	عملنا
     IS_TRANS:	EmlnA
        INDEX:	P36W12
      OFFSETS:	61-66
       TOKENS:	P36W16-P36W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(EamalnA)
          POS:	PV+PVSUFF_SUBJ:1P
          VOC:	Eamal+nA
        GLOSS:	do/make+we

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P36W13
      OFFSETS:	67-71
       TOKENS:	P36W17-P36W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which/who/whom

 INPUT STRING:	علينا
     IS_TRANS:	ElynA
        INDEX:	P36W14
      OFFSETS:	72-77
       TOKENS:	P36W18-P36W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaynA)
          POS:	PREP+PRON_1P
          VOC:	EalaY+nA
        GLOSS:	on/above+us

 INPUT STRING:	لفلسطين
     IS_TRANS:	lflsTyn
        INDEX:	P36W15
      OFFSETS:	78-85
       TOKENS:	P36W20-P36W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[filasoTiyn_1]
   UNSPLITVOC:	(lafilasoTiyn)
          POS:	PREP+NOUN_PROP
          VOC:	la+filasoTiyn
        GLOSS:	for/to+Palestine

 INPUT STRING:	ونتفرج
     IS_TRANS:	wntfrj
        INDEX:	P36W16
      OFFSETS:	86-92
       TOKENS:	P36W22-P36W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aitofar~aj_1]
   UNSPLITVOC:	(winitofar~aj)
          POS:	CONJ+IV1P+IV
          VOC:	wi+ni+tofar~aj
        GLOSS:	and+we+watch

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P36W17
      OFFSETS:	93-96
       TOKENS:	P36W24-P36W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	اليهود
     IS_TRANS:	Alyhwd
        INDEX:	P36W18
      OFFSETS:	97-103
       TOKENS:	P36W25-P36W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[yahuwdiy~_1]
   UNSPLITVOC:	(Alyahuwd)
          POS:	DET+NOUN
          VOC:	Al+yahuwd
        GLOSS:	the+Jews

 INPUT STRING:	وهما
     IS_TRANS:	whmA
        INDEX:	P36W19
      OFFSETS:	104-108
       TOKENS:	P36W26-P36W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hum~a_1]
   UNSPLITVOC:	(wihum~a)
          POS:	SUB_CONJ+PRON_3P
          VOC:	wi+hum~a
        GLOSS:	while+they

 INPUT STRING:	بيعيطوا
     IS_TRANS:	byEyTwA
        INDEX:	P36W20
      OFFSETS:	109-116
       TOKENS:	P36W28-P36W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eay~aT_1]
   UNSPLITVOC:	(biyiEay~aTuwA)
          POS:	PROG_PART+IV3P+IV+IVSUFF_SUBJ:P
          VOC:	bi+yi+Eay~aT+uwA
        GLOSS:	[present-tense]+they+scream/shout+they

 INPUT STRING:	تصدق
     IS_TRANS:	tSdq
        INDEX:	P37W1
      OFFSETS:	1-5
       TOKENS:	P37W1-P37W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Sad~aq_1]
   UNSPLITVOC:	(tiSad~aq)
          POS:	IV2MS+IV
          VOC:	ti+Sad~aq
        GLOSS:	you+believe/give credence to/confirm/be believed

 INPUT STRING:	طلعت
     IS_TRANS:	TlEt
        INDEX:	P37W2
      OFFSETS:	6-10
       TOKENS:	P37W2-P37W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[TiliE_1]
   UNSPLITVOC:	(TiloEit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	TiloE+it
        GLOSS:	come/appear+it/they/she

 INPUT STRING:	ف
     IS_TRANS:	f
        INDEX:	P37W3
      OFFSETS:	11-12
       TOKENS:	P37W3-P37W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	يدماغي
     IS_TRANS:	ydmAgy
        INDEX:	P37W4
      OFFSETS:	13-19
       TOKENS:	P37W4-P37W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(ydmAgy)
          POS:	TYPO
          VOC:	ydmAgy
        GLOSS:	nogloss

 INPUT STRING:	لو
     IS_TRANS:	lw
        INDEX:	P38W1
      OFFSETS:	1-3
       TOKENS:	P38W1-P38W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[law_1]
   UNSPLITVOC:	(law)
          POS:	SUB_CONJ
          VOC:	law
        GLOSS:	if

 INPUT STRING:	اليهود
     IS_TRANS:	Alyhwd
        INDEX:	P38W2
      OFFSETS:	4-10
       TOKENS:	P38W2-P38W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[yahuwdiy~_1]
   UNSPLITVOC:	(Alyahuwd)
          POS:	DET+NOUN
          VOC:	Al+yahuwd
        GLOSS:	the+Jews

 INPUT STRING:	شافوا
     IS_TRANS:	$AfwA
        INDEX:	P38W3
      OFFSETS:	11-16
       TOKENS:	P38W3-P38W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$Af_1]
   UNSPLITVOC:	($AfuwA)
          POS:	PV+PVSUFF_SUBJ:3P
          VOC:	$Af+uwA
        GLOSS:	look+they

 INPUT STRING:	حلقتين
     IS_TRANS:	Hlqtyn
        INDEX:	P38W4
      OFFSETS:	17-23
       TOKENS:	P38W4-P38W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Halaqap_1]
   UNSPLITVOC:	(Hlqitayn)
          POS:	NOUN+NSUFF_FEM_DU
          VOC:	Hlq+itayn
        GLOSS:	episode+two

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P38W5
      OFFSETS:	24-26
       TOKENS:	P38W5-P38W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bas~_1]
   UNSPLITVOC:	(bas~)
          POS:	ADV
          VOC:	bas~
        GLOSS:	only

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P38W6
      OFFSETS:	27-29
       TOKENS:	P38W6-P38W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	مسلسلاتنا
     IS_TRANS:	mslslAtnA
        INDEX:	P38W7
      OFFSETS:	30-39
       TOKENS:	P38W7-P38W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[musalosal_1]
   UNSPLITVOC:	(musalosalAtnA)
          POS:	NOUN+NSUFF_FEM_PL+POSS_PRON_1P
          VOC:	musalosal+At+nA
        GLOSS:	serial/sequence/soap opera+[fem.pl.]+our

 INPUT STRING:	حيجيلهم
     IS_TRANS:	Hyjylhm
        INDEX:	P38W8
      OFFSETS:	40-47
       TOKENS:	P38W9-P38W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jih_1]
   UNSPLITVOC:	(Hayijiy_luhum)
          POS:	FUT_PART+IV3MS+IV+PREP+PRON_3P
          VOC:	Ha+yi+jiy+li+hum
        GLOSS:	will+he/it+come+to/for+they

 INPUT STRING:	ذهول
     IS_TRANS:	*hwl
        INDEX:	P38W9
      OFFSETS:	48-52
       TOKENS:	P38W13-P38W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[*uhuwl_1]
   UNSPLITVOC:	(*uhuwl)
          POS:	NOUN
          VOC:	*uhuwl
        GLOSS:	numbness/indifference/confusion

 INPUT STRING:	وانفجار
     IS_TRANS:	wAnfjAr
        INDEX:	P38W10
      OFFSETS:	53-60
       TOKENS:	P38W14-P38W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AinofijAr_1]
   UNSPLITVOC:	(wiAinofijAr)
          POS:	CONJ+NOUN
          VOC:	wi+AinofijAr
        GLOSS:	and+explosion

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P38W11
      OFFSETS:	61-63
       TOKENS:	P38W16-P38W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	امخاخهم
     IS_TRANS:	AmxAxhm
        INDEX:	P38W12
      OFFSETS:	64-71
       TOKENS:	P38W17-P38W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mux~_1]
   UNSPLITVOC:	(AmxAxhum)
          POS:	NOUN+POSS_PRON_3P
          VOC:	AmxAx+hum
        GLOSS:	brains+their

 INPUT STRING:	ونبقى
     IS_TRANS:	wnbqY
        INDEX:	P38W13
      OFFSETS:	72-77
       TOKENS:	P38W19-P38W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baqaY_1]
   UNSPLITVOC:	(winiboqaY)
          POS:	CONJ+IV1P+IV
          VOC:	wi+ni+boqaY
        GLOSS:	and+we+be/remain/become

 INPUT STRING:	خلصنا
     IS_TRANS:	xlSnA
        INDEX:	P38W14
      OFFSETS:	78-83
       TOKENS:	P38W21-P38W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xiliS_1]
   UNSPLITVOC:	(xiliSnA)
          POS:	PV+PVSUFF_SUBJ:1P
          VOC:	xiliS+nA
        GLOSS:	get rid of/end+we

 INPUT STRING:	منهم
     IS_TRANS:	mnhm
        INDEX:	P38W15
      OFFSETS:	84-88
       TOKENS:	P38W22-P38W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(minhum)
          POS:	PREP+PRON_3P
          VOC:	min+hum
        GLOSS:	from+them

 INPUT STRING:	عادل
     IS_TRANS:	EAdl
        INDEX:	P39W1
      OFFSETS:	1-5
       TOKENS:	P39W1-P39W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAdil_1]
   UNSPLITVOC:	(EAdil)
          POS:	NOUN_PROP
          VOC:	EAdil
        GLOSS:	Adel/Adil

 INPUT STRING:	امام
     IS_TRANS:	AmAm
        INDEX:	P39W2
      OFFSETS:	6-10
       TOKENS:	P39W2-P39W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[imAm_1]
   UNSPLITVOC:	(AimAm)
          POS:	NOUN_PROP
          VOC:	AimAm
        GLOSS:	Imam

 INPUT STRING:	-
     IS_TRANS:	-
        INDEX:	P39W3
      OFFSETS:	10-11
       TOKENS:	P39W3-P39W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(-)
          POS:	PUNC
          VOC:	-
        GLOSS:	-

 INPUT STRING:	ايناس
     IS_TRANS:	AynAs
        INDEX:	P39W4
      OFFSETS:	12-17
       TOKENS:	P39W4-P39W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<iynAs_2]
   UNSPLITVOC:	(<iynAs)
          POS:	NOUN_PROP
          VOC:	<iynAs
        GLOSS:	Inas/Enas

 INPUT STRING:	الدغيدي
     IS_TRANS:	Aldgydy
        INDEX:	P39W5
      OFFSETS:	18-25
       TOKENS:	P39W5-P39W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[digiydiy_1]
   UNSPLITVOC:	(Ald~igiydiy)
          POS:	DET+NOUN_PROP
          VOC:	Al+digiydiy
        GLOSS:	the+Dguidy

 INPUT STRING:	شلة
     IS_TRANS:	$lp
        INDEX:	P39W6
      OFFSETS:	27-30
       TOKENS:	P39W6-P39W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$il~ap_1]
   UNSPLITVOC:	($il~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	$il~+ap
        GLOSS:	group/clique/groups/cliques+[fem.sg.]

 INPUT STRING:	الفساد
     IS_TRANS:	AlfsAd
        INDEX:	P39W7
      OFFSETS:	31-37
       TOKENS:	P39W7-P39W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fasAd_1]
   UNSPLITVOC:	(AlfasAd)
          POS:	DET+NOUN
          VOC:	Al+fasAd
        GLOSS:	the+corruption

 INPUT STRING:	تخيل
     IS_TRANS:	txyl
        INDEX:	P40W1
      OFFSETS:	1-5
       TOKENS:	P40W1-P40W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taxay~al_1]
   UNSPLITVOC:	(taxay~al)
          POS:	CV+CVSUFF_SUBJ:2MS
          VOC:	taxay~al+(null)
        GLOSS:	imagine+you

 INPUT STRING:	الانتاج
     IS_TRANS:	AlAntAj
        INDEX:	P40W2
      OFFSETS:	6-13
       TOKENS:	P40W2-P40W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<inotAj_1]
   UNSPLITVOC:	(Al<inotAj)
          POS:	DET+NOUN
          VOC:	Al+<inotAj
        GLOSS:	the+production/output

 INPUT STRING:	او
     IS_TRANS:	Aw
        INDEX:	P40W3
      OFFSETS:	14-16
       TOKENS:	P40W3-P40W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aw_1]
   UNSPLITVOC:	(>aw)
          POS:	CONJ
          VOC:	>aw
        GLOSS:	or

 INPUT STRING:	القنبله
     IS_TRANS:	Alqnblh
        INDEX:	P40W4
      OFFSETS:	17-24
       TOKENS:	P40W4-P40W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qunobilap_1]
   UNSPLITVOC:	(Alqunobilap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+qunobil+ap
        GLOSS:	the+bomb/shell/grenade+[fem.sg.]

 INPUT STRING:	الفتاكه
     IS_TRANS:	AlftAkh
        INDEX:	P40W5
      OFFSETS:	25-32
       TOKENS:	P40W5-P40W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[fat~Ak_1]
   UNSPLITVOC:	(Alfat~Akap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+fat~Ak+ap
        GLOSS:	the+deadly/destructive/lethal+[fem.sg.]

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P40W6
      OFFSETS:	33-37
       TOKENS:	P40W6-P40W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which/who/whom

 INPUT STRING:	هتنتج
     IS_TRANS:	htntj
        INDEX:	P40W7
      OFFSETS:	38-43
       TOKENS:	P40W7-P40W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nataj_1]
   UNSPLITVOC:	(Hatinotuj)
          POS:	FUT_PART+IV3FS+IV
          VOC:	Ha+ti+notuj
        GLOSS:	will+it/they/she+result from

 INPUT STRING:	عن
     IS_TRANS:	En
        INDEX:	P40W8
      OFFSETS:	44-46
       TOKENS:	P40W9-P40W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ean_1]
   UNSPLITVOC:	(Ean)
          POS:	PREP
          VOC:	Ean
        GLOSS:	(away) from, off, about, on, over

 INPUT STRING:	الاتنين
     IS_TRANS:	AlAtnyn
        INDEX:	P40W9
      OFFSETS:	47-54
       TOKENS:	P40W10-P40W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aivonayn_1]
   UNSPLITVOC:	(AlAitonayn)
          POS:	DET+NOUN_NUM
          VOC:	Al+Aivonayn
        GLOSS:	the+two

 INPUT STRING:	دول
     IS_TRANS:	dwl
        INDEX:	P40W10
      OFFSETS:	55-58
       TOKENS:	P40W11-P40W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dawlap_1]
   UNSPLITVOC:	(diwal)
          POS:	NOUN
          VOC:	diwal
        GLOSS:	state/country/states/countries

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P41W1
      OFFSETS:	1-2
       TOKENS:	P41W1-P41W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wa_1]
   UNSPLITVOC:	(wa)
          POS:	CONJ
          VOC:	wa
        GLOSS:	and

 INPUT STRING:	بعين
     IS_TRANS:	bEyn
        INDEX:	P41W2
      OFFSETS:	3-7
       TOKENS:	P41W2-P41W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(bEyn)
          POS:	TYPO
          VOC:	bEyn
        GLOSS:	nogloss

 INPUT STRING:	اكيد
     IS_TRANS:	Akyd
        INDEX:	P41W3
      OFFSETS:	8-12
       TOKENS:	P41W3-P41W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>akiyd_1]
   UNSPLITVOC:	(>akiyd)
          POS:	ADJ
          VOC:	>akiyd
        GLOSS:	certain/definite

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P41W4
      OFFSETS:	13-15
       TOKENS:	P41W4-P41W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyh)
          POS:	PREP+PRON_3MS
          VOC:	fiy+uh
        GLOSS:	in+it/him

 INPUT STRING:	ممول
     IS_TRANS:	mmwl
        INDEX:	P41W5
      OFFSETS:	16-20
       TOKENS:	P41W6-P41W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mimaw~il_1]
   UNSPLITVOC:	(mimaw~il)
          POS:	ADJ
          VOC:	mimaw~il
        GLOSS:	financier/financial backer

 INPUT STRING:	حقيقي
     IS_TRANS:	Hqyqy
        INDEX:	P41W6
      OFFSETS:	21-26
       TOKENS:	P41W7-P41W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Haqiyqiy_1]
   UNSPLITVOC:	(Haqiyqiy)
          POS:	ADJ
          VOC:	Haqiyqiy
        GLOSS:	true/real

 INPUT STRING:	وراء
     IS_TRANS:	wrA'
        INDEX:	P41W7
      OFFSETS:	27-31
       TOKENS:	P41W8-P41W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[warA'_1]
   UNSPLITVOC:	(warA')
          POS:	NOUN
          VOC:	warA'
        GLOSS:	behind

 INPUT STRING:	الموضوع
     IS_TRANS:	AlmwDwE
        INDEX:	P41W8
      OFFSETS:	32-39
       TOKENS:	P41W9-P41W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mawDuwE_1]
   UNSPLITVOC:	(AlmawDuwE)
          POS:	DET+NOUN
          VOC:	Al+mawDuwE
        GLOSS:	the+subject/theme/issue

 INPUT STRING:	دا
     IS_TRANS:	dA
        INDEX:	P41W9
      OFFSETS:	40-42
       TOKENS:	P41W10-P41W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this [masc.sg.]

 INPUT STRING:	ومستخبي
     IS_TRANS:	wmstxby
        INDEX:	P41W10
      OFFSETS:	43-50
       TOKENS:	P41W11-P41W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[misotaxab~iy_1]
   UNSPLITVOC:	(wimisotaxab~iy)
          POS:	CONJ+ADJ
          VOC:	wi+misotaxab~iy
        GLOSS:	and+hidden

 INPUT STRING:	وراء
     IS_TRANS:	wrA'
        INDEX:	P41W11
      OFFSETS:	51-55
       TOKENS:	P41W13-P41W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[warA'_1]
   UNSPLITVOC:	(warA')
          POS:	NOUN
          VOC:	warA'
        GLOSS:	behind

 INPUT STRING:	اسم
     IS_TRANS:	Asm
        INDEX:	P41W12
      OFFSETS:	56-59
       TOKENS:	P41W14-P41W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aisom_1]
   UNSPLITVOC:	(Aisom)
          POS:	NOUN
          VOC:	Aisom
        GLOSS:	name

 INPUT STRING:	عادل
     IS_TRANS:	EAdl
        INDEX:	P41W13
      OFFSETS:	60-64
       TOKENS:	P41W15-P41W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAdil_1]
   UNSPLITVOC:	(EAdil)
          POS:	NOUN_PROP
          VOC:	EAdil
        GLOSS:	Adel/Adil

 INPUT STRING:	امام
     IS_TRANS:	AmAm
        INDEX:	P41W14
      OFFSETS:	65-69
       TOKENS:	P41W16-P41W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[imAm_1]
   UNSPLITVOC:	(AimAm)
          POS:	NOUN_PROP
          VOC:	AimAm
        GLOSS:	Imam

 INPUT STRING:	حسبي
     IS_TRANS:	Hsby
        INDEX:	P42W1
      OFFSETS:	1-5
       TOKENS:	P42W1-P42W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Hasob_1]
   UNSPLITVOC:	(Hasobiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	Hasob+iy
        GLOSS:	reckoning/calculation+my

