 INPUT STRING:	ثقافه
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AitoEal~im_1]
   UNSPLITVOC:	(wibiyitoEal~imuwA)
          POS:	CONJ+PROG_PART+IV3P+IV+IVSUFF_SUBJ:P
          VOC:	wi+bi+yi+toEal~im+uwA
        GLOSS:	and+[present-tense]+they+learn+they

 INPUT STRING:	صح
     IS_TRANS:	SH
        INDEX:	P46W8
      OFFSETS:	48-50
       TOKENS:	P46W12-P46W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SaH~_1]
   UNSPLITVOC:	(SaH~)
          POS:	ADJ
          VOC:	SaH~
        GLOSS:	wright

 INPUT STRING:	وبياخدوا
     IS_TRANS:	wbyAxdwA
        INDEX:	P46W9
      OFFSETS:	51-59
       TOKENS:	P46W13-P46W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aaxad_1]
   UNSPLITVOC:	(wibiyAxoduwA)
          POS:	CONJ+PROG_PART+IV3P+IV+IVSUFF_SUBJ:P
          VOC:	wi+bi+y+Axod+uwA
        GLOSS:	and+[present-tense]+they+take+we

 INPUT STRING:	العلم
     IS_TRANS:	AlElm
        INDEX:	P46W10
      OFFSETS:	60-65
       TOKENS:	P46W16-P46W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eilom_1]
   UNSPLITVOC:	(AlEilom)
          POS:	DET+NOUN
          VOC:	Al+Eilom
        GLOSS:	the+knowledge/knowing

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P46W11
      OFFSETS:	66-68
       TOKENS:	P46W17-P46W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	مصادره
     IS_TRANS:	mSAdrh
        INDEX:	P46W12
      OFFSETS:	69-75
       TOKENS:	P46W18-P46W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[maSdar_1]
   UNSPLITVOC:	(maSAdruh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	maSAdr+uh
        GLOSS:	sources+its/his

 INPUT STRING:	الموثوقه
     IS_TRANS:	Almwvwqh
        INDEX:	P46W13
      OFFSETS:	76-84
       TOKENS:	P46W20-P46W20
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mawovuwq_1]
   UNSPLITVOC:	(Almawovuwqap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+mawovuwq+ap
        GLOSS:	the+trusted/reliable+[fem.sg.]

 INPUT STRING:	كان
     IS_TRANS:	kAn
        INDEX:	P47W1
      OFFSETS:	0-3
       TOKENS:	P47W1-P47W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAn)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	kAn+(null)
        GLOSS:	be+he/it

 INPUT STRING:	عندهم
     IS_TRANS:	Endhm
        INDEX:	P47W2
      OFFSETS:	4-9
       TOKENS:	P47W2-P47W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eanod_1]
   UNSPLITVOC:	(Eanoduhum)
          POS:	NOUN+POSS_PRON_3P
          VOC:	Eanod+hum
        GLOSS:	with / at+their

 INPUT STRING:	اخلاق
     IS_TRANS:	AxlAq
        INDEX:	P47W3
      OFFSETS:	10-15
       TOKENS:	P47W4-P47W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xuluq_1]
   UNSPLITVOC:	(>axolAq)
          POS:	NOUN
          VOC:	>axolAq
        GLOSS:	manners

 INPUT STRING:	وقيم
     IS_TRANS:	wqym
        INDEX:	P47W4
      OFFSETS:	16-20
       TOKENS:	P47W5-P47W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qimap_1]
   UNSPLITVOC:	(wiqiyam)
          POS:	CONJ+NOUN
          VOC:	wi+qiyam
        GLOSS:	and+values/morals/ethics

 INPUT STRING:	وثقافه
     IS_TRANS:	wvqAfh
        INDEX:	P47W5
      OFFSETS:	21-27
       TOKENS:	P47W7-P47W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vaqAfap_1]
   UNSPLITVOC:	(wivaqAfap)
          POS:	CONJ+NOUN+NSUFF_FEM_SG
          VOC:	wi+vaqAf+ap
        GLOSS:	and+culture/civilization+[fem.sg.]

 INPUT STRING:	العيب
     IS_TRANS:	AlEyb
        INDEX:	P47W6
      OFFSETS:	28-33
       TOKENS:	P47W9-P47W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eayb_1]
   UNSPLITVOC:	(AlEayb)
          POS:	DET+NOUN
          VOC:	Al+Eayb
        GLOSS:	the+shame/fault/faults/weaknesses

 INPUT STRING:	وميصحش
     IS_TRANS:	wmySH$
        INDEX:	P47W7
      OFFSETS:	34-40
       TOKENS:	P47W10-P47W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SaH~_1]
   UNSPLITVOC:	(wimA_yiSaH~$)
          POS:	CONJ+NEG_PART+IV3MS+IV+NEG_PART
          VOC:	wi+mA+yi+SaH~+$
        GLOSS:	and+not+he/it+be correct/be true+not

 INPUT STRING:	واللى
     IS_TRANS:	wAllY
        INDEX:	P47W8
      OFFSETS:	41-46
       TOKENS:	P47W14-P47W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Aill~iy_1]
   UNSPLITVOC:	(wiAill~iy)
          POS:	CONJ+REL_PRON
          VOC:	wi+Aill~iy
        GLOSS:	and+who/which/whose

 INPUT STRING:	بقت
     IS_TRANS:	bqt
        INDEX:	P47W9
      OFFSETS:	47-50
       TOKENS:	P47W16-P47W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baqaY_1]
   UNSPLITVOC:	(baqit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	baq+it
        GLOSS:	remain/last+it/they/she

 INPUT STRING:	دلوقتى
     IS_TRANS:	dlwqtY
        INDEX:	P47W10
      OFFSETS:	51-57
       TOKENS:	P47W17-P47W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dilowaqotiy_1]
   UNSPLITVOC:	(dilowaqotiy)
          POS:	ADV
          VOC:	dilowaqotiy
        GLOSS:	now

 INPUT STRING:	ثقافه
     IS_TRANS:	vqAfh
        INDEX:	P47W11
      OFFSETS:	58-63
       TOKENS:	P47W18-P47W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vaqAfap_1]
   UNSPLITVOC:	(vaqAfap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	vaqAf+ap
        GLOSS:	culture/civilization+[fem.sg.]

 INPUT STRING:	كلو
     IS_TRANS:	klw
        INDEX:	P47W12
      OFFSETS:	64-67
       TOKENS:	P47W19-P47W19
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(klw)
          POS:	TYPO
          VOC:	klw
        GLOSS:	nogloss

 INPUT STRING:	عادى
     IS_TRANS:	EAdY
        INDEX:	P47W13
      OFFSETS:	68-72
       TOKENS:	P47W20-P47W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAdiy_1]
   UNSPLITVOC:	(EAdiy)
          POS:	ADJ
          VOC:	EAdiy
        GLOSS:	ordinary/regular/normal

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P48W1
      OFFSETS:	0-4
       TOKENS:	P48W1-P48W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	that

 INPUT STRING:	قبلنا
     IS_TRANS:	qblnA
        INDEX:	P48W2
      OFFSETS:	5-10
       TOKENS:	P48W2-P48W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qabol_1]
   UNSPLITVOC:	(qabolinA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	qabol+nA
        GLOSS:	before/previously/formerly+our

 INPUT STRING:	عاصروا
     IS_TRANS:	EASrwA
        INDEX:	P48W3
      OFFSETS:	11-17
       TOKENS:	P48W4-P48W4
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[EASar_1]
   UNSPLITVOC:	(EASaruwA)
          POS:	PV+PVSUFF_SUBJ:3MP
          VOC:	EASar+uwA
        GLOSS:	be contemporaneous with+they [verb]

 INPUT STRING:	ثوره
     IS_TRANS:	vwrh
        INDEX:	P48W4
      OFFSETS:	18-22
       TOKENS:	P48W5-P48W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vawrap_1]
   UNSPLITVOC:	(vawrap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	vawr+ap
        GLOSS:	revolution/uprising+[fem.sg.]

 INPUT STRING:	وحروب
     IS_TRANS:	wHrwb
        INDEX:	P48W5
      OFFSETS:	23-28
       TOKENS:	P48W6-P48W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Harob_1]
   UNSPLITVOC:	(wiHuruwb)
          POS:	CONJ+NOUN
          VOC:	wi+Huruwb
        GLOSS:	and+wars

 INPUT STRING:	واحداث
     IS_TRANS:	wAHdAv
        INDEX:	P48W6
      OFFSETS:	29-35
       TOKENS:	P48W8-P48W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hadav_1]
   UNSPLITVOC:	(wi>aHodAv)
          POS:	CONJ+NOUN
          VOC:	wi+>aHodAv
        GLOSS:	and+events

 INPUT STRING:	سياسيه
     IS_TRANS:	syAsyh
        INDEX:	P48W7
      OFFSETS:	36-42
       TOKENS:	P48W10-P48W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[siyAsiy_1]
   UNSPLITVOC:	(siyAsiy~ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	siyAsiy~+ap
        GLOSS:	political+[fem.sg.]

 INPUT STRING:	مكانوش
     IS_TRANS:	mkAnw$
        INDEX:	P48W8
      OFFSETS:	43-49
       TOKENS:	P48W11-P48W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(mA_kAnuw$)
          POS:	NEG_PART+PV+PVSUFF_SUBJ:3P+NEG_PART
          VOC:	mA+kAn+uwA+$
        GLOSS:	not+be+they+not

 INPUT STRING:	بيقفوا
     IS_TRANS:	byqfwA
        INDEX:	P48W9
      OFFSETS:	50-56
       TOKENS:	P48W14-P48W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waqaf_1]
   UNSPLITVOC:	(biyiqafuwA)
          POS:	PROG_PART+IV3P+IV+IVSUFF_SUBJ:P
          VOC:	bi+yi+qaf+uwA
        GLOSS:	[present-tense]+they+enough+we

 INPUT STRING:	يتفرجوا
     IS_TRANS:	ytfrjwA
        INDEX:	P48W10
      OFFSETS:	57-64
       TOKENS:	P48W16-P48W16
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(ytfrjwA)
          POS:	NO_FUNC
          VOC:	ytfrjwA
        GLOSS:	nogloss

 INPUT STRING:	عليها
     IS_TRANS:	ElyhA
        INDEX:	P48W11
      OFFSETS:	65-70
       TOKENS:	P48W17-P48W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalayhA)
          POS:	PREP+PRON_3FS
          VOC:	EalaY+hA
        GLOSS:	on/above+she/it

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P48W12
      OFFSETS:	71-73
       TOKENS:	P48W19-P48W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	بعيد
     IS_TRANS:	bEyd
        INDEX:	P48W13
      OFFSETS:	74-78
       TOKENS:	P48W20-P48W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[biEiyd_1]
   UNSPLITVOC:	(biEiyd)
          POS:	NOUN
          VOC:	biEiyd
        GLOSS:	far/distant

 INPUT STRING:	بالعكس
     IS_TRANS:	bAlEks
        INDEX:	P48W14
      OFFSETS:	79-85
       TOKENS:	P48W21-P48W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eakos_1]
   UNSPLITVOC:	(biAlEakos)
          POS:	PREP+DET+NOUN
          VOC:	bi+Al+Eakos
        GLOSS:	with/by+the+opposite/contrary

 INPUT STRING:	كانوا
     IS_TRANS:	kAnwA
        INDEX:	P48W15
      OFFSETS:	86-91
       TOKENS:	P48W23-P48W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAnuwA)
          POS:	PV+PVSUFF_SUBJ:3P
          VOC:	kAn+uwA
        GLOSS:	be+they

 INPUT STRING:	محرك
     IS_TRANS:	mHrk
        INDEX:	P48W16
      OFFSETS:	92-96
       TOKENS:	P48W24-P48W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muHar~ik_1]
   UNSPLITVOC:	(muHar~ik)
          POS:	NOUN
          VOC:	muHar~ik
        GLOSS:	motor/engine

 INPUT STRING:	اساسي
     IS_TRANS:	AsAsy
        INDEX:	P48W17
      OFFSETS:	97-102
       TOKENS:	P48W25-P48W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AasAsiy_1]
   UNSPLITVOC:	(AsAsiy)
          POS:	ADJ
          VOC:	AsAsiy
        GLOSS:	basic/fundamental

 INPUT STRING:	فيها
     IS_TRANS:	fyhA
        INDEX:	P48W18
      OFFSETS:	103-107
       TOKENS:	P48W26-P48W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyhA)
          POS:	PREP+PRON_3FS
          VOC:	fiy+hA
        GLOSS:	in+her

 INPUT STRING:	كان
     IS_TRANS:	kAn
        INDEX:	P49W1
      OFFSETS:	0-3
       TOKENS:	P49W1-P49W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAn)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	kAn+(null)
        GLOSS:	be+he/it

 INPUT STRING:	عندهم
     IS_TRANS:	Endhm
        INDEX:	P49W2
      OFFSETS:	4-9
       TOKENS:	P49W2-P49W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eanod_1]
   UNSPLITVOC:	(Eanoduhum)
          POS:	NOUN+POSS_PRON_3P
          VOC:	Eanod+hum
        GLOSS:	with/at+their

 INPUT STRING:	اهتمامات
     IS_TRANS:	AhtmAmAt
        INDEX:	P49W3
      OFFSETS:	10-18
       TOKENS:	P49W4-P49W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AihotimAm_1]
   UNSPLITVOC:	(AihotimAmAt)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	AihotimAm+At
        GLOSS:	interest/concern/care/attention+[fem.pl.]

 INPUT STRING:	كتير
     IS_TRANS:	ktyr
        INDEX:	P49W4
      OFFSETS:	19-23
       TOKENS:	P49W5-P49W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kitiyr_1]
   UNSPLITVOC:	(kitiyr)
          POS:	ADJ
          VOC:	kitiyr
        GLOSS:	alot

 INPUT STRING:	بحاجات
     IS_TRANS:	bHAjAt
        INDEX:	P49W5
      OFFSETS:	24-30
       TOKENS:	P49W6-P49W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(biHAjAt)
          POS:	PREP+NOUN+NSUFF_FEM_PL
          VOC:	bi+HAj+At
        GLOSS:	with/by+thing/belongings+[fem.pl.]

 INPUT STRING:	كتير
     IS_TRANS:	ktyr
        INDEX:	P49W6
      OFFSETS:	31-35
       TOKENS:	P49W8-P49W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kitiyr_1]
   UNSPLITVOC:	(kitiyr)
          POS:	ADJ
          VOC:	kitiyr
        GLOSS:	many/much

 INPUT STRING:	واتقان
     IS_TRANS:	wAtqAn
        INDEX:	P49W7
      OFFSETS:	36-42
       TOKENS:	P49W9-P49W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<itoqAn_1]
   UNSPLITVOC:	(wi<itoqAn)
          POS:	CONJ+NOUN
          VOC:	wi+<itoqAn
        GLOSS:	and+mastery/proficiency

 INPUT STRING:	للى
     IS_TRANS:	llY
        INDEX:	P49W8
      OFFSETS:	43-46
       TOKENS:	P49W11-P49W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(lil~iy)
          POS:	PREP+REL_PRON
          VOC:	li+Alliy
        GLOSS:	for/to+that

 INPUT STRING:	بيعملوه
     IS_TRANS:	byEmlwh
        INDEX:	P49W9
      OFFSETS:	47-54
       TOKENS:	P49W13-P49W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(biyiEomiluwh)
          POS:	PROG_PART+IV3P+IV+IVSUFF_SUBJ:P+IVSUFF_DO:3MS
          VOC:	bi+yi+Eomil+uwA+uh
        GLOSS:	[present-tense]+they+do+we+them

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P50W1
      OFFSETS:	0-4
       TOKENS:	P50W1-P50W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	that

 INPUT STRING:	بيمارس
     IS_TRANS:	bymArs
        INDEX:	P50W2
      OFFSETS:	5-11
       TOKENS:	P50W2-P50W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mAris_1]
   UNSPLITVOC:	(biyimAris)
          POS:	PROG_PART+IV3MS+IV
          VOC:	bi+yi+mAris
        GLOSS:	[present-tense]+he/it+excercise

 INPUT STRING:	هوايه
     IS_TRANS:	hwAyh
        INDEX:	P50W3
      OFFSETS:	12-17
       TOKENS:	P50W4-P50W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hiwAyap_1]
   UNSPLITVOC:	(hiwAyap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	hiwAy+ap
        GLOSS:	hobby/passion+[fem.sg.]

 INPUT STRING:	بيمارسها
     IS_TRANS:	bymArshA
        INDEX:	P50W4
      OFFSETS:	18-26
       TOKENS:	P50W5-P50W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mAris_1]
   UNSPLITVOC:	(biyimArishA)
          POS:	PROG_PART+IV3MS+IV+IVSUFF_DO:3FS
          VOC:	bi+yi+mAris+hA
        GLOSS:	[present-tense]+he/it+excercise+it/them/her

 INPUT STRING:	عن
     IS_TRANS:	En
        INDEX:	P50W5
      OFFSETS:	27-29
       TOKENS:	P50W8-P50W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ean_1]
   UNSPLITVOC:	(Ean)
          POS:	PREP
          VOC:	Ean
        GLOSS:	(away) from, off, about, on, over

 INPUT STRING:	موهبه
     IS_TRANS:	mwhbh
        INDEX:	P50W6
      OFFSETS:	30-35
       TOKENS:	P50W9-P50W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mawhibap_1]
   UNSPLITVOC:	(mawhibap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	mawhib+ap
        GLOSS:	talent/gift+[fem.sg.]

 INPUT STRING:	واتقان
     IS_TRANS:	wAtqAn
        INDEX:	P50W7
      OFFSETS:	36-42
       TOKENS:	P50W10-P50W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<itoqAn_1]
   UNSPLITVOC:	(wi<itoqAn)
          POS:	CONJ+NOUN
          VOC:	wi+<itoqAn
        GLOSS:	and+mastery/proficiency

 INPUT STRING:	واللى
     IS_TRANS:	wAllY
        INDEX:	P50W8
      OFFSETS:	43-48
       TOKENS:	P50W12-P50W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Aill~iy_1]
   UNSPLITVOC:	(wiAill~iy)
          POS:	CONJ+REL_PRON
          VOC:	wi+Aill~iy
        GLOSS:	and+who/which/whose

 INPUT STRING:	رياضى
     IS_TRANS:	ryADY
        INDEX:	P50W9
      OFFSETS:	49-54
       TOKENS:	P50W14-P50W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[riyADiy_1]
   UNSPLITVOC:	(riyADiy)
          POS:	ADJ
          VOC:	riyADiy
        GLOSS:	sports/sportive

 INPUT STRING:	فرياضى
     IS_TRANS:	fryADY
        INDEX:	P50W10
      OFFSETS:	55-61
       TOKENS:	P50W15-P50W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[riyADiy_1]
   UNSPLITVOC:	(fariyADiy)
          POS:	CONJ+ADJ
          VOC:	fa+riyADiy
        GLOSS:	so/and+sporty/athletic

 INPUT STRING:	بجد
     IS_TRANS:	bjd
        INDEX:	P50W11
      OFFSETS:	62-65
       TOKENS:	P50W17-P50W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jad~_1]
   UNSPLITVOC:	(bijad~)
          POS:	PREP+NOUN
          VOC:	bi+jad~
        GLOSS:	with/by+seriousness/earnestness

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P50W12
      OFFSETS:	66-68
       TOKENS:	P50W19-P50W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	ادويه
     IS_TRANS:	Adwyh
        INDEX:	P50W13
      OFFSETS:	69-74
       TOKENS:	P50W20-P50W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dawA'_1]
   UNSPLITVOC:	(>adowiyap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	>adowiy+ap
        GLOSS:	remedies/medications+[fem.sg.]

 INPUT STRING:	ومنظر
     IS_TRANS:	wmnZr
        INDEX:	P50W14
      OFFSETS:	75-80
       TOKENS:	P50W21-P50W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[manoZar_1]
   UNSPLITVOC:	(wimanoZar)
          POS:	CONJ+NOUN
          VOC:	wi+manoZar
        GLOSS:	and+view/scenery/appearance

 INPUT STRING:	ع
     IS_TRANS:	E
        INDEX:	P50W15
      OFFSETS:	81-82
       TOKENS:	P50W23-P50W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	الفاضى
     IS_TRANS:	AlfADY
        INDEX:	P50W16
      OFFSETS:	83-89
       TOKENS:	P50W24-P50W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fADiy_1]
   UNSPLITVOC:	(AlfADiy)
          POS:	DET+ADJ
          VOC:	Al+fADiy
        GLOSS:	the+empty/unoccupied/free

 INPUT STRING:	كنا
     IS_TRANS:	knA
