 INPUT STRING:	حدث
       TOKENS:	P31W9-P31W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lis~ah_1]
   UNSPLITVOC:	(lis~ah)
          POS:	ADV
          VOC:	lis~ah
        GLOSS:	still

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P32W1
      OFFSETS:	1-3
       TOKENS:	P32W1-P32W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O, oh

 INPUT STRING:	عم
     IS_TRANS:	Em
        INDEX:	P32W2
      OFFSETS:	4-6
       TOKENS:	P32W2-P32W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eam~_1]
   UNSPLITVOC:	(Eam~)
          POS:	NOUN
          VOC:	Eam~
        GLOSS:	man

 INPUT STRING:	دي
     IS_TRANS:	dy
        INDEX:	P32W3
      OFFSETS:	7-9
       TOKENS:	P32W3-P32W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[diy_1]
   UNSPLITVOC:	(diy)
          POS:	DEM_PRON
          VOC:	diy
        GLOSS:	this/these

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P32W4
      OFFSETS:	10-13
       TOKENS:	P32W4-P32W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSor_1]
   UNSPLITVOC:	(maSor)
          POS:	NOUN_PROP
          VOC:	maSor
        GLOSS:	Egypt

 INPUT STRING:	ام
     IS_TRANS:	Am
        INDEX:	P32W5
      OFFSETS:	14-16
       TOKENS:	P32W5-P32W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>um~_1]
   UNSPLITVOC:	(>um~)
          POS:	NOUN
          VOC:	>um~
        GLOSS:	mother/maternal/mothers

 INPUT STRING:	الدنيا
     IS_TRANS:	AldnyA
        INDEX:	P32W6
      OFFSETS:	17-23
       TOKENS:	P32W6-P32W6
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[dunoyA_2]
   UNSPLITVOC:	(AldunoyA)
          POS:	DET+NOUN
          VOC:	Al+dunoyA
        GLOSS:	the+world

 INPUT STRING:	ويجعله
     IS_TRANS:	wyjElh
        INDEX:	P32W7
      OFFSETS:	24-30
       TOKENS:	P32W7-P32W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jaEal_1]
   UNSPLITVOC:	(wiyijoEaluh)
          POS:	CONJ+IV3MS+IV+IVSUFF_DO:3MS
          VOC:	wi+yi+joEal+uh
        GLOSS:	and+he/it+make/bring about/appoint+him

 INPUT STRING:	عامر
     IS_TRANS:	EAmr
        INDEX:	P32W8
      OFFSETS:	31-35
       TOKENS:	P32W10-P32W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAmir_1]
   UNSPLITVOC:	(EAmir)
          POS:	ADJ
          VOC:	EAmir
        GLOSS:	flourishing/filled

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P33W1
      OFFSETS:	20-22
       TOKENS:	P33W1-P33W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	عارفه
     IS_TRANS:	EArfh
        INDEX:	P33W2
      OFFSETS:	23-28
       TOKENS:	P33W2-P33W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EArif_1]
   UNSPLITVOC:	(EArofuh)
          POS:	ADJ+PRON_3MS
          VOC:	EArof+uh
        GLOSS:	knowing/having knowledge of+him

 INPUT STRING:	بصراحه
     IS_TRANS:	bSrAHh
        INDEX:	P33W3
      OFFSETS:	29-35
       TOKENS:	P33W4-P33W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SarAHap_1]
   UNSPLITVOC:	(biSarAHap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	bi+SarAH+ap
        GLOSS:	with/by+sincerity/candor/frankness/explicitly/openly+[fem.sg.]

 INPUT STRING:	ضحكت
     IS_TRANS:	DHkt
        INDEX:	P33W4
      OFFSETS:	36-40
       TOKENS:	P33W6-P33W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DiHik_1]
   UNSPLITVOC:	(DiHikt)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	DiHik+t
        GLOSS:	laugh+I

 INPUT STRING:	ليه
     IS_TRANS:	lyh
        INDEX:	P33W5
      OFFSETS:	41-44
       TOKENS:	P33W7-P33W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[layoh_1]
   UNSPLITVOC:	(layoh)
          POS:	REL_ADV
          VOC:	layoh
        GLOSS:	why

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P33W6
      OFFSETS:	45-47
       TOKENS:	P33W8-P33W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bas~_1]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	لازم
     IS_TRANS:	lAzm
        INDEX:	P33W7
      OFFSETS:	48-52
       TOKENS:	P33W9-P33W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lAzim_1]
   UNSPLITVOC:	(lAzim)
          POS:	ADJ
          VOC:	lAzim
        GLOSS:	necessary/required/needed

 INPUT STRING:	اضحك
     IS_TRANS:	ADHk
        INDEX:	P33W8
      OFFSETS:	53-57
       TOKENS:	P33W10-P33W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DiHik_1]
   UNSPLITVOC:	(AaDoHak)
          POS:	IV1S+IV
          VOC:	Aa+DoHak
        GLOSS:	I+laugh

 INPUT STRING:	ولازم
     IS_TRANS:	wlAzm
        INDEX:	P34W1
      OFFSETS:	1-6
       TOKENS:	P34W1-P34W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lAzim_1]
   UNSPLITVOC:	(wilAzim)
          POS:	CONJ+ADJ
          VOC:	wi+lAzim
        GLOSS:	and+necessary/required/needed

 INPUT STRING:	اقول
     IS_TRANS:	Aqwl
        INDEX:	P34W2
      OFFSETS:	7-11
       TOKENS:	P34W3-P34W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(Aaquwl)
          POS:	IV1S+IV
          VOC:	Aa+quwl
        GLOSS:	I+say

 INPUT STRING:	حسبي
     IS_TRANS:	Hsby
        INDEX:	P34W3
      OFFSETS:	12-16
       TOKENS:	P34W4-P34W5
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Hasob_1]
   UNSPLITVOC:	(Hasobiy)
          POS:	NOUN.VN+POSS_PRON_1S
          VOC:	Hasob+iy
        GLOSS:	according to+my

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P34W4
      OFFSETS:	17-21
       TOKENS:	P34W6-P34W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	Allah

 INPUT STRING:	ونعم
     IS_TRANS:	wnEm
        INDEX:	P34W5
      OFFSETS:	22-26
       TOKENS:	P34W7-P34W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[niEom_1]
   UNSPLITVOC:	(winiEom)
          POS:	CONJ+NOUN.VN
          VOC:	wi+niEom
        GLOSS:	and+wonderful

 INPUT STRING:	الوكيل
     IS_TRANS:	Alwkyl
        INDEX:	P34W6
      OFFSETS:	27-33
       TOKENS:	P34W9-P34W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wakiyl_1]
   UNSPLITVOC:	(Alwakiyl)
          POS:	DET+NOUN
          VOC:	Al+wakiyl
        GLOSS:	the+representative/agent

 INPUT STRING:	معقوله
     IS_TRANS:	mEqwlh
        INDEX:	P35W1
      OFFSETS:	1-7
       TOKENS:	P35W1-P35W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEoquwl_1]
   UNSPLITVOC:	(maEoquwlap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	maEoquwl+ap
        GLOSS:	plausible/logical/reasonable+[fem.sg.]

 INPUT STRING:	الكلام
     IS_TRANS:	AlklAm
        INDEX:	P35W2
      OFFSETS:	8-14
       TOKENS:	P35W2-P35W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kalAm_1]
   UNSPLITVOC:	(AlkalAm)
          POS:	DET+NOUN
          VOC:	Al+kalAm
        GLOSS:	the+speech/statement/remark/talk/saying

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P35W3
      OFFSETS:	15-19
       TOKENS:	P35W3-P35W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who/which/whose

 INPUT STRING:	بنشوفه
     IS_TRANS:	bn$wfh
        INDEX:	P35W4
      OFFSETS:	20-26
       TOKENS:	P35W4-P35W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$Af_1]
   UNSPLITVOC:	(bini$uwfuh)
          POS:	PROG_PART+IV1P+IV+IVSUFF_DO:3MS
          VOC:	bi+ni+$uwf+uh
        GLOSS:	[present-tense]+we+look+it/him

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P35W5
      OFFSETS:	27-29
       TOKENS:	P35W7-P35W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	الافلام
     IS_TRANS:	AlAflAm
        INDEX:	P35W6
      OFFSETS:	30-37
       TOKENS:	P35W8-P35W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[fiylm_1]
   UNSPLITVOC:	(AlAfolAm)
          POS:	DET+NOUN
          VOC:	Al+>afolAm
        GLOSS:	the+film/movie/films/movies

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P35W7
      OFFSETS:	38-40
       TOKENS:	P35W9-P35W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	بيحصل
     IS_TRANS:	byHSl
        INDEX:	P35W8
      OFFSETS:	41-46
       TOKENS:	P35W10-P35W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HaSal_1]
   UNSPLITVOC:	(biyiHoSal)
          POS:	PROG_PART+IV3MS+IV
          VOC:	bi+yi+HoSal
        GLOSS:	[present-tense]+he/it+occur/happen/take place

 INPUT STRING:	حقيقي
     IS_TRANS:	Hqyqy
        INDEX:	P35W9
      OFFSETS:	47-52
       TOKENS:	P35W12-P35W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Haqiyqiy_1]
   UNSPLITVOC:	(Haqiyqiy)
          POS:	ADJ
          VOC:	Haqiyqiy
        GLOSS:	true/real

 INPUT STRING:	لاحول
     IS_TRANS:	lAHwl
        INDEX:	P36W1
      OFFSETS:	1-6
       TOKENS:	P36W1-P36W1
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(lAHwl)
          POS:	NO_FUNC
          VOC:	lAHwl
        GLOSS:	nogloss

 INPUT STRING:	ولاقوه
     IS_TRANS:	wlAqwh
        INDEX:	P36W2
      OFFSETS:	7-13
       TOKENS:	P36W2-P36W2
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(wlAqwh)
          POS:	NO_FUNC
          VOC:	wlAqwh
        GLOSS:	nogloss

 INPUT STRING:	الا
     IS_TRANS:	AlA
        INDEX:	P36W3
      OFFSETS:	14-17
       TOKENS:	P36W3-P36W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<il~A_1]
   UNSPLITVOC:	(<il~A)
          POS:	PREP
          VOC:	<il~A
        GLOSS:	except

 INPUT STRING:	بالله
     IS_TRANS:	bAllh
        INDEX:	P36W4
      OFFSETS:	18-23
       TOKENS:	P36W4-P36W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(biAll~ah)
          POS:	PREP+NOUN
          VOC:	bi+All~ah
        GLOSS:	with/by+Allah

 INPUT STRING:	العلي
     IS_TRANS:	AlEly
        INDEX:	P36W5
      OFFSETS:	24-29
       TOKENS:	P36W6-P36W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Ealiy~_1]
   UNSPLITVOC:	(AlEaliy~)
          POS:	DET+ADJ
          VOC:	Al+Ealiy~
        GLOSS:	the+supreme/high

 INPUT STRING:	العظيم
     IS_TRANS:	AlEZym
        INDEX:	P36W6
      OFFSETS:	30-36
       TOKENS:	P36W7-P36W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EaZiym_1]
   UNSPLITVOC:	(AlEaZiym)
          POS:	DET+ADJ
          VOC:	Al+EaZiym
        GLOSS:	the+great/powerful

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P37W1
      OFFSETS:	1-4
       TOKENS:	P37W1-P37W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I

 INPUT STRING:	كده
     IS_TRANS:	kdh
        INDEX:	P37W2
      OFFSETS:	5-8
       TOKENS:	P37W2-P37W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidah_1]
   UNSPLITVOC:	(kidah)
          POS:	NOUN
          VOC:	kidah
        GLOSS:	like this

 INPUT STRING:	تمام
     IS_TRANS:	tmAm
        INDEX:	P37W3
      OFFSETS:	9-13
       TOKENS:	P37W3-P37W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tamAm_1]
   UNSPLITVOC:	(tamAm)
          POS:	NOUN
          VOC:	tamAm
        GLOSS:	exact/complete/exactly/completely

 INPUT STRING:	التمام
     IS_TRANS:	AltmAm
        INDEX:	P37W4
      OFFSETS:	14-20
       TOKENS:	P37W4-P37W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tamAm_1]
   UNSPLITVOC:	(Alt~amAm)
          POS:	DET+NOUN
          VOC:	Al+tamAm
        GLOSS:	the+exact/complete/exactly/completely

 INPUT STRING:	الحمدلله
     IS_TRANS:	AlHmdllh
        INDEX:	P37W5
      OFFSETS:	21-29
       TOKENS:	P37W5-P37W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(AlHmdllh)
          POS:	TYPO
          VOC:	AlHmdllh
        GLOSS:	nogloss

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P37W6
      OFFSETS:	30-32
       TOKENS:	P37W6-P37W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	بركب
     IS_TRANS:	brkb
        INDEX:	P37W7
      OFFSETS:	33-37
       TOKENS:	P37W7-P37W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[rikib_1]
   UNSPLITVOC:	(bi>arokab)
          POS:	PROG_PART+IV1S+IV
          VOC:	bi+>a+rokab
        GLOSS:	[present-tense]+I+get on/board/ride/climb

 INPUT STRING:	قطر
     IS_TRANS:	qTr
        INDEX:	P37W8
      OFFSETS:	38-41
       TOKENS:	P37W9-P37W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qaTor_1]
   UNSPLITVOC:	(qaTor)
          POS:	NOUN
          VOC:	qaTor
        GLOSS:	train

 INPUT STRING:	خالص
     IS_TRANS:	xAlS
        INDEX:	P37W9
      OFFSETS:	42-46
       TOKENS:	P37W10-P37W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xAliS_1]
   UNSPLITVOC:	(xAliS)
          POS:	ADV
          VOC:	xAliS
        GLOSS:	never

 INPUT STRING:	يعني
     IS_TRANS:	yEny
        INDEX:	P37W10
      OFFSETS:	47-51
       TOKENS:	P37W11-P37W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EanaY_1]
   UNSPLITVOC:	(yaEoniy)
          POS:	IV3MS+IV
          VOC:	ya+Eoniy
        GLOSS:	he/it+mean

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P37W11
      OFFSETS:	52-54
       TOKENS:	P37W12-P37W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	السليم
     IS_TRANS:	Alslym
        INDEX:	P37W12
      OFFSETS:	55-61
       TOKENS:	P37W13-P37W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[saliym_1]
   UNSPLITVOC:	(Als~aliym)
          POS:	DET+ADJ
          VOC:	Al+saliym
        GLOSS:	the+safe

 INPUT STRING:	تسلم
     IS_TRANS:	tslm
        INDEX:	P38W1
      OFFSETS:	1-5
       TOKENS:	P38W1-P38W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sal~im_1]
   UNSPLITVOC:	(tisal~im)
          POS:	IV3FS+IV
          VOC:	ti+sal~im
        GLOSS:	she/it+be safe/be faultless

 INPUT STRING:	ايدك
     IS_TRANS:	Aydk
        INDEX:	P38W2
      OFFSETS:	6-10
       TOKENS:	P38W2-P38W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<iyd_1]
   UNSPLITVOC:	(<iydak)
          POS:	NOUN+POSS_PRON_2MS
          VOC:	<iyd+ak
        GLOSS:	hand+your

 INPUT STRING:	ياميدو
     IS_TRANS:	yAmydw
        INDEX:	P38W3
      OFFSETS:	11-17
       TOKENS:	P38W4-P38W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miyduw_1]
   UNSPLITVOC:	(yAmiyduw)
          POS:	VOC_PART+NOUN_PROP
          VOC:	yA+miyduw
        GLOSS:	oh+Mido

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P39W1
      OFFSETS:	1-3
       TOKENS:	P39W1-P39W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	اختك
     IS_TRANS:	Axtk
        INDEX:	P39W2
      OFFSETS:	4-8
       TOKENS:	P39W2-P39W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>uxot_1]
   UNSPLITVOC:	(>uxotak)
          POS:	NOUN+POSS_PRON_2MS
          VOC:	>uxot+ak
        GLOSS:	sister/counterpart/sisters+your

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P39W3
      OFFSETS:	9-11
       TOKENS:	P39W4-P39W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P39W4
      OFFSETS:	12-16
       TOKENS:	P39W5-P39W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	Allah

 INPUT STRING:	شوشو
     IS_TRANS:	$w$w
        INDEX:	P39W5
      OFFSETS:	17-21
       TOKENS:	P39W6-P39W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$uw$uw_1]
   UNSPLITVOC:	($uw$uw)
          POS:	NOUN_PROP
          VOC:	$uw$uw
        GLOSS:	shosho

 INPUT STRING:	الواحد
     IS_TRANS:	AlwAHd
        INDEX:	P40W1
      OFFSETS:	1-7
       TOKENS:	P40W1-P40W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wAHid_1]
   UNSPLITVOC:	(AlwAHid)
          POS:	DET+NOUN_NUM
          VOC:	Al+wAHid
        GLOSS:	the+alone/ individual/ single

 INPUT STRING:	بعد
     IS_TRANS:	bEd
        INDEX:	P40W2
      OFFSETS:	8-11
       TOKENS:	P40W2-P40W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEod_1]
   UNSPLITVOC:	(baEod)
          POS:	NOUN
          VOC:	baEod
        GLOSS:	after

 INPUT STRING:	كده
     IS_TRANS:	kdh
        INDEX:	P40W3
      OFFSETS:	12-15
       TOKENS:	P40W3-P40W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidah_1]
   UNSPLITVOC:	(kidah)
          POS:	NOUN
          VOC:	kidah
        GLOSS:	like this

 INPUT STRING:	يركب
     IS_TRANS:	yrkb
        INDEX:	P40W4
      OFFSETS:	16-20
       TOKENS:	P40W4-P40W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rikib_1]
   UNSPLITVOC:	(yirokab)
          POS:	IV3MS+IV
          VOC:	yi+rokab
        GLOSS:	he+get on/board/ride/climb

 INPUT STRING:	القطار
     IS_TRANS:	AlqTAr
        INDEX:	P40W5
      OFFSETS:	21-27
       TOKENS:	P40W5-P40W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qiTAr_1]
   UNSPLITVOC:	(AlqiTAr)
          POS:	DET+NOUN
          VOC:	Al+qiTAr
        GLOSS:	the+train

 INPUT STRING:	لابس
     IS_TRANS:	lAbs
        INDEX:	P40W6
      OFFSETS:	28-32
       TOKENS:	P40W6-P40W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lAbis_1]
   UNSPLITVOC:	(lAbis)
          POS:	ADJ.VN
          VOC:	lAbis
        GLOSS:	wearing

 INPUT STRING:	مايوه
     IS_TRANS:	mAywh
        INDEX:	P40W7
      OFFSETS:	33-38
       TOKENS:	P40W7-P40W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mAyawh_1]
   UNSPLITVOC:	(mAyawh)
          POS:	NOUN
          VOC:	mAyawh
        GLOSS:	swimming suit

 INPUT STRING:	علشان
     IS_TRANS:	El$An
        INDEX:	P40W8
      OFFSETS:	39-44
       TOKENS:	P40W8-P40W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$An_1]
   UNSPLITVOC:	(Eala$a>on)
          POS:	PREP+NOUN
          VOC:	EalaY+$An
        GLOSS:	on/above+matter

 INPUT STRING:	مايتسرقش
     IS_TRANS:	mAytsrq$
        INDEX:	P40W9
      OFFSETS:	45-53
       TOKENS:	P40W10-P40W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
