 INPUT STRING:	بثينة
 INPUT STRING:	براس
     IS_TRANS:	brAs
        INDEX:	P21W19
      OFFSETS:	102-106
       TOKENS:	P21W26-P21W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rAs_1]
   UNSPLITVOC:	(birAs)
          POS:	PREP+NOUN
          VOC:	bi+rAs
        GLOSS:	with/by+head/top

 INPUT STRING:	الراجل
     IS_TRANS:	AlrAjl
        INDEX:	P21W20
      OFFSETS:	107-113
       TOKENS:	P21W28-P21W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rAjil_1]
   UNSPLITVOC:	(Alr~Ajil)
          POS:	DET+NOUN
          VOC:	Al+rAjil
        GLOSS:	the+man

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P21W21
      OFFSETS:	114-116
       TOKENS:	P21W29-P21W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P21W22
      OFFSETS:	117-119
       TOKENS:	P21W30-P21W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all, entire, every, whole

 INPUT STRING:	شيء
     IS_TRANS:	$y'
        INDEX:	P21W23
      OFFSETS:	120-123
       TOKENS:	P21W31-P21W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ay'_1]
   UNSPLITVOC:	($ay')
          POS:	NOUN
          VOC:	$ay'
        GLOSS:	something/thing/things

 INPUT STRING:	اتقوا
     IS_TRANS:	AtqwA
        INDEX:	P22W1
      OFFSETS:	0-5
       TOKENS:	P22W1-P22W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Ait~aqaY_1]
   UNSPLITVOC:	(Ait~aquwA)
          POS:	CV+CVSUFF_SUBJ:2MS
          VOC:	Ait~aq+uwA
        GLOSS:	beware/be on guard+you

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P22W2
      OFFSETS:	6-10
       TOKENS:	P22W2-P22W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	Allah/God

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P22W3
      OFFSETS:	11-13
       TOKENS:	P22W3-P22W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	نساء
     IS_TRANS:	nsA'
        INDEX:	P22W4
      OFFSETS:	14-18
       TOKENS:	P22W4-P22W4
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nisA'_1]
   UNSPLITVOC:	(nisA')
          POS:	NOUN
          VOC:	nisA'
        GLOSS:	women

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P22W5
      OFFSETS:	19-22
       TOKENS:	P22W5-P22W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSor_1]
   UNSPLITVOC:	(maSor)
          POS:	NOUN_PROP
          VOC:	maSor
        GLOSS:	Egypt

