 INPUT STRING:	اكاذيب
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(-)
          POS:	PUNC
          VOC:	-
        GLOSS:	-

 INPUT STRING:	كذبة
     IS_TRANS:	k*bp
        INDEX:	P82W3
      OFFSETS:	6-10
       TOKENS:	P82W3-P82W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[ki*bap_1]
   UNSPLITVOC:	(k*bap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	k*b+ap
        GLOSS:	lie+[fem.sg.]

 INPUT STRING:	القمة
     IS_TRANS:	Alqmp
        INDEX:	P82W4
      OFFSETS:	11-16
       TOKENS:	P82W4-P82W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qim~ap_1]
   UNSPLITVOC:	(Alqim~ap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+qim~+ap
        GLOSS:	the+summit/summits+[fem.sg.]

 INPUT STRING:	العربية
     IS_TRANS:	AlErbyp
        INDEX:	P82W5
      OFFSETS:	17-24
       TOKENS:	P82W5-P82W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Earabiy~ap_1]
   UNSPLITVOC:	(AlEarabiy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+Earabiy~+ap
        GLOSS:	the+Arab/Arabic+[fem.sg.]

 INPUT STRING:	لكل
     IS_TRANS:	lkl
        INDEX:	P83W1
      OFFSETS:	1-4
       TOKENS:	P83W1-P83W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(likul~)
          POS:	PREP+NOUN_QUANT
          VOC:	li+kul~
        GLOSS:	for/to+all, entire, every, whole

 INPUT STRING:	قمة
     IS_TRANS:	qmp
        INDEX:	P83W2
      OFFSETS:	5-8
       TOKENS:	P83W3-P83W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qim~ap_1]
   UNSPLITVOC:	(qim~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	qim~+ap
        GLOSS:	summit/summits+[fem.sg.]

 INPUT STRING:	قاع
     IS_TRANS:	qAE
        INDEX:	P83W3
      OFFSETS:	9-12
       TOKENS:	P83W4-P83W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAE_1]
   UNSPLITVOC:	(qAE)
          POS:	NOUN
          VOC:	qAE
        GLOSS:	bottom/floor/bottom/floor/depths

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P83W4
      OFFSETS:	12-13
       TOKENS:	P83W5-P83W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	ولكل
     IS_TRANS:	wlkl
        INDEX:	P83W5
      OFFSETS:	14-18
       TOKENS:	P83W6-P83W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(wilikul~)
          POS:	CONJ+PREP+NOUN_QUANT
          VOC:	wi+li+kul~
        GLOSS:	and+for/to+every

 INPUT STRING:	قاع
     IS_TRANS:	qAE
        INDEX:	P83W6
      OFFSETS:	19-22
       TOKENS:	P83W9-P83W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAE_1]
   UNSPLITVOC:	(qAE)
          POS:	NOUN
          VOC:	qAE
        GLOSS:	bottom/floor/bottom/floor/depths

 INPUT STRING:	قمة
     IS_TRANS:	qmp
        INDEX:	P83W7
      OFFSETS:	23-26
       TOKENS:	P83W10-P83W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qim~ap_1]
   UNSPLITVOC:	(qim~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	qim~+ap
        GLOSS:	summit/summits+[fem.sg.]

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P83W8
      OFFSETS:	26-27
       TOKENS:	P83W11-P83W11
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	إلا
     IS_TRANS:	<lA
        INDEX:	P83W9
      OFFSETS:	28-31
       TOKENS:	P83W12-P83W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<il~A_1]
   UNSPLITVOC:	(<il~A)
          POS:	PREP
          VOC:	<il~A
        GLOSS:	but/except

 INPUT STRING:	القمة
     IS_TRANS:	Alqmp
        INDEX:	P83W10
      OFFSETS:	32-37
       TOKENS:	P83W13-P83W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qim~ap_1]
   UNSPLITVOC:	(Alqim~ap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+qim~+ap
        GLOSS:	the+summit/summits+[fem.sg.]

 INPUT STRING:	العربية
     IS_TRANS:	AlErbyp
        INDEX:	P83W11
      OFFSETS:	38-45
       TOKENS:	P83W14-P83W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Earabiy~ap_1]
   UNSPLITVOC:	(AlEarabiy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+Earabiy~+ap
        GLOSS:	the+Arab/Arabic+[fem.sg.]

 INPUT STRING:	التى
     IS_TRANS:	AltY
        INDEX:	P83W12
      OFFSETS:	46-50
       TOKENS:	P83W15-P83W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ail~atiy_1]
   UNSPLITVOC:	(Al~atiy)
          POS:	REL_PRON
          VOC:	Al~atiy
        GLOSS:	which

 INPUT STRING:	تعتبر
     IS_TRANS:	tEtbr
        INDEX:	P83W13
      OFFSETS:	51-56
       TOKENS:	P83W16-P83W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AiEtabar_1]
   UNSPLITVOC:	(tiEtbr)
          POS:	IV3FS+IV_PASS
          VOC:	ti+Etbr
        GLOSS:	it/they/she+be considered

 INPUT STRING:	الوحيدة
     IS_TRANS:	AlwHydp
        INDEX:	P83W14
      OFFSETS:	57-64
       TOKENS:	P83W17-P83W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waHiyd_1]
   UNSPLITVOC:	(AlwaHiydap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+waHiyd+ap
        GLOSS:	the+only/sole/alone/exclusive+[fem.sg.]

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P83W15
      OFFSETS:	65-67
       TOKENS:	P83W18-P83W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	نوعها
     IS_TRANS:	nwEhA
        INDEX:	P83W16
      OFFSETS:	68-73
       TOKENS:	P83W19-P83W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nawE_1]
   UNSPLITVOC:	(nawEhA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	nawE+hA
        GLOSS:	type/kind/form+its/their/her

 INPUT STRING:	التى
     IS_TRANS:	AltY
        INDEX:	P83W17
      OFFSETS:	74-78
       TOKENS:	P83W21-P83W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ail~atiy_1]
   UNSPLITVOC:	(Al~atiy)
          POS:	REL_PRON
          VOC:	Al~atiy
        GLOSS:	which

 INPUT STRING:	تنفرد
     IS_TRANS:	tnfrd
        INDEX:	P83W18
      OFFSETS:	79-84
       TOKENS:	P83W22-P83W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Ainfarad_1]
   UNSPLITVOC:	(tinfrd)
          POS:	IV3FS+IV
          VOC:	ti+nfrd
        GLOSS:	it/they/she+be unique

 INPUT STRING:	بأنها
     IS_TRANS:	b>nhA
        INDEX:	P83W19
      OFFSETS:	85-90
       TOKENS:	P83W23-P83W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>an~a_1]
   UNSPLITVOC:	(bi>an~ahA)
          POS:	PREP+SUB_CONJ+PRON_3FS
          VOC:	bi+>an~a+hA
        GLOSS:	with+that+it/they/she

 INPUT STRING:	قمة
     IS_TRANS:	qmp
        INDEX:	P83W20
      OFFSETS:	91-94
       TOKENS:	P83W26-P83W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qim~ap_1]
   UNSPLITVOC:	(qim~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	qim~+ap
        GLOSS:	summit/summits+[fem.sg.]

 INPUT STRING:	بلا
     IS_TRANS:	blA
        INDEX:	P83W21
      OFFSETS:	95-98
       TOKENS:	P83W27-P83W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[bi_1]
   UNSPLITVOC:	(bilA)
          POS:	PREP+NEG_PART
          VOC:	bi+lA
        GLOSS:	with+no (without)

 INPUT STRING:	قاع
     IS_TRANS:	qAE
        INDEX:	P83W22
      OFFSETS:	99-102
       TOKENS:	P83W29-P83W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAE_1]
   UNSPLITVOC:	(qAE)
          POS:	NOUN
          VOC:	qAE
        GLOSS:	bottom/floor/bottom/floor/depths

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P83W23
      OFFSETS:	102-103
       TOKENS:	P83W30-P83W30
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	وذلك
     IS_TRANS:	w*lk
        INDEX:	P83W24
      OFFSETS:	104-108
       TOKENS:	P83W31-P83W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[*`lika_1]
   UNSPLITVOC:	(wa*`lika)
          POS:	CONJ+DEM_PRON_MS
          VOC:	wa+*`lika
        GLOSS:	and+that

 INPUT STRING:	لأن
     IS_TRANS:	l>n
        INDEX:	P83W25
      OFFSETS:	109-112
       TOKENS:	P83W33-P83W34
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>an~a_1]
   UNSPLITVOC:	(li>an~a)
          POS:	PREP+SUB_CONJ
          VOC:	li+>an~a
        GLOSS:	for+that

 INPUT STRING:	أغلب
     IS_TRANS:	>glb
        INDEX:	P83W26
      OFFSETS:	113-117
       TOKENS:	P83W35-P83W35
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>agolab_1]
   UNSPLITVOC:	(>agolab)
          POS:	ADJ_COMP
          VOC:	>agolab
        GLOSS:	stronger/strongest

 INPUT STRING:	الحكومات
     IS_TRANS:	AlHkwmAt
        INDEX:	P83W27
      OFFSETS:	118-126
       TOKENS:	P83W36-P83W36
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hukuwmap_1]
   UNSPLITVOC:	(AlHukuwmAt)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+Hukuwm+At
        GLOSS:	the+governments/administrations+[fem.pl.]

 INPUT STRING:	والرؤوس
     IS_TRANS:	wAlr&ws
        INDEX:	P83W28
      OFFSETS:	127-134
       TOKENS:	P83W37-P83W38
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ra>os_1]
   UNSPLITVOC:	(wiAlru&uws)
          POS:	CONJ+DET+NOUN
          VOC:	wi+Al+ru&uws
        GLOSS:	and+the+heads/tops

 INPUT STRING:	الحاكمة
     IS_TRANS:	AlHAkmp
        INDEX:	P83W29
      OFFSETS:	135-142
       TOKENS:	P83W39-P83W39
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAkim_1]
   UNSPLITVOC:	(AlHAkimap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+HAkim+ap
        GLOSS:	the+ruling+[fem.sg.]

 INPUT STRING:	أتت
     IS_TRANS:	>tt
        INDEX:	P83W30
      OFFSETS:	143-146
       TOKENS:	P83W40-P83W40
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>atay_1]
   UNSPLITVOC:	(>atit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	>at+it
        GLOSS:	arrive/come/reach+it/they/she [verb]

 INPUT STRING:	إلى
     IS_TRANS:	<lY
        INDEX:	P83W31
      OFFSETS:	147-150
       TOKENS:	P83W41-P83W41
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AilaY_1]
   UNSPLITVOC:	(AilaY)
          POS:	PREP
          VOC:	AilaY
        GLOSS:	to/towards

 INPUT STRING:	مواقعها
     IS_TRANS:	mwAqEhA
        INDEX:	P83W32
      OFFSETS:	151-158
       TOKENS:	P83W42-P83W43
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mawqiE_1]
   UNSPLITVOC:	(mwAqEahA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	mwAqE+hA
        GLOSS:	places+its/their/her

 INPUT STRING:	بطريقة
     IS_TRANS:	bTryqp
        INDEX:	P83W33
      OFFSETS:	159-165
       TOKENS:	P83W44-P83W45
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tariyqap_1]
   UNSPLITVOC:	(biTariyqap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	bi+Tariyq+ap
        GLOSS:	with/by+method/procedure/methods/manners+[fem.sg.]

 INPUT STRING:	غير
     IS_TRANS:	gyr
        INDEX:	P83W34
      OFFSETS:	166-169
       TOKENS:	P83W46-P83W46
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[gayor_1]
   UNSPLITVOC:	(gayor)
          POS:	NOUN
          VOC:	gayor
        GLOSS:	not/other

 INPUT STRING:	شرعية
     IS_TRANS:	$rEyp
        INDEX:	P83W35
      OFFSETS:	170-175
       TOKENS:	P83W47-P83W47
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$aroEiy_1]
   UNSPLITVOC:	($aroEiy~ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	$aroEiy~+ap
        GLOSS:	legitimate/lawful/legal/legislative+[fem.sg.]

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P83W36
      OFFSETS:	175-176
       TOKENS:	P83W48-P83W48
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	إما
     IS_TRANS:	<mA
        INDEX:	P83W37
      OFFSETS:	177-180
       TOKENS:	P83W49-P83W49
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<im~A_1]
   UNSPLITVOC:	(<im~A)
          POS:	CONJ
          VOC:	<im~A
        GLOSS:	Either, whether, if

 INPUT STRING:	بتزوير
     IS_TRANS:	btzwyr
        INDEX:	P83W38
      OFFSETS:	181-187
       TOKENS:	P83W50-P83W51
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tazowiyr_1]
   UNSPLITVOC:	(bitazowiyr)
          POS:	PREP+NOUN
          VOC:	bi+tazowiyr
        GLOSS:	with/by+forgery/falsification

 INPUT STRING:	الانتخابات
     IS_TRANS:	AlAntxAbAt
        INDEX:	P83W39
      OFFSETS:	188-198
       TOKENS:	P83W52-P83W52
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[{inotixAb_1]
   UNSPLITVOC:	(AlAinotixAbAt)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+{inotixAb+At
        GLOSS:	the+elections/selections+[fem.pl.]

 INPUT STRING:	أو
     IS_TRANS:	>w
        INDEX:	P83W40
      OFFSETS:	199-201
       TOKENS:	P83W53-P83W53
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>awo_1]
   UNSPLITVOC:	(>awo)
          POS:	CONJ
          VOC:	>awo
        GLOSS:	Or, if not, unless, except if, except when

 INPUT STRING:	بانقلابات
     IS_TRANS:	bAnqlAbAt
        INDEX:	P83W41
      OFFSETS:	202-211
       TOKENS:	P83W54-P83W55
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AinoqilAb_1]
   UNSPLITVOC:	(biAinoqilAbAt)
          POS:	PREP+NOUN+NSUFF_FEM_PL
          VOC:	bi+AinoqilAb+At
        GLOSS:	with/by+coup/overthrow/toppling+[fem.pl.]

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P83W42
      OFFSETS:	211-212
       TOKENS:	P83W56-P83W56
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	أو
     IS_TRANS:	>w
        INDEX:	P83W43
      OFFSETS:	213-215
       TOKENS:	P83W57-P83W57
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>awo_1]
   UNSPLITVOC:	(>awo)
          POS:	CONJ
          VOC:	>awo
        GLOSS:	Or, if not, unless, except if, except when

 INPUT STRING:	بالوراثة
     IS_TRANS:	bAlwrAvp
        INDEX:	P83W44
      OFFSETS:	216-224
       TOKENS:	P83W58-P83W59
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wirAvap_1]
   UNSPLITVOC:	(biAlwirAvap)
          POS:	PREP+DET+NOUN+NSUFF_FEM_SG
          VOC:	bi+Al+wirAv+ap
        GLOSS:	with/by+the+inheritance/heritage/legacy+[fem.sg.]

 INPUT STRING:	التى
     IS_TRANS:	AltY
        INDEX:	P83W45
      OFFSETS:	225-229
       TOKENS:	P83W60-P83W60
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ail~atiy_1]
   UNSPLITVOC:	(Al~atiy)
          POS:	REL_PRON
          VOC:	Al~atiy
        GLOSS:	which

 INPUT STRING:	لم
     IS_TRANS:	lm
        INDEX:	P83W46
      OFFSETS:	230-232
       TOKENS:	P83W61-P83W61
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[lamo_1]
   UNSPLITVOC:	(lamo)
          POS:	NEG_PART
          VOC:	lamo
        GLOSS:	did not

 INPUT STRING:	تعد
     IS_TRANS:	tEd
        INDEX:	P83W47
      OFFSETS:	233-236
       TOKENS:	P83W62-P83W62
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(tEd)
          POS:	NO_FUNC
          VOC:	tEd
        GLOSS:	nogloss

 INPUT STRING:	تناسب
     IS_TRANS:	tnAsb
        INDEX:	P83W48
      OFFSETS:	237-242
       TOKENS:	P83W63-P83W63
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAsab_1]
   UNSPLITVOC:	(tinAsib)
          POS:	IV3FS+IV
          VOC:	ti+nAsib
        GLOSS:	it/they/she+fit

 INPUT STRING:	أى
     IS_TRANS:	>Y
        INDEX:	P83W49
      OFFSETS:	243-245
       TOKENS:	P83W64-P83W64
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aay~_1]
   UNSPLITVOC:	(>ay~)
          POS:	NOUN_QUANT
          VOC:	>ay~
        GLOSS:	any

 INPUT STRING:	شعب
     IS_TRANS:	$Eb
        INDEX:	P83W50
      OFFSETS:	246-249
       TOKENS:	P83W65-P83W65
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$aEob_1]
   UNSPLITVOC:	($aEob)
          POS:	NOUN
          VOC:	$aEob
        GLOSS:	people/nation

 INPUT STRING:	يعى
     IS_TRANS:	yEY
        INDEX:	P83W51
      OFFSETS:	250-253
       TOKENS:	P83W66-P83W66
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[waEaY_1]
   UNSPLITVOC:	(yaEy)
          POS:	IV3MS+IV
          VOC:	ya+Ey
        GLOSS:	he/it+be aware

 INPUT STRING:	ويفهم
     IS_TRANS:	wyfhm
        INDEX:	P83W52
      OFFSETS:	254-259
       TOKENS:	P83W67-P83W68
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fihim_1]
   UNSPLITVOC:	(wiyifoham)
          POS:	CONJ+IV3MS+IV
          VOC:	wi+yi+foham
        GLOSS:	and+he/it+understand

 INPUT STRING:	مصالحه
     IS_TRANS:	mSAlHh
        INDEX:	P83W53
      OFFSETS:	260-266
       TOKENS:	P83W69-P83W70
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSolaHap_1]
   UNSPLITVOC:	(maSAloHuh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	maSAloH+uh
        GLOSS:	interest/advantage/favor+his/its

 INPUT STRING:	وأولوياته
     IS_TRANS:	w>wlwyAth
        INDEX:	P83W54
      OFFSETS:	267-276
       TOKENS:	P83W71-P83W73
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>awlawiy~ap_1]
   UNSPLITVOC:	(wi>awlawiy~Atuh)
          POS:	CONJ+NOUN+NSUFF_FEM_PL+POSS_PRON_3MS
          VOC:	wi+>awlawiy~+At+uh
        GLOSS:	and+primary+[fem.pl.]+his/its

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P83W55
      OFFSETS:	276-277
       TOKENS:	P83W74-P83W74
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	ولهذا
     IS_TRANS:	wlh*A
        INDEX:	P84W1
      OFFSETS:	1-6
       TOKENS:	P84W1-P84W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[h`*A_1]
   UNSPLITVOC:	(walih`*A)
          POS:	CONJ+PREP+DEM_PRON_MS
          VOC:	wa+li+h`*A
        GLOSS:	and+for/to+this [masc.sg.]

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P84W2
      OFFSETS:	7-9
       TOKENS:	P84W4-P84W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all, entire, every, whole

 INPUT STRING:	القمم
     IS_TRANS:	Alqmm
        INDEX:	P84W3
      OFFSETS:	10-15
       TOKENS:	P84W5-P84W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qim~ap_1]
   UNSPLITVOC:	(Alqimam)
          POS:	DET+NOUN
          VOC:	Al+qimam
        GLOSS:	the+summits

 INPUT STRING:	العربية
     IS_TRANS:	AlErbyp
        INDEX:	P84W4
      OFFSETS:	16-23
       TOKENS:	P84W6-P84W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Earabiy~ap_1]
   UNSPLITVOC:	(AlEarabiy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+Earabiy~+ap
        GLOSS:	the+Arab/Arabic+[fem.sg.]

 INPUT STRING:	باطلة
     IS_TRANS:	bATlp
        INDEX:	P84W5
      OFFSETS:	24-29
       TOKENS:	P84W7-P84W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[bATil_1]
   UNSPLITVOC:	(bATlap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	bATl+ap
        GLOSS:	illegal+[fem.sg.]

 INPUT STRING:	،
