 INPUT STRING:	ولدت
     IS_TRANS:	tgyyr
        INDEX:	P35W1
      OFFSETS:	0-5
       TOKENS:	P35W1-P35W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tagoyiyr_1]
   UNSPLITVOC:	(tagoyiyr)
          POS:	NOUN
          VOC:	tagoyiyr
        GLOSS:	change/modification/replacement

 INPUT STRING:	الرئيس
     IS_TRANS:	Alr}ys
        INDEX:	P35W2
      OFFSETS:	6-12
       TOKENS:	P35W2-P35W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ra}iys_1]
   UNSPLITVOC:	(Alr~a}iys)
          POS:	DET+NOUN
          VOC:	Al+ra}iys
        GLOSS:	the+president/head/chairman

 INPUT STRING:	حلم
     IS_TRANS:	Hlm
        INDEX:	P35W3
      OFFSETS:	13-16
       TOKENS:	P35W3-P35W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hilom_1]
   UNSPLITVOC:	(Hilom)
          POS:	NOUN
          VOC:	Hilom
        GLOSS:	dream/dreams

 INPUT STRING:	عند
     IS_TRANS:	End
        INDEX:	P35W4
      OFFSETS:	17-20
       TOKENS:	P35W4-P35W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Einod_1]
   UNSPLITVOC:	(Einod)
          POS:	NOUN
          VOC:	Einod
        GLOSS:	with / at

 INPUT STRING:	كتير
     IS_TRANS:	ktyr
        INDEX:	P35W5
      OFFSETS:	21-25
       TOKENS:	P35W5-P35W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kitiyr_1]
   UNSPLITVOC:	(kitiyr)
          POS:	ADJ
          VOC:	kitiyr
        GLOSS:	numerous/many/much

 INPUT STRING:	وتقريبا
     IS_TRANS:	wtqrybA
        INDEX:	P35W6
      OFFSETS:	26-33
       TOKENS:	P35W6-P35W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taqoriyb_1]
   UNSPLITVOC:	(witaqoriybAF)
          POS:	CONJ+NOUN+CASE_INDEF_ACC
          VOC:	wi+taqoriyb+AF
        GLOSS:	and+approximation/bringing close/drawing near+[acc.indef.]

 INPUT STRING:	هيفضل
     IS_TRANS:	hyfDl
        INDEX:	P35W7
      OFFSETS:	34-39
       TOKENS:	P35W8-P35W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiDil_1]
   UNSPLITVOC:	(HayifoDal)
          POS:	FUT_PART+IV3MS+IV
          VOC:	Ha+yi+foDal
        GLOSS:	will+he/it+remain

 INPUT STRING:	حلم
     IS_TRANS:	Hlm
        INDEX:	P35W8
      OFFSETS:	40-43
       TOKENS:	P35W10-P35W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hilom_1]
   UNSPLITVOC:	(Hilom)
          POS:	NOUN
          VOC:	Hilom
        GLOSS:	dream/dreams

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P36W1
      OFFSETS:	0-2
       TOKENS:	P36W1-P36W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bas~_1]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but/however

 INPUT STRING:	برضوا
     IS_TRANS:	brDwA
        INDEX:	P36W2
      OFFSETS:	3-8
       TOKENS:	P36W2-P36W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baroDuh_1]
   UNSPLITVOC:	(baroDuh)
          POS:	ADV
          VOC:	baroDuh
        GLOSS:	also/too

 INPUT STRING:	لازم
     IS_TRANS:	lAzm
        INDEX:	P36W3
      OFFSETS:	9-13
       TOKENS:	P36W3-P36W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lAzim_1]
   UNSPLITVOC:	(lAzim)
          POS:	ADJ
          VOC:	lAzim
        GLOSS:	necessary/required/needed

 INPUT STRING:	يكون
     IS_TRANS:	ykwn
        INDEX:	P36W4
      OFFSETS:	14-18
       TOKENS:	P36W4-P36W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(yikuwn)
          POS:	IV3MS+IV
          VOC:	yi+kuwn
        GLOSS:	he/it+be

 INPUT STRING:	عندنا
     IS_TRANS:	EndnA
        INDEX:	P36W5
      OFFSETS:	19-24
       TOKENS:	P36W5-P36W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Einod_1]
   UNSPLITVOC:	(EinodnA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	Einod+nA
        GLOSS:	with / at+our

 INPUT STRING:	امل
     IS_TRANS:	Aml
        INDEX:	P36W6
      OFFSETS:	25-28
       TOKENS:	P36W7-P36W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amal_1]
   UNSPLITVOC:	(>amal)
          POS:	NOUN
          VOC:	>amal
        GLOSS:	hope/wish/hopes/wishes

 INPUT STRING:	خصوصا
     IS_TRANS:	xSwSA
        INDEX:	P36W7
      OFFSETS:	29-34
       TOKENS:	P36W8-P36W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xuSuwS_1]
   UNSPLITVOC:	(xuSuwSAF)
          POS:	ADJ+CASE_INDEF_ACC
          VOC:	xuSuwS+AF
        GLOSS:	especially/in particular+[acc.indef.]

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P36W8
      OFFSETS:	35-37
       TOKENS:	P36W9-P36W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	معظم
     IS_TRANS:	mEZm
        INDEX:	P36W9
      OFFSETS:	38-42
       TOKENS:	P36W10-P36W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muEoZam_1]
   UNSPLITVOC:	(muEoZam)
          POS:	NOUN_QUANT
          VOC:	muEoZam
        GLOSS:	most/majority

 INPUT STRING:	المصريين
     IS_TRANS:	AlmSryyn
        INDEX:	P36W10
      OFFSETS:	43-51
       TOKENS:	P36W11-P36W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSoriy_1]
   UNSPLITVOC:	(AlmaSoriy~iyn)
          POS:	DET+ADJ+NSUFF_MASC_PL
          VOC:	Al+maSoriy~+iyn
        GLOSS:	the+Egyptian+[pl.]

 INPUT STRING:	حاليا
     IS_TRANS:	HAlyA
        INDEX:	P36W11
      OFFSETS:	52-57
       TOKENS:	P36W12-P36W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAliy~_1]
   UNSPLITVOC:	(HAliy~AF)
          POS:	ADJ+CASE_INDEF_ACC
          VOC:	HAliy~+AF
        GLOSS:	present/current+[acc.indef.]

 INPUT STRING:	بيطالبوا
     IS_TRANS:	byTAlbwA
        INDEX:	P36W12
      OFFSETS:	58-66
       TOKENS:	P36W13-P36W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[TAlab_1]
   UNSPLITVOC:	(biyiTAlobuwA)
          POS:	PROG_PART+IV3P+IV+IVSUFF_SUBJ:P
          VOC:	bi+yi+TAlob+uwA
        GLOSS:	[present-tense]+they+demand/require+[pl.]

 INPUT STRING:	بالتغيير
     IS_TRANS:	bAltgyyr
        INDEX:	P36W13
      OFFSETS:	67-75
       TOKENS:	P36W15-P36W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tagoyiyr_1]
   UNSPLITVOC:	(biAlt~agoyiyr)
          POS:	PREP+DET+NOUN
          VOC:	bi+Al+tagoyiyr
        GLOSS:	with/by+the+change/modification/replacement

 INPUT STRING:	يعنى
     IS_TRANS:	yEnY
        INDEX:	P36W14
      OFFSETS:	76-80
       TOKENS:	P36W17-P36W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EanaY_1]
   UNSPLITVOC:	(yaEoniy)
          POS:	IV3MS+IV
          VOC:	ya+Eoniy
        GLOSS:	he/it+mean/signify

 INPUT STRING:	لسه
     IS_TRANS:	lsh
        INDEX:	P36W15
      OFFSETS:	81-84
       TOKENS:	P36W18-P36W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lis~ah_1]
   UNSPLITVOC:	(lis~ah)
          POS:	ADV
          VOC:	lis~ah
        GLOSS:	still

 INPUT STRING:	الامل
     IS_TRANS:	AlAml
        INDEX:	P36W16
      OFFSETS:	85-90
       TOKENS:	P36W19-P36W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amal_1]
   UNSPLITVOC:	(Al>amal)
          POS:	DET+NOUN
          VOC:	Al+>amal
        GLOSS:	the+hope/wish/hopes/wishes

 INPUT STRING:	موجود
     IS_TRANS:	mwjwd
        INDEX:	P36W17
      OFFSETS:	91-96
       TOKENS:	P36W20-P36W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mawjuwd_1]
   UNSPLITVOC:	(mawjuwd)
          POS:	ADJ
          VOC:	mawjuwd
        GLOSS:	present/existing/found

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P36W18
      OFFSETS:	96-97
       TOKENS:	P36W21-P36W21
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P36W19
      OFFSETS:	97-98
       TOKENS:	P36W22-P36W22
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P36W20
      OFFSETS:	98-99
       TOKENS:	P36W23-P36W23
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P36W21
      OFFSETS:	99-100
       TOKENS:	P36W24-P36W24
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	تقبل
     IS_TRANS:	tqbl
        INDEX:	P37W1
      OFFSETS:	0-4
       TOKENS:	P37W1-P37W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[taqab~al_1]
   UNSPLITVOC:	(taqab~al())
          POS:	CV+CVSUFF_SUBJ:2MS
          VOC:	taqab~al+(null)
        GLOSS:	accept+you [verb] [masc.sg.]

 INPUT STRING:	فائق
     IS_TRANS:	fA}q
        INDEX:	P37W2
      OFFSETS:	5-9
       TOKENS:	P37W2-P37W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fA}iq_1]
   UNSPLITVOC:	(fA}iq)
          POS:	ADJ
          VOC:	fA}iq
        GLOSS:	boudless/exceeding

 INPUT STRING:	احترامى
     IS_TRANS:	AHtrAmY
        INDEX:	P37W3
      OFFSETS:	10-17
       TOKENS:	P37W3-P37W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AiHtirAm_1]
   UNSPLITVOC:	(AiHtirAmiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	AiHtirAm+iy
        GLOSS:	respect+my

 INPUT STRING:	,
     IS_TRANS:	,
        INDEX:	P37W4
      OFFSETS:	17-18
       TOKENS:	P37W5-P37W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	,
     IS_TRANS:	,
        INDEX:	P37W5
      OFFSETS:	18-19
       TOKENS:	P37W6-P37W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	تغيــــر
     IS_TRANS:	tgy____r
        INDEX:	P38W1
      OFFSETS:	0-8
       TOKENS:	P38W1-P38W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tagay~ur_1]
   UNSPLITVOC:	(tagay~ur)
          POS:	NOUN
          VOC:	tagay~ur
        GLOSS:	change

 INPUT STRING:	رئيس
     IS_TRANS:	r}ys
        INDEX:	P38W2
      OFFSETS:	9-13
       TOKENS:	P38W2-P38W2
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ra}iys_1]
   UNSPLITVOC:	(ra}iys)
          POS:	NOUN
          VOC:	ra}iys
        GLOSS:	president/head/chairman

 INPUT STRING:	الجمهورية
     IS_TRANS:	Aljmhwryp
        INDEX:	P38W3
      OFFSETS:	14-23
       TOKENS:	P38W3-P38W3
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[jumohuwriy~_1]
   UNSPLITVOC:	(Aljumohuwriy~ap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+jumohuwriy~+ap
        GLOSS:	the+republican+[fem.sg.]

 INPUT STRING:	امر
     IS_TRANS:	Amr
        INDEX:	P38W4
      OFFSETS:	24-27
       TOKENS:	P38W4-P38W4
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amor_1]
   UNSPLITVOC:	(>amor)
          POS:	NOUN
          VOC:	>amor
        GLOSS:	matter/issue

 INPUT STRING:	وارد
     IS_TRANS:	wArd
        INDEX:	P38W5
      OFFSETS:	28-32
       TOKENS:	P38W5-P38W5
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[wArid_2]
   UNSPLITVOC:	(wArid)
          POS:	ADJ
          VOC:	wArid
        GLOSS:	appearing/mentioned

 INPUT STRING:	وطبيعي
     IS_TRANS:	wTbyEy
        INDEX:	P38W6
      OFFSETS:	33-39
       TOKENS:	P38W6-P38W7
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[TabiyEiy~_1]
   UNSPLITVOC:	(waTabiyEiy~)
          POS:	CONJ+ADJ
          VOC:	wa+TabiyEiy~
        GLOSS:	and+natural/normal

 INPUT STRING:	ومثل
     IS_TRANS:	wmvl
        INDEX:	P39W1
      OFFSETS:	0-4
       TOKENS:	P39W1-P39W2
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mivol_1]
   UNSPLITVOC:	(wamivol)
          POS:	CONJ+NOUN
          VOC:	wa+mivol
        GLOSS:	and+like/such as

 INPUT STRING:	شتي
     IS_TRANS:	$ty
        INDEX:	P39W2
      OFFSETS:	5-8
       TOKENS:	P39W3-P39W3
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[$at~aY_1]
   UNSPLITVOC:	($at~aY)
          POS:	NOUN
          VOC:	$at~aY
        GLOSS:	all/variety

 INPUT STRING:	امور
     IS_TRANS:	Amwr
        INDEX:	P39W3
      OFFSETS:	9-13
       TOKENS:	P39W4-P39W4
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amor_1]
   UNSPLITVOC:	(>umuwr)
          POS:	NOUN
          VOC:	>umuwr
        GLOSS:	matters/issues

 INPUT STRING:	الدنيا
     IS_TRANS:	AldnyA
        INDEX:	P39W4
      OFFSETS:	14-20
       TOKENS:	P39W5-P39W5
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[dunoyA_2]
   UNSPLITVOC:	(AldunoyA)
          POS:	DET+NOUN
          VOC:	Al+dunoyA
        GLOSS:	the+world

 INPUT STRING:	اي
     IS_TRANS:	Ay
        INDEX:	P39W5
      OFFSETS:	21-23
       TOKENS:	P39W6-P39W6
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[>ay~_1]
   UNSPLITVOC:	(>ay~)
          POS:	NOUN_QUANT
          VOC:	>ay~
        GLOSS:	any

 INPUT STRING:	شئ
     IS_TRANS:	$}
        INDEX:	P39W6
      OFFSETS:	24-26
       TOKENS:	P39W7-P39W7
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[$ayo'_1]
   UNSPLITVOC:	($a})
          POS:	NOUN
          VOC:	$a}
        GLOSS:	something/thing

 INPUT STRING:	له
     IS_TRANS:	lh
        INDEX:	P39W7
      OFFSETS:	27-29
       TOKENS:	P39W8-P39W9
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[li-_1]
   UNSPLITVOC:	(lahu)
          POS:	PREP+PRON_3MS
          VOC:	la+hu
        GLOSS:	to/for+it/him (it/he has)

 INPUT STRING:	ايجابيات
     IS_TRANS:	AyjAbyAt
        INDEX:	P39W8
      OFFSETS:	30-38
       TOKENS:	P39W10-P39W10
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[<iyjAbiy~_1]
   UNSPLITVOC:	(<iyjAbiy~At)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	<iyjAbiy~+At
        GLOSS:	positive aspects/good points+[fem.pl.]

 INPUT STRING:	وسلبياااات
     IS_TRANS:	wslbyAAAAt
        INDEX:	P39W9
      OFFSETS:	39-49
       TOKENS:	P39W11-P39W11
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(wslbyAAAAt)
          POS:	NO_FUNC
          VOC:	wslbyAAAAt
        GLOSS:	nogloss

 INPUT STRING:	ولكن
     IS_TRANS:	wlkn
        INDEX:	P40W1
      OFFSETS:	0-4
       TOKENS:	P40W1-P40W2
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[l`kino_1]
   UNSPLITVOC:	(wal`kino)
          POS:	CONJ+CONJ
          VOC:	wa+l`kino
        GLOSS:	and+But, however, yet, still, nevertheless, on the other hand

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P40W2
      OFFSETS:	5-7
       TOKENS:	P40W3-P40W3
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	مثل
     IS_TRANS:	mvl
        INDEX:	P40W3
      OFFSETS:	8-11
       TOKENS:	P40W4-P40W4
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mivol_1]
   UNSPLITVOC:	(mivol)
          POS:	NOUN
          VOC:	mivol
        GLOSS:	like/such as

 INPUT STRING:	هذه
     IS_TRANS:	h*h
        INDEX:	P40W4
      OFFSETS:	12-15
       TOKENS:	P40W5-P40W5
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[h`*A_1]
   UNSPLITVOC:	(h`*ihi)
          POS:	DEM_PRON_F
          VOC:	h`*ihi
        GLOSS:	this/these

 INPUT STRING:	الامور
     IS_TRANS:	AlAmwr
        INDEX:	P40W5
      OFFSETS:	16-22
       TOKENS:	P40W6-P40W6
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amor_1]
   UNSPLITVOC:	(Al>umuwr)
          POS:	DET+NOUN
          VOC:	Al+>umuwr
        GLOSS:	the+matters/issues

 INPUT STRING:	الهااامة
     IS_TRANS:	AlhAAAmp
        INDEX:	P40W6
      OFFSETS:	23-31
       TOKENS:	P40W7-P40W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[hAm~_1]
   UNSPLITVOC:	(AlhAm~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+hAm~+ap
        GLOSS:	the+inportant+[fem.sg.]

 INPUT STRING:	التي
     IS_TRANS:	Alty
        INDEX:	P40W7
      OFFSETS:	32-36
       TOKENS:	P40W8-P40W8
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[Al~a*iy_1]
   UNSPLITVOC:	(Al~atiy)
          POS:	REL_PRON
          VOC:	Al~atiy
        GLOSS:	which/who/whom [fem.sg.]

 INPUT STRING:	يرتبط
     IS_TRANS:	yrtbT
        INDEX:	P40W8
      OFFSETS:	37-42
       TOKENS:	P40W9-P40W9
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[{irotabaT_1]
   UNSPLITVOC:	(yarotabiTu)
          POS:	IV3MS+IV+IVSUFF_MOOD:I
          VOC:	ya+rotabiT+u
        GLOSS:	he/it+be tied/be connected+[ind.]

 INPUT STRING:	بها
     IS_TRANS:	bhA
        INDEX:	P40W9
      OFFSETS:	43-46
       TOKENS:	P40W10-P40W11
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[bi_1]
   UNSPLITVOC:	(bihA)
          POS:	PREP+PRON_3FS
          VOC:	bi+hA
        GLOSS:	with/by+it/them/her

 INPUT STRING:	مصير
     IS_TRANS:	mSyr
        INDEX:	P40W10
      OFFSETS:	47-51
       TOKENS:	P40W12-P40W12
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maSiyr_1]
   UNSPLITVOC:	(maSiyr)
          POS:	NOUN
          VOC:	maSiyr
        GLOSS:	path/destiny/fate

 INPUT STRING:	دولة
     IS_TRANS:	dwlp
        INDEX:	P40W11
      OFFSETS:	52-56
       TOKENS:	P40W13-P40W13
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[dawolap_1]
   UNSPLITVOC:	(dawolap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	dawol+ap
        GLOSS:	state/country+[fem.sg.]

 INPUT STRING:	كاااملة
     IS_TRANS:	kAAAmlp
        INDEX:	P40W12
      OFFSETS:	57-64
       TOKENS:	P40W14-P40W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[kAmil_1]
   UNSPLITVOC:	(kAmilap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	kAmil+ap
        GLOSS:	complete+[fem.sg.]

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P40W13
      OFFSETS:	64-65
       TOKENS:	P40W15-P40W15
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P40W14
      OFFSETS:	65-66
       TOKENS:	P40W16-P40W16
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P40W15
      OFFSETS:	66-67
       TOKENS:	P40W17-P40W17
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P40W16
      OFFSETS:	67-68
       TOKENS:	P40W18-P40W18
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P40W17
      OFFSETS:	68-69
       TOKENS:	P40W19-P40W19
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
