 INPUT STRING:	المشاركة
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA$iy_1]
   UNSPLITVOC:	(mA$oyap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	mA$oy+ap
        GLOSS:	going/walking/on foot+[fem.sg.]

 INPUT STRING:	بميكروفونات
     IS_TRANS:	bmykrwfwnAt
        INDEX:	P21W23
      OFFSETS:	135-146
       TOKENS:	P21W33-P21W34
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miykoruwfuwn_1]
   UNSPLITVOC:	(bimiykoruwfuwnAt)
          POS:	PREP+NOUN+NSUFF_FEM_PL
          VOC:	bi+miykoruwfuwn+At
        GLOSS:	with/by+microphone+[fem.pl.]

 INPUT STRING:	ايام
     IS_TRANS:	AyAm
        INDEX:	P21W24
      OFFSETS:	147-151
       TOKENS:	P21W35-P21W35
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yawm_1]
   UNSPLITVOC:	(Ay~Am)
          POS:	NOUN
          VOC:	Ay~Am
        GLOSS:	period

 INPUT STRING:	الثوره
     IS_TRANS:	Alvwrh
        INDEX:	P21W25
      OFFSETS:	152-158
       TOKENS:	P21W36-P21W36
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vawrap_1]
   UNSPLITVOC:	(Alv~awrap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+vawr+ap
        GLOSS:	the+revolution/uprising+[fem.sg.]

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P21W26
      OFFSETS:	159-161
       TOKENS:	P21W37-P21W37
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	الاقاليم
     IS_TRANS:	AlAqAlym
        INDEX:	P21W27
      OFFSETS:	162-170
       TOKENS:	P21W38-P21W38
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<aqAliym_1]
   UNSPLITVOC:	(Al<aqAliym)
          POS:	DET+NOUN
          VOC:	Al+<aqAliym
        GLOSS:	the+regions/districts

 INPUT STRING:	والقري
     IS_TRANS:	wAlqry
        INDEX:	P21W28
      OFFSETS:	171-177
       TOKENS:	P21W39-P21W40
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qaroyap_1]
   UNSPLITVOC:	(wiAlquraY)
          POS:	CONJ+DET+NOUN
          VOC:	wi+Al+quraY
        GLOSS:	and+the+villages

 INPUT STRING:	علشان
     IS_TRANS:	El$An
        INDEX:	P21W29
      OFFSETS:	178-183
       TOKENS:	P21W41-P21W42
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$An_1]
   UNSPLITVOC:	(Eala$a>on)
          POS:	PREP+NOUN
          VOC:	EalaY+$An
        GLOSS:	for+because

 INPUT STRING:	الشعي
     IS_TRANS:	Al$Ey
        INDEX:	P21W30
      OFFSETS:	184-189
       TOKENS:	P21W43-P21W43
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[$aEob_1]
   UNSPLITVOC:	(Al$aEob)
          POS:	DET+NOUN
          VOC:	Al+$aEob
        GLOSS:	the+nations

 INPUT STRING:	يكره
     IS_TRANS:	ykrh
        INDEX:	P21W31
      OFFSETS:	190-194
       TOKENS:	P21W44-P21W44
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[karah_1]
   UNSPLITVOC:	(yakorah)
          POS:	IV3MS+IV
          VOC:	ya+korah
        GLOSS:	he/it+hate

 INPUT STRING:	الثوره
     IS_TRANS:	Alvwrh
        INDEX:	P21W32
      OFFSETS:	195-201
       TOKENS:	P21W45-P21W45
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vawrap_1]
   UNSPLITVOC:	(Alv~awrap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+vawr+ap
        GLOSS:	the+revolution/uprising+[fem.sg.]

 INPUT STRING:	وينضحك
     IS_TRANS:	wynDHk
        INDEX:	P21W33
      OFFSETS:	202-208
       TOKENS:	P21W46-P21W47
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<inoDaHak_1]
   UNSPLITVOC:	(wiyinoDaHak)
          POS:	CONJ+IV3MS+IV_PASS
          VOC:	wi+yi+noDaHak
        GLOSS:	and+he/it+laughed at

 INPUT STRING:	عليه
     IS_TRANS:	Elyh
        INDEX:	P21W34
      OFFSETS:	209-213
       TOKENS:	P21W48-P21W49
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(Ealayh)
          POS:	PREP+PRON_3MS
          VOC:	EalaY+uh
        GLOSS:	on/above+him/it

 INPUT STRING:	بالضرب
     IS_TRANS:	bAlDrb
        INDEX:	P21W35
      OFFSETS:	214-220
       TOKENS:	P21W50-P21W51
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Darob_1]
   UNSPLITVOC:	(biAlD~arob)
          POS:	PREP+DET+NOUN
          VOC:	bi+Al+Darob
        GLOSS:	with/by+the+beating/hitting/striking

 INPUT STRING:	علي
     IS_TRANS:	Ely
        INDEX:	P21W36
      OFFSETS:	221-224
       TOKENS:	P21W52-P21W52
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	الافا
     IS_TRANS:	AlAfA
        INDEX:	P21W37
      OFFSETS:	225-230
       TOKENS:	P21W53-P21W53
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>afA_1]
   UNSPLITVOC:	(Al>afA)
          POS:	DET+NOUN
          VOC:	Al+>afA
        GLOSS:	the+neck/nape/back/reverse

 INPUT STRING:	تحن
     IS_TRANS:	tHn
        INDEX:	P21W38
      OFFSETS:	231-234
       TOKENS:	P21W54-P21W54
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[taHt_1]
   UNSPLITVOC:	(taHt)
          POS:	NOUN
          VOC:	taHt
        GLOSS:	under

 INPUT STRING:	اسم
     IS_TRANS:	Asm
        INDEX:	P21W39
      OFFSETS:	235-238
       TOKENS:	P21W55-P21W55
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<isom_1]
   UNSPLITVOC:	(<isom)
          POS:	NOUN
          VOC:	<isom
        GLOSS:	name

 INPUT STRING:	الاستقرار
     IS_TRANS:	AlAstqrAr
        INDEX:	P21W40
      OFFSETS:	239-248
       TOKENS:	P21W56-P21W56
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<isotiqorAr_1]
   UNSPLITVOC:	(Al<isotiqorAr)
          POS:	DET+NOUN
          VOC:	Al+<isotiqorAr
        GLOSS:	the+stability

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P21W41
      OFFSETS:	249-250
       TOKENS:	P21W57-P21W57
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	اكيد
     IS_TRANS:	Akyd
        INDEX:	P22W1
      OFFSETS:	0-4
       TOKENS:	P22W1-P22W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>akiyd_1]
   UNSPLITVOC:	(>akiyd)
          POS:	NOUN
          VOC:	>akiyd
        GLOSS:	sure

 INPUT STRING:	مؤكد
     IS_TRANS:	m&kd
        INDEX:	P22W2
      OFFSETS:	5-9
       TOKENS:	P22W2-P22W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mu&akad_1]
   UNSPLITVOC:	(mu&akad)
          POS:	ADJ
          VOC:	mu&akad
        GLOSS:	certain/guaranteed

 INPUT STRING:	اخبار
     IS_TRANS:	AxbAr
        INDEX:	P22W3
      OFFSETS:	10-15
       TOKENS:	P22W3-P22W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xabar_1]
   UNSPLITVOC:	(AxobAr)
          POS:	NOUN
          VOC:	AxobAr
        GLOSS:	news/report

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P22W4
      OFFSETS:	16-18
       TOKENS:	P22W4-P22W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	دي
     IS_TRANS:	dy
        INDEX:	P22W5
      OFFSETS:	19-21
       TOKENS:	P22W5-P22W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diy_1]
   UNSPLITVOC:	(diy)
          POS:	DEM_PRON_FS
          VOC:	diy
        GLOSS:	this

 INPUT STRING:	هتنتشر
     IS_TRANS:	htnt$r
        INDEX:	P22W6
      OFFSETS:	22-28
       TOKENS:	P22W6-P22W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<inota$ar_1]
   UNSPLITVOC:	(Hatinota$ar)
          POS:	FUT_PART+IV3FS+IV_PASS
          VOC:	Ha+ti+nota$ar
        GLOSS:	will+it/they/she+publish/announce/spread

 INPUT STRING:	ومش
     IS_TRANS:	wm$
        INDEX:	P22W7
      OFFSETS:	29-32
       TOKENS:	P22W8-P22W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(wimi$)
          POS:	PART+NEG_PART
          VOC:	wi+mi$
        GLOSS:	[part.]+not

 INPUT STRING:	بعيد
     IS_TRANS:	bEyd
        INDEX:	P22W8
      OFFSETS:	33-37
       TOKENS:	P22W10-P22W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[biEiyd_1]
   UNSPLITVOC:	(biEiyd)
          POS:	ADJ
          VOC:	biEiyd
        GLOSS:	far

 INPUT STRING:	اي
     IS_TRANS:	Ay
        INDEX:	P22W9
      OFFSETS:	38-40
       TOKENS:	P22W11-P22W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aay~_1]
   UNSPLITVOC:	(>ay~)
          POS:	NOUN_QUANT
          VOC:	>ay~
        GLOSS:	any

 INPUT STRING:	حاجه
     IS_TRANS:	HAjh
        INDEX:	P22W10
      OFFSETS:	41-45
       TOKENS:	P22W12-P22W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(HAjap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HAj+ap
        GLOSS:	thing/belongings+[fem.sg.]

 INPUT STRING:	ممكن
     IS_TRANS:	mmkn
        INDEX:	P22W11
      OFFSETS:	46-50
       TOKENS:	P22W13-P22W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mumokin_1]
   UNSPLITVOC:	(mumokin)
          POS:	ADJ
          VOC:	mumokin
        GLOSS:	possible

 INPUT STRING:	تفتعل
     IS_TRANS:	tftEl
        INDEX:	P22W12
      OFFSETS:	51-56
       TOKENS:	P22W14-P22W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iftaEal_1]
   UNSPLITVOC:	(tuftaEal)
          POS:	IV3FS+IV_PASS
          VOC:	tu+ftaEal
        GLOSS:	it/they/she+be done

 INPUT STRING:	للتعتيم
     IS_TRANS:	lltEtym
        INDEX:	P22W13
      OFFSETS:	57-64
       TOKENS:	P22W15-P22W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taEotiym_1]
   UNSPLITVOC:	(lilt~aEotiym)
          POS:	PREP+DET+NOUN
          VOC:	li+Al+taEotiym
        GLOSS:	for/to+the+camouflage/black-out

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P22W14
      OFFSETS:	65-66
       TOKENS:	P22W17-P22W17
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	لو
     IS_TRANS:	lw
        INDEX:	P23W1
      OFFSETS:	0-2
       TOKENS:	P23W1-P23W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[law_1]
   UNSPLITVOC:	(law)
          POS:	SUB_CONJ
          VOC:	law
        GLOSS:	if

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P23W2
      OFFSETS:	3-5
       TOKENS:	P23W2-P23W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	صفقه
     IS_TRANS:	Sfqh
        INDEX:	P23W3
      OFFSETS:	6-10
       TOKENS:	P23W3-P23W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Safoqap_1]
   UNSPLITVOC:	(Safoqap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	Safoq+ap
        GLOSS:	deal/transaction/deals/transactions+[fem.sg.]

 INPUT STRING:	حقيقيه
     IS_TRANS:	Hqyqyh
        INDEX:	P23W4
      OFFSETS:	11-17
       TOKENS:	P23W4-P23W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Haqiyiqay~_1]
   UNSPLITVOC:	(Haqiyiqay~ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	Haqiyiqay~+ap
        GLOSS:	true+[fem.sg.]

 INPUT STRING:	لتسليم
     IS_TRANS:	ltslym
        INDEX:	P23W5
      OFFSETS:	18-24
       TOKENS:	P23W5-P23W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tasoliym_1]
   UNSPLITVOC:	(litasoliym)
          POS:	PREP+NOUN
          VOC:	li+tasoliym
        GLOSS:	for/to+handing over/delivery/surrender

 INPUT STRING:	الامريكان
     IS_TRANS:	AlAmrykAn
        INDEX:	P23W6
      OFFSETS:	25-34
       TOKENS:	P23W7-P23W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[>amoriykiy~_1]
   UNSPLITVOC:	(AlAmoriykAn)
          POS:	DET+ADJ
          VOC:	Al+AmoriykAn
        GLOSS:	the+Americans

 INPUT STRING:	المفروض
     IS_TRANS:	AlmfrwD
        INDEX:	P23W7
      OFFSETS:	35-42
       TOKENS:	P23W8-P23W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maforuwD_1]
   UNSPLITVOC:	(AlmaforuwD)
          POS:	DET+NOUN
          VOC:	Al+maforuwD
        GLOSS:	the+imposed

 INPUT STRING:	تكون
     IS_TRANS:	tkwn
        INDEX:	P23W8
      OFFSETS:	43-47
       TOKENS:	P23W9-P23W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(tikuwn)
          POS:	IV3FS+IV
          VOC:	ti+kuwn
        GLOSS:	it/they/she+be

 INPUT STRING:	معلنه
     IS_TRANS:	mElnh
        INDEX:	P23W9
      OFFSETS:	48-53
       TOKENS:	P23W10-P23W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muEolan_1]
   UNSPLITVOC:	(muEolanap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	muEolan+ap
        GLOSS:	declared/announced/posted+[fem.sg.]

 INPUT STRING:	علي
     IS_TRANS:	Ely
        INDEX:	P23W10
      OFFSETS:	54-57
       TOKENS:	P23W11-P23W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	الاقل
     IS_TRANS:	AlAql
        INDEX:	P23W11
      OFFSETS:	58-63
       TOKENS:	P23W12-P23W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aqal~_1]
   UNSPLITVOC:	(Al>aqal~)
          POS:	DET+ADJ_COMP
          VOC:	Al+>aqal~
        GLOSS:	the+least

 INPUT STRING:	علي
     IS_TRANS:	Ely
        INDEX:	P23W12
      OFFSETS:	64-67
       TOKENS:	P23W13-P23W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	مجلس
     IS_TRANS:	mjls
        INDEX:	P23W13
      OFFSETS:	68-72
       TOKENS:	P23W14-P23W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[majolis_1]
   UNSPLITVOC:	(majolis)
          POS:	NOUN
          VOC:	majolis
        GLOSS:	council/board/Majlis

 INPUT STRING:	الشعب
     IS_TRANS:	Al$Eb
        INDEX:	P23W14
      OFFSETS:	73-78
       TOKENS:	P23W15-P23W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$aEob_1]
   UNSPLITVOC:	(Al$~aEob)
          POS:	DET+NOUN
          VOC:	Al+$aEob
        GLOSS:	the+people/nation/peoples/nations

 INPUT STRING:	ويوافق
     IS_TRANS:	wywAfq
        INDEX:	P23W15
      OFFSETS:	79-85
       TOKENS:	P23W16-P23W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wAfiq_1]
   UNSPLITVOC:	(wiyiwAfiq)
          POS:	CONJ+IV3MS+IV
          VOC:	wi+yi+wAfiq
        GLOSS:	and+he/it+accept/agree

 INPUT STRING:	عليها
     IS_TRANS:	ElyhA
        INDEX:	P23W16
      OFFSETS:	86-91
       TOKENS:	P23W18-P23W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalayhA)
          POS:	PREP+PRON_3FS
          VOC:	EalaY+hA
        GLOSS:	on/above+her

 INPUT STRING:	ولا
     IS_TRANS:	wlA
        INDEX:	P23W17
      OFFSETS:	92-95
       TOKENS:	P23W20-P23W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wal~A_1]
   UNSPLITVOC:	(wal~A)
          POS:	CONJ
          VOC:	wal~A
        GLOSS:	or

 INPUT STRING:	محلس
     IS_TRANS:	mHls
        INDEX:	P23W18
      OFFSETS:	96-100
       TOKENS:	P23W21-P23W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[majilos_1]
   UNSPLITVOC:	(majilos)
          POS:	NOUN
          VOC:	majilos
        GLOSS:	council/board

 INPUT STRING:	الشعب
     IS_TRANS:	Al$Eb
        INDEX:	P23W19
      OFFSETS:	101-106
       TOKENS:	P23W22-P23W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$aEob_1]
   UNSPLITVOC:	(Al$~aEob)
          POS:	DET+NOUN
          VOC:	Al+$aEob
        GLOSS:	the+people/nation/peoples/nations

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P23W20
      OFFSETS:	107-109
       TOKENS:	P23W23-P23W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P23W21
      OFFSETS:	110-112
       TOKENS:	P23W24-P23W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	مالي
     IS_TRANS:	mAly
        INDEX:	P23W22
      OFFSETS:	113-117
       TOKENS:	P23W25-P23W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mAliy_1]
   UNSPLITVOC:	(mAliy)
          POS:	ADJ
          VOC:	mAliy
        GLOSS:	fill

 INPUT STRING:	عينهم
     IS_TRANS:	Eynhm
        INDEX:	P23W23
      OFFSETS:	118-123
       TOKENS:	P23W26-P23W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[Eiyn_1]
   UNSPLITVOC:	(Eiynhum)
          POS:	NOUN+POSS_PRON_3P
          VOC:	Eiyn+hum
        GLOSS:	eye/eyes+their

 INPUT STRING:	ولا
     IS_TRANS:	wlA
        INDEX:	P23W24
      OFFSETS:	124-127
       TOKENS:	P23W28-P23W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wal~A_1]
   UNSPLITVOC:	(wal~A)
          POS:	CONJ
          VOC:	wal~A
        GLOSS:	or

 INPUT STRING:	ايه
     IS_TRANS:	Ayh
        INDEX:	P23W25
      OFFSETS:	128-131
       TOKENS:	P23W29-P23W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[>ayoh_1]
   UNSPLITVOC:	(>ayoh)
          POS:	INTERROG_PRON
          VOC:	>ayoh
        GLOSS:	what

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P23W26
      OFFSETS:	132-133
       TOKENS:	P23W30-P23W30
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

