 INPUT STRING:	وعليكم
   UNSPLITVOC:	(AlHamod)
          POS:	DET+NOUN
          VOC:	Al+Hamod
        GLOSS:	the+commendation/praise

 INPUT STRING:	لله
     IS_TRANS:	llh
        INDEX:	P42W2
      OFFSETS:	6-9
       TOKENS:	P42W2-P42W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(lil~ah)
          POS:	PREP+NOUN
          VOC:	li+All~ah
        GLOSS:	for/to+Allah/God

 INPUT STRING:	وربنا
     IS_TRANS:	wrbnA
        INDEX:	P42W3
      OFFSETS:	10-15
       TOKENS:	P42W4-P42W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(wirab~inA)
          POS:	CONJ+NOUN+POSS_PRON_1P
          VOC:	wi+rab~+nA
        GLOSS:	and+lord/master+our

 INPUT STRING:	يهدى
     IS_TRANS:	yhdY
        INDEX:	P42W4
      OFFSETS:	16-20
       TOKENS:	P42W7-P42W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hadaY_1]
   UNSPLITVOC:	(yihodiy)
          POS:	IV3MS+IV
          VOC:	yi+hodiy
        GLOSS:	he/it+guide/direct/lead/be guided/be directed/be led

 INPUT STRING:	الباقى
     IS_TRANS:	AlbAqY
        INDEX:	P42W5
      OFFSETS:	21-27
       TOKENS:	P42W8-P42W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[bAqiy_1]
   UNSPLITVOC:	(AlbAqiy)
          POS:	DET+ADJ
          VOC:	Al+bAqiy
        GLOSS:	the+remaining

 INPUT STRING:	قولوا
     IS_TRANS:	qwlwA
        INDEX:	P42W6
      OFFSETS:	28-33
       TOKENS:	P42W9-P42W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(quwluwA)
          POS:	CV+CVSUFF_SUBJ:2P
          VOC:	quwl+uwA
        GLOSS:	say+you [pl.] [verb]

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P42W7
      OFFSETS:	33-34
       TOKENS:	P42W10-P42W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P42W8
      OFFSETS:	34-35
       TOKENS:	P42W11-P42W11
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P42W9
      OFFSETS:	35-36
       TOKENS:	P42W12-P42W12
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P42W10
      OFFSETS:	36-37
       TOKENS:	P42W13-P42W13
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P42W11
      OFFSETS:	37-38
       TOKENS:	P42W14-P42W14
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P42W12
      OFFSETS:	38-39
       TOKENS:	P42W15-P42W15
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P42W13
      OFFSETS:	39-40
       TOKENS:	P42W16-P42W16
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P42W14
      OFFSETS:	40-41
       TOKENS:	P42W17-P42W17
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P42W15
      OFFSETS:	41-42
       TOKENS:	P42W18-P42W18
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P42W16
      OFFSETS:	42-43
       TOKENS:	P42W19-P42W19
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P42W17
      OFFSETS:	43-44
       TOKENS:	P42W20-P42W20
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P42W18
      OFFSETS:	44-45
       TOKENS:	P42W21-P42W21
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P42W19
      OFFSETS:	45-46
       TOKENS:	P42W22-P42W22
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P42W20
      OFFSETS:	46-47
       TOKENS:	P42W23-P42W23
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P42W21
      OFFSETS:	47-48
       TOKENS:	P42W24-P42W24
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P42W22
      OFFSETS:	48-49
       TOKENS:	P42W25-P42W25
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P42W23
      OFFSETS:	49-50
       TOKENS:	P42W26-P42W26
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	آمين
     IS_TRANS:	|myn
        INDEX:	P42W24
      OFFSETS:	51-55
       TOKENS:	P42W27-P42W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[|amiyn_1]
   UNSPLITVOC:	(|amiyn)
          POS:	VERB
          VOC:	|amiyn
        GLOSS:	amen

 INPUT STRING:	احمد
     IS_TRANS:	AHmd
        INDEX:	P43W1
      OFFSETS:	0-4
       TOKENS:	P43W1-P43W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aHomad_1]
   UNSPLITVOC:	(>aHomad)
          POS:	NOUN_PROP
          VOC:	>aHomad
        GLOSS:	Ahmed

 INPUT STRING:	سليمان
     IS_TRANS:	slymAn
        INDEX:	P43W2
      OFFSETS:	5-11
       TOKENS:	P43W2-P43W2
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[sulayomAn_1]
   UNSPLITVOC:	(sulayomAn)
          POS:	NOUN_PROP
          VOC:	sulayomAn
        GLOSS:	Sulayman/Solomon

 INPUT STRING:	انا
     IS_TRANS:	AnA
        INDEX:	P44W1
      OFFSETS:	0-3
       TOKENS:	P44W1-P44W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I

 INPUT STRING:	حسب
     IS_TRANS:	Hsb
        INDEX:	P44W2
      OFFSETS:	4-7
       TOKENS:	P44W2-P44W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hasab_1]
   UNSPLITVOC:	(Hasab)
          POS:	NOUN
          VOC:	Hasab
        GLOSS:	according to/in accordance with

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P44W3
      OFFSETS:	8-10
       TOKENS:	P44W3-P44W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	REL_PRON
          VOC:	mA
        GLOSS:	what/which

 INPUT STRING:	شفت
     IS_TRANS:	$ft
        INDEX:	P44W4
      OFFSETS:	11-14
       TOKENS:	P44W4-P44W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$Af_1]
   UNSPLITVOC:	($uft)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	$uf+t
        GLOSS:	look+I

 INPUT STRING:	بالبرامج
     IS_TRANS:	bAlbrAmj
        INDEX:	P44W5
      OFFSETS:	15-23
       TOKENS:	P44W5-P44W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bironAmij_1]
   UNSPLITVOC:	(biAlbarAmij)
          POS:	PREP+DET+NOUN
          VOC:	bi+Al+barAmij
        GLOSS:	with/by+the+programs

 INPUT STRING:	عنه
     IS_TRANS:	Enh
        INDEX:	P44W6
      OFFSETS:	24-27
       TOKENS:	P44W7-P44W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ean_1]
   UNSPLITVOC:	(Ean~uh)
          POS:	PREP+PRON_3MS
          VOC:	Ean~+uh
        GLOSS:	(away) from, off, about, on, over+it/him

 INPUT STRING:	بانه
     IS_TRANS:	bAnh
        INDEX:	P44W7
      OFFSETS:	28-32
       TOKENS:	P44W9-P44W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>an~_1]
   UNSPLITVOC:	(bi>an~uh)
          POS:	PREP+SUB_CONJ+PRON_3MS
          VOC:	bi+>an~+uh
        GLOSS:	with/by+that+he/it

 INPUT STRING:	كان
     IS_TRANS:	kAn
        INDEX:	P44W8
      OFFSETS:	33-36
       TOKENS:	P44W12-P44W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAn)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	kAn+(null)
        GLOSS:	be+he/it

 INPUT STRING:	عنده
     IS_TRANS:	Endh
        INDEX:	P44W9
      OFFSETS:	37-41
       TOKENS:	P44W13-P44W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Einod_1]
   UNSPLITVOC:	(Einoduh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	Einod+uh
        GLOSS:	with / at+his/its

 INPUT STRING:	مرض
     IS_TRANS:	mrD
        INDEX:	P44W10
      OFFSETS:	42-45
       TOKENS:	P44W15-P44W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maraD_1]
   UNSPLITVOC:	(maraD)
          POS:	NOUN
          VOC:	maraD
        GLOSS:	disease/illness

 INPUT STRING:	جلدي
     IS_TRANS:	jldy
        INDEX:	P44W11
      OFFSETS:	46-50
       TOKENS:	P44W16-P44W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jilodiy_1]
   UNSPLITVOC:	(jilodiy)
          POS:	ADJ
          VOC:	jilodiy
        GLOSS:	dermal/cutaneous

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P44W12
      OFFSETS:	51-55
       TOKENS:	P44W17-P44W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which/who/whom

 INPUT STRING:	بخلي
     IS_TRANS:	bxly
        INDEX:	P44W13
      OFFSETS:	56-60
       TOKENS:	P44W18-P44W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xal~aY_1]
   UNSPLITVOC:	(bAaxal~iy)
          POS:	PROG_PART+IV1S+IV
          VOC:	bi+Aa+xal~iy
        GLOSS:	[present-tense]+I+release/evacuate/allow/be released/be evacuated/be allowed

 INPUT STRING:	الجسم
     IS_TRANS:	Aljsm
        INDEX:	P44W14
      OFFSETS:	61-66
       TOKENS:	P44W20-P44W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jisom_1]
   UNSPLITVOC:	(Aljisom)
          POS:	DET+NOUN
          VOC:	Al+jisom
        GLOSS:	the+body/form/bodies/forms

 INPUT STRING:	يبرقع
     IS_TRANS:	ybrqE
        INDEX:	P44W15
      OFFSETS:	67-72
       TOKENS:	P44W21-P44W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baroqaE_1]
   UNSPLITVOC:	(yibaroqiE)
          POS:	IV3MS+IV
          VOC:	yi+baroqiE
        GLOSS:	he/it+veil/drape

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P44W16
      OFFSETS:	73-76
       TOKENS:	P44W22-P44W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	ابيض
     IS_TRANS:	AbyD
        INDEX:	P44W17
      OFFSETS:	77-81
       TOKENS:	P44W23-P44W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aboyaD_1]
   UNSPLITVOC:	(>aboyaD)
          POS:	ADJ
          VOC:	>aboyaD
        GLOSS:	white

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P44W18
      OFFSETS:	82-83
       TOKENS:	P44W24-P44W24
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P44W19
      OFFSETS:	83-84
       TOKENS:	P44W25-P44W25
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P44W20
      OFFSETS:	84-85
       TOKENS:	P44W26-P44W26
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P44W21
      OFFSETS:	85-86
       TOKENS:	P44W27-P44W27
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P44W22
      OFFSETS:	87-89
       TOKENS:	P44W28-P44W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	PSEUDO_VERB
          VOC:	lA
        GLOSS:	no

 INPUT STRING:	اله
     IS_TRANS:	Alh
        INDEX:	P44W23
      OFFSETS:	90-93
       TOKENS:	P44W29-P44W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<ilah_1]
   UNSPLITVOC:	(<ilah)
          POS:	NOUN
          VOC:	<ilah
        GLOSS:	god

 INPUT STRING:	الا
     IS_TRANS:	AlA
        INDEX:	P44W24
      OFFSETS:	94-97
       TOKENS:	P44W30-P44W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<il~A_1]
   UNSPLITVOC:	(<il~A)
          POS:	RESTRIC_PART
          VOC:	<il~A
        GLOSS:	except for

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P44W25
      OFFSETS:	98-102
       TOKENS:	P44W31-P44W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN
          VOC:	All~ah
        GLOSS:	Allah/God

 INPUT STRING:	اللهم
     IS_TRANS:	Allhm
        INDEX:	P44W26
      OFFSETS:	103-108
       TOKENS:	P44W32-P44W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Allahum~a_&]
   UNSPLITVOC:	(Allahum~a)
          POS:	NOUN
          VOC:	Allahum~a
        GLOSS:	oh God/dear God

 INPUT STRING:	عافينا
     IS_TRANS:	EAfynA
        INDEX:	P44W27
      OFFSETS:	109-115
       TOKENS:	P44W33-P44W34
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAfay_1]
   UNSPLITVOC:	(EAfiynA)
          POS:	CV+CVSUFF_SUBJ:2MS+CVSUFF_DO:1P
          VOC:	EAfiy+(null)+nA
        GLOSS:	cure/heal+you [masc.sg.] [verb]+us

 INPUT STRING:	وهذا
     IS_TRANS:	wh*A
        INDEX:	P45W1
      OFFSETS:	0-4
       TOKENS:	P45W1-P45W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ha*A_1]
   UNSPLITVOC:	(waha*A)
          POS:	CONJ+DEM_PRON_MS
          VOC:	wa+ha*A
        GLOSS:	and+this

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P45W2
      OFFSETS:	5-8
       TOKENS:	P45W3-P45W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	كبر
     IS_TRANS:	kbr
        INDEX:	P45W3
      OFFSETS:	9-12
       TOKENS:	P45W4-P45W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kabar_1]
   UNSPLITVOC:	(kabar)
          POS:	NOUN
          VOC:	kabar
        GLOSS:	oldness

 INPUT STRING:	كله
     IS_TRANS:	klh
        INDEX:	P45W4
      OFFSETS:	13-16
       TOKENS:	P45W5-P45W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~uh)
          POS:	NOUN_QUANT+POSS_PRON_3MS
          VOC:	kul~+uh
        GLOSS:	all/entire/every+his/its

 INPUT STRING:	ظهر
     IS_TRANS:	Zhr
        INDEX:	P45W5
      OFFSETS:	17-20
       TOKENS:	P45W7-P45W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Zahar_1]
   UNSPLITVOC:	(Zahar)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	Zahar+(null)
        GLOSS:	appear/emerge+he/it

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P45W6
      OFFSETS:	21-24
       TOKENS:	P45W8-P45W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	جسمه
     IS_TRANS:	jsmh
        INDEX:	P45W7
      OFFSETS:	25-29
       TOKENS:	P45W9-P45W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jisom_1]
   UNSPLITVOC:	(jisomuh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	jisom+uh
        GLOSS:	body/form/bodies/forms+his/its

 INPUT STRING:	وكان
     IS_TRANS:	wkAn
        INDEX:	P45W8
      OFFSETS:	30-34
       TOKENS:	P45W11-P45W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(wikAn)
          POS:	CONJ+PV+PVSUFF_SUBJ:3MS
          VOC:	wi+kAn+(null)
        GLOSS:	and+be+he/it

 INPUT STRING:	ضروري
     IS_TRANS:	Drwry
        INDEX:	P45W9
      OFFSETS:	35-40
       TOKENS:	P45W13-P45W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Daruwriy_1]
   UNSPLITVOC:	(Daruwriy)
          POS:	ADJ
          VOC:	Daruwriy
        GLOSS:	necessary

 INPUT STRING:	انه
     IS_TRANS:	Anh
        INDEX:	P45W10
      OFFSETS:	41-44
       TOKENS:	P45W14-P45W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~uh)
          POS:	SUB_CONJ+PRON_3MS
          VOC:	<in~+uh
        GLOSS:	that+it/he

 INPUT STRING:	يحط
     IS_TRANS:	yHT
        INDEX:	P45W11
      OFFSETS:	45-48
       TOKENS:	P45W16-P45W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HaT~_1]
   UNSPLITVOC:	(yuHuT~)
          POS:	IV3MS+IV
          VOC:	yu+HuT~
        GLOSS:	he/it+put

 INPUT STRING:	الماكياج
     IS_TRANS:	AlmAkyAj
        INDEX:	P45W12
      OFFSETS:	49-57
       TOKENS:	P45W17-P45W17
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mAkiyAj_1]
   UNSPLITVOC:	(AlmAkiyAj)
          POS:	DET+NOUN
          VOC:	Al+mAkiyAj
        GLOSS:	the+facial make-up

 INPUT STRING:	للتغطية
     IS_TRANS:	lltgTyp
        INDEX:	P45W13
      OFFSETS:	58-65
       TOKENS:	P45W18-P45W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tagoTiyap_1]
   UNSPLITVOC:	(lilt~agoTiyap)
          POS:	PREP+DET+NOUN+NSUFF_FEM_SG
          VOC:	li+Al+tagoTiy+ap
        GLOSS:	for/to+the+coverage/covering+[fem.sg.]

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P45W14
      OFFSETS:	66-69
       TOKENS:	P45W20-P45W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	الاماكن
     IS_TRANS:	AlAmAkn
        INDEX:	P45W15
      OFFSETS:	70-77
       TOKENS:	P45W21-P45W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[makAn_1]
   UNSPLITVOC:	(AlAmAkin)
          POS:	DET+NOUN
          VOC:	Al+AmAkin
        GLOSS:	the+place/location/position

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P45W16
      OFFSETS:	78-82
