 INPUT STRING:	ماتأخذونيش
      OFFSETS:	24-30
       TOKENS:	P107W7-P107W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(AnbArH)
          POS:	TYPO
          VOC:	AnbArH
        GLOSS:	nogloss

 INPUT STRING:	ماهو
     IS_TRANS:	mAhw
        INDEX:	P107W6
      OFFSETS:	31-35
       TOKENS:	P107W8-P107W8
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(mAhw)
          POS:	NO_FUNC
          VOC:	mAhw
        GLOSS:	nogloss

 INPUT STRING:	الى
     IS_TRANS:	AlY
        INDEX:	P107W7
      OFFSETS:	36-39
       TOKENS:	P107W9-P107W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(AlY)
          POS:	TYPO
          VOC:	AlY
        GLOSS:	nogloss

 INPUT STRING:	مظاهره
     IS_TRANS:	mZAhrh
        INDEX:	P107W8
      OFFSETS:	40-46
       TOKENS:	P107W10-P107W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muZAhorap_1]
   UNSPLITVOC:	(muZAhorap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	muZAhor+ap
        GLOSS:	demonstration+[fem.sg.]

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P107W9
      OFFSETS:	47-49
       TOKENS:	P107W11-P107W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bas~_1]
   UNSPLITVOC:	(bas~)
          POS:	ADV
          VOC:	bas~
        GLOSS:	only

 INPUT STRING:	كبيره
     IS_TRANS:	kbyrh
        INDEX:	P107W10
      OFFSETS:	50-55
       TOKENS:	P107W12-P107W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kibiyr_1]
   UNSPLITVOC:	(kibiyrap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	kibiyr+ap
        GLOSS:	big+[fem.sg.]

 INPUT STRING:	شويه
     IS_TRANS:	$wyh
        INDEX:	P107W11
      OFFSETS:	56-60
       TOKENS:	P107W13-P107W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[$uway~ap_1]
   UNSPLITVOC:	($uway~ap)
          POS:	NOUN_QUANT+NSUFF_FEM_SG
          VOC:	$uway~+ap
        GLOSS:	a little bit+[fem.sg.]

 INPUT STRING:	بدون
     IS_TRANS:	bdwn
        INDEX:	P107W12
      OFFSETS:	61-65
       TOKENS:	P107W14-P107W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[duwn_1]
   UNSPLITVOC:	(biduwn)
          POS:	PREP+NOUN
          VOC:	bi+duwn
        GLOSS:	with/by+without/beneath/underneath/inferior/poor

 INPUT STRING:	هدف
     IS_TRANS:	hdf
        INDEX:	P107W13
      OFFSETS:	66-69
       TOKENS:	P107W16-P107W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hadaf_1]
   UNSPLITVOC:	(hadaf)
          POS:	NOUN
          VOC:	hadaf
        GLOSS:	goal/objective/intention/goals/objectives/intentions

 INPUT STRING:	حقيقى
     IS_TRANS:	HqyqY
        INDEX:	P107W14
      OFFSETS:	70-75
       TOKENS:	P107W17-P107W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Haqiyqiy_1]
   UNSPLITVOC:	(Haqiyqiy)
          POS:	ADJ
          VOC:	Haqiyqiy
        GLOSS:	true/real

 INPUT STRING:	ممكن
     IS_TRANS:	mmkn
        INDEX:	P108W1
      OFFSETS:	0-4
       TOKENS:	P108W1-P108W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mumokin_1]
   UNSPLITVOC:	(mumokin)
          POS:	ADJ
          VOC:	mumokin
        GLOSS:	possible

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P108W2
      OFFSETS:	5-7
       TOKENS:	P108W2-P108W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyh)
          POS:	PREP+PRON_3MS
          VOC:	fiy+uh
        GLOSS:	in+it/him

 INPUT STRING:	ناس
     IS_TRANS:	nAs
        INDEX:	P108W3
      OFFSETS:	8-11
       TOKENS:	P108W4-P108W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAs_1]
   UNSPLITVOC:	(nAs)
          POS:	NOUN
          VOC:	nAs
        GLOSS:	people

 INPUT STRING:	تعترض
     IS_TRANS:	tEtrD
        INDEX:	P108W4
      OFFSETS:	12-17
       TOKENS:	P108W5-P108W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiEotaraD_1]
   UNSPLITVOC:	(tiEotiriD)
          POS:	IV3FS+IV
          VOC:	ti+EotiriD
        GLOSS:	it/he/she+object to/ be opposed to

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P108W5
      OFFSETS:	18-21
       TOKENS:	P108W6-P108W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	كلامى
     IS_TRANS:	klAmY
        INDEX:	P108W6
      OFFSETS:	22-27
       TOKENS:	P108W7-P108W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kalAm_1]
   UNSPLITVOC:	(kalAmiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	kalAm+iy
        GLOSS:	speech/statement/remark/talk/saying+my

 INPUT STRING:	لكن
     IS_TRANS:	lkn
        INDEX:	P108W7
      OFFSETS:	28-31
       TOKENS:	P108W9-P108W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lakin_1]
   UNSPLITVOC:	(lakin)
          POS:	CONJ
          VOC:	lakin
        GLOSS:	but

 INPUT STRING:	ده
     IS_TRANS:	dh
        INDEX:	P108W8
      OFFSETS:	32-34
       TOKENS:	P108W10-P108W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	رأى
     IS_TRANS:	r>Y
        INDEX:	P108W9
      OFFSETS:	35-38
       TOKENS:	P108W11-P108W11
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(r>Y)
          POS:	TYPO
          VOC:	r>Y
        GLOSS:	nogloss

 INPUT STRING:	المتواضع
     IS_TRANS:	AlmtwADE
        INDEX:	P108W10
      OFFSETS:	39-47
       TOKENS:	P108W12-P108W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mutawADiE_1]
   UNSPLITVOC:	(AlmutawADiE)
          POS:	DET+ADJ
          VOC:	Al+mutawADiE
        GLOSS:	the+humble/modest

 INPUT STRING:	وممكن
     IS_TRANS:	wmmkn
        INDEX:	P109W1
      OFFSETS:	0-5
       TOKENS:	P109W1-P109W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mumokin_1]
   UNSPLITVOC:	(wimumokin)
          POS:	CONJ+ADJ
          VOC:	wi+mumokin
        GLOSS:	and+possible

 INPUT STRING:	يكون
     IS_TRANS:	ykwn
        INDEX:	P109W2
      OFFSETS:	6-10
       TOKENS:	P109W3-P109W3
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(ykwn)
          POS:	NO_FUNC
          VOC:	ykwn
        GLOSS:	nogloss

 INPUT STRING:	كلامى
     IS_TRANS:	klAmY
        INDEX:	P109W3
      OFFSETS:	11-16
       TOKENS:	P109W4-P109W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kalAm_1]
   UNSPLITVOC:	(kalAmiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	kalAm+iy
        GLOSS:	speech/statement/remark/talk/saying+my

 INPUT STRING:	ووجهة
     IS_TRANS:	wwjhp
        INDEX:	P109W4
      OFFSETS:	17-22
       TOKENS:	P109W6-P109W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wajohap_1]
   UNSPLITVOC:	(wiwajohap)
          POS:	CONJ+NOUN+NSUFF_FEM_SG
          VOC:	wi+wajoh+ap
        GLOSS:	and+point of view+[fem.sg.]

 INPUT STRING:	نظرى
     IS_TRANS:	nZrY
        INDEX:	P109W5
      OFFSETS:	23-27
       TOKENS:	P109W8-P109W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[naZar_1]
   UNSPLITVOC:	(naZariy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	naZar+iy
        GLOSS:	view/look/seeing/eye-sight/glances/looking+my

 INPUT STRING:	خطأ
     IS_TRANS:	xT>
        INDEX:	P109W6
      OFFSETS:	28-31
       TOKENS:	P109W10-P109W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xaTa>_1]
   UNSPLITVOC:	(xaTa>)
          POS:	NOUN
          VOC:	xaTa>
        GLOSS:	mistake/error/fault

 INPUT STRING:	تحتمل
     IS_TRANS:	tHtml
        INDEX:	P109W7
      OFFSETS:	32-37
       TOKENS:	P109W11-P109W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiHotamal_1]
   UNSPLITVOC:	(tiHotimil)
          POS:	IV3FS+IV
          VOC:	ti+Hotimil
        GLOSS:	it/they/she+tolerate

 INPUT STRING:	الصواب
     IS_TRANS:	AlSwAb
        INDEX:	P109W8
      OFFSETS:	38-44
       TOKENS:	P109W12-P109W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SawAb_1]
   UNSPLITVOC:	(AlS~awAb)
          POS:	DET+NOUN
          VOC:	Al+SawAb
        GLOSS:	the+reason/good sense

 INPUT STRING:	والخلاف
     IS_TRANS:	wAlxlAf
        INDEX:	P110W1
      OFFSETS:	0-7
       TOKENS:	P110W1-P110W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xilAf_1]
   UNSPLITVOC:	(wiAlxilAf)
          POS:	CONJ+DET+NOUN
          VOC:	wi+Al+xilAf
        GLOSS:	and+the+dispute/controversy/conflict

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P110W2
      OFFSETS:	8-10
       TOKENS:	P110W3-P110W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	الرأى
     IS_TRANS:	Alr>Y
        INDEX:	P110W3
      OFFSETS:	11-16
       TOKENS:	P110W4-P110W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ra>oy_1]
   UNSPLITVOC:	(Alr~a>oy)
          POS:	DET+NOUN
          VOC:	Al+ra>oy
        GLOSS:	the+opinion/view/idea

 INPUT STRING:	لايفسد
     IS_TRANS:	lAyfsd
        INDEX:	P110W4
      OFFSETS:	17-23
       TOKENS:	P110W5-P110W5
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(lAyfsd)
          POS:	NO_FUNC
          VOC:	lAyfsd
        GLOSS:	nogloss

 INPUT STRING:	للود
     IS_TRANS:	llwd
        INDEX:	P110W5
      OFFSETS:	24-28
       TOKENS:	P110W6-P110W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wid~_1]
   UNSPLITVOC:	(lilwid~)
          POS:	PREP+DET+NOUN
          VOC:	li+Al+wid~
        GLOSS:	to/for+the+affection/friendship

 INPUT STRING:	قضيه
     IS_TRANS:	qDyh
        INDEX:	P110W6
      OFFSETS:	29-33
       TOKENS:	P110W8-P110W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qaDiy~ap_1]
   UNSPLITVOC:	(qaDiy~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	qaDiy~+ap
        GLOSS:	lawsuit/legal case/lawsuits/legal cases+[fem.sg.]

 INPUT STRING:	وربنا
     IS_TRANS:	wrbnA
        INDEX:	P111W1
      OFFSETS:	0-5
       TOKENS:	P111W1-P111W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(wirab~inA)
          POS:	CONJ+NOUN+POSS_PRON_1P
          VOC:	wi+rab~i+nA
        GLOSS:	and+lord/master+our

 INPUT STRING:	يستر
     IS_TRANS:	ystr
        INDEX:	P111W2
      OFFSETS:	6-10
       TOKENS:	P111W4-P111W4
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(ystr)
          POS:	NO_FUNC
          VOC:	ystr
        GLOSS:	nogloss

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P111W3
      OFFSETS:	11-13
       TOKENS:	P111W5-P111W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	الى
     IS_TRANS:	AlY
        INDEX:	P111W4
      OFFSETS:	14-17
       TOKENS:	P111W6-P111W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who/which/whom/whose/that

 INPUT STRING:	جاى
     IS_TRANS:	jAY
        INDEX:	P111W5
      OFFSETS:	18-21
       TOKENS:	P111W7-P111W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jAy~_1]
   UNSPLITVOC:	(jAy~)
          POS:	ADJ
          VOC:	jAy~
        GLOSS:	coming/arriving

 INPUT STRING:	شكرا
     IS_TRANS:	$krA
        INDEX:	P112W1
      OFFSETS:	0-4
       TOKENS:	P112W1-P112W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ukor_1]
   UNSPLITVOC:	($ukorAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	$ukor+AF
        GLOSS:	thankfulness/thanks+[acc.indef.]

 INPUT STRING:	برافو
     IS_TRANS:	brAfw
        INDEX:	P113W1
      OFFSETS:	0-5
       TOKENS:	P113W1-P113W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(brAfw)
          POS:	FOREIGN
          VOC:	brAfw
        GLOSS:	nogloss

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P113W2
      OFFSETS:	6-8
       TOKENS:	P113W2-P113W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O, oh

 INPUT STRING:	دكتور
     IS_TRANS:	dktwr
        INDEX:	P113W3
      OFFSETS:	9-14
       TOKENS:	P113W3-P113W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dukotawr_1]
   UNSPLITVOC:	(dukotawr)
          POS:	NOUN
          VOC:	dukotawr
        GLOSS:	doctor/Doctor/Dr.

 INPUT STRING:	ربنا
     IS_TRANS:	rbnA
        INDEX:	P113W4
      OFFSETS:	15-19
       TOKENS:	P113W4-P113W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(rab~inA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	rab~+nA
        GLOSS:	lord/master/God+our

 INPUT STRING:	يقويكم
     IS_TRANS:	yqwykm
        INDEX:	P113W5
      OFFSETS:	20-26
       TOKENS:	P113W6-P113W6
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(yqwykm)
          POS:	NO_FUNC
          VOC:	yqwykm
        GLOSS:	nogloss

 INPUT STRING:	مرة
     IS_TRANS:	mrp
        INDEX:	P114W1
      OFFSETS:	0-3
       TOKENS:	P114W1-P114W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mar~ap_1]
   UNSPLITVOC:	(mar~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	mar~+ap
        GLOSS:	once/one time/(several) times+[fem.sg.]

 INPUT STRING:	الخروج
     IS_TRANS:	Alxrwj
        INDEX:	P114W2
      OFFSETS:	4-10
       TOKENS:	P114W2-P114W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xuruwj_1]
   UNSPLITVOC:	(Alxuruwj)
          POS:	DET+NOUN
          VOC:	Al+xuruwj
        GLOSS:	the+exit/getting out/departure/deviation/trimming/piping

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P114W3
      OFFSETS:	11-14
       TOKENS:	P114W3-P114W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	الحاكم
     IS_TRANS:	AlHAkm
        INDEX:	P114W4
      OFFSETS:	15-21
       TOKENS:	P114W4-P114W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAkim_1]
   UNSPLITVOC:	(AlHAkim)
          POS:	DET+NOUN
          VOC:	Al+HAkim
        GLOSS:	the+ruler/governor

 INPUT STRING:	حرام
     IS_TRANS:	HrAm
        INDEX:	P114W5
      OFFSETS:	22-26
       TOKENS:	P114W5-P114W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HarAm_1]
   UNSPLITVOC:	(HarAm)
          POS:	NOUN
          VOC:	HarAm
        GLOSS:	sin/offense

 INPUT STRING:	رجعوا
     IS_TRANS:	rjEwA
        INDEX:	P114W6
      OFFSETS:	27-32
       TOKENS:	P114W6-P114W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[raj~aE_1]
   UNSPLITVOC:	(raj~aEuwA)
          POS:	PV+PVSUFF_SUBJ:3P
          VOC:	raj~aE+uwA
        GLOSS:	send back/be sent back/went back on+they

 INPUT STRING:	قالوا
     IS_TRANS:	qAlwA
        INDEX:	P114W7
      OFFSETS:	33-38
       TOKENS:	P114W7-P114W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(qAluwA)
          POS:	PV+PVSUFF_SUBJ:3P
          VOC:	qAl+uwA
        GLOSS:	said/say/be said/say/(for example)+they

 INPUT STRING:	لاطاعة
     IS_TRANS:	lATAEp
        INDEX:	P114W8
      OFFSETS:	39-45
       TOKENS:	P114W8-P114W8
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(lATAEp)
          POS:	NO_FUNC
          VOC:	lATAEp
        GLOSS:	nogloss

 INPUT STRING:	لمخلوق
     IS_TRANS:	lmxlwq
        INDEX:	P114W9
      OFFSETS:	46-52
       TOKENS:	P114W9-P114W10
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[maxoluwq_2]
   UNSPLITVOC:	(limaxoluwqK)
          POS:	PREP+NOUN+CASE_INDEF_GEN
          VOC:	li+maxoluwq+K
        GLOSS:	for/to+creature+[indef.gen.]

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P114W10
      OFFSETS:	53-55
       TOKENS:	P114W11-P114W11
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	معصية
     IS_TRANS:	mESyp
        INDEX:	P114W11
      OFFSETS:	56-61
       TOKENS:	P114W12-P114W12
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[maEoSiyap_2]
   UNSPLITVOC:	(maEoSiyapi)
          POS:	NOUN+NSUFF_FEM_SG+CASE_DEF_GEN
          VOC:	maEoSiy+ap+i
        GLOSS:	disobedience/sin+[fem.sg.]+[def.gen.]

 INPUT STRING:	الخالق
     IS_TRANS:	AlxAlq
        INDEX:	P114W12
      OFFSETS:	62-68
       TOKENS:	P114W13-P114W13
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[xAliq_2]
   UNSPLITVOC:	(AlxAliqi)
          POS:	DET+NOUN+CASE_DEF_GEN
          VOC:	Al+xAliq+i
        GLOSS:	the+creator+[def.gen.]

 INPUT STRING:	والحاكم
     IS_TRANS:	wAlHAkm
        INDEX:	P114W13
      OFFSETS:	69-76
       TOKENS:	P114W14-P114W15
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[HAkim_1]
   UNSPLITVOC:	(waAlHAkimi)
          POS:	CONJ+DET+NOUN+CASE_DEF_GEN
          VOC:	wa+Al+HAkim+i
        GLOSS:	and+the+ruler/governor+[def.gen.]

 INPUT STRING:	الذى
     IS_TRANS:	Al*Y
        INDEX:	P114W14
      OFFSETS:	77-81
       TOKENS:	P114W16-P114W16
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[Al~a*iy_1]
   UNSPLITVOC:	(Al~a*iy)
          POS:	REL_PRON
          VOC:	Al~a*iy
        GLOSS:	which/who/whom [masc.sg.]

 INPUT STRING:	لايحكم
     IS_TRANS:	lAyHkm
        INDEX:	P114W15
      OFFSETS:	82-88
       TOKENS:	P114W17-P114W18
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Hakam-u_2]
   UNSPLITVOC:	(lAyaHokumu)
          POS:	NEG_PART+IV3MS+IV+IVSUFF_MOOD:I
          VOC:	lA+ya+Hokum+u
        GLOSS:	not+he/it+rule/govern+[ind.]

 INPUT STRING:	بامر
     IS_TRANS:	bAmr
        INDEX:	P114W16
      OFFSETS:	89-93
       TOKENS:	P114W19-P114W20
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>amor_2]
   UNSPLITVOC:	(bi>amori)
          POS:	PREP+NOUN+CASE_DEF_GEN
          VOC:	bi+>amor+i
        GLOSS:	with/by+order/command+[def.gen.]

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P114W17
      OFFSETS:	94-98
       TOKENS:	P114W21-P114W21
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[All~`h_1]
   UNSPLITVOC:	(All~`hi)
          POS:	NOUN_PROP+CASE_DEF_GEN
          VOC:	All~`h+i
        GLOSS:	Allah/God+[def.gen.]

 INPUT STRING:	ليس
     IS_TRANS:	lys
        INDEX:	P114W18
      OFFSETS:	99-102
       TOKENS:	P114W22-P114W22
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[layosa_1]
   UNSPLITVOC:	(layosa)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	layos+a
        GLOSS:	not be+he/it [verb]

 INPUT STRING:	له
     IS_TRANS:	lh
        INDEX:	P114W19
      OFFSETS:	103-105
       TOKENS:	P114W23-P114W24
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[li-_1]
   UNSPLITVOC:	(lahu)
          POS:	PREP+PRON_3MS
          VOC:	la+hu
        GLOSS:	to/for+it/him (it/he has)

 INPUT STRING:	طاعه
     IS_TRANS:	TAEh
        INDEX:	P114W20
      OFFSETS:	106-110
       TOKENS:	P114W25-P114W25
