 INPUT STRING:	مبارك
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tAbiE_1]
   UNSPLITVOC:	(Alt~AbiEap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+tAbiE+ap
        GLOSS:	the+subordinate/adherent/belonging (to)+[fem.sg.]

 INPUT STRING:	للحرس
     IS_TRANS:	llHrs
        INDEX:	P65W8
      OFFSETS:	28-33
       TOKENS:	P65W8-P65W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Haras_1]
   UNSPLITVOC:	(lilHaras)
          POS:	PREP+DET+NOUN
          VOC:	li+Al+Haras
        GLOSS:	for/to+the+guard/bodyguard

 INPUT STRING:	الجمهوري
     IS_TRANS:	Aljmhwry
        INDEX:	P65W9
      OFFSETS:	34-42
       TOKENS:	P65W10-P65W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jumohuwriy_1]
   UNSPLITVOC:	(Aljumohuwriy)
          POS:	DET+ADJ
          VOC:	Al+jumohuwriy
        GLOSS:	the+republican

 INPUT STRING:	لشرم
     IS_TRANS:	l$rm
        INDEX:	P65W10
      OFFSETS:	43-47
       TOKENS:	P65W11-P65W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$arom_1]
   UNSPLITVOC:	(li$arom)
          POS:	PREP+NOUN_PROP
          VOC:	li+$arom
        GLOSS:	for/to+Sharm

 INPUT STRING:	الشيخ
     IS_TRANS:	Al$yx
        INDEX:	P65W11
      OFFSETS:	48-53
       TOKENS:	P65W13-P65W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ayx_1]
   UNSPLITVOC:	(Al$~ayx)
          POS:	DET+NOUN_PROP
          VOC:	Al+$ayx
        GLOSS:	the+Sheikh/Chik/Sheik

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P66W1
      OFFSETS:	0-3
       TOKENS:	P66W1-P66W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	أن
     IS_TRANS:	>n
        INDEX:	P66W2
      OFFSETS:	4-6
       TOKENS:	P66W2-P66W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<an~_1]
   UNSPLITVOC:	(<an~)
          POS:	SUB_CONJ
          VOC:	<an~
        GLOSS:	that/to

 INPUT STRING:	يتم
     IS_TRANS:	ytm
        INDEX:	P66W3
      OFFSETS:	7-10
       TOKENS:	P66W3-P66W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tam~_1]
   UNSPLITVOC:	(yitim~)
          POS:	IV3MS+IV
          VOC:	yi+tim~
        GLOSS:	he/it+conclude/take place

 INPUT STRING:	هناك
     IS_TRANS:	hnAk
        INDEX:	P66W4
      OFFSETS:	11-15
       TOKENS:	P66W4-P66W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hinAk_1]
   UNSPLITVOC:	(hinAk)
          POS:	ADV
          VOC:	hinAk
        GLOSS:	there

 INPUT STRING:	الإستعانة
     IS_TRANS:	Al<stEAnp
        INDEX:	P66W5
      OFFSETS:	16-25
       TOKENS:	P66W5-P66W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AisotiEAnap_1]
   UNSPLITVOC:	(AlAisotiEAnap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+AisotiEAn+ap
        GLOSS:	the+assistance/help+[fem.sg.]

 INPUT STRING:	بعناصر
     IS_TRANS:	bEnASr
        INDEX:	P66W6
      OFFSETS:	26-32
       TOKENS:	P66W6-P66W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EunoSur_1]
   UNSPLITVOC:	(biEanASir)
          POS:	PREP+NOUN
          VOC:	bi+EanASir
        GLOSS:	with/by+element/factor/elements/factors/individuals/members/component/ingredient

 INPUT STRING:	الجيش
     IS_TRANS:	Aljy$
        INDEX:	P66W7
      OFFSETS:	33-38
       TOKENS:	P66W8-P66W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jay$_1]
   UNSPLITVOC:	(Aljay$)
          POS:	DET+NOUN
          VOC:	Al+jay$
        GLOSS:	the+troops/army

 INPUT STRING:	الثاني
     IS_TRANS:	AlvAny
        INDEX:	P66W8
      OFFSETS:	39-45
       TOKENS:	P66W9-P66W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vAniy_1]
   UNSPLITVOC:	(Alv~Aniy)
          POS:	DET+ADJ
          VOC:	Al+vAniy
        GLOSS:	the+second/next/II/secondly

 INPUT STRING:	الميداني
     IS_TRANS:	AlmydAny
        INDEX:	P66W9
      OFFSETS:	46-54
       TOKENS:	P66W10-P66W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maydAniy_1]
   UNSPLITVOC:	(AlmaydAniy)
          POS:	DET+ADJ
          VOC:	Al+maydAniy
        GLOSS:	the+field

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P66W10
      OFFSETS:	55-56
       TOKENS:	P66W11-P66W11
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(w)
          POS:	TYPO
          VOC:	w
        GLOSS:	nogloss

 INPUT STRING:	بعض
     IS_TRANS:	bED
        INDEX:	P66W11
      OFFSETS:	57-60
       TOKENS:	P66W12-P66W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEoD_1]
   UNSPLITVOC:	(baEoD)
          POS:	NOUN_QUANT
          VOC:	baEoD
        GLOSS:	some/a few/little/part

 INPUT STRING:	عناصر
     IS_TRANS:	EnASr
        INDEX:	P66W12
      OFFSETS:	61-66
       TOKENS:	P66W13-P66W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EunoSur_1]
   UNSPLITVOC:	(EanASir)
          POS:	NOUN
          VOC:	EanASir
        GLOSS:	element/factor/elements/factors/individuals/members/component/ingredient

 INPUT STRING:	الشرطة
     IS_TRANS:	Al$rTp
        INDEX:	P66W13
      OFFSETS:	67-73
       TOKENS:	P66W14-P66W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$uroTap_1]
   UNSPLITVOC:	(Al$~uroTap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+$uroT+ap
        GLOSS:	the+police+[fem.sg.]

 INPUT STRING:	لتأمين
     IS_TRANS:	lt>myn
        INDEX:	P66W14
      OFFSETS:	74-80
       TOKENS:	P66W15-P66W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ta>omiyn_1]
   UNSPLITVOC:	(lita>omiyn)
          POS:	PREP+NOUN
          VOC:	li+ta>omiyn
        GLOSS:	for/to+insurance/guarantee

 INPUT STRING:	الرئيس
     IS_TRANS:	Alr}ys
        INDEX:	P66W15
      OFFSETS:	81-87
       TOKENS:	P66W17-P66W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ra}iys_1]
   UNSPLITVOC:	(Alr~a}iys)
          POS:	DET+NOUN
          VOC:	Al+ra}iys
        GLOSS:	the+president/head/chairman/presidents

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P66W16
      OFFSETS:	87-88
       TOKENS:	P66W18-P66W18
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P66W17
      OFFSETS:	88-89
       TOKENS:	P66W19-P66W19
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	-
     IS_TRANS:	-
        INDEX:	P67W1
      OFFSETS:	0-1
       TOKENS:	P67W1-P67W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(-)
          POS:	PUNC
          VOC:	-
        GLOSS:	nogloss

 INPUT STRING:	الرئيس
     IS_TRANS:	Alr}ys
        INDEX:	P67W2
      OFFSETS:	2-8
       TOKENS:	P67W2-P67W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ra}iys_1]
   UNSPLITVOC:	(Alr~a}iys)
          POS:	DET+NOUN
          VOC:	Al+ra}iys
        GLOSS:	the+president/head/chairman/presidents

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P67W3
      OFFSETS:	9-11
       TOKENS:	P67W3-P67W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	NEG_PART
          VOC:	lA
        GLOSS:	no/not/non-

 INPUT STRING:	يقيم
     IS_TRANS:	yqym
        INDEX:	P67W4
      OFFSETS:	12-16
       TOKENS:	P67W4-P67W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aqAm_1]
   UNSPLITVOC:	(yuqiym)
          POS:	IV3MS+IV
          VOC:	yu+qiym
        GLOSS:	he/it+install/establish/erect/take place/be installed/be established/reside/live

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P67W5
      OFFSETS:	17-19
       TOKENS:	P67W5-P67W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	بيت
     IS_TRANS:	byt
        INDEX:	P67W6
      OFFSETS:	20-23
       TOKENS:	P67W6-P67W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bayt_1]
   UNSPLITVOC:	(bayt)
          POS:	NOUN
          VOC:	bayt
        GLOSS:	house/houses

 INPUT STRING:	ملكه
     IS_TRANS:	mlkh
        INDEX:	P67W7
      OFFSETS:	24-28
       TOKENS:	P67W7-P67W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[milok_1]
   UNSPLITVOC:	(milokuh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	milok+uh
        GLOSS:	property/real estate/possessions+his/its

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P67W8
      OFFSETS:	29-30
       TOKENS:	P67W9-P67W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(w)
          POS:	TYPO
          VOC:	w
        GLOSS:	nogloss

 INPUT STRING:	لكن
     IS_TRANS:	lkn
        INDEX:	P67W9
      OFFSETS:	31-34
       TOKENS:	P67W10-P67W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lakin_1]
   UNSPLITVOC:	(lakin)
          POS:	CONJ
          VOC:	lakin
        GLOSS:	Rather/even/but/yet/however/but rather

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P67W10
      OFFSETS:	35-37
       TOKENS:	P67W11-P67W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	إستراحته
     IS_TRANS:	<strAHth
        INDEX:	P67W11
      OFFSETS:	38-46
       TOKENS:	P67W12-P67W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<istirAHap_1]
   UNSPLITVOC:	(<istirAHtuh)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_3MS
          VOC:	<istirAH+t+uh
        GLOSS:	rest+[fem.sg.]+his/its

 INPUT STRING:	التابعة
     IS_TRANS:	AltAbEp
        INDEX:	P67W12
      OFFSETS:	47-54
       TOKENS:	P67W14-P67W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tAbiE_1]
   UNSPLITVOC:	(Alt~AbiEap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+tAbiE+ap
        GLOSS:	the+subordinate/adherent/belonging (to)+[fem.sg.]

 INPUT STRING:	للدولة
     IS_TRANS:	lldwlp
        INDEX:	P67W13
      OFFSETS:	55-61
       TOKENS:	P67W15-P67W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dawlap_1]
   UNSPLITVOC:	(lild~awlap)
          POS:	PREP+DET+NOUN+NSUFF_FEM_SG
          VOC:	li+Al+dawl+ap
        GLOSS:	for/to+the+state/country/states/countries+[fem.sg.]

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P68W1
      OFFSETS:	0-3
       TOKENS:	P68W1-P68W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	عكس
     IS_TRANS:	Eks
        INDEX:	P68W2
      OFFSETS:	4-7
       TOKENS:	P68W2-P68W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eakos_1]
   UNSPLITVOC:	(Eakos)
          POS:	NOUN
          VOC:	Eakos
        GLOSS:	opposite/contrary

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P68W3
      OFFSETS:	8-10
       TOKENS:	P68W3-P68W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	SUB_CONJ
          VOC:	mA
        GLOSS:	that/if/unless/whether/as long as/as soon as

 INPUT STRING:	يروجه
     IS_TRANS:	yrwjh
        INDEX:	P68W4
      OFFSETS:	11-16
       TOKENS:	P68W4-P68W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[raw~aj_1]
   UNSPLITVOC:	(yuraw~ijhu)
          POS:	IV3MS+IV+IVSUFF_DO:3MS
          VOC:	yu+raw~ij+hu
        GLOSS:	he/it+promote/market/circulate+it/him

 INPUT STRING:	البعض
     IS_TRANS:	AlbED
        INDEX:	P68W5
      OFFSETS:	17-22
       TOKENS:	P68W6-P68W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEoD_1]
   UNSPLITVOC:	(AlbaEoD)
          POS:	DET+NOUN_QUANT
          VOC:	Al+baEoD
        GLOSS:	the+some/a few/little/part

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P68W6
      OFFSETS:	23-24
       TOKENS:	P68W7-P68W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(w)
          POS:	TYPO
          VOC:	w
        GLOSS:	nogloss

 INPUT STRING:	منهم
     IS_TRANS:	mnhm
        INDEX:	P68W7
      OFFSETS:	25-29
       TOKENS:	P68W8-P68W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(minhum)
          POS:	PREP+PRON_3P
          VOC:	min+hum
        GLOSS:	from+them [masc.pl.]

 INPUT STRING:	إبراهيم
     IS_TRANS:	<brAhym
        INDEX:	P68W8
      OFFSETS:	30-37
       TOKENS:	P68W10-P68W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<iborAhiym_1]
   UNSPLITVOC:	(<iborAhiym)
          POS:	NOUN_PROP
          VOC:	<iborAhiym
        GLOSS:	Ibrahim

 INPUT STRING:	عيسى
     IS_TRANS:	EysY
        INDEX:	P68W9
      OFFSETS:	38-42
       TOKENS:	P68W11-P68W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EiysaY_1]
   UNSPLITVOC:	(EiysaY)
          POS:	NOUN_PROP
          VOC:	EiysaY
        GLOSS:	Issa/Eissa/Jesus (in Islam)

 INPUT STRING:	نفسه
     IS_TRANS:	nfsh
        INDEX:	P68W10
      OFFSETS:	43-47
       TOKENS:	P68W12-P68W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nafos_1]
   UNSPLITVOC:	(nafosh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	nafos+uh
        GLOSS:	same/self/selves/soul/souls+his/its

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P68W11
      OFFSETS:	47-48
       TOKENS:	P68W14-P68W14
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P68W12
      OFFSETS:	48-49
       TOKENS:	P68W15-P68W15
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	-
     IS_TRANS:	-
        INDEX:	P69W1
      OFFSETS:	0-1
       TOKENS:	P69W1-P69W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(-)
          POS:	PUNC
          VOC:	-
        GLOSS:	-

 INPUT STRING:	شرعية
     IS_TRANS:	$rEyp
        INDEX:	P69W2
      OFFSETS:	2-7
       TOKENS:	P69W2-P69W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[$aroEiy~ap_1]
   UNSPLITVOC:	($aroEiy~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	$aroEiy~+ap
        GLOSS:	legitimacy/legality+[fem.sg.]

 INPUT STRING:	المجلس
     IS_TRANS:	Almjls
        INDEX:	P69W3
      OFFSETS:	8-14
       TOKENS:	P69W3-P69W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[majolis_1]
   UNSPLITVOC:	(Almajolis)
          POS:	DET+NOUN
          VOC:	Al+majolis
        GLOSS:	the+council/board/Majlis/councils/boards

 INPUT STRING:	الأعلى
     IS_TRANS:	Al>ElY
        INDEX:	P69W4
      OFFSETS:	15-21
       TOKENS:	P69W4-P69W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aEolaY_1]
   UNSPLITVOC:	(Al>aEolaY)
          POS:	DET+ADJ_COMP
          VOC:	Al+>aEolaY
        GLOSS:	the+higher/highest/supreme

 INPUT STRING:	مُعترف
     IS_TRANS:	muEtrf
        INDEX:	P69W5
      OFFSETS:	22-28
       TOKENS:	P69W5-P69W5
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(muEtrf)
          POS:	NO_FUNC
          VOC:	muEtrf
        GLOSS:	nogloss

 INPUT STRING:	بها
     IS_TRANS:	bhA
        INDEX:	P69W6
      OFFSETS:	29-32
       TOKENS:	P69W6-P69W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[bi_1]
   UNSPLITVOC:	(bihA)
          POS:	PREP+PRON_3FS
          VOC:	bi+hA
        GLOSS:	with/by+it/them/her

 INPUT STRING:	محلياً
     IS_TRANS:	mHlyAF
        INDEX:	P69W7
      OFFSETS:	33-39
       TOKENS:	P69W8-P69W8
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[maHal~iy~_1]
   UNSPLITVOC:	(maHal~iy~AF)
          POS:	ADJ+CASE_INDEF_ACC
          VOC:	maHal~iy~+AF
        GLOSS:	local+[acc.indef.]

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P69W8
      OFFSETS:	40-41
       TOKENS:	P69W9-P69W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(w)
          POS:	TYPO
          VOC:	w
        GLOSS:	nogloss

 INPUT STRING:	دولياً
     IS_TRANS:	dwlyAF
        INDEX:	P69W9
      OFFSETS:	42-48
       TOKENS:	P69W10-P69W10
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[duwaliy~_1]
   UNSPLITVOC:	(duwaliy~AF)
          POS:	ADJ+CASE_INDEF_ACC
          VOC:	duwaliy~+AF
        GLOSS:	international/world+[acc.indef.]

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P69W10
      OFFSETS:	49-50
       TOKENS:	P69W11-P69W11
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(w)
          POS:	TYPO
          VOC:	w
        GLOSS:	nogloss

 INPUT STRING:	إقليمياً
     IS_TRANS:	<qlymyAF
        INDEX:	P69W11
      OFFSETS:	51-59
       TOKENS:	P69W12-P69W12
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iqoliymiy~_1]
   UNSPLITVOC:	(<iqoliymiy~AF)
          POS:	ADJ+CASE_INDEF_ACC
          VOC:	<iqoliymiy~+AF
        GLOSS:	regional/territorial+[acc.indef.]

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P69W12
      OFFSETS:	59-60
       TOKENS:	P69W13-P69W13
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P69W13
      OFFSETS:	60-61
       TOKENS:	P69W14-P69W14
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	-
     IS_TRANS:	-
        INDEX:	P70W1
      OFFSETS:	0-1
       TOKENS:	P70W1-P70W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(-)
          POS:	PUNC
          VOC:	-
        GLOSS:	-

 INPUT STRING:	وجود
     IS_TRANS:	wjwd
        INDEX:	P70W2
      OFFSETS:	2-6
       TOKENS:	P70W2-P70W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wujuwd_1]
   UNSPLITVOC:	(wujuwd)
          POS:	NOUN
          VOC:	wujuwd
        GLOSS:	presence/existence

 INPUT STRING:	مبارك
     IS_TRANS:	mbArk
        INDEX:	P70W3
      OFFSETS:	7-12
       TOKENS:	P70W3-P70W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mubArak_1]
   UNSPLITVOC:	(mubArak)
          POS:	NOUN_PROP
          VOC:	mubArak
        GLOSS:	Mubarak

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P70W4
      OFFSETS:	13-15
       TOKENS:	P70W4-P70W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	شرم
     IS_TRANS:	$rm
        INDEX:	P70W5
      OFFSETS:	16-19
       TOKENS:	P70W5-P70W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$arom_1]
   UNSPLITVOC:	($arom)
          POS:	NOUN_PROP
          VOC:	$arom
        GLOSS:	Sharm

 INPUT STRING:	الشيخ
     IS_TRANS:	Al$yx
        INDEX:	P70W6
      OFFSETS:	20-25
       TOKENS:	P70W6-P70W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ayx_1]
   UNSPLITVOC:	(Al$~ayx)
