 INPUT STRING:	اعتقد
     IS_TRANS:	ElY
        INDEX:	P72W2
      OFFSETS:	23-26
       TOKENS:	P72W2-P72W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	التوبك
     IS_TRANS:	Altwbk
        INDEX:	P72W3
      OFFSETS:	27-33
       TOKENS:	P72W3-P72W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(Altwbk)
          POS:	FOREIGN
          VOC:	Altwbk
        GLOSS:	nogloss

 INPUT STRING:	موضوع
     IS_TRANS:	mwDwE
        INDEX:	P73W1
      OFFSETS:	0-5
       TOKENS:	P73W1-P73W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mawDuwE_1]
   UNSPLITVOC:	(mawDuwE)
          POS:	NOUN
          VOC:	mawDuwE
        GLOSS:	subject/theme/issue

 INPUT STRING:	جميل
     IS_TRANS:	jmyl
        INDEX:	P73W2
      OFFSETS:	6-10
       TOKENS:	P73W2-P73W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jamiyl_1]
   UNSPLITVOC:	(jamiyl)
          POS:	ADJ
          VOC:	jamiyl
        GLOSS:	beautiful/nice/fine

 INPUT STRING:	جدا
     IS_TRANS:	jdA
        INDEX:	P73W3
      OFFSETS:	11-14
       TOKENS:	P73W3-P73W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jid~_1]
   UNSPLITVOC:	(jid~AF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	jid~+AF
        GLOSS:	very/much+[acc.indef.]

 INPUT STRING:	وصدقينى
     IS_TRANS:	wSdqynY
        INDEX:	P74W1
      OFFSETS:	0-7
       TOKENS:	P74W1-P74W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Sad~aq_1]
   UNSPLITVOC:	(wiSad~aqiyniy)
          POS:	CONJ+CV+CVSUFF_SUBJ:2FS+CVSUFF_DO:1S
          VOC:	wi+Sad~aq+iy+niy
        GLOSS:	and+believe+you+me

 INPUT STRING:	ليس
     IS_TRANS:	lys
        INDEX:	P74W2
      OFFSETS:	8-11
       TOKENS:	P74W4-P74W4
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[layosa_2]
   UNSPLITVOC:	(layosa)
          POS:	NEG_PART
          VOC:	layosa
        GLOSS:	not

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P74W3
      OFFSETS:	12-14
       TOKENS:	P74W5-P74W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all/entire

 INPUT STRING:	المطلقات
     IS_TRANS:	AlmTlqAt
        INDEX:	P74W4
      OFFSETS:	15-23
       TOKENS:	P74W6-P74W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[muTal~aq_1]
   UNSPLITVOC:	(AlmuTal~aqAt)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+muTal~aq+At
        GLOSS:	the+devorced+[fem.pl.]

 INPUT STRING:	تعشن
     IS_TRANS:	tE$n
        INDEX:	P74W5
      OFFSETS:	24-28
       TOKENS:	P74W7-P74W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[EA$_1]
   UNSPLITVOC:	(taEi$n)
          POS:	IV3P+IV+IVSUFF_SUBJ:P
          VOC:	ta+Ei$+n
        GLOSS:	they+live+they

 INPUT STRING:	بوحدة
     IS_TRANS:	bwHdp
        INDEX:	P74W6
      OFFSETS:	29-34
       TOKENS:	P74W8-P74W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wiHodap_1]
   UNSPLITVOC:	(biwiHodap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	bi+wiHod+ap
        GLOSS:	with/by+unity+[fem.sg.]

 INPUT STRING:	وسكون
     IS_TRANS:	wskwn
        INDEX:	P74W7
      OFFSETS:	35-40
       TOKENS:	P74W10-P74W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sukuwn_1]
   UNSPLITVOC:	(wasukuwn)
          POS:	PREP+NOUN
          VOC:	wa+sukuwn
        GLOSS:	with+rest/tranquillity/quietude

 INPUT STRING:	وكسرة
     IS_TRANS:	wksrp
        INDEX:	P74W8
      OFFSETS:	41-46
       TOKENS:	P74W12-P74W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kasorap_1]
   UNSPLITVOC:	(wikasorap)
          POS:	CONJ+NOUN+NSUFF_FEM_SG
          VOC:	wi+kasor+ap
        GLOSS:	and+defeat/collapse+[fem.sg.]

 INPUT STRING:	نفس
     IS_TRANS:	nfs
        INDEX:	P74W9
      OFFSETS:	47-50
       TOKENS:	P74W14-P74W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nifos_1]
   UNSPLITVOC:	(nifos)
          POS:	NOUN
          VOC:	nifos
        GLOSS:	Gloss:TBA

 INPUT STRING:	عندنا
     IS_TRANS:	EndnA
        INDEX:	P75W1
      OFFSETS:	0-5
       TOKENS:	P75W1-P75W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eanod_1]
   UNSPLITVOC:	(EanodinA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	Eanod+nA
        GLOSS:	with+our

 INPUT STRING:	بالمدرسة
     IS_TRANS:	bAlmdrsp
        INDEX:	P75W2
      OFFSETS:	6-14
       TOKENS:	P75W3-P75W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[madorasap_1]
   UNSPLITVOC:	(biAlmadorasap)
          POS:	PREP+DET+NOUN+NSUFF_FEM_SG
          VOC:	bi+Al+madoras+ap
        GLOSS:	with/by+the+school+[fem.sg.]

 INPUT STRING:	مطلقتين
     IS_TRANS:	mTlqtyn
        INDEX:	P75W3
      OFFSETS:	15-22
       TOKENS:	P75W5-P75W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[muTal~aq_1]
   UNSPLITVOC:	(muTal~aqtiyn)
          POS:	NOUN+NSUFF_FEM_DU
          VOC:	muTal~aq+tiyn
        GLOSS:	divorced+two

 INPUT STRING:	احداهما
     IS_TRANS:	AHdAhmA
        INDEX:	P75W4
      OFFSETS:	23-30
       TOKENS:	P75W6-P75W7
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>aHad_1]
   UNSPLITVOC:	(<iHodAhumA)
          POS:	NOUN+POSS_PRON_3D
          VOC:	<iHodA+humA
        GLOSS:	one (of)/someone+their

 INPUT STRING:	تربى
     IS_TRANS:	trbY
        INDEX:	P75W5
      OFFSETS:	31-35
       TOKENS:	P75W8-P75W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rab~aY_1]
   UNSPLITVOC:	(tirab~iy)
          POS:	IV2MS+IV
          VOC:	ti+rab~iy
        GLOSS:	you+raise/grow/be raised/be grown

 INPUT STRING:	ابنها
     IS_TRANS:	AbnhA
        INDEX:	P75W6
      OFFSETS:	36-41
       TOKENS:	P75W9-P75W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aibon_1]
   UNSPLITVOC:	(AibonahA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	Aibon+hA
        GLOSS:	son+its/their/her

 INPUT STRING:	بوحدة
     IS_TRANS:	bwHdp
        INDEX:	P75W7
      OFFSETS:	42-47
       TOKENS:	P75W11-P75W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wiHodap_1]
   UNSPLITVOC:	(biwiHodap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	bi+wiHod+ap
        GLOSS:	with/by+unity+[fem.sg.]

 INPUT STRING:	ومكتفية
     IS_TRANS:	wmktfyp
        INDEX:	P75W8
      OFFSETS:	48-55
       TOKENS:	P75W13-P75W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[muktafiy_1]
   UNSPLITVOC:	(wimuktafiyap)
          POS:	CONJ+ADJ.VN+NSUFF_FEM_SG
          VOC:	wi+muktafiy+ap
        GLOSS:	and+contented/satisfied+[fem.sg.]

 INPUT STRING:	به
     IS_TRANS:	bh
        INDEX:	P75W9
      OFFSETS:	56-58
       TOKENS:	P75W15-P75W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bi_1]
   UNSPLITVOC:	(buh)
          POS:	PREP+PRON_3MS
          VOC:	bi+uh
        GLOSS:	with+him/it

 INPUT STRING:	عن
     IS_TRANS:	En
        INDEX:	P75W10
      OFFSETS:	59-61
       TOKENS:	P75W17-P75W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ean_1]
   UNSPLITVOC:	(Ean)
          POS:	PREP
          VOC:	Ean
        GLOSS:	(away) from, off, about, on, over

 INPUT STRING:	الدنيا
     IS_TRANS:	AldnyA
        INDEX:	P75W11
      OFFSETS:	62-68
       TOKENS:	P75W18-P75W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dinoyA_1]
   UNSPLITVOC:	(Ald~inoyA)
          POS:	DET+NOUN
          VOC:	Al+dinoyA
        GLOSS:	the+world

 INPUT STRING:	ومافيها
     IS_TRANS:	wmAfyhA
        INDEX:	P75W12
      OFFSETS:	69-76
       TOKENS:	P75W19-P75W19
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(wmAfyhA)
          POS:	NO_FUNC
          VOC:	wmAfyhA
        GLOSS:	nogloss

 INPUT STRING:	والاخرى
     IS_TRANS:	wAlAxrY
        INDEX:	P76W1
      OFFSETS:	0-7
       TOKENS:	P76W1-P76W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Al>uxraY_1]
   UNSPLITVOC:	(wiAl>uxraY)
          POS:	CONJ+DET+ADJ
          VOC:	wi+Al+>uxraY
        GLOSS:	and+the+other

 INPUT STRING:	تربى
     IS_TRANS:	trbY
        INDEX:	P76W2
      OFFSETS:	8-12
       TOKENS:	P76W3-P76W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rab~aY_1]
   UNSPLITVOC:	(tirab~iy)
          POS:	IV3FS+IV
          VOC:	ti+rab~iy
        GLOSS:	it/they/she+raise/grow/be raised/be grown

 INPUT STRING:	ابنها
     IS_TRANS:	AbnhA
        INDEX:	P76W3
      OFFSETS:	13-18
       TOKENS:	P76W4-P76W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aibon_1]
   UNSPLITVOC:	(AibonahA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	Aibon+hA
        GLOSS:	son+its/their/her

 INPUT STRING:	وعايشة
     IS_TRANS:	wEAy$p
        INDEX:	P76W4
      OFFSETS:	19-25
       TOKENS:	P76W6-P76W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAyi$_1]
   UNSPLITVOC:	(wiEAyo$ap)
          POS:	CONJ+ADJ+NSUFF_FEM_SG
          VOC:	wi+EAyo$+ap
        GLOSS:	and+Gloss:TBA+[fem.sg.]

 INPUT STRING:	حياتها
     IS_TRANS:	HyAthA
        INDEX:	P76W5
      OFFSETS:	26-32
       TOKENS:	P76W8-P76W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HayAp_1]
   UNSPLITVOC:	(HayAthA)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_3FS
          VOC:	HayA+ap+hA
        GLOSS:	life/lives+[fem.sg.]+its/their/her

 INPUT STRING:	ونفسها
     IS_TRANS:	wnfshA
        INDEX:	P76W6
      OFFSETS:	33-39
       TOKENS:	P76W10-P76W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nifos_1]
   UNSPLITVOC:	(winifosahA)
          POS:	CONJ+NOUN+POSS_PRON_3FS
          VOC:	wi+nifos+hA
        GLOSS:	and+wish+its/their/her

 INPUT STRING:	بل
     IS_TRANS:	bl
        INDEX:	P76W7
      OFFSETS:	40-42
       TOKENS:	P76W13-P76W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bal_1]
   UNSPLITVOC:	(bal)
          POS:	CONJ
          VOC:	bal
        GLOSS:	Rather, even, but, yet, however

 INPUT STRING:	وتسعى
     IS_TRANS:	wtsEY
        INDEX:	P76W8
      OFFSETS:	43-48
       TOKENS:	P76W14-P76W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[saEaY_1]
   UNSPLITVOC:	(witisoEaY)
          POS:	CONJ+IV2MS+IV
          VOC:	wi+ti+soEaY
        GLOSS:	and+you+strive/pursue

 INPUT STRING:	لتتزوج
     IS_TRANS:	lttzwj
        INDEX:	P76W9
      OFFSETS:	49-55
       TOKENS:	P76W16-P76W16
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(lttzwj)
          POS:	NO_FUNC
          VOC:	lttzwj
        GLOSS:	nogloss

 INPUT STRING:	مرة
     IS_TRANS:	mrp
        INDEX:	P76W10
      OFFSETS:	56-59
       TOKENS:	P76W17-P76W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mar~ap_1]
   UNSPLITVOC:	(mar~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	mar~+ap
        GLOSS:	occasion/time/moment/occasions/times/moments+[fem.sg.]

 INPUT STRING:	اخرى
     IS_TRANS:	AxrY
        INDEX:	P76W11
      OFFSETS:	60-64
       TOKENS:	P76W18-P76W18
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[>uxoraY_1]
   UNSPLITVOC:	(>uxoraY)
          POS:	ADJ
          VOC:	>uxoraY
        GLOSS:	other/another/additional

 INPUT STRING:	برجل
     IS_TRANS:	brjl
        INDEX:	P76W12
      OFFSETS:	65-69
       TOKENS:	P76W19-P76W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rijol_1]
   UNSPLITVOC:	(birijol)
          POS:	PREP+NOUN
          VOC:	bi+rijol
        GLOSS:	with/by+man

 INPUT STRING:	اخر
     IS_TRANS:	Axr
        INDEX:	P76W13
      OFFSETS:	70-73
       TOKENS:	P76W21-P76W21
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[|xar_1]
   UNSPLITVOC:	(|xar)
          POS:	ADJ
          VOC:	|xar
        GLOSS:	other/another

 INPUT STRING:	وتراها
     IS_TRANS:	wtrAhA
        INDEX:	P77W1
      OFFSETS:	0-6
       TOKENS:	P77W1-P77W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[ra>aY_1]
   UNSPLITVOC:	(witirAhA)
          POS:	CONJ+IV2MS+IV+IVSUFF_DO:3FS
          VOC:	wi+ti+rA+hA
        GLOSS:	and+you+see+it/them/her

 INPUT STRING:	لاتقل
     IS_TRANS:	lAtql
        INDEX:	P77W2
      OFFSETS:	7-12
       TOKENS:	P77W4-P77W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(lAtiqul)
          POS:	NEG_PART+IV3FS+IV
          VOC:	lA+ti+qul
        GLOSS:	not+she/it+say

 INPUT STRING:	انها
     IS_TRANS:	AnhA
        INDEX:	P77W3
      OFFSETS:	13-17
       TOKENS:	P77W6-P77W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~ahA)
          POS:	SUB_CONJ+PRON_3FS
          VOC:	<in~+hA
        GLOSS:	that+she/it

 INPUT STRING:	مطلقة
     IS_TRANS:	mTlqp
        INDEX:	P77W4
      OFFSETS:	18-23
       TOKENS:	P77W8-P77W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[muTal~aq_1]
   UNSPLITVOC:	(muTal~aqap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	muTal~aq+ap
        GLOSS:	divorced+[fem.sg.]

 INPUT STRING:	لبس
     IS_TRANS:	lbs
        INDEX:	P78W1
      OFFSETS:	0-3
       TOKENS:	P78W1-P78W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[libos_1]
   UNSPLITVOC:	(libos)
          POS:	NOUN
          VOC:	libos
        GLOSS:	clothes/attire

 INPUT STRING:	ايه
     IS_TRANS:	Ayh
        INDEX:	P78W2
      OFFSETS:	4-7
       TOKENS:	P78W2-P78W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iyh_1]
   UNSPLITVOC:	(<iyh)
          POS:	INTERROG_PRON
          VOC:	<iyh
        GLOSS:	what

 INPUT STRING:	وشياكه
     IS_TRANS:	w$yAkh
        INDEX:	P78W3
      OFFSETS:	8-14
       TOKENS:	P78W3-P78W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$iyAkap_1]
   UNSPLITVOC:	(wi$iyAkap)
          POS:	CONJ+NOUN+NSUFF_FEM_SG
          VOC:	wi+$iyAk+ap
        GLOSS:	and+elegance+[fem.sg.]

 INPUT STRING:	ايه
     IS_TRANS:	Ayh
        INDEX:	P78W4
      OFFSETS:	15-18
       TOKENS:	P78W5-P78W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iyh_1]
   UNSPLITVOC:	(<iyh)
          POS:	INTERROG_PRON
          VOC:	<iyh
        GLOSS:	what

 INPUT STRING:	وقد
     IS_TRANS:	wqd
        INDEX:	P79W1
      OFFSETS:	0-3
       TOKENS:	P79W1-P79W2
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qado_1]
   UNSPLITVOC:	(waqado)
          POS:	CONJ+VERB_PART
          VOC:	wa+qado
        GLOSS:	and+may, might, perhaps, maybe, possibly, probably

 INPUT STRING:	دعت
     IS_TRANS:	dEt
        INDEX:	P79W2
      OFFSETS:	4-7
       TOKENS:	P79W3-P79W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[daEaY_1]
   UNSPLITVOC:	(daEit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	daE+it
        GLOSS:	pray+it/they/she

 INPUT STRING:	دعوة
     IS_TRANS:	dEwp
        INDEX:	P79W3
      OFFSETS:	8-12
       TOKENS:	P79W4-P79W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[daEowap_1]
   UNSPLITVOC:	(daEowap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	daEow+ap
        GLOSS:	missionary work/Da'wah/propaganda+[fem.sg.]

 INPUT STRING:	واستجاب
     IS_TRANS:	wAstjAb
        INDEX:	P79W4
      OFFSETS:	13-20
       TOKENS:	P79W5-P79W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AisotajAb_1]
   UNSPLITVOC:	(wiAisotajAb)
          POS:	CONJ+PV+PVSUFF_SUBJ:3MS
          VOC:	wi+AisotajAb+(null)
        GLOSS:	and+comply/reply+he/it

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P79W5
      OFFSETS:	21-25
       TOKENS:	P79W7-P79W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	Allah

 INPUT STRING:	لها
     IS_TRANS:	lhA
        INDEX:	P79W6
      OFFSETS:	26-29
       TOKENS:	P79W8-P79W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[li_1]
   UNSPLITVOC:	(lahA)
          POS:	PREP+PRON_3FS
          VOC:	li+hA
        GLOSS:	for+her/it

 INPUT STRING:	فهى
     IS_TRANS:	fhY
        INDEX:	P80W1
      OFFSETS:	0-3
       TOKENS:	P80W1-P80W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hiy~a_1]
   UNSPLITVOC:	(fahiy~a)
          POS:	CONJ+PRON_3FS
          VOC:	fa+hiy~a
        GLOSS:	so/and+she

 INPUT STRING:	منتدبة
     IS_TRANS:	mntdbp
        INDEX:	P80W2
      OFFSETS:	4-10
       TOKENS:	P80W3-P80W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[muntadab_1]
   UNSPLITVOC:	(muntadabap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	muntadab+ap
        GLOSS:	delegated/deputized/assigned/mandated+[fem.sg.]

 INPUT STRING:	بمدرسة
     IS_TRANS:	bmdrsp
        INDEX:	P80W3
      OFFSETS:	11-17
       TOKENS:	P80W4-P80W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[madorasap_1]
   UNSPLITVOC:	(bimadorasap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	bi+madoras+ap
        GLOSS:	with/by+school+[fem.sg.]

 INPUT STRING:	ابتدائى
     IS_TRANS:	AbtdA}Y
        INDEX:	P80W4
      OFFSETS:	18-25
       TOKENS:	P80W6-P80W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AibotidA}iy_1]
   UNSPLITVOC:	(AibotidA}iy)
          POS:	ADJ
          VOC:	AibotidA}iy
        GLOSS:	primary

 INPUT STRING:	دعت
     IS_TRANS:	dEt
        INDEX:	P81W1
      OFFSETS:	0-3
       TOKENS:	P81W1-P81W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[daEaY_1]
   UNSPLITVOC:	(daEit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	daE+it
        GLOSS:	pray+it/they/she

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P81W2
      OFFSETS:	4-6
       TOKENS:	P81W2-P81W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	يتم
     IS_TRANS:	ytm
        INDEX:	P81W3
      OFFSETS:	7-10
       TOKENS:	P81W3-P81W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tam~_1]
   UNSPLITVOC:	(yitim~)
          POS:	IV3MS+IV
          VOC:	yi+tim~
        GLOSS:	he/it+conclude/take place

 INPUT STRING:	نقلها
     IS_TRANS:	nqlhA
        INDEX:	P81W4
      OFFSETS:	11-16
       TOKENS:	P81W4-P81W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[naql_1]
   UNSPLITVOC:	(naqlahA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	naql+hA
        GLOSS:	transpotation+its

 INPUT STRING:	لمدرسة
     IS_TRANS:	lmdrsp
        INDEX:	P81W5
      OFFSETS:	17-23
       TOKENS:	P81W6-P81W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[madorasap_1]
   UNSPLITVOC:	(limadorasap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	li+madoras+ap
        GLOSS:	for/to+school+[fem.sg.]

 INPUT STRING:	ثانوى
     IS_TRANS:	vAnwY
        INDEX:	P81W6
      OFFSETS:	24-29
       TOKENS:	P81W8-P81W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vAnawiy_1]
   UNSPLITVOC:	(vAnawiy)
