 INPUT STRING:	وكما
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	Eu*or+AF
        GLOSS:	excuse me+[acc.indef.]

 INPUT STRING:	فيثاغورس
     IS_TRANS:	fyvAgwrs
        INDEX:	P19W2
      OFFSETS:	6-14
       TOKENS:	P19W2-P19W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[fiyvAguwras_1]
   UNSPLITVOC:	(fiyvAguwras)
          POS:	NOUN_PROP
          VOC:	fiyvAguwras
        GLOSS:	Pythagoras

 INPUT STRING:	:
     IS_TRANS:	:
        INDEX:	P19W3
      OFFSETS:	15-16
       TOKENS:	P19W3-P19W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(:)
          POS:	PUNC
          VOC:	:
        GLOSS:	nogloss

 INPUT STRING:	الزمالك
     IS_TRANS:	AlzmAlk
        INDEX:	P19W4
      OFFSETS:	17-24
       TOKENS:	P19W4-P19W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zamAlik_1]
   UNSPLITVOC:	(Alz~amAlik)
          POS:	DET+NOUN_PROP
          VOC:	Al+zamAlik
        GLOSS:	the+Zamalek

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P19W5
      OFFSETS:	25-27
       TOKENS:	P19W5-P19W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	hee

 INPUT STRING:	المعادلة
     IS_TRANS:	AlmEAdlp
        INDEX:	P19W6
      OFFSETS:	28-36
       TOKENS:	P19W6-P19W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[muEAdalap_2]
   UNSPLITVOC:	(AlmuEAdalap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+muEAdal+ap
        GLOSS:	the+equation+[fem.sg.]

 INPUT STRING:	الأصعب
     IS_TRANS:	Al>SEb
        INDEX:	P19W7
      OFFSETS:	37-43
       TOKENS:	P19W7-P19W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Al>aSoEab_1]
   UNSPLITVOC:	(Al>aSoEab)
          POS:	DET+ADJ_COMP
          VOC:	Al+>aSoEab
        GLOSS:	the+more/most difficult/harder/hardest/more/most arduous

 INPUT STRING:	عذراً
     IS_TRANS:	E*rAF
        INDEX:	P20W1
      OFFSETS:	0-5
       TOKENS:	P20W1-P20W1
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Eu*or_2]
   UNSPLITVOC:	(Eu*orAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	Eu*or+AF
        GLOSS:	excuse me+[acc.indef.]

 INPUT STRING:	نيوتن
     IS_TRANS:	nywtn
        INDEX:	P20W2
      OFFSETS:	6-11
       TOKENS:	P20W2-P20W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[niyuwtun_1]
   UNSPLITVOC:	(niyuwtun)
          POS:	NOUN_PROP
          VOC:	niyuwtun
        GLOSS:	Newton

 INPUT STRING:	:
     IS_TRANS:	:
        INDEX:	P20W3
      OFFSETS:	12-13
       TOKENS:	P20W3-P20W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(:)
          POS:	PUNC
          VOC:	:
        GLOSS:	:

 INPUT STRING:	شيكا
     IS_TRANS:	$ykA
        INDEX:	P20W4
      OFFSETS:	14-18
       TOKENS:	P20W4-P20W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[$iykA_1]
   UNSPLITVOC:	($iykA)
          POS:	NOUN_PROP
          VOC:	$iykA
        GLOSS:	Shiykabala

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P20W5
      OFFSETS:	19-21
       TOKENS:	P20W5-P20W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	hee

 INPUT STRING:	الى
     IS_TRANS:	AlY
        INDEX:	P20W6
      OFFSETS:	22-25
       TOKENS:	P20W6-P20W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	who/which

 INPUT STRING:	يجذبنا
     IS_TRANS:	yj*bnA
        INDEX:	P20W7
      OFFSETS:	26-32
       TOKENS:	P20W7-P20W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[ja*ab_1]
   UNSPLITVOC:	(yijo*ibnA)
          POS:	IV3MS+IV+IVSUFF_DO:1P
          VOC:	yi+jo*ib+nA
        GLOSS:	he/it+pull/attract+us

 INPUT STRING:	عذراً
     IS_TRANS:	E*rAF
        INDEX:	P21W1
      OFFSETS:	0-5
       TOKENS:	P21W1-P21W1
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Eu*or_2]
   UNSPLITVOC:	(Eu*orAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	Eu*or+AF
        GLOSS:	excuse me+[acc.indef.]

 INPUT STRING:	ديكارت
     IS_TRANS:	dykArt
        INDEX:	P21W2
      OFFSETS:	6-12
       TOKENS:	P21W2-P21W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[diykArt_1]
   UNSPLITVOC:	(diykArt)
          POS:	NOUN_PROP
          VOC:	diykArt
        GLOSS:	Rennie Dikart

 INPUT STRING:	:
     IS_TRANS:	:
        INDEX:	P21W3
      OFFSETS:	13-14
       TOKENS:	P21W3-P21W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(:)
          POS:	PUNC
          VOC:	:
        GLOSS:	nogloss

 INPUT STRING:	أنا
     IS_TRANS:	>nA
        INDEX:	P21W4
      OFFSETS:	15-18
       TOKENS:	P21W4-P21W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I

 INPUT STRING:	زملكاوي
     IS_TRANS:	zmlkAwy
        INDEX:	P21W5
      OFFSETS:	19-26
       TOKENS:	P21W5-P21W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zamalokAwiy_1]
   UNSPLITVOC:	(zamalokAwiy)
          POS:	ADJ
          VOC:	zamalokAwiy
        GLOSS:	fan of Zamalek

 INPUT STRING:	إذاً
     IS_TRANS:	<*AF
        INDEX:	P21W6
      OFFSETS:	27-31
       TOKENS:	P21W6-P21W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<*AF_1]
   UNSPLITVOC:	(<*AF)
          POS:	ADV
          VOC:	<*AF
        GLOSS:	then/in that case/therfore

 INPUT STRING:	أنا
     IS_TRANS:	>nA
        INDEX:	P21W7
      OFFSETS:	32-35
       TOKENS:	P21W7-P21W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I

 INPUT STRING:	موجود
     IS_TRANS:	mwjwd
        INDEX:	P21W8
      OFFSETS:	36-41
       TOKENS:	P21W8-P21W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mawjuwd_1]
   UNSPLITVOC:	(mawjuwd)
          POS:	ADJ
          VOC:	mawjuwd
        GLOSS:	present/existing/found

 INPUT STRING:	عذرا
     IS_TRANS:	E*rA
        INDEX:	P22W1
      OFFSETS:	0-4
       TOKENS:	P22W1-P22W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eu*or_1]
   UNSPLITVOC:	(Eu*orAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	Eu*or+AF
        GLOSS:	excuse/excuses/excuse me+[acc.indef.]

 INPUT STRING:	دافنشي
     IS_TRANS:	dAfn$y
        INDEX:	P22W2
      OFFSETS:	5-11
       TOKENS:	P22W2-P22W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[dAfin$iy_1]
   UNSPLITVOC:	(dAfin$iy)
          POS:	NOUN_PROP
          VOC:	dAfin$iy
        GLOSS:	Dafinshy

 INPUT STRING:	:
     IS_TRANS:	:
        INDEX:	P22W3
      OFFSETS:	12-13
       TOKENS:	P22W3-P22W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(:)
          POS:	PUNC
          VOC:	:
        GLOSS:	nogloss

 INPUT STRING:	الفتاة
     IS_TRANS:	AlftAp
        INDEX:	P22W4
      OFFSETS:	14-20
       TOKENS:	P22W4-P22W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[fatAap_1]
   UNSPLITVOC:	(AlfatAap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+fatA+ap
        GLOSS:	the+young girl+[fem.sg.]

 INPUT STRING:	الزملكاوية
     IS_TRANS:	AlzmlkAwyp
        INDEX:	P22W5
      OFFSETS:	21-31
       TOKENS:	P22W5-P22W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AlzamalkAwiy_1]
   UNSPLITVOC:	(AlzamalkAwiy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+zamalkAwiy~+ap
        GLOSS:	the+fan of Zamalek+[fem.sg.]

 INPUT STRING:	أفضل
     IS_TRANS:	>fDl
        INDEX:	P22W6
      OFFSETS:	32-36
       TOKENS:	P22W6-P22W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>afoDal_1]
   UNSPLITVOC:	(>afoDal)
          POS:	ADJ_COMP
          VOC:	>afoDal
        GLOSS:	better/best

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P22W7
      OFFSETS:	37-39
       TOKENS:	P22W7-P22W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	الموناليزا
     IS_TRANS:	AlmwnAlyzA
        INDEX:	P22W8
      OFFSETS:	40-50
       TOKENS:	P22W8-P22W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[muwnAliyzA_1]
   UNSPLITVOC:	(AlmuwnAliyzA)
          POS:	DET+NOUN_PROP
          VOC:	Al+muwnAliyzA
        GLOSS:	the+Monalisa

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P23W1
      OFFSETS:	0-1
       TOKENS:	P23W1-P23W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P23W2
      OFFSETS:	1-2
       TOKENS:	P23W2-P23W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P23W3
      OFFSETS:	2-3
       TOKENS:	P23W3-P23W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P23W4
      OFFSETS:	3-4
       TOKENS:	P23W4-P23W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P23W5
      OFFSETS:	4-5
       TOKENS:	P23W5-P23W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P23W6
      OFFSETS:	5-6
       TOKENS:	P23W6-P23W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	عذرا
     IS_TRANS:	E*rA
        INDEX:	P23W7
      OFFSETS:	7-11
       TOKENS:	P23W7-P23W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eu*or_1]
   UNSPLITVOC:	(Eu*orAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	Eu*or+AF
        GLOSS:	excuse/excuses/excuse me+[acc.indef.]

 INPUT STRING:	إيدسون
     IS_TRANS:	<ydswn
        INDEX:	P23W8
      OFFSETS:	12-18
       TOKENS:	P23W8-P23W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iydisuwn_1]
   UNSPLITVOC:	(<iydisuwn)
          POS:	NOUN_PROP
          VOC:	<iydisuwn
        GLOSS:	Adison

 INPUT STRING:	:
     IS_TRANS:	:
        INDEX:	P23W9
      OFFSETS:	19-20
       TOKENS:	P23W9-P23W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(:)
          POS:	PUNC
          VOC:	:
        GLOSS:	nogloss

 INPUT STRING:	الزمالك
     IS_TRANS:	AlzmAlk
        INDEX:	P23W10
      OFFSETS:	21-28
       TOKENS:	P23W10-P23W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zamAlik_1]
   UNSPLITVOC:	(Alz~amAlik)
          POS:	DET+NOUN_PROP
          VOC:	Al+zamAlik
        GLOSS:	the+Zamalek

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P23W11
      OFFSETS:	29-31
       TOKENS:	P23W11-P23W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	hee

 INPUT STRING:	مصباح
     IS_TRANS:	mSbAH
        INDEX:	P23W12
      OFFSETS:	32-37
       TOKENS:	P23W12-P23W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miSobAH_1]
   UNSPLITVOC:	(miSobAH)
          POS:	NOUN
          VOC:	miSobAH
        GLOSS:	lamp/light

 INPUT STRING:	العالم
     IS_TRANS:	AlEAlm
        INDEX:	P23W13
      OFFSETS:	38-44
       TOKENS:	P23W13-P23W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAlam_1]
   UNSPLITVOC:	(AlEAlam)
          POS:	DET+NOUN
          VOC:	Al+EAlam
        GLOSS:	the+world/worlds

 INPUT STRING:	,
     IS_TRANS:	,
        INDEX:	P23W14
      OFFSETS:	44-45
       TOKENS:	P23W14-P23W14
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	nogloss

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P24W1
      OFFSETS:	0-1
       TOKENS:	P24W1-P24W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(w)
          POS:	TYPO
          VOC:	w
        GLOSS:	nogloss

 INPUT STRING:	عذراً
     IS_TRANS:	E*rAF
        INDEX:	P24W2
      OFFSETS:	2-7
       TOKENS:	P24W2-P24W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Eu*r_1]
   UNSPLITVOC:	(Eu*rAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	Eu*r+AF
        GLOSS:	excuse me+[acc.indef.]

 INPUT STRING:	ايها
     IS_TRANS:	AyhA
        INDEX:	P24W3
      OFFSETS:	8-12
       TOKENS:	P24W3-P24W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>ay~uhA_1]
   UNSPLITVOC:	(>ay~uhA)
          POS:	VOC_PART
          VOC:	>ay~uhA
        GLOSS:	O/oh

 INPUT STRING:	المصباح
     IS_TRANS:	AlmSbAH
        INDEX:	P24W4
      OFFSETS:	13-20
       TOKENS:	P24W4-P24W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miSobAH_1]
   UNSPLITVOC:	(AlmiSobAH)
          POS:	DET+NOUN
          VOC:	Al+miSobAH
        GLOSS:	the+lamp/light

 INPUT STRING:	الزمالك
     IS_TRANS:	AlzmAlk
        INDEX:	P24W5
      OFFSETS:	21-28
       TOKENS:	P24W5-P24W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zamAlik_1]
   UNSPLITVOC:	(Alz~amAlik)
          POS:	DET+NOUN_PROP
          VOC:	Al+zamAlik
        GLOSS:	the+Zamalek

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P24W6
      OFFSETS:	29-31
       TOKENS:	P24W6-P24W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	hee

 INPUT STRING:	إشراقتي
     IS_TRANS:	<$rAqty
        INDEX:	P24W7
      OFFSETS:	32-39
       TOKENS:	P24W7-P24W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<i$orAqap_1]
   UNSPLITVOC:	(<i$orAqatiy)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_1S
          VOC:	<i$orAq+ap+iy
        GLOSS:	flash+[fem.sg.]+my

 INPUT STRING:	عذرا
     IS_TRANS:	E*rA
        INDEX:	P25W1
      OFFSETS:	0-4
       TOKENS:	P25W1-P25W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eu*or_1]
   UNSPLITVOC:	(Eu*orAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	Eu*or+AF
        GLOSS:	excuse/excuses/excuse me+[acc.indef.]

 INPUT STRING:	روما
     IS_TRANS:	rwmA
        INDEX:	P25W2
      OFFSETS:	5-9
       TOKENS:	P25W2-P25W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rawmA_1]
   UNSPLITVOC:	(rawmA)
          POS:	NOUN_PROP
          VOC:	rawmA
        GLOSS:	Rome

 INPUT STRING:	:
     IS_TRANS:	:
        INDEX:	P25W3
      OFFSETS:	10-11
       TOKENS:	P25W3-P25W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(:)
          POS:	PUNC
          VOC:	:
        GLOSS:	nogloss

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P25W4
      OFFSETS:	12-14
       TOKENS:	P25W4-P25W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all, entire, every, whole

 INPUT STRING:	الطرق
     IS_TRANS:	AlTrq
        INDEX:	P25W5
      OFFSETS:	15-20
       TOKENS:	P25W5-P25W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tariyqap_1]
   UNSPLITVOC:	(AlT~uruq)
          POS:	DET+NOUN
          VOC:	Al+Turuq
        GLOSS:	the+method/procedure/methods/manners

 INPUT STRING:	تؤدي
     IS_TRANS:	t&dy
        INDEX:	P25W6
      OFFSETS:	21-25
       TOKENS:	P25W6-P25W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>ad~aY_1]
   UNSPLITVOC:	(tu&ad~iy)
          POS:	IV3FS+IV
          VOC:	tu+&ad~iy
        GLOSS:	she/it+direct/guide/lead

 INPUT STRING:	إلى
     IS_TRANS:	<lY
        INDEX:	P25W7
      OFFSETS:	26-29
       TOKENS:	P25W7-P25W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AilaY_1]
   UNSPLITVOC:	(AilaY)
          POS:	PREP
          VOC:	AilaY
        GLOSS:	to/towards

 INPUT STRING:	القلعة
     IS_TRANS:	AlqlEp
        INDEX:	P25W8
      OFFSETS:	30-36
       TOKENS:	P25W8-P25W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qaloEap_1]
   UNSPLITVOC:	(AlqaloEap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+qaloE+ap
        GLOSS:	the+stronghold/citadel/fort/strongholds/citadels/forts+[fem.sg.]

 INPUT STRING:	البيضاء
     IS_TRANS:	AlbyDA'
        INDEX:	P25W9
      OFFSETS:	37-44
       TOKENS:	P25W9-P25W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Al>aboyaD_1]
   UNSPLITVOC:	(AlbayoDA')
          POS:	DET+ADJ
          VOC:	Al+bayoDA'
        GLOSS:	the+white

 INPUT STRING:	بصراحة
     IS_TRANS:	bSrAHp
        INDEX:	P26W1
      OFFSETS:	0-6
       TOKENS:	P26W1-P26W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SarAHap_1]
   UNSPLITVOC:	(biSarAHap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	bi+SarAH+ap
        GLOSS:	with/by+sincerity/candor/frankness/explicitly/openly+[fem.sg.]

 INPUT STRING:	أنا
     IS_TRANS:	>nA
        INDEX:	P26W2
      OFFSETS:	7-10
       TOKENS:	P26W3-P26W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AnA_1]
   UNSPLITVOC:	(AnA)
          POS:	PRON_1S
          VOC:	AnA
        GLOSS:	I

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P26W3
      OFFSETS:	11-13
       TOKENS:	P26W4-P26W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	مستغربة
     IS_TRANS:	mstgrbp
        INDEX:	P26W4
      OFFSETS:	14-21
       TOKENS:	P26W5-P26W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[misotagorab_1]
   UNSPLITVOC:	(misotagorabap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	misotagorab+ap
        GLOSS:	finding strange+[fem.sg.]

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P27W1
      OFFSETS:	0-2
       TOKENS:	P27W1-P27W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	مستغربة
     IS_TRANS:	mstgrbp
        INDEX:	P27W2
      OFFSETS:	3-10
       TOKENS:	P27W2-P27W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[misotagorab_1]
   UNSPLITVOC:	(misotagorabap)
          POS:	ADJ.VN+NSUFF_FEM_SG
          VOC:	misotagorab+ap
        GLOSS:	finding strange+[fem.sg.]

 INPUT STRING:	من
