 INPUT STRING:	سؤالى
        GLOSS:	for/to+city+[fem.sg.]

 INPUT STRING:	زويل
     IS_TRANS:	zwyl
        INDEX:	P16W15
      OFFSETS:	75-79
       TOKENS:	P16W18-P16W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zuwiyl_1]
   UNSPLITVOC:	(zuwiyl)
          POS:	NOUN_PROP
          VOC:	zuwiyl
        GLOSS:	Zwiyl

 INPUT STRING:	وتحت
     IS_TRANS:	wtHt
        INDEX:	P16W16
      OFFSETS:	80-84
       TOKENS:	P16W19-P16W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taHot_1]
   UNSPLITVOC:	(witaHot)
          POS:	SUB_CONJ+NOUN
          VOC:	wi+taHot
        GLOSS:	while+under

 INPUT STRING:	تصرف
     IS_TRANS:	tSrf
        INDEX:	P16W17
      OFFSETS:	85-89
       TOKENS:	P16W21-P16W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taSar~uf_1]
   UNSPLITVOC:	(taSar~uf)
          POS:	NOUN
          VOC:	taSar~uf
        GLOSS:	behavior/conduct/disposal

 INPUT STRING:	الحكومة
     IS_TRANS:	AlHkwmp
        INDEX:	P16W18
      OFFSETS:	90-97
       TOKENS:	P16W22-P16W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hukuwmap_1]
   UNSPLITVOC:	(AlHukuwmap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+Hukuwm+ap
        GLOSS:	the+government/administration/governments/administrations+[fem.sg.]

 INPUT STRING:	لكن
     IS_TRANS:	lkn
        INDEX:	P17W1
      OFFSETS:	0-3
       TOKENS:	P17W1-P17W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lakin_1]
   UNSPLITVOC:	(lakin)
          POS:	CONJ
          VOC:	lakin
        GLOSS:	but

 INPUT STRING:	لما
     IS_TRANS:	lmA
        INDEX:	P17W2
      OFFSETS:	4-7
       TOKENS:	P17W2-P17W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lam~A_1]
   UNSPLITVOC:	(lam~A)
          POS:	SUB_CONJ
          VOC:	lam~A
        GLOSS:	when

 INPUT STRING:	تيجى
     IS_TRANS:	tyjY
        INDEX:	P17W3
      OFFSETS:	8-12
       TOKENS:	P17W3-P17W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jih_1]
   UNSPLITVOC:	(tiyojiy)
          POS:	IV2MS+IV
          VOC:	ti+yojiy
        GLOSS:	you+come

 INPUT STRING:	عن
     IS_TRANS:	En
        INDEX:	P17W4
      OFFSETS:	13-15
       TOKENS:	P17W4-P17W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ean_1]
   UNSPLITVOC:	(Ean)
          POS:	PREP
          VOC:	Ean
        GLOSS:	(away) from, off, about, on, over

 INPUT STRING:	رجل
     IS_TRANS:	rjl
        INDEX:	P17W5
      OFFSETS:	16-19
       TOKENS:	P17W5-P17W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rijol_1]
   UNSPLITVOC:	(rijol)
          POS:	NOUN
          VOC:	rijol
        GLOSS:	man

 INPUT STRING:	مخلص
     IS_TRANS:	mxlS
        INDEX:	P17W6
      OFFSETS:	20-24
       TOKENS:	P17W6-P17W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muxoliS_1]
   UNSPLITVOC:	(muxoliS)
          POS:	ADJ
          VOC:	muxoliS
        GLOSS:	sincere/loyal

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P17W7
      OFFSETS:	25-26
       TOKENS:	P17W7-P17W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wi_1]
   UNSPLITVOC:	(wi)
          POS:	CONJ
          VOC:	wi
        GLOSS:	and

 INPUT STRING:	شيخ
     IS_TRANS:	$yx
        INDEX:	P17W8
      OFFSETS:	27-30
       TOKENS:	P17W8-P17W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ayx_1]
   UNSPLITVOC:	($ayx)
          POS:	NOUN
          VOC:	$ayx
        GLOSS:	Sheikh/chieftain

 INPUT STRING:	فاضل
     IS_TRANS:	fADl
        INDEX:	P17W9
      OFFSETS:	31-35
       TOKENS:	P17W9-P17W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fADil_1]
   UNSPLITVOC:	(fADil)
          POS:	ADJ
          VOC:	fADil
        GLOSS:	honorable/eminent

 INPUT STRING:	وعالم
     IS_TRANS:	wEAlm
        INDEX:	P17W10
      OFFSETS:	36-41
       TOKENS:	P17W10-P17W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAlim_1]
   UNSPLITVOC:	(wiEAlim)
          POS:	CONJ+NOUN
          VOC:	wi+EAlim
        GLOSS:	and+scientist/scholar/scholars/scientists

 INPUT STRING:	كبير
     IS_TRANS:	kbyr
        INDEX:	P17W11
      OFFSETS:	42-46
       TOKENS:	P17W12-P17W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kabiyr_1]
   UNSPLITVOC:	(kabiyr)
          POS:	ADJ
          VOC:	kabiyr
        GLOSS:	large/great/important/major/senior/senior/important

 INPUT STRING:	وجليل
     IS_TRANS:	wjlyl
        INDEX:	P17W12
      OFFSETS:	47-52
       TOKENS:	P17W13-P17W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jaliyl_1]
   UNSPLITVOC:	(wijaliyl)
          POS:	CONJ+ADJ
          VOC:	wi+jaliyl
        GLOSS:	and+venerable/important

 INPUT STRING:	بقدر
     IS_TRANS:	bqdr
        INDEX:	P17W13
      OFFSETS:	53-57
       TOKENS:	P17W15-P17W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qador_1]
   UNSPLITVOC:	(biqador)
          POS:	PREP+NOUN
          VOC:	bi+qador
        GLOSS:	with/by+extent/degree/amount/value/level

 INPUT STRING:	الشيخ
     IS_TRANS:	Al$yx
        INDEX:	P17W14
      OFFSETS:	58-63
       TOKENS:	P17W17-P17W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ayx_1]
   UNSPLITVOC:	(Al$~ayx)
          POS:	DET+NOUN
          VOC:	Al+$ayx
        GLOSS:	the+Sheikh/chieftain/Sheikhs/chieftains/senators

 INPUT STRING:	حسان
     IS_TRANS:	HsAn
        INDEX:	P17W15
      OFFSETS:	64-68
       TOKENS:	P17W18-P17W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HasAn_1]
   UNSPLITVOC:	(HasAn)
          POS:	NOUN_PROP
          VOC:	HasAn
        GLOSS:	HasAn

 INPUT STRING:	نصرخ
     IS_TRANS:	nSrx
        INDEX:	P18W1
      OFFSETS:	0-4
       TOKENS:	P18W1-P18W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Sar~ax_1]
   UNSPLITVOC:	(niSar~ax)
          POS:	IV1P+IV
          VOC:	ni+Sar~ax
        GLOSS:	we+shout

 INPUT STRING:	و
     IS_TRANS:	w
        INDEX:	P18W2
      OFFSETS:	5-6
       TOKENS:	P18W2-P18W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wi_1]
   UNSPLITVOC:	(wi)
          POS:	CONJ
          VOC:	wi
        GLOSS:	and

 INPUT STRING:	نكبر
     IS_TRANS:	nkbr
        INDEX:	P18W3
      OFFSETS:	7-11
       TOKENS:	P18W3-P18W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kibir_1]
   UNSPLITVOC:	(nikobar)
          POS:	IV1P+IV
          VOC:	ni+kobar
        GLOSS:	we+make bigger

 INPUT STRING:	الامور
     IS_TRANS:	AlAmwr
        INDEX:	P18W4
      OFFSETS:	12-18
       TOKENS:	P18W4-P18W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amor_1]
   UNSPLITVOC:	(Al>umuwr)
          POS:	DET+NOUN
          VOC:	Al+>umuwr
        GLOSS:	the+matter/issue/matters/issues

 INPUT STRING:	ونحمل
     IS_TRANS:	wnHml
        INDEX:	P18W5
      OFFSETS:	19-24
       TOKENS:	P18W5-P18W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ham~il_1]
   UNSPLITVOC:	(winiHam~il)
          POS:	CONJ+IV1P+IV
          VOC:	wi+ni+Ham~il
        GLOSS:	and+we+loaded

 INPUT STRING:	الامور
     IS_TRANS:	AlAmwr
        INDEX:	P18W6
      OFFSETS:	25-31
       TOKENS:	P18W7-P18W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amor_1]
   UNSPLITVOC:	(AlAumuwr)
          POS:	DET+NOUN
          VOC:	Al+Aumuwr
        GLOSS:	the+matter/issue/matters/issues

 INPUT STRING:	فوق
     IS_TRANS:	fwq
        INDEX:	P18W7
      OFFSETS:	32-35
       TOKENS:	P18W8-P18W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[fuwoq_1]
   UNSPLITVOC:	(fuwoq)
          POS:	NOUN
          VOC:	fuwoq
        GLOSS:	above/over/top/upper part

 INPUT STRING:	حجمها
     IS_TRANS:	HjmhA
        INDEX:	P18W8
      OFFSETS:	36-41
       TOKENS:	P18W9-P18W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hajom_1]
   UNSPLITVOC:	(HajomhA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	Hajom+hA
        GLOSS:	volume/size+its/their/her

 INPUT STRING:	بكتير
     IS_TRANS:	bktyr
        INDEX:	P18W9
      OFFSETS:	42-47
       TOKENS:	P18W11-P18W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kitiyr_1]
   UNSPLITVOC:	(bikitiyr)
          POS:	PREP+ADJ
          VOC:	bi+kitiyr
        GLOSS:	with/by+many/much

 INPUT STRING:	والله
     IS_TRANS:	wAllh
        INDEX:	P19W1
      OFFSETS:	0-5
       TOKENS:	P19W1-P19W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(waAll~ahi)
          POS:	PREP+NOUN
          VOC:	wa+All~ah
        GLOSS:	by/with+god

 INPUT STRING:	قلبى
     IS_TRANS:	qlbY
        INDEX:	P19W2
      OFFSETS:	6-10
       TOKENS:	P19W3-P19W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qalob_1]
   UNSPLITVOC:	(qalobiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	qalob+iy
        GLOSS:	heart/center/essence+my

 INPUT STRING:	بيشفق
     IS_TRANS:	by$fq
        INDEX:	P19W3
      OFFSETS:	11-16
       TOKENS:	P19W5-P19W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>a$ofaq_1]
   UNSPLITVOC:	(biyi$ofiq)
          POS:	PROG_PART+IV3MS+IV
          VOC:	bi+yi+$ofiq
        GLOSS:	[present-tense]+he/it+pity/sympathy

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P19W4
      OFFSETS:	17-20
       TOKENS:	P19W7-P19W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	شيخى
     IS_TRANS:	$yxY
        INDEX:	P19W5
      OFFSETS:	21-25
       TOKENS:	P19W8-P19W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ayx_1]
   UNSPLITVOC:	($iyxiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	$iyx+iy
        GLOSS:	Sheikh/chieftain+my

 INPUT STRING:	الشيخ
     IS_TRANS:	Al$yx
        INDEX:	P19W6
      OFFSETS:	26-31
       TOKENS:	P19W10-P19W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ayx_1]
   UNSPLITVOC:	(Al$~ayx)
          POS:	DET+NOUN
          VOC:	Al+$ayx
        GLOSS:	the+Sheikh/chieftain/Sheikhs/chieftains/senators

 INPUT STRING:	حسان
     IS_TRANS:	HsAn
        INDEX:	P19W7
      OFFSETS:	32-36
       TOKENS:	P19W11-P19W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HasAn_1]
   UNSPLITVOC:	(HasAn)
          POS:	NOUN_PROP
          VOC:	HasAn
        GLOSS:	HasAn

 INPUT STRING:	جدا
     IS_TRANS:	jdA
        INDEX:	P19W8
      OFFSETS:	37-40
       TOKENS:	P19W12-P19W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jid~_1]
   UNSPLITVOC:	(jid~AF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	jid~+AF
        GLOSS:	very/much+[acc.indef.]

 INPUT STRING:	وعلى
     IS_TRANS:	wElY
        INDEX:	P19W9
      OFFSETS:	41-45
       TOKENS:	P19W13-P19W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(wiEalaY)
          POS:	CONJ+PREP
          VOC:	wi+EalaY
        GLOSS:	and+on/above

 INPUT STRING:	حال
     IS_TRANS:	HAl
        INDEX:	P19W10
      OFFSETS:	46-49
       TOKENS:	P19W15-P19W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAl_1]
   UNSPLITVOC:	(HAl)
          POS:	NOUN
          VOC:	HAl
        GLOSS:	situation/condition/case/situations/conditions/cases

 INPUT STRING:	البلد
     IS_TRANS:	Albld
        INDEX:	P19W11
      OFFSETS:	50-55
       TOKENS:	P19W16-P19W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[balad_1]
   UNSPLITVOC:	(Albalad)
          POS:	DET+NOUN
          VOC:	Al+balad
        GLOSS:	the+country/country/countries

 INPUT STRING:	والحال
     IS_TRANS:	wAlHAl
        INDEX:	P19W12
      OFFSETS:	56-62
       TOKENS:	P19W17-P19W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAl_1]
   UNSPLITVOC:	(wiAlHAl)
          POS:	CONJ+DET+NOUN
          VOC:	wi+Al+HAl
        GLOSS:	and+the+situation/condition/case

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P19W13
      OFFSETS:	63-67
       TOKENS:	P19W19-P19W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which

 INPUT STRING:	وصلت
     IS_TRANS:	wSlt
        INDEX:	P19W14
      OFFSETS:	68-72
       TOKENS:	P19W20-P19W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waSal_1]
   UNSPLITVOC:	(waSalit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	waSal+it
        GLOSS:	arrive at/reach+she/it

 INPUT STRING:	اليه
     IS_TRANS:	Alyh
        INDEX:	P19W15
      OFFSETS:	73-77
       TOKENS:	P19W21-P19W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<ilaY_1]
   UNSPLITVOC:	(<iliyh)
          POS:	PREP+PRON_3MS
          VOC:	<iliy+h
        GLOSS:	to/towards+it/him

 INPUT STRING:	عقولنا
     IS_TRANS:	EqwlnA
        INDEX:	P19W16
      OFFSETS:	78-84
       TOKENS:	P19W23-P19W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[Eaql_1]
   UNSPLITVOC:	(EuquwlnA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	Euquwl+nA
        GLOSS:	brain/rational+our

 INPUT STRING:	وضمايرنا
     IS_TRANS:	wDmAyrnA
        INDEX:	P19W17
      OFFSETS:	85-93
       TOKENS:	P19W25-P19W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Damiyr_1]
   UNSPLITVOC:	(wiDamAyirnA)
          POS:	CONJ+NOUN+POSS_PRON_1P
          VOC:	wi+DamAyir+nA
        GLOSS:	and+Conscience+our

 INPUT STRING:	يارب
     IS_TRANS:	yArb
        INDEX:	P20W1
      OFFSETS:	0-4
       TOKENS:	P20W1-P20W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(yArab~)
          POS:	VOC_PART+NOUN
          VOC:	yaA+rab~
        GLOSS:	oh+lord/master/god

 INPUT STRING:	ارنا
     IS_TRANS:	ArnA
        INDEX:	P20W2
      OFFSETS:	5-9
       TOKENS:	P20W3-P20W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[ra>aY_1]
   UNSPLITVOC:	(>ariynA)
          POS:	CV+CVSUFF_SUBJ:2MS+CVSUFF_DO:1P
          VOC:	>ariy+(null)+nA
        GLOSS:	see/show+you+us

 INPUT STRING:	الحق
     IS_TRANS:	AlHq
        INDEX:	P20W3
      OFFSETS:	10-14
       TOKENS:	P20W5-P20W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Haq~_1]
   UNSPLITVOC:	(AlHaq~)
          POS:	DET+NOUN
          VOC:	Al+Haq~
        GLOSS:	the+right, prerogative, truth

 INPUT STRING:	حقا
     IS_TRANS:	HqA
        INDEX:	P20W4
      OFFSETS:	15-18
       TOKENS:	P20W6-P20W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Haq~_1]
   UNSPLITVOC:	(Haq~AF)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	Haq~+AF
        GLOSS:	truth/right+[acc.indef.]

 INPUT STRING:	وارزقنا
     IS_TRANS:	wArzqnA
        INDEX:	P20W5
      OFFSETS:	19-26
       TOKENS:	P20W7-P20W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[razaq_1]
   UNSPLITVOC:	(wa<irzuqnA)
          POS:	CONJ+CV+CVSUFF_SUBJ:2MS+CVSUFF_DO:1P
          VOC:	wa+<irzuq+(null)+nA
        GLOSS:	and+Blessed with+you+us

 INPUT STRING:	اتباعه
     IS_TRANS:	AtbAEh
        INDEX:	P20W6
      OFFSETS:	27-33
       TOKENS:	P20W10-P20W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<it~ibAE_1]
   UNSPLITVOC:	(<it~ibAEuh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	<it~ibAE+uh
        GLOSS:	followers+his/its

 INPUT STRING:	وارنا
     IS_TRANS:	wArnA
        INDEX:	P20W7
      OFFSETS:	34-39
       TOKENS:	P20W12-P20W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[ra>aY_1]
   UNSPLITVOC:	(wa>arinA)
          POS:	CONJ+CV+CVSUFF_SUBJ:2MS+CVSUFF_DO:1P
          VOC:	wa+>ari+(null)+nA
        GLOSS:	and+see/show+you+we

 INPUT STRING:	الباطل
     IS_TRANS:	AlbATl
        INDEX:	P20W8
      OFFSETS:	40-46
       TOKENS:	P20W15-P20W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bATil_1]
   UNSPLITVOC:	(AlbATil)
          POS:	DET+NOUN
          VOC:	Al+bATil
        GLOSS:	the+void/false

 INPUT STRING:	باطلا
     IS_TRANS:	bATlA
        INDEX:	P20W9
      OFFSETS:	47-52
       TOKENS:	P20W16-P20W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bATil_1]
   UNSPLITVOC:	(bATilAF)
          POS:	ADJ+CASE_INDEF_ACC
          VOC:	bATil+AF
        GLOSS:	void/false+[acc.indef.]

 INPUT STRING:	وارزقنا
     IS_TRANS:	wArzqnA
        INDEX:	P20W10
      OFFSETS:	53-60
       TOKENS:	P20W17-P20W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[razaq_1]
   UNSPLITVOC:	(wa<irzuqnA)
          POS:	CONJ+CV+CVSUFF_SUBJ:2MS+CVSUFF_DO:1P
          VOC:	wa+<irzuq+(null)+nA
        GLOSS:	and+Blessed with+you+us

 INPUT STRING:	اجتنابه
     IS_TRANS:	AjtnAbh
        INDEX:	P20W11
      OFFSETS:	61-68
       TOKENS:	P20W20-P20W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[{ijotinAb_1]
   UNSPLITVOC:	(AijotinAbuh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	AijotinAb+uh
        GLOSS:	avoidance+its/his

 INPUT STRING:	المشاركة
     IS_TRANS:	Alm$Arkp
        INDEX:	P21W1
      OFFSETS:	0-8
       TOKENS:	P21W1-P21W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mu$Arokap_1]
   UNSPLITVOC:	(Almu$Arokap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+mu$Arok+ap
        GLOSS:	the+contribution+[fem.sg.]

 INPUT STRING:	الأصلية
     IS_TRANS:	Al>Slyp
        INDEX:	P21W2
      OFFSETS:	9-16
       TOKENS:	P21W2-P21W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AaSoliy_1]
   UNSPLITVOC:	(AlASoliy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+ASoliy~+ap
        GLOSS:	the+original+[fem.sg.]

 INPUT STRING:	كتبت
     IS_TRANS:	ktbt
        INDEX:	P21W3
      OFFSETS:	17-21
       TOKENS:	P21W3-P21W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[katab_1]
   UNSPLITVOC:	(katabit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	katab+it
        GLOSS:	write/be written/be fated/be destined+it/they/she

 INPUT STRING:	بواسطة
     IS_TRANS:	bwAsTp
        INDEX:	P21W4
      OFFSETS:	22-28
       TOKENS:	P21W4-P21W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wAsoTap_1]
   UNSPLITVOC:	(biwAsoTap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	bi+wAsoT+ap
        GLOSS:	with/by+means+[fem.sg.]

 INPUT STRING:	لبيك
     IS_TRANS:	lbyk
        INDEX:	P21W5
      OFFSETS:	29-33
       TOKENS:	P21W6-P21W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[lab~ay_1]
   UNSPLITVOC:	(lab~ayok)
          POS:	NOUN+POSS_PRON_2MS
          VOC:	lab~ayo+k
        GLOSS:	I have answered+you

 INPUT STRING:	إسلام
     IS_TRANS:	<slAm
        INDEX:	P21W6
      OFFSETS:	34-39
       TOKENS:	P21W8-P21W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<isolAm_1]
   UNSPLITVOC:	(<isolAm)
          POS:	NOUN
          VOC:	<isolAm
        GLOSS:	ISLAM

 INPUT STRING:	البطولة
     IS_TRANS:	AlbTwlp
        INDEX:	P21W7
      OFFSETS:	40-47
       TOKENS:	P21W9-P21W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[buTuwlap_1]
   UNSPLITVOC:	(AlbuTuwlap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+buTuwl+ap
        GLOSS:	the+championship/starring role/heroism+[fem.sg.]

 INPUT STRING:	تصدقى
