 INPUT STRING:	تفجير
   UNSPLITVOC:	(mA)
          POS:	NEG_PART
          VOC:	mA
        GLOSS:	not

 INPUT STRING:	ولعش
     IS_TRANS:	wlE$
        INDEX:	P11W20
      OFFSETS:	36-40
       TOKENS:	P11W23-P11W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wal~aE_1]
   UNSPLITVOC:	(wal~aE$)
          POS:	PV+PVSUFF_SUBJ:3MS+NEG_PART
          VOC:	wal~aE+(null)+$
        GLOSS:	kindle/light/set fire to+he/it+not

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P11W21
      OFFSETS:	41-43
       TOKENS:	P11W25-P11W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P11W22
      OFFSETS:	44-47
       TOKENS:	P11W26-P11W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miSor_1]
   UNSPLITVOC:	(miSor)
          POS:	NOUN_PROP
          VOC:	miSor
        GLOSS:	Egypt

 INPUT STRING:	يارب
     IS_TRANS:	yArb
        INDEX:	P11W23
      OFFSETS:	48-52
       TOKENS:	P11W27-P11W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(yArab~)
          POS:	VOC_PART+NOUN
          VOC:	yaA+rab~
        GLOSS:	oh+lord/master

 INPUT STRING:	احفظ
     IS_TRANS:	AHfZ
        INDEX:	P11W24
      OFFSETS:	53-57
       TOKENS:	P11W29-P11W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HafaZ_1]
   UNSPLITVOC:	(>aHofaZ)
          POS:	CV+CVSUFF_SUBJ:2MS
          VOC:	>aHofaZ+(null)
        GLOSS:	protect+you

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P11W25
      OFFSETS:	58-61
       TOKENS:	P11W30-P11W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miSor_1]
   UNSPLITVOC:	(miSor)
          POS:	NOUN_PROP
          VOC:	miSor
        GLOSS:	Egypt

 INPUT STRING:	بناسها
     IS_TRANS:	bnAshA
        INDEX:	P11W26
      OFFSETS:	62-68
       TOKENS:	P11W31-P11W33
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAs_1]
   UNSPLITVOC:	(binAshA)
          POS:	PREP+NOUN+POSS_PRON_3FS
          VOC:	bi+nAs+hA
        GLOSS:	with/by+people+its/their/her

 INPUT STRING:	الطيبيين
     IS_TRANS:	AlTybyyn
        INDEX:	P11W27
      OFFSETS:	69-77
       TOKENS:	P11W34-P11W34
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tay~ib_1]
   UNSPLITVOC:	(AlT~ay~iboyiyn)
          POS:	DET+ADJ+NSUFF_MASC_PL
          VOC:	Al+Tay~iboy+iyn
        GLOSS:	the+kind+[masc.pl.]

