 INPUT STRING:	آخر
       TOKENS:	P5W7-P5W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sAq_1]
   UNSPLITVOC:	(fayisuwq)
          POS:	CONJ+IV3MS+IV
          VOC:	fa+yi+suwq
        GLOSS:	so/and+he/it+drive

 INPUT STRING:	الناس
     IS_TRANS:	AlnAs
        INDEX:	P5W8
      OFFSETS:	42-47
       TOKENS:	P5W9-P5W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAs_1]
   UNSPLITVOC:	(Aln~As)
          POS:	DET+NOUN
          VOC:	Al+nAs
        GLOSS:	the+people

 INPUT STRING:	إلى
     IS_TRANS:	<lY
        INDEX:	P5W9
      OFFSETS:	48-51
       TOKENS:	P5W10-P5W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AilaY_1]
   UNSPLITVOC:	(AilaY)
          POS:	PREP
          VOC:	AilaY
        GLOSS:	for/to

 INPUT STRING:	اعتقاد
     IS_TRANS:	AEtqAd
        INDEX:	P5W10
      OFFSETS:	52-58
       TOKENS:	P5W11-P5W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiEotiqAd_1]
   UNSPLITVOC:	(AiEotiqAd)
          POS:	NOUN
          VOC:	AiEotiqAd
        GLOSS:	believe

 INPUT STRING:	أن
     IS_TRANS:	>n
        INDEX:	P5W11
      OFFSETS:	59-61
       TOKENS:	P5W12-P5W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	طالب
     IS_TRANS:	TAlb
        INDEX:	P5W12
      OFFSETS:	62-66
       TOKENS:	P5W13-P5W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[TAlib_1]
   UNSPLITVOC:	(TAlib)
          POS:	ADJ
          VOC:	TAlib
        GLOSS:	asking

 INPUT STRING:	الحق
     IS_TRANS:	AlHq
        INDEX:	P5W13
      OFFSETS:	67-71
       TOKENS:	P5W14-P5W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Haq~_1]
   UNSPLITVOC:	(AlHaq~)
          POS:	DET+NOUN
          VOC:	Al+Haq~
        GLOSS:	the+right, prerogative, truth

 INPUT STRING:	فاجر
     IS_TRANS:	fAjr
        INDEX:	P5W14
      OFFSETS:	72-76
       TOKENS:	P5W15-P5W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fAjir_1]
   UNSPLITVOC:	(fAjir)
          POS:	ADJ
          VOC:	fAjir
        GLOSS:	immoral/libertine

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P5W15
      OFFSETS:	76-77
       TOKENS:	P5W16-P5W16
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	nogloss

 INPUT STRING:	وتارك
     IS_TRANS:	wtArk
        INDEX:	P5W16
      OFFSETS:	78-83
       TOKENS:	P5W17-P5W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tArik_1]
   UNSPLITVOC:	(witArik)
          POS:	CONJ+ADJ
          VOC:	wi+tArik
        GLOSS:	and+leaving

 INPUT STRING:	حقه
     IS_TRANS:	Hqh
        INDEX:	P5W17
      OFFSETS:	84-87
       TOKENS:	P5W19-P5W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Haq~_1]
   UNSPLITVOC:	(Haq~uh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	Haq~+uh
        GLOSS:	right, prerogative, truth+his/its

 INPUT STRING:	مُطيع
     IS_TRANS:	muTyE
        INDEX:	P5W18
      OFFSETS:	88-93
       TOKENS:	P5W21-P5W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muTiyE_1]
   UNSPLITVOC:	(muTiyE)
          POS:	ADJ
          VOC:	muTiyE
        GLOSS:	obaying

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P5W19
      OFFSETS:	93-94
       TOKENS:	P5W22-P5W22
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	والمُشتكي
     IS_TRANS:	wAlmu$tky
        INDEX:	P5W20
      OFFSETS:	95-104
       TOKENS:	P5W23-P5W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mu$atkiy_2]
   UNSPLITVOC:	(wiAlmu$atkiy)
          POS:	CONJ+DET+NOUN
          VOC:	wi+Al+mu$atkiy
        GLOSS:	and+the+complaining

 INPUT STRING:	المُتظلم
     IS_TRANS:	AlmutZlm
        INDEX:	P5W21
      OFFSETS:	105-113
       TOKENS:	P5W25-P5W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mutaZ~alim_1]
   UNSPLITVOC:	(AlmutaZ~alim)
          POS:	DET+NOUN
          VOC:	Al+mutaZ~alim
        GLOSS:	the+complaining

 INPUT STRING:	مُفسِد
     IS_TRANS:	mufsid
        INDEX:	P5W22
      OFFSETS:	114-120
       TOKENS:	P5W26-P5W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mufosid_1]
   UNSPLITVOC:	(mufosid)
          POS:	ADJ
          VOC:	mufosid
        GLOSS:	spoiler

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P5W23
      OFFSETS:	120-121
       TOKENS:	P5W27-P5W27
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	والنبيه
     IS_TRANS:	wAlnbyh
        INDEX:	P5W24
      OFFSETS:	122-129
       TOKENS:	P5W28-P5W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nabiyh_1]
   UNSPLITVOC:	(wiAlnabiyh)
          POS:	CONJ+DET+ADJ
          VOC:	wi+Al+nabiyh
        GLOSS:	and+the+eminent/noble

 INPUT STRING:	المُدقق
     IS_TRANS:	Almudqq
        INDEX:	P5W25
      OFFSETS:	130-137
       TOKENS:	P5W30-P5W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[midaq~aq_1]
   UNSPLITVOC:	(Almidaq~aq)
          POS:	DET+NOUN
          VOC:	Al+midaq~aq
        GLOSS:	the+checker/accurate/meticulous

 INPUT STRING:	مُلحد
     IS_TRANS:	mulHd
        INDEX:	P5W26
      OFFSETS:	138-143
       TOKENS:	P5W31-P5W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[milaH~ad_1]
   UNSPLITVOC:	(milaH~ad)
          POS:	ADJ
          VOC:	milaH~ad
        GLOSS:	atheist/heretic

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P5W27
      OFFSETS:	143-144
       TOKENS:	P5W32-P5W32
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	والخامل
     IS_TRANS:	wAlxAml
        INDEX:	P5W28
      OFFSETS:	145-152
       TOKENS:	P5W33-P5W34
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AlxAmil_1]
   UNSPLITVOC:	(wiAlxAmil)
          POS:	CONJ+DET+ADJ
          VOC:	wi+Al+xAmil
        GLOSS:	and+the+unknown/minor/weak

 INPUT STRING:	المسكين
     IS_TRANS:	Almskyn
        INDEX:	P5W29
      OFFSETS:	153-160
       TOKENS:	P5W35-P5W35
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[misokiyn_1]
   UNSPLITVOC:	(Almisokiyn)
          POS:	DET+NOUN
          VOC:	Al+misokiyn
        GLOSS:	the+poor/humble/miserable

 INPUT STRING:	صالح
     IS_TRANS:	SAlH
        INDEX:	P5W30
      OFFSETS:	161-165
       TOKENS:	P5W36-P5W36
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SAliH_1]
   UNSPLITVOC:	(SAliH)
          POS:	ADJ
          VOC:	SAliH
        GLOSS:	suitable/applicable/pious/upright

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P5W31
      OFFSETS:	165-166
       TOKENS:	P5W37-P5W37
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	ويُصبح
     IS_TRANS:	wyuSbH
        INDEX:	P5W32
      OFFSETS:	167-173
       TOKENS:	P5W38-P5W39
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>aSbaH_1]
   UNSPLITVOC:	(wiyuSbiH)
          POS:	CONJ+IV3MS+IV
          VOC:	wi+yu+SbiH
        GLOSS:	and+he/it+become

 INPUT STRING:	-
     IS_TRANS:	-
        INDEX:	P5W33
      OFFSETS:	174-175
       TOKENS:	P5W40-P5W40
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(-)
          POS:	PUNC
          VOC:	-
        GLOSS:	nogloss

 INPUT STRING:	كذلك
     IS_TRANS:	k*lk
        INDEX:	P5W34
      OFFSETS:	175-179
       TOKENS:	P5W41-P5W42
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[*alik_1]
   UNSPLITVOC:	(ka*alik)
          POS:	PREP+DEM_PRON_MS
          VOC:	ka+*alik
        GLOSS:	like/such as+that

 INPUT STRING:	-
     IS_TRANS:	-
        INDEX:	P5W35
      OFFSETS:	179-180
       TOKENS:	P5W43-P5W43
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(-)
          POS:	PUNC
          VOC:	-
        GLOSS:	-

 INPUT STRING:	النُّصْح
     IS_TRANS:	Alnu~SoH
        INDEX:	P5W36
      OFFSETS:	181-189
       TOKENS:	P5W44-P5W44
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nuSoH_1]
   UNSPLITVOC:	(Aln~uSoH)
          POS:	DET+NOUN
          VOC:	Al+nuSoH
        GLOSS:	the+advise

 INPUT STRING:	فضولاً
     IS_TRANS:	fDwlAF
        INDEX:	P5W37
      OFFSETS:	190-196
       TOKENS:	P5W45-P5W45
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(fDwlAF)
          POS:	NO_FUNC
          VOC:	fDwlAF
        GLOSS:	nogloss

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P5W38
      OFFSETS:	196-197
       TOKENS:	P5W46-P5W46
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	والغيرة
     IS_TRANS:	wAlgyrp
        INDEX:	P5W39
      OFFSETS:	198-205
       TOKENS:	P5W47-P5W48
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[giyrap_1]
   UNSPLITVOC:	(wiAlgiyrap)
          POS:	CONJ+DET+NOUN+NSUFF_FEM_SG
          VOC:	wi+Al+giyr+ap
        GLOSS:	and+the+jealousy/zeal+[fem.sg.]

 INPUT STRING:	عداوة
     IS_TRANS:	EdAwp
        INDEX:	P5W40
      OFFSETS:	206-211
       TOKENS:	P5W49-P5W49
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EadAwap_1]
   UNSPLITVOC:	(EadAwap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	EadAw+ap
        GLOSS:	hostility/antagonism+[fem.sg.]

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P5W41
      OFFSETS:	211-212
       TOKENS:	P5W50-P5W50
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	الشهامة
     IS_TRANS:	Al$hAmp
        INDEX:	P5W42
      OFFSETS:	213-220
       TOKENS:	P5W51-P5W51
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ahAmap_1]
   UNSPLITVOC:	(Al$~ahAmap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+$ahAm+ap
        GLOSS:	the+audacity/gallantry+[fem.sg.]

 INPUT STRING:	عتوّا
     IS_TRANS:	Etw~A
        INDEX:	P5W43
      OFFSETS:	221-226
       TOKENS:	P5W52-P5W52
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eutuw~_1]
   UNSPLITVOC:	(Eutuw~AF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	Eutuw~+AF
        GLOSS:	insolence/unruliness+[acc.indef.]

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P5W44
      OFFSETS:	226-227
       TOKENS:	P5W53-P5W53
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	والحميّة
     IS_TRANS:	wAlHmy~p
        INDEX:	P5W45
      OFFSETS:	228-236
       TOKENS:	P5W54-P5W55
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hamiy~ap_1]
   UNSPLITVOC:	(wiAlHamiy~ap)
          POS:	CONJ+DET+NOUN+NSUFF_FEM_SG
          VOC:	wi+Al+Hamiy~+ap
        GLOSS:	and+the+zeal/passion+[fem.sg.]

 INPUT STRING:	حماقة
     IS_TRANS:	HmAqp
        INDEX:	P5W46
      OFFSETS:	237-242
       TOKENS:	P5W56-P5W56
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HamAqap_1]
   UNSPLITVOC:	(HamAqap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HamAq+ap
        GLOSS:	stupidness+[fem.sg.]

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P5W47
      OFFSETS:	242-243
       TOKENS:	P5W57-P5W57
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	والرحمة
     IS_TRANS:	wAlrHmp
        INDEX:	P5W48
      OFFSETS:	244-251
       TOKENS:	P5W58-P5W59
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[raHomap_1]
   UNSPLITVOC:	(wiAlraHomap)
          POS:	CONJ+DET+NOUN+NSUFF_FEM_SG
          VOC:	wi+Al+raHom+ap
        GLOSS:	and+the+compassion/mercy+[fem.sg.]

 INPUT STRING:	مرضاً
     IS_TRANS:	mrDAF
        INDEX:	P5W49
      OFFSETS:	252-257
       TOKENS:	P5W60-P5W60
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[maraD_1]
   UNSPLITVOC:	(maraDAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	maraD+AF
        GLOSS:	sickness+[acc.indef.]

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P5W50
      OFFSETS:	257-258
       TOKENS:	P5W61-P5W61
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	كما
     IS_TRANS:	kmA
        INDEX:	P5W51
      OFFSETS:	259-262
       TOKENS:	P5W62-P5W63
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mA_7]
   UNSPLITVOC:	(kamA)
          POS:	PREP+REL_PRON
          VOC:	ka+mA
        GLOSS:	such as/like+what

 INPUT STRING:	يعتبر
     IS_TRANS:	yEtbr
        INDEX:	P5W52
      OFFSETS:	263-268
       TOKENS:	P5W64-P5W64
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AiEotabar_1]
   UNSPLITVOC:	(yuEotabar)
          POS:	IV3MS+IV_PASS
          VOC:	yu+Eotabar
        GLOSS:	he/it+be considered

 INPUT STRING:	أن
     IS_TRANS:	>n
        INDEX:	P5W53
      OFFSETS:	269-271
       TOKENS:	P5W65-P5W65
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	النفاق
     IS_TRANS:	AlnfAq
        INDEX:	P5W54
      OFFSETS:	272-278
       TOKENS:	P5W66-P5W66
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nifAq_1]
   UNSPLITVOC:	(Aln~ifAq)
          POS:	DET+NOUN
          VOC:	Al+nifAq
        GLOSS:	the+expenditure/disbursement

 INPUT STRING:	سياسة
     IS_TRANS:	syAsp
        INDEX:	P5W55
      OFFSETS:	279-284
       TOKENS:	P5W67-P5W67
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[siyAsap_1]
   UNSPLITVOC:	(siyAsap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	siyAs+ap
        GLOSS:	politics+[fem.sg.]

 INPUT STRING:	والتحيل
     IS_TRANS:	wAltHyl
        INDEX:	P5W56
      OFFSETS:	285-292
       TOKENS:	P5W68-P5W69
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taHay~ul_1]
   UNSPLITVOC:	(wiAltaHay~ul)
          POS:	CONJ+DET+NOUN
          VOC:	wi+Al+taHay~ul
        GLOSS:	and+the+trickery

 INPUT STRING:	كياسة
     IS_TRANS:	kyAsp
        INDEX:	P5W57
      OFFSETS:	293-298
       TOKENS:	P5W70-P5W70
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kiyAsap_1]
   UNSPLITVOC:	(kiyAsap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	kiyAs+ap
        GLOSS:	adroitness/elegance+[fem.sg.]

 INPUT STRING:	والدنائة
     IS_TRANS:	wAldnA}p
        INDEX:	P5W58
      OFFSETS:	299-307
       TOKENS:	P5W71-P5W71
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(wAldnA}p)
          POS:	TYPO
          VOC:	wAldnA}p
        GLOSS:	nogloss

 INPUT STRING:	لُطْف
     IS_TRANS:	luTof
        INDEX:	P5W59
      OFFSETS:	308-313
       TOKENS:	P5W72-P5W72
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[luTof_1]
   UNSPLITVOC:	(luTof)
          POS:	NOUN
          VOC:	luTof
        GLOSS:	kindness

 INPUT STRING:	والنذالة
     IS_TRANS:	wAln*Alp
        INDEX:	P5W60
      OFFSETS:	314-322
       TOKENS:	P5W73-P5W74
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[na*Alap_1]
   UNSPLITVOC:	(wiAlna*Alap)
          POS:	CONJ+DET+NOUN+NSUFF_FEM_SG
          VOC:	wi+Al+na*Al+ap
        GLOSS:	and+the+depravity+[fem.sg.]

 INPUT STRING:	دماثة
     IS_TRANS:	dmAvp
        INDEX:	P5W61
      OFFSETS:	323-328
       TOKENS:	P5W75-P5W75
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[damAvap_1]
   UNSPLITVOC:	(damAvap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	damAv+ap
        GLOSS:	gentleness/politeness+[fem.sg.]

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P5W62
      OFFSETS:	329-330
       TOKENS:	P5W76-P5W76
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P5W63
      OFFSETS:	330-331
       TOKENS:	P5W77-P5W77
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	عبد
     IS_TRANS:	Ebd
        INDEX:	P6W1
      OFFSETS:	0-3
       TOKENS:	P6W1-P6W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eabod_1]
   UNSPLITVOC:	(Eabod)
          POS:	NOUN_PROP
          VOC:	Eabod
        GLOSS:	Abd

 INPUT STRING:	الرحمن
     IS_TRANS:	AlrHmn
        INDEX:	P6W2
      OFFSETS:	4-10
       TOKENS:	P6W2-P6W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[raHoman_1]
   UNSPLITVOC:	(Alr~aHoman)
          POS:	DET+NOUN_PROP
          VOC:	Al+raHoman
        GLOSS:	the+Rahman

 INPUT STRING:	الكواكبي
     IS_TRANS:	AlkwAkby
        INDEX:	P6W3
      OFFSETS:	11-19
       TOKENS:	P6W3-P6W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kawAkibiy_1]
   UNSPLITVOC:	(AlkawAkibiy)
          POS:	DET+NOUN_PROP
          VOC:	Al+kawAkibiy
        GLOSS:	the+Kawakibi

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P6W4
      OFFSETS:	19-20
       TOKENS:	P6W4-P6W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	nogloss

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P6W5
      OFFSETS:	21-23
       TOKENS:	P6W5-P6W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	كتاب
     IS_TRANS:	ktAb
        INDEX:	P6W6
      OFFSETS:	24-28
       TOKENS:	P6W6-P6W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kitAb_1]
   UNSPLITVOC:	(kitAb)
          POS:	NOUN
          VOC:	kitAb
        GLOSS:	book/books

 INPUT STRING:	طبائع
     IS_TRANS:	TbA}E
        INDEX:	P6W7
      OFFSETS:	29-34
       TOKENS:	P6W7-P6W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[TabA}iE_1]
   UNSPLITVOC:	(TabA}iE)
          POS:	NOUN_PROP
          VOC:	TabA}iE
        GLOSS:	taba'ie

 INPUT STRING:	الاستبداد
     IS_TRANS:	AlAstbdAd
        INDEX:	P6W8
      OFFSETS:	35-44
       TOKENS:	P6W8-P6W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AisotibodAd_1]
   UNSPLITVOC:	(AlAisotibodAd)
          POS:	DET+NOUN
          VOC:	Al+AisotibodAd
        GLOSS:	the+despotism/monopolization

 INPUT STRING:	ومصارع
     IS_TRANS:	wmSArE
        INDEX:	P6W9
      OFFSETS:	45-51
       TOKENS:	P6W9-P6W10
