 INPUT STRING:	احالة
          POS:	NOUN
          VOC:	Hukom
        GLOSS:	rule/government

 INPUT STRING:	الرئيس
     IS_TRANS:	Alr}ys
        INDEX:	P9W38
      OFFSETS:	222-228
       TOKENS:	P9W45-P9W45
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ra}iys_1]
   UNSPLITVOC:	(Alr~a}iys)
          POS:	DET+NOUN
          VOC:	Al+ra}iys
        GLOSS:	the+president/head/chairman

 INPUT STRING:	السابق
     IS_TRANS:	AlsAbq
        INDEX:	P9W39
      OFFSETS:	229-235
       TOKENS:	P9W46-P9W46
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sAbiq_1]
   UNSPLITVOC:	(Als~Abiq)
          POS:	DET+ADJ
          VOC:	Al+sAbiq
        GLOSS:	the+former/previous/preceding

 INPUT STRING:	حسني
     IS_TRANS:	Hsny
        INDEX:	P9W40
      OFFSETS:	236-240
       TOKENS:	P9W47-P9W47
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Husoniy_1]
   UNSPLITVOC:	(Husoniy)
          POS:	NOUN_PROP
          VOC:	Husoniy
        GLOSS:	Hosny/Hosni

 INPUT STRING:	مبارك
     IS_TRANS:	mbArk
        INDEX:	P9W41
      OFFSETS:	241-246
       TOKENS:	P9W48-P9W48
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mubArak_1]
   UNSPLITVOC:	(mubArak)
          POS:	NOUN_PROP
          VOC:	mubArak
        GLOSS:	Mubarak

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P9W42
      OFFSETS:	246-247
       TOKENS:	P9W49-P9W49
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	وتطال
     IS_TRANS:	wtTAl
        INDEX:	P10W1
      OFFSETS:	1-6
       TOKENS:	P10W1-P10W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[TAl_1]
   UNSPLITVOC:	(wituTAl)
          POS:	CONJ+IV3FS+IV
          VOC:	wi+tu+TAl
        GLOSS:	and+it/they/she+reach

 INPUT STRING:	مذكرات
     IS_TRANS:	m*krAt
        INDEX:	P10W2
      OFFSETS:	7-13
       TOKENS:	P10W3-P10W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mu*ak~irap_1]
   UNSPLITVOC:	(mu*ak~irAt)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	mu*ak~ir+At
        GLOSS:	memoirs/diary+[fem.pl.]

 INPUT STRING:	الاحتجاز
     IS_TRANS:	AlAHtjAz
        INDEX:	P10W3
      OFFSETS:	14-22
       TOKENS:	P10W4-P10W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiHotijAz_1]
   UNSPLITVOC:	(AlAiHotijAz)
          POS:	DET+NOUN
          VOC:	Al+AiHotijAz
        GLOSS:	the+detention/confiscation

 INPUT STRING:	مدير
     IS_TRANS:	mdyr
        INDEX:	P10W4
      OFFSETS:	23-27
       TOKENS:	P10W5-P10W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mudiyr_1]
   UNSPLITVOC:	(mudiyr)
          POS:	NOUN
          VOC:	mudiyr
        GLOSS:	director/manager/chief/directors/managers

 INPUT STRING:	امن
     IS_TRANS:	Amn
        INDEX:	P10W5
      OFFSETS:	28-31
       TOKENS:	P10W6-P10W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amon_1]
   UNSPLITVOC:	(>amon)
          POS:	NOUN
          VOC:	>amon
        GLOSS:	security/safety

 INPUT STRING:	القاهرة
     IS_TRANS:	AlqAhrp
        INDEX:	P10W6
      OFFSETS:	32-39
       TOKENS:	P10W7-P10W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAhirap_1]
   UNSPLITVOC:	(AlqAhirap)
          POS:	DET+NOUN_PROP+NSUFF_FEM_SG
          VOC:	Al+qAhir+ap
        GLOSS:	the+Cairo+[fem.sg.]

 INPUT STRING:	اسماعيل
     IS_TRANS:	AsmAEyl
        INDEX:	P10W7
      OFFSETS:	40-47
       TOKENS:	P10W8-P10W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AisomAEiyl_1]
   UNSPLITVOC:	(AisomAEiyl)
          POS:	NOUN_PROP
          VOC:	AisomAEiyl
        GLOSS:	Ismail

 INPUT STRING:	الشاعر
     IS_TRANS:	Al$AEr
        INDEX:	P10W8
      OFFSETS:	48-54
       TOKENS:	P10W9-P10W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[$AEir_1]
   UNSPLITVOC:	(Al$AEir)
          POS:	DET+NOUN_PROP
          VOC:	Al+$AEir
        GLOSS:	the+Shaeer

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P10W9
      OFFSETS:	54-55
       TOKENS:	P10W10-P10W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	ورئيس
     IS_TRANS:	wr}ys
        INDEX:	P10W10
      OFFSETS:	56-61
       TOKENS:	P10W11-P10W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ra}iys_1]
   UNSPLITVOC:	(wira}iys)
          POS:	CONJ+NOUN
          VOC:	wi+ra}iys
        GLOSS:	and+president/head/chairman

 INPUT STRING:	مباحث
     IS_TRANS:	mbAHv
        INDEX:	P10W11
      OFFSETS:	62-67
       TOKENS:	P10W13-P10W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mabAHiv_1]
   UNSPLITVOC:	(mabAHiv)
          POS:	NOUN
          VOC:	mabAHiv
        GLOSS:	research/investigations

 INPUT STRING:	الامن
     IS_TRANS:	AlAmn
        INDEX:	P10W12
      OFFSETS:	68-73
       TOKENS:	P10W14-P10W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amon_1]
   UNSPLITVOC:	(Al>amon)
          POS:	DET+NOUN
          VOC:	Al+>amon
        GLOSS:	the+security/safety

 INPUT STRING:	العام
     IS_TRANS:	AlEAm
        INDEX:	P10W13
      OFFSETS:	74-79
       TOKENS:	P10W15-P10W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAm_1]
   UNSPLITVOC:	(AlEAm)
          POS:	DET+ADJ
          VOC:	Al+EAm
        GLOSS:	the+general/common/public

 INPUT STRING:	عدلي
     IS_TRANS:	Edly
        INDEX:	P10W14
      OFFSETS:	80-84
       TOKENS:	P10W16-P10W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eadoliy_1]
   UNSPLITVOC:	(Eadoliy)
          POS:	NOUN_PROP
          VOC:	Eadoliy
        GLOSS:	Adli

 INPUT STRING:	فايد
     IS_TRANS:	fAyd
        INDEX:	P10W15
      OFFSETS:	85-89
       TOKENS:	P10W17-P10W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fAyid_1]
   UNSPLITVOC:	(fAyid)
          POS:	NOUN_PROP
          VOC:	fAyid
        GLOSS:	Fayed

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P10W16
      OFFSETS:	89-90
       TOKENS:	P10W18-P10W18
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	ورئيس
     IS_TRANS:	wr}ys
        INDEX:	P10W17
      OFFSETS:	91-96
       TOKENS:	P10W19-P10W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ra}iys_1]
   UNSPLITVOC:	(wira}iys)
          POS:	CONJ+NOUN
          VOC:	wi+ra}iys
        GLOSS:	and+president/head/chairman

 INPUT STRING:	جهاز
     IS_TRANS:	jhAz
        INDEX:	P10W18
      OFFSETS:	97-101
       TOKENS:	P10W21-P10W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jihAz_1]
   UNSPLITVOC:	(jihAz)
          POS:	NOUN
          VOC:	jihAz
        GLOSS:	agency/bureau/office/agencies/bureaus/offices

 INPUT STRING:	الامن
     IS_TRANS:	AlAmn
        INDEX:	P10W19
      OFFSETS:	102-107
       TOKENS:	P10W22-P10W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amon_1]
   UNSPLITVOC:	(Al>amon)
          POS:	DET+NOUN
          VOC:	Al+>amon
        GLOSS:	the+security/safety

 INPUT STRING:	المركزي
     IS_TRANS:	Almrkzy
        INDEX:	P10W20
      OFFSETS:	108-115
       TOKENS:	P10W23-P10W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[marokaziy_1]
   UNSPLITVOC:	(Almarokaziy)
          POS:	DET+ADJ
          VOC:	Al+marokaziy
        GLOSS:	the+central

 INPUT STRING:	احمد
     IS_TRANS:	AHmd
        INDEX:	P10W21
      OFFSETS:	116-120
       TOKENS:	P10W24-P10W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aHomad_1]
   UNSPLITVOC:	(>aHomad)
          POS:	NOUN_PROP
          VOC:	>aHomad
        GLOSS:	Ahmad/Ahmed

 INPUT STRING:	رمزي
     IS_TRANS:	rmzy
        INDEX:	P10W22
      OFFSETS:	121-125
       TOKENS:	P10W25-P10W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ramoziy_1]
   UNSPLITVOC:	(ramoziy)
          POS:	NOUN_PROP
          VOC:	ramoziy
        GLOSS:	Ramzi

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P10W23
      OFFSETS:	125-126
       TOKENS:	P10W26-P10W26
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	ورئيس
     IS_TRANS:	wr}ys
        INDEX:	P10W24
      OFFSETS:	127-132
       TOKENS:	P10W27-P10W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ra}iys_1]
   UNSPLITVOC:	(wira}iys)
          POS:	CONJ+NOUN
          VOC:	wi+ra}iys
        GLOSS:	and+president/head/chairman

 INPUT STRING:	جهاز
     IS_TRANS:	jhAz
        INDEX:	P10W25
      OFFSETS:	133-137
       TOKENS:	P10W29-P10W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jihAz_1]
   UNSPLITVOC:	(jihAz)
          POS:	NOUN
          VOC:	jihAz
        GLOSS:	agency/bureau/office/agencies/bureaus/offices

 INPUT STRING:	امن
     IS_TRANS:	Amn
        INDEX:	P10W26
      OFFSETS:	138-141
       TOKENS:	P10W30-P10W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amon_1]
   UNSPLITVOC:	(>amon)
          POS:	NOUN
          VOC:	>amon
        GLOSS:	security/safety

 INPUT STRING:	الدولة
     IS_TRANS:	Aldwlp
        INDEX:	P10W27
      OFFSETS:	142-148
       TOKENS:	P10W31-P10W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dawlap_1]
   UNSPLITVOC:	(Ald~awlap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+dawl+ap
        GLOSS:	the+state/country/states/countries+[fem.sg.]

 INPUT STRING:	حسن
     IS_TRANS:	Hsn
        INDEX:	P10W28
      OFFSETS:	149-152
       TOKENS:	P10W32-P10W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hasan_1]
   UNSPLITVOC:	(Hasan)
          POS:	NOUN_PROP
          VOC:	Hasan
        GLOSS:	Hassan

 INPUT STRING:	عبد
     IS_TRANS:	Ebd
        INDEX:	P10W29
      OFFSETS:	153-156
       TOKENS:	P10W33-P10W33
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eabod_1]
   UNSPLITVOC:	(Eabod)
          POS:	NOUN_PROP
          VOC:	Eabod
        GLOSS:	Abd

 INPUT STRING:	الرحمن
     IS_TRANS:	AlrHmn
        INDEX:	P10W30
      OFFSETS:	157-163
       TOKENS:	P10W34-P10W34
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[raHoman_1]
   UNSPLITVOC:	(Alr~aHoman)
          POS:	DET+NOUN_PROP
          VOC:	Al+raHoman
        GLOSS:	the+Rahman

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P10W31
      OFFSETS:	163-164
       TOKENS:	P10W35-P10W35
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	وتتركز
     IS_TRANS:	wttrkz
        INDEX:	P11W1
      OFFSETS:	1-7
       TOKENS:	P11W1-P11W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Aitrak~iz_1]
   UNSPLITVOC:	(wititrkz)
          POS:	CONJ+IV3FS+IV
          VOC:	wi+ti+trak~iz
        GLOSS:	and+it/they/she+concentrate

 INPUT STRING:	التهم
     IS_TRANS:	Althm
        INDEX:	P11W2
      OFFSETS:	8-13
       TOKENS:	P11W3-P11W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tuhomap_1]
   UNSPLITVOC:	(Alt~uham)
          POS:	DET+NOUN
          VOC:	Al+tuham
        GLOSS:	the+accusations/charges

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P11W3
      OFFSETS:	14-17
       TOKENS:	P11W4-P11W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	اصدارهم
     IS_TRANS:	ASdArhm
        INDEX:	P11W4
      OFFSETS:	18-25
       TOKENS:	P11W5-P11W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<iSodAr_2]
   UNSPLITVOC:	(<iSodArhim)
          POS:	NOUN.VN+POSS_PRON_3P
          VOC:	<iSodAr+him
        GLOSS:	issuance/publication+their

 INPUT STRING:	اوامر
     IS_TRANS:	AwAmr
        INDEX:	P11W5
      OFFSETS:	26-31
       TOKENS:	P11W7-P11W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amor_1]
   UNSPLITVOC:	(>awAmir)
          POS:	NOUN
          VOC:	>awAmir
        GLOSS:	orders/commands

 INPUT STRING:	باطلاق
     IS_TRANS:	bATlAq
        INDEX:	P11W6
      OFFSETS:	32-38
       TOKENS:	P11W8-P11W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AiTolAq_1]
   UNSPLITVOC:	(biAiTolAq)
          POS:	PREP+NOUN
          VOC:	bi+AiTolAq
        GLOSS:	with/by+firing

 INPUT STRING:	النار
     IS_TRANS:	AlnAr
        INDEX:	P11W7
      OFFSETS:	39-44
       TOKENS:	P11W10-P11W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAr_1]
   UNSPLITVOC:	(Aln~Ar)
          POS:	DET+NOUN
          VOC:	Al+nAr
        GLOSS:	the+fire/shooting

 INPUT STRING:	بالذخيرة
     IS_TRANS:	bAl*xyrp
        INDEX:	P11W8
      OFFSETS:	45-53
       TOKENS:	P11W11-P11W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[*axiyrap_1]
   UNSPLITVOC:	(biAl*~axiyrap)
          POS:	PREP+DET+NOUN+NSUFF_FEM_SG
          VOC:	bi+Al+*axiyr+ap
        GLOSS:	with/by+the+ammunition/treasure/provisions+[fem.sg.]

 INPUT STRING:	الحية
     IS_TRANS:	AlHyp
        INDEX:	P11W9
      OFFSETS:	54-59
       TOKENS:	P11W13-P11W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Hay~_2]
   UNSPLITVOC:	(AlHay~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+Hay~+ap
        GLOSS:	the+alive/living/live/lively+[fem.sg.]

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P11W10
      OFFSETS:	60-63
       TOKENS:	P11W14-P11W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	المتظاهرين
     IS_TRANS:	AlmtZAhryn
        INDEX:	P11W11
      OFFSETS:	64-74
       TOKENS:	P11W15-P11W15
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(AlmtZAhryn)
          POS:	NO_FUNC
          VOC:	AlmtZAhryn
        GLOSS:	nogloss

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P11W12
      OFFSETS:	75-77
       TOKENS:	P11W16-P11W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	الثامن
     IS_TRANS:	AlvAmn
        INDEX:	P11W13
      OFFSETS:	78-84
       TOKENS:	P11W17-P11W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[vAmin_1]
   UNSPLITVOC:	(AlvAmn)
          POS:	DET+ADJ_COMP
          VOC:	Al+vAmn
        GLOSS:	the+eighth

 INPUT STRING:	والعشرين
     IS_TRANS:	wAlE$ryn
        INDEX:	P11W14
      OFFSETS:	85-93
       TOKENS:	P11W18-P11W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ei$oriyn_1]
   UNSPLITVOC:	(wiAlEi$oriyn)
          POS:	CONJ+DET+NOUN_NUM
          VOC:	wi+Al+Ei$oriyn
        GLOSS:	and+the+twenties

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P11W15
      OFFSETS:	94-96
       TOKENS:	P11W20-P11W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	يناير
     IS_TRANS:	ynAyr
        INDEX:	P11W16
      OFFSETS:	97-102
       TOKENS:	P11W21-P11W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yanAyir_1]
   UNSPLITVOC:	(yanAyir)
          POS:	NOUN
          VOC:	yanAyir
        GLOSS:	January

 INPUT STRING:	/
     IS_TRANS:	/
        INDEX:	P11W17
      OFFSETS:	102-103
       TOKENS:	P11W22-P11W22
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(/)
          POS:	PUNC
          VOC:	/
        GLOSS:	/

 INPUT STRING:	كانون
     IS_TRANS:	kAnwn
        INDEX:	P11W18
      OFFSETS:	103-108
       TOKENS:	P11W23-P11W23
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAnuwn_1]
   UNSPLITVOC:	(kAnuwn)
          POS:	NOUN_PROP
          VOC:	kAnuwn
        GLOSS:	Kanun (part of month names Dec. and Jan.)

 INPUT STRING:	الثاني
     IS_TRANS:	AlvAny
        INDEX:	P11W19
      OFFSETS:	109-115
       TOKENS:	P11W24-P11W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[vAniy_1]
   UNSPLITVOC:	(AlvAnY)
          POS:	DET+ADJ_COMP
          VOC:	Al+vAnY
        GLOSS:	the+second

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P11W20
      OFFSETS:	115-116
       TOKENS:	P11W25-P11W25
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	الذي
     IS_TRANS:	Al*y
        INDEX:	P11W21
      OFFSETS:	117-121
       TOKENS:	P11W26-P11W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ail~a*iy_1]
   UNSPLITVOC:	(Al~a*iy)
          POS:	REL_PRON
          VOC:	Al~a*iy
        GLOSS:	that

 INPUT STRING:	عرف
     IS_TRANS:	Erf
        INDEX:	P11W22
      OFFSETS:	122-125
       TOKENS:	P11W27-P11W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Earaf_1]
   UNSPLITVOC:	(Eurif)
          POS:	PV_PASS+PVSUFF_SUBJ:3MS
          VOC:	Eurif+(null)
        GLOSS:	know/be known+he/it

 INPUT STRING:	بـ
     IS_TRANS:	b_
        INDEX:	P11W23
      OFFSETS:	126-128
       TOKENS:	P11W28-P11W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[b_1]
   UNSPLITVOC:	(b_)
          POS:	PREP
          VOC:	b_
        GLOSS:	with/by

 INPUT STRING:	يوم
     IS_TRANS:	ywm
        INDEX:	P11W24
      OFFSETS:	130-133
       TOKENS:	P11W29-P11W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yawm_1]
   UNSPLITVOC:	(yawm)
          POS:	NOUN
          VOC:	yawm
        GLOSS:	today/some day/ever/days

 INPUT STRING:	الغضب
     IS_TRANS:	AlgDb
        INDEX:	P11W25
      OFFSETS:	134-139
       TOKENS:	P11W30-P11W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[gaDab_1]
   UNSPLITVOC:	(AlgaDab)
          POS:	DET+NOUN
          VOC:	Al+gaDab
        GLOSS:	the+anger/wrath/in anger/angrily

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P11W26
      OFFSETS:	140-141
       TOKENS:	P11W31-P11W31
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	وانهم
     IS_TRANS:	wAnhm
        INDEX:	P12W1
      OFFSETS:	1-6
       TOKENS:	P12W1-P12W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>in~_1]
   UNSPLITVOC:	(wi>in~hum)
          POS:	CONJ+SUB_CONJ+PRON_3P
          VOC:	wi+>in~+hum
        GLOSS:	and+that+they

 INPUT STRING:	كانوا
     IS_TRANS:	kAnwA
        INDEX:	P12W2
      OFFSETS:	7-12
       TOKENS:	P12W4-P12W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAnuwA)
          POS:	PV+PVSUFF_SUBJ:3P
          VOC:	kAn+uwA
        GLOSS:	be+they

 INPUT STRING:	مسؤولين
     IS_TRANS:	ms&wlyn
        INDEX:	P12W3
      OFFSETS:	13-20
       TOKENS:	P12W5-P12W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maso&uwl_1]
   UNSPLITVOC:	(maso&uwliyn)
          POS:	NOUN+NSUFF_MASC_PL
          VOC:	maso&uwl+iyn
        GLOSS:	responsible/dependable+[masc.pl.]

 INPUT STRING:	عن
