 INPUT STRING:	زملائى
     IS_TRANS:	wAlAHzAb
        INDEX:	P13W12
      OFFSETS:	50-58
       TOKENS:	P13W17-P13W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hizob_1]
   UNSPLITVOC:	(wiAl>aHozAb)
          POS:	CONJ+DET+NOUN
          VOC:	wi+Al+>aHozAb
        GLOSS:	and+the+parties

 INPUT STRING:	وبعدين
     IS_TRANS:	wbEdyn
        INDEX:	P14W1
      OFFSETS:	0-6
       TOKENS:	P14W1-P14W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEodayn_1]
   UNSPLITVOC:	(wibaEodayn)
          POS:	CONJ+ADV
          VOC:	wi+baEodayn
        GLOSS:	and+later/next

 INPUT STRING:	كلهم
     IS_TRANS:	klhm
        INDEX:	P14W2
      OFFSETS:	7-11
       TOKENS:	P14W3-P14W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~hum)
          POS:	NOUN_QUANT+POSS_PRON_3P
          VOC:	kul~+hum
        GLOSS:	all+their

 INPUT STRING:	لسة
     IS_TRANS:	lsp
        INDEX:	P14W3
      OFFSETS:	12-15
       TOKENS:	P14W5-P14W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lis~ah_1]
   UNSPLITVOC:	(lis~ah)
          POS:	ADV
          VOC:	lis~ah
        GLOSS:	still

 INPUT STRING:	محتملين
     IS_TRANS:	mHtmlyn
        INDEX:	P14W4
      OFFSETS:	16-23
       TOKENS:	P14W6-P14W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muHotamil_1]
   UNSPLITVOC:	(muHotamiliyn)
          POS:	ADJ+NSUFF_MASC_PL
          VOC:	muHotamil+iyn
        GLOSS:	possible+[masc.pl]

 INPUT STRING:	يعنى
     IS_TRANS:	yEnY
        INDEX:	P15W1
      OFFSETS:	0-4
       TOKENS:	P15W1-P15W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EanaY_1]
   UNSPLITVOC:	(yaEoniy)
          POS:	IV3MS+IV
          VOC:	ya+Eoniy
        GLOSS:	he/it+mean/signify/concern

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P15W2
      OFFSETS:	5-7
       TOKENS:	P15W2-P15W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	مؤكد
     IS_TRANS:	m&kd
        INDEX:	P15W3
      OFFSETS:	8-12
       TOKENS:	P15W3-P15W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mu&ak~ad_1]
   UNSPLITVOC:	(mu&ak~ad)
          POS:	ADJ
          VOC:	mu&ak~ad
        GLOSS:	certain/guaranteed

 INPUT STRING:	موافقة
     IS_TRANS:	mwAfqp
        INDEX:	P15W4
      OFFSETS:	13-19
       TOKENS:	P15W4-P15W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muwAfoqap_1]
   UNSPLITVOC:	(muwAfoqap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	muwAfoq+ap
        GLOSS:	agreement+[fem.sg.]

 INPUT STRING:	اللجنة
     IS_TRANS:	Alljnp
        INDEX:	P15W5
      OFFSETS:	20-26
       TOKENS:	P15W5-P15W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lajonap_1]
   UNSPLITVOC:	(All~ajonap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+lajon+ap
        GLOSS:	the+council/committee/commission+[fem.sg.]

 INPUT STRING:	العليا
     IS_TRANS:	AlElyA
        INDEX:	P15W6
      OFFSETS:	27-33
       TOKENS:	P15W6-P15W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAliy_1]
   UNSPLITVOC:	(AlEuloyA)
          POS:	DET+ADJ
          VOC:	Al+EuloyA
        GLOSS:	the+high/elevated

 INPUT STRING:	لللانتخابات
     IS_TRANS:	lllAntxAbAt
        INDEX:	P15W7
      OFFSETS:	34-45
       TOKENS:	P15W7-P15W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<intixAb_1]
   UNSPLITVOC:	(lil<intixAbAt)
          POS:	PREP+DET+NOUN+NSUFF_FEM_PL
          VOC:	li+Al+<intixAb+At
        GLOSS:	for/to+the+elections/selections+[fem.pl.]

 INPUT STRING:	عليهم
     IS_TRANS:	Elyhm
        INDEX:	P15W8
      OFFSETS:	46-51
       TOKENS:	P15W9-P15W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(Ealayhum)
          POS:	PREP+PRON_3P
          VOC:	EalaY+hum
        GLOSS:	on/above+them

 INPUT STRING:	الفاضلة
     IS_TRANS:	AlfADlp
        INDEX:	P16W1
      OFFSETS:	0-7
       TOKENS:	P16W1-P16W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fADil_1]
   UNSPLITVOC:	(AlfADilap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+fADil+ap
        GLOSS:	the+honorable/eminent+[fem.sg.]

 INPUT STRING:	/
     IS_TRANS:	/
        INDEX:	P16W2
      OFFSETS:	8-9
       TOKENS:	P16W2-P16W2
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(/)
          POS:	PUNC
          VOC:	/
        GLOSS:	nogloss

 INPUT STRING:	شادية
     IS_TRANS:	$Adyp
        INDEX:	P16W3
      OFFSETS:	10-15
       TOKENS:	P16W3-P16W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$Adiyap_1]
   UNSPLITVOC:	($Adiyap)
          POS:	NOUN_PROP+NSUFF_FEM_SG
          VOC:	$Adiy+ap
        GLOSS:	Shadia+[fem.sg.]

 INPUT STRING:	الأخوة
     IS_TRANS:	Al>xwp
        INDEX:	P17W1
      OFFSETS:	0-6
       TOKENS:	P17W1-P17W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ax~_1]
   UNSPLITVOC:	(AlAixowap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+Aixow+ap
        GLOSS:	the+fraternity+[fem.sg.]

 INPUT STRING:	الأفاضل
     IS_TRANS:	Al>fADl
        INDEX:	P17W2
      OFFSETS:	7-14
       TOKENS:	P17W2-P17W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fADil_1]
   UNSPLITVOC:	(Al>afADil)
          POS:	DET+ADJ
          VOC:	Al+>afADil
        GLOSS:	the+honorable/eminent

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P17W3
      OFFSETS:	15-17
       TOKENS:	P17W3-P17W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mano_1]
   UNSPLITVOC:	(mano)
          POS:	REL_PRON
          VOC:	mano
        GLOSS:	who/whom

 INPUT STRING:	تحدثوا
     IS_TRANS:	tHdvwA
        INDEX:	P17W4
      OFFSETS:	18-24
       TOKENS:	P17W4-P17W4
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(tHdvwA)
          POS:	NO_FUNC
          VOC:	tHdvwA
        GLOSS:	nogloss

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P17W5
      OFFSETS:	25-27
       TOKENS:	P17W5-P17W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	الموضوع
     IS_TRANS:	AlmwDwE
        INDEX:	P17W6
      OFFSETS:	28-35
       TOKENS:	P17W6-P17W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mawDuwE_1]
   UNSPLITVOC:	(AlmawDuwE)
          POS:	DET+NOUN
          VOC:	Al+mawDuwE
        GLOSS:	the+subject/theme/issue

 INPUT STRING:	الرئيس
     IS_TRANS:	Alr}ys
        INDEX:	P18W1
      OFFSETS:	0-6
       TOKENS:	P18W1-P18W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ra}iys_1]
   UNSPLITVOC:	(Alr~a}iys)
          POS:	DET+NOUN
          VOC:	Al+ra}iys
        GLOSS:	the+president/head/chairman

 INPUT STRING:	التوافقي
     IS_TRANS:	AltwAfqy
        INDEX:	P18W2
      OFFSETS:	7-15
       TOKENS:	P18W2-P18W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tawAfuqiy_1]
   UNSPLITVOC:	(Alt~awAfuqiy)
          POS:	DET+ADJ
          VOC:	Al+tawAfuqiy
        GLOSS:	the+compatability

 INPUT STRING:	دائما
     IS_TRANS:	dA}mA
        INDEX:	P18W3
      OFFSETS:	16-21
       TOKENS:	P18W3-P18W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dA}im_1]
   UNSPLITVOC:	(dA}imAF)
          POS:	ADJ+CASE_INDEF_ACC
          VOC:	dA}im+AF
        GLOSS:	always+[acc.indef.]

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P18W4
      OFFSETS:	22-24
       TOKENS:	P18W4-P18W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	REL_PRON
          VOC:	mA
        GLOSS:	what/which

 INPUT STRING:	يكون
     IS_TRANS:	ykwn
        INDEX:	P18W5
      OFFSETS:	25-29
       TOKENS:	P18W5-P18W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(yakuwn)
          POS:	IV3MS+IV
          VOC:	ya+kuwn
        GLOSS:	he/it+be

 INPUT STRING:	اختياره
     IS_TRANS:	AxtyArh
        INDEX:	P18W6
      OFFSETS:	30-37
       TOKENS:	P18W6-P18W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[{ixotiyAr_1]
   UNSPLITVOC:	({ixotiyAruh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	{ixotiyAr+uh
        GLOSS:	choice/selection/preference+its/his

 INPUT STRING:	مؤقت
     IS_TRANS:	m&qt
        INDEX:	P18W7
      OFFSETS:	38-42
       TOKENS:	P18W8-P18W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mu&aq~at_1]
   UNSPLITVOC:	(mu&aq~at)
          POS:	ADJ
          VOC:	mu&aq~at
        GLOSS:	temporary/provisional/temporarily/provisionally

 INPUT STRING:	,
     IS_TRANS:	,
        INDEX:	P18W8
      OFFSETS:	42-43
       TOKENS:	P18W9-P18W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	nogloss

 INPUT STRING:	وبعد
     IS_TRANS:	wbEd
        INDEX:	P18W9
      OFFSETS:	44-48
       TOKENS:	P18W10-P18W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEod_1]
   UNSPLITVOC:	(wibaEod)
          POS:	CONJ+NOUN
          VOC:	wi+baEod
        GLOSS:	and+after

 INPUT STRING:	قيام
     IS_TRANS:	qyAm
        INDEX:	P18W10
      OFFSETS:	49-53
       TOKENS:	P18W12-P18W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qiyAm_1]
   UNSPLITVOC:	(qiyAm)
          POS:	NOUN
          VOC:	qiyAm
        GLOSS:	undertaking/carrying out/setting up

 INPUT STRING:	الثورات
     IS_TRANS:	AlvwrAt
        INDEX:	P18W11
      OFFSETS:	54-61
       TOKENS:	P18W13-P18W13
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[vaworap_1]
   UNSPLITVOC:	(AlvaworAt)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+vawor+At
        GLOSS:	the+revolution/uprising+[fem.pl.]

 INPUT STRING:	,
     IS_TRANS:	,
        INDEX:	P18W12
      OFFSETS:	61-62
       TOKENS:	P18W14-P18W14
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	nogloss

 INPUT STRING:	وتحقيق
     IS_TRANS:	wtHqyq
        INDEX:	P18W13
      OFFSETS:	63-69
       TOKENS:	P18W15-P18W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taHoqiyq_1]
   UNSPLITVOC:	(witaHoqiyq)
          POS:	CONJ+NOUN
          VOC:	wi+taHoqiyq
        GLOSS:	and+achievement/realization

 INPUT STRING:	أهداف
     IS_TRANS:	>hdAf
        INDEX:	P18W14
      OFFSETS:	70-75
       TOKENS:	P18W17-P18W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hadaf_1]
   UNSPLITVOC:	(>ahodAf)
          POS:	NOUN
          VOC:	>ahodAf
        GLOSS:	goals

 INPUT STRING:	الثورة
     IS_TRANS:	Alvwrp
        INDEX:	P18W15
      OFFSETS:	76-82
       TOKENS:	P18W18-P18W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vawrap_1]
   UNSPLITVOC:	(Alv~awrap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+vawr+ap
        GLOSS:	the+revolution/uprising+[fem.sg.]

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P18W16
      OFFSETS:	82-83
       TOKENS:	P18W19-P18W19
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	ولما
     IS_TRANS:	wlmA
        INDEX:	P19W1
      OFFSETS:	0-4
       TOKENS:	P19W1-P19W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lam~A_1]
   UNSPLITVOC:	(walam~A)
          POS:	CONJ+SUB_CONJ
          VOC:	wa+lam~A
        GLOSS:	and+as, when

 INPUT STRING:	أن
     IS_TRANS:	>n
        INDEX:	P19W2
      OFFSETS:	5-7
       TOKENS:	P19W3-P19W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>an~_1]
   UNSPLITVOC:	(>an~)
          POS:	SUB_CONJ
          VOC:	>an~
        GLOSS:	That

 INPUT STRING:	الثورات
     IS_TRANS:	AlvwrAt
        INDEX:	P19W3
      OFFSETS:	8-15
       TOKENS:	P19W4-P19W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vawrap_1]
   UNSPLITVOC:	(Alv~awrAt)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+vawr+At
        GLOSS:	the+revolution/uprising+[fem.pl.]

 INPUT STRING:	الحقيقية
     IS_TRANS:	AlHqyqyp
        INDEX:	P19W4
      OFFSETS:	16-24
       TOKENS:	P19W5-P19W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Haqiyqiy_1]
   UNSPLITVOC:	(AlHaqiyqiy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+Haqiyqiy~+ap
        GLOSS:	the+true/real+[fem.sg.]

 INPUT STRING:	يجب
     IS_TRANS:	yjb
        INDEX:	P19W5
      OFFSETS:	25-28
       TOKENS:	P19W6-P19W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[wajab_1]
   UNSPLITVOC:	(yajib)
          POS:	IV3MS+IV
          VOC:	ya+jib
        GLOSS:	he/it+be necessary

 INPUT STRING:	أن
     IS_TRANS:	>n
        INDEX:	P19W6
      OFFSETS:	29-31
       TOKENS:	P19W7-P19W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>an~_1]
   UNSPLITVOC:	(>an~)
          POS:	SUB_CONJ
          VOC:	>an~
        GLOSS:	That

 INPUT STRING:	يشارك
     IS_TRANS:	y$Ark
        INDEX:	P19W7
      OFFSETS:	32-37
       TOKENS:	P19W8-P19W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$Arak_1]
   UNSPLITVOC:	(yi$Arik)
          POS:	IV3MS+IV
          VOC:	yi+$Arik
        GLOSS:	he/it+participate

 INPUT STRING:	فيها
     IS_TRANS:	fyhA
        INDEX:	P19W8
      OFFSETS:	38-42
       TOKENS:	P19W9-P19W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyhA)
          POS:	PREP+PRON_3FS
          VOC:	fiy+hA
        GLOSS:	in+she

 INPUT STRING:	جميع
     IS_TRANS:	jmyE
        INDEX:	P19W9
      OFFSETS:	43-47
       TOKENS:	P19W11-P19W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[jamiyE_1]
   UNSPLITVOC:	(jamiyE)
          POS:	NOUN_QUANT
          VOC:	jamiyE
        GLOSS:	all, entire, every, whole

 INPUT STRING:	طبقات
     IS_TRANS:	TbqAt
        INDEX:	P19W10
      OFFSETS:	48-53
       TOKENS:	P19W12-P19W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tabaqap_1]
   UNSPLITVOC:	(TabaqAt)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	Tabaq+At
        GLOSS:	class/category/classes/categories+[fem.pl.]

 INPUT STRING:	وفئات
     IS_TRANS:	wf}At
        INDEX:	P19W11
      OFFSETS:	54-59
       TOKENS:	P19W13-P19W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fi>ap_1]
   UNSPLITVOC:	(wifi}At)
          POS:	CONJ+NOUN+NSUFF_FEM_PL
          VOC:	wi+fi>+At
        GLOSS:	and+faction/party+[fem.pl.]

 INPUT STRING:	وأيدلوجيات
     IS_TRANS:	w>ydlwjyAt
        INDEX:	P19W12
      OFFSETS:	60-70
       TOKENS:	P19W15-P19W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>ayoduliwjy~ap_1]
   UNSPLITVOC:	(wa>ayoduliwjy~At)
          POS:	CONJ+NOUN+NSUFF_FEM_PL
          VOC:	wa+>ayoduliwjy~+At
        GLOSS:	and+ideology+[fem.pl.]

 INPUT STRING:	المجتمع
     IS_TRANS:	AlmjtmE
        INDEX:	P19W13
      OFFSETS:	71-78
       TOKENS:	P19W17-P19W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mijotimiE_1]
   UNSPLITVOC:	(AlmijotimiE)
          POS:	DET+NOUN
          VOC:	Al+mijotimiE
        GLOSS:	the+society

 INPUT STRING:	ككل
     IS_TRANS:	kkl
        INDEX:	P19W14
      OFFSETS:	79-82
       TOKENS:	P19W18-P19W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kakul~)
          POS:	PREP+NOUN_QUANT
          VOC:	ka+kul~
        GLOSS:	like/such+all

 INPUT STRING:	,
     IS_TRANS:	,
        INDEX:	P19W15
      OFFSETS:	82-83
       TOKENS:	P19W20-P19W20
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	nogloss

 INPUT STRING:	وبشرط
     IS_TRANS:	wb$rT
        INDEX:	P19W16
      OFFSETS:	84-89
       TOKENS:	P19W21-P19W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$aroT_1]
   UNSPLITVOC:	(wibi$aroT)
          POS:	CONJ+PREP+NOUN
          VOC:	wi+bi+$aroT
        GLOSS:	and+with/by+precondition/stipulation

 INPUT STRING:	أن
     IS_TRANS:	>n
        INDEX:	P19W17
      OFFSETS:	90-92
       TOKENS:	P19W24-P19W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>an~_1]
   UNSPLITVOC:	(>an~)
          POS:	SUB_CONJ
          VOC:	>an~
        GLOSS:	That

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P19W18
      OFFSETS:	93-95
       TOKENS:	P19W25-P19W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	NEG_PART
          VOC:	lA
        GLOSS:	no/not

 INPUT STRING:	يكون
     IS_TRANS:	ykwn
        INDEX:	P19W19
      OFFSETS:	96-100
       TOKENS:	P19W26-P19W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(yakuwn)
          POS:	IV3MS+IV
          VOC:	ya+kuwn
        GLOSS:	he/it+be

 INPUT STRING:	هناك
     IS_TRANS:	hnAk
        INDEX:	P19W20
      OFFSETS:	101-105
       TOKENS:	P19W27-P19W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hinAk_1]
   UNSPLITVOC:	(hinAk)
          POS:	ADV
          VOC:	hinAk
        GLOSS:	there

 INPUT STRING:	تنظيمات
     IS_TRANS:	tnZymAt
        INDEX:	P19W21
      OFFSETS:	106-113
       TOKENS:	P19W28-P19W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tanoZiym_1]
   UNSPLITVOC:	(tanoZiymAt)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	tanoZiym+At
        GLOSS:	organizations/networks+[fem.pl.]

 INPUT STRING:	تشريعية
     IS_TRANS:	t$ryEyp
        INDEX:	P19W22
      OFFSETS:	114-121
       TOKENS:	P19W29-P19W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ta$oriyEiy_1]
   UNSPLITVOC:	(ta$oriyEiy~ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	ta$oriyEiy~+ap
        GLOSS:	legislative+[fem.sg.]

 INPUT STRING:	شعبية
     IS_TRANS:	$Ebyp
        INDEX:	P19W23
      OFFSETS:	122-127
       TOKENS:	P19W30-P19W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[$aEobiy~_1]
   UNSPLITVOC:	($aEobiy~ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	$aEobiy~+ap
        GLOSS:	popular/national/people's+[fem.sg.]

 INPUT STRING:	تم
     IS_TRANS:	tm
        INDEX:	P19W24
      OFFSETS:	128-130
       TOKENS:	P19W31-P19W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tam~_1]
   UNSPLITVOC:	(tam~)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	tam~+(null)
        GLOSS:	conclude/take place+he/it [verb]

 INPUT STRING:	انتخابها
     IS_TRANS:	AntxAbhA
        INDEX:	P19W25
      OFFSETS:	131-139
       TOKENS:	P19W32-P19W33
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[{inotixAb_1]
   UNSPLITVOC:	({inotixAbhA)
          POS:	NOUN+POSS_PRON_3FS
          VOC:	{inotixAb+hA
        GLOSS:	election/selection+its/their/her

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P19W26
      OFFSETS:	139-140
       TOKENS:	P19W34-P19W34
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
