 INPUT STRING:	إعتراف
       TOKENS:	P15W11-P15W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[naZar_1]
   UNSPLITVOC:	(naZarhum)
          POS:	NOUN+POSS_PRON_3P
          VOC:	naZar+hum
        GLOSS:	in view (of)+their

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P15W11
      OFFSETS:	49-50
       TOKENS:	P15W13-P15W13
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P15W12
      OFFSETS:	50-51
       TOKENS:	P15W14-P15W14
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	متهيألي
     IS_TRANS:	mthy>ly
        INDEX:	P16W1
      OFFSETS:	1-8
       TOKENS:	P16W1-P16W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mitohay~a>_1]
   UNSPLITVOC:	(mitohay~a>_liy)
          POS:	ADJ+PREP+PRON_1S
          VOC:	mitohay~a>+li+iy
        GLOSS:	seeming+to/for+I

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P16W2
      OFFSETS:	9-11
       TOKENS:	P16W4-P16W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	الوزاره
     IS_TRANS:	AlwzArh
        INDEX:	P16W3
      OFFSETS:	12-19
       TOKENS:	P16W5-P16W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wizArap_1]
   UNSPLITVOC:	(AlwizArap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+wizAr+ap
        GLOSS:	the+ministry+[fem.sg.]

 INPUT STRING:	القديمه
     IS_TRANS:	Alqdymh
        INDEX:	P16W4
      OFFSETS:	20-27
       TOKENS:	P16W6-P16W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qadiym_1]
   UNSPLITVOC:	(Alqadiymap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+qadiym+ap
        GLOSS:	the+old/ancient/old/ancients+[fem.sg.]

 INPUT STRING:	أو
     IS_TRANS:	>w
        INDEX:	P16W5
      OFFSETS:	28-30
       TOKENS:	P16W7-P16W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aw_1]
   UNSPLITVOC:	(>aw)
          POS:	CONJ
          VOC:	>aw
        GLOSS:	or

 INPUT STRING:	الجديده
     IS_TRANS:	Aljdydh
        INDEX:	P16W6
      OFFSETS:	31-38
       TOKENS:	P16W8-P16W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jidiyd_1]
   UNSPLITVOC:	(Aljidiydap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+jidiyd+ap
        GLOSS:	the+new/modern+[fem.sg.]

 INPUT STRING:	لو
     IS_TRANS:	lw
        INDEX:	P16W7
      OFFSETS:	39-41
       TOKENS:	P16W9-P16W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[law_1]
   UNSPLITVOC:	(law)
          POS:	SUB_CONJ
          VOC:	law
        GLOSS:	if

 INPUT STRING:	فكرو
     IS_TRANS:	fkrw
        INDEX:	P16W8
      OFFSETS:	42-46
       TOKENS:	P16W10-P16W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[fak~ar_1]
   UNSPLITVOC:	(fak~ruw)
          POS:	PV+PVSUFF_SUBJ:3P
          VOC:	fak~r+uw
        GLOSS:	think/consider/ponder+they [verb]

 INPUT STRING:	بجديه
     IS_TRANS:	bjdyh
        INDEX:	P16W9
      OFFSETS:	47-52
       TOKENS:	P16W11-P16W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jid~iy~ap_1]
   UNSPLITVOC:	(bijid~iy~ap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	bi+jid~iy~+ap
        GLOSS:	with/by+seriousness/earnestness+[fem.sg.]

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P16W10
      OFFSETS:	53-55
       TOKENS:	P16W13-P16W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	حلول
     IS_TRANS:	Hlwl
        INDEX:	P16W11
      OFFSETS:	56-60
       TOKENS:	P16W14-P16W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Huluwl_1]
   UNSPLITVOC:	(Huluwl)
          POS:	NOUN
          VOC:	Huluwl
        GLOSS:	solutions/dissolutions/cancellations

 INPUT STRING:	هيكون
     IS_TRANS:	hykwn
        INDEX:	P16W12
      OFFSETS:	61-66
       TOKENS:	P16W15-P16W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(Hayikuwn)
          POS:	FUT_PART+IV3MS+IV
          VOC:	Ha+yi+kuwn
        GLOSS:	will+he/it+be

 INPUT STRING:	أفضل
     IS_TRANS:	>fDl
        INDEX:	P16W13
      OFFSETS:	67-71
       TOKENS:	P16W17-P16W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>afoDal_1]
   UNSPLITVOC:	(>afoDal)
          POS:	ADJ_COMP
          VOC:	>afoDal
        GLOSS:	better, best

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P16W14
      OFFSETS:	72-74
       TOKENS:	P16W18-P16W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	الاستقاله
     IS_TRANS:	AlAstqAlh
        INDEX:	P16W15
      OFFSETS:	75-84
       TOKENS:	P16W19-P16W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AisotiqAlap_1]
   UNSPLITVOC:	(AlAisotiqAlap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+AisotiqAl+ap
        GLOSS:	the+resignation/retirement+[fem.sg.]

 INPUT STRING:	لما
     IS_TRANS:	lmA
        INDEX:	P17W1
      OFFSETS:	1-4
       TOKENS:	P17W1-P17W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lam~A_1]
   UNSPLITVOC:	(lam~A)
          POS:	SUB_CONJ
          VOC:	lam~A
        GLOSS:	as/when

 INPUT STRING:	تبقي
     IS_TRANS:	tbqy
        INDEX:	P17W2
      OFFSETS:	5-9
       TOKENS:	P17W2-P17W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baqaY_1]
   UNSPLITVOC:	(tiboqaY)
          POS:	IV3FS+IV
          VOC:	ti+boqaY
        GLOSS:	it/they/she+remain/last

 INPUT STRING:	فيه
     IS_TRANS:	fyh
        INDEX:	P17W3
      OFFSETS:	10-13
       TOKENS:	P17W3-P17W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyh)
          POS:	PREP+PRON_3MS
          VOC:	fiy+uh
        GLOSS:	in+it/him

 INPUT STRING:	كارثه
     IS_TRANS:	kArvh
        INDEX:	P17W4
      OFFSETS:	14-19
       TOKENS:	P17W5-P17W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kArovap_1]
   UNSPLITVOC:	(kArovap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	kArov+ap
        GLOSS:	catastrophe/tragedy+[fem.sg.]

 INPUT STRING:	بتحصل
     IS_TRANS:	btHSl
        INDEX:	P17W5
      OFFSETS:	20-25
       TOKENS:	P17W6-P17W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HaSal_1]
   UNSPLITVOC:	(bitiHoSal)
          POS:	PROG_PART+IV3FS+IV
          VOC:	bi+ti+HoSal
        GLOSS:	[present-tense]+it/they/she+occur/happen/take place

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P17W6
      OFFSETS:	26-28
       TOKENS:	P17W8-P17W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN
          VOC:	kul~
        GLOSS:	all, entire, every, whole

 INPUT STRING:	سنه
     IS_TRANS:	snh
        INDEX:	P17W7
      OFFSETS:	29-32
       TOKENS:	P17W9-P17W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[sanap_1]
   UNSPLITVOC:	(sanap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	san+ap
        GLOSS:	year/years+[fem.sg.]

 INPUT STRING:	بيروح
     IS_TRANS:	byrwH
        INDEX:	P17W8
      OFFSETS:	33-38
       TOKENS:	P17W10-P17W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rAH_1]
   UNSPLITVOC:	(biyiruwH)
          POS:	PROG_PART+IV3MS+IV
          VOC:	bi+yi+ruwH
        GLOSS:	[present-tense]+he/it+go

 INPUT STRING:	ضحيتها
     IS_TRANS:	DHythA
        INDEX:	P17W9
      OFFSETS:	39-45
       TOKENS:	P17W12-P17W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[DaHiy~ap_1]
   UNSPLITVOC:	(DaHiy~athA)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_3FS
          VOC:	DaHiy~+at+hA
        GLOSS:	victim+[fem.sg.]+its/their/her

 INPUT STRING:	المئات
     IS_TRANS:	Alm}At
        INDEX:	P17W10
      OFFSETS:	46-52
       TOKENS:	P17W14-P17W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miy~ap_1]
   UNSPLITVOC:	(Almi}At)
          POS:	DET+NOUN_NUM+NSUFF_FEM_PL
          VOC:	Al+mi}+At
        GLOSS:	the+hundreds+[fem.pl.]

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P17W11
      OFFSETS:	53-55
       TOKENS:	P17W15-P17W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	الأرواح
     IS_TRANS:	Al>rwAH
        INDEX:	P17W12
      OFFSETS:	56-63
       TOKENS:	P17W16-P17W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rawH_1]
   UNSPLITVOC:	(Al>arowAH)
          POS:	DET+NOUN
          VOC:	Al+>arowAH
        GLOSS:	the+soul or spirit

 INPUT STRING:	البريئه
     IS_TRANS:	Albry}h
        INDEX:	P17W13
      OFFSETS:	64-71
       TOKENS:	P17W17-P17W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bariy}ap_1]
   UNSPLITVOC:	(Albariy}ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+bariy}+ap
        GLOSS:	the+innocent/exempt+[fem.sg.]

 INPUT STRING:	يبقي
     IS_TRANS:	ybqy
        INDEX:	P17W14
      OFFSETS:	72-76
       TOKENS:	P17W18-P17W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baqaY_1]
   UNSPLITVOC:	(yiboqaY)
          POS:	IV3MS+IV
          VOC:	yi+boqaY
        GLOSS:	he/it+remain/last

 INPUT STRING:	الحل
     IS_TRANS:	AlHl
        INDEX:	P17W15
      OFFSETS:	77-81
       TOKENS:	P17W19-P17W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hal~_1]
   UNSPLITVOC:	(AlHal~)
          POS:	DET+NOUN
          VOC:	Al+Hal~
        GLOSS:	the+solution/dissolution/cancellation/solutions/dissolutions/cancellations

 INPUT STRING:	أكيد
     IS_TRANS:	>kyd
        INDEX:	P17W16
      OFFSETS:	82-86
       TOKENS:	P17W20-P17W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>akiyd_1]
   UNSPLITVOC:	(>akiyd)
          POS:	ADJ
          VOC:	>akiyd
        GLOSS:	certain/definite

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P17W17
      OFFSETS:	87-89
       TOKENS:	P17W21-P17W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P17W18
      OFFSETS:	90-92
       TOKENS:	P17W22-P17W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	الاستقاله
     IS_TRANS:	AlAstqAlh
        INDEX:	P17W19
      OFFSETS:	93-102
       TOKENS:	P17W23-P17W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AisotiqAlap_1]
   UNSPLITVOC:	(AlAisotiqAlap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+AisotiqAl+ap
        GLOSS:	the+resignation/retirement+[fem.sg.]

 INPUT STRING:	هيروح
     IS_TRANS:	hyrwH
        INDEX:	P18W1
      OFFSETS:	1-6
       TOKENS:	P18W1-P18W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rAH_1]
   UNSPLITVOC:	(HayiruwH)
          POS:	FUT_PART+IV3MS+IV
          VOC:	Ha+yi+ruwH
        GLOSS:	will+he/it+go

 INPUT STRING:	وزير
     IS_TRANS:	wzyr
        INDEX:	P18W2
      OFFSETS:	7-11
       TOKENS:	P18W3-P18W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waziyr_1]
   UNSPLITVOC:	(waziyr)
          POS:	NOUN
          VOC:	waziyr
        GLOSS:	minister

 INPUT STRING:	وهيجي
     IS_TRANS:	whyjy
        INDEX:	P18W3
      OFFSETS:	12-17
       TOKENS:	P18W4-P18W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jA_1]
   UNSPLITVOC:	(wiHayijiy)
          POS:	CONJ+FUT_PART+IV3MS+IV
          VOC:	wi+Ha+yi+jiy
        GLOSS:	and+will+he/it+come

 INPUT STRING:	وزير
     IS_TRANS:	wzyr
        INDEX:	P18W4
      OFFSETS:	18-22
       TOKENS:	P18W7-P18W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waziyr_1]
   UNSPLITVOC:	(waziyr)
          POS:	NOUN
          VOC:	waziyr
        GLOSS:	minister

 INPUT STRING:	والحال
     IS_TRANS:	wAlHAl
        INDEX:	P18W5
      OFFSETS:	23-29
       TOKENS:	P18W8-P18W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAl_1]
   UNSPLITVOC:	(wiAlHAl)
          POS:	CONJ+DET+NOUN
          VOC:	wi+Al+HAl
        GLOSS:	and+the+situation/condition/case/situations/conditions/cases

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P18W6
      OFFSETS:	30-32
       TOKENS:	P18W10-P18W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	he

 INPUT STRING:	الحال
     IS_TRANS:	AlHAl
        INDEX:	P18W7
      OFFSETS:	33-38
       TOKENS:	P18W11-P18W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAl_1]
   UNSPLITVOC:	(AlHAl)
          POS:	DET+NOUN
          VOC:	Al+HAl
        GLOSS:	the+situation/condition/case/situations/conditions/cases

 INPUT STRING:	مفيش
     IS_TRANS:	mfy$
        INDEX:	P19W1
      OFFSETS:	1-5
       TOKENS:	P19W1-P19W1
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(mfy$)
          POS:	NO_FUNC
          VOC:	mfy$
        GLOSS:	nogloss

 INPUT STRING:	حاجه
     IS_TRANS:	HAjh
        INDEX:	P19W2
      OFFSETS:	6-10
       TOKENS:	P19W2-P19W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(HAjap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HAj+ap
        GLOSS:	thing/belongings+[fem.sg.]

 INPUT STRING:	هتتغير
     IS_TRANS:	httgyr
        INDEX:	P19W3
      OFFSETS:	11-17
       TOKENS:	P19W3-P19W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aitogay~ar_1]
   UNSPLITVOC:	(Hatitogay~ar)
          POS:	FUT_PART+IV3FS+IV
          VOC:	Ha+ti+togay~ar
        GLOSS:	will+it/they/she+change

 INPUT STRING:	قوانيين
     IS_TRANS:	qwAnyyn
        INDEX:	P19W4
      OFFSETS:	18-25
       TOKENS:	P19W5-P19W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(qwAnyyn)
          POS:	TYPO
          VOC:	qwAnyyn
        GLOSS:	nogloss

 INPUT STRING:	عاف
     IS_TRANS:	EAf
        INDEX:	P19W5
      OFFSETS:	26-29
       TOKENS:	P19W6-P19W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAf_1]
   UNSPLITVOC:	(EAf)
          POS:	ADJ.VN
          VOC:	EAf
        GLOSS:	effaced/obliterated

 INPUT STRING:	عليها
     IS_TRANS:	ElyhA
        INDEX:	P19W6
      OFFSETS:	30-35
       TOKENS:	P19W7-P19W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalayhA)
          POS:	PREP+PRON_3FS
          VOC:	EalaY+hA
        GLOSS:	on/above+it/them/her

 INPUT STRING:	الزمن
     IS_TRANS:	Alzmn
        INDEX:	P19W7
      OFFSETS:	36-41
       TOKENS:	P19W9-P19W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zaman_1]
   UNSPLITVOC:	(Alz~aman)
          POS:	DET+NOUN
          VOC:	Al+zaman
        GLOSS:	the+time/period/duration

 INPUT STRING:	وتقنيات
     IS_TRANS:	wtqnyAt
        INDEX:	P19W8
      OFFSETS:	42-49
       TOKENS:	P19W10-P19W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taqoniyap_1]
   UNSPLITVOC:	(witaqoniyAt)
          POS:	CONJ+NOUN+NSUFF_FEM_PL
          VOC:	wi+taqoniy+At
        GLOSS:	and+technique/technology+[fem.pl.]

 INPUT STRING:	حديثه
     IS_TRANS:	Hdyvh
        INDEX:	P19W9
      OFFSETS:	50-55
       TOKENS:	P19W12-P19W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hadiyv_1]
   UNSPLITVOC:	(Hadiyvap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	Hadiyv+ap
        GLOSS:	new/recent/modern+[fem.sg.]

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P19W10
      OFFSETS:	56-58
       TOKENS:	P19W13-P19W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	عارفين
     IS_TRANS:	EArfyn
        INDEX:	P19W11
      OFFSETS:	59-65
       TOKENS:	P19W14-P19W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EArif_1]
   UNSPLITVOC:	(EArofiyn)
          POS:	ADJ.VN+NSUFF_MASC_PL
          VOC:	EArof+iyn
        GLOSS:	knowing/having knowledge of+[masc.pl.]

 INPUT STRING:	حتي
     IS_TRANS:	Hty
        INDEX:	P19W12
      OFFSETS:	66-69
       TOKENS:	P19W15-P19W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Hat~aY_1]
   UNSPLITVOC:	(Hat~aY)
          POS:	PART
          VOC:	Hat~aY
        GLOSS:	even/including

 INPUT STRING:	يستخدموها
     IS_TRANS:	ystxdmwhA
        INDEX:	P19W13
      OFFSETS:	70-79
       TOKENS:	P19W16-P19W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aisotaxodim_1]
   UNSPLITVOC:	(yisotaxodimuwhA)
          POS:	IV3P+IV+IVSUFF_SUBJ:P+IVSUFF_DO:3FS
          VOC:	yi+sotaxodim+uwA+hA
        GLOSS:	they (people)+use/utilize/employ/operate+[masc.pl.]+it/them/her

 INPUT STRING:	صح
     IS_TRANS:	SH
        INDEX:	P19W14
      OFFSETS:	80-82
       TOKENS:	P19W18-P19W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SaH~_1]
   UNSPLITVOC:	(SaH~)
          POS:	ADJ
          VOC:	SaH~
        GLOSS:	correct/right

 INPUT STRING:	يا
     IS_TRANS:	yA
        INDEX:	P20W1
      OFFSETS:	1-3
       TOKENS:	P20W1-P20W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yA_1]
   UNSPLITVOC:	(yA)
          POS:	VOC_PART
          VOC:	yA
        GLOSS:	O, oh

 INPUT STRING:	فرحتي
     IS_TRANS:	frHty
        INDEX:	P20W2
      OFFSETS:	4-9
       TOKENS:	P20W2-P20W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[faroHap_1]
   UNSPLITVOC:	(faroHitiy)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_1S
          VOC:	faroH+ap+iy
        GLOSS:	joy/joys+[fem.sg.]+my

 INPUT STRING:	انها
     IS_TRANS:	AnhA
        INDEX:	P20W3
      OFFSETS:	10-14
       TOKENS:	P20W4-P20W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~ahA)
          POS:	SUB_CONJ+PRON_3FS
          VOC:	<in~+hA
        GLOSS:	that+it/they/she

 INPUT STRING:	موجوده
     IS_TRANS:	mwjwdh
        INDEX:	P20W4
      OFFSETS:	15-21
       TOKENS:	P20W6-P20W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mawjuwd_1]
   UNSPLITVOC:	(mawjuwdap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	mawjuwd+ap
        GLOSS:	present/existing/found+[fem.sg.]

 INPUT STRING:	وزي
     IS_TRANS:	wzy
        INDEX:	P20W5
      OFFSETS:	22-25
       TOKENS:	P20W7-P20W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zay~_1]
   UNSPLITVOC:	(wazay~)
          POS:	PREP+NOUN
          VOC:	wa+zay~
        GLOSS:	with+like

 INPUT STRING:	قلتها
     IS_TRANS:	qlthA
        INDEX:	P20W6
      OFFSETS:	26-31
       TOKENS:	P20W9-P20W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qil~ap_1]
