 INPUT STRING:	وتتوالى
        GLOSS:	the+law/statutes/regulations

 INPUT STRING:	دون
     IS_TRANS:	dwn
        INDEX:	P26W8
      OFFSETS:	40-43
       TOKENS:	P26W8-P26W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[duwn_1]
   UNSPLITVOC:	(duwn)
          POS:	NOUN
          VOC:	duwn
        GLOSS:	without/beneath/underneath/inferior/poor

 INPUT STRING:	اهدار
     IS_TRANS:	AhdAr
        INDEX:	P26W9
      OFFSETS:	44-49
       TOKENS:	P26W9-P26W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<ihodAr_1]
   UNSPLITVOC:	(<ihodAr)
          POS:	NOUN
          VOC:	<ihodAr
        GLOSS:	abandoning/relinquishing/surrendering

 INPUT STRING:	لكرامة
     IS_TRANS:	lkrAmp
        INDEX:	P26W10
      OFFSETS:	50-56
       TOKENS:	P26W10-P26W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[karAmap_1]
   UNSPLITVOC:	(likarAmap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	li+karAm+ap
        GLOSS:	for/to+dignity/generosity+[fem.sg.]

 INPUT STRING:	الانسان
     IS_TRANS:	AlAnsAn
        INDEX:	P26W11
      OFFSETS:	57-64
       TOKENS:	P26W12-P26W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<inosAn_1]
   UNSPLITVOC:	(Al<inosAn)
          POS:	DET+NOUN
          VOC:	Al+<inosAn
        GLOSS:	the+human being/human beings

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P26W12
      OFFSETS:	65-66
       TOKENS:	P26W13-P26W13
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	nogloss

 INPUT STRING:	صلى
     IS_TRANS:	SlY
        INDEX:	P27W1
      OFFSETS:	0-3
       TOKENS:	P27W1-P27W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Sal~aY_1]
   UNSPLITVOC:	(Sal~iy)
          POS:	CV+CVSUFF_SUBJ:2FS
          VOC:	Sal~+iy
        GLOSS:	pray+you [fem.sg.] [verb]

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P27W2
      OFFSETS:	4-7
       TOKENS:	P27W2-P27W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	رسول
     IS_TRANS:	rswl
        INDEX:	P27W3
      OFFSETS:	8-12
       TOKENS:	P27W3-P27W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rasuwl_1]
   UNSPLITVOC:	(rasuwl)
          POS:	NOUN
          VOC:	rasuwl
        GLOSS:	messenger (Muhammad)

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P27W4
      OFFSETS:	13-17
       TOKENS:	P27W4-P27W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	Allah/God

 INPUT STRING:	طلبتم
     IS_TRANS:	Tlbtm
        INDEX:	P28W1
      OFFSETS:	0-5
       TOKENS:	P28W1-P28W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Talab_1]
   UNSPLITVOC:	(Talabtum)
          POS:	PV+PVSUFF_SUBJ:2P
          VOC:	Talab+tum
        GLOSS:	request+you [masc.pl.] [verb]

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P28W2
      OFFSETS:	6-8
       TOKENS:	P28W2-P28W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	الناس
     IS_TRANS:	AlnAs
        INDEX:	P28W3
      OFFSETS:	9-14
       TOKENS:	P28W3-P28W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAs_1]
   UNSPLITVOC:	(Aln~As)
          POS:	DET+NOUN
          VOC:	Al+nAs
        GLOSS:	the+people

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P28W4
      OFFSETS:	15-17
       TOKENS:	P28W4-P28W4
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>ano_1]
   UNSPLITVOC:	(>ano)
          POS:	SUB_CONJ
          VOC:	>ano
        GLOSS:	That, to

 INPUT STRING:	تنزل
     IS_TRANS:	tnzl
        INDEX:	P28W5
      OFFSETS:	18-22
       TOKENS:	P28W5-P28W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nazal_1]
   UNSPLITVOC:	(tinozil)
          POS:	IV3FS+IV
          VOC:	ti+nozil
        GLOSS:	it/they/she+descend/stay

 INPUT STRING:	لتقول
     IS_TRANS:	ltqwl
        INDEX:	P28W6
      OFFSETS:	23-28
       TOKENS:	P28W6-P28W7
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qAl-u_1]
   UNSPLITVOC:	(litaquwla)
          POS:	PREP+IV3FS+IV+IVSUFF_MOOD:S
          VOC:	li+ta+quwl+a
        GLOSS:	for+it/them/her to+say+[sub.]

 INPUT STRING:	نعم
     IS_TRANS:	nEm
        INDEX:	P28W7
      OFFSETS:	29-32
       TOKENS:	P28W8-P28W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[naEam_1]
   UNSPLITVOC:	(naEam)
          POS:	INTERJ
          VOC:	naEam
        GLOSS:	yes

 INPUT STRING:	لان
     IS_TRANS:	lAn
        INDEX:	P28W8
      OFFSETS:	33-36
       TOKENS:	P28W9-P28W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(li<in~)
          POS:	PREP+SUB_CONJ
          VOC:	li+<in~
        GLOSS:	for+that

 INPUT STRING:	نعم
     IS_TRANS:	nEm
        INDEX:	P28W9
      OFFSETS:	37-40
       TOKENS:	P28W11-P28W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[naEam_1]
   UNSPLITVOC:	(naEam)
          POS:	INTERJ
          VOC:	naEam
        GLOSS:	yes

 INPUT STRING:	تعنى
     IS_TRANS:	tEnY
        INDEX:	P28W10
      OFFSETS:	41-45
       TOKENS:	P28W12-P28W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[EanaY_1]
   UNSPLITVOC:	(tiEoniy)
          POS:	IV3FS+IV
          VOC:	ti+Eoniy
        GLOSS:	it/they/she+mean/signify/concern

 INPUT STRING:	الاستقرار
     IS_TRANS:	AlAstqrAr
        INDEX:	P28W11
      OFFSETS:	46-55
       TOKENS:	P28W13-P28W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AisotiqorAr_1]
   UNSPLITVOC:	(AlAisotiqorAr)
          POS:	DET+NOUN
          VOC:	Al+AisotiqorAr
        GLOSS:	the+stability

 INPUT STRING:	اليس
     IS_TRANS:	Alys
        INDEX:	P28W12
      OFFSETS:	56-60
       TOKENS:	P28W14-P28W15
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[layosa_2]
   UNSPLITVOC:	(>alayosa)
          POS:	INTERROG_PART+NEG_PART
          VOC:	>a+layosa
        GLOSS:	is/are+not

 INPUT STRING:	كذلك
     IS_TRANS:	k*lk
        INDEX:	P28W13
      OFFSETS:	61-65
       TOKENS:	P28W16-P28W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[*alik_1]
   UNSPLITVOC:	(ka*alik)
          POS:	PREP+DEM_PRON_MS
          VOC:	ka+*alik
        GLOSS:	like/such as+that

 INPUT STRING:	طلبتم
     IS_TRANS:	Tlbtm
        INDEX:	P29W1
      OFFSETS:	0-5
       TOKENS:	P29W1-P29W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Talab_1]
   UNSPLITVOC:	(Talabtum)
          POS:	PV+PVSUFF_SUBJ:2P
          VOC:	Talab+tum
        GLOSS:	request+you [masc.pl.] [verb]

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P29W2
      OFFSETS:	6-8
       TOKENS:	P29W2-P29W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	الثوار
     IS_TRANS:	AlvwAr
        INDEX:	P29W3
      OFFSETS:	9-15
       TOKENS:	P29W3-P29W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vA}ir_1]
   UNSPLITVOC:	(Alv~uw~Ar)
          POS:	DET+NOUN
          VOC:	Al+vuw~Ar
        GLOSS:	the+insurgents/revolutionaries

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P29W4
      OFFSETS:	16-18
       TOKENS:	P29W4-P29W4
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>ano_1]
   UNSPLITVOC:	(>ano)
          POS:	SUB_CONJ
          VOC:	>ano
        GLOSS:	That, to

 INPUT STRING:	يتلموا
     IS_TRANS:	ytlmwA
        INDEX:	P29W5
      OFFSETS:	19-25
       TOKENS:	P29W5-P29W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Aitolam_1]
   UNSPLITVOC:	(yitolamuwA)
          POS:	IV3P+IV+IVSUFF_SUBJ:P
          VOC:	yi+tolam+uwA
        GLOSS:	they (people)+be gathered+[pl.]

 INPUT STRING:	ويقعدوا
     IS_TRANS:	wyqEdwA
        INDEX:	P29W6
      OFFSETS:	26-33
       TOKENS:	P29W6-P29W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qaEad_1]
   UNSPLITVOC:	(wiyuqoEuduwA)
          POS:	CONJ+IV3P+IV+IVSUFF_SUBJ:P
          VOC:	wi+yu+qoEud+uwA
        GLOSS:	and+they+sit down/remain+[pl.]

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P29W7
      OFFSETS:	34-36
       TOKENS:	P29W8-P29W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	بيوتهم
     IS_TRANS:	bywthm
        INDEX:	P29W8
      OFFSETS:	37-43
       TOKENS:	P29W9-P29W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bayt_1]
   UNSPLITVOC:	(biyuwthum)
          POS:	NOUN+POSS_PRON_3P
          VOC:	biyuwt+hum
        GLOSS:	houses+their

 INPUT STRING:	كى
     IS_TRANS:	kY
        INDEX:	P29W9
      OFFSETS:	44-46
       TOKENS:	P29W11-P29W11
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[kayo_1]
   UNSPLITVOC:	(kayo)
          POS:	SUB_CONJ
          VOC:	kayo
        GLOSS:	in order (to)/so (that)/for

 INPUT STRING:	تهداء
     IS_TRANS:	thdA'
        INDEX:	P29W10
      OFFSETS:	47-52
       TOKENS:	P29W12-P29W12
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(thdA')
          POS:	TYPO
          VOC:	thdA'
        GLOSS:	nogloss

 INPUT STRING:	الامورلتتمكن
     IS_TRANS:	AlAmwrlttmkn
        INDEX:	P29W11
      OFFSETS:	53-65
       TOKENS:	P29W13-P29W13
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(AlAmwrlttmkn)
          POS:	NO_FUNC
          VOC:	AlAmwrlttmkn
        GLOSS:	nogloss

 INPUT STRING:	الدوله
     IS_TRANS:	Aldwlh
        INDEX:	P29W12
      OFFSETS:	66-72
       TOKENS:	P29W14-P29W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dawlap_1]
   UNSPLITVOC:	(Ald~awlap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+dawl+ap
        GLOSS:	the+state/country+[fem.sg.]

 INPUT STRING:	والمجلس
     IS_TRANS:	wAlmjls
        INDEX:	P29W13
      OFFSETS:	73-80
       TOKENS:	P29W15-P29W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[majolis_1]
   UNSPLITVOC:	(wiAlmajolis)
          POS:	CONJ+DET+NOUN
          VOC:	wi+Al+majolis
        GLOSS:	and+the+council/board/Majlis

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P29W14
      OFFSETS:	81-83
       TOKENS:	P29W17-P29W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	اداء
     IS_TRANS:	AdA'
        INDEX:	P29W15
      OFFSETS:	84-88
       TOKENS:	P29W18-P29W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>adA'_1]
   UNSPLITVOC:	(>adA')
          POS:	NOUN
          VOC:	>adA'
        GLOSS:	performance/fulfillment

 INPUT STRING:	مهامهم
     IS_TRANS:	mhAmhm
        INDEX:	P29W16
      OFFSETS:	89-95
       TOKENS:	P29W19-P29W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muhim~ap_1]
   UNSPLITVOC:	(mahAmhum)
          POS:	NOUN+POSS_PRON_3P
          VOC:	mahAm+hum
        GLOSS:	tasks/assignments/missions+their

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P29W17
      OFFSETS:	96-98
       TOKENS:	P29W21-P29W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	حمايه
     IS_TRANS:	HmAyh
        INDEX:	P29W18
      OFFSETS:	99-104
       TOKENS:	P29W22-P29W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HimAyap_1]
   UNSPLITVOC:	(HimAyap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HimAy+ap
        GLOSS:	protection/protecting+[fem.sg.]

 INPUT STRING:	امن
     IS_TRANS:	Amn
        INDEX:	P29W19
      OFFSETS:	105-108
       TOKENS:	P29W23-P29W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amon_1]
   UNSPLITVOC:	(>amon)
          POS:	NOUN
          VOC:	>amon
        GLOSS:	security/safety

 INPUT STRING:	المواطن
     IS_TRANS:	AlmwATn
        INDEX:	P29W20
      OFFSETS:	109-116
       TOKENS:	P29W24-P29W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muwATin_1]
   UNSPLITVOC:	(AlmuwATin)
          POS:	DET+NOUN
          VOC:	Al+muwATin
        GLOSS:	the+citizen

 INPUT STRING:	وتامينه
     IS_TRANS:	wtAmynh
        INDEX:	P29W21
      OFFSETS:	117-124
       TOKENS:	P29W25-P29W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ta>omiyn_1]
   UNSPLITVOC:	(wita>omiynuh)
          POS:	CONJ+NOUN+POSS_PRON_3MS
          VOC:	wi+ta>omiyn+uh
        GLOSS:	and+insurance/guarantee+its/his

 INPUT STRING:	اسئلك
     IS_TRANS:	As}lk
        INDEX:	P30W1
      OFFSETS:	0-5
       TOKENS:	P30W1-P30W1
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(As}lk)
          POS:	TYPO
          VOC:	As}lk
        GLOSS:	nogloss

 INPUT STRING:	واستحلفك
     IS_TRANS:	wAstHlfk
        INDEX:	P30W2
      OFFSETS:	6-14
       TOKENS:	P30W2-P30W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AisotaHolif_1]
   UNSPLITVOC:	(wiAasotaHolifak)
          POS:	CONJ+IV1S+IV+IVSUFF_DO:2MS
          VOC:	wi+Aa+sotaHolif+ak
        GLOSS:	and+I+make swear+you [masc.sg.]

 INPUT STRING:	بكل
     IS_TRANS:	bkl
        INDEX:	P30W3
      OFFSETS:	15-18
       TOKENS:	P30W5-P30W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(bikul~)
          POS:	PREP+NOUN_QUANT
          VOC:	bi+kul~
        GLOSS:	with/by+all, entire, every, whole

 INPUT STRING:	ماتملك
     IS_TRANS:	mAtmlk
        INDEX:	P30W4
      OFFSETS:	19-25
       TOKENS:	P30W7-P30W7
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(mAtmlk)
          POS:	NO_FUNC
          VOC:	mAtmlk
        GLOSS:	nogloss

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P30W5
      OFFSETS:	26-28
       TOKENS:	P30W8-P30W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	درجات
     IS_TRANS:	drjAt
        INDEX:	P30W6
      OFFSETS:	29-34
       TOKENS:	P30W9-P30W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[darajap_1]
   UNSPLITVOC:	(darajAt)
          POS:	NOUN+NSUFF_FEM_PL
          VOC:	daraj+At
        GLOSS:	degrees/classes/ranks/grades/levels+[fem.pl.]

 INPUT STRING:	الايمان
     IS_TRANS:	AlAymAn
        INDEX:	P30W7
      OFFSETS:	35-42
       TOKENS:	P30W10-P30W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<iymAn_1]
   UNSPLITVOC:	(Al<iymAn)
          POS:	DET+NOUN
          VOC:	Al+<iymAn
        GLOSS:	the+belief/faith/believing

 INPUT STRING:	هل
     IS_TRANS:	hl
        INDEX:	P30W8
      OFFSETS:	43-45
       TOKENS:	P30W11-P30W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hal_1]
   UNSPLITVOC:	(hal)
          POS:	INTERROG_PART
          VOC:	hal
        GLOSS:	do?/is?

 INPUT STRING:	قام
     IS_TRANS:	qAm
        INDEX:	P30W9
      OFFSETS:	46-49
       TOKENS:	P30W12-P30W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAm_1]
   UNSPLITVOC:	(qAm)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	qAm+(null)
        GLOSS:	undertake/carry out+he/it [verb]

 INPUT STRING:	المجلس
     IS_TRANS:	Almjls
        INDEX:	P30W10
      OFFSETS:	50-56
       TOKENS:	P30W13-P30W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[majolis_1]
   UNSPLITVOC:	(Almajolis)
          POS:	DET+NOUN
          VOC:	Al+majolis
        GLOSS:	the+council/board/Majlis

 INPUT STRING:	العسكرى
     IS_TRANS:	AlEskrY
        INDEX:	P30W11
      OFFSETS:	57-64
       TOKENS:	P30W14-P30W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Easokariy_1]
   UNSPLITVOC:	(AlEasokariy)
          POS:	DET+ADJ
          VOC:	Al+Easokariy
        GLOSS:	the+military/army

 INPUT STRING:	بدوره
     IS_TRANS:	bdwrh
        INDEX:	P30W12
      OFFSETS:	65-70
       TOKENS:	P30W15-P30W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[duwr_1]
   UNSPLITVOC:	(biduwruh)
          POS:	PREP+NOUN+POSS_PRON_3MS
          VOC:	bi+duwr+uh
        GLOSS:	with/by+role/part+his/its

 INPUT STRING:	هل
     IS_TRANS:	hl
        INDEX:	P31W1
      OFFSETS:	0-2
       TOKENS:	P31W1-P31W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hal_1]
   UNSPLITVOC:	(hal)
          POS:	INTERROG_PART
          VOC:	hal
        GLOSS:	do?/is?

 INPUT STRING:	ادار
     IS_TRANS:	AdAr
        INDEX:	P31W2
      OFFSETS:	3-7
       TOKENS:	P31W2-P31W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>adAr_1]
   UNSPLITVOC:	(>adAr)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	>adAr+(null)
        GLOSS:	direct/manage/conduct+he/it [verb]

 INPUT STRING:	الامانه
     IS_TRANS:	AlAmAnh
        INDEX:	P31W3
      OFFSETS:	8-15
       TOKENS:	P31W3-P31W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amAnap_1]
   UNSPLITVOC:	(Al>amAnap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+>amAn+ap
        GLOSS:	the+deposit+[fem.sg.]

 INPUT STRING:	التى
     IS_TRANS:	AltY
        INDEX:	P31W4
      OFFSETS:	16-20
       TOKENS:	P31W4-P31W4
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[Al~a*iy_1]
   UNSPLITVOC:	(Al~atiy)
          POS:	REL_PRON
          VOC:	Al~atiy
        GLOSS:	which/who/whom [fem.sg.]

 INPUT STRING:	حمل
     IS_TRANS:	Hml
        INDEX:	P31W5
      OFFSETS:	21-24
       TOKENS:	P31W5-P31W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Ham~al_1]
   UNSPLITVOC:	(Hum~il)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	Hum~il+(null)
        GLOSS:	be charged (with responsibility)/be blamed/be imposed/be made carry+he/it [verb]

 INPUT STRING:	بها
     IS_TRANS:	bhA
        INDEX:	P31W6
      OFFSETS:	25-28
       TOKENS:	P31W6-P31W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[bi_1]
   UNSPLITVOC:	(bihA)
          POS:	PREP+PRON_3FS
          VOC:	bi+hA
        GLOSS:	with/by+it/them/her

 INPUT STRING:	وهل
     IS_TRANS:	whl
        INDEX:	P31W7
      OFFSETS:	29-32
       TOKENS:	P31W8-P31W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hal_1]
   UNSPLITVOC:	(wihal)
          POS:	CONJ+INTERROG_PART
          VOC:	wi+hal
        GLOSS:	and+do?/is?

 INPUT STRING:	هناك
     IS_TRANS:	hnAk
        INDEX:	P31W8
      OFFSETS:	33-37
       TOKENS:	P31W10-P31W10
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[hunAka_1]
   UNSPLITVOC:	(hunAka)
          POS:	ADV
          VOC:	hunAka
        GLOSS:	there

 INPUT STRING:	نيه
     IS_TRANS:	nyh
        INDEX:	P31W9
      OFFSETS:	38-41
       TOKENS:	P31W11-P31W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[niy~ap_1]
   UNSPLITVOC:	(niy~ap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	niy~+ap
        GLOSS:	intention/purpose/desire+[fem.sg.]

 INPUT STRING:	لتسليمها
     IS_TRANS:	ltslymhA
        INDEX:	P31W10
      OFFSETS:	42-50
       TOKENS:	P31W12-P31W14
