 INPUT STRING:	الحياة
      OFFSETS:	10-14
       TOKENS:	P71W4-P71W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[TiwAl_1]
   UNSPLITVOC:	(TiwAl)
          POS:	NOUN
          VOC:	TiwAl
        GLOSS:	during

 INPUT STRING:	اليوم
     IS_TRANS:	Alywm
        INDEX:	P71W4
      OFFSETS:	15-20
       TOKENS:	P71W5-P71W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yawm_1]
   UNSPLITVOC:	(Alyawm)
          POS:	DET+NOUN
          VOC:	Al+yawm
        GLOSS:	the+today/some day/ever/days

 INPUT STRING:	عُمال
     IS_TRANS:	EumAl
        INDEX:	P71W5
      OFFSETS:	21-26
       TOKENS:	P71W6-P71W6
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(EumAl)
          POS:	NO_FUNC
          VOC:	EumAl
        GLOSS:	nogloss

 INPUT STRING:	بيمسحوا
     IS_TRANS:	bymsHwA
        INDEX:	P71W6
      OFFSETS:	27-34
       TOKENS:	P71W7-P71W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[masaH_1]
   UNSPLITVOC:	(biyimosaHuwA)
          POS:	PROG_PART+IV3P+IV+IVSUFF_SUBJ:P
          VOC:	bi+yi+mosaH+uwA
        GLOSS:	[present-tense]+they+wipe off+they [verb]

 INPUT STRING:	الشارع
     IS_TRANS:	Al$ArE
        INDEX:	P71W7
      OFFSETS:	35-41
       TOKENS:	P71W9-P71W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$AriE_1]
   UNSPLITVOC:	(Al$~AriE)
          POS:	DET+NOUN
          VOC:	Al+$AriE
        GLOSS:	the+street/streets

 INPUT STRING:	واي
     IS_TRANS:	wAy
        INDEX:	P71W8
      OFFSETS:	42-45
       TOKENS:	P71W10-P71W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aay~_1]
   UNSPLITVOC:	(wi>ay~)
          POS:	CONJ+NOUN_QUANT
          VOC:	wi+>ay~
        GLOSS:	and+any

 INPUT STRING:	ورقه
     IS_TRANS:	wrqh
        INDEX:	P71W9
      OFFSETS:	46-50
       TOKENS:	P71W12-P71W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waraqap_1]
   UNSPLITVOC:	(waraqap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	waraq+ap
        GLOSS:	paper/sheet+[fem.sg.]

 INPUT STRING:	او
     IS_TRANS:	Aw
        INDEX:	P71W10
      OFFSETS:	51-53
       TOKENS:	P71W13-P71W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aw_1]
   UNSPLITVOC:	(>aw)
          POS:	CONJ
          VOC:	>aw
        GLOSS:	or

 INPUT STRING:	علبه
     IS_TRANS:	Elbh
        INDEX:	P71W11
      OFFSETS:	54-58
       TOKENS:	P71W14-P71W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eilobap_1]
   UNSPLITVOC:	(Eilobap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	Eilob+ap
        GLOSS:	bin/box+[fem.sg.]

 INPUT STRING:	بيشيلوها
     IS_TRANS:	by$ylwhA
        INDEX:	P71W12
      OFFSETS:	59-67
       TOKENS:	P71W15-P71W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$Al_1]
   UNSPLITVOC:	(biyi$iyluwhA)
          POS:	PROG_PART+IV3P+IV+IVSUFF_SUBJ:P+IVSUFF_DO:3FS
          VOC:	bi+yi+$iyl+uwA+hA
        GLOSS:	[present-tense]+they+lift/take+we+it/them/her

 INPUT STRING:	علي
     IS_TRANS:	Ely
        INDEX:	P71W13
      OFFSETS:	68-71
       TOKENS:	P71W18-P71W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	طول
     IS_TRANS:	Twl
        INDEX:	P71W14
      OFFSETS:	72-75
       TOKENS:	P71W19-P71W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Tuwl_1]
   UNSPLITVOC:	(Tuwl)
          POS:	NOUN
          VOC:	Tuwl
        GLOSS:	length/height/lengths/heights

 INPUT STRING:	وبيفلتروا
     IS_TRANS:	wbyfltrwA
        INDEX:	P72W1
      OFFSETS:	1-10
       TOKENS:	P72W1-P72W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[faltar_1]
   UNSPLITVOC:	(wibiyfaltaruwA)
          POS:	CONJ+PROG_PART+IV3P+IV+IVSUFF_SUBJ:P
          VOC:	wi+bi+y+faltar+uwA
        GLOSS:	and+[present-tense]+they+filter+they [verb]

 INPUT STRING:	الزباله
     IS_TRANS:	AlzbAlh
        INDEX:	P72W2
      OFFSETS:	11-18
       TOKENS:	P72W4-P72W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zibAlap_1]
   UNSPLITVOC:	(Alz~ibAlap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+zibAl+ap
        GLOSS:	the+rubbish/garbage+[fem.sg.]

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P72W3
      OFFSETS:	18-19
       TOKENS:	P72W5-P72W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P72W4
      OFFSETS:	19-20
       TOKENS:	P72W6-P72W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P72W5
      OFFSETS:	20-21
       TOKENS:	P72W7-P72W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P72W6
      OFFSETS:	21-22
       TOKENS:	P72W8-P72W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P72W7
      OFFSETS:	22-23
       TOKENS:	P72W9-P72W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P72W8
      OFFSETS:	23-24
       TOKENS:	P72W10-P72W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P72W9
      OFFSETS:	24-25
       TOKENS:	P72W11-P72W11
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P72W10
      OFFSETS:	25-26
       TOKENS:	P72W12-P72W12
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P72W11
      OFFSETS:	26-27
       TOKENS:	P72W13-P72W13
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	علب
     IS_TRANS:	Elb
        INDEX:	P73W1
      OFFSETS:	1-4
       TOKENS:	P73W1-P73W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eilobap_1]
   UNSPLITVOC:	(Eilab)
          POS:	NOUN
          VOC:	Eilab
        GLOSS:	bins/boxes

 INPUT STRING:	الكانز
     IS_TRANS:	AlkAnz
        INDEX:	P73W2
      OFFSETS:	5-11
       TOKENS:	P73W2-P73W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAniz_1]
   UNSPLITVOC:	(AlkAniz)
          POS:	DET+NOUN
          VOC:	Al+kAniz
        GLOSS:	the+can

 INPUT STRING:	والصفائح
     IS_TRANS:	wAlSfA}H
        INDEX:	P73W3
      OFFSETS:	12-20
       TOKENS:	P73W3-P73W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SafiyHap_1]
   UNSPLITVOC:	(wiAlSafA}iH)
          POS:	CONJ+DET+NOUN
          VOC:	wi+Al+SafA}iH
        GLOSS:	and+the+plates/sheets

 INPUT STRING:	بيجمعوها
     IS_TRANS:	byjmEwhA
        INDEX:	P73W4
      OFFSETS:	21-29
       TOKENS:	P73W5-P73W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jamaE_1]
   UNSPLITVOC:	(biyijomaEuwhA)
          POS:	PROG_PART+IV3P+IV+IVSUFF_SUBJ:P+IVSUFF_DO:3FS
          VOC:	bi+yi+jomaE+uwA+hA
        GLOSS:	[present-tense]+they+gather/collect+they [verb]+it/them/her

 INPUT STRING:	لوحدها
     IS_TRANS:	lwHdhA
        INDEX:	P73W5
      OFFSETS:	30-36
       TOKENS:	P73W8-P73W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waHod_1]
   UNSPLITVOC:	(liwaHodahA)
          POS:	PREP+ADJ+POSS_PRON_3FS
          VOC:	li+waHod+hA
        GLOSS:	for/to+alone/lonely+its/their/her

 INPUT STRING:	والبلاستيك
     IS_TRANS:	wAlblAstyk
        INDEX:	P73W6
      OFFSETS:	37-47
       TOKENS:	P73W11-P73W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bilAsotik_1]
   UNSPLITVOC:	(wiAlbilAsotiyk)
          POS:	CONJ+DET+NOUN
          VOC:	wi+Al+bilAsotiyk
        GLOSS:	and+the+plastic

 INPUT STRING:	لوحده
     IS_TRANS:	lwHdh
        INDEX:	P73W7
      OFFSETS:	48-53
       TOKENS:	P73W13-P73W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waHod_1]
   UNSPLITVOC:	(liwaHoduh)
          POS:	PREP+ADJ+POSS_PRON_3MS
          VOC:	li+waHod+uh
        GLOSS:	for/to+alone/lonely+his/its

 INPUT STRING:	نظام
     IS_TRANS:	nZAm
        INDEX:	P74W1
      OFFSETS:	1-5
       TOKENS:	P74W1-P74W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[niZAm_1]
   UNSPLITVOC:	(niZAm)
          POS:	NOUN
          VOC:	niZAm
        GLOSS:	methodology/system/order/methodologies/systems

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P74W2
      OFFSETS:	6-8
       TOKENS:	P74W2-P74W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	VERB
          VOC:	mA
        GLOSS:	not

 INPUT STRING:	بعده
     IS_TRANS:	bEdh
        INDEX:	P74W3
      OFFSETS:	9-13
       TOKENS:	P74W3-P74W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEod_1]
   UNSPLITVOC:	(baEoduh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	baEod+uh
        GLOSS:	after+his/its

 INPUT STRING:	نظام
     IS_TRANS:	nZAm
        INDEX:	P74W4
      OFFSETS:	14-18
       TOKENS:	P74W5-P74W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[niZAm_1]
   UNSPLITVOC:	(niZAm)
          POS:	NOUN
          VOC:	niZAm
        GLOSS:	methodology/system/order/methodologies/systems

 INPUT STRING:	شكرا
     IS_TRANS:	$krA
        INDEX:	P75W1
      OFFSETS:	1-5
       TOKENS:	P75W1-P75W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$ukor_1]
   UNSPLITVOC:	($ukorAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	$ukor+AF
        GLOSS:	thank you/thanks+[acc.indef.]

 INPUT STRING:	سيزار
     IS_TRANS:	syzAr
        INDEX:	P75W2
      OFFSETS:	6-11
       TOKENS:	P75W2-P75W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[siyzAr_1]
   UNSPLITVOC:	(siyzAr)
          POS:	NOUN_PROP
          VOC:	siyzAr
        GLOSS:	cisar

 INPUT STRING:	علي
     IS_TRANS:	Ely
        INDEX:	P75W3
      OFFSETS:	12-15
       TOKENS:	P75W3-P75W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	طرحك
     IS_TRANS:	TrHk
        INDEX:	P75W4
      OFFSETS:	16-20
       TOKENS:	P75W4-P75W4
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(TrHk)
          POS:	NO_FUNC
          VOC:	TrHk
        GLOSS:	nogloss

 INPUT STRING:	للموضوع
     IS_TRANS:	llmwDwE
        INDEX:	P75W5
      OFFSETS:	21-28
       TOKENS:	P75W5-P75W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mawDuwE_1]
   UNSPLITVOC:	(lilmawDuwE)
          POS:	PREP+DET+NOUN
          VOC:	li+Al+mawDuwE
        GLOSS:	for/to+the+subject/theme/issue

 INPUT STRING:	جزاك
     IS_TRANS:	jzAk
        INDEX:	P76W1
      OFFSETS:	1-5
       TOKENS:	P76W1-P76W1
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(jzAk)
          POS:	NO_FUNC
          VOC:	jzAk
        GLOSS:	nogloss

 INPUT STRING:	الله
     IS_TRANS:	Allh
        INDEX:	P76W2
      OFFSETS:	6-10
       TOKENS:	P76W2-P76W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[All~ah_1]
   UNSPLITVOC:	(All~ah)
          POS:	NOUN_PROP
          VOC:	All~ah
        GLOSS:	Allah/God

 INPUT STRING:	خيرا
     IS_TRANS:	xyrA
        INDEX:	P76W3
      OFFSETS:	11-15
       TOKENS:	P76W3-P76W3
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[xayor_1]
   UNSPLITVOC:	(xayorAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	xayor+AF
        GLOSS:	good+[acc.indef.]

 INPUT STRING:	موضوع
     IS_TRANS:	mwDwE
        INDEX:	P77W1
      OFFSETS:	1-6
       TOKENS:	P77W1-P77W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mawDuwE_1]
   UNSPLITVOC:	(mawDuwE)
          POS:	NOUN
          VOC:	mawDuwE
        GLOSS:	subject/theme/issue

 INPUT STRING:	جميل
     IS_TRANS:	jmyl
        INDEX:	P77W2
      OFFSETS:	7-11
       TOKENS:	P77W2-P77W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[jamiyl_1]
   UNSPLITVOC:	(jamiyl)
          POS:	ADJ
          VOC:	jamiyl
        GLOSS:	beautiful/nice/fine

 INPUT STRING:	ياسيزر
     IS_TRANS:	yAsyzr
        INDEX:	P77W3
      OFFSETS:	12-18
       TOKENS:	P77W3-P77W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[siyzar_1]
   UNSPLITVOC:	(yA_siyzar)
          POS:	VOC_PART+NOUN_PROP
          VOC:	yA+siyzar
        GLOSS:	O/oh+Cisar

 INPUT STRING:	والنقاش
     IS_TRANS:	wAlnqA$
        INDEX:	P77W4
      OFFSETS:	19-26
       TOKENS:	P77W5-P77W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[niqA$_1]
   UNSPLITVOC:	(wiAlniqA$)
          POS:	CONJ+DET+NOUN
          VOC:	wi+Al+niqA$
        GLOSS:	and+the+debate/argument/controversy

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P77W5
      OFFSETS:	27-29
       TOKENS:	P77W7-P77W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	Gloss:TBA

 INPUT STRING:	هاينتهى
     IS_TRANS:	hAynthY
        INDEX:	P77W6
      OFFSETS:	30-37
       TOKENS:	P77W8-P77W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AinotahaY_1]
   UNSPLITVOC:	(Hayinotihiy)
          POS:	FUT_PART+IV3MS+IV
          VOC:	Ha+yi+notihiy
        GLOSS:	will+he/it+finish/end

 INPUT STRING:	فيه
     IS_TRANS:	fyh
        INDEX:	P77W7
      OFFSETS:	38-41
       TOKENS:	P77W10-P77W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyh)
          POS:	PREP+PRON_3MS
          VOC:	fiy+uh
        GLOSS:	in+it/him

 INPUT STRING:	يعنى
     IS_TRANS:	yEnY
        INDEX:	P78W1
      OFFSETS:	1-5
       TOKENS:	P78W1-P78W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EanaY_1]
   UNSPLITVOC:	(yaEoniy)
          POS:	IV3MS+IV
          VOC:	ya+Eoniy
        GLOSS:	he/it+mean/concern

 INPUT STRING:	لو
     IS_TRANS:	lw
        INDEX:	P78W2
      OFFSETS:	6-8
       TOKENS:	P78W2-P78W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[law_1]
   UNSPLITVOC:	(law)
          POS:	SUB_CONJ
          VOC:	law
        GLOSS:	if

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P78W3
      OFFSETS:	9-11
       TOKENS:	P78W3-P78W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all/entire/every

 INPUT STRING:	واحد
     IS_TRANS:	wAHd
        INDEX:	P78W4
      OFFSETS:	12-16
       TOKENS:	P78W4-P78W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wAHid_1]
   UNSPLITVOC:	(wAHid)
          POS:	NOUN_NUM
          VOC:	wAHid
        GLOSS:	person/ individual

 INPUT STRING:	فينا
     IS_TRANS:	fynA
        INDEX:	P78W5
      OFFSETS:	17-21
       TOKENS:	P78W5-P78W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiynA)
          POS:	PREP+PRON_1P
          VOC:	fiy+nA
        GLOSS:	in+us

 INPUT STRING:	فضل
     IS_TRANS:	fDl
        INDEX:	P78W6
      OFFSETS:	22-25
       TOKENS:	P78W7-P78W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiDil_1]
   UNSPLITVOC:	(fiDil)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	fiDil+(null)
        GLOSS:	rmain/stay+he/it

 INPUT STRING:	يتكلم
     IS_TRANS:	ytklm
        INDEX:	P78W7
      OFFSETS:	26-31
       TOKENS:	P78W8-P78W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aitokal~im_1]
   UNSPLITVOC:	(yitokal~im)
          POS:	IV3MS+IV
          VOC:	yi+tokal~im
        GLOSS:	he/it+speak/talk

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P78W8
      OFFSETS:	32-35
       TOKENS:	P78W9-P78W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P78W9
      OFFSETS:	36-40
       TOKENS:	P78W10-P78W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which/who/whom

 INPUT STRING:	شايفه
     IS_TRANS:	$Ayfh
        INDEX:	P78W10
      OFFSETS:	41-46
       TOKENS:	P78W11-P78W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$Ayif_1]
   UNSPLITVOC:	($Ayofuh)
          POS:	ADJ+PRON_3MS
          VOC:	$Ayof+uh
        GLOSS:	seeing+him

 INPUT STRING:	فى
     IS_TRANS:	fY
        INDEX:	P78W11
      OFFSETS:	47-49
       TOKENS:	P78W13-P78W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	مصر
     IS_TRANS:	mSr
        INDEX:	P78W12
      OFFSETS:	50-53
       TOKENS:	P78W14-P78W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[miSor_1]
   UNSPLITVOC:	(miSor)
          POS:	NOUN_PROP
          VOC:	miSor
        GLOSS:	Egypt

 INPUT STRING:	واللى
     IS_TRANS:	wAllY
        INDEX:	P78W13
      OFFSETS:	54-59
       TOKENS:	P78W15-P78W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(wiAlliy)
          POS:	CONJ+REL_PRON
          VOC:	wi+Alliy
        GLOSS:	and+which/who/whom

 INPUT STRING:	عايز
     IS_TRANS:	EAyz
        INDEX:	P78W14
      OFFSETS:	60-64
       TOKENS:	P78W17-P78W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAyiz_1]
   UNSPLITVOC:	(EAyiz)
          POS:	ADJ.VN
          VOC:	EAyiz
        GLOSS:	desiring/wanting

 INPUT STRING:	يصلحه
     IS_TRANS:	ySlHh
        INDEX:	P78W15
      OFFSETS:	65-70
       TOKENS:	P78W18-P78W18
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(ySlHh)
          POS:	NO_FUNC
          VOC:	ySlHh
        GLOSS:	nogloss

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P78W16
      OFFSETS:	71-73
       TOKENS:	P78W19-P78W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	هايخلص
     IS_TRANS:	hAyxlS
        INDEX:	P78W17
      OFFSETS:	74-80
       TOKENS:	P78W20-P78W21
