 INPUT STRING:	نظرية
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	القهوة
     IS_TRANS:	Alqhwp
        INDEX:	P24W6
      OFFSETS:	30-36
       TOKENS:	P24W7-P24W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qahowap_1]
   UNSPLITVOC:	(Alqahowap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+qahow+ap
        GLOSS:	the+coffee/coffees+[fem.sg.]

 INPUT STRING:	عن
     IS_TRANS:	En
        INDEX:	P24W7
      OFFSETS:	37-39
       TOKENS:	P24W8-P24W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ean_1]
   UNSPLITVOC:	(Ean)
          POS:	PREP
          VOC:	Ean
        GLOSS:	(away) from, off, about, on, over

 INPUT STRING:	توقع
     IS_TRANS:	twqE
        INDEX:	P24W8
      OFFSETS:	40-44
       TOKENS:	P24W9-P24W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[tawaq~uE_1]
   UNSPLITVOC:	(tawaq~uE)
          POS:	NOUN
          VOC:	tawaq~uE
        GLOSS:	expectation/anticipation

 INPUT STRING:	زيادة
     IS_TRANS:	zyAdp
        INDEX:	P24W9
      OFFSETS:	45-50
       TOKENS:	P24W10-P24W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ziyAdap_1]
   UNSPLITVOC:	(ziyAdap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	ziyAd+ap
        GLOSS:	increase/addition+[fem.sg.]

 INPUT STRING:	العلاوة
     IS_TRANS:	AlElAwp
        INDEX:	P24W10
      OFFSETS:	51-58
       TOKENS:	P24W11-P24W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EilAwap_1]
   UNSPLITVOC:	(AlEilAwap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+EilAw+ap
        GLOSS:	the+increase/raise/bonus/increases/raises/bonuses/in addition+[fem.sg.]

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P25W1
      OFFSETS:	1-3
       TOKENS:	P25W1-P25W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all, entire, every, whole

 INPUT STRING:	الاراء
     IS_TRANS:	AlArA'
        INDEX:	P25W2
      OFFSETS:	4-10
       TOKENS:	P25W2-P25W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ra>oy_1]
   UNSPLITVOC:	(AlArA')
          POS:	DET+NOUN
          VOC:	Al+ArA'
        GLOSS:	the+opinion/view/idea

 INPUT STRING:	اتفوتت
     IS_TRANS:	Atfwtt
        INDEX:	P25W3
      OFFSETS:	11-17
       TOKENS:	P25W3-P25W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[AitfAwit_]
   UNSPLITVOC:	(Atfwtit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	AitfAwt+it
        GLOSS:	vary+it/they/she

 INPUT STRING:	مابين
     IS_TRANS:	mAbyn
        INDEX:	P25W4
      OFFSETS:	18-23
       TOKENS:	P25W4-P25W4
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(mAbyn)
          POS:	NO_FUNC
          VOC:	mAbyn
        GLOSS:	nogloss

 INPUT STRING:	5
     IS_TRANS:	5
        INDEX:	P25W5
      OFFSETS:	24-25
       TOKENS:	P25W5-P25W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(5)
          POS:	ADJ_NUM
          VOC:	5
        GLOSS:	5

 INPUT STRING:	:
     IS_TRANS:	:
        INDEX:	P25W6
      OFFSETS:	26-27
       TOKENS:	P25W6-P25W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(:)
          POS:	PUNC
          VOC:	:
        GLOSS:	:

 INPUT STRING:	10
     IS_TRANS:	10
        INDEX:	P25W7
      OFFSETS:	28-30
       TOKENS:	P25W7-P25W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(10)
          POS:	ADJ_NUM
          VOC:	10
        GLOSS:	10

 INPUT STRING:	%
     IS_TRANS:	%
        INDEX:	P25W8
      OFFSETS:	30-31
       TOKENS:	P25W8-P25W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(%)
          POS:	PUNC
          VOC:	%
        GLOSS:	%

 INPUT STRING:	وان
     IS_TRANS:	wAn
        INDEX:	P25W9
      OFFSETS:	32-35
       TOKENS:	P25W9-P25W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(wa<in~)
          POS:	CONJ+SUB_CONJ
          VOC:	wa+<in~
        GLOSS:	and+that

 INPUT STRING:	دة
     IS_TRANS:	dp
        INDEX:	P25W10
      OFFSETS:	36-38
       TOKENS:	P25W11-P25W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this

 INPUT STRING:	يبقى
     IS_TRANS:	ybqY
        INDEX:	P25W11
      OFFSETS:	39-43
       TOKENS:	P25W12-P25W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baqaY_1]
   UNSPLITVOC:	(yiboqaY)
          POS:	IV3MS+IV
          VOC:	yi+boqaY
        GLOSS:	he/it+remain

 INPUT STRING:	فضل
     IS_TRANS:	fDl
        INDEX:	P25W12
      OFFSETS:	44-47
       TOKENS:	P25W13-P25W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[faDol_1]
   UNSPLITVOC:	(faDol)
          POS:	NOUN
          VOC:	faDol
        GLOSS:	distinction/quality

 INPUT STRING:	وعدل
     IS_TRANS:	wEdl
        INDEX:	P25W13
      OFFSETS:	48-52
       TOKENS:	P25W14-P25W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eadol_1]
   UNSPLITVOC:	(wiEadol)
          POS:	CONJ+NOUN
          VOC:	wi+Eadol
        GLOSS:	and+justice/fairness

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P25W14
      OFFSETS:	53-55
       TOKENS:	P25W16-P25W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	عند
     IS_TRANS:	End
        INDEX:	P25W15
      OFFSETS:	56-59
       TOKENS:	P25W17-P25W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Einod_1]
   UNSPLITVOC:	(Einod)
          POS:	NOUN
          VOC:	Einod
        GLOSS:	with / at

 INPUT STRING:	ربنا
     IS_TRANS:	rbnA
        INDEX:	P25W16
      OFFSETS:	60-64
       TOKENS:	P25W18-P25W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(rab~inA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	rab~+nA
        GLOSS:	lord/master+our

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P25W17
      OFFSETS:	65-67
       TOKENS:	P25W20-P25W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bas~_1]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P25W18
      OFFSETS:	68-70
       TOKENS:	P25W21-P25W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	he/it

 INPUT STRING:	يعمل
     IS_TRANS:	yEml
        INDEX:	P25W19
      OFFSETS:	71-75
       TOKENS:	P25W22-P25W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eamal_1]
   UNSPLITVOC:	(yiEomil)
          POS:	IV3MS+IV
          VOC:	yi+Eomil
        GLOSS:	he/it+do/make

 INPUT STRING:	كدة
     IS_TRANS:	kdp
        INDEX:	P25W20
      OFFSETS:	76-79
       TOKENS:	P25W23-P25W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kidah_1]
   UNSPLITVOC:	(kidah)
          POS:	NOUN
          VOC:	kidah
        GLOSS:	this way

 INPUT STRING:	وطلع
     IS_TRANS:	wTlE
        INDEX:	P26W1
      OFFSETS:	1-5
       TOKENS:	P26W1-P26W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[TiliE_1]
   UNSPLITVOC:	(wiTiliE)
          POS:	CONJ+PV+PVSUFF_SUBJ:3MS
          VOC:	wi+TiliE+(null)
        GLOSS:	and+get on+he/it

 INPUT STRING:	الريس
     IS_TRANS:	Alrys
        INDEX:	P26W2
      OFFSETS:	6-11
       TOKENS:	P26W3-P26W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ray~is_1]
   UNSPLITVOC:	(Alr~ay~is)
          POS:	DET+NOUN
          VOC:	Al+ray~is
        GLOSS:	the+captain/chief/boss

 INPUT STRING:	علينا
     IS_TRANS:	ElynA
        INDEX:	P26W3
      OFFSETS:	12-17
       TOKENS:	P26W4-P26W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaynA)
          POS:	PREP+PRON_1P
          VOC:	EalaY+nA
        GLOSS:	on/above+us

 INPUT STRING:	بالمفاجأة
     IS_TRANS:	bAlmfAj>p
        INDEX:	P26W4
      OFFSETS:	18-27
       TOKENS:	P26W6-P26W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mufAjo>ap_1]
   UNSPLITVOC:	(biAlmufAjo>ap)
          POS:	PREP+DET+NOUN+NSUFF_FEM_SG
          VOC:	bi+Al+mufAjo>+ap
        GLOSS:	with/by+the+surprise+[fem.sg.]

 INPUT STRING:	وقال
     IS_TRANS:	wqAl
        INDEX:	P26W5
      OFFSETS:	28-32
       TOKENS:	P26W8-P26W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(wiqAl)
          POS:	CONJ+PV+PVSUFF_SUBJ:3MS
          VOC:	wi+qAl+(null)
        GLOSS:	and+said/say/be said/say/(for example)+he/it

 INPUT STRING:	انه
     IS_TRANS:	Anh
        INDEX:	P26W6
      OFFSETS:	33-36
       TOKENS:	P26W10-P26W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~uh)
          POS:	SUB_CONJ+PRON_3MS
          VOC:	<in~+uh
        GLOSS:	that+he/it

 INPUT STRING:	هيزود
     IS_TRANS:	hyzwd
        INDEX:	P26W7
      OFFSETS:	37-42
       TOKENS:	P26W12-P26W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zaw~id_1]
   UNSPLITVOC:	(Hayizaw~id)
          POS:	FUT_PART+IV3MS+IV
          VOC:	Ha+yi+zaw~id
        GLOSS:	will+he/it+increase

 INPUT STRING:	العلاوة
     IS_TRANS:	AlElAwp
        INDEX:	P26W8
      OFFSETS:	43-50
       TOKENS:	P26W14-P26W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EilAwap_1]
   UNSPLITVOC:	(AlEilAwap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+EilAw+ap
        GLOSS:	the+increase/raise/bonus/increases/raises/bonuses/in addition+[fem.sg.]

 INPUT STRING:	30
     IS_TRANS:	30
        INDEX:	P26W9
      OFFSETS:	51-53
       TOKENS:	P26W15-P26W15
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(30)
          POS:	ADJ_NUM
          VOC:	30
        GLOSS:	30

 INPUT STRING:	%
     IS_TRANS:	%
        INDEX:	P26W10
      OFFSETS:	53-54
       TOKENS:	P26W16-P26W16
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(%)
          POS:	PUNC
          VOC:	%
        GLOSS:	%

 INPUT STRING:	واتوقعت
     IS_TRANS:	wAtwqEt
        INDEX:	P27W1
      OFFSETS:	1-8
       TOKENS:	P27W1-P27W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Aitwaq~aE_1]
   UNSPLITVOC:	(wiAtwqEt)
          POS:	CONJ+PV+PVSUFF_SUBJ:1S
          VOC:	wi+Aitwaq~aE+t
        GLOSS:	and+expect+I

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P27W2
      OFFSETS:	9-11
       TOKENS:	P27W3-P27W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	القهوة
     IS_TRANS:	Alqhwp
        INDEX:	P27W3
      OFFSETS:	12-18
       TOKENS:	P27W4-P27W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qahowap_1]
   UNSPLITVOC:	(Alqahowap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+qahow+ap
        GLOSS:	the+coffee/coffees+[fem.sg.]

 INPUT STRING:	هتنفجر
     IS_TRANS:	htnfjr
        INDEX:	P27W4
      OFFSETS:	19-25
       TOKENS:	P27W5-P27W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Ainfajar_1]
   UNSPLITVOC:	(Hatinfjr)
          POS:	FUT_PART+IV3FS+IV
          VOC:	Ha+ti+nfijir
        GLOSS:	will+it/they/she+explode

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P27W5
      OFFSETS:	26-28
       TOKENS:	P27W7-P27W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	الفرحة
     IS_TRANS:	AlfrHp
        INDEX:	P27W6
      OFFSETS:	29-35
       TOKENS:	P27W8-P27W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[faroHap_1]
   UNSPLITVOC:	(AlfaroHap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+faroH+ap
        GLOSS:	the+joy/joys+[fem.sg.]

 INPUT STRING:	وان
     IS_TRANS:	wAn
        INDEX:	P27W7
      OFFSETS:	36-39
       TOKENS:	P27W9-P27W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(wi<in~)
          POS:	CONJ+SUB_CONJ
          VOC:	wi+<in~
        GLOSS:	and+that

 INPUT STRING:	الناس
     IS_TRANS:	AlnAs
        INDEX:	P27W8
      OFFSETS:	40-45
       TOKENS:	P27W11-P27W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nAs_1]
   UNSPLITVOC:	(Aln~As)
          POS:	DET+NOUN
          VOC:	Al+nAs
        GLOSS:	the+people

 INPUT STRING:	هيرجعو
     IS_TRANS:	hyrjEw
        INDEX:	P27W9
      OFFSETS:	46-52
       TOKENS:	P27W12-P27W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rijiE_1]
   UNSPLITVOC:	(HayirojaEuwA)
          POS:	FUT_PART+IV3P+IV+IVSUFF_SUBJ:P
          VOC:	Ha+yi+rojaE+uwA
        GLOSS:	will+they+return/go back+we

 INPUT STRING:	زى
     IS_TRANS:	zY
        INDEX:	P27W10
      OFFSETS:	53-55
       TOKENS:	P27W14-P27W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zay~_1]
   UNSPLITVOC:	(zay~)
          POS:	NOUN
          VOC:	zay~
        GLOSS:	as/like

 INPUT STRING:	زمان
     IS_TRANS:	zmAn
        INDEX:	P27W11
      OFFSETS:	56-60
       TOKENS:	P27W15-P27W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[zamAn_1]
   UNSPLITVOC:	(zamAn)
          POS:	NOUN
          VOC:	zamAn
        GLOSS:	time/duration

 INPUT STRING:	يهتفوا
     IS_TRANS:	yhtfwA
        INDEX:	P27W12
      OFFSETS:	61-67
       TOKENS:	P27W16-P27W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hataf_1]
   UNSPLITVOC:	(yihotifuwA)
          POS:	IV3P+IV+IVSUFF_SUBJ:P
          VOC:	yi+hotif+uwA
        GLOSS:	they+shout+we

 INPUT STRING:	للريس
     IS_TRANS:	llrys
        INDEX:	P27W13
      OFFSETS:	68-73
       TOKENS:	P27W17-P27W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ray~is_1]
   UNSPLITVOC:	(lilr~ay~is)
          POS:	PREP+DET+NOUN
          VOC:	li+Al+ray~is
        GLOSS:	for/to+the+captain/chief/boss

 INPUT STRING:	ويغنوله
     IS_TRANS:	wygnwlh
        INDEX:	P27W14
      OFFSETS:	74-81
       TOKENS:	P27W19-P27W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[gan~A_1]
   UNSPLITVOC:	(wiyigan~uwA_luh)
          POS:	CONJ+IV3P+IV+IVSUFF_SUBJ:P+PREP+PRON_3MS
          VOC:	wi+yi+gan~+uwA+li+uh
        GLOSS:	and+they+sing+we+to/for+him

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P27W15
      OFFSETS:	82-84
       TOKENS:	P27W23-P27W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bas~_1]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	ولا
     IS_TRANS:	wlA
        INDEX:	P27W16
      OFFSETS:	85-88
       TOKENS:	P27W24-P27W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(walA)
          POS:	CONJ+NEG_PART
          VOC:	wa+lA
        GLOSS:	and+no/not

 INPUT STRING:	حاجة
     IS_TRANS:	HAjp
        INDEX:	P27W17
      OFFSETS:	89-93
       TOKENS:	P27W26-P27W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAjap_1]
   UNSPLITVOC:	(HAjap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HAj+ap
        GLOSS:	thing/belongings+[fem.sg.]

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P27W18
      OFFSETS:	94-96
       TOKENS:	P27W27-P27W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	دى
     IS_TRANS:	dY
        INDEX:	P27W19
      OFFSETS:	97-99
       TOKENS:	P27W28-P27W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[diy_1]
   UNSPLITVOC:	(diy)
          POS:	DEM_PRON_FS
          VOC:	diy
        GLOSS:	this

 INPUT STRING:	حصلت
     IS_TRANS:	HSlt
        INDEX:	P27W20
      OFFSETS:	100-104
       TOKENS:	P27W29-P27W29
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HaSal_1]
   UNSPLITVOC:	(HaSalit)
          POS:	PV+PVSUFF_SUBJ:3FS
          VOC:	HaSal+it
        GLOSS:	occur/happen/take place+it/they/she

 INPUT STRING:	كل
     IS_TRANS:	kl
        INDEX:	P28W1
      OFFSETS:	1-3
       TOKENS:	P28W1-P28W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kul~_1]
   UNSPLITVOC:	(kul~)
          POS:	NOUN_QUANT
          VOC:	kul~
        GLOSS:	all, entire, every, whole

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P28W2
      OFFSETS:	4-8
       TOKENS:	P28W2-P28W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	that

 INPUT STRING:	قالوه
     IS_TRANS:	qAlwh
        INDEX:	P28W3
      OFFSETS:	9-14
       TOKENS:	P28W3-P28W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(qAluwh)
          POS:	PV+PVSUFF_SUBJ:3P+PVSUFF_DO:3MS
          VOC:	qAl+uwA+uh
        GLOSS:	said/say/be said/say/(for example)+they+it/him

 INPUT STRING:	شوفت
     IS_TRANS:	$wft
        INDEX:	P28W4
      OFFSETS:	15-19
       TOKENS:	P28W5-P28W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$Af_1]
   UNSPLITVOC:	($uwft)
          POS:	PV+PVSUFF_SUBJ:2MS
          VOC:	$uwf+t
        GLOSS:	see+you

 INPUT STRING:	ياعم
     IS_TRANS:	yAEm
        INDEX:	P28W5
      OFFSETS:	20-24
       TOKENS:	P28W6-P28W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Eam~_1]
   UNSPLITVOC:	(yAEam~)
          POS:	VOC_PART+NOUN
          VOC:	yaA+Eam~
        GLOSS:	oh+paternal uncle/paternal uncles

 INPUT STRING:	اهو
     IS_TRANS:	Ahw
        INDEX:	P28W6
      OFFSETS:	25-28
       TOKENS:	P28W8-P28W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ahuw_1]
   UNSPLITVOC:	(Ahuw~a)
          POS:	DEM_PRON_MS
          VOC:	Ahuw~a
        GLOSS:	this

 INPUT STRING:	مأجر
     IS_TRANS:	m>jr
        INDEX:	P28W7
      OFFSETS:	29-33
       TOKENS:	P28W9-P28W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi>aj~ar_1]
   UNSPLITVOC:	(mi>aj~ar)
          POS:	ADJ
          VOC:	mi>aj~ar
        GLOSS:	lending

 INPUT STRING:	كام
     IS_TRANS:	kAm
        INDEX:	P28W8
      OFFSETS:	34-37
       TOKENS:	P28W10-P28W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAm_1]
   UNSPLITVOC:	(kAm)
          POS:	NOUN_QUANT
          VOC:	kAm
        GLOSS:	some

 INPUT STRING:	واحد
     IS_TRANS:	wAHd
        INDEX:	P28W9
      OFFSETS:	38-42
       TOKENS:	P28W11-P28W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wAHid_1]
   UNSPLITVOC:	(wAHid)
          POS:	NOUN_NUM
          VOC:	wAHid
        GLOSS:	one

 INPUT STRING:	يهيص
     IS_TRANS:	yhyS
        INDEX:	P28W10
      OFFSETS:	43-47
       TOKENS:	P28W12-P28W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
