 INPUT STRING:	السياسة
      COMMENT:	[]
        LEMMA:	[AiDAfap_1]
   UNSPLITVOC:	(biAlAiDAfap)
          POS:	PREP+DET+NOUN+NSUFF_FEM_SG
          VOC:	bi+Al+AiDAf+ap
        GLOSS:	with/by+the+addition/appending+[fem.sg.]

 INPUT STRING:	الى
     IS_TRANS:	AlY
        INDEX:	P51W10
      OFFSETS:	55-58
       TOKENS:	P51W14-P51W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AilaY_1]
   UNSPLITVOC:	(AilaY)
          POS:	PREP
          VOC:	AilaY
        GLOSS:	to/towards

 INPUT STRING:	التشكيله
     IS_TRANS:	Alt$kylh
        INDEX:	P51W11
      OFFSETS:	59-67
       TOKENS:	P51W15-P51W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ta$okiylap_1]
   UNSPLITVOC:	(Alt~a$okiylap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+ta$okiyl+ap
        GLOSS:	the+assortment/group+[fem.sg.]

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P51W12
      OFFSETS:	68-72
       TOKENS:	P51W16-P51W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which/who/whom

 INPUT STRING:	لعب
     IS_TRANS:	lEb
        INDEX:	P51W13
      OFFSETS:	73-76
       TOKENS:	P51W17-P51W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[liEib_1]
   UNSPLITVOC:	(liEib)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	liEib+(null)
        GLOSS:	play+he/it [verb]

 INPUT STRING:	بيها
     IS_TRANS:	byhA
        INDEX:	P51W14
      OFFSETS:	77-81
       TOKENS:	P51W18-P51W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bi_1]
   UNSPLITVOC:	(biyhA)
          POS:	PREP+PRON_3FS
          VOC:	bi+hA
        GLOSS:	with/by+her/it/them

 INPUT STRING:	للاسف
     IS_TRANS:	llAsf
        INDEX:	P52W1
      OFFSETS:	0-5
       TOKENS:	P52W1-P52W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>asaf_1]
   UNSPLITVOC:	(lil>asaf)
          POS:	PREP+DET+NOUN
          VOC:	li+Al+>asaf
        GLOSS:	for/to+the+regret/sorry

 INPUT STRING:	المنتخب
     IS_TRANS:	Almntxb
        INDEX:	P52W2
      OFFSETS:	6-13
       TOKENS:	P52W3-P52W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[munotaxab_1]
   UNSPLITVOC:	(Almunotaxab)
          POS:	DET+NOUN
          VOC:	Al+munotaxab
        GLOSS:	the+national team/anthology

 INPUT STRING:	كان
     IS_TRANS:	kAn
        INDEX:	P52W3
      OFFSETS:	14-17
       TOKENS:	P52W4-P52W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kAn)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	kAn+(null)
        GLOSS:	be+he/it [verb]

 INPUT STRING:	بيفكر
     IS_TRANS:	byfkr
        INDEX:	P52W4
      OFFSETS:	18-23
       TOKENS:	P52W5-P52W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fak~ar_1]
   UNSPLITVOC:	(biyifak~ar)
          POS:	PROG_PART+IV3MS+IV
          VOC:	bi+yi+fak~ar
        GLOSS:	[present-tense]+he/it+think/consider/ponder

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P52W5
      OFFSETS:	24-26
       TOKENS:	P52W7-P52W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	مطش
     IS_TRANS:	mT$
        INDEX:	P52W6
      OFFSETS:	27-30
       TOKENS:	P52W8-P52W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[foreign]
   UNSPLITVOC:	(mT$)
          POS:	FOREIGN
          VOC:	mT$
        GLOSS:	nogloss

 INPUT STRING:	اسبانيا
     IS_TRANS:	AsbAnyA
        INDEX:	P52W7
      OFFSETS:	31-38
       TOKENS:	P52W9-P52W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>asobAnoyA_1]
   UNSPLITVOC:	(>asobAnoyA)
          POS:	NOUN_PROP
          VOC:	>asobAnoyA
        GLOSS:	Spain

 INPUT STRING:	ونسى
     IS_TRANS:	wnsY
        INDEX:	P52W8
      OFFSETS:	39-43
       TOKENS:	P52W10-P52W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nisiy_1]
   UNSPLITVOC:	(winisiy)
          POS:	CONJ+PV+PVSUFF_SUBJ:3MS
          VOC:	wi+nisiy+(null)
        GLOSS:	and+forgot+he/it [verb]

 INPUT STRING:	امريكا
     IS_TRANS:	AmrykA
        INDEX:	P52W9
      OFFSETS:	44-50
       TOKENS:	P52W12-P52W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amoriykA_1]
   UNSPLITVOC:	(>amoriykA)
          POS:	NOUN_PROP
          VOC:	>amoriykA
        GLOSS:	America

 INPUT STRING:	وماخدناش
     IS_TRANS:	wmAxdnA$
        INDEX:	P52W10
      OFFSETS:	51-59
       TOKENS:	P52W13-P52W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>axa*_1]
   UNSPLITVOC:	(wimA_>axadnA$)
          POS:	CONJ+NEG_PART+PV+PVSUFF_SUBJ:1P+NEG_PART
          VOC:	wi+mA+>axa*+nA+$
        GLOSS:	and+not+take+we [verb]+not

 INPUT STRING:	بالمثل
     IS_TRANS:	bAlmvl
        INDEX:	P52W11
      OFFSETS:	60-66
       TOKENS:	P52W17-P52W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mivol_1]
   UNSPLITVOC:	(biAlmivol)
          POS:	PREP+DET+NOUN
          VOC:	bi+Al+mivol
        GLOSS:	with/by+the+like/such as/like/such as

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P52W12
      OFFSETS:	67-71
       TOKENS:	P52W19-P52W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which/who/whom

 INPUT STRING:	بيقول
     IS_TRANS:	byqwl
        INDEX:	P52W13
      OFFSETS:	72-77
       TOKENS:	P52W20-P52W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(biyuquwl)
          POS:	PROG_PART+IV3MS+IV
          VOC:	bi+yu+quwl
        GLOSS:	[present-tense]+he/it+say

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P52W14
      OFFSETS:	79-81
       TOKENS:	P52W22-P52W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	NEG_PART
          VOC:	lA
        GLOSS:	no/not

 INPUT STRING:	تبع
     IS_TRANS:	tbE
        INDEX:	P52W15
      OFFSETS:	82-85
       TOKENS:	P52W23-P52W23
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[bAE-i_1]
   UNSPLITVOC:	(tabiEo)
          POS:	IV3FS+IV+IVSUFF_MOOD:J
          VOC:	ta+biE+o
        GLOSS:	it/they/she+sell+[jus.]

 INPUT STRING:	فراء
     IS_TRANS:	frA'
        INDEX:	P52W16
      OFFSETS:	86-90
       TOKENS:	P52W24-P52W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[farowap_1]
   UNSPLITVOC:	(firA')
          POS:	NOUN
          VOC:	firA'
        GLOSS:	furs/pelts

 INPUT STRING:	الدب
     IS_TRANS:	Aldb
        INDEX:	P52W17
      OFFSETS:	91-95
       TOKENS:	P52W25-P52W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dib~_1]
   UNSPLITVOC:	(Ald~ib~)
          POS:	DET+NOUN
          VOC:	Al+dib~
        GLOSS:	the+bear

 INPUT STRING:	قبل
     IS_TRANS:	qbl
        INDEX:	P52W18
      OFFSETS:	96-99
       TOKENS:	P52W26-P52W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qabol_1]
   UNSPLITVOC:	(qabol)
          POS:	NOUN
          VOC:	qabol
        GLOSS:	before/previously/formerly

 INPUT STRING:	صيده
     IS_TRANS:	Sydh
        INDEX:	P52W19
      OFFSETS:	100-104
       TOKENS:	P52W27-P52W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Siyd_1]
   UNSPLITVOC:	(Siyduh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	Siyd+uh
        GLOSS:	hunting/fishing/trapping+its/his

 INPUT STRING:	كنت
     IS_TRANS:	knt
        INDEX:	P53W1
      OFFSETS:	0-3
       TOKENS:	P53W1-P53W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kunt)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	kun+t
        GLOSS:	be+I [verb]

 INPUT STRING:	قبل
     IS_TRANS:	qbl
        INDEX:	P53W2
      OFFSETS:	4-7
       TOKENS:	P53W2-P53W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qabol_1]
   UNSPLITVOC:	(qabol)
          POS:	NOUN
          VOC:	qabol
        GLOSS:	before/previously/formerly

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P53W3
      OFFSETS:	8-10
       TOKENS:	P53W3-P53W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	SUB_CONJ
          VOC:	mA
        GLOSS:	that, whether

 INPUT STRING:	البطوله
     IS_TRANS:	AlbTwlh
        INDEX:	P53W4
      OFFSETS:	11-18
       TOKENS:	P53W4-P53W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[buTuwlap_1]
   UNSPLITVOC:	(AlbuTuwlap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+buTuwl+ap
        GLOSS:	the+championship/starring role/heroism+[fem.sg.]

 INPUT STRING:	تتلعب
     IS_TRANS:	ttlEb
        INDEX:	P53W5
      OFFSETS:	19-24
       TOKENS:	P53W5-P53W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AitolaEab_1]
   UNSPLITVOC:	(titolaEab)
          POS:	IV3FS+IV_PASS
          VOC:	ti+tolaEab
        GLOSS:	it/they/she+be played

 INPUT STRING:	كنت
     IS_TRANS:	knt
        INDEX:	P53W6
      OFFSETS:	25-28
       TOKENS:	P53W6-P53W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kAn_1]
   UNSPLITVOC:	(kunt)
          POS:	PV+PVSUFF_SUBJ:1S
          VOC:	kun+t
        GLOSS:	be+I [verb]

 INPUT STRING:	بقول
     IS_TRANS:	bqwl
        INDEX:	P53W7
      OFFSETS:	29-33
       TOKENS:	P53W7-P53W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[qAl_1]
   UNSPLITVOC:	(baquwl)
          POS:	PROG_PART+IV1S+IV
          VOC:	bi+>a+quwl
        GLOSS:	[present-tense]+I+say

 INPUT STRING:	لو
     IS_TRANS:	lw
        INDEX:	P53W8
      OFFSETS:	34-36
       TOKENS:	P53W9-P53W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[law_1]
   UNSPLITVOC:	(law)
          POS:	SUB_CONJ
          VOC:	law
        GLOSS:	if

 INPUT STRING:	طلعنا
     IS_TRANS:	TlEnA
        INDEX:	P53W9
      OFFSETS:	37-42
       TOKENS:	P53W10-P53W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[TiliE_1]
   UNSPLITVOC:	(TiliEnA)
          POS:	PV+PVSUFF_SUBJ:1P
          VOC:	TiliE+nA
        GLOSS:	rise+we [verb]

 INPUT STRING:	باقل
     IS_TRANS:	bAql
        INDEX:	P53W10
      OFFSETS:	43-47
       TOKENS:	P53W11-P53W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>aqal~_1]
   UNSPLITVOC:	(bi>aqal~)
          POS:	PREP+ADJ_COMP
          VOC:	bi+>aqal~
        GLOSS:	with/by+least/smallest/minimum

 INPUT STRING:	عدد
     IS_TRANS:	Edd
        INDEX:	P53W11
      OFFSETS:	48-51
       TOKENS:	P53W13-P53W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eadad_1]
   UNSPLITVOC:	(Eadad)
          POS:	NOUN
          VOC:	Eadad
        GLOSS:	number/quantity/issue

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P53W12
      OFFSETS:	52-54
       TOKENS:	P53W14-P53W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	الهزيمه
     IS_TRANS:	Alhzymh
        INDEX:	P53W13
      OFFSETS:	55-62
       TOKENS:	P53W15-P53W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[haziymap_1]
   UNSPLITVOC:	(Alhaziymap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+haziym+ap
        GLOSS:	the+defeat+[fem.sg.]

 INPUT STRING:	يبقى
     IS_TRANS:	ybqY
        INDEX:	P53W14
      OFFSETS:	63-67
       TOKENS:	P53W16-P53W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[baqaY_2]
   UNSPLITVOC:	(yiboqaY)
          POS:	IV3MS+IV
          VOC:	yi+boqaY
        GLOSS:	he/it+become

 INPUT STRING:	كويس
     IS_TRANS:	kwys
        INDEX:	P53W15
      OFFSETS:	68-72
       TOKENS:	P53W17-P53W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kuway~is_1]
   UNSPLITVOC:	(kuway~is)
          POS:	ADJ
          VOC:	kuway~is
        GLOSS:	good/nice

 INPUT STRING:	ويارب
     IS_TRANS:	wyArb
        INDEX:	P54W1
      OFFSETS:	0-5
       TOKENS:	P54W1-P54W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(wiyA_rab~)
          POS:	CONJ+VOC_PART+NOUN
          VOC:	wi+yA+rab~
        GLOSS:	and+Oh+lord/God

 INPUT STRING:	نتعادل
     IS_TRANS:	ntEAdl
        INDEX:	P54W2
      OFFSETS:	6-12
       TOKENS:	P54W4-P54W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AitoEAdil_1]
   UNSPLITVOC:	(nitoEAdil)
          POS:	IV1P+IV
          VOC:	ni+toEAdil
        GLOSS:	we+be balanced/be equitable/tie

 INPUT STRING:	مع
     IS_TRANS:	mE
        INDEX:	P54W3
      OFFSETS:	13-15
       TOKENS:	P54W5-P54W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEa_1]
   UNSPLITVOC:	(maEa)
          POS:	NOUN
          VOC:	maEa
        GLOSS:	something with

 INPUT STRING:	امريكا
     IS_TRANS:	AmrykA
        INDEX:	P54W4
      OFFSETS:	16-22
       TOKENS:	P54W6-P54W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amoriykA_1]
   UNSPLITVOC:	(>amoriykA)
          POS:	NOUN_PROP
          VOC:	>amoriykA
        GLOSS:	America

 INPUT STRING:	هي
     IS_TRANS:	hy
        INDEX:	P54W5
      OFFSETS:	23-25
       TOKENS:	P54W7-P54W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hiy~a_1]
   UNSPLITVOC:	(hiy~a)
          POS:	PRON_3FS
          VOC:	hiy~a
        GLOSS:	she/it/they

 INPUT STRING:	فرصتنا
     IS_TRANS:	frStnA
        INDEX:	P54W6
      OFFSETS:	26-32
       TOKENS:	P54W8-P54W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[furoSap_1]
   UNSPLITVOC:	(furoSitnA)
          POS:	NOUN+NSUFF_FEM_SG+POSS_PRON_1P
          VOC:	furoS+ap+nA
        GLOSS:	opportunity/chance+[fem.sg.]+our

 INPUT STRING:	الوحيده
     IS_TRANS:	AlwHydh
        INDEX:	P54W7
      OFFSETS:	33-40
       TOKENS:	P54W10-P54W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waHiyd_1]
   UNSPLITVOC:	(AlwaHiydap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+waHiyd+ap
        GLOSS:	the+only/sole/alone/exclusive+[fem.sg.]

 INPUT STRING:	بس
     IS_TRANS:	bs
        INDEX:	P55W1
      OFFSETS:	0-2
       TOKENS:	P55W1-P55W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bas~_1]
   UNSPLITVOC:	(bas~)
          POS:	CONJ
          VOC:	bas~
        GLOSS:	but

 INPUT STRING:	بعد
     IS_TRANS:	bEd
        INDEX:	P55W2
      OFFSETS:	3-6
       TOKENS:	P55W2-P55W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEod_1]
   UNSPLITVOC:	(baEod)
          POS:	NOUN
          VOC:	baEod
        GLOSS:	after

 INPUT STRING:	ما
     IS_TRANS:	mA
        INDEX:	P55W3
      OFFSETS:	7-9
       TOKENS:	P55W3-P55W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mA_1]
   UNSPLITVOC:	(mA)
          POS:	SUB_CONJ
          VOC:	mA
        GLOSS:	that, whether

 INPUT STRING:	لعبوا
     IS_TRANS:	lEbwA
        INDEX:	P55W4
      OFFSETS:	10-15
       TOKENS:	P55W4-P55W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[liEib_1]
   UNSPLITVOC:	(liEobuwA)
          POS:	PV+PVSUFF_SUBJ:3P
          VOC:	liEob+uwA
        GLOSS:	play+they [verb]

 INPUT STRING:	اجمل
     IS_TRANS:	Ajml
        INDEX:	P55W5
      OFFSETS:	16-20
       TOKENS:	P55W5-P55W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>ajomal_1]
   UNSPLITVOC:	(>ajomal)
          POS:	ADJ_COMP
          VOC:	>ajomal
        GLOSS:	more/most beautiful

 INPUT STRING:	آداء
     IS_TRANS:	|dA'
        INDEX:	P55W6
      OFFSETS:	21-25
       TOKENS:	P55W6-P55W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(|dA')
          POS:	TYPO
          VOC:	|dA'
        GLOSS:	nogloss

 INPUT STRING:	قدام
     IS_TRANS:	qdAm
        INDEX:	P55W7
      OFFSETS:	26-30
       TOKENS:	P55W7-P55W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qud~Am_1]
   UNSPLITVOC:	(qud~Am)
          POS:	NOUN
          VOC:	qud~Am
        GLOSS:	front/in front of

 INPUT STRING:	البرازيل
     IS_TRANS:	AlbrAzyl
        INDEX:	P55W8
      OFFSETS:	31-39
       TOKENS:	P55W8-P55W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[barAziyl_1]
   UNSPLITVOC:	(AlbarAziyl)
          POS:	DET+NOUN_PROP
          VOC:	Al+barAziyl
        GLOSS:	the+Brazil

 INPUT STRING:	وكسبنا
     IS_TRANS:	wksbnA
        INDEX:	P55W9
      OFFSETS:	40-46
       TOKENS:	P55W9-P55W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kisib_1]
   UNSPLITVOC:	(wikisibnA)
          POS:	CONJ+PV+PVSUFF_SUBJ:1P
          VOC:	wi+kisib+nA
        GLOSS:	and+gain/acquire/obtain/win+we [pl.]

 INPUT STRING:	ايطاليا
     IS_TRANS:	AyTAlyA
        INDEX:	P55W10
      OFFSETS:	47-54
       TOKENS:	P55W11-P55W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<iyTAloyA_1]
   UNSPLITVOC:	(<iyTAloyA)
          POS:	NOUN_PROP
          VOC:	<iyTAloyA
        GLOSS:	Italy

 INPUT STRING:	املي
     IS_TRANS:	Amly
        INDEX:	P55W11
      OFFSETS:	55-59
       TOKENS:	P55W12-P55W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>amal_1]
   UNSPLITVOC:	(>amaliy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	>amal+iy
        GLOSS:	hope/wish+my

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P55W12
      OFFSETS:	60-62
       TOKENS:	P55W14-P55W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
        GLOSS:	in

 INPUT STRING:	الصعود
     IS_TRANS:	AlSEwd
        INDEX:	P55W13
      OFFSETS:	63-69
       TOKENS:	P55W15-P55W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[SuEuwd_1]
   UNSPLITVOC:	(AlS~uEuwd)
          POS:	DET+NOUN
          VOC:	Al+SuEuwd
        GLOSS:	the+ascent/rising

 INPUT STRING:	بقى
     IS_TRANS:	bqY
        INDEX:	P55W14
      OFFSETS:	70-73
       TOKENS:	P55W16-P55W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[baqaY_2]
   UNSPLITVOC:	(baqaY)
          POS:	PV+PVSUFF_SUBJ:3MS
          VOC:	baqaY+(null)
        GLOSS:	become+he/it [verb]

 INPUT STRING:	90
     IS_TRANS:	90
        INDEX:	P55W15
      OFFSETS:	74-76
       TOKENS:	P55W17-P55W17
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(90)
          POS:	NOUN_NUM
          VOC:	90
        GLOSS:	90

 INPUT STRING:	%
     IS_TRANS:	%
        INDEX:	P55W16
      OFFSETS:	76-77
       TOKENS:	P55W18-P55W18
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(%)
          POS:	PUNC
          VOC:	%
        GLOSS:	nogloss

 INPUT STRING:	وانهزمنا
     IS_TRANS:	wAnhzmnA
        INDEX:	P55W17
      OFFSETS:	78-86
       TOKENS:	P55W19-P55W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ainohazam_1]
   UNSPLITVOC:	(wiAinohazamnA)
          POS:	CONJ+PV_PASS+PVSUFF_SUBJ:1P
          VOC:	wi+Ainohazam+nA
        GLOSS:	and+be defeated+we [verb]

 INPUT STRING:	في
     IS_TRANS:	fy
        INDEX:	P55W18
      OFFSETS:	87-89
       TOKENS:	P55W21-P55W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiy)
          POS:	PREP
          VOC:	fiy
