 INPUT STRING:	زي
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bas~_1]
   UNSPLITVOC:	(bas~)
          POS:	ADV
          VOC:	bas~
        GLOSS:	only

 INPUT STRING:	شوية
     IS_TRANS:	$wyp
        INDEX:	P20W4
      OFFSETS:	11-15
       TOKENS:	P20W4-P20W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$uway~ap_1]
   UNSPLITVOC:	($uway~ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	$uway~+ap
        GLOSS:	a little bit+[fem.sg.]

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P20W5
      OFFSETS:	15-16
       TOKENS:	P20W5-P20W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P20W6
      OFFSETS:	16-17
       TOKENS:	P20W6-P20W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P20W7
      OFFSETS:	17-18
       TOKENS:	P20W7-P20W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	يتحسر
     IS_TRANS:	ytHsr
        INDEX:	P20W8
      OFFSETS:	18-23
       TOKENS:	P20W8-P20W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AitoHas~ar_1]
   UNSPLITVOC:	(yitoHas~ar)
          POS:	IV3MS+IV
          VOC:	yi+toHas~ar
        GLOSS:	he+mourn/regret

 INPUT STRING:	علي
     IS_TRANS:	Ely
        INDEX:	P20W9
      OFFSETS:	24-27
       TOKENS:	P20W9-P20W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	حاله
     IS_TRANS:	HAlh
        INDEX:	P20W10
      OFFSETS:	28-32
       TOKENS:	P20W10-P20W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAl_1]
   UNSPLITVOC:	(HAluh)
          POS:	NOUN+POSS_PRON_3MS
          VOC:	HAl+uh
        GLOSS:	situation/condition/case/situations/conditions/cases+his/its

 INPUT STRING:	-
     IS_TRANS:	-
        INDEX:	P20W11
      OFFSETS:	33-34
       TOKENS:	P20W12-P20W12
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(-)
          POS:	PUNC
          VOC:	-
        GLOSS:	-

 INPUT STRING:	يقعد
     IS_TRANS:	yqEd
        INDEX:	P20W12
      OFFSETS:	35-39
       TOKENS:	P20W13-P20W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qaEad_1]
   UNSPLITVOC:	(yiqoEud)
          POS:	IV3MS+IV
          VOC:	yi+qoEud
        GLOSS:	he/it+sit down/be seated/remain

 INPUT STRING:	يفكر
     IS_TRANS:	yfkr
        INDEX:	P20W13
      OFFSETS:	40-44
       TOKENS:	P20W14-P20W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fak~ar_1]
   UNSPLITVOC:	(yifak~ar)
          POS:	IV3MS+IV
          VOC:	yi+fak~ar
        GLOSS:	he/it+think/consider/ponder

 INPUT STRING:	فكر
     IS_TRANS:	fkr
        INDEX:	P20W14
      OFFSETS:	45-48
       TOKENS:	P20W15-P20W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fikor_1]
   UNSPLITVOC:	(fikor)
          POS:	NOUN
          VOC:	fikor
        GLOSS:	thought/thinking/thoughts/ideas/concepts

 INPUT STRING:	يأس
     IS_TRANS:	y>s
        INDEX:	P20W15
      OFFSETS:	49-52
       TOKENS:	P20W16-P20W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ya>os_1]
   UNSPLITVOC:	(ya>os)
          POS:	NOUN
          VOC:	ya>os
        GLOSS:	despair/hopelessness

 INPUT STRING:	وباس
     IS_TRANS:	wbAs
        INDEX:	P20W16
      OFFSETS:	53-57
       TOKENS:	P20W17-P20W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[bu>s_1]
   UNSPLITVOC:	(wibu>s)
          POS:	CONJ+NOUN
          VOC:	wi+bu>s
        GLOSS:	and+sadness

 INPUT STRING:	-
     IS_TRANS:	-
        INDEX:	P20W17
      OFFSETS:	57-58
       TOKENS:	P20W19-P20W19
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(-)
          POS:	PUNC
          VOC:	-
        GLOSS:	-

 INPUT STRING:	هيموت
     IS_TRANS:	hymwt
        INDEX:	P20W18
      OFFSETS:	59-64
       TOKENS:	P20W20-P20W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mAt_1]
   UNSPLITVOC:	(Hayimuwt)
          POS:	FUT_PART+IV3MS+IV
          VOC:	Ha+yi+muwt
        GLOSS:	will+he/it+die/pass away

 INPUT STRING:	لوحده
     IS_TRANS:	lwHdh
        INDEX:	P20W19
      OFFSETS:	65-70
       TOKENS:	P20W22-P20W24
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[waHod_1]
   UNSPLITVOC:	(liwaHoduh)
          POS:	PREP+ADJ+POSS_PRON_3MS
          VOC:	li+waHod+uh
        GLOSS:	for/to+alone+his/its

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P20W20
      OFFSETS:	71-73
       TOKENS:	P20W25-P20W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	الاكتئاب
     IS_TRANS:	AlAkt}Ab
        INDEX:	P20W21
      OFFSETS:	74-82
       TOKENS:	P20W26-P20W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aikoti}Ab_1]
   UNSPLITVOC:	(AlAikoti}Ab)
          POS:	DET+NOUN
          VOC:	Al+Aikoti}Ab
        GLOSS:	the+depression

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P20W22
      OFFSETS:	82-83
       TOKENS:	P20W27-P20W27
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P20W23
      OFFSETS:	83-84
       TOKENS:	P20W28-P20W28
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P20W24
      OFFSETS:	84-85
       TOKENS:	P20W29-P20W29
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	.

 INPUT STRING:	النفس
     IS_TRANS:	Alnfs
        INDEX:	P21W1
      OFFSETS:	0-5
       TOKENS:	P21W1-P21W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nafos_1]
   UNSPLITVOC:	(Aln~afos)
          POS:	DET+NOUN
          VOC:	Al+nafos
        GLOSS:	the+soul/souls

 INPUT STRING:	والبدن
     IS_TRANS:	wAlbdn
        INDEX:	P21W2
      OFFSETS:	6-12
       TOKENS:	P21W2-P21W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[badan_1]
   UNSPLITVOC:	(wiAlbadan)
          POS:	CONJ+DET+NOUN
          VOC:	wi+Al+badan
        GLOSS:	and+the+body/bodies

 INPUT STRING:	دول
     IS_TRANS:	dwl
        INDEX:	P21W3
      OFFSETS:	13-16
       TOKENS:	P21W4-P21W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dawol_1]
   UNSPLITVOC:	(dawol)
          POS:	DEM_PRON_P
          VOC:	dawol
        GLOSS:	those

 INPUT STRING:	ودائع
     IS_TRANS:	wdA}E
        INDEX:	P21W4
      OFFSETS:	17-22
       TOKENS:	P21W5-P21W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wadiyEap_1]
   UNSPLITVOC:	(wadA}iE)
          POS:	NOUN
          VOC:	wadA}iE
        GLOSS:	deposits/trusts/charges

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P21W5
      OFFSETS:	23-25
       TOKENS:	P21W6-P21W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	ربنا
     IS_TRANS:	rbnA
        INDEX:	P21W6
      OFFSETS:	26-30
       TOKENS:	P21W7-P21W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[rab~_1]
   UNSPLITVOC:	(rab~inA)
          POS:	NOUN+POSS_PRON_1P
          VOC:	rab~+nA
        GLOSS:	lord/God+our

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P21W7
      OFFSETS:	30-31
       TOKENS:	P21W9-P21W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P21W8
      OFFSETS:	31-32
       TOKENS:	P21W10-P21W10
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	لازم
     IS_TRANS:	lAzm
        INDEX:	P21W9
      OFFSETS:	33-37
       TOKENS:	P21W11-P21W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lAzim_1]
   UNSPLITVOC:	(lAzim)
          POS:	NOUN
          VOC:	lAzim
        GLOSS:	necessary/required/needed

 INPUT STRING:	نحافظ
     IS_TRANS:	nHAfZ
        INDEX:	P21W10
      OFFSETS:	38-43
       TOKENS:	P21W12-P21W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAfiZ_1]
   UNSPLITVOC:	(niHAfiZ)
          POS:	IV1P+IV
          VOC:	ni+HAfiZ
        GLOSS:	we+preserve

 INPUT STRING:	عليهم
     IS_TRANS:	Elyhm
        INDEX:	P21W11
      OFFSETS:	44-49
       TOKENS:	P21W13-P21W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(Ealayhum)
          POS:	PREP+PRON_3P
          VOC:	EalaY+hum
        GLOSS:	on/above+him

 INPUT STRING:	!
     IS_TRANS:	!
        INDEX:	P21W12
      OFFSETS:	50-51
       TOKENS:	P21W15-P21W15
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(!)
          POS:	PUNC
          VOC:	!
        GLOSS:	!

 INPUT STRING:	وبعدين
     IS_TRANS:	wbEdyn
        INDEX:	P22W1
      OFFSETS:	0-6
       TOKENS:	P22W1-P22W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEodayn_1]
   UNSPLITVOC:	(wibaEodayn)
          POS:	CONJ+ADV
          VOC:	wi+baEodayn
        GLOSS:	and+so then

 INPUT STRING:	هاتوها
     IS_TRANS:	hAtwhA
        INDEX:	P22W2
      OFFSETS:	7-13
       TOKENS:	P22W3-P22W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[hAtaY_1]
   UNSPLITVOC:	(hAtuwhA)
          POS:	CV+CVSUFF_SUBJ:2P+CVSUFF_DO:3FS
          VOC:	hAt+uwA+hA
        GLOSS:	bring+they+it/them/her

 INPUT STRING:	علميا
     IS_TRANS:	ElmyA
        INDEX:	P22W3
      OFFSETS:	14-19
       TOKENS:	P22W5-P22W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Eilomiy~_1]
   UNSPLITVOC:	(Eilomiy~)
          POS:	ADJ
          VOC:	Eilomiy~
        GLOSS:	scientific/scholarly/academic

 INPUT STRING:	وحضرتك
     IS_TRANS:	wHDrtk
        INDEX:	P23W1
      OFFSETS:	0-6
       TOKENS:	P23W1-P23W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HaDorap_1]
   UNSPLITVOC:	(wiHaDoritak)
          POS:	CONJ+NOUN+NSUFF_FEM_SG+POSS_PRON_2MS
          VOC:	wi+HaDor+ap+ak
        GLOSS:	and+presence/eminent/honorable+[fem.sg.]+your

 INPUT STRING:	كدكتور
     IS_TRANS:	kdktwr
        INDEX:	P23W2
      OFFSETS:	7-13
       TOKENS:	P23W4-P23W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dukotawr_1]
   UNSPLITVOC:	(kadukotawr)
          POS:	PREP+NOUN
          VOC:	ka+dukotawr
        GLOSS:	like/such as+doctor/Doctor/Dr.

 INPUT STRING:	هتفهمني
     IS_TRANS:	htfhmny
        INDEX:	P23W3
      OFFSETS:	14-21
       TOKENS:	P23W6-P23W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fihim_1]
   UNSPLITVOC:	(Hatifohamniy)
          POS:	FUT_PART+IV2MS+IV+IVSUFF_DO:1S
          VOC:	Ha+ti+foham+niy
        GLOSS:	will+you+undersatnd+me

 INPUT STRING:	القلب
     IS_TRANS:	Alqlb
        INDEX:	P24W1
      OFFSETS:	0-5
       TOKENS:	P24W1-P24W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qalob_1]
   UNSPLITVOC:	(Alqalob)
          POS:	DET+NOUN
          VOC:	Al+qalob
        GLOSS:	the+heart/center/essence

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P24W2
      OFFSETS:	6-10
       TOKENS:	P24W2-P24W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which

 INPUT STRING:	بيضخ
     IS_TRANS:	byDx
        INDEX:	P24W3
      OFFSETS:	11-15
       TOKENS:	P24W3-P24W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Dax~_1]
   UNSPLITVOC:	(biyiDux~)
          POS:	PROG_PART+IV3MS+IV
          VOC:	bi+yi+Dux~
        GLOSS:	[present tense]+he/it+inject/pump/spurt

 INPUT STRING:	الدم
     IS_TRANS:	Aldm
        INDEX:	P24W4
      OFFSETS:	16-20
       TOKENS:	P24W5-P24W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dam~_1]
   UNSPLITVOC:	(Ald~am~)
          POS:	DET+NOUN
          VOC:	Al+dam~
        GLOSS:	the+blood

 INPUT STRING:	للشرايين
     IS_TRANS:	ll$rAyyn
        INDEX:	P24W5
      OFFSETS:	21-29
       TOKENS:	P24W6-P24W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[$iroyAn_1]
   UNSPLITVOC:	(lil$~arAyiyn)
          POS:	PREP+DET+NOUN
          VOC:	li+Al+$arAyiyn
        GLOSS:	to/for+the+arteries

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P24W6
      OFFSETS:	29-30
       TOKENS:	P24W8-P24W8
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P24W7
      OFFSETS:	30-31
       TOKENS:	P24W9-P24W9
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	المخ
     IS_TRANS:	Almx
        INDEX:	P24W8
      OFFSETS:	32-36
       TOKENS:	P24W10-P24W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mux~_1]
   UNSPLITVOC:	(Almux~)
          POS:	DET+NOUN
          VOC:	Al+mux~
        GLOSS:	the+brain

 INPUT STRING:	اللي
     IS_TRANS:	Ally
        INDEX:	P24W9
      OFFSETS:	37-41
       TOKENS:	P24W11-P24W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which

 INPUT STRING:	بيرسل
     IS_TRANS:	byrsl
        INDEX:	P24W10
      OFFSETS:	42-47
       TOKENS:	P24W12-P24W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>arosal_1]
   UNSPLITVOC:	(biyirosil)
          POS:	PROG_PART+IV3MS+IV
          VOC:	bi+yi+rosil
        GLOSS:	[present tense]+it+send

 INPUT STRING:	الاشارات
     IS_TRANS:	AlA$ArAt
        INDEX:	P24W11
      OFFSETS:	48-56
       TOKENS:	P24W14-P24W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ai$Arap_1]
   UNSPLITVOC:	(AlAi$ArAt)
          POS:	DET+NOUN+NSUFF_FEM_PL
          VOC:	Al+Ai$Ar+At
        GLOSS:	the+signals+[fem.pl.]

 INPUT STRING:	للاعصاب
     IS_TRANS:	llAESAb
        INDEX:	P24W12
      OFFSETS:	57-64
       TOKENS:	P24W15-P24W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EaSab_1]
   UNSPLITVOC:	(lil>aEoSAb)
          POS:	PREP+DET+NOUN
          VOC:	li+Al+>aEoSAb
        GLOSS:	to/for+the+nerves

 INPUT STRING:	خلايا
     IS_TRANS:	xlAyA
        INDEX:	P25W1
      OFFSETS:	0-5
       TOKENS:	P25W1-P25W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xaliy~ap_1]
   UNSPLITVOC:	(xalAyA)
          POS:	NOUN
          VOC:	xalAyA
        GLOSS:	cells

 INPUT STRING:	فيها
     IS_TRANS:	fyhA
        INDEX:	P25W2
      OFFSETS:	6-10
       TOKENS:	P25W2-P25W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyhA)
          POS:	PREP+PRON_3FS
          VOC:	fiy+hA
        GLOSS:	in+it

 INPUT STRING:	صفا
     IS_TRANS:	SfA
        INDEX:	P25W3
      OFFSETS:	11-14
       TOKENS:	P25W4-P25W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(SfA)
          POS:	TYPO
          VOC:	SfA
        GLOSS:	nogloss

 INPUT STRING:	تك
     IS_TRANS:	tk
        INDEX:	P25W4
      OFFSETS:	38-40
       TOKENS:	P25W5-P25W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(tk)
          POS:	TYPO
          VOC:	tk
        GLOSS:	nogloss

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P25W5
      OFFSETS:	41-42
       TOKENS:	P25W6-P25W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P25W6
      OFFSETS:	42-43
       TOKENS:	P25W7-P25W7
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	خلايا
     IS_TRANS:	xlAyA
        INDEX:	P25W7
      OFFSETS:	44-49
       TOKENS:	P25W8-P25W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xaliy~ap_1]
   UNSPLITVOC:	(xalAyA)
          POS:	NOUN
          VOC:	xalAyA
        GLOSS:	cells

 INPUT STRING:	بتحميك
     IS_TRANS:	btHmyk
        INDEX:	P25W8
      OFFSETS:	50-56
       TOKENS:	P25W9-P25W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HamaY_1]
   UNSPLITVOC:	(bitiHomiyk)
          POS:	PROG_PART+IV2MS+IV+IVSUFF_DO:2MS
          VOC:	bi+ti+Homiy+ak
        GLOSS:	[present-tense]+you+defend/protect/forbid/be defended/be protected/be forbidden+you

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P25W9
      OFFSETS:	57-59
       TOKENS:	P25W12-P25W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	الامراض
     IS_TRANS:	AlAmrAD
        INDEX:	P25W10
      OFFSETS:	60-67
       TOKENS:	P25W13-P25W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maraD_1]
   UNSPLITVOC:	(AlAmorAD)
          POS:	DET+NOUN
          VOC:	Al+AmorAD
        GLOSS:	the+disease/illness

 INPUT STRING:	وكمان
     IS_TRANS:	wkmAn
        INDEX:	P26W1
      OFFSETS:	0-5
       TOKENS:	P26W1-P26W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kamAn_1]
   UNSPLITVOC:	(wikamAn)
          POS:	CONJ+ADV
          VOC:	wi+kamAn
        GLOSS:	and+also

 INPUT STRING:	وكمان
     IS_TRANS:	wkmAn
        INDEX:	P26W2
      OFFSETS:	6-11
       TOKENS:	P26W3-P26W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kamAn_1]
   UNSPLITVOC:	(wikamAn)
          POS:	CONJ+ADV
          VOC:	wi+kamAn
        GLOSS:	and+also

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P26W3
      OFFSETS:	12-13
       TOKENS:	P26W5-P26W5
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	،
     IS_TRANS:	,
        INDEX:	P26W4
      OFFSETS:	13-14
       TOKENS:	P26W6-P26W6
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(,)
          POS:	PUNC
          VOC:	,
        GLOSS:	,

 INPUT STRING:	يرضيك
     IS_TRANS:	yrDyk
        INDEX:	P26W5
      OFFSETS:	15-20
       TOKENS:	P26W7-P26W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[raDaY_1]
   UNSPLITVOC:	(yiroDiyk)
