 INPUT STRING:	يقول
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ean_1]
   UNSPLITVOC:	(Ean)
          POS:	PREP
          VOC:	Ean
        GLOSS:	(away) from/off/about/on/over

 INPUT STRING:	آراء
     IS_TRANS:	|rA'
        INDEX:	P11W27
      OFFSETS:	132-136
       TOKENS:	P11W33-P11W33
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ra>oy_1]
   UNSPLITVOC:	(ArA')
          POS:	NOUN
          VOC:	ArA'
        GLOSS:	opinion/view/idea/opinions/views/ideas

 INPUT STRING:	عالمانية
     IS_TRANS:	EAlmAnyp
        INDEX:	P11W28
      OFFSETS:	138-146
       TOKENS:	P11W34-P11W34
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(EAlmAnyp)
          POS:	TYPO
          VOC:	EAlmAnyp
        GLOSS:	nogloss

 INPUT STRING:	صرفة
     IS_TRANS:	Srfp
        INDEX:	P11W29
      OFFSETS:	147-151
       TOKENS:	P11W35-P11W35
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Sirof_1]
   UNSPLITVOC:	(Sirofap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	Sirof+ap
        GLOSS:	mere/pure+[fem.sg.]

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P11W30
      OFFSETS:	151-152
       TOKENS:	P11W36-P11W36
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P11W31
      OFFSETS:	152-153
       TOKENS:	P11W37-P11W37
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	بدون
     IS_TRANS:	bdwn
        INDEX:	P11W32
      OFFSETS:	154-158
       TOKENS:	P11W38-P11W39
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[duwn_1]
   UNSPLITVOC:	(biduwn)
          POS:	PREP+NOUN
          VOC:	bi+duwn
        GLOSS:	with/by+without/beneath/underneath/inferior/poor/which

 INPUT STRING:	وجود
     IS_TRANS:	wjwd
        INDEX:	P11W33
      OFFSETS:	159-163
       TOKENS:	P11W40-P11W40
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[wujuwd_1]
   UNSPLITVOC:	(wujuwd)
          POS:	NOUN
          VOC:	wujuwd
        GLOSS:	presence/existence

 INPUT STRING:	رأى
     IS_TRANS:	r>Y
        INDEX:	P11W34
      OFFSETS:	164-167
       TOKENS:	P11W41-P11W41
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ra>oy_1]
   UNSPLITVOC:	(ra>oy)
          POS:	NOUN
          VOC:	ra>oy
        GLOSS:	opinion/view/idea/opinions/views/ideas

 INPUT STRING:	مقابل
     IS_TRANS:	mqAbl
        INDEX:	P11W35
      OFFSETS:	168-173
       TOKENS:	P11W42-P11W42
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muqAbil_1]
   UNSPLITVOC:	(muqAbil)
          POS:	ADJ
          VOC:	muqAbil
        GLOSS:	opposite to/corresponding to/vis--vis

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P11W36
      OFFSETS:	173-174
       TOKENS:	P11W43-P11W43
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P11W37
      OFFSETS:	174-175
       TOKENS:	P11W44-P11W44
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	وإنتقاء
     IS_TRANS:	w<ntqA'
        INDEX:	P12W1
      OFFSETS:	0-7
       TOKENS:	P12W1-P12W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[{inotiqA'_1]
   UNSPLITVOC:	(wa{inotiqA')
          POS:	CONJ+NOUN
          VOC:	wa+{inotiqA'
        GLOSS:	and+selection

 INPUT STRING:	الضيوف
     IS_TRANS:	AlDywf
        INDEX:	P12W2
      OFFSETS:	8-14
       TOKENS:	P12W3-P12W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Dayf_1]
   UNSPLITVOC:	(AlD~uyuwf)
          POS:	DET+NOUN
          VOC:	Al+Duyuwf
        GLOSS:	the+guest/visitor/guests/visitors

 INPUT STRING:	سيئ
     IS_TRANS:	sy}
        INDEX:	P12W3
      OFFSETS:	15-18
       TOKENS:	P12W4-P12W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[say~i}_1]
   UNSPLITVOC:	(say~i})
          POS:	ADJ
          VOC:	say~i}
        GLOSS:	bad

 INPUT STRING:	للغاية
     IS_TRANS:	llgAyp
        INDEX:	P12W4
      OFFSETS:	19-25
       TOKENS:	P12W5-P12W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[gAyap_1]
   UNSPLITVOC:	(lilgAyap)
          POS:	PREP+DET+NOUN+NSUFF_FEM_SG
          VOC:	li+Al+gAy+ap
        GLOSS:	for/to+the+goal/objective/purpose/intention/goals/objectives/utmost/extreme+[fem.sg.]

 INPUT STRING:	يكرس
     IS_TRANS:	ykrs
        INDEX:	P12W5
      OFFSETS:	26-30
       TOKENS:	P12W7-P12W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kar~as_1]
   UNSPLITVOC:	(yikar~as)
          POS:	IV3MS+IV
          VOC:	yi+kar~as
        GLOSS:	he/it+dedicate/devote

 INPUT STRING:	لفكرة
     IS_TRANS:	lfkrp
        INDEX:	P12W6
      OFFSETS:	31-36
       TOKENS:	P12W8-P12W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fikorap_1]
   UNSPLITVOC:	(lifikorap)
          POS:	PREP+NOUN+NSUFF_FEM_SG
          VOC:	li+fikor+ap
        GLOSS:	for/to+idea/notion/concept+[fem.sg.]

 INPUT STRING:	معينة
     IS_TRANS:	mEynp
        INDEX:	P12W7
      OFFSETS:	37-42
       TOKENS:	P12W10-P12W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muEay~an_1]
   UNSPLITVOC:	(muEay~anap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	muEay~an+ap
        GLOSS:	fixed/determined/prescribed+[fem.sg.]

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P12W8
      OFFSETS:	42-43
       TOKENS:	P12W11-P12W11
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P12W9
      OFFSETS:	43-44
       TOKENS:	P12W12-P12W12
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	رغم
     IS_TRANS:	rgm
        INDEX:	P12W10
      OFFSETS:	45-48
       TOKENS:	P12W13-P12W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[ragom_1]
   UNSPLITVOC:	(ragom)
          POS:	NOUN
          VOC:	ragom
        GLOSS:	in spite of/despite

 INPUT STRING:	أنهم
     IS_TRANS:	>nhm
        INDEX:	P12W11
      OFFSETS:	49-53
       TOKENS:	P12W14-P12W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~uhum)
          POS:	SUB_CONJ+PRON_3P
          VOC:	<in~+hum
        GLOSS:	that+they

 INPUT STRING:	يعلمون
     IS_TRANS:	yElmwn
        INDEX:	P12W12
      OFFSETS:	54-60
       TOKENS:	P12W16-P12W16
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(yElmwn)
          POS:	NO_FUNC
          VOC:	yElmwn
        GLOSS:	nogloss

 INPUT STRING:	أن
     IS_TRANS:	>n
        INDEX:	P12W13
      OFFSETS:	61-63
       TOKENS:	P12W17-P12W17
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	هؤلاء
     IS_TRANS:	h&lA'
        INDEX:	P12W14
      OFFSETS:	64-69
       TOKENS:	P12W18-P12W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[ha*A_1]
   UNSPLITVOC:	(ha&ulA')
          POS:	DEM_PRON_P
          VOC:	ha&ulA'
        GLOSS:	these/this

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P12W15
      OFFSETS:	70-72
       TOKENS:	P12W19-P12W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	NEG_PART
          VOC:	lA
        GLOSS:	no/not/non-

 INPUT STRING:	يمثلون
     IS_TRANS:	ymvlwn
        INDEX:	P12W16
      OFFSETS:	73-79
       TOKENS:	P12W20-P12W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mav~al_1]
   UNSPLITVOC:	(yumav~iluwn)
          POS:	IV3P+IV+IVSUFF_SUBJ:P
          VOC:	yu+mav~il+uwn
        GLOSS:	they (people)+represent/constitute/act+[pl.]

 INPUT STRING:	الخيار
     IS_TRANS:	AlxyAr
        INDEX:	P12W17
      OFFSETS:	80-86
       TOKENS:	P12W21-P12W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xiyArap_1]
   UNSPLITVOC:	(AlxiyAr)
          POS:	DET+NOUN
          VOC:	Al+xiyAr
        GLOSS:	the+option/choice/selection/options/choices/selections/cucumber/gherkin

 INPUT STRING:	الشعبى
     IS_TRANS:	Al$EbY
        INDEX:	P12W18
      OFFSETS:	87-93
       TOKENS:	P12W22-P12W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[$aEobiy_1]
   UNSPLITVOC:	(Al$~aEobiy)
          POS:	DET+ADJ
          VOC:	Al+$aEobiy
        GLOSS:	the+popular/national

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P12W19
      OFFSETS:	93-94
       TOKENS:	P12W23-P12W23
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P12W20
      OFFSETS:	94-95
       TOKENS:	P12W24-P12W24
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	والمذيعين
     IS_TRANS:	wAlm*yEyn
        INDEX:	P13W1
      OFFSETS:	0-9
       TOKENS:	P13W1-P13W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mu*iyE_1]
   UNSPLITVOC:	(wiAlmu*iyEiyn)
          POS:	CONJ+DET+NOUN+NSUFF_MASC_PL
          VOC:	wi+Al+mu*iyE+iyn
        GLOSS:	and+the+broadcaster/transmitter/announcer+[masc.pl.]

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P13W2
      OFFSETS:	9-10
       TOKENS:	P13W3-P13W3
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P13W3
      OFFSETS:	10-11
       TOKENS:	P13W4-P13W4
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	أيضاً
     IS_TRANS:	>yDAF
        INDEX:	P13W4
      OFFSETS:	12-17
       TOKENS:	P13W5-P13W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[>ayoD_1]
   UNSPLITVOC:	(>ayoDAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	>ayoD+AF
        GLOSS:	also/metabolism+[acc.indef.]

 INPUT STRING:	يمثلون
     IS_TRANS:	ymvlwn
        INDEX:	P13W5
      OFFSETS:	18-24
       TOKENS:	P13W6-P13W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[mav~al_1]
   UNSPLITVOC:	(yumav~iluwn)
          POS:	IV3P+IV+IVSUFF_SUBJ:P
          VOC:	yu+mav~il+uwn
        GLOSS:	they (people)+represent/constitute/act+[pl.]

 INPUT STRING:	تياراً
     IS_TRANS:	tyArAF
        INDEX:	P13W6
      OFFSETS:	25-31
       TOKENS:	P13W7-P13W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[tay~Ar_1]
   UNSPLITVOC:	(tay~ArAF)
          POS:	NOUN+CASE_INDEF_ACC
          VOC:	tay~Ar+AF
        GLOSS:	stream/current+[acc.indef.]

 INPUT STRING:	فكرياً
     IS_TRANS:	fkryAF
        INDEX:	P13W7
      OFFSETS:	32-38
       TOKENS:	P13W8-P13W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[fikoriy~_1]
   UNSPLITVOC:	(fikoriy~AF)
          POS:	ADJ+CASE_INDEF_ACC
          VOC:	fikoriy~+AF
        GLOSS:	intellectual/mental/spiritual+[acc.indef.]

 INPUT STRING:	يدفعهم
     IS_TRANS:	ydfEhm
        INDEX:	P13W8
      OFFSETS:	39-45
       TOKENS:	P13W9-P13W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dafaE_1]
   UNSPLITVOC:	(yidofaEhum)
          POS:	IV3MS+IV+IVSUFF_DO:3P
          VOC:	yi+dofaE+hum
        GLOSS:	he/it+push/motivate/pay/be pushed/be motivated/be paid+them

 INPUT STRING:	اليه
     IS_TRANS:	Alyh
        INDEX:	P13W9
      OFFSETS:	46-50
       TOKENS:	P13W11-P13W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[<ilaY_1]
   UNSPLITVOC:	(<ilayh)
          POS:	PREP+PRON_3MS
          VOC:	<ilay+uh
        GLOSS:	to/towards+he/it

 INPUT STRING:	حداثة
     IS_TRANS:	HdAvp
        INDEX:	P13W10
      OFFSETS:	51-56
       TOKENS:	P13W13-P13W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[HadAvap_1]
   UNSPLITVOC:	(HadAvap)
          POS:	NOUN+NSUFF_FEM_SG
          VOC:	HadAv+ap
        GLOSS:	modernity/newness+[fem.sg.]

 INPUT STRING:	أسنانهم
     IS_TRANS:	>snAnhm
        INDEX:	P13W11
      OFFSETS:	57-64
       TOKENS:	P13W14-P13W15
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[sin~ap_1]
   UNSPLITVOC:	(>asonAnhum)
          POS:	NOUN+POSS_PRON_3P
          VOC:	>asonAn+hum
        GLOSS:	teeth+their

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P13W12
      OFFSETS:	64-65
       TOKENS:	P13W16-P13W16
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P13W13
      OFFSETS:	65-66
       TOKENS:	P13W17-P13W17
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	وليس
     IS_TRANS:	wlys
        INDEX:	P13W14
      OFFSETS:	67-71
       TOKENS:	P13W18-P13W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[layosa_1]
   UNSPLITVOC:	(walayosa)
          POS:	CONJ+NEG_PART
          VOC:	wa+layosa
        GLOSS:	and+not

 INPUT STRING:	جميعهم
     IS_TRANS:	jmyEhm
        INDEX:	P13W15
      OFFSETS:	72-78
       TOKENS:	P13W20-P13W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[jamiyE_1]
   UNSPLITVOC:	(jamiyEuhum)
          POS:	NOUN_QUANT+POSS_PRON_3P
          VOC:	jamiyE+hum
        GLOSS:	all/entire/every/whole+their

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P13W16
      OFFSETS:	78-79
       TOKENS:	P13W22-P13W22
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P13W17
      OFFSETS:	79-80
       TOKENS:	P13W23-P13W23
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	فقارن
     IS_TRANS:	fqArn
        INDEX:	P13W18
      OFFSETS:	81-86
       TOKENS:	P13W24-P13W25
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[qArin_1]
   UNSPLITVOC:	(faqArin)
          POS:	CONNEC_PART+CV+CVSUFF_SUBJ:2MS
          VOC:	fa+qArin+(null)
        GLOSS:	so/then+compare+you

 INPUT STRING:	بين
     IS_TRANS:	byn
        INDEX:	P13W19
      OFFSETS:	87-90
       TOKENS:	P13W26-P13W26
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[biyn_1]
   UNSPLITVOC:	(biyn)
          POS:	NOUN
          VOC:	biyn
        GLOSS:	between/betwen/among

 INPUT STRING:	ياسر
     IS_TRANS:	yAsr
        INDEX:	P13W20
      OFFSETS:	91-95
       TOKENS:	P13W27-P13W27
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[yAsir_1]
   UNSPLITVOC:	(yAsir)
          POS:	NOUN_PROP
          VOC:	yAsir
        GLOSS:	Yasser/Yasir

 INPUT STRING:	عمر
     IS_TRANS:	Emr
        INDEX:	P13W21
      OFFSETS:	96-99
       TOKENS:	P13W28-P13W28
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Eumar_1]
   UNSPLITVOC:	(Eumar)
          POS:	NOUN_PROP
          VOC:	Eumar
        GLOSS:	Omar/Umar

 INPUT STRING:	وضيوفه
     IS_TRANS:	wDywfh
        INDEX:	P13W22
      OFFSETS:	100-106
       TOKENS:	P13W29-P13W31
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[Dayf_1]
   UNSPLITVOC:	(waDuyuwfuh)
          POS:	CONJ+NOUN+POSS_PRON_3MS
          VOC:	wa+Duyuwf+uh
        GLOSS:	and+guests/visitors+its/his

 INPUT STRING:	وتقريراته
     IS_TRANS:	wtqryrAth
        INDEX:	P13W23
      OFFSETS:	107-116
       TOKENS:	P13W32-P13W34
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[taqoriyr_1]
   UNSPLITVOC:	(wataqoriyrAtuh)
          POS:	CONJ+NOUN+NSUFF_FEM_PL+POSS_PRON_3MS
          VOC:	wa+taqoriyr+At+uh
        GLOSS:	and+report+[fem.pl.]+his/its

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P13W24
      OFFSETS:	116-117
       TOKENS:	P13W35-P13W35
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P13W25
      OFFSETS:	117-118
       TOKENS:	P13W36-P13W36
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	المثيرة
     IS_TRANS:	Almvyrp
        INDEX:	P13W26
      OFFSETS:	119-126
       TOKENS:	P13W37-P13W37
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[muviyr_2]
   UNSPLITVOC:	(Almuviyrap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+muviyr+ap
        GLOSS:	the+influential/provocative/provoking/agitating/stirring up+[fem.sg.]

 INPUT STRING:	للإستغراب
     IS_TRANS:	ll<stgrAb
        INDEX:	P13W27
      OFFSETS:	127-136
       TOKENS:	P13W38-P13W39
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[AisotigorAb_1]
   UNSPLITVOC:	(lilAisotigorAb)
          POS:	PREP+DET+NOUN
          VOC:	li+Al+AisotigorAb
        GLOSS:	for/to+the+surprise/astonishment

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P13W28
      OFFSETS:	136-137
       TOKENS:	P13W40-P13W40
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	.
     IS_TRANS:	.
        INDEX:	P13W29
      OFFSETS:	137-138
       TOKENS:	P13W41-P13W41
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[punc]
   UNSPLITVOC:	(.)
          POS:	PUNC
          VOC:	.
        GLOSS:	nogloss

 INPUT STRING:	وبين
     IS_TRANS:	wbyn
        INDEX:	P13W30
      OFFSETS:	139-143
       TOKENS:	P13W42-P13W43
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[biyn_1]
   UNSPLITVOC:	(wibiyn)
          POS:	CONJ+NOUN
          VOC:	wi+biyn
        GLOSS:	and+between

 INPUT STRING:	محمود
     IS_TRANS:	mHmwd
        INDEX:	P13W31
      OFFSETS:	144-149
       TOKENS:	P13W44-P13W44
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maHomuwd_1]
   UNSPLITVOC:	(maHomuwd)
          POS:	NOUN_PROP
          VOC:	maHomuwd
        GLOSS:	Mahmoud

 INPUT STRING:	مراد
     IS_TRANS:	mrAd
        INDEX:	P13W32
      OFFSETS:	150-154
       TOKENS:	P13W45-P13W45
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[murAd_1]
   UNSPLITVOC:	(murAd)
          POS:	NOUN_PROP
          VOC:	murAd
        GLOSS:	Murad/Mrad

 INPUT STRING:	القادم
     IS_TRANS:	AlqAdm
        INDEX:	P13W33
      OFFSETS:	155-161
       TOKENS:	P13W46-P13W46
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[AlqAdim_1]
   UNSPLITVOC:	(AlqAdim)
          POS:	DET+ADJ.VN
          VOC:	Al+qAdim
        GLOSS:	the+coming/next/future/following

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P13W34
