 INPUT STRING:	دا
      OFFSETS:	29-33
       TOKENS:	P57W11-P57W11
       STATUS:	has_sol=T	excluded=F	orig=MSA	sama=T	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[sam~aY_1]
   UNSPLITVOC:	(yusam~aY)
          POS:	IV3MS+IV_PASS+IVSUFF_MOOD:I
          VOC:	yu+sam~aY+(null)
        GLOSS:	he/it+be called/be named/be designated+[ind.]

 INPUT STRING:	تظاهر
     IS_TRANS:	tZAhr
        INDEX:	P57W7
      OFFSETS:	34-39
       TOKENS:	P57W12-P57W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taZAhur_1]
   UNSPLITVOC:	(taZAhur)
          POS:	NOUN
          VOC:	taZAhur
        GLOSS:	demostration/manifestation

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P57W8
      OFFSETS:	39-40
       TOKENS:	P57W13-P57W13
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P57W9
      OFFSETS:	40-41
       TOKENS:	P57W14-P57W14
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P57W10
      OFFSETS:	41-42
       TOKENS:	P57W15-P57W15
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P57W11
      OFFSETS:	42-43
       TOKENS:	P57W16-P57W16
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P57W12
      OFFSETS:	43-44
       TOKENS:	P57W17-P57W17
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	حرق
     IS_TRANS:	Hrq
        INDEX:	P57W13
      OFFSETS:	45-48
       TOKENS:	P57W18-P57W18
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Haroq_1]
   UNSPLITVOC:	(Haroq)
          POS:	NOUN
          VOC:	Haroq
        GLOSS:	burning/fire/burns

 INPUT STRING:	مبنى
     IS_TRANS:	mbnY
        INDEX:	P57W14
      OFFSETS:	49-53
       TOKENS:	P57W19-P57W19
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mabonaY_1]
   UNSPLITVOC:	(mabonaY)
          POS:	NOUN
          VOC:	mabonaY
        GLOSS:	building/structure

 INPUT STRING:	الضرائب
     IS_TRANS:	AlDrA}b
        INDEX:	P57W15
      OFFSETS:	54-61
       TOKENS:	P57W20-P57W20
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Dariybap_1]
   UNSPLITVOC:	(AlD~arA}ib)
          POS:	DET+NOUN
          VOC:	Al+DarA}ib
        GLOSS:	the+taxes/levies

 INPUT STRING:	العقارية
     IS_TRANS:	AlEqAryp
        INDEX:	P57W16
      OFFSETS:	62-70
       TOKENS:	P57W21-P57W21
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EaqAriy_1]
   UNSPLITVOC:	(AlEaqAriy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+EaqAriy~+ap
        GLOSS:	the+real estate/immovable property+[fem.sg.]

 INPUT STRING:	دة
     IS_TRANS:	dp
        INDEX:	P57W17
      OFFSETS:	71-73
       TOKENS:	P57W22-P57W22
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this/that

 INPUT STRING:	تظاهر
     IS_TRANS:	tZAhr
        INDEX:	P57W18
      OFFSETS:	74-79
       TOKENS:	P57W23-P57W23
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taZAhur_1]
   UNSPLITVOC:	(taZAhur)
          POS:	NOUN
          VOC:	taZAhur
        GLOSS:	demostration/manifestation

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P57W19
      OFFSETS:	79-80
       TOKENS:	P57W24-P57W24
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P57W20
      OFFSETS:	80-81
       TOKENS:	P57W25-P57W25
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P57W21
      OFFSETS:	81-82
       TOKENS:	P57W26-P57W26
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P57W22
      OFFSETS:	82-83
       TOKENS:	P57W27-P57W27
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P57W23
      OFFSETS:	83-84
       TOKENS:	P57W28-P57W28
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P57W24
      OFFSETS:	84-85
       TOKENS:	P57W29-P57W29
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	تكسير
     IS_TRANS:	tksyr
        INDEX:	P57W25
      OFFSETS:	86-91
       TOKENS:	P57W30-P57W30
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[takosiyr_1]
   UNSPLITVOC:	(takosiyr)
          POS:	NOUN
          VOC:	takosiyr
        GLOSS:	fragmentation/fracturing

 INPUT STRING:	الحواحز
     IS_TRANS:	AlHwAHz
        INDEX:	P57W26
      OFFSETS:	92-99
       TOKENS:	P57W31-P57W31
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[typo]
   UNSPLITVOC:	(AlHwAHz)
          POS:	TYPO
          VOC:	AlHwAHz
        GLOSS:	nogloss

 INPUT STRING:	الاسمنتية
     IS_TRANS:	AlAsmntyp
        INDEX:	P57W27
      OFFSETS:	100-109
       TOKENS:	P57W32-P57W32
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Aisomanotiy_1]
   UNSPLITVOC:	(AlAisomanotiy~ap)
          POS:	DET+ADJ+NSUFF_FEM_SG
          VOC:	Al+Aisomanotiy~+ap
        GLOSS:	the+cement+[fem.sg.]

 INPUT STRING:	اللى
     IS_TRANS:	AllY
        INDEX:	P57W28
      OFFSETS:	110-114
       TOKENS:	P57W33-P57W33
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Alliy_1]
   UNSPLITVOC:	(Alliy)
          POS:	REL_PRON
          VOC:	Alliy
        GLOSS:	which/who/whom

 INPUT STRING:	بينهم
     IS_TRANS:	bynhm
        INDEX:	P57W29
      OFFSETS:	115-120
       TOKENS:	P57W34-P57W35
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[biyn_1]
   UNSPLITVOC:	(biynhum)
          POS:	NOUN+POSS_PRON_3P
          VOC:	biyn+hum
        GLOSS:	between+their

 INPUT STRING:	وبين
     IS_TRANS:	wbyn
        INDEX:	P57W30
      OFFSETS:	121-125
       TOKENS:	P57W36-P57W37
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[biyn_1]
   UNSPLITVOC:	(wibiyn)
          POS:	CONJ+NOUN
          VOC:	wi+biyn
        GLOSS:	and+between

 INPUT STRING:	العساكر
     IS_TRANS:	AlEsAkr
        INDEX:	P57W31
      OFFSETS:	126-133
       TOKENS:	P57W38-P57W38
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=T
      COMMENT:	[]
        LEMMA:	[Easkar_1]
   UNSPLITVOC:	(AlEasAkir)
          POS:	DET+NOUN
          VOC:	Al+EasAkir
        GLOSS:	the+armies/troops/soldiers

 INPUT STRING:	هو
     IS_TRANS:	hw
        INDEX:	P57W32
      OFFSETS:	134-136
       TOKENS:	P57W39-P57W39
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[huw~a_1]
   UNSPLITVOC:	(huw~a)
          POS:	PRON_3MS
          VOC:	huw~a
        GLOSS:	it/he

 INPUT STRING:	دة
     IS_TRANS:	dp
        INDEX:	P57W33
      OFFSETS:	137-139
       TOKENS:	P57W40-P57W40
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dah_1]
   UNSPLITVOC:	(dah)
          POS:	DEM_PRON_MS
          VOC:	dah
        GLOSS:	this/that

 INPUT STRING:	التظاهر
     IS_TRANS:	AltZAhr
        INDEX:	P57W34
      OFFSETS:	140-147
       TOKENS:	P57W41-P57W41
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taZAhur_1]
   UNSPLITVOC:	(Alt~aZAhur)
          POS:	DET+NOUN
          VOC:	Al+taZAhur
        GLOSS:	the+demonstration/manifestation

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P57W35
      OFFSETS:	147-148
       TOKENS:	P57W42-P57W42
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P57W36
      OFFSETS:	148-149
       TOKENS:	P57W43-P57W43
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P57W37
      OFFSETS:	149-150
       TOKENS:	P57W44-P57W44
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P57W38
      OFFSETS:	150-151
       TOKENS:	P57W45-P57W45
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P57W39
      OFFSETS:	151-152
       TOKENS:	P57W46-P57W46
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P57W40
      OFFSETS:	152-153
       TOKENS:	P57W47-P57W47
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	؟
     IS_TRANS:	?
        INDEX:	P57W41
      OFFSETS:	153-154
       TOKENS:	P57W48-P57W48
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(?)
          POS:	PUNC
          VOC:	?
        GLOSS:	?

 INPUT STRING:	دول
     IS_TRANS:	dwl
        INDEX:	P57W42
      OFFSETS:	155-158
       TOKENS:	P57W49-P57W49
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dawol_1]
   UNSPLITVOC:	(dawol)
          POS:	DEM_PRON_P
          VOC:	dawol
        GLOSS:	these/those

 INPUT STRING:	خرجوا
     IS_TRANS:	xrjwA
        INDEX:	P57W43
      OFFSETS:	159-164
       TOKENS:	P57W50-P57W50
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[xaraj_1]
   UNSPLITVOC:	(xarajuwA)
          POS:	PV+PVSUFF_SUBJ:3P
          VOC:	xaraj+uwA
        GLOSS:	go out/exit/leave+they

 INPUT STRING:	عن
     IS_TRANS:	En
        INDEX:	P57W44
      OFFSETS:	165-167
       TOKENS:	P57W51-P57W51
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Ean_1]
   UNSPLITVOC:	(Ean)
          POS:	PREP
          VOC:	Ean
        GLOSS:	(away) from, off, about, on, over

 INPUT STRING:	التظاهر
     IS_TRANS:	AltZAhr
        INDEX:	P57W45
      OFFSETS:	168-175
       TOKENS:	P57W52-P57W52
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[taZAhur_1]
   UNSPLITVOC:	(Alt~aZAhur)
          POS:	DET+NOUN
          VOC:	Al+taZAhur
        GLOSS:	the+demonstration/manifestation

 INPUT STRING:	مش
     IS_TRANS:	m$
        INDEX:	P58W1
      OFFSETS:	0-2
       TOKENS:	P58W1-P58W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[mi$_1]
   UNSPLITVOC:	(mi$)
          POS:	NEG_PART
          VOC:	mi$
        GLOSS:	not

 INPUT STRING:	معنى
     IS_TRANS:	mEnY
        INDEX:	P58W2
      OFFSETS:	3-7
       TOKENS:	P58W2-P58W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maEonaY_1]
   UNSPLITVOC:	(maEonaY)
          POS:	NOUN
          VOC:	maEonaY
        GLOSS:	meaning/sense

 INPUT STRING:	كلامى
     IS_TRANS:	klAmY
        INDEX:	P58W3
      OFFSETS:	8-13
       TOKENS:	P58W3-P58W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kalAm_1]
   UNSPLITVOC:	(kalAmiy)
          POS:	NOUN+POSS_PRON_1S
          VOC:	kalAm+iy
        GLOSS:	speech/statement/remark/talk/saying+my

 INPUT STRING:	ان
     IS_TRANS:	An
        INDEX:	P58W4
      OFFSETS:	14-16
       TOKENS:	P58W5-P58W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[<in~_1]
   UNSPLITVOC:	(<in~)
          POS:	SUB_CONJ
          VOC:	<in~
        GLOSS:	that

 INPUT STRING:	الداخلية
     IS_TRANS:	AldAxlyp
        INDEX:	P58W5
      OFFSETS:	17-25
       TOKENS:	P58W6-P58W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dAxoliy~ap_1]
   UNSPLITVOC:	(Ald~Axoliy~ap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+dAxoliy~+ap
        GLOSS:	the+interior/of state+[fem.sg.]

 INPUT STRING:	بريئة
     IS_TRANS:	bry}p
        INDEX:	P58W6
      OFFSETS:	26-31
       TOKENS:	P58W7-P58W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[bariy}_1]
   UNSPLITVOC:	(bariy}ap)
          POS:	ADJ+NSUFF_FEM_SG
          VOC:	bariy}+ap
        GLOSS:	innocent+[fem.sg.]

 INPUT STRING:	لا
     IS_TRANS:	lA
        INDEX:	P58W7
      OFFSETS:	32-34
       TOKENS:	P58W8-P58W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lA_1]
   UNSPLITVOC:	(lA)
          POS:	INTERJ
          VOC:	lA
        GLOSS:	no

 INPUT STRING:	لسة
     IS_TRANS:	lsp
        INDEX:	P58W8
      OFFSETS:	35-38
       TOKENS:	P58W9-P58W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[lis~ah_1]
   UNSPLITVOC:	(lis~ah)
          POS:	ADV
          VOC:	lis~ah
        GLOSS:	still

 INPUT STRING:	فيهم
     IS_TRANS:	fyhm
        INDEX:	P58W9
      OFFSETS:	39-43
       TOKENS:	P58W10-P58W11
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[fiy_1]
   UNSPLITVOC:	(fiyhum)
          POS:	PREP+PRON_3P
          VOC:	fiy+hum
        GLOSS:	in+them

 INPUT STRING:	من
     IS_TRANS:	mn
        INDEX:	P58W10
      OFFSETS:	44-46
       TOKENS:	P58W12-P58W12
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[min_1]
   UNSPLITVOC:	(min)
          POS:	PREP
          VOC:	min
        GLOSS:	from

 INPUT STRING:	كلاب
     IS_TRANS:	klAb
        INDEX:	P58W11
      OFFSETS:	47-51
       TOKENS:	P58W13-P58W13
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[kalob_1]
   UNSPLITVOC:	(kilAb)
          POS:	NOUN
          VOC:	kilAb
        GLOSS:	dogs

 INPUT STRING:	حسنى
     IS_TRANS:	HsnY
        INDEX:	P58W12
      OFFSETS:	52-56
       TOKENS:	P58W14-P58W14
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[Husoniy_1]
   UNSPLITVOC:	(Husoniy)
          POS:	NOUN_PROP
          VOC:	Husoniy
        GLOSS:	Husni

 INPUT STRING:	والعادلى
     IS_TRANS:	wAlEAdlY
        INDEX:	P58W13
      OFFSETS:	57-65
       TOKENS:	P58W15-P58W16
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[EAdliy_1]
   UNSPLITVOC:	(wiAlEAdliy)
          POS:	CONJ+DET+NOUN_PROP
          VOC:	wi+Al+EAdliy
        GLOSS:	and+the+Adli

 INPUT STRING:	00000
     IS_TRANS:	00000
        INDEX:	P58W14
      OFFSETS:	66-71
       TOKENS:	P58W17-P58W17
       STATUS:	has_sol=T	excluded=T	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	[DEFAULT]
   UNSPLITVOC:	(00000)
          POS:	NOUN_NUM
          VOC:	00000
        GLOSS:	00000

 INPUT STRING:	وبعدين
     IS_TRANS:	wbEdyn
        INDEX:	P59W1
      OFFSETS:	0-6
       TOKENS:	P59W1-P59W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[baEodayn_1]
   UNSPLITVOC:	(wibaEodayn)
          POS:	CONJ+ADV
          VOC:	wi+baEodayn
        GLOSS:	and+after on

 INPUT STRING:	امثال
     IS_TRANS:	AmvAl
        INDEX:	P59W2
      OFFSETS:	7-12
       TOKENS:	P59W3-P59W3
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maval_1]
   UNSPLITVOC:	(>amovAl)
          POS:	NOUN
          VOC:	>amovAl
        GLOSS:	proverbs/examples

 INPUT STRING:	محمد
     IS_TRANS:	mHmd
        INDEX:	P59W3
      OFFSETS:	13-17
       TOKENS:	P59W4-P59W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[maHam~ad_1]
   UNSPLITVOC:	(maHam~ad)
          POS:	NOUN_PROP
          VOC:	maHam~ad
        GLOSS:	Mahammad

 INPUT STRING:	ابو
     IS_TRANS:	Abw
        INDEX:	P59W4
      OFFSETS:	18-21
       TOKENS:	P59W5-P59W5
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[>abuw_1]
   UNSPLITVOC:	(>abuw)
          POS:	NOUN_PROP
          VOC:	>abuw
        GLOSS:	Abu (father)

 INPUT STRING:	حامد
     IS_TRANS:	HAmd
        INDEX:	P59W5
      OFFSETS:	22-26
       TOKENS:	P59W6-P59W6
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[HAmid_1]
   UNSPLITVOC:	(HAmid)
          POS:	NOUN_PROP
          VOC:	HAmid
        GLOSS:	Hamid

 INPUT STRING:	دول
     IS_TRANS:	dwl
        INDEX:	P59W6
      OFFSETS:	27-30
       TOKENS:	P59W7-P59W7
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[dawol_1]
   UNSPLITVOC:	(dawol)
          POS:	DEM_PRON_P
          VOC:	dawol
        GLOSS:	these/those

 INPUT STRING:	عوزين
     IS_TRANS:	Ewzyn
        INDEX:	P59W7
      OFFSETS:	31-36
       TOKENS:	P59W8-P59W8
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EAwiz_1]
   UNSPLITVOC:	(Eawziyn)
          POS:	ADJ.VN+NSUFF_MASC_PL
          VOC:	Eawz+iyn
        GLOSS:	wanting/desiring+[pl.]

 INPUT STRING:	يولعوا
     IS_TRANS:	ywlEwA
        INDEX:	P59W8
      OFFSETS:	37-43
       TOKENS:	P59W9-P59W9
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=F	calima_pv=F
      COMMENT:	[]
        LEMMA:	[wal~E_1]
   UNSPLITVOC:	(yiwal~EuwA)
          POS:	IV3P+IV+IVSUFF_SUBJ:P
          VOC:	yi+wal~E+uwA
        GLOSS:	they+set fire to+[pl.]

 INPUT STRING:	البلد
     IS_TRANS:	Albld
        INDEX:	P59W9
      OFFSETS:	44-49
       TOKENS:	P59W10-P59W10
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[balad_1]
   UNSPLITVOC:	(Albalad)
          POS:	DET+NOUN
          VOC:	Al+balad
        GLOSS:	the+country/country/countries

 INPUT STRING:	نواب
     IS_TRANS:	nwAb
        INDEX:	P60W1
      OFFSETS:	0-4
       TOKENS:	P60W1-P60W1
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[nA}ib_1]
   UNSPLITVOC:	(nuw~Ab)
          POS:	NOUN
          VOC:	nuw~Ab
        GLOSS:	deputies/delegates

 INPUT STRING:	الثورة
     IS_TRANS:	Alvwrp
        INDEX:	P60W2
      OFFSETS:	5-11
       TOKENS:	P60W2-P60W2
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=F	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[vawrap_1]
   UNSPLITVOC:	(Alv~awrap)
          POS:	DET+NOUN+NSUFF_FEM_SG
          VOC:	Al+vawr+ap
        GLOSS:	the+revolution/uprising+[fem.sg.]

 INPUT STRING:	يقولون
     IS_TRANS:	yqwlwn
        INDEX:	P60W3
      OFFSETS:	12-18
       TOKENS:	P60W3-P60W3
       STATUS:	has_sol=F	excluded=.	orig=ARZ	sama=.	calima_all=.	calima_pv=.
      COMMENT:	[]
        LEMMA:	None
   UNSPLITVOC:	(yqwlwn)
          POS:	NO_FUNC
          VOC:	yqwlwn
        GLOSS:	nogloss

 INPUT STRING:	على
     IS_TRANS:	ElY
        INDEX:	P60W4
      OFFSETS:	19-22
       TOKENS:	P60W4-P60W4
       STATUS:	has_sol=T	excluded=F	orig=ARZ	sama=T	calima_all=T	calima_pv=.
      COMMENT:	[]
        LEMMA:	[EalaY_1]
   UNSPLITVOC:	(EalaY)
          POS:	PREP
          VOC:	EalaY
        GLOSS:	on/above

 INPUT STRING:	ثوار
     IS_TRANS:	vwAr
        INDEX:	P60W5
      OFFSETS:	23-27
       TOKENS:	P60W5-P60W5
